System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;22:13:28.328;0.0135;0.816;0.0165;0.762;1.12;20.4;0.945;0.38;0.000245;0.00445;0.284;0.402;4.57e+03;5.61e+03;2.12e+03;1.63;40.8;0.0269;0.674;512;2.17;35.7;0.498;61.6;0;42.2;0;0;0;134;26.9;0.0537;0.819;0.0656;0.762;1.09;20.1;0.946;0.383;0.000239;0.00441; 55360;118;383;0.0416;0.0833;52;6.08e-05;0.396;0.000154;0.712;0.0111;0.0889;0.875;0.09;0.00216;0.0172; 15840;0;1;0.0737;0.0953;55;6.01e-05;0.383;0.000157;0.732;0.0105;0.0849;0.876;0.0952;0.00207;0.0166; 13440;0;2;0.0796;0.109;57;7.4e-05;0.376;0.000197;0.762;0.0128;0.0964;0.867;0.117;0.00203;0.0153; 14880;0;0;0.0887;0.114;55;99.7;109;103;  0%;  0%;  0%;11.4;11.3;43.3;  0%;  0%;  0%;11.3;47.1;11.3;  0%;  0%;  0%;11.1;11.3;42.4;  0%;  0%;  0%;8.61;87.5;1.99;1.95;0;0;0;0;0;0.0216;14.7;0;85.3;0;84.3;0;0;0;0.0214;14.5;0;85.5;0;84.6;0;0;0;0.0258;26.2;0;73.8;0;0;0;0;0;42.2;29.5;30.6;31.2;7.15 ;6.46 ;6.71 ;6.53 ;
2017-11-10;22:13:29.340;0.0181;0.723;0.0251;0.762;0.578;32.1;0.982;0.336;9.38e-05;0.00521;0.101;0.0996;6.16e+03;8.52e+03;2.12e+03;1.45;36.2;0.0362;0.906;57.1;3.29;36.6;1.15;58.9;0;8.64;0;0;0;130;24;0.0723;0.725;0.0997;0.762;0.525;31.9;0.984;0.337;8.54e-05;0.00518; 52480;16;30;0.0312;0.0225;52;6.11e-05;0.338;0.000181;0.762;0.0163;0.0842;0.806;0.0744;0.00314;0.0162; 15920;0;0;0.0226;0.0253;54;6.29e-05;0.341;0.000184;0.762;0.0182;0.0903;0.798;0.0735;0.00341;0.0169; 13520;0;1;0.0226;0.0261;56;7.7e-05;0.368;0.000209;0.751;0.0187;0.0918;0.796;0.107;0.00286;0.014; 14880;0;0;0.0246;0.0258;54;6.31;7.37;8.28;  0%;  0%;  0%;0.279;0.665;7.98;  0%;  0%;  0%;0.228;8.24;0.74;  0%;  0%;  0%;0.543;0.602;15.8;  0%;  0%;  0%;13.1;81.7;4.61;0.609;0;0;0;0;0;0.0237;20.5;0;79.5;0;0;0;0;0;0.0242;22.5;0;77.4;0;0;0;0;0;0.0278;21.9;0;78.1;0;34.5;0;0;0;41.8;28.6;30;29.4;6.58 ;5.97 ;6.07 ;5.4 ;
2017-11-10;22:13:30.338;0.0187;0.742;0.0251;0.762;0.85;32.2;0.974;0.356;0.000136;0.00514;0.124;0.12;6.26e+03;8.44e+03;2.1e+03;1.48;37.1;0.0373;0.933;78.4;3.3;95.9;0.333;0.421;0;0;0;0;0;151;24.2;0.0744;0.743;0.1;0.762;0.801;32;0.975;0.357;0.000128;0.00512; 53840;14;44;0.0304;0.0219;52;6.02e-05;0.471;0.000128;0.762;0.0161;0.0759;0.787;0.109;0.0032;0.015; 15840;0;1;0.0272;0.0287;54;6.44e-05;0.492;0.000131;0.762;0.0154;0.0751;0.795;0.114;0.00285;0.0139; 13440;0;2;0.0324;0.0349;57;7.42e-05;0.486;0.000153;0.762;0.017;0.0819;0.793;0.142;0.00273;0.0132; 14880;0;3;0.0339;0.0348;54;5.42;7.05;8.1;  0%;  0%;  0%;0.269;0.568;14;  0%;  0%;  0%;0.188;20.6;0.654;  0%;  0%;  0%;0.492;0.534;20.5;  0%;  0%;  0%;13.1;85.4;1.33;0.117;0;0;0;0;0;0.0168;100;0;0;0;0;0;0;0;0.0172;100;0;0;0;0;0;0;0;0.02;98.4;0;1.57;0;0;0;0;0;41.5;35.8;37.2;37;6.7 ;5.89 ;6.06 ;5.57 ;
2017-11-10;22:13:31.348;0.019;0.746;0.0255;0.762;1.01;32.9;0.969;0.353;0.000157;0.00509;0.135;0.125;6.46e+03;8.66e+03;2.12e+03;1.49;37.3;0.0381;0.952;84.7;3.35;95.4;0.39;0.903;0;0;0;0;0;153;24;0.0759;0.747;0.102;0.762;0.962;32.6;0.971;0.354;0.000149;0.00507; 48400;20;53;0.0359;0.022;52;7.94e-05;0.533;0.000149;0.762;0.0182;0.123;0.852;0.112;0.0027;0.0182; 15840;0;1;0.0361;0.0366;54;7.3e-05;0.502;0.000145;0.762;0.0177;0.0802;0.779;0.148;0.00286;0.013; 13440;0;2;0.0318;0.0342;57;7.68e-05;0.508;0.000151;0.762;0.0171;0.0783;0.781;0.179;0.00263;0.012; 14880;0;1;0.0312;0.0319;54;5.87;7.2;7.97;  0%;  0%;  0%;0.415;0.665;24.4;  0%;  0%;  0%;0.31;19.5;0.721;  0%;  0%;  0%;0.587;0.676;16.4;  0%;  0%;  0%;13.3;85;1.56;0.0542;0;0;0;0;0;0.0195;100;0;0;0;0;0;0;0;0.0191;96.4;0;3.56;0;0;0;0;0;0.0198;100;0;0;0;0;0;0;0;42.1;36.2;37.5;37.6;6.61 ;5.9 ;6.01 ;5.52 ;
2017-11-10;22:13:32.357;0.0132;0.562;0.0235;0.762;0.167;30.4;0.995;0.334;3.73e-05;0.00679;0.0792;0.0745;4.48e+03;7.96e+03;2.12e+03;1.12;28.1;0.0264;0.66;16.9;3.08;95.4;0.49;1.01;0;0;0;0;0;153;23.3;0.0523;0.56;0.0934;0.762;0.113;30.1;0.996;0.335;2.54e-05;0.00678; 48240;8;0;0.0219;0.0192;52;5.96e-05;0.491;0.000121;0.762;0.0166;0.0732;0.774;0.151;0.00328;0.0145; 15920;0;0;0.0181;0.0179;54;6.27e-05;0.515;0.000122;0.762;0.0166;0.0722;0.77;0.156;0.00313;0.0136; 13600;0;5;0.018;0.0181;56;0.000345;1.23;0.000281;0.762;0.0212;0.168;0.874;0.206;0.000724;0.00574; 14960;0;0;0.0212;0.0192;54;1.73;1.88;2.57;  0%;  0%;  0%;0.235;0.574;2.05;  0%;  0%;  0%;0.149;1.97;0.676;  0%;  0%;  0%;0.49;0.511;4.09;  0%;  0%;  0%;12.3;85.5;1.96;0.25;0;0;0;0;0;0.0159;96.2;0;3.79;0;0;0;0;0;0.016;100;0;0;0;0;0;0;0;0.0369;100;0;0;0;0;0;0;0;41.4;36.2;37.7;37.7;6.4 ;5.75 ;5.81 ;5.36 ;
2017-11-10;22:13:33.365;0.0173;0.529;0.0327;0.762;0.141;36.3;0.996;0.33;2.41e-05;0.00619;0.0789;0.0742;5.87e+03;1.11e+04;2.12e+03;1.06;26.5;0.0346;0.865;16.8;4.29;95.4;0.275;0.0189;0;0;0;0;0;163;23.3;0.0611;0.62;0.0985;0.762;0.094;36.1;0.997;0.331;1.82e-05;0.00697; 49200;5;4;0.021;0.019;52;0.00422;0.248;0.017;0.762;0.0146;0.0722;0.798;0.159;4.07e-05;0.000202; 15920;1;0;0.0181;0.0177;54;0.00384;0.257;0.0149;0.762;0.0151;0.0698;0.784;0.17;4.63e-05;0.000214; 13440;0;3;0.0192;0.0189;56;7.69e-05;0.262;0.000293;0.762;0.0177;0.0798;0.778;0.183;0.00272;0.0123; 14960;0;1;0.0206;0.0187;54;1.62;1.99;2.39;  0%;  0%;  0%;0.255;0.549;1.87;  0%;  0%;  0%;0.2;3.28;0.654;  0%;  0%;  0%;0.466;0.548;3.01;  0%;  0%;  0%;12.9;85.9;1.1;0.0755;0;0;0;0;0;2.24;97.8;0;0;0;0;0;0;0;1.96;98;0;0;0;0;0;0;0;0.0385;100;0;0;0;0;0;0;0;44.1;39.3;40.6;39.2;6.38 ;5.68 ;5.86 ;5.34 ;
2017-11-10;22:13:34.374;0.0131;0.565;0.0232;0.762;0.13;30.6;0.996;0.327;2.93e-05;0.00688;0.0771;0.073;4.44e+03;7.86e+03;2.12e+03;1.13;28.2;0.0262;0.655;14;3.04;96.6;0.343;0.0108;0;0;0;0;0;153;22.8;0.0522;0.565;0.0924;0.762;0.0816;30.3;0.997;0.328;1.84e-05;0.00686; 48880;3;3;0.0206;0.0187;52;5.92e-05;0.475;0.000125;0.762;0.0151;0.07;0.785;0.161;0.003;0.014; 15840;1;0;0.0177;0.0174;54;6.77e-05;0.512;0.000132;0.762;0.0169;0.0734;0.769;0.163;0.00295;0.0128; 13440;0;3;0.0184;0.0182;56;7.27e-05;0.508;0.000143;0.762;0.0165;0.0752;0.78;0.186;0.00268;0.0122; 15040;0;0;0.0204;0.0187;54;1.51;1.62;1.92;  0%;  0%;  0%;0.179;0.437;1.45;  0%;  0%;  0%;0.156;2.57;0.557;  0%;  0%;  0%;0.37;0.393;2.87;  0%;  0%;  0%;12.1;86.5;1.37;0.0432;0;0;0;0;0;0.0164;100;0;0;0;0;0;0;0;0.0173;100;0;0;0;0;0;0;0;0.0188;100;0;0;0;0;0;0;0;41.5;36.3;37.7;37.7;6.25 ;5.59 ;5.73 ;5.21 ;
2017-11-10;22:13:35.383;0.0132;0.555;0.0237;0.762;0.141;32;0.996;0.334;3.14e-05;0.00716;0.0786;0.0737;4.47e+03;8.04e+03;2.12e+03;1.11;27.8;0.0264;0.659;15.8;3.11;96;0.741;0.17;0;0;0;0;0;153;23;0.0525;0.556;0.0945;0.762;0.087;31.7;0.997;0.335;1.96e-05;0.00713; 49120;2;2;0.0207;0.0188;52;7.57e-05;0.507;0.000149;0.762;0.0182;0.1;0.818;0.139;0.00283;0.0156; 15840;0;1;0.0183;0.0178;54;7.43e-05;0.539;0.000138;0.762;0.0178;0.0815;0.781;0.161;0.00283;0.0129; 13440;0;2;0.0181;0.0176;56;7.82e-05;0.525;0.000149;0.762;0.0175;0.0804;0.782;0.192;0.00264;0.0121; 15040;0;0;0.0215;0.0195;54;1.79;1.61;2.14;  0%;  0%;  0%;0.385;0.519;1.82;  0%;  0%;  0%;0.232;1.73;0.705;  0%;  0%;  0%;0.454;0.472;3.9;  0%;  0%;  0%;12.4;84;2.96;0.681;0;0;0;0;0;0.0196;100;0;0;0;0;0;0;0;0.0181;100;0;0;0;0;0;0;0;0.0195;100;0;0;0;0;0;0;0;41.3;36.2;37.6;37.6;6.29 ;5.71 ;5.69 ;5.32 ;
2017-11-10;22:13:36.393;0.0132;0.568;0.0232;0.762;0.127;30.7;0.996;0.337;2.86e-05;0.00687;0.0772;0.072;4.46e+03;7.86e+03;2.12e+03;1.14;28.4;0.0263;0.658;12.5;3.04;96.5;0.455;0.0169;0;0;0;0;0;153;22.9;0.0525;0.568;0.0923;0.762;0.0806;30.4;0.997;0.338;1.81e-05;0.00684; 48400;3;3;0.022;0.0188;52;5.86e-05;0.509;0.000115;0.762;0.0148;0.0702;0.79;0.16;0.00297;0.0141; 16000;0;4;0.0175;0.0174;54;6.35e-05;0.529;0.00012;0.762;0.0157;0.0719;0.781;0.164;0.00292;0.0133; 13600;0;4;0.0175;0.0174;56;7.38e-05;0.544;0.000136;0.762;0.0164;0.0739;0.779;0.189;0.00262;0.0118; 15040;1;0;0.0202;0.0185;54;1.54;1.49;1.91;  0%;  0%;  0%;0.173;0.418;1.43;  0%;  0%;  0%;0.124;1.43;0.546;  0%;  0%;  0%;0.358;0.385;2.67;  0%;  0%;  0%;12.1;86;1.82;0.0675;0;0;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.0158;100;0;0;0;0;0;0;0;0.0178;100;0;0;0;0;0;0;0;41.5;36.2;37.7;37.7;6.28 ;5.65 ;5.72 ;5.29 ;
2017-11-10;22:13:37.402;0.0133;0.566;0.0235;0.762;0.127;30.8;0.996;0.342;2.82e-05;0.00684;0.0776;0.0727;4.51e+03;7.96e+03;2.12e+03;1.13;28.3;0.0266;0.664;13.7;3.08;96.4;0.473;0.00953;0;0;0;0;0;153;22.6;0.053;0.566;0.0935;0.762;0.0807;30.6;0.997;0.342;1.8e-05;0.00681; 48800;3;4;0.0213;0.0188;52;5.91e-05;0.513;0.000115;0.762;0.015;0.0704;0.787;0.164;0.00299;0.014; 16000;0;2;0.0184;0.0181;54;5.92e-05;0.514;0.000115;0.762;0.0149;0.0709;0.79;0.17;0.00296;0.0141; 13360;0;3;0.0177;0.0175;56;7.68e-05;0.569;0.000135;0.762;0.0165;0.0769;0.785;0.187;0.00253;0.0118; 15040;0;0;0.0202;0.0184;54;1.62;1.55;2.02;  0%;  0%;  0%;0.189;0.455;2.37;  0%;  0%;  0%;0.145;1.55;0.56;  0%;  0%;  0%;0.386;0.441;2.38;  0%;  0%;  0%;12.3;85.8;1.89;0.0381;0;0;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.0177;100;0;0;0;0;0;0;0;41.5;36.2;37.6;37.6;6.23 ;5.59 ;5.65 ;5.17 ;
