System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;22:05:58.479;0.0127;0.854;0.0149;0.713;1.32;19.7;0.933;0.348;0.000305;0.00455;0.313;0.481;4.33e+03;5.07e+03;2.15e+03;1.71;42.7;0.0254;0.636;534;2.09;37.5;0.395;60;0;30.8;0;0;0;132;28;0.0012;0.757;0.00158;0.685;0.164;2.37;0.931;0.0449;0.0016;0.0232; 34240;2;14;0.0912;0.161;52;0.0495;0.859;0.0576;0.714;1.13;17.2;0.934;0.377;0.000267;0.00407; 50560;135;391;0.0547;0.106;54;5.71e-05;0.371;0.000154;0.694;0.0135;0.0802;0.832;0.0883;0.00277;0.0165; 17200;0;2;0.0708;0.0935;57;6.61e-05;0.36;0.000184;0.714;0.0143;0.0839;0.83;0.124;0.00254;0.015; 16720;0;1;0.0968;0.121;55;59.3;7.43;7.73;  0%;  0%;  0%;103;108;120;  0%;  0%;  0%;39.7;7.43;12.1;  0%;  0%;  0%;11.9;48.6;8.98;  0%;  0%;  0%;0.231;21.8;0.0154;77.9;0;36.6;0;0;0;8.07;87.9;1.56;2.43;0;0;0;0;0;0.0222;12.3;0;87.7;0;86.7;0;0;0;0.0257;27.8;0.00025;72.2;0;0;0;0;0;31.3;40.1;30.1;30.9;7.27 ;7.46 ;6.7 ;6.61 ;
2017-11-10;22:05:59.491;0.0182;0.753;0.0241;0.714;0.956;34;0.972;0.311;0.000155;0.00551;0.112;0.0946;6.18e+03;8.2e+03;2.13e+03;1.51;37.7;0.0363;0.908;92.2;3.38;33.8;0.903;62;0;33.9;0;0;0;129;23.9;0.00205;0.829;0.00247;0.7;0.226;4.32;0.948;0.0353;0.0013;0.0248; 34320;0;32;0.023;0.025;52;0.0705;0.753;0.0935;0.714;0.684;29.5;0.977;0.34;0.000114;0.00492; 50000;37;36;0.0602;0.0371;53;7.24e-05;0.32;0.000226;0.704;0.0222;0.111;0.801;0.0686;0.0036;0.0181; 17280;0;3;0.0204;0.0222;56;8.12e-05;0.336;0.000242;0.667;0.0234;0.101;0.769;0.106;0.00339;0.0147; 16720;1;0;0.0086;0.0103;55;28.1;1.46;1.65;  0%;  0%;  0%;6.67;8.1;23.3;  0%;  0%;  0%;11.3;1.45;0.898;  0%;  0%;  0%;0.567;6.51;2.18;  0%;  0%;  0%;0.353;22;0.0151;77.6;0;22.5;0;0;0;13.1;82.9;3.6;0.415;0;0;0;0;0;0.0321;16.7;0;83.3;0;27.8;0;0;0;0.0362;13.5;0.000489;86.5;0;85.1;0;0;0;30.6;40;29.6;28.4;6.45 ;6.78 ;5.73 ;4.89 ;
2017-11-10;22:06:00.489;0.0188;0.772;0.0243;0.714;1.13;33.9;0.967;0.334;0.00018;0.00537;0.15;0.129;6.3e+03;8.17e+03;2.1e+03;1.54;38.6;0.0376;0.939;111;3.41;91.4;0.286;4.95;0;0;0;0;0;149;24.7;0.00198;0.963;0.00205;0.714;0.218;3.96;0.945;0.0488;0.00132;0.0239; 34240;0;24;0.034;0.0344;52;0.073;0.768;0.095;0.714;0.879;29.7;0.97;0.361;0.000143;0.00485; 51200;28;40;0.0591;0.0355;54;5.96e-05;0.466;0.000128;0.714;0.0178;0.0767;0.768;0.107;0.00356;0.0154; 17280;0;2;0.0249;0.026;56;7.33e-05;0.499;0.000147;0.714;0.0189;0.0812;0.767;0.137;0.00307;0.0132; 16960;1;1;0.0323;0.0329;54;38;1.06;1.41;  0%;  0%;  0%;5.82;7.72;22.2;  0%;  0%;  0%;11.7;1.16;0.717;  0%;  0%;  0%;0.477;18.7;2.07;  0%;  0%;  0%;0.287;81.8;0.0236;17.9;0;0;0;0;0;13.3;85.5;1.12;0.0969;0;0;0;0;0;0.0179;100;0;0;0;0;0;0;0;0.0206;98.2;0;1.83;0;0;0;0;0;35.7;39.8;37.2;36.8;6.65 ;6.69 ;5.88 ;5.44 ;
2017-11-10;22:06:01.499;0.0192;0.774;0.0248;0.714;1.1;35;0.969;0.33;0.000168;0.00535;0.141;0.117;6.53e+03;8.43e+03;2.12e+03;1.55;38.7;0.0385;0.962;98.4;3.48;91;0.307;5.22;0;0;0;0;0;151;25;0.00213;0.964;0.00221;0.714;0.239;4.34;0.945;0.0488;0.00132;0.024; 34400;1;27;0.025;0.0242;52;0.0747;0.77;0.0969;0.714;0.822;30.5;0.973;0.358;0.00013;0.00481; 50160;27;37;0.0592;0.0364;53;5.8e-05;0.508;0.000114;0.714;0.0162;0.0702;0.77;0.155;0.00328;0.0142; 17280;0;3;0.0273;0.0277;56;7.31e-05;0.541;0.000135;0.714;0.0194;0.0752;0.742;0.183;0.00313;0.0121; 16640;0;1;0.0293;0.0288;54;28.8;1.08;1.38;  0%;  0%;  0%;5.54;6.13;21.7;  0%;  0%;  0%;14.9;0.956;0.684;  0%;  0%;  0%;0.481;15.1;1.76;  0%;  0%;  0%;0.31;80.7;0.0206;19;0;0;0;0;0;13.6;85.1;1.21;0.109;0;0;0;0;0;0.016;98.2;0;1.81;0;0;0;0;0;0.0189;100;0;0;0;0;0;0;0;36.1;40.3;37.5;37.6;6.65 ;6.91 ;6.01 ;5.46 ;
2017-11-10;22:06:02.509;0.0138;0.607;0.0228;0.714;0.964;32.8;0.971;0.309;0.000205;0.00698;0.135;0.114;4.7e+03;7.73e+03;2.12e+03;1.21;30.4;0.0277;0.692;90.4;3.19;90;0.53;6.26;0;0;0;0;0;150;24.4;0.00193;0.952;0.00203;0.714;0.215;3.89;0.945;0.0498;0.00132;0.0238; 34400;1;14;0.0271;0.0263;52;0.053;0.598;0.0887;0.714;0.706;28.7;0.975;0.335;0.000157;0.00637; 50800;16;32;0.0558;0.0342;53;6.66e-05;0.503;0.000132;0.714;0.0202;0.0743;0.728;0.184;0.00357;0.0131; 17440;1;0;0.0252;0.0261;56;0.000343;1.24;0.000277;0.714;0.0224;0.163;0.863;0.212;0.000769;0.0056; 16800;1;0;0.0274;0.0272;54;28.3;1.54;1.59;  0%;  0%;  0%;5.27;5.94;19.4;  0%;  0%;  0%;11.5;1.34;0.736;  0%;  0%;  0%;0.583;12.1;2.13;  0%;  0%;  0%;0.284;80.7;0.0191;19;0;0;0;0;0;12.4;85.4;2.1;0.127;0;0;0;0;0;0.0185;95.7;0;4.24;0;0;0;0;0;0.0388;98.2;0.000496;1.72;0;0;0;0;0;36.1;39.7;37.3;37.2;6.5 ;6.67 ;5.84 ;5.36 ;
2017-11-10;22:06:03.520;0.013;0.56;0.0232;0.713;0.547;34;0.984;0.286;0.000124;0.0077;0.104;0.0833;4.41e+03;7.87e+03;2.12e+03;1.12;28;0.026;0.649;56.9;3.25;43.8;1.57;51.4;0;6.97;0;0;0;132;24.2;0.00208;0.839;0.00248;0.678;0.22;4.35;0.949;0.0378;0.00125;0.0246; 34560;0;23;0.0198;0.0179;51;0.0497;0.553;0.0898;0.714;0.282;29.3;0.99;0.314;6.68e-05;0.00696; 51760;15;6;0.0486;0.0327;54;7.52e-05;0.394;0.000191;0.692;0.0206;0.127;0.838;0.0862;0.00322;0.0198; 17440;0;1;0.0136;0.013;56;9.82e-05;0.461;0.000213;0.714;0.0248;0.143;0.826;0.106;0.00298;0.0171; 16880;0;0;0.0216;0.0198;54;19.1;1.22;1.6;  0%;  0%;  0%;2.79;3.23;16.8;  0%;  0%;  0%;2.79;1.25;0.826;  0%;  0%;  0%;0.545;4.57;2.17;  0%;  0%;  0%;0.366;27.5;0.0305;72.1;0;0;0;0;0;12.6;80.7;6.26;0.429;0;0;0;0;0;0.0276;24.8;0;75.2;0;27.9;0;0;0;0.0298;42.1;0;57.8;0;0;0;0;0;30.8;39.6;30.3;31.6;6.47 ;6.84 ;5.56 ;5.3 ;
2017-11-10;22:06:04.530;0.0132;0.584;0.0226;0.714;0.513;32.5;0.984;0.3;0.000115;0.00727;0.106;0.0868;4.48e+03;7.66e+03;2.12e+03;1.17;29.2;0.0264;0.659;53;3.16;90.5;0.605;5.77;0;0;0;0;0;151;23.8;0.00196;0.956;0.00205;0.714;0.208;3.97;0.947;0.0492;0.00125;0.0238; 34800;1;9;0.0203;0.0185;52;0.0506;0.576;0.0879;0.714;0.27;28.4;0.99;0.325;6.28e-05;0.00661; 51920;7;10;0.0478;0.0322;53;5.96e-05;0.468;0.000127;0.714;0.0162;0.0766;0.788;0.105;0.00321;0.0151; 17440;0;3;0.0179;0.0175;55;7.24e-05;0.512;0.000142;0.714;0.0186;0.0773;0.759;0.153;0.00303;0.0126; 17040;0;2;0.0202;0.0185;54;19.7;0.963;1.27;  0%;  0%;  0%;2.59;2.85;16.4;  0%;  0%;  0%;2.61;0.874;0.562;  0%;  0%;  0%;0.381;3.19;1.57;  0%;  0%;  0%;0.287;80.9;0.0164;18.8;0;0;0;0;0;12.3;85.2;2.4;0.0911;0;0;0;0;0;0.0178;95.8;0;4.14;0;0;0;0;0;0.0198;100;0;0;0;0;0;0;0;36.1;39.6;37.3;37.6;6.36 ;6.61 ;5.65 ;5.2 ;
2017-11-10;22:06:05.540;0.0131;0.587;0.0223;0.714;0.489;31.9;0.985;0.301;0.00011;0.00719;0.104;0.0857;4.44e+03;7.57e+03;2.12e+03;1.17;29.4;0.0262;0.655;50.5;3.12;90.7;0.364;5.8;0;0;0;0;0;151;23.9;0.00186;0.935;0.002;0.714;0.196;3.76;0.948;0.0498;0.00124;0.0238; 34640;0;14;0.0203;0.0186;52;0.0504;0.579;0.087;0.714;0.258;28;0.991;0.325;6.05e-05;0.00656; 51840;11;11;0.0462;0.0313;53;5.84e-05;0.492;0.000119;0.714;0.0174;0.0691;0.747;0.155;0.00352;0.014; 17520;0;3;0.0178;0.0175;56;7.07e-05;0.541;0.000131;0.714;0.0171;0.0737;0.768;0.185;0.00285;0.0123; 16880;0;0;0.0199;0.0183;54;18.8;0.956;1.22;  0%;  0%;  0%;2.5;2.68;15.5;  0%;  0%;  0%;2.45;0.95;0.651;  0%;  0%;  0%;0.401;2.66;1.74;  0%;  0%;  0%;0.279;80;0.0208;19.7;0;0;0;0;0;12.2;86.3;1.44;0.134;0;0;0;0;0;0.0166;96.6;0;3.36;0;0;0;0;0;0.0183;100;0;0;0;0;0;0;0;36.1;39.6;37.4;37.6;6.41 ;6.61 ;5.71 ;5.2 ;
2017-11-10;22:06:06.550;0.013;0.584;0.0223;0.714;0.534;32.2;0.983;0.296;0.000121;0.0073;0.108;0.0864;4.41e+03;7.55e+03;2.12e+03;1.17;29.2;0.026;0.65;53.8;3.12;86;0.462;10.4;0;0;0;0;0;148;23.9;0.00207;0.948;0.00219;0.714;0.218;4.21;0.948;0.049;0.00124;0.024; 34880;0;14;0.0195;0.0177;52;0.0498;0.576;0.0866;0.714;0.281;27.9;0.99;0.323;6.64e-05;0.00659; 51760;11;10;0.0507;0.0331;53;5.83e-05;0.487;0.00012;0.714;0.0158;0.0728;0.783;0.15;0.0032;0.0147; 17440;0;2;0.0178;0.0175;56;7.29e-05;0.494;0.000148;0.714;0.0198;0.0805;0.753;0.168;0.00321;0.013; 17280;1;0;0.0198;0.0182;54;19.7;0.937;1.36;  0%;  0%;  0%;2.66;2.87;17.3;  0%;  0%;  0%;2.68;0.879;0.54;  0%;  0%;  0%;0.374;2.9;1.56;  0%;  0%;  0%;0.306;72.7;0.0407;27;0;0;0;0;0;12.1;86;1.81;0.0734;0;0;0;0;0;0.0167;90.5;0;9.49;0;0;0;0;0;0.0207;95;0;4.96;0;0;0;0;0;35;39.6;36.5;36.5;6.38 ;6.68 ;5.67 ;5.17 ;
2017-11-10;22:06:07.562;0.0128;0.572;0.0224;0.714;0.493;32.2;0.985;0.296;0.000113;0.00741;0.0846;0.0651;4.35e+03;7.61e+03;2.12e+03;1.14;28.6;0.0256;0.641;53;3.14;38.5;1.21;57.2;0;32;0;0;0;130;22.8;0.002;0.817;0.00244;0.699;0.2;4.17;0.952;0.0372;0.00118;0.0246; 34880;1;11;0.0158;0.014;52;0.0491;0.566;0.0868;0.714;0.256;27.9;0.991;0.324;6.15e-05;0.00669; 51520;8;6;0.0473;0.032;53;6.4e-05;0.371;0.000172;0.687;0.0185;0.0827;0.776;0.112;0.00341;0.0152; 17440;1;1;0.0141;0.0135;56;7.33e-05;0.381;0.000192;0.689;0.0187;0.0878;0.787;0.136;0.003;0.0141; 17120;1;0;0.0074;0.00556;54;18;1.15;1.45;  0%;  0%;  0%;2.72;2.86;15.8;  0%;  0%;  0%;3.71;1.25;0.692;  0%;  0%;  0%;0.477;2.88;2.01;  0%;  0%;  0%;0.349;23.9;0.045;75.7;0;22.2;0;0;0;12.2;82.9;4.78;0.198;0;0;0;0;0;0.0251;25.3;0;74.7;0;29.4;0;0;0;0.0279;21.8;0;78.2;0;76.3;0;0;0;30.7;39.5;30.5;29.2;6.3 ;6.5 ;5.45 ;4.59 ;
