System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;21:54:29.520;0.0179;0.781;0.0229;0.904;1.46;28;0.948;0.334;0.000241;0.00462;0.308;0.454;6.07e+03;7.77e+03;2.12e+03;1.56;39;0.0358;0.894;519;2.53;38.9;0.207;58.4;0;28.1;0;0;0;148;27.4;0.00311;0.388;0.008;0.902;0.198;3.09;0.936;0.04;0.000753;0.0117; 35600;1;18;0.0855;0.144;52;0.0683;0.821;0.0832;0.905;1.24;24.8;0.95;0.359;0.000213;0.00428; 49120;123;379;0.06;0.0989;53;5.62e-05;0.313;0.000179;0.864;0.0134;0.0795;0.832;0.0891;0.00281;0.0167;  6720;2;0;0.0705;0.0969;55;6.64e-05;0.323;0.000206;0.905;0.0169;0.0844;0.8;0.118;0.003;0.015; 17600;2;0;0.0919;0.114;53;57.4;6.72;7.85;  0%;  0%;  0%;99.4;103;113;  0%;  0%;  0%;45.6;7.06;11.1;  0%;  0%;  0%;10.8;47;9.34;  0%;  0%;  0%;0.887;26.1;0.0252;73;0;28.4;0;0;0;9.2;88.6;0.801;1.44;0;0;0;0;0;0.0207;15.2;0;84.8;0;83.9;0;0;0;0.0227;25.8;0;74.2;0;0;0;0;0;35.2;46;33.2;33.6;7.16 ;7.32 ;6.59 ;6.35 ;
2017-11-10;21:54:30.531;0.0188;0.666;0.0282;0.905;0.925;35.8;0.974;0.31;0.000145;0.00561;0.128;0.109;6.38e+03;9.57e+03;2.12e+03;1.33;33.3;0.0376;0.939;89.7;3.11;42.1;1.39;53.4;0;8.45;0;0;0;136;24.6;0.002;0.746;0.00268;0.905;0.215;4.18;0.949;0.0361;0.00127;0.0247; 35680;0;30;0.0288;0.0291;52;0.073;0.666;0.11;0.905;0.671;31.4;0.979;0.336;0.000108;0.00507; 50160;32;33;0.0571;0.0343;52;6.05e-05;0.317;0.000191;0.905;0.0178;0.083;0.785;0.0762;0.00348;0.0162;  6720;1;1;0.0227;0.0249;55;7.44e-05;0.319;0.000233;0.885;0.0212;0.0915;0.768;0.106;0.00336;0.0145; 17680;0;0;0.0194;0.0203;53;30;1.13;1.49;  0%;  0%;  0%;6.71;7.44;20.7;  0%;  0%;  0%;8.72;1.09;0.721;  0%;  0%;  0%;0.481;9.19;2.01;  0%;  0%;  0%;0.296;36.6;0.0263;63.1;0;0;0;0;0;12.1;82.1;5.54;0.268;0;0;0;0;0;0.0211;28.1;0;71.9;0;0;0;0;0;0.0263;21.5;0;78.5;0;33.8;0;0;0;32.5;42.8;31;29.7;6.59 ;6.84 ;5.98 ;5.2 ;
2017-11-10;21:54:31.530;0.019;0.682;0.0279;0.904;1.24;35.6;0.965;0.322;0.000195;0.00558;0.133;0.115;6.38e+03;9.35e+03;2.1e+03;1.36;34.1;0.038;0.95;124;3.08;39.6;0.797;56.5;0;32.9;0;0;0;133;24;0.00214;0.748;0.00287;0.873;0.229;4.46;0.949;0.0353;0.00127;0.0248; 35680;0;32;0.0286;0.0295;51;0.0737;0.682;0.108;0.905;0.967;30.8;0.969;0.352;0.000156;0.00499; 50240;30;52;0.0578;0.0355;52;7.12e-05;0.306;0.000233;0.856;0.0211;0.111;0.81;0.0712;0.00353;0.0186;  6720;0;1;0.0241;0.0264;55;0.000103;0.373;0.000275;0.841;0.0247;0.167;0.852;0.0728;0.00287;0.0194; 17600;0;3;0.0223;0.0232;53;36.2;1.39;1.74;  0%;  0%;  0%;8.14;9.06;23.1;  0%;  0%;  0%;16.6;1.42;0.821;  0%;  0%;  0%;0.597;22.3;2.16;  0%;  0%;  0%;0.328;29.1;0.276;70.3;0;24;0;0;0;11.9;85.1;2.91;0.0778;0;0;0;0;0;0.0272;23.6;0;76.4;0;29.3;0;0;0;0.0327;20.6;0;79.4;0;78.2;0;0;0;31.2;42.5;30.2;29.1;6.47 ;6.74 ;5.77 ;4.99 ;
2017-11-10;21:54:32.540;0.0185;0.659;0.028;0.905;1.28;36.2;0.965;0.31;0.000204;0.00578;0.156;0.129;6.26e+03;9.51e+03;2.12e+03;1.32;32.9;0.0369;0.923;113;3.1;93.3;0.526;3.13;0;0;0;0;0;159;24.6;0.00208;0.857;0.00243;0.905;0.226;4.25;0.947;0.0493;0.00128;0.0241; 35440;1;12;0.0285;0.0286;51;0.0714;0.653;0.109;0.905;1.01;31.7;0.968;0.336;0.000167;0.00524; 48880;26;44;0.0638;0.0352;52;5.92e-05;0.421;0.000141;0.905;0.0173;0.0752;0.77;0.11;0.00345;0.015;  6720;0;1;0.033;0.0344;55;0.000342;1.11;0.000309;0.905;0.0218;0.165;0.868;0.191;0.000751;0.00568; 17600;0;1;0.031;0.0312;53;31.6;0.972;1.44;  0%;  0%;  0%;7.3;7.18;21.6;  0%;  0%;  0%;21.8;1;0.738;  0%;  0%;  0%;0.525;16.8;1.96;  0%;  0%;  0%;0.268;87.4;0.0135;12.3;0;0;0;0;0;12.1;85.7;2.09;0.14;0;0;0;0;0;0.0156;100;0;0;0;0;0;0;0;0.0341;99.9;0;0.0403;0;0;0;0;0;38;42.9;39.2;39.2;6.58 ;6.76 ;5.92 ;5.35 ;
2017-11-10;21:54:33.549;0.0136;0.523;0.0261;0.905;0.526;33.7;0.984;0.3;0.000114;0.0073;0.108;0.0873;4.62e+03;8.83e+03;2.12e+03;1.05;26.1;0.0272;0.681;55;2.88;91;0.612;5.47;0;0;0;0;0;158;24.2;0.00202;0.84;0.0024;0.905;0.21;4.1;0.949;0.0501;0.00122;0.024; 35440;2;8;0.0199;0.0179;51;0.0523;0.515;0.102;0.905;0.282;29.5;0.99;0.326;6.36e-05;0.00664; 49120;9;15;0.0487;0.0325;52;5.79e-05;0.453;0.000128;0.905;0.0157;0.071;0.779;0.157;0.0032;0.0145;  6800;0;3;0.0187;0.0182;55;7.19e-05;0.453;0.000159;0.905;0.0183;0.079;0.769;0.169;0.003;0.013; 17440;0;1;0.0203;0.0186;53;19.4;0.915;1.44;  0%;  0%;  0%;2.83;2.99;16.8;  0%;  0%;  0%;3.47;0.982;0.592;  0%;  0%;  0%;0.468;3.09;2.02;  0%;  0%;  0%;0.266;80.3;0.0248;19.4;0;0;0;0;0;11.2;86.3;2.42;0.0384;0;0;0;0;0;0.0141;100;0;0;0;0;0;0;0;0.0175;97.5;0;2.47;0;0;0;0;0;37.4;42.4;39.2;38.9;6.42 ;6.7 ;5.76 ;5.28 ;
2017-11-10;21:54:34.558;0.0134;0.518;0.026;0.905;0.536;33.9;0.984;0.294;0.000118;0.00743;0.108;0.0875;4.56e+03;8.8e+03;2.12e+03;1.04;25.9;0.0269;0.672;56;2.87;91.1;0.864;5.21;0;0;0;0;0;158;23.9;0.00214;0.851;0.00251;0.905;0.22;4.37;0.95;0.0497;0.00122;0.0241; 35360;1;13;0.0195;0.0177;52;0.0515;0.51;0.101;0.905;0.281;29.4;0.99;0.321;6.44e-05;0.00673; 49280;10;11;0.0498;0.033;52;5.79e-05;0.451;0.000129;0.905;0.016;0.0709;0.775;0.165;0.00325;0.0144;  6720;0;2;0.0189;0.0185;55;7.34e-05;0.478;0.000154;0.905;0.019;0.0766;0.752;0.182;0.00306;0.0123; 17520;0;1;0.02;0.0183;53;19.9;1;1.32;  0%;  0%;  0%;2.77;2.93;17.5;  0%;  0%;  0%;3.93;0.966;0.622;  0%;  0%;  0%;0.421;2.95;1.66;  0%;  0%;  0%;0.278;79;0.0188;20.7;0;0;0;0;0;11.2;85.3;3.44;0.116;0;0;0;0;0;0.0142;100;0;0.00954;0;0;0;0;0;0.017;100;0;0.00973;0;0;0;0;0;37.1;42.3;39.2;39.2;6.33 ;6.64 ;5.69 ;5.21 ;
2017-11-10;21:54:35.569;0.0134;0.508;0.0263;0.905;0.502;34.3;0.985;0.288;0.000111;0.00756;0.0795;0.0606;4.53e+03;8.92e+03;2.12e+03;1.02;25.4;0.0267;0.668;52.5;2.91;38.5;1.33;57.3;0;38.7;0;0;0;134;22.7;0.00202;0.728;0.00277;0.903;0.202;4.21;0.952;0.0363;0.00118;0.0246; 35520;1;10;0.0195;0.0179;51;0.0513;0.503;0.102;0.905;0.26;29.9;0.991;0.314;5.97e-05;0.00687; 48880;7;9;0.0464;0.0314;52;6.27e-05;0.318;0.000197;0.842;0.0193;0.0898;0.785;0.111;0.00363;0.0169;  6720;0;1;0.00516;0.00461;55;7.97e-05;0.342;0.000233;0.854;0.0208;0.108;0.807;0.123;0.00307;0.0159; 17440;1;0;0.00851;0.00668;53;17.6;1.09;1.52;  0%;  0%;  0%;2.52;2.97;15.6;  0%;  0%;  0%;2.57;1.17;0.69;  0%;  0%;  0%;0.487;4.35;2;  0%;  0%;  0%;0.307;27.7;0.0318;71.9;0;0;0;0;0;11.3;83.2;5.29;0.211;0;0;0;0;0;0.0234;21.7;0;78.3;0;77.4;0;0;0;0.0273;21.3;0;78.7;0;77.5;0;0;0;31.5;42.3;30.5;29.6;6.37 ;6.53 ;5.1 ;4.68 ;
2017-11-10;21:54:36.578;0.0136;0.528;0.0257;0.905;0.519;33.8;0.985;0.293;0.000113;0.00734;0.107;0.0873;4.6e+03;8.72e+03;2.12e+03;1.06;26.4;0.0271;0.679;54.6;2.84;89.2;0.38;7.59;0;0;0;0;0;157;23.9;0.00207;0.841;0.00246;0.905;0.21;4.22;0.95;0.0488;0.0012;0.0241; 35360;1;6;0.02;0.0184;51;0.0521;0.52;0.1;0.905;0.274;29.4;0.991;0.319;6.21e-05;0.00666; 49280;6;14;0.0487;0.0326;52;5.79e-05;0.418;0.000139;0.905;0.0157;0.0753;0.792;0.107;0.00319;0.0153;  6800;0;3;0.0178;0.0175;55;8.09e-05;0.429;0.000189;0.905;0.0192;0.0877;0.781;0.132;0.0028;0.0128; 17440;0;0;0.0205;0.0188;53;19.9;1.01;1.32;  0%;  0%;  0%;2.64;3.01;16.8;  0%;  0%;  0%;2.63;0.944;0.61;  0%;  0%;  0%;0.436;3.62;1.66;  0%;  0%;  0%;0.272;78.3;0.0344;21.4;0;0;0;0;0;11.1;87.4;1.49;0.0475;0;0;0;0;0;0.0153;100;0;0;0;0;0;0;0;0.0208;91;0;8.95;0;0;0;0;0;37.1;42.5;39.2;37.9;6.36 ;6.64 ;5.68 ;5.21 ;
2017-11-10;21:54:37.587;0.0131;0.521;0.0252;0.905;0.468;32.5;0.986;0.298;0.000105;0.00729;0.103;0.0851;4.45e+03;8.56e+03;2.12e+03;1.04;26;0.0263;0.657;48.4;2.79;85.1;0.825;11.2;0;0;0;0;0;155;23.6;0.00183;0.806;0.00227;0.905;0.187;3.7;0.949;0.0509;0.00121;0.0238; 35440;0;11;0.0204;0.0189;51;0.0506;0.514;0.0984;0.905;0.245;28.6;0.991;0.321;5.71e-05;0.00668; 49200;8;6;0.0444;0.0305;52;5.76e-05;0.428;0.000134;0.905;0.017;0.0726;0.766;0.149;0.00348;0.0149;  6800;0;2;0.0178;0.0175;54;7.24e-05;0.412;0.000176;0.905;0.0189;0.0834;0.774;0.156;0.00307;0.0136; 17440;0;0;0.02;0.0183;53;18;0.909;1.3;  0%;  0%;  0%;2.39;2.63;14.6;  0%;  0%;  0%;2.35;0.858;0.615;  0%;  0%;  0%;0.413;2.61;1.74;  0%;  0%;  0%;0.251;71.2;0.0265;28.5;0;0;0;0;0;10.9;85.8;3.27;0.0803;0;0;0;0;0;0.0149;96.4;0;3.59;0;0;0;0;0;0.0194;87.2;0;12.8;0;0;0;0;0;36.3;42.2;39.1;37.8;6.23 ;6.54 ;5.66 ;5.17 ;
2017-11-10;21:54:38.597;0.0134;0.52;0.0257;0.905;0.473;33.6;0.986;0.292;0.000104;0.00743;0.104;0.0844;4.53e+03;8.7e+03;2.12e+03;1.04;26;0.0267;0.668;48.2;2.84;84.7;0.696;11.8;0;0;0;0;0;155;23.6;0.00184;0.747;0.00247;0.905;0.19;3.87;0.951;0.0376;0.00122;0.0248; 35520;0;8;0.0195;0.0178;51;0.0514;0.515;0.0998;0.905;0.239;29.5;0.992;0.316;5.48e-05;0.00677; 49600;10;7;0.0451;0.0302;52;7.31e-05;0.4;0.000183;0.905;0.0211;0.105;0.799;0.12;0.0034;0.0169;  6720;0;3;0.0185;0.0178;54;9.38e-05;0.409;0.000229;0.905;0.023;0.128;0.82;0.12;0.00289;0.0161; 18080;0;1;0.0205;0.0186;53;16.2;1.22;1.64;  0%;  0%;  0%;2.46;2.62;14.3;  0%;  0%;  0%;2.41;1.32;0.734;  0%;  0%;  0%;0.566;2.66;2.13;  0%;  0%;  0%;0.273;68.1;0.028;31.6;0;0;0;0;0;11;86.1;2.76;0.115;0;0;0;0;0;0.0202;92;0;8;0;0;0;0;0;0.0253;92.5;0;7.52;0;0;0;0;0;35.9;42.4;38.7;38.2;6.29 ;6.5 ;5.67 ;5.19 ;
