System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;14:38:23.860;0.0107;0.899;0.0119;0.619;1.46;16.8;0.913;0.384;0.000399;0.0046;0.341;0.47;3.65e+03;4.06e+03;2.13e+03;1.8;45;0.0215;0.537;550;1.93;42.1;0.564;55.4;0;15.4;0;0;0;129;28.4;0.00114;0.789;0.00145;0.608;0.158;2.28;0.931;0.0452;0.00162;0.0234; 38320;3;7;0.0919;0.105;53;0.0258;0.802;0.0321;0.619;0.546;11.4;0.952;0.433;0.000249;0.0052; 44320;15;24;0.108;0.151;54;0.0159;1.14;0.014;0.619;0.739;3.04;0.757;0.35;0.000546;0.00224; 36400;124;372;0.0475;0.104;56;7.15e-05;0.448;0.00016;0.619;0.0147;0.0803;0.817;0.114;0.00242;0.0132; 15600;0;1;0.0941;0.11;54;21.8;38.1;14.3;  0%;  0%;  0%;46.4;11;17.6;  0%;  0%;  0%;132;103;101;  0%;  0%;  0%;37.3;12;15.5;  0%;  0%;  0%;0.239;18.8;0.00187;80.9;0;0;0;0;0;5.19;31.3;0.992;62.6;0;61.5;0;0;0;2.25;89.9;1.26;6.61;0;0;0;0;0;0.0258;28.4;0.00148;71.6;0;0;0;0;0;29.9;31.6;37.5;29.8;7.34 ;7.32 ;7.15 ;6.57 ;
2017-11-10;14:38:24.872;0.0175;0.786;0.0223;0.619;0.974;33.8;0.971;0.32;0.000163;0.00566;0.13;0.108;5.97e+03;7.59e+03;2.13e+03;1.57;39.3;0.0351;0.876;91.5;3.6;39.7;1.02;55.6;0;9.15;0;0;0;129;24.9;0.00225;0.911;0.00247;0.619;0.236;4.92;0.952;0.0304;0.00123;0.0257; 38400;1;30;0.0241;0.0248;53;0.0677;0.784;0.0864;0.619;0.691;28.7;0.976;0.354;0.00012;0.00498; 48480;26;27;0.0583;0.0363;54;6.02e-05;0.371;0.000162;0.619;0.0268;0.0897;0.701;0.0713;0.00523;0.0175; 36720;0;1;0.0271;0.027;56;8.37e-05;0.458;0.000183;0.616;0.0208;0.0876;0.762;0.0989;0.00292;0.0123; 15600;0;2;0.0207;0.02;54;26.3;1.15;1.42;  0%;  0%;  0%;4.89;5.61;22.3;  0%;  0%;  0%;13.9;1.18;0.75;  0%;  0%;  0%;0.522;11.5;1.97;  0%;  0%;  0%;0.398;29;0.00642;70.6;0;0;0;0;0;14;80.8;4.06;1.16;0;0;0;0;0;0.0262;30.6;0;69.4;0;0;0;0;0;0.0296;18.6;0;81.4;0;36.6;0;0;0;30.6;38.8;30.4;28.9;6.62 ;7.02 ;6 ;5.3 ;
2017-11-10;14:38:25.871;0.0184;0.812;0.0226;0.619;1.3;34.7;0.963;0.329;0.00021;0.00562;0.159;0.127;6.17e+03;7.6e+03;2.1e+03;1.62;40.6;0.0368;0.919;123;3.66;90.7;0.219;5.44;0;0;0;0;0;145;25.4;0.0023;0.964;0.00239;0.619;0.244;4.98;0.951;0.0322;0.00126;0.0258; 38320;1;27;0.0316;0.0286;53;0.0711;0.809;0.0878;0.619;1;29.5;0.966;0.363;0.000168;0.00495; 49760;30;48;0.0658;0.0406;53;8e-05;0.481;0.000166;0.619;0.0265;0.113;0.766;0.1;0.00394;0.0168; 26320;0;5;0.0316;0.0305;56;8.37e-05;0.548;0.000153;0.619;0.0213;0.0866;0.754;0.121;0.00304;0.0123; 15760;1;1;0.0304;0.0273;54;33.7;2.05;2.12;  0%;  0%;  0%;7.27;7.16;23;  0%;  0%;  0%;27.2;1.92;1.44;  0%;  0%;  0%;1.22;13.3;2.48;  0%;  0%;  0%;0.385;86.9;0.0306;12.7;0;0;0;0;0;14.2;84.8;0.843;0.167;0;0;0;0;0;0.0269;91.1;0;8.89;0;0;0;0;0;0.0247;100;0;0;0;0;0;0;0;35.4;38.5;35.2;35.7;6.57 ;7.08 ;6.07 ;5.69 ;
2017-11-10;14:38:26.882;0.0184;0.812;0.0226;0.619;0.992;34.5;0.971;0.314;0.000159;0.00553;0.139;0.114;6.24e+03;7.68e+03;2.12e+03;1.62;40.6;0.0367;0.918;99.2;3.65;91.9;0.289;4.17;0;0;0;0;0;147;25.2;0.00236;0.97;0.00243;0.619;0.239;5.21;0.954;0.0298;0.00119;0.026; 38320;1;30;0.0285;0.0255;53;0.071;0.809;0.0878;0.619;0.717;29.2;0.975;0.348;0.000119;0.00484; 51200;28;33;0.0605;0.0387;53;5.95e-05;0.5;0.000119;0.619;0.0189;0.0749;0.748;0.143;0.00374;0.0148; 21280;0;1;0.0231;0.0238;56;6.66e-05;0.568;0.000117;0.619;0.0174;0.0722;0.759;0.164;0.00307;0.0128; 15760;0;2;0.0268;0.0264;53;30.8;1.43;1.73;  0%;  0%;  0%;5.83;6.59;22.1;  0%;  0%;  0%;14.2;1.46;0.803;  0%;  0%;  0%;0.626;11.5;2.19;  0%;  0%;  0%;0.392;88.7;0.00485;10.9;0;0;0;0;0;14.2;84.6;1.15;0.0856;0;0;0;0;0;0.0192;94.2;0;5.74;0;0;0;0;0;0.0189;100;0;0;0;0;0;0;0;36.1;39;36.1;36.2;6.57 ;7.08 ;5.98 ;5.58 ;
2017-11-10;14:38:27.892;0.0151;0.695;0.0217;0.619;1.12;34.5;0.968;0.291;0.000218;0.00675;0.148;0.123;5.12e+03;7.37e+03;2.12e+03;1.39;34.8;0.0302;0.754;106;3.51;94.9;0.000547;1.6;0;0;0;0;0;148;25.7;0.00232;1.03;0.00226;0.619;0.243;4.97;0.951;0.0425;0.00124;0.0252; 38320;0;21;0.0272;0.0266;52;0.0579;0.687;0.0843;0.619;0.835;29.4;0.972;0.321;0.00017;0.00599; 53200;27;34;0.063;0.0395;53;6.06e-05;0.487;0.000124;0.619;0.0195;0.0744;0.737;0.161;0.0038;0.0145; 18240;1;3;0.0298;0.0292;55;6.77e-05;0.538;0.000126;0.619;0.0187;0.0711;0.738;0.175;0.00325;0.0124; 15680;0;2;0.0276;0.0271;54;30.9;1.4;1.39;  0%;  0%;  0%;6.88;6.48;22.7;  0%;  0%;  0%;18.9;1.38;1.04;  0%;  0%;  0%;0.795;12.4;1.99;  0%;  0%;  0%;0.364;93.2;0.00219;6.4;0;0;0;0;0;13.6;86.4;0;0;0;0;0;0;0;0.0201;100;0;0;0;0;0;0;0;0.0203;100;0;0;0;0;0;0;0;36.3;38.8;36.4;36.2;6.56 ;7.34 ;6.15 ;5.6 ;
2017-11-10;14:38:28.903;0.0132;0.627;0.0211;0.619;0.594;34;0.983;0.282;0.000132;0.00757;0.112;0.0894;4.49e+03;7.16e+03;2.12e+03;1.25;31.4;0.0265;0.661;60.3;3.41;94.1;0.00059;2.48;0;0;0;0;0;147;25;0.00239;1.07;0.00224;0.619;0.244;5.02;0.951;0.0504;0.0012;0.0248; 38320;0;17;0.0198;0.018;53;0.0504;0.616;0.0819;0.619;0.314;28.8;0.989;0.311;7.33e-05;0.00674; 53120;10;13;0.0539;0.035;53;5.94e-05;0.545;0.000109;0.619;0.0172;0.0717;0.761;0.171;0.00341;0.0142; 18240;0;3;0.0181;0.0178;56;6.93e-05;0.574;0.000121;0.619;0.0193;0.0765;0.747;0.17;0.00328;0.013; 15840;1;0;0.0202;0.0185;54;22;1.07;1.36;  0%;  0%;  0%;3.06;3.19;19.5;  0%;  0%;  0%;2.98;1.02;0.632;  0%;  0%;  0%;0.433;3.21;1.78;  0%;  0%;  0%;0.361;89.7;0.00236;9.91;0;0;0;0;0;13.2;86.8;0;0;0;0;0;0;0;0.0176;100;0;0;0;0;0;0;0;0.0195;100;0;0;0;0;0;0;0;36.2;38.6;36.3;36.2;6.49 ;7.28 ;5.85 ;5.41 ;
2017-11-10;14:38:29.913;0.0131;0.628;0.0209;0.619;0.571;33.5;0.983;0.284;0.000128;0.00751;0.111;0.0889;4.46e+03;7.11e+03;2.12e+03;1.26;31.4;0.0263;0.657;59;3.38;94.1;0.0359;2.49;0;0;0;0;0;147;24.6;0.00226;1.04;0.00218;0.619;0.233;4.79;0.951;0.0478;0.00121;0.0249; 38240;1;18;0.0199;0.0179;52;0.0502;0.617;0.0813;0.619;0.295;28.5;0.99;0.314;6.92e-05;0.00669; 53520;15;9;0.0519;0.034;53;7.68e-05;0.565;0.000136;0.619;0.0216;0.109;0.801;0.142;0.00332;0.0167; 18240;0;2;0.019;0.0183;55;8.49e-05;0.57;0.000149;0.619;0.0209;0.108;0.806;0.143;0.00291;0.015; 15840;0;2;0.0202;0.0186;53;20.7;1.22;1.53;  0%;  0%;  0%;3.11;3.13;18.4;  0%;  0%;  0%;3.29;1.3;0.658;  0%;  0%;  0%;0.515;3.13;1.91;  0%;  0%;  0%;0.353;89.7;0.00679;9.94;0;0;0;0;0;13.1;86.7;0.137;0.0108;0;0;0;0;0;0.0219;100;0;0;0;0;0;0;0;0.0241;100;0;0;0;0;0;0;0;36;38.5;36.3;36.1;6.46 ;7.1 ;5.74 ;5.31 ;
2017-11-10;14:38:30.924;0.0131;0.616;0.0213;0.619;0.536;33.3;0.984;0.283;0.00012;0.00748;0.108;0.0877;4.45e+03;7.22e+03;2.12e+03;1.23;30.8;0.0262;0.655;55.2;3.44;92.7;0.16;3.69;0;0;0;0;0;147;24.4;0.00286;0.635;0.00451;0.619;0.222;5.09;0.956;0.0304;0.000912;0.021; 38160;1;21;0.0194;0.0177;52;0.0494;0.615;0.0804;0.619;0.279;28;0.99;0.316;6.65e-05;0.00668; 53760;12;13;0.0495;0.0331;53;5.96e-05;0.56;0.000106;0.619;0.0167;0.0681;0.755;0.176;0.00329;0.0135; 18240;0;2;0.0189;0.0186;56;7.25e-05;0.599;0.000121;0.619;0.0183;0.0735;0.751;0.174;0.00298;0.012; 15920;1;0;0.02;0.0183;54;19.6;0.944;1.23;  0%;  0%;  0%;2.79;2.88;17.6;  0%;  0%;  0%;3.87;0.856;0.633;  0%;  0%;  0%;0.395;2.81;1.63;  0%;  0%;  0%;0.729;84.6;0.0051;14.7;0;0;0;0;0;13;86.3;0.634;0.0545;0;0;0;0;0;0.0172;100;0;0;0;0;0;0;0;0.0196;100;0;0;0;0;0;0;0;35.7;38.5;36.3;36.1;6.38 ;7.01 ;5.71 ;5.3 ;
2017-11-10;14:38:31.934;0.0134;0.62;0.0217;0.619;0.553;33.8;0.984;0.285;0.000121;0.0074;0.11;0.0891;4.56e+03;7.36e+03;2.12e+03;1.24;31;0.0269;0.672;58.1;3.51;94.1;0.000945;2.43;0;0;0;0;0;147;24.5;0.00284;0.648;0.00439;0.619;0.228;4.83;0.953;0.0441;0.000945;0.02; 38160;1;9;0.0195;0.0178;53;0.0508;0.618;0.0822;0.619;0.291;28.8;0.99;0.315;6.76e-05;0.00668; 53200;8;10;0.0507;0.0338;53;5.79e-05;0.555;0.000104;0.619;0.0166;0.0693;0.76;0.174;0.00338;0.0141; 18320;0;2;0.0185;0.0181;55;6.57e-05;0.58;0.000113;0.619;0.0168;0.0692;0.758;0.177;0.003;0.0124; 15920;0;1;0.0209;0.0193;53;20.4;1;1.31;  0%;  0%;  0%;2.89;3.09;18.3;  0%;  0%;  0%;3.2;1.06;0.572;  0%;  0%;  0%;0.44;4.06;1.77;  0%;  0%;  0%;0.709;89.6;0.00378;9.73;0;0;0;0;0;13.3;86.7;0;0;0;0;0;0;0;0.0168;100;0;0;0;0;0;0;0;0.0183;100;0;0;0;0;0;0;0;36.3;38.6;36.3;36.1;6.43 ;7.01 ;5.7 ;5.32 ;
2017-11-10;14:38:32.944;0.0133;0.632;0.0211;0.619;0.59;33.7;0.983;0.287;0.000131;0.00747;0.112;0.0902;4.51e+03;7.15e+03;2.12e+03;1.26;31.6;0.0266;0.665;61.8;3.4;94.1;0.0348;2.5;0;0;0;0;0;147;24.5;0.00236;1.06;0.00222;0.619;0.244;4.96;0.951;0.0501;0.00122;0.0248; 38080;0;11;0.0201;0.0183;52;0.0504;0.618;0.0816;0.619;0.304;28.5;0.989;0.317;7.11e-05;0.00667; 53120;9;12;0.0529;0.0349;53;5.95e-05;0.553;0.000108;0.619;0.0184;0.0699;0.737;0.175;0.00364;0.0138; 18400;0;1;0.018;0.0177;56;0.000341;1.34;0.000254;0.619;0.0237;0.162;0.854;0.197;0.000821;0.00561; 16080;0;1;0.021;0.0192;53;22.2;1.03;1.48;  0%;  0%;  0%;3.04;3.31;19.3;  0%;  0%;  0%;2.95;0.974;0.778;  0%;  0%;  0%;0.509;4.23;2.09;  0%;  0%;  0%;0.359;89.7;0.00422;9.99;0;0;0;0;0;13.2;86.6;0.135;0.0337;0;0;0;0;0;0.0174;100;0;0;0;0;0;0;0;0.041;100;0;0;0;0;0;0;0;36.2;38.6;36.4;36.2;6.43 ;7.09 ;5.65 ;5.31 ;
