System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;21:50:04.777;0.0118;0.849;0.0139;0.667;1.11;16.3;0.932;0.421;0.000278;0.00409;0.293;0.406;4e+03;4.71e+03;2.12e+03;1.7;42.4;0.0235;0.588;509;2.08;37.7;0.242;59.9;0;30;0;0;0;131;27.8;0.0469;0.853;0.0549;0.667;1.07;16.1;0.934;0.424;0.000268;0.00404; 53360;141;390;0.0494;0.092;52;6.56e-05;0.407;0.000161;0.648;0.0143;0.0903;0.842;0.0909;0.00256;0.0162; 14160;0;2;0.0722;0.0985;54;5.99e-05;0.394;0.000152;0.653;0.0118;0.0807;0.854;0.0979;0.00232;0.0158; 14480;0;4;0.0781;0.0982;56;7.7e-05;0.38;0.000203;0.667;0.0167;0.096;0.826;0.12;0.00255;0.0147; 15360;0;1;0.0937;0.117;54;105;100;106;  0%;  0%;  0%;11.5;11.6;39.7;  0%;  0%;  0%;11.3;38.8;12;  0%;  0%;  0%;11.8;11.4;49.2;  0%;  0%;  0%;8.24;89.7;0.968;1.07;0;0;0;0;0;0.0249;15;0;85;0;83.9;0;0;0;0.0233;17.2;0;82.8;0;36.2;0;0;0;0.0304;29.1;0;70.9;0;0;0;0;0;40.7;29.1;30.3;30.6;7.35 ;6.82 ;6.96 ;6.7 ;
2017-11-10;21:50:05.789;0.0178;0.755;0.0236;0.667;0.683;31.7;0.978;0.387;0.000113;0.00523;0.107;0.112;6.06e+03;8.03e+03;2.13e+03;1.51;37.7;0.0356;0.89;71.1;3.54;43;0.77;52.7;0;8.53;0;0;0;131;24.3;0.071;0.757;0.0939;0.667;0.623;31.4;0.98;0.389;0.000103;0.0052; 51680;20;42;0.03;0.0254;52;7.18e-05;0.436;0.000165;0.667;0.0203;0.0857;0.763;0.082;0.00332;0.014; 14160;0;1;0.0275;0.0316;54;6.1e-05;0.37;0.000165;0.667;0.018;0.0815;0.779;0.0785;0.00347;0.0157; 14560;0;2;0.0271;0.0304;56;7.93e-05;0.393;0.000202;0.66;0.0222;0.0924;0.76;0.112;0.00329;0.0137; 15280;0;1;0.0225;0.0251;54;9.13;7.64;9.49;  0%;  0%;  0%;0.314;0.597;14.5;  0%;  0%;  0%;0.221;13.9;0.683;  0%;  0%;  0%;0.517;0.567;13.6;  0%;  0%;  0%;14.1;82.8;3.08;0.0244;0;0;0;0;0;0.0247;40.4;0;59.6;0;0;0;0;0;0.0247;25.4;0;74.6;0;0;0;0;0;0.0306;23.3;0;76.6;0;34.1;0;0;0;41;30.7;30.2;29.2;6.71 ;6.09 ;6.06 ;5.42 ;
2017-11-10;21:50:06.787;0.0172;0.754;0.0229;0.667;0.798;31.2;0.974;0.383;0.000138;0.0054;0.12;0.11;5.78e+03;7.67e+03;2.1e+03;1.51;37.7;0.0345;0.862;66.1;3.43;95.8;0.722;0.0138;0;0;0;0;0;149;23.8;0.0686;0.755;0.0909;0.667;0.731;30.8;0.976;0.385;0.000127;0.00535; 48960;20;30;0.0349;0.0218;52;9.64e-05;0.533;0.000181;0.667;0.0203;0.15;0.864;0.0813;0.00252;0.0185; 14160;1;0;0.0279;0.0295;53;9.17e-05;0.547;0.000168;0.667;0.0218;0.143;0.847;0.084;0.00283;0.0186; 14560;0;4;0.0259;0.0272;56;0.000102;0.553;0.000185;0.667;0.0247;0.127;0.806;0.114;0.00288;0.0149; 15440;0;0;0.031;0.0313;54;6;5.45;7.3;  0%;  0%;  0%;0.495;0.599;14.6;  0%;  0%;  0%;0.365;12.2;0.771;  0%;  0%;  0%;0.599;0.635;17.1;  0%;  0%;  0%;13.6;83.4;2.89;0.0553;0;0;0;0;0;0.0271;100;0;0;0;0;0;0;0;0.0252;100;0;0;0;0;0;0;0;0.0277;100;0;0;0;0;0;0;0;40.3;35.7;36.9;35.8;6.48 ;5.89 ;5.98 ;5.47 ;
2017-11-10;21:50:07.797;0.0175;0.767;0.0228;0.667;0.563;30.3;0.981;0.374;9.46e-05;0.0051;0.106;0.0999;5.95e+03;7.76e+03;2.12e+03;1.53;38.3;0.035;0.876;51.5;3.43;96;0.599;0.0157;0;0;0;0;0;151;23.8;0.0699;0.768;0.091;0.667;0.509;30.1;0.983;0.375;8.58e-05;0.00507; 48240;8;32;0.0268;0.0206;51;6.08e-05;0.542;0.000112;0.667;0.0175;0.0732;0.762;0.151;0.00338;0.0142; 14160;0;2;0.0245;0.0252;53;6.97e-05;0.591;0.000118;0.667;0.0177;0.0728;0.757;0.162;0.00299;0.0123; 14720;0;5;0.0265;0.0274;55;7.52e-05;0.558;0.000135;0.667;0.0188;0.0793;0.763;0.184;0.00294;0.0124; 15280;0;1;0.0277;0.0267;53;4;4.34;4.85;  0%;  0%;  0%;0.28;0.577;10.3;  0%;  0%;  0%;0.213;13;0.69;  0%;  0%;  0%;0.514;0.541;12.3;  0%;  0%;  0%;13.7;83.9;2.4;0.0629;0;0;0;0;0;0.0168;100;0;0;0;0;0;0;0;0.0177;100;0;0;0;0;0;0;0;0.0202;100;0;0;0;0;0;0;0;40.9;36.2;37.4;36.3;6.59 ;5.86 ;5.95 ;5.43 ;
2017-11-10;21:50:08.807;0.0153;0.602;0.0255;0.667;0.689;32;0.978;0.346;0.000132;0.00615;0.114;0.105;5.21e+03;8.65e+03;2.12e+03;1.2;30.1;0.0307;0.767;57.2;3.82;94.9;1.13;0.196;0;0;0;0;0;154;23.4;0.058;0.651;0.089;0.667;0.639;31.8;0.98;0.347;0.00013;0.00646; 53920;19;30;0.0322;0.0211;52;6.03e-05;0.164;0.000368;0.667;0.0168;0.073;0.77;0.163;0.00328;0.0143; 14160;1;0;0.026;0.0271;53;0.00321;0.265;0.0121;0.667;0.0155;0.0712;0.782;0.172;5.69e-05;0.000261; 14640;0;5;0.0236;0.0247;56;7.35e-05;0.193;0.00038;0.667;0.0174;0.0776;0.775;0.193;0.00279;0.0124; 15280;0;2;0.0319;0.0316;53;4.95;4.32;6.29;  0%;  0%;  0%;0.282;0.623;12;  0%;  0%;  0%;0.219;9.16;0.668;  0%;  0%;  0%;0.491;0.56;17.6;  0%;  0%;  0%;13.4;81.3;4.52;0.783;0;0;0;0;0;0.0552;99.9;0;0;0;0;0;0;0;1.82;98.2;0;0;0;0;0;0;0;0.057;99.9;0;0;0;0;0;0;0;41.2;36.6;38.7;37.1;6.48 ;5.8 ;5.85 ;5.27 ;
2017-11-10;21:50:09.817;0.0135;0.542;0.025;0.667;0.14;30.8;0.995;0.344;3.06e-05;0.00672;0.0782;0.0735;4.59e+03;8.48e+03;2.12e+03;1.08;27.1;0.0271;0.677;15.2;3.75;94.5;1.7;0.011;0;0;0;0;0;153;22.9;0.0507;0.584;0.0868;0.667;0.091;30.6;0.997;0.345;2.11e-05;0.00712; 54080;7;0;0.0214;0.019;51;5.94e-05;0.149;0.000399;0.667;0.0158;0.07;0.775;0.163;0.00313;0.0139; 14160;1;1;0.018;0.0176;54;0.00326;0.265;0.0123;0.667;0.0158;0.0696;0.774;0.174;5.7e-05;0.000252; 14720;1;3;0.0177;0.0175;55;7.58e-05;0.183;0.000415;0.667;0.0179;0.0786;0.773;0.2;0.00278;0.0122; 15360;0;2;0.0211;0.0193;54;1.73;1.63;2.23;  0%;  0%;  0%;0.237;0.468;1.74;  0%;  0%;  0%;0.181;1.67;0.582;  0%;  0%;  0%;0.406;0.445;3.91;  0%;  0%;  0%;13;80.1;6.79;0.0442;0;0;0;0;0;0.0599;99.9;0;0;0;0;0;0;0;1.85;98.2;0;0;0;0;0;0;0;0.0622;99.9;0;0;0;0;0;0;0;41;36.6;38.7;37.1;6.24 ;5.63 ;5.73 ;5.27 ;
2017-11-10;21:50:10.827;0.0132;0.556;0.0238;0.667;0.151;31.3;0.995;0.338;3.35e-05;0.00696;0.0792;0.0731;4.5e+03;8.08e+03;2.12e+03;1.11;27.8;0.0265;0.662;15.1;3.57;92.9;1.14;2.34;0;0;0;0;0;152;23;0.0506;0.587;0.0863;0.667;0.0934;31;0.997;0.34;2.18e-05;0.00722; 54800;7;2;0.0226;0.0192;51;8.02e-05;0.233;0.000345;0.667;0.0196;0.117;0.833;0.132;0.00288;0.0173; 14080;0;1;0.0183;0.0178;53;0.00222;0.266;0.00834;0.667;0.0184;0.0991;0.814;0.15;9.77e-05;0.000526; 14560;0;3;0.0182;0.0177;56;8.7e-05;0.276;0.000316;0.667;0.0193;0.103;0.812;0.164;0.00261;0.0139; 15440;0;1;0.0201;0.0183;53;2.12;1.82;2.13;  0%;  0%;  0%;0.414;0.446;1.87;  0%;  0%;  0%;0.246;1.88;0.629;  0%;  0%;  0%;0.454;0.431;2.66;  0%;  0%;  0%;12.9;80.5;4.57;2;0;0;0;0;0;0.0517;99.9;0;0;0;0;0;0;0;1.25;98.7;0;0;0;0;0;0;0;0.0474;92.6;0;7.34;0;0;0;0;0;40.6;36.5;38.4;36.2;6.33 ;5.71 ;5.71 ;5.25 ;
2017-11-10;21:50:11.837;0.0118;0.572;0.0207;0.667;0.124;28.7;0.996;0.342;3.08e-05;0.00714;0.077;0.0724;4.02e+03;7.03e+03;2.12e+03;1.14;28.6;0.0237;0.592;13.1;3.11;95;1.46;0.395;0;0;0;0;0;150;22.7;0.0471;0.572;0.0825;0.667;0.0761;28.4;0.997;0.343;1.9e-05;0.00711; 55200;7;0;0.0212;0.0188;51;6.22e-05;0.556;0.000112;0.667;0.0156;0.072;0.783;0.162;0.00296;0.0136; 14240;0;3;0.0184;0.0181;53;6.3e-05;0.57;0.000111;0.667;0.0151;0.0681;0.778;0.174;0.00283;0.0127; 14640;0;2;0.0175;0.0174;56;7.33e-05;0.565;0.00013;0.667;0.017;0.0752;0.774;0.19;0.00273;0.0121; 15440;0;1;0.0199;0.0181;53;1.68;1.44;1.84;  0%;  0%;  0%;0.232;0.42;2.34;  0%;  0%;  0%;0.125;1.46;0.517;  0%;  0%;  0%;0.356;0.398;2.31;  0%;  0%;  0%;12.4;81.1;5.85;0.724;0;0;0;0;0;0.0168;100;0;0;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;0.0195;99.1;0;0.855;0;0;0;0;0;40.1;36.1;37.4;36.3;6.2 ;5.68 ;5.66 ;5.19 ;
2017-11-10;21:50:12.847;0.012;0.57;0.0211;0.667;0.134;29.5;0.995;0.335;3.3e-05;0.00723;0.0783;0.0738;4.07e+03;7.14e+03;2.12e+03;1.14;28.5;0.024;0.6;15.5;3.16;95.4;1.3;0.187;0;0;0;0;0;150;23.1;0.0475;0.568;0.0837;0.667;0.0807;29.1;0.997;0.336;2e-05;0.00723; 55520;2;4;0.0212;0.0191;51;6.05e-05;0.542;0.000112;0.667;0.0166;0.0721;0.769;0.161;0.00324;0.014; 14320;0;1;0.0193;0.0189;53;6.91e-05;0.608;0.000114;0.667;0.0155;0.0708;0.781;0.174;0.00265;0.0121; 14560;0;5;0.0178;0.0176;55;0.000346;1.27;0.000272;0.667;0.0214;0.166;0.871;0.209;0.000731;0.00567; 15440;0;2;0.0201;0.0183;53;1.85;1.58;2.12;  0%;  0%;  0%;0.265;0.516;3.27;  0%;  0%;  0%;0.154;1.59;0.624;  0%;  0%;  0%;0.457;0.489;2.54;  0%;  0%;  0%;12.6;82.1;5.19;0.155;0;0;0;0;0;0.0167;100;0;0;0;0;0;0;0;0.0171;100;0;0;0;0;0;0;0;0.0407;99.4;0;0.594;0;0;0;0;0;40.2;36.1;37.4;36.3;6.28 ;5.78 ;5.72 ;5.29 ;
2017-11-10;21:50:13.857;0.0118;0.578;0.0203;0.667;0.127;28;0.995;0.343;3.19e-05;0.00701;0.0773;0.0731;3.99e+03;6.9e+03;2.12e+03;1.16;28.9;0.0235;0.588;14.2;3.05;96.1;0.827;0.0305;0;0;0;0;0;150;22.7;0.0468;0.578;0.081;0.667;0.0775;27.7;0.997;0.344;1.95e-05;0.00698; 55680;4;0;0.0207;0.0188;51;6.06e-05;0.551;0.00011;0.667;0.0165;0.0717;0.77;0.164;0.0032;0.014; 14320;0;1;0.0178;0.0175;53;6.43e-05;0.568;0.000113;0.667;0.0155;0.0701;0.779;0.167;0.00283;0.0128; 14720;0;2;0.0187;0.0186;55;7.31e-05;0.562;0.00013;0.667;0.0181;0.0781;0.769;0.189;0.00291;0.0126; 15440;0;2;0.02;0.0182;53;1.62;1.54;1.95;  0%;  0%;  0%;0.237;0.455;1.62;  0%;  0%;  0%;0.129;2.9;0.528;  0%;  0%;  0%;0.381;0.409;2.45;  0%;  0%;  0%;12.2;84.5;3.31;0.0454;0;0;0;0;0;0.0165;100;0;0;0;0;0;0;0;0.017;99.9;0;0.0764;0;0;0;0;0;0.0195;100;0;0;0;0;0;0;0;40.2;36.1;37.4;36.3;6.23 ;5.61 ;5.67 ;5.19 ;
2017-11-10;21:50:14.867;0.0121;0.578;0.0209;0.667;0.126;29.4;0.996;0.329;3.08e-05;0.00717;0.0779;0.0735;4.1e+03;7.1e+03;2.12e+03;1.16;28.9;0.0242;0.605;14.9;3.14;95.6;1.01;0.214;0;0;0;0;0;150;22.7;0.0482;0.578;0.0833;0.667;0.0773;29.2;0.997;0.33;1.89e-05;0.00714; 55520;5;1;0.021;0.019;51;7.39e-05;0.539;0.000137;0.667;0.0167;0.0986;0.831;0.145;0.00267;0.0157; 14160;0;0;0.0181;0.0176;53;7.07e-05;0.559;0.000126;0.667;0.0155;0.073;0.788;0.182;0.00258;0.0122; 14640;0;2;0.0187;0.0183;55;7.97e-05;0.567;0.000141;0.667;0.0168;0.0772;0.783;0.205;0.00248;0.0114; 15520;0;2;0.0201;0.0187;53;1.89;1.6;1.99;  0%;  0%;  0%;0.345;0.438;1.77;  0%;  0%;  0%;0.191;2.52;0.523;  0%;  0%;  0%;0.399;0.381;2.88;  0%;  0%;  0%;12.5;82.8;4.05;0.626;0;0;0;0;0;0.0206;99.8;0;0.229;0;0;0;0;0;0.019;100;0;0;0;0;0;0;0;0.0211;100;0;0;0;0;0;0;0;40.3;36.1;37.4;36.4;6.14 ;5.6 ;5.68 ;5.27 ;
2017-11-10;21:50:15.877;0.0122;0.578;0.0211;0.667;0.201;29;0.993;0.345;4.85e-05;0.00699;0.0831;0.0776;4.15e+03;7.17e+03;2.12e+03;1.16;28.9;0.0244;0.611;24.3;3.17;93.8;1.2;1.87;0;0;0;0;0;149;22.9;0.0485;0.577;0.0839;0.667;0.11;28.7;0.996;0.345;2.66e-05;0.00697; 55360;3;11;0.0239;0.0203;51;8.63e-05;0.564;0.000153;0.667;0.0284;0.092;0.691;0.193;0.00388;0.0126; 14800;0;7;0.0183;0.0181;53;0.000135;0.664;0.000203;0.667;0.0328;0.108;0.695;0.357;0.00286;0.00939; 15680;0;4;0.0191;0.0189;55;0.000198;0.847;0.000234;0.667;0.0305;0.11;0.722;0.261;0.00181;0.00652; 16080;3;0;0.0218;0.0203;53;2.86;3.33;3.2;  0%;  0%;  0%;0.697;0.802;2.38;  0%;  0%;  0%;0.665;2.7;1.12;  0%;  0%;  0%;1.07;0.747;4.75;  0%;  0%;  0%;12.6;82.5;4.79;0.0705;0;0;0;0;0;0.0229;97.4;0;2.57;0;0;0;0;0;0.0305;98.5;0;1.47;0;0;0;0;0;0.0352;96.6;0;3.38;0;0;0;0;0;40.3;35.8;37.1;36.2;6.25 ;5.67 ;5.74 ;5.21 ;
