System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;21:35:51.814;0.0328;0.857;0.0382;1.22;2.24;54.8;0.959;0.343;0.000202;0.00494;0.357;0.493;1.11e+04;1.29e+04;2.12e+03;1.71;42.9;0.0656;1.64;566;3.13;48.3;0.0024;48.5;0;28.7;0;0;0;256;32.8;0.0163;1.02;0.0159;1.18;0.936;6.1;0.847;0.24;0.000678;0.00442; 41040;131;362;0.0605;0.114;52;0.115;0.839;0.137;1.23;1.27;48.5;0.974;0.355;0.000131;0.005; 49680;34;65;0.123;0.14;52;5.92e-05;0.329;0.00018;1.11;0.0148;0.085;0.825;0.0918;0.00296;0.017; 10160;0;0;0.0776;0.129;54;7.85e-05;0.376;0.000209;1.03;0.0192;0.101;0.809;0.129;0.00289;0.0152;  9280;0;3;0.0966;0.11;53;149;89.4;85.9;  0%;  0%;  0%;12.3;24.6;65.1;  0%;  0%;  0%;22.4;36.7;7.76;  0%;  0%;  0%;7.51;28.2;36.6;  0%;  0%;  0%;1.36;93.6;0.00942;5.04;0;0;0;0;0;11.1;59.4;0.000156;29.5;0;29.1;0;0;0;0.0161;13.3;0;86.7;0;85.7;0;0;0;0.0203;27;0;72.9;0;0;0;0;0;71.6;75.8;55.6;52.8;9.74 ;9.61 ;6.76 ;6.7 ;
2017-11-10;21:35:52.822;0.0398;0.812;0.0491;1.24;2.12;73.6;0.971;0.33;0.000157;0.00546;0.199;0.161;1.35e+04;1.66e+04;2.12e+03;1.62;40.6;0.0797;1.99;207;3.97;32.7;0.0347;63.3;0;26.1;0;0;0;255;33.9;0.0021;0.804;0.00261;1.2;0.282;4.47;0.937;0.0334;0.00159;0.0251; 21840;3;29;0.0489;0.0461;51;0.157;0.812;0.193;1.24;1.78;68.9;0.974;0.343;0.000134;0.00519; 54720;50;79;0.0811;0.0482;51;6.29e-05;0.33;0.000191;1.22;0.0215;0.0893;0.759;0.0773;0.00404;0.0168; 10480;0;3;0.0403;0.0406;53;0.000356;0.915;0.000389;1.05;0.0389;0.202;0.807;0.163;0.00129;0.00669;  9440;1;3;0.029;0.0263;53;75.1;2.52;3.61;  0%;  0%;  0%;13.8;14.4;32.1;  0%;  0%;  0%;27.3;2.72;2.33;  0%;  0%;  0%;2.05;26.5;4.24;  0%;  0%;  0%;0.218;11.2;0.139;88.5;0;21;0;0;0;15.6;84.4;0;0;0;0;0;0;0;0.0157;21;0;79;0;0;0;0;0;0.037;14;0;85.9;0;83.6;0;0;0;54.6;87.8;61.7;51.3;8.88 ;10.2 ;9.07 ;5.71 ;
2017-11-10;21:35:53.820;0.0291;0.641;0.0455;1.24;0.787;70.3;0.989;0.324;8.05e-05;0.00719;0.12;0.0927;9.78e+03;1.53e+04;2.1e+03;1.28;32;0.0583;1.46;82.2;3.68;70.7;0.00312;25.6;0;7.7;0;0;0;285;34.7;0.00221;0.872;0.00254;1.17;0.306;4.78;0.936;0.0316;0.00165;0.0257; 22240;1;22;0.016;0.0145;52;0.114;0.638;0.179;1.24;0.437;65.3;0.993;0.339;4.56e-05;0.00682; 54240;18;20;0.066;0.0417;51;6.14e-05;0.474;0.000129;1.21;0.0208;0.0787;0.735;0.115;0.00405;0.0153; 10400;1;1;0.018;0.0179;52;7.86e-05;0.463;0.00017;1.21;0.0232;0.0889;0.74;0.132;0.00351;0.0135;  9600;0;2;0.0201;0.0186;52;31.3;1.16;1.47;  0%;  0%;  0%;4.67;4.9;25.3;  0%;  0%;  0%;4.39;1.21;0.695;  0%;  0%;  0%;0.493;4.63;1.93;  0%;  0%;  0%;0.217;6.33;0.0125;93.4;0;30.8;0;0;0;14.5;85.5;0;0;0;0;0;0;0;0.0107;100;0;0;0;0;0;0;0;0.014;91.1;0;8.89;0;0;0;0;0;52.5;85.4;77.5;69.9;8.38 ;10.1 ;8.36 ;7.85 ;
2017-11-10;21:35:54.827;0.0287;0.641;0.0448;1.24;0.74;69.8;0.989;0.322;7.63e-05;0.0072;0.123;0.0971;9.7e+03;1.51e+04;2.11e+03;1.28;32;0.0573;1.43;78.3;3.61;67.9;0.00354;28.5;0;0;0;0;0;287;34.6;0.00218;0.824;0.00265;1.36;0.289;4.74;0.939;0.0321;0.00157;0.0256; 22160;2;19;0.0199;0.0182;51;0.112;0.638;0.176;1.24;0.401;64.8;0.994;0.337;4.22e-05;0.00683; 54800;12;11;0.0625;0.0399;50;8.54e-05;0.562;0.000152;1.23;0.0242;0.136;0.822;0.111;0.00335;0.0188; 10400;0;3;0.0204;0.0199;52;9.81e-05;0.491;0.0002;1.24;0.0255;0.133;0.808;0.122;0.00308;0.0161;  9680;1;1;0.0205;0.019;52;26.8;1.26;1.6;  0%;  0%;  0%;4.69;4.82;23.4;  0%;  0%;  0%;6.43;1.34;0.785;  0%;  0%;  0%;0.562;4.46;2.14;  0%;  0%;  0%;0.196;6.87;0.0142;92.9;0;0;0;0;0;14.2;85.8;0;0;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;0.0161;79.1;0;20.9;0;0;0;0;0;55;86.1;78.3;67.8;9.06 ;10.1 ;7.99 ;7.46 ;
2017-11-10;21:35:55.834;0.0289;0.643;0.045;1.24;0.679;69.8;0.99;0.318;6.93e-05;0.00713;0.111;0.0887;9.8e+03;1.52e+04;2.12e+03;1.29;32.2;0.0579;1.45;73.4;3.64;69.7;0.00494;26.6;0;10.6;0;0;0;287;32.9;0.00204;0.855;0.00239;1.26;0.264;4.4;0.94;0.0322;0.00153;0.0255; 22480;1;17;0.0132;0.0119;51;0.114;0.641;0.177;1.24;0.376;65.3;0.994;0.332;3.91e-05;0.00679; 54960;10;11;0.0581;0.0383;49;6.02e-05;0.52;0.000116;1.24;0.0192;0.0747;0.743;0.16;0.00377;0.0147; 10400;0;3;0.0181;0.018;52;7.47e-05;0.487;0.000154;1.24;0.0203;0.0818;0.752;0.165;0.00321;0.0129;  9600;0;0;0.0219;0.0206;52;26.1;1.06;1.35;  0%;  0%;  0%;4;4.53;22.1;  0%;  0%;  0%;3.82;1.12;0.725;  0%;  0%;  0%;0.472;6.28;1.87;  0%;  0%;  0%;0.189;4.34;0.0198;95.4;0;42.4;0;0;0;14.3;85.7;0;0;0;0;0;0;0;0.00935;100;0;0;0;0;0;0;0;0.0124;88.9;0;11.1;0;0;0;0;0;52.8;86.3;78.4;69.8;7.74 ;10.2 ;7.7 ;7.31 ;
2017-11-10;21:35:56.841;0.0291;0.644;0.0452;1.24;0.715;70.4;0.99;0.316;7.26e-05;0.00715;0.109;0.0834;9.84e+03;1.53e+04;2.12e+03;1.29;32.2;0.0582;1.45;74.5;3.66;70;0.00346;26.4;0;17.9;0;0;0;287;32.2;0.00219;0.87;0.00251;1.17;0.28;4.74;0.941;0.0315;0.00151;0.0256; 22640;1;21;0.0085;0.00721;51;0.114;0.641;0.178;1.24;0.396;65.5;0.994;0.33;4.11e-05;0.00679; 54480;14;14;0.0625;0.0394;49;5.96e-05;0.512;0.000116;1.24;0.0182;0.0732;0.752;0.164;0.00361;0.0145; 10480;0;3;0.0181;0.018;52;7.57e-05;0.513;0.000148;1.24;0.0205;0.0811;0.747;0.175;0.0032;0.0127;  9600;0;2;0.0201;0.0188;51;27.8;1.03;1.35;  0%;  0%;  0%;4.16;4.53;23.6;  0%;  0%;  0%;3.89;1.03;0.708;  0%;  0%;  0%;0.46;4.06;1.9;  0%;  0%;  0%;0.215;2.36;0.0138;97.4;0;71.5;0;0;0;14.4;85.6;0;0;0;0;0;0;0;0.00941;97;0;3.02;0;0;0;0;0;0.0119;95;0;4.98;0;0;0;0;0;51.2;86.4;77.6;71.6;7.1 ;10.2 ;7.67 ;7.18 ;
2017-11-10;21:35:57.848;0.0291;0.645;0.0451;1.24;0.687;70.3;0.99;0.317;6.97e-05;0.00714;0.118;0.0961;9.85e+03;1.53e+04;2.11e+03;1.29;32.3;0.0582;1.46;73;3.64;69.6;0.00161;26.8;0;0;0;0;0;289;33.9;0.00217;0.854;0.00254;1.37;0.268;4.68;0.943;0.0322;0.00146;0.0256; 22640;0;23;0.0194;0.0184;51;0.114;0.642;0.178;1.24;0.381;65.5;0.994;0.331;3.95e-05;0.00678; 54800;13;14;0.0576;0.038;49;5.89e-05;0.515;0.000114;1.24;0.0182;0.073;0.751;0.159;0.00365;0.0146; 10480;0;2;0.0199;0.0199;51;7.32e-05;0.49;0.000149;1.24;0.0196;0.0801;0.755;0.171;0.00317;0.0129;  9520;0;1;0.0211;0.0199;51;24.6;1.04;1.32;  0%;  0%;  0%;4.19;4.46;22.2;  0%;  0%;  0%;6.1;0.998;0.643;  0%;  0%;  0%;0.436;5.38;1.72;  0%;  0%;  0%;0.185;6.83;0.00645;93;0;0;0;0;0;14.4;85.6;0;0;0;0;0;0;0;0.00924;99.4;0;0.577;0;0;0;0;0;0.0121;86.4;0;13.6;0;0;0;0;0;55;86.4;78.3;69.8;8.9 ;10.1 ;7.68 ;7.17 ;
2017-11-10;21:35:58.855;0.0289;0.644;0.0448;1.24;0.686;70.3;0.99;0.318;7.02e-05;0.00719;0.119;0.0975;9.78e+03;1.52e+04;2.11e+03;1.29;32.2;0.0578;1.44;74.1;3.62;71.4;0.00246;25;0;0;0;0;0;291;33.9;0.00211;0.822;0.00256;1.38;0.26;4.55;0.943;0.0317;0.00146;0.0255; 22800;1;23;0.0219;0.0211;51;0.113;0.642;0.176;1.24;0.389;65.6;0.994;0.332;4.06e-05;0.00684; 54320;14;18;0.0572;0.0381;49;6.71e-05;0.522;0.000129;1.24;0.0189;0.0794;0.763;0.163;0.00332;0.014; 10720;0;5;0.0183;0.0183;51;7.88e-05;0.508;0.000155;1.24;0.0189;0.078;0.758;0.179;0.00283;0.0117;  9600;1;1;0.0213;0.02;51;27.6;1.01;1.25;  0%;  0%;  0%;4.32;4.29;22.5;  0%;  0%;  0%;3.67;1.11;0.608;  0%;  0%;  0%;0.476;5.47;1.74;  0%;  0%;  0%;0.186;6.1;0.00984;93.7;0;0;0;0;0;14.3;85.7;0;0;0;0;0;0;0;0.0104;100;0;0;0;0;0;0;0;0.0125;93.6;0;6.4;0;0;0;0;0;54.9;86.4;78.6;71.1;9.03 ;10.1 ;7.72 ;7.04 ;
2017-11-10;21:35:59.862;0.0293;0.646;0.0454;1.24;0.666;70.9;0.991;0.306;6.72e-05;0.00715;0.116;0.0946;9.92e+03;1.53e+04;2.11e+03;1.29;32.3;0.0586;1.47;68.1;3.66;70.8;0.00353;25.6;0;0;0;0;0;291;33.9;0.00207;0.85;0.00243;1.38;0.246;4.45;0.945;0.032;0.00141;0.0255; 22800;1;26;0.0196;0.019;50;0.115;0.643;0.179;1.24;0.384;66.3;0.994;0.319;3.95e-05;0.00681; 53280;17;16;0.0565;0.0361;49;5.9e-05;0.529;0.000112;1.24;0.018;0.0715;0.748;0.166;0.0036;0.0143; 10800;0;2;0.0204;0.0208;51;7.14e-05;0.515;0.000139;1.24;0.0179;0.0755;0.762;0.176;0.00297;0.0125;  9600;0;1;0.0198;0.0187;51;22.7;0.981;1.22;  0%;  0%;  0%;4.44;4.05;21.1;  0%;  0%;  0%;6.43;0.983;0.624;  0%;  0%;  0%;0.435;3.46;1.66;  0%;  0%;  0%;0.177;6.63;0.0141;93.2;0;0;0;0;0;14.4;85.6;0;0;0;0;0;0;0;0.00901;100;0;0;0;0;0;0;0;0.0112;90.9;0;9.14;0;0;0;0;0;55;86.7;78.5;70.9;8.99 ;10.3 ;7.68 ;6.99 ;
2017-11-10;21:36:00.870;0.0298;0.657;0.0454;1.24;0.816;71.1;0.989;0.305;8.09e-05;0.00705;0.125;0.105;1.01e+04;1.54e+04;2.11e+03;1.31;32.8;0.0596;1.49;85.6;3.66;71.3;0.00427;25;0;3.7;0;0;0;291;33.2;0.0022;0.844;0.00261;1.33;0.253;4.77;0.947;0.0311;0.00135;0.0256; 22720;1;18;0.0191;0.0197;51;0.117;0.654;0.179;1.24;0.528;66.1;0.992;0.319;5.34e-05;0.00669; 52240;18;17;0.059;0.0377;49;5.83e-05;0.533;0.000109;1.24;0.0165;0.0696;0.763;0.17;0.00334;0.0141; 10720;2;1;0.0228;0.0237;51;7.23e-05;0.528;0.000137;1.24;0.019;0.0775;0.755;0.178;0.00311;0.0127;  9680;0;0;0.0236;0.0234;50;26.1;0.957;1.33;  0%;  0%;  0%;5.61;5.92;23.8;  0%;  0%;  0%;9.57;0.964;0.679;  0%;  0%;  0%;0.474;8.24;1.91;  0%;  0%;  0%;0.196;5.5;0.0171;94.3;0;14.8;0;0;0;14.4;85.6;0;0;0;0;0;0;0;0.00884;100;0;0;0;0;0;0;0;0.0111;94.3;0;5.67;0;0;0;0;0;54.3;86.8;78.6;71.6;8.45 ;10.3 ;7.41 ;7.04 ;
