System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;17:55:18.414;0.0853;0.381;0.224;1.24;6.86;25.5;0.731;0.287;0.000238;0.000884;0.65;0.451;2.89e+04;7.57e+04;2.11e+03;0.762;19.1;0.171;4.26;978;18;12;0.24;69.8;0;9.4;0;0;0;268;40.6;0.0883;0.39;0.226;1.23;1.92;7.8;0.753;0.2;0.000257;0.00104; 44880;103;85;0.218;0.172;53;0.0176;0.323;0.0545;1.3;1.45;4.14;0.649;0.299;0.000975;0.00278; 24560;17;142;0.0817;0.0654;54;0.114;0.384;0.297;1.25;2.2;8.05;0.727;0.389;0.000228;0.000835; 41920;24;189;0.0934;0.0755;55;0.121;0.382;0.317;1.24;1.28;5.52;0.768;0.202;0.000125;0.000538; 30880;48;46;0.257;0.138;54;118;94.3;105;  0%;  0%;  0%;71.9;42.1;72;  0%;  0%;  0%;40;102;90.9;  0%;  0%;  0%;82.2;40;119;  0%;  0%;  0%;18.4;14.3;0.313;66.9;0;15.6;0;0;0;4.19;11.8;0.0607;83.9;0;18.5;0;0;0;23.7;7.6;0.0662;68.7;0;2.4;0;0;0;25.7;14.3;0.521;59.5;0;1.08;0;0;0;66.1;58.2;74.1;69.8;10.1 ;9.87 ;10.5 ;10.2 ;
2017-09-05;17:55:19.422;0.253;0.389;0.651;1.24;5.18;35.7;0.855;0.109;6.04e-05;0.000416;0.432;0.222;8.58e+04;2.2e+05;2.12e+03;0.779;19.5;0.507;12.7;577;52.6;14.4;8.37;24.6;0;11.3;0;0;0;353;39;0.301;0.381;0.791;1.24;1.56;11;0.858;0.117;6.11e-05;0.000431; 44880;39;58;0.113;0.059;52;0.259;0.392;0.662;1.24;1.25;9.38;0.867;0.105;5.69e-05;0.000427; 26560;13;59;0.0983;0.0516;53;0.192;0.398;0.482;1.23;1.03;6.91;0.85;0.0977;6.37e-05;0.000426; 42640;41;41;0.116;0.0558;54;0.262;0.391;0.669;1.24;1.34;8.44;0.841;0.113;6.04e-05;0.000381; 31360;31;68;0.105;0.056;54;58.4;45.9;54.5;  0%;  0%;  0%;36;45;59.3;  0%;  0%;  0%;36.1;48.2;46.7;  0%;  0%;  0%;48.2;43.8;55.3;  0%;  0%;  0%;63.9;10.7;12.5;12.9;0;9.37;0;0;0;53.5;15;11.5;20;0;11.7;0;0;0;39;15.9;6.1;39;0;12.4;0;0;0;54.2;15.8;3.37;26.7;0;11.8;0;0;0;92.2;88.4;84.5;87.5;9.86 ;9.81 ;9.93 ;9.45 ;
2017-09-05;17:55:20.421;0.309;0.382;0.809;1.24;5.59;29;0.807;0.15;5.38e-05;0.000279;0.456;0.232;1.04e+05;2.72e+05;2.1e+03;0.764;19.1;0.619;15.5;619;65.4;13.3;4.76;16.5;0;13.5;0;0;0;375;38.3;0.33;0.386;0.855;1.24;1.62;9.71;0.833;0.136;5.83e-05;0.00035; 44480;40;78;0.11;0.0564;51;0.352;0.381;0.925;1.24;1.59;7.22;0.78;0.165;5.36e-05;0.000244; 26880;26;80;0.116;0.0619;52;0.353;0.378;0.935;1.24;1.5;7.19;0.792;0.164;5.05e-05;0.000242; 43040;25;65;0.151;0.0768;53;0.201;0.386;0.522;1.24;0.887;4.86;0.818;0.133;5.24e-05;0.000287; 31120;35;38;0.0795;0.0373;53;69.5;66.8;36.5;  0%;  0%;  0%;64.5;34.8;68.4;  0%;  0%;  0%;63.9;64.3;39.2;  0%;  0%;  0%;39.4;34.6;36.5;  0%;  0%;  0%;69.1;14.8;8.29;7.79;0;6.24;0;0;0;74.7;11.2;6.03;8.03;0;7.27;0;0;0;75.5;9.99;4.14;10.4;0;6.82;0;0;0;42.2;17.2;0.582;40;0;33.7;0;0;0;95.9;97.9;103;78.5;9.81 ;9.84 ;10.1 ;8.5 ;
2017-09-05;17:55:21.428;0.319;0.384;0.831;1.24;6.24;30.7;0.797;0.156;5.78e-05;0.000285;0.527;0.279;1.08e+05;2.81e+05;2.12e+03;0.769;19.2;0.638;16;729;67.1;15.6;5.85;11.5;0;1.42;0;0;0;388;40.9;0.381;0.378;1.01;1.24;2;9.23;0.783;0.171;6.2e-05;0.000286; 42960;44;109;0.128;0.0696;50;0.243;0.404;0.601;1.24;1.27;7.27;0.825;0.125;6.18e-05;0.000354; 30480;31;75;0.108;0.0564;52;0.307;0.386;0.795;1.24;1.47;6.8;0.784;0.163;5.65e-05;0.000262; 43280;33;63;0.157;0.0798;53;0.347;0.377;0.921;1.24;1.51;7.45;0.797;0.161;5.14e-05;0.000254; 32480;45;65;0.134;0.0733;52;62;79.4;80.7;  0%;  0%;  0%;51;41;62;  0%;  0%;  0%;53.2;75.7;55.1;  0%;  0%;  0%;52.9;39.2;77.1;  0%;  0%;  0%;81.3;9.67;2.67;6.38;0;2.17;0;0;0;48.5;23.3;3.36;24.8;0;1.43;0;0;0;64.2;17.7;8.78;9.26;0;1.86;0;0;0;74.4;11.5;8.59;5.5;0;0.223;0;0;0;102;88.6;100;97.5;10.2 ;10.2 ;10.5 ;10 ;
2017-09-05;17:55:22.449;0.323;0.382;0.845;1.24;5.4;28;0.807;0.148;4.9e-05;0.000254;0.451;0.228;1.1e+05;2.89e+05;2.12e+03;0.764;19.1;0.645;16.1;604;68.3;13.7;7.84;10.1;0;6.61;0;0;0;393;40.4;0.346;0.379;0.912;1.24;1.6;7.26;0.779;0.17;5.44e-05;0.000247; 43600;45;75;0.108;0.0556;50;0.326;0.392;0.832;1.24;1.58;9.92;0.841;0.124;5.67e-05;0.000357; 30400;16;97;0.104;0.0556;52;0.294;0.381;0.772;1.23;1.04;5.5;0.81;0.142;4.15e-05;0.000219; 43520;22;94;0.132;0.0627;52;0.325;0.376;0.864;1.24;1.18;5.29;0.777;0.166;4.24e-05;0.00019; 32960;21;73;0.107;0.0543;52;67.1;50.7;51.6;  0%;  0%;  0%;55.5;51.1;72.4;  0%;  0%;  0%;50;47.8;31.6;  0%;  0%;  0%;30;48.4;47.8;  0%;  0%;  0%;73.7;11.5;10.2;4.55;0;4.86;0;0;0;67.2;20.3;5.58;6.93;0;2.46;0;0;0;62.5;13;12.7;11.8;0;9.18;0;0;0;69.9;10.2;2.85;17.1;0;9.91;0;0;0;99.5;99.4;98.5;95.3;10.2 ;10.3 ;10.3 ;9.67 ;
2017-09-05;17:55:23.457;0.231;0.382;0.605;1.24;4.35;26.6;0.836;0.139;5.53e-05;0.000338;0.358;0.19;7.87e+04;2.06e+05;2.14e+03;0.765;19.1;0.463;11.6;482;48.9;8.78;11.7;30.7;0;30.7;0;0;0;336;35.6;0.214;0.385;0.555;1.24;1.26;8.78;0.856;0.119;6.94e-05;0.000483; 42880;25;43;0.089;0.0467;51;0.191;0.383;0.499;1.24;0.996;5.68;0.825;0.139;6.12e-05;0.000349; 30480;12;41;0.08;0.041;52;0.315;0.381;0.827;1.24;1.36;7.37;0.816;0.159;5.07e-05;0.000276; 43440;24;56;0.123;0.0668;52;0.206;0.382;0.539;1.24;0.733;4.73;0.845;0.147;4.2e-05;0.000271; 32400;11;27;0.0657;0.0351;52;46;53.2;27.8;  0%;  0%;  0%;48.8;17.3;48.8;  0%;  0%;  0%;49.1;54.8;45;  0%;  0%;  0%;44.3;18.5;28.5;  0%;  0%;  0%;44.8;7.71;25.1;22.4;0;32.7;0;0;0;40.3;6.75;9.95;43;0;38.8;0;0;0;66.9;8.37;11.6;13.2;0;16.5;0;0;0;43.6;12.3;0.0623;44.1;0;34.9;0;0;0;80.9;77.6;98.9;78.8;8.94 ;8.55 ;9.8 ;8.33 ;
2017-09-05;17:55:24.465;0.245;0.384;0.637;1.24;4.41;29.1;0.848;0.132;5.31e-05;0.00035;0.37;0.191;8.3e+04;2.16e+05;2.12e+03;0.769;19.2;0.49;12.3;493;51.5;11.1;1.27;36.1;0;16.9;0;0;0;343;38;0.281;0.381;0.737;1.24;1.34;9.83;0.864;0.127;5.64e-05;0.000413; 42720;31;61;0.0948;0.0505;49;0.35;0.379;0.922;1.24;1.41;8.46;0.833;0.144;4.77e-05;0.000286; 30880;17;58;0.105;0.0587;51;0.062;0.453;0.137;1.24;0.387;3.46;0.888;0.0858;7.37e-05;0.000659; 43840;18;39;0.0763;0.0303;53;0.288;0.381;0.754;1.24;1.27;7.33;0.827;0.145;5.21e-05;0.000301; 32800;19;59;0.0937;0.0513;52;61.7;25.1;51.1;  0%;  0%;  0%;25;58.2;60.7;  0%;  0%;  0%;25.6;26.5;24.9;  0%;  0%;  0%;23.8;58.6;52.1;  0%;  0%;  0%;59.5;8.47;3.44;28.6;0;19.4;0;0;0;74.6;8.88;1.25;15.3;0;4.65;0;0;0;11.1;18.8;0.0591;70;0;25.2;0;0;0;60.9;8.26;0.354;30.5;0;18.5;0;0;0;88.5;97.9;68.2;88.4;9.46 ;10.1 ;9.42 ;9.09 ;
2017-09-05;17:55:25.473;0.313;0.381;0.823;1.24;5.69;26.9;0.789;0.165;5.36e-05;0.000254;0.484;0.254;1.06e+05;2.79e+05;2.12e+03;0.761;19;0.627;15.7;663;66.6;14.2;4.39;14.9;0;6.21;0;0;0;384;40.1;0.341;0.379;0.898;1.24;1.64;7.35;0.777;0.17;5.68e-05;0.000255; 43840;38;84;0.112;0.0599;49;0.332;0.376;0.883;1.24;1.4;5.82;0.76;0.185;4.98e-05;0.000207; 31200;8;69;0.117;0.0622;51;0.292;0.396;0.739;1.24;1.52;9.49;0.84;0.132;6.14e-05;0.000383; 42880;34;100;0.145;0.0752;52;0.288;0.373;0.772;1.24;1.13;4.27;0.736;0.198;4.62e-05;0.000175; 32720;15;104;0.11;0.057;52;59;73;51.2;  0%;  0%;  0%;61.5;39.3;57.8;  0%;  0%;  0%;66.1;75.5;49.6;  0%;  0%;  0%;45.3;37.2;47.4;  0%;  0%;  0%;72.6;12.9;13;1.61;0;1.02;0;0;0;71.4;10.9;3.44;14.3;0;5.17;0;0;0;59.8;24;0.755;15.5;0;3.47;0;0;0;62.5;9.03;0.412;28;0;15.2;0;0;0;98.4;96.8;99.8;89.2;10.2 ;10.1 ;10.4 ;9.4 ;
2017-09-05;17:55:26.482;0.162;0.385;0.422;1.24;2.55;20.1;0.873;0.117;4.64e-05;0.000365;0.237;0.139;5.5e+04;1.43e+05;2.12e+03;0.769;19.2;0.324;8.11;286;34.1;17.6;1.93;46.4;0;22.5;0;0;0;308;36.7;0.229;0.383;0.599;1.24;0.932;8.18;0.886;0.113;4.8e-05;0.000421; 44800;23;47;0.0627;0.0379;50;0.143;0.382;0.373;1.24;0.586;4.44;0.868;0.115;4.85e-05;0.000367; 31600;6;40;0.0586;0.0368;51;0.133;0.397;0.335;1.24;0.58;4.67;0.876;0.107;5.14e-05;0.000414; 42960;5;36;0.0728;0.0415;52;0.144;0.379;0.38;1.24;0.451;2.79;0.838;0.151;3.7e-05;0.000229; 31920;14;15;0.043;0.0229;53;26.2;25.8;34.8;  0%;  0%;  0%;31;8.62;27.3;  0%;  0%;  0%;32;27.8;13.4;  0%;  0%;  0%;13.6;8.47;37.3;  0%;  0%;  0%;48.3;7.13;6.58;38;0;25.7;0;0;0;30.1;27.8;0.997;41.1;0;2.44;0;0;0;27.1;32.3;0.145;40.5;0;1.76;0;0;0;30.7;3.07;0.0117;66.2;0;60.2;0;0;0;82.2;76.4;81;68.3;9.15 ;9.91 ;10.3 ;7.31 ;
2017-09-05;17:55:27.492;0.254;0.385;0.659;1.24;4.62;29.3;0.842;0.128;5.37e-05;0.00034;0.386;0.199;8.61e+04;2.24e+05;2.12e+03;0.77;19.3;0.508;12.7;518;53.3;11.6;6.8;28.3;0;20.7;0;0;0;351;37.8;0.333;0.38;0.875;1.24;1.52;9.13;0.834;0.147;5.38e-05;0.000324; 44640;41;68;0.099;0.0541;49;0.262;0.383;0.684;1.24;1.23;7.4;0.834;0.126;5.52e-05;0.000333; 32000;16;76;0.0952;0.0496;51;0.255;0.378;0.675;1.24;1.09;6.11;0.822;0.143;5.02e-05;0.000282; 42880;31;36;0.122;0.06;52;0.166;0.411;0.403;1.23;0.793;6.64;0.881;0.0883;5.64e-05;0.000472; 31840;12;36;0.0699;0.0351;53;56.4;58;42.6;  0%;  0%;  0%;48.1;28.7;55.2;  0%;  0%;  0%;47.2;55.9;25.4;  0%;  0%;  0%;25.9;30.2;44.2;  0%;  0%;  0%;70.7;9.91;4.86;14.5;0;5.18;0;0;0;55.4;11.2;1.48;32;0;22;0;0;0;54.5;7.87;20.1;17.5;0;25;0;0;0;32.7;17.3;0.776;49.3;0;30.5;0;0;0;96.3;87.7;91.4;75.4;10.1 ;9.37 ;9.69 ;8.67 ;
