System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;20:34:50.652;0.00591;0.99;0.00597;0.904;9.87;10.4;0.0546;0.0664;0.00491;0.00519;1.42;2.57;2.01e+03;2.03e+03;2.12e+03;1.98;49.5;0.0118;0.296;2.74e+03;0.661;28.5;0.006;70.8;0;38;0;0;0;147;38.2;0.0235;1;0.0234;0.905;9.83;10.2;0.0352;0.0653;0.00493;0.00511; 50960;704;2045;0.21;0.406;49;5.84e-05;0.394;0.000148;0.829;0.0114;0.0797;0.856;0.094;0.0023;0.016; 17520;0;0;0.388;0.702;53;6.06e-05;0.406;0.000149;0.819;0.0119;0.0785;0.848;0.0965;0.00232;0.0152; 20240;0;1;0.417;0.748;55;7.34e-05;0.38;0.000193;0.905;0.0147;0.091;0.839;0.127;0.00235;0.0146; 21760;1;0;0.401;0.709;53;546;582;541;  2%;  2%;  2%;17;16.3;318;  0%;  0%;  1%;17;338;17.4;  0%;  1%;  0%;17.2;16.1;315;  0%;  0%;  1%;2.59;32.3;0.024;65.1;0;0;0;0;0;0.0179;23.2;0;76.7;0;75.9;0;0;0;0.0182;23.1;0;76.9;0;76;0;0;0;0.0213;35.4;0;64.6;0;0;0;0;0;39.9;34.6;36;36.6;8.95 ;9.85 ;10.2 ;9.15 ;
2017-11-10;20:34:51.788;0.0963;1.05;0.0921;0.905;11.5;131;0.912;0.267;0.000315;0.00358;0.804;0.6;3.66e+04;3.5e+04;2.13e+03;2.09;52.3;0.193;4.81;1.01e+03;10.2;36.9;0.0158;52.9;0;26.4;0;0;0;197;36.8;0.389;1.05;0.372;0.905;11.4;128;0.911;0.271;0.000312;0.00352; 50560;221;616;0.203;0.0587;48;0.000982;0.97;0.00101;0.885;0.112;2.39;0.953;0.0316;0.0012;0.0255; 18320;5;4;0.199;0.176;53;7.34e-05;0.409;0.000179;0.87;0.018;0.15;0.88;0.0487;0.00257;0.0214; 20240;1;1;0.208;0.191;55;0.000135;0.541;0.00025;0.831;0.0324;0.324;0.9;0.0457;0.00251;0.0251; 21680;0;2;0.194;0.174;53;76.1;74.3;75.7;  0%;  0%;  0%;14.9;15.7;228;  0%;  0%;  1%;15;235;14.6;  0%;  1%;  0%;14.4;15.8;226;  0%;  0%;  1%;41.1;45.1;0.061;13.7;0;0;0;0;0;0.114;35.3;0;64.6;0;18.8;0;0;0;0.0206;34.9;0;65.1;0;19.9;0;0;0;0.0301;32.4;0.00288;67.6;0;66.3;0;0;0;74.2;40.4;41.7;40.3;9.04 ;9.35 ;9.71 ;8.65 ;
2017-11-10;20:34:52.795;0.0983;0.883;0.111;0.905;4.07;129;0.968;0.161;0.000122;0.00387;0.343;0.262;3.33e+04;3.77e+04;2.11e+03;1.77;44.2;0.197;4.92;503;12.3;86.1;0.00993;1.56;0;0;0;0;0;201;32.1;0.39;0.882;0.442;0.905;3.89;123;0.968;0.166;0.000118;0.00372; 53360;108;262;0.089;0.0575;48;0.00142;1.12;0.00127;0.905;0.123;3.35;0.963;0.0321;0.00102;0.0278; 18240;3;6;0.0799;0.0647;52;0.000312;1.07;0.000293;0.905;0.0218;0.987;0.978;0.0143;0.000823;0.0373; 20240;0;3;0.0908;0.0757;55;0.000646;1.32;0.000488;0.905;0.038;1.24;0.969;0.0394;0.000694;0.0227; 21840;0;1;0.0833;0.0641;53;59.1;63.9;53.2;  0%;  0%;  0%;14.1;13.9;79.9;  0%;  0%;  0%;14.3;87.7;14;  0%;  0%;  0%;13.8;14.3;74.9;  0%;  0%;  0%;48.9;50.5;0.0397;0.54;0;0;0;0;0;0.141;98;0;1.91;0;0;0;0;0;0.0324;99.3;0;0.652;0;0;0;0;0;0.0539;96.8;0;3.14;0;0;0;0;0;70;42.7;44.5;43.8;7.92 ;8.16 ;8.43 ;7.59 ;
2017-11-10;20:34:53.819;0.0967;0.84;0.115;0.905;4.01;136;0.97;0.154;0.00012;0.00406;0.336;0.279;3.34e+04;3.98e+04;2.39e+03;1.68;42;0.193;4.84;475;12.7;84.8;0;2.44;0;0;0;0;0;204;32.7;0.38;0.839;0.452;0.905;3.83;130;0.971;0.158;0.000115;0.00392; 52080;115;259;0.088;0.0583;48;0.00148;1.06;0.0014;0.905;0.127;3.6;0.965;0.0262;0.000998;0.0283; 18160;4;3;0.0762;0.0684;52;0.000324;1.12;0.000289;0.905;0.0251;1.03;0.976;0.0193;0.000901;0.0368; 20240;1;4;0.088;0.0807;55;0.000344;1.1;0.000312;0.905;0.0279;1.08;0.974;0.0234;0.000942;0.0365; 21680;0;1;0.0843;0.0714;52;54.6;60.2;52.5;  0%;  0%;  0%;11.6;11.5;76;  0%;  0%;  0%;11.9;84.8;11.9;  0%;  0%;  0%;11.6;12;76.3;  0%;  0%;  0%;50;49.7;0;0.306;0;0;0;0;0;0.154;91;0;8.89;0;0;0;0;0;0.032;100;0;0;0;0;0;0;0;0.0345;99.4;0;0.611;0;0;0;0;0;71.2;42.5;45.3;44.5;8.09 ;8.32 ;8.59 ;7.72 ;
2017-11-10;20:34:54.830;0.0967;1.46;0.0663;0.905;8.93;79.8;0.888;0.381;0.000272;0.00243;0.725;0.891;3.29e+04;2.25e+04;2.15e+03;2.91;72.9;0.193;4.83;1.25e+03;7.33;91;0.344;1.29;0;0;0;0;0;194;34.2;0.385;1.46;0.264;0.905;8.8;75.8;0.884;0.392;0.000269;0.00232; 49040;264;726;0.185;0.134;48;0.000798;1.04;0.000769;0.905;0.0934;2;0.953;0.032;0.00138;0.0294; 17440;3;7;0.18;0.256;52;0.000328;1.1;0.000299;0.905;0.0232;1.01;0.977;0.0205;0.000833;0.0362; 20400;2;2;0.181;0.255;54;0.000309;1.06;0.000291;0.905;0.0199;0.927;0.978;0.0246;0.000758;0.0353; 21840;1;1;0.18;0.247;52;182;182;173;  0%;  0%;  0%;13.3;13.2;215;  0%;  0%;  1%;13.4;212;13.6;  0%;  1%;  0%;13.3;13.4;207;  0%;  0%;  1%;29.2;64.8;1.38;4.66;0;0;0;0;0;0.085;99.4;0;0.487;0;0;0;0;0;0.0331;100;0;0;0;0;0;0;0;0.0322;100;0;0;0;0;0;0;0;61.5;43.2;44.9;44.1;8.31 ;8.82 ;9.01 ;8.1 ;
2017-11-10;20:34:56.018;0.0977;1.18;0.0831;0.905;15.8;132;0.881;0.324;0.000407;0.00341;1.14;1.04;3.88e+04;3.3e+04;2.14e+03;2.35;58.8;0.195;4.89;1.67e+03;9.18;85.8;0.00514;5.03;0;0;0;0;0;231;39.8;0.397;1.18;0.337;0.905;15.6;129;0.88;0.328;0.000403;0.00334; 50960;336;1010;0.279;0.127;48;0.000991;1.05;0.00094;0.905;0.138;2.43;0.943;0.0451;0.0014;0.0246; 18400;5;6;0.279;0.292;52;8.98e-05;0.653;0.000138;0.905;0.0246;0.182;0.864;0.0708;0.00275;0.0203; 20320;0;4;0.3;0.323;54;0.000147;0.752;0.000195;0.905;0.0387;0.388;0.9;0.0633;0.00264;0.0265; 21760;0;1;0.287;0.297;52;171;183;169;  0%;  0%;  0%;23.9;24.6;327;  0%;  0%;  1%;24.2;349;24;  0%;  1%;  0%;23.8;25.1;326;  0%;  0%;  1%;37.3;42.7;0.0209;20.1;0;0;0;0;0;0.104;99.9;0;0;0;0;0;0;0;0.0152;99.6;0;0.411;0;0;0;0;0;0.0216;100;0;0;0;0;0;0;0;75.5;50.9;52.6;51.8;9.65 ;10.2 ;10.5 ;9.42 ;
2017-11-10;20:34:57.178;0.111;0.988;0.112;0.905;5.17;152;0.966;0.213;0.00012;0.00352;0.427;0.322;4.32e+04;4.37e+04;2.57e+03;1.98;49.4;0.221;5.53;646;12.4;86.5;0.00209;1.12;0;0;0;0;0;232;37.1;0.438;0.987;0.444;0.905;4.98;146;0.966;0.218;0.000116;0.0034; 46320;148;342;0.106;0.0687;47;0.00138;1.16;0.00119;0.905;0.129;3.66;0.965;0.0363;0.000963;0.0273; 18400;3;5;0.0967;0.0741;52;0.000263;1.1;0.000239;0.905;0.0235;0.941;0.975;0.0204;0.000917;0.0367; 20240;0;6;0.115;0.0948;54;0.000312;1.1;0.000284;0.905;0.034;1.11;0.969;0.0247;0.00112;0.0365; 21920;1;1;0.109;0.084;52;69.5;81.7;72.6;  0%;  0%;  0%;18.1;18;96.2;  0%;  0%;  0%;18.3;114;18.5;  0%;  0%;  0%;18.3;18.3;103;  0%;  0%;  0%;49;50.4;0.00829;0.612;0;0;0;0;0;0.131;96;0;3.87;0;0;0;0;0;0.0264;100;0;0;0;0;0;0;0;0.0314;100;0;0;0;0;0;0;0;81.1;48.9;51.4;50.5;9.21 ;9.37 ;9.71 ;8.83 ;
2017-11-10;20:34:58.198;0.16;1.44;0.111;0.905;6.5;132;0.951;0.363;0.000118;0.0024;0.521;0.526;5.5e+04;3.82e+04;2.35e+03;2.88;72;0.319;7.99;771;12.3;87.3;0.0178;0.382;0;0;0;0;0;206;33.5;0.627;1.45;0.433;0.905;6.31;127;0.95;0.372;0.000115;0.00232; 52000;170;464;0.133;0.0756;47;0.00129;1.12;0.00115;0.905;0.133;3.05;0.956;0.0349;0.00121;0.0277; 18240;5;6;0.121;0.142;52;0.000299;1.11;0.000269;0.905;0.0191;0.957;0.98;0.0208;0.000744;0.0373; 20240;1;2;0.132;0.157;54;0.00104;0.38;0.00272;0.905;0.0422;1.3;0.967;0.025;0.000476;0.0146; 21760;0;2;0.135;0.152;52;92;99.2;94.4;  0%;  0%;  0%;10;10.8;135;  0%;  0%;  0%;10.2;143;10.6;  0%;  0%;  0%;10.6;11.4;143;  0%;  0%;  0%;47.9;50.6;0.0701;1.46;0;0;0;0;0;0.127;99.8;0;0.046;0;0;0;0;0;0.0298;100;0;0;0;0;0;0;0;0.301;99.7;0;0;0;0;0;0;0;72.3;43.7;45.3;44.6;8.15 ;8.58 ;8.78 ;7.99 ;
2017-11-10;20:34:59.334;0.0506;1.24;0.0409;0.905;18.7;67.6;0.724;0.288;0.000974;0.00353;1.4;1.5;1.92e+04;1.55e+04;2.16e+03;2.47;61.8;0.101;2.53;2.24e+03;4.53;90.1;0.238;5.09;0;0;0;0;0;211;39.3;0.206;1.24;0.166;0.905;18.6;65.6;0.717;0.293;0.000972;0.00344; 54720;446;1360;0.332;0.195;47;0.000526;1.05;0.000503;0.905;0.0667;1.29;0.948;0.0429;0.00133;0.0257; 18400;2;3;0.355;0.43;52;0.000165;0.913;0.000181;0.905;0.0192;0.511;0.962;0.0333;0.00122;0.0325; 20240;0;6;0.367;0.449;54;0.000112;0.729;0.000153;0.905;0.021;0.245;0.914;0.0762;0.00197;0.023; 21920;1;0;0.348;0.423;52;274;283;269;  1%;  1%;  1%;27.3;27.1;418;  0%;  0%;  1%;27.3;432;26.9;  0%;  1%;  0%;26.7;27.2;403;  0%;  0%;  1%;18.4;62.7;0.971;17.9;0;0;0;0;0;0.0556;99.9;0;0;0;0;0;0;0;0.02;99;0;1.02;0;0;0;0;0;0.0169;98.2;0;1.77;0;0;0;0;0;61.8;48.8;50.4;49.5;9.45 ;10.1 ;10.4 ;9.39 ;
2017-11-10;20:35:00.510;0.103;0.918;0.113;0.905;5.01;152;0.967;0.189;0.000123;0.00373;0.413;0.31;4.09e+04;4.45e+04;2.5e+03;1.84;45.9;0.206;5.16;611;12.4;86.9;0;0.687;0;0;0;0;0;236;37.6;0.409;0.917;0.446;0.905;4.82;147;0.967;0.194;0.000119;0.00361; 52880;134;327;0.107;0.0691;47;0.00144;1.17;0.00123;0.905;0.129;3.81;0.966;0.0377;0.000904;0.0268; 18560;4;5;0.0955;0.0729;52;0.00023;1.01;0.000228;0.905;0.0231;0.803;0.971;0.0221;0.00102;0.0354; 20320;1;4;0.106;0.0865;54;0.000288;1.02;0.000283;0.905;0.0352;0.981;0.964;0.0284;0.00124;0.0344; 21840;1;1;0.105;0.0814;52;69.9;72.5;68.6;  0%;  0%;  0%;17.1;17.6;95.5;  0%;  0%;  0%;17.3;103;17.2;  0%;  0%;  0%;16.9;17.8;97.4;  0%;  0%;  0%;49.3;50.4;0;0.251;0;0;0;0;0;0.136;99.9;0;0;0;0;0;0;0;0.0252;100;0;0;0;0;0;0;0;0.0313;97.5;0;2.5;0;0;0;0;0;82.1;50.4;52.2;51.1;9.31 ;9.49 ;9.88 ;8.92 ;
