System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;19:41:27.850;0.00373;0.772;0.00484;0.714;1.83;2.38;0.234;0.21;0.00144;0.00188;0.992;1.92;1.27e+03;1.65e+03;2.12e+03;1.54;38.6;0.00747;0.187;1.81e+03;0.677;22.6;0.0019;76.7;0;27.3;0;0;0;128;36.9;0.0148;0.79;0.0187;0.714;1.79;2.13;0.163;0.221;0.00142;0.0017; 52240;517;1582;0.0731;0.308;50;5.79e-05;0.294;0.000197;0.71;0.0123;0.0811;0.848;0.0917;0.00251;0.0165; 16800;1;0;0.312;0.574;53;5.72e-05;0.299;0.000192;0.689;0.0125;0.0792;0.842;0.0938;0.00256;0.0163; 16160;1;0;0.286;0.498;56;7.05e-05;0.265;0.000266;0.714;0.0146;0.0908;0.839;0.122;0.00244;0.0151; 25280;0;4;0.321;0.545;54;440;419;440;  2%;  2%;  2%;19.3;19.5;140;  0%;  0%;  0%;13.9;130;19.7;  0%;  0%;  0%;19.5;14.5;139;  0%;  0%;  0%;2.62;24.5;0.0076;72.9;0;0;0;0;0;0.0277;17.7;0;82.3;0;24.8;0;0;0;0.0278;14.5;0;85.5;0;84.5;0;0;0;0.0372;33.9;0;66.1;0;0;0;0;0;34.1;30.5;31.1;32.3;8.71 ;9.58 ;9.67 ;8.97 ;
2017-11-10;19:41:29.106;0.0374;0.289;0.129;0.714;63.5;126;0.496;0.178;0.00431;0.00854;5.33;2.06;1.47e+04;5.1e+04;2.13e+03;0.578;14.5;0.0748;1.87;8.23e+03;18.1;28.5;0.003;53.4;0;7.4;0;0;0;190;48.5;0.034;0.273;0.125;0.714;36.4;49.4;0.263;0.0693;0.0114;0.0155; 27120;386;1104;1.39;0.299;50;0.117;0.294;0.398;0.714;27;75.8;0.644;0.237;0.00234;0.00658; 51520;30;138;0.342;0.481;52;0.000208;0.668;0.000312;0.714;0.0381;0.497;0.923;0.0417;0.00181;0.0237; 16640;0;3;0.316;0.433;56;0.000101;0.417;0.000242;0.707;0.0349;0.223;0.843;0.0656;0.00343;0.0219; 25200;0;9;3.28;0.849;54;2e+03;256;646;  8%;  1%;  2%;19.1;405;2.11e+03;  0%;  1%;  9%;28.6;386;108;  0%;  1%;  0%;108;996;1.16e+03;  0%;  4%;  5%;17.5;32.7;0.0126;49.8;0;0;0;0;0;55.7;7.7;0;36.6;0;0;0;0;0;0.0437;32.8;0;67.2;0;0;0;0;0;0.0342;40.6;0;59.4;0;28.9;0;0;0;50.8;55.8;41.2;41.9;12.2 ;11.1 ;11.3 ;13.9 ;
2017-11-10;19:41:30.164;0.0452;0.132;0.342;0.714;126;226;0.442;0.0897;0.00805;0.0144;8.74;1.38;1.56e+04;1.19e+05;2.1e+03;0.264;6.6;0.0904;2.26;1.37e+04;47.9;51.2;0;0.877;0;0.103;0;0;0;197;44.6;0.0873;0.13;0.669;0.714;62.4;110;0.432;0.0897;0.00839;0.0148; 51520;74;59;2.23;0.264;50;0.0887;0.129;0.69;0.714;63.4;112;0.432;0.092;0.00821;0.0145; 47040;19;106;0.0629;0.0517;51;0.00515;0.305;0.0169;0.714;0.0674;2.77;0.976;0.0275;0.00015;0.00617; 16240;1;4;0.0577;0.0365;55;0.000484;1.01;0.000478;0.714;0.0532;1.57;0.966;0.0193;0.00126;0.0373; 25120;0;6;6.39;1.02;53;3.8e+03;99.3;944; 19%;  0%;  4%;17.1;862;3.54e+03;  0%;  4%; 17%;23.9;108;253;  0%;  0%;  1%;254;1.88e+03;1.92e+03;  1%;  9%;  9%;93.7;4.64;0;1.66;0;0;0;0;0;96.6;2.32;0;1.11;0;0.412;0;0;0;2.37;97.6;0;0;0;0;0;0;0;0.0669;99.2;0;0.749;0;0;0;0;0;57.1;55.5;42.3;42.3;11.7 ;8.46 ;8.65 ;15.8 ;
2017-11-10;19:41:31.176;0.0463;0.133;0.348;0.714;141;251;0.44;0.0919;0.00807;0.0144;8.33;1.34;1.75e+04;1.31e+05;2.76e+03;0.266;6.65;0.0926;2.32;1.31e+04;48.7;48.8;0.0011;2.48;0;0.145;0;0;0;187;42.8;0.0904;0.134;0.675;0.714;72.8;129;0.434;0.0936;0.00802;0.0142; 50480;71;67;2.13;0.258;50;0.0882;0.13;0.676;0.714;67.9;120;0.432;0.0916;0.00821;0.0145; 50080;30;191;0.0678;0.0599;51;0.00103;1.02;0.00101;0.714;0.0989;2.47;0.96;0.0382;0.00105;0.0261; 16560;1;3;0.0611;0.0436;56;0.000283;0.84;0.000336;0.714;0.0656;0.855;0.923;0.0361;0.00254;0.0331; 25040;1;7;6.07;0.983;53;3.64e+03;97.9;898; 16%;  0%;  4%;26.1;827;3.32e+03;  0%;  3%; 15%;30.6;101;244;  0%;  0%;  1%;245;1.77e+03;1.85e+03;  1%;  8%;  8%;94.5;2.86;0.00415;2.69;0;0.377;0;0;0;94.7;2.69;0;2.61;0;0.181;0;0;0;0.142;95.2;0;4.61;0;0;0;0;0;0.0471;100;0;0;0;0;0;0;0;54.5;52.8;39.4;40.5;11.2 ;8.2 ;8.3 ;15.1 ;
2017-11-10;19:41:32.188;0.0438;0.129;0.34;0.714;123;224;0.451;0.0861;0.00827;0.0151;8.29;1.33;1.49e+04;1.16e+05;2.13e+03;0.258;6.44;0.0876;2.19;1.3e+04;47.6;51.2;0;1.19;0;0.243;0;0;0;187;42.6;0.0867;0.128;0.679;0.714;61.4;109;0.435;0.0898;0.00834;0.0148; 52480;48;65;2.08;0.243;50;0.0858;0.127;0.678;0.714;61.6;109;0.434;0.0863;0.00844;0.0149; 47120;20;122;0.0587;0.0526;51;0.00145;1.13;0.00128;0.714;0.0862;3.86;0.978;0.0241;0.000697;0.0312; 16800;0;3;0.0527;0.0349;55;0.00122;1.3;0.000942;0.714;0.0796;3.16;0.975;0.0229;0.000764;0.0304; 25200;0;9;6.1;0.996;53;3.62e+03;91.5;902; 18%;  0%;  4%;18.6;830;3.3e+03;  0%;  4%; 17%;22.9;96.4;247;  0%;  0%;  1%;248;1.78e+03;1.86e+03;  1%;  9%;  9%;95.1;2.21;0;2.73;0;0.785;0;0;0;94.9;3.19;0;1.88;0;0.189;0;0;0;0.18;99.7;0;0.138;0;0;0;0;0;0.132;99.9;0;0;0;0;0;0;0;54.6;52.9;39.5;40.5;11.1 ;8.16 ;8.28 ;15 ;
2017-11-10;19:41:33.201;0.0432;0.129;0.335;0.714;122;218;0.44;0.0888;0.0083;0.0148;8.23;1.34;1.47e+04;1.14e+05;2.12e+03;0.257;6.44;0.0864;2.16;1.29e+04;47;51;0;2.04;0;0.225;0;0;0;187;42.8;0.0864;0.128;0.673;0.714;60.8;108;0.436;0.0903;0.00828;0.0147; 47040;54;62;2.04;0.25;49;0.0852;0.128;0.668;0.714;61;107;0.431;0.0885;0.00842;0.0148; 50240;36;93;0.0674;0.0615;51;0.000871;1.01;0.000862;0.714;0.0598;1.9;0.969;0.0393;0.000807;0.0257; 16720;1;5;0.0555;0.0384;55;0.000244;0.674;0.000362;0.714;0.041;0.669;0.939;0.0348;0.00197;0.0322; 25040;0;8;6.06;0.986;53;3.57e+03;89.8;893; 18%;  0%;  4%;22.4;827;3.3e+03;  0%;  4%; 16%;28.3;94.5;243;  0%;  0%;  1%;244;1.78e+03;1.82e+03;  1%;  9%;  9%;94.2;2.21;0;3.57;0;0.902;0;0;0;93.5;3.31;0;3.22;0;0;0;0;0;0.121;99.9;0;0;0;0;0;0;0;0.0507;98.6;0;1.38;0;0;0;0;0;54.4;52.7;39.6;40.3;11.2 ;8.21 ;8.3 ;15.2 ;
2017-11-10;19:41:34.213;0.0433;0.126;0.343;0.714;124;225;0.448;0.0869;0.00842;0.0153;8.37;1.33;1.47e+04;1.17e+05;2.13e+03;0.253;6.31;0.0866;2.16;1.32e+04;48;51.1;0;0.927;0;0.147;0;0;0;188;42.8;0.0852;0.127;0.673;0.714;62.1;110;0.437;0.0872;0.00856;0.0152; 48800;55;74;2.01;0.232;49;0.0862;0.124;0.697;0.714;61.9;110;0.436;0.0891;0.00844;0.015; 46720;24;68;0.0613;0.0554;51;0.00125;1.11;0.00112;0.714;0.0626;3.12;0.98;0.0297;0.000589;0.0293; 16720;0;4;0.0504;0.0333;55;0.000532;0.966;0.000551;0.714;0.0465;1.67;0.972;0.0206;0.00103;0.0369; 25120;1;4;6.25;1.01;53;3.64e+03;89.6;924; 18%;  0%;  4%;15.1;847;3.35e+03;  0%;  4%; 17%;19.5;94.1;252;  0%;  0%;  1%;252;1.82e+03;1.89e+03;  1%;  9%;  9%;94.2;3.7;0;2.09;0;0.132;0;0;0;97.6;0.826;0;1.59;0;0.456;0;0;0;0.157;99.8;0;0;0;0;0;0;0;0.0771;99.9;0;0.0325;0;0;0;0;0;54.8;53.2;39.6;40.7;11.1 ;8.21 ;8.27 ;15.2 ;
2017-11-10;19:41:35.225;0.0426;0.124;0.342;0.714;124;228;0.455;0.0824;0.00857;0.0157;8.35;1.35;1.45e+04;1.16e+05;2.13e+03;0.249;6.22;0.0851;2.13;1.31e+04;47.9;48.7;0.000138;3.4;0;0.16;0;0;0;187;42.6;0.0844;0.123;0.684;0.714;61.9;110;0.435;0.0855;0.00863;0.0153; 51280;49;55;2;0.24;49;0.0829;0.122;0.681;0.714;62;109;0.432;0.0842;0.00879;0.0155; 49040;18;96;0.06;0.0544;51;0.00161;0.933;0.00173;0.714;0.144;4.43;0.967;0.0216;0.00105;0.0322; 16480;2;4;0.0535;0.0449;55;0.00138;1.04;0.00134;0.714;0.107;4.54;0.976;0.0176;0.000909;0.0386; 25120;0;10;6.24;1.01;53;3.63e+03;85.9;917; 18%;  0%;  4%;19.3;846;3.32e+03;  0%;  4%; 17%;23.6;90.4;250;  0%;  0%;  1%;252;1.81e+03;1.89e+03;  1%;  9%;  9%;95.8;2.77;0;1.46;0;0.434;0;0;0;95.4;2.3;0;2.3;0;0.204;0;0;0;0.242;97.4;0.000553;2.34;0;0;0;0;0;0.187;92.3;0;7.49;0;0;0;0;0;54.8;52.9;39.5;39.8;11 ;8.14 ;8.32 ;15.2 ;
2017-11-10;19:41:36.238;0.0907;0.325;0.279;0.714;96.3;190;0.493;0.228;0.00312;0.00616;6.6;1.31;3.08e+04;9.51e+04;2.13e+03;0.649;16.2;0.181;4.53;9.75e+03;39.1;45.5;1.07;14.3;0;0.913;0;0;0;178;41.4;0.181;0.32;0.565;0.714;47.7;93.3;0.489;0.232;0.0031;0.00607; 48160;70;132;2.5;0.392;49;0.18;0.327;0.552;0.714;48.5;92.5;0.476;0.231;0.00316;0.00603; 52240;83;265;0.134;0.114;50;0.000959;0.947;0.00101;0.714;0.0703;2.51;0.972;0.0213;0.000861;0.0307; 16400;3;6;0.124;0.115;55;0.000531;0.977;0.000544;0.714;0.0434;1.63;0.973;0.0235;0.000962;0.0361; 25040;1;6;3.84;0.686;53;2.92e+03;121;600; 15%;  0%;  3%;50.2;530;2.54e+03;  0%;  2%; 13%;69.4;134;131;  0%;  0%;  0%;132;1.23e+03;1.29e+03;  0%;  6%;  6%;79.1;7.02;2.49;11.4;0;3.08;0;0;0;77.2;6.61;1.76;14.4;0;0.566;0;0;0;0.142;80.7;0;19.2;0;0;0;0;0;0.0761;87.6;0.00866;12.4;0;0;0;0;0;51.9;49.9;37.8;38.8;11.7 ;8.44 ;8.64 ;12.7 ;
2017-11-10;19:41:37.570;0.0373;0.278;0.134;0.714;72.9;126;0.421;0.189;0.00479;0.00827;6.38;2.11;1.52e+04;5.47e+04;2.15e+03;0.556;13.9;0.0746;1.87;9.76e+03;18.8;56.7;0.0362;24.5;0;0.0828;0;0;0;217;52.2;0.069;0.262;0.263;0.714;26.3;50.5;0.479;0.218;0.00398;0.00764; 43600;28;36;1.92;0.587;49;0.0842;0.291;0.289;0.714;46.5;74.5;0.375;0.17;0.00543;0.00868; 49840;406;1197;0.345;0.249;50;0.000229;0.477;0.000481;0.714;0.0316;0.571;0.945;0.0433;0.00131;0.0237; 16800;0;4;0.323;0.371;55;0.000123;0.367;0.000336;0.714;0.0284;0.289;0.902;0.0741;0.00219;0.0223; 25200;0;3;3.79;0.902;53;2.65e+03;88;541; 11%;  0%;  2%;228;678;2.27e+03;  0%;  2%;  9%;355;92.1;153;  1%;  0%;  0%;154;1.4e+03;1.15e+03;  0%;  6%;  4%;36.9;15;0.0862;48.1;0;0.353;0;0;0;40.5;29;0.0465;30.5;0;0;0;0;0;0.0674;91.8;0.00608;8.08;0;0;0;0;0;0.047;86.4;0.0109;13.5;0;0;0;0;0;57.1;58.1;51.3;50.4;13.8 ;11.4 ;11.9 ;15.1 ;
