System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;19:17:12.715;0.0192;0.268;0.0715;1;52.6;81.6;0.355;0.14;0.0065;0.0101;5.09;3.39;8.11e+03;3.02e+04;2.15e+03;0.537;13.4;0.0384;0.96;8.9e+03;7.16;37.1;0.00152;55.7;0;15.6;0;0;0;338;59.2;0.0391;0.239;0.163;1;13.3;30.7;0.568;0.222;0.00336;0.00777; 60080;13;32;0.536;0.849;46;0.0148;0.168;0.0883;1;15.3;23.7;0.352;0.104;0.00983;0.0152; 27200;8;18;0.526;0.849;47;0.0238;0.583;0.0408;1;24;26.9;0.108;0.0602;0.00937;0.0105; 30080;774;2416;2.64;0.734;48;0.000296;1.23;0.000241;1;0.0304;0.331;0.908;0.103;0.000946;0.0103; 13360;1;0;1.39;0.962;52;837;1.06e+03;119;  3%;  4%;  0%;1.06e+03;113;673;  4%;  0%;  2%;1.44e+03;1.6e+03;803;  5%;  6%;  3%;753;207;244;  3%;  0%;  1%;16.3;28.6;0.00636;55;0;0;0;0;0;8.83;27.7;0;63.4;0;62.7;0;0;0;4.08;38.4;0;57.5;0;0;0;0;0;0.0241;52.9;0;47.1;0;0;0;0;0;89.1;82.2;88.8;78.2;14.4 ;13.3 ;16.7 ;14.9 ;
2017-11-10;19:17:13.728;0.0569;0.0979;0.581;1;233;368;0.367;0.0721;0.0115;0.0182;13.6;1.6;2.02e+04;2.06e+05;2.71e+03;0.196;4.9;0.114;2.84;2.48e+04;58.1;39.3;0;2.6;0;0.173;0;0;0;378;54.4;0.0865;0.0905;0.955;1;83.7;136;0.386;0.0863;0.0104;0.0169; 48320;66;59;0.0821;0.059;45;0.0815;0.0884;0.922;1;81.1;129;0.373;0.0792;0.0111;0.0178; 48240;27;113;0.0699;0.057;46;0.0556;0.138;0.402;1;68.4;102;0.327;0.0432;0.0142;0.0211; 36880;9;71;9.92;1.11;46;0.000451;1.06;0.000424;1;0.0796;1.13;0.929;0.036;0.00206;0.0291; 13520;0;4;3.56;0.369;51;2.2e+03;3.24e+03;371; 10%; 15%;  1%;3.29e+03;374;2.19e+03; 16%;  1%; 10%;4.43e+03;4.42e+03;1.22e+03; 21%; 21%;  6%;1.57e+03;771;767;  7%;  3%;  3%;95.5;2.73;0;1.77;0;0.578;0;0;0;92.2;5.17;0;2.65;0;0.0833;0;0;0;40.2;53.8;0;6.03;0;0;0;0;0;0.0424;100;0;0;0;0;0;0;0;103;103;101;70.4;10.3 ;10.5 ;20.5 ;13.1 ;
2017-11-10;19:17:14.730;0.0541;0.0844;0.641;1;222;349;0.365;0.0675;0.0122;0.0192;13.7;1.54;1.82e+04;2.16e+05;2.1e+03;0.169;4.22;0.108;2.71;2.52e+04;64.1;30;0.00111;5.82;0;1.04;0;0;0;378;53.8;0.0704;0.0791;0.89;1;74.1;116;0.361;0.0668;0.0125;0.0196; 48960;52;40;0.0767;0.0558;45;0.0707;0.0786;0.899;1;71.6;112;0.363;0.0709;0.0121;0.0189; 51120;18;68;0.0749;0.0625;45;0.0747;0.0962;0.776;1;76.1;119;0.362;0.0652;0.0121;0.019; 49040;29;94;9.97;1.05;45;0.000688;1.18;0.000585;1;0.03;1.75;0.983;0.0638;0.000519;0.0303; 13360;2;0;3.59;0.375;51;1.73e+03;3.62e+03;359;  8%; 18%;  1%;3.51e+03;350;1.77e+03; 18%;  1%;  9%;4.6e+03;4.75e+03;1.34e+03; 23%; 24%;  6%;1.75e+03;724;737;  9%;  3%;  3%;89;5.35;0.00445;5.64;0;1.03;0;0;0;89.9;1.91;0;8.16;0;3.14;0;0;0;77.6;12.9;0;9.42;0;0;0;0;0;0.0585;99.9;0;0.0459;0;0;0;0;0;101;99.9;108;69.8;10.2 ;10.3 ;20.2 ;13.1 ;
2017-11-10;19:17:15.743;0.0506;0.0708;0.715;1;230;361;0.364;0.0638;0.0133;0.021;14;1.5;1.72e+04;2.44e+05;2.13e+03;0.142;3.54;0.101;2.53;2.62e+04;71.5;25.8;0.0617;2.62;0;0.293;0;0;0;391;54.7;0.0652;0.0692;0.942;1;75.6;118;0.357;0.0644;0.0136;0.0212; 48320;49;42;0.0735;0.0549;45;0.0658;0.0673;0.977;1;76.1;118;0.356;0.064;0.0136;0.0211; 50160;24;85;0.0669;0.0553;44;0.0705;0.0749;0.941;1;78;123;0.368;0.0628;0.013;0.0206; 53440;12;67;10.3;1.02;45;0.000971;1.33;0.000729;1;0.0503;2.18;0.977;0.0807;0.000608;0.0263; 14000;0;0;3.55;0.372;51;1.83e+03;3.67e+03;352;  9%; 18%;  1%;3.76e+03;353;1.84e+03; 19%;  1%;  9%;4.9e+03;4.85e+03;1.41e+03; 25%; 24%;  7%;1.81e+03;732;728;  9%;  3%;  3%;94.2;2.41;0.247;3.1;0;0.573;0;0;0;97.7;1.03;0;1.31;0;0;0;0;0;94.1;2.45;0;3.46;0;0.6;0;0;0;0.0729;97.3;0;2.61;0;0;0;0;0;103;104;113;70.4;10.3 ;10.5 ;20.6 ;13.2 ;
2017-11-10;19:17:16.758;0.0511;0.075;0.681;1;227;358;0.365;0.0647;0.0131;0.0206;13.9;1.52;1.74e+04;2.32e+05;2.13e+03;0.15;3.75;0.102;2.56;2.61e+04;68.1;28.1;0.0024;3.75;0;0.421;0;0;0;390;54.6;0.0679;0.0722;0.94;1;75.5;119;0.365;0.0656;0.0131;0.0205; 45840;51;36;0.0796;0.0596;44;0.0663;0.0722;0.918;1;75.2;117;0.359;0.0643;0.0133;0.0207; 55760;15;73;0.0709;0.0591;44;0.0699;0.0805;0.868;1;76.8;121;0.367;0.0636;0.0129;0.0204; 51920;33;110;10.2;1.03;44;0.00036;1.15;0.000311;1;0.0233;0.615;0.962;0.171;0.000759;0.02; 13920;0;1;3.52;0.379;51;1.85e+03;3.7e+03;352;  9%; 18%;  1%;3.68e+03;350;1.86e+03; 18%;  1%;  9%;4.83e+03;4.84e+03;1.39e+03; 24%; 24%;  7%;1.79e+03;728;734;  9%;  3%;  3%;94;2.9;0;3.1;0;0.639;0;0;0;91.8;4.07;0;4.1;0;0.669;0;0;0;86.8;5.38;0.00958;7.82;0;0.377;0;0;0;0.0311;100;0;0;0;0;0;0;0;104;104;111;71;10.3 ;10.5 ;20.7 ;13.2 ;
2017-11-10;19:17:17.781;0.0514;0.0762;0.675;1;232;368;0.369;0.0626;0.0131;0.0208;13.9;1.53;1.77e+04;2.32e+05;2.13e+03;0.152;3.81;0.103;2.57;2.66e+04;67.5;28.2;0;4.22;0;0.888;0;0;0;394;54.9;0.068;0.0741;0.917;1;77.9;123;0.366;0.0613;0.0134;0.0211; 44720;50;49;0.0741;0.0563;44;0.0631;0.072;0.876;1;74.9;116;0.356;0.0611;0.0138;0.0215; 51200;15;77;0.0736;0.0631;44;0.074;0.0815;0.908;1;79.4;127;0.376;0.0651;0.0125;0.02; 50400;29;215;10.3;1.04;44;0.000689;1.35;0.000511;1;0.0358;1.75;0.98;0.0766;0.000605;0.0296; 13600;0;1;3.46;0.375;50;1.84e+03;3.86e+03;348;  9%; 19%;  1%;3.74e+03;335;1.87e+03; 19%;  1%;  9%;4.87e+03;5.08e+03;1.42e+03; 24%; 25%;  7%;1.81e+03;707;725;  9%;  3%;  3%;91.7;5.63;0;2.66;0;0.566;0;0;0;87.6;4.21;0;8.15;0;0.323;0;0;0;90.8;3.11;0;6.07;0;2.66;0;0;0;0.0511;99.9;0;0;0;0;0;0;0;105;103;114;71.5;10.4 ;10.6 ;20.8 ;13.2 ;
2017-11-10;19:17:18.793;0.0817;0.119;0.685;1;228;376;0.394;0.112;0.00819;0.0135;13.9;1.81;2.78e+04;2.33e+05;2.15e+03;0.239;5.96;0.163;4.08;2.56e+04;68.5;27.6;0.000566;3.9;0;1.19;0;0;0;389;54.5;0.103;0.113;0.907;1;74.5;121;0.386;0.11;0.00849;0.0138; 50000;45;64;0.114;0.101;44;0.107;0.116;0.923;1;74.9;122;0.387;0.113;0.00822;0.0134; 47360;19;115;0.127;0.122;43;0.116;0.128;0.907;1;78.5;130;0.398;0.114;0.00796;0.0132; 49840;67;237;9.51;1.09;44;0.000887;1.38;0.000645;1;0.0289;2.39;0.988;0.0623;0.000383;0.0316; 13680;1;1;4.1;0.496;50;1.7e+03;3.48e+03;411;  8%; 17%;  2%;3.56e+03;414;1.71e+03; 18%;  2%;  8%;4.71e+03;4.65e+03;1.37e+03; 24%; 23%;  7%;1.84e+03;873;863;  9%;  4%;  4%;90.8;3.03;0.00226;6.21;0;1.83;0;0;0;92.3;3.91;0;3.82;0;1.83;0;0;0;90.7;3.78;0;5.55;0;1.11;0;0;0;0.0645;99.9;0;0;0;0;0;0;0;102;104;112;71;10.3 ;10.6 ;20.1 ;13.5 ;
2017-11-10;19:17:19.803;0.0646;0.227;0.284;1;112;190;0.41;0.177;0.00512;0.00867;7.05;2.19;2.19e+04;9.65e+04;2.12e+03;0.454;11.4;0.129;3.23;1.24e+04;28.4;36.3;3.93;31.3;0;0.402;0;0;0;308;49.3;0.0925;0.245;0.377;1;47;71;0.338;0.149;0.00598;0.00904; 38240;396;1177;0.353;0.257;44;0.0759;0.199;0.381;0.999;31.5;56.4;0.44;0.185;0.00489;0.00874; 39520;20;53;0.336;0.407;44;0.0895;0.237;0.378;1;33.6;62;0.458;0.2;0.00443;0.00817; 38880;24;93;3.78;0.88;44;0.000225;1.04;0.000216;1;0.0217;0.576;0.962;0.0526;0.00113;0.0302; 13840;0;0;2.58;0.644;50;855;1.54e+03;482;  4%;  7%;  2%;1.37e+03;254;998;  7%;  1%;  5%;1.9e+03;2.19e+03;573;  9%; 11%;  2%;839;502;855;  4%;  2%;  4%;37.7;9.93;6.21;46.1;0;0.614;0;0;0;38.2;20.5;4.2;37.1;0;0.716;0;0;0;37.8;17.3;5.32;39.6;0;0.276;0;0;0;0.0216;97.5;0;2.51;0;0;0;0;0;76.7;78.3;83.5;69.8;10.8 ;11.1 ;14.9 ;12.5 ;
2017-11-10;19:17:20.817;0.0581;0.0829;0.701;1;229;365;0.373;0.0854;0.0116;0.0184;13.9;1.51;1.98e+04;2.38e+05;2.12e+03;0.166;4.15;0.116;2.9;2.6e+04;70.1;25.8;0;4.12;0;0.162;0;0;0;390;54.6;0.0776;0.0804;0.964;1;76.1;121;0.371;0.0866;0.0115;0.0183; 51600;40;68;0.0768;0.0624;44;0.0734;0.0813;0.903;1;74.1;116;0.363;0.0848;0.0119;0.0186; 48640;15;71;0.0712;0.0475;43;0.081;0.0866;0.936;1;78.4;127;0.38;0.0841;0.0114;0.0183; 47200;15;80;10.1;1.03;43;0.000447;1.21;0.000369;1;0.0284;0.811;0.965;0.158;0.000746;0.0213; 13920;0;1;3.63;0.375;50;1.75e+03;3.71e+03;361;  9%; 19%;  1%;3.63e+03;352;1.78e+03; 18%;  1%;  9%;4.8e+03;4.92e+03;1.39e+03; 24%; 25%;  7%;1.81e+03;749;762;  9%;  3%;  3%;96.4;1.49;0;2.1;0;0.0534;0;0;0;90.3;3.36;0;6.36;0;0.581;0;0;0;93.6;2.85;0;3.56;0;0.0152;0;0;0;0.0369;95.5;0;4.47;0;0;0;0;0;104;102;113;70.5;10.3 ;10.5 ;20.6 ;13.2 ;
2017-11-10;19:17:21.833;0.054;0.0809;0.667;1;227;359;0.366;0.0712;0.0124;0.0195;13.9;1.56;1.84e+04;2.28e+05;2.13e+03;0.162;4.04;0.108;2.7;2.58e+04;66.7;28;0.137;5.13;0;0.748;0;0;0;386;54.7;0.0683;0.0773;0.883;1;73.9;116;0.361;0.0707;0.0127;0.0198; 51920;54;79;0.0776;0.0693;43;0.0662;0.0775;0.854;1;73.9;114;0.352;0.0689;0.0131;0.0202; 50960;13;76;0.0707;0.0549;43;0.0809;0.0868;0.931;1;79.5;128;0.377;0.0735;0.0115;0.0185; 47280;15;87;10.1;1.05;43;0.000498;1.26;0.000396;1;0.0314;1.1;0.972;0.105;0.000739;0.026; 13920;1;2;3.6;0.381;50;1.69e+03;3.67e+03;356;  8%; 18%;  1%;3.71e+03;351;1.7e+03; 19%;  1%;  8%;4.85e+03;4.82e+03;1.39e+03; 24%; 24%;  7%;1.82e+03;731;730;  9%;  3%;  3%;88.3;3.67;0.547;7.44;0;1.2;0;0;0;85.4;5.28;0;9.29;0;1.02;0;0;0;93.2;3.05;0;3.79;0;0.767;0;0;0;0.0396;100;0;0;0;0;0;0;0;101;101;114;71.1;10.3 ;10.5 ;20.6 ;13.3 ;
