System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-12;08:21:55.666;0.308;1.74;0.177;0.857;2.28;280;0.992;0.381;1.85e-05;0.00227;0.194;0.115;1.23e+05;7.1e+04;2.14e+03;3.47;86.8;0.616;15.4;214;20.7;41;0.000425;38.3;0;10.9;0;0;0;253;32.7;0.697;1.74;0.4;0.857;0.789;136;0.994;0.407;1.17e-05;0.00203; 43840;57;23;0.0433;0.0316;48;0.0903;1.7;0.0533;0.854;0.676;25.4;0.973;0.333;7.51e-05;0.00282; 42480;7;22;0.0658;0.0219;49;0.462;1.74;0.266;0.857;0.734;117;0.994;0.363;1.56e-05;0.00248; 36240;6;17;0.0431;0.0315;52;0.000437;0.848;0.000515;0.857;0.0766;1.63;0.953;0.0194;0.00171;0.0364; 24400;0;1;0.0417;0.0303;54;21.8;43.6;11.7;  0%;  0%;  0%;14.6;8.32;16.2;  0%;  0%;  0%;44.4;22.8;5.78;  0%;  0%;  0%;5.98;10.9;7.87;  0%;  0%;  0%;46.7;53.3;0;0;0;0;0;0;0;6.23;28.3;0.00137;65.4;0;43.8;0;0;0;31.1;41;0.000334;28;0;0;0;0;0;0.0601;41.8;0;58.2;0;0;0;0;0;88.1;48.6;72.4;43.6;8.44 ;8.37 ;8.21 ;7.71 ;
2017-11-12;08:21:56.862;0.464;1.75;0.265;0.857;1.5;386;0.996;0.403;8.03e-06;0.00207;0.183;0.102;1.86e+05;1.07e+05;2.56e+03;3.5;87.4;0.928;23.2;159;31;62.1;0;6.94;0;2.64;0;0;0;287;34.4;0.753;1.75;0.431;0.857;0.456;153;0.997;0.408;6.01e-06;0.00202; 43840;52;0;0.0327;0.0255;47;0.539;1.75;0.308;0.857;0.583;117;0.995;0.392;1.08e-05;0.00218; 42160;0;6;0.0906;0.0281;49;0.563;1.75;0.322;0.857;0.378;114;0.997;0.409;6.68e-06;0.00202; 36320;0;3;0.0314;0.0259;51;0.000299;0.853;0.00035;0.819;0.0795;1.03;0.923;0.0247;0.00265;0.0344; 24400;0;1;0.028;0.0227;54;25.6;15.5;3.73;  0%;  0%;  0%;21.4;8.24;24.7;  0%;  0%;  0%;22.2;15.2;2.61;  0%;  0%;  0%;2.79;12.3;4.64;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;36;57.6;0;6.39;0;0;0;0;0;37.5;60.3;0;2.22;0;0;0;0;0;0.0427;80.8;0;19.2;0;10.6;0;0;0;86.2;74.2;78.6;47.7;8.57 ;9.1 ;8.57 ;8.18 ;
2017-11-12;08:21:57.909;0.526;1.75;0.301;0.857;1.44;372;0.996;0.407;7.84e-06;0.00203;0.172;0.0937;1.83e+05;1.05e+05;2.1e+03;3.5;87.5;1.05;26.3;154;35.1;64.9;0;0;0;0;0;0;0;266;29.9;0.735;1.75;0.42;0.857;0.401;128;0.997;0.408;6.33e-06;0.00202; 43760;43;4;0.0292;0.0228;47;0.631;1.75;0.361;0.857;0.557;113;0.995;0.403;1.02e-05;0.00206; 42000;0;6;0.0891;0.0259;48;0.744;1.75;0.425;0.857;0.401;131;0.997;0.409;6.17e-06;0.00201; 36240;0;13;0.0288;0.0238;51;0.00021;0.747;0.000281;0.857;0.076;0.427;0.822;0.0658;0.00411;0.0231; 24880;1;1;0.0249;0.0211;54;23.6;15;3.06;  0%;  0%;  0%;23.4;7.83;22.8;  0%;  0%;  0%;23.4;14.9;2.58;  0%;  0%;  0%;2.82;11.1;3.66;  0%;  0%;  0%;49;51;0;0;0;0;0;0;0;42.1;57.9;0;0;0;0;0;0;0;49.6;50.4;0;0;0;0;0;0;0;0.0328;100;0;0;0;0;0;0;0;75.5;69.7;76.9;43.9;7.51 ;7.9 ;7.42 ;7.07 ;
2017-11-12;08:21:59.153;0.561;1.75;0.321;0.857;1.64;475;0.997;0.407;7e-06;0.00203;0.2;0.111;2.34e+05;1.34e+05;2.61e+03;3.5;87.5;1.12;28.1;179;37.4;62.6;0;0;0;0;0;0;0;321;30.1;0.748;1.75;0.428;0.857;0.51;157;0.997;0.409;6.54e-06;0.00201; 44160;49;4;0.0334;0.0277;47;0.748;1.75;0.427;0.857;0.483;157;0.997;0.409;6.2e-06;0.00201; 41520;0;14;0.112;0.0336;48;0.75;1.75;0.429;0.857;0.482;158;0.997;0.409;6.15e-06;0.00201; 36240;0;18;0.0305;0.0271;50;0.00154;1.21;0.00127;0.857;0.165;3.94;0.958;0.0415;0.00102;0.0245; 24800;0;0;0.0241;0.0225;53;25.3;16.8;6.36;  0%;  0%;  0%;24.5;8.64;25.1;  0%;  0%;  0%;24.4;16.7;5.03;  0%;  0%;  0%;6.87;10.6;8.62;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.148;99.9;0;0;0;0;0;0;0;89.7;87.8;91.4;52.3;7.82 ;8.28 ;7.25 ;6.72 ;
2017-11-12;08:22:00.398;0.562;1.73;0.325;0.857;1.65;477;0.997;0.407;7.04e-06;0.00203;0.192;0.102;2.35e+05;1.36e+05;2.61e+03;3.46;86.4;1.12;28.1;180;38;49.8;0;12.2;0;10.5;0;0;0;315;29.8;0.75;1.75;0.429;0.857;0.522;158;0.997;0.409;6.66e-06;0.00202; 43920;53;0;0.0335;0.0276;47;0.748;1.69;0.442;0.857;0.483;157;0.997;0.409;6.18e-06;0.002; 41680;0;19;0.112;0.0334;48;0.75;1.75;0.429;0.857;0.482;158;0.997;0.408;6.15e-06;0.00201; 36160;0;18;0.0302;0.0267;50;0.00157;1.09;0.00145;0.783;0.167;4.16;0.96;0.0316;0.00102;0.0253; 24960;0;1;0.0167;0.0144;53;25.6;17;7.11;  0%;  0%;  0%;24.5;8.55;25.3;  0%;  0%;  0%;24.3;16.9;5.01;  0%;  0%;  0%;6.56;10.2;9.21;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;51.6;48.4;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.185;50.9;0;48.9;0;42;0;0;0;89.7;87.8;91.4;45.7;7.83 ;8.35 ;7.25 ;6.35 ;
2017-11-12;08:22:01.645;0.562;1.75;0.322;0.857;1.66;478;0.997;0.407;7.06e-06;0.00203;0.202;0.112;2.36e+05;1.35e+05;2.61e+03;3.5;87.4;1.12;28.1;182;37.5;61.6;0;0.887;0;0;0;0;0;322;30.2;0.749;1.75;0.428;0.857;0.514;158;0.997;0.408;6.56e-06;0.00201; 44240;51;0;0.0337;0.0279;47;0.749;1.75;0.429;0.857;0.492;158;0.997;0.408;6.26e-06;0.00201; 41600;0;14;0.113;0.0339;48;0.75;1.75;0.429;0.857;0.488;158;0.997;0.409;6.2e-06;0.00201; 36160;0;19;0.0309;0.0275;50;0.00155;1.15;0.00135;0.857;0.169;4;0.958;0.0399;0.00104;0.0246; 24800;0;2;0.0242;0.0225;53;25.6;17.4;6.63;  0%;  0%;  0%;24.8;8.85;25.4;  0%;  0%;  0%;24.7;16.9;5.07;  0%;  0%;  0%;7.03;10.9;8.7;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.158;96.3;0;3.55;0;0;0;0;0;89.9;88.1;91.7;52.3;7.79 ;8.36 ;7.31 ;6.72 ;
2017-11-12;08:22:02.889;0.564;1.75;0.322;0.857;1.67;478;0.996;0.407;7.11e-06;0.00203;0.201;0.111;2.36e+05;1.35e+05;2.62e+03;3.5;87.5;1.13;28.2;182;37.6;62.4;0;0;0;0;0;0;0;321;30.4;0.752;1.75;0.43;0.857;0.529;159;0.997;0.409;6.72e-06;0.00201; 43600;53;1;0.0334;0.0278;47;0.75;1.75;0.429;0.857;0.486;158;0.997;0.409;6.19e-06;0.00201; 41680;0;20;0.112;0.0337;47;0.75;1.75;0.429;0.857;0.487;158;0.997;0.408;6.21e-06;0.00201; 36160;0;18;0.0306;0.027;50;0.00175;1.25;0.0014;0.857;0.173;4;0.957;0.0484;0.000947;0.0218; 25040;1;0;0.0253;0.023;54;25.5;17.1;7.09;  0%;  0%;  0%;24.5;8.73;25.2;  0%;  0%;  0%;24.5;16.9;5.23;  0%;  0%;  0%;6.94;10.6;9.37;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.163;99.8;0;0;0;0;0;0;0;89.7;87.8;91.4;52.3;7.9 ;8.4 ;7.32 ;6.78 ;
2017-11-12;08:22:04.133;0.563;1.75;0.322;0.857;1.66;477;0.997;0.407;7.04e-06;0.00203;0.201;0.111;2.35e+05;1.35e+05;2.61e+03;3.5;87.5;1.13;28.2;180;37.6;62.4;0;0;0;0;0;0;0;321;30.5;0.75;1.75;0.429;0.857;0.515;158;0.997;0.409;6.56e-06;0.00201; 43920;51;2;0.0337;0.0278;46;0.75;1.75;0.429;0.857;0.489;158;0.997;0.409;6.23e-06;0.00201; 41840;0;13;0.112;0.0337;48;0.75;1.75;0.429;0.857;0.484;158;0.997;0.409;6.18e-06;0.00201; 36320;0;20;0.0305;0.0271;50;0.00155;1.2;0.0013;0.857;0.17;3.97;0.957;0.0453;0.00105;0.0245; 24880;0;0;0.0242;0.0225;53;25.4;16.9;6.6;  0%;  0%;  0%;24.6;8.8;25.2;  0%;  0%;  0%;24.5;16.7;5.07;  0%;  0%;  0%;6.95;10.7;8.83;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.152;99.8;0;0;0;0;0;0;0;89.6;87.7;91.4;52.3;7.87 ;8.47 ;7.35 ;6.82 ;
2017-11-12;08:22:05.377;0.563;1.75;0.322;0.857;1.66;477;0.997;0.407;7.06e-06;0.00203;0.201;0.111;2.35e+05;1.35e+05;2.61e+03;3.5;87.5;1.13;28.2;181;37.6;62.4;0;0;0;0;0;0;0;321;30.6;0.751;1.75;0.429;0.857;0.522;158;0.997;0.409;6.65e-06;0.00201; 43840;53;0;0.0333;0.0277;47;0.75;1.75;0.429;0.857;0.487;158;0.997;0.408;6.21e-06;0.00201; 41760;0;18;0.112;0.0336;47;0.75;1.75;0.429;0.857;0.486;158;0.997;0.409;6.19e-06;0.00201; 36160;0;13;0.0304;0.0269;50;0.00154;1.19;0.0013;0.857;0.169;3.94;0.957;0.0448;0.00105;0.0244; 25120;0;3;0.0252;0.0229;53;25.4;17;6.88;  0%;  0%;  0%;24.6;8.78;25.2;  0%;  0%;  0%;24.5;16.8;5.11;  0%;  0%;  0%;6.81;10.7;9.21;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.151;99.8;0;0;0;0;0;0;0;89.7;87.8;91.4;52.3;7.88 ;8.45 ;7.43 ;6.87 ;
2017-11-12;08:22:06.621;0.563;1.75;0.322;0.857;1.65;477;0.997;0.407;6.99e-06;0.00203;0.2;0.111;2.35e+05;1.35e+05;2.61e+03;3.5;87.5;1.13;28.2;179;37.5;62.5;0;0;0;0;0;0;0;321;30.3;0.75;1.75;0.429;0.857;0.508;158;0.997;0.409;6.48e-06;0.00201; 44160;52;0;0.0331;0.0276;46;0.75;1.75;0.429;0.857;0.489;158;0.997;0.409;6.24e-06;0.00201; 41760;0;16;0.113;0.0337;47;0.75;1.75;0.429;0.857;0.485;158;0.997;0.409;6.19e-06;0.00201; 36160;1;18;0.0303;0.027;50;0.00155;1.22;0.00128;0.857;0.163;3.96;0.959;0.0447;0.00101;0.0245; 25040;0;0;0.024;0.0223;54;25.4;16.7;6.21;  0%;  0%;  0%;24.7;8.64;25.2;  0%;  0%;  0%;24.6;16.6;5.04;  0%;  0%;  0%;6.93;10.6;8.42;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.149;99.9;0;0;0;0;0;0;0;89.7;87.8;91.5;52.3;7.83 ;8.4 ;7.35 ;6.76 ;
2017-11-12;08:22:07.865;0.563;1.75;0.322;0.857;1.66;477;0.997;0.407;7.03e-06;0.00203;0.201;0.111;2.35e+05;1.35e+05;2.61e+03;3.5;87.5;1.13;28.2;180;37.6;62.4;0;0;0;0;0;0;0;321;30.3;0.751;1.75;0.429;0.857;0.521;158;0.997;0.409;6.64e-06;0.00202; 43760;51;2;0.0332;0.0276;46;0.75;1.75;0.429;0.857;0.485;158;0.997;0.408;6.19e-06;0.00201; 41760;0;13;0.112;0.0336;47;0.75;1.75;0.429;0.857;0.484;158;0.997;0.409;6.17e-06;0.00201; 36160;0;19;0.0305;0.027;50;0.00155;1.2;0.0013;0.857;0.165;3.96;0.958;0.045;0.00102;0.0244; 25120;0;2;0.0248;0.0227;53;25.5;16.9;6.75;  0%;  0%;  0%;24.5;8.61;25.3;  0%;  0%;  0%;24.4;16.7;5.03;  0%;  0%;  0%;6.86;10.5;9.1;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.151;99.8;0;0;0;0;0;0;0;89.7;87.8;91.5;52.2;7.84 ;8.37 ;7.28 ;6.78 ;
2017-11-12;08:22:09.109;0.563;1.75;0.322;0.857;1.64;477;0.997;0.407;6.96e-06;0.00203;0.199;0.11;2.35e+05;1.35e+05;2.61e+03;3.5;87.5;1.13;28.2;178;37.5;62.5;0;0;0;0;0;0;0;321;30.1;0.751;1.75;0.429;0.857;0.508;158;0.997;0.409;6.48e-06;0.00201; 44080;49;1;0.0328;0.0274;46;0.75;1.75;0.429;0.857;0.483;158;0.997;0.409;6.16e-06;0.00201; 41760;0;15;0.112;0.0334;47;0.75;1.75;0.429;0.857;0.488;158;0.997;0.409;6.23e-06;0.00201; 36320;1;17;0.0302;0.0269;50;0.00153;1.22;0.00126;0.857;0.159;3.92;0.96;0.0446;0.000989;0.0245; 25040;0;2;0.0241;0.0224;53;25.3;16.8;6;  0%;  0%;  0%;24.6;8.37;25;  0%;  0%;  0%;24.5;16.7;5.13;  0%;  0%;  0%;6.94;10.3;8.2;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.147;99.9;0;0;0;0;0;0;0;89.7;87.8;91.5;52.3;7.78 ;8.37 ;7.26 ;6.7 ;
