System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;10:36:34.779;0.364;1.73;0.211;0.619;3.14;359;0.991;0.376;2.07e-05;0.00236;0.309;0.169;1.52e+05;8.79e+04;2.14e+03;3.45;86.3;0.728;18.2;408;34.1;45.1;0.111;20.7;0;9.07;0;0;0;248;35.3;0.444;1.72;0.259;0.619;0.897;97;0.991;0.392;2.03e-05;0.00219; 43760;15;26;0.0656;0.0496;50;0.422;1.72;0.245;0.619;0.792;117;0.993;0.35;1.82e-05;0.00269; 41680;4;30;0.0602;0.0384;51;0.0875;1.68;0.0521;0.619;0.651;33;0.98;0.291;7.02e-05;0.00355; 33520;8;22;0.115;0.0343;53;0.506;1.74;0.29;0.619;0.804;112;0.993;0.408;1.47e-05;0.00204; 37920;7;29;0.0686;0.047;50;37;34.8;61.8;  0%;  0%;  0%;46.3;21.4;23.8;  0%;  0%;  0%;19.1;23.6;18.6;  0%;  0%;  0%;20;46.5;54.8;  0%;  0%;  0%;41.8;54.2;0.461;3.55;0;0;0;0;0;39.6;47.7;0;12.7;0;5.69;0;0;0;8.42;29;0;62.6;0;30.2;0;0;0;46.9;50.2;0.00176;2.96;0;0;0;0;0;69.4;64.8;46.1;68;9.08 ;8.65 ;9.47 ;8.14 ;
2017-11-10;10:36:36.099;0.486;1.74;0.279;0.619;1.8;441;0.996;0.409;8.35e-06;0.00204;0.217;0.118;2.16e+05;1.24e+05;2.76e+03;3.49;87.2;0.973;24.3;195;45.1;51.7;0;3.23;0;0;0;0;0;271;33.2;0.54;1.74;0.31;0.619;0.496;122;0.996;0.409;8.29e-06;0.00203; 43760;5;3;0.0364;0.0292;49;0.54;1.74;0.31;0.619;0.43;121;0.996;0.413;7.17e-06;0.00201; 41600;0;12;0.0335;0.0284;51;0.323;1.74;0.186;0.619;0.451;77.4;0.994;0.398;1.25e-05;0.00215; 34000;0;6;0.114;0.0318;53;0.543;1.75;0.311;0.619;0.428;121;0.996;0.411;7.08e-06;0.00201; 38080;0;8;0.0334;0.0281;50;14.2;22.6;13.9;  0%;  0%;  0%;17.6;11.4;13.3;  0%;  0%;  0%;18.1;22.2;18.2;  0%;  0%;  0%;17.9;11.5;13.7;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;30;57.1;0;12.9;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;71.2;69.2;61.3;69.6;8.55 ;7.89 ;9.23 ;7.48 ;
2017-11-10;10:36:36.902;0.553;1.74;0.317;0.619;1.38;326;0.996;0.409;8.56e-06;0.00203;0.143;0.0762;1.61e+05;9.22e+04;2.09e+03;3.49;87.2;1.11;27.7;135;51.3;48.7;0;0.0879;0;0;0;0;0;169;21;0.597;1.74;0.342;0.619;0.381;90.8;0.996;0.41;8.48e-06;0.00202; 43920;6;0;0.0237;0.0188;49;0.59;1.74;0.338;0.619;0.342;88.3;0.996;0.41;7.78e-06;0.00201; 41520;0;5;0.0211;0.0179;51;0.471;1.74;0.27;0.619;0.381;70.4;0.995;0.404;1.13e-05;0.00208; 33680;0;4;0.0751;0.021;53;0.553;1.75;0.316;0.619;0.273;76.6;0.996;0.41;7.14e-06;0.00201; 38000;0;4;0.0229;0.0185;50;9.14;16.6;8.49;  0%;  0%;  0%;14.1;7.39;8.8;  0%;  0%;  0%;14.1;16;13;  0%;  0%;  0%;12.4;7.15;8.23;  0%;  0%;  0%;55.3;44.7;0;0;0;0;0;0;0;54.7;45.3;0;0;0;0;0;0;0;43.6;56;0;0.356;0;0;0;0;0;51.1;48.9;0;0;0;0;0;0;0;43.3;42.1;41.1;42.4;5.42 ;5.05 ;5.77 ;4.82 ;
2017-11-10;10:36:37.914;0.532;1.74;0.305;0.619;1.53;369;0.996;0.409;8.36e-06;0.00202;0.176;0.0938;1.83e+05;1.05e+05;2.36e+03;3.49;87.2;1.06;26.6;164;49.2;50.4;0;0.34;0;0;0;0;0;214;26.5;0.559;1.74;0.321;0.619;0.417;99.4;0.996;0.41;8.47e-06;0.00202; 43840;5;1;0.0284;0.0231;49;0.542;1.74;0.311;0.619;0.344;92.9;0.996;0.41;7.43e-06;0.00201; 41440;0;6;0.026;0.0225;51;0.484;1.74;0.277;0.619;0.435;84.8;0.995;0.406;1.06e-05;0.00206; 33920;0;16;0.0938;0.025;53;0.54;1.75;0.309;0.619;0.33;92.3;0.996;0.41;7.19e-06;0.00201; 38080;1;12;0.028;0.0232;50;10.3;20.6;9.95;  0%;  0%;  0%;16.3;8.32;9.54;  0%;  0%;  0%;17;20.2;17.3;  0%;  0%;  0%;16.1;8.29;9.64;  0%;  0%;  0%;51.8;48.2;0;0;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;44.8;53.8;0;1.37;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.2;52.8;53.4;6.79 ;6.41 ;7.25 ;6.04 ;
2017-11-10;10:36:38.927;0.534;1.75;0.306;0.619;1.45;366;0.996;0.409;7.98e-06;0.00202;0.172;0.0913;1.82e+05;1.04e+05;2.13e+03;3.49;87.3;1.07;26.7;157;49.4;50.1;0;0.474;0;0;0;0;0;215;26.6;0.54;1.74;0.31;0.619;0.37;92.3;0.996;0.411;8.05e-06;0.00201; 43840;4;1;0.0279;0.023;49;0.539;1.74;0.309;0.619;0.332;91.9;0.996;0.41;7.23e-06;0.002; 41440;0;11;0.0245;0.0217;50;0.514;1.74;0.295;0.619;0.42;90;0.995;0.404;9.61e-06;0.00206; 34160;0;26;0.0935;0.024;53;0.54;1.75;0.309;0.619;0.327;92.2;0.996;0.41;7.12e-06;0.00201; 37840;0;11;0.0266;0.0226;50;9.33;18.8;9.04;  0%;  0%;  0%;16.2;7.95;8.76;  0%;  0%;  0%;16.9;19.6;17.5;  0%;  0%;  0%;16.3;7.91;8.89;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;47.6;50.5;0;1.9;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.2;53.8;53.4;6.83 ;6.37 ;7.28 ;6.07 ;
2017-11-10;10:36:39.939;0.533;1.75;0.306;0.619;1.47;366;0.996;0.409;8.09e-06;0.00202;0.174;0.0925;1.82e+05;1.04e+05;2.13e+03;3.49;87.3;1.07;26.7;160;49.4;50.6;0;0;0;0;0;0;0;215;26.2;0.54;1.74;0.31;0.619;0.377;92.4;0.996;0.411;8.22e-06;0.00201; 43840;7;0;0.0284;0.0234;49;0.539;1.74;0.309;0.619;0.334;91.9;0.996;0.41;7.29e-06;0.002; 41440;0;8;0.0249;0.0219;50;0.514;1.75;0.295;0.619;0.427;90;0.995;0.405;9.76e-06;0.00206; 34000;0;24;0.0936;0.0242;53;0.54;1.75;0.309;0.619;0.33;92.2;0.996;0.411;7.19e-06;0.00201; 37680;0;12;0.0272;0.023;50;9.58;19.4;9.27;  0%;  0%;  0%;16.4;8.05;8.96;  0%;  0%;  0%;17.1;20.2;17.8;  0%;  0%;  0%;16.4;8.05;9.14;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;47.6;52.4;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.1;53.9;53.4;6.75 ;6.31 ;7.15 ;5.99 ;
2017-11-10;10:36:40.952;0.539;1.74;0.309;0.619;1.44;370;0.996;0.409;7.84e-06;0.00202;0.172;0.0912;1.83e+05;1.05e+05;2.13e+03;3.49;87.2;1.08;27;156;50;50;0;0;0;0;0;0;0;216;26.8;0.54;1.74;0.311;0.619;0.425;94.5;0.996;0.405;9.25e-06;0.00206; 44160;6;2;0.0219;0.0186;49;0.539;1.74;0.309;0.619;0.338;91.9;0.996;0.411;7.36e-06;0.002; 41360;0;7;0.0247;0.0223;50;0.538;1.75;0.308;0.619;0.344;91.8;0.996;0.41;7.53e-06;0.00201; 33280;0;19;0.0993;0.0276;53;0.54;1.75;0.309;0.619;0.331;92.1;0.996;0.41;7.2e-06;0.002; 37760;1;10;0.0265;0.0227;49;12.6;18.5;12.3;  0%;  0%;  0%;14.2;7.87;11.2;  0%;  0%;  0%;14.2;17.6;14.5;  0%;  0%;  0%;14.3;7.85;11.1;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.8;50.2;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.2;54.6;53.4;6.74 ;6.55 ;7.33 ;6.13 ;
2017-11-10;10:36:41.964;0.54;1.74;0.31;0.619;1.43;371;0.996;0.409;7.79e-06;0.00202;0.172;0.0914;1.84e+05;1.05e+05;2.13e+03;3.49;87.2;1.08;27;156;50;50;0;0;0;0;0;0;0;216;26.7;0.54;1.74;0.311;0.619;0.427;94.8;0.995;0.405;9.3e-06;0.00206; 44080;3;4;0.0212;0.0182;49;0.539;1.74;0.309;0.619;0.339;91.9;0.996;0.411;7.4e-06;0.002; 41360;0;13;0.0248;0.0224;50;0.54;1.75;0.309;0.619;0.333;92;0.996;0.411;7.26e-06;0.002; 33200;0;15;0.0998;0.028;52;0.54;1.75;0.309;0.619;0.33;92.2;0.996;0.41;7.19e-06;0.00201; 37680;1;15;0.0265;0.0228;49;13;18.5;12.6;  0%;  0%;  0%;14;7.91;11.5;  0%;  0%;  0%;13.9;17;14.2;  0%;  0%;  0%;14;7.8;11.4;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.2;54.7;53.5;6.77 ;6.56 ;7.26 ;6.13 ;
2017-11-10;10:36:42.977;0.54;1.74;0.31;0.619;1.45;371;0.996;0.409;7.91e-06;0.00202;0.174;0.0922;1.84e+05;1.05e+05;2.13e+03;3.49;87.2;1.08;27;158;50;50;0;0;0;0;0;0;0;216;26.8;0.54;1.74;0.311;0.619;0.434;94.8;0.995;0.405;9.44e-06;0.00206; 44240;7;1;0.0217;0.0184;49;0.539;1.74;0.309;0.619;0.342;91.9;0.996;0.41;7.47e-06;0.002; 41360;0;14;0.0252;0.0226;50;0.54;1.75;0.309;0.619;0.336;92;0.996;0.411;7.33e-06;0.002; 33120;0;17;0.1;0.0281;52;0.54;1.75;0.309;0.619;0.341;92.2;0.996;0.41;7.42e-06;0.00201; 37600;0;17;0.0268;0.023;50;13.2;18.6;13;  0%;  0%;  0%;14.1;8;11.6;  0%;  0%;  0%;14;17.1;14.3;  0%;  0%;  0%;14.1;7.96;11.7;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;54.8;53.2;54.7;53.5;6.76 ;6.63 ;7.32 ;6.1 ;
2017-11-10;10:36:43.989;0.54;1.74;0.31;0.619;1.45;371;0.996;0.409;7.88e-06;0.00202;0.173;0.0918;1.84e+05;1.05e+05;2.13e+03;3.49;87.2;1.08;27;157;50;50;0;0;0;0;0;0;0;216;26.8;0.54;1.74;0.311;0.619;0.436;94.8;0.995;0.405;9.48e-06;0.00206; 44400;5;4;0.0214;0.0183;49;0.539;1.74;0.309;0.619;0.342;91.9;0.996;0.411;7.46e-06;0.002; 41440;0;16;0.0249;0.0225;50;0.54;1.75;0.309;0.619;0.334;92;0.996;0.411;7.29e-06;0.002; 33120;0;15;0.0999;0.028;52;0.54;1.75;0.309;0.619;0.334;92.2;0.996;0.411;7.27e-06;0.00201; 37920;0;15;0.0268;0.0229;49;13.2;18.6;12.9;  0%;  0%;  0%;14;7.87;11.6;  0%;  0%;  0%;13.9;17.2;14.2;  0%;  0%;  0%;14;7.82;11.7;  0%;  0%;  0%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;54.7;53.1;54.7;53.5;6.74 ;6.61 ;7.29 ;6.17 ;
