System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-12;07:54:30.131;0.236;1.18;0.2;0.809;0.224;189;0.999;0.457;2.47e-06;0.00209;0.0722;0.0676;9.06e+04;7.68e+04;2.34e+03;2.36;58.9;0.471;11.8;19.5;24.7;27;0.000889;48.3;0;21.2;0;0;0;200;25.1;0.945;1.18;0.802;0.81;0.133;185;0.999;0.462;1.47e-06;0.00205; 48960;9;6;0.023;0.0213;48;0.00172;1.17;0.00147;0.725;0.0494;4.32;0.989;0.0275;0.000299;0.0261; 20960;1;1;0.00932;0.00895;56;5.42e-05;0.392;0.000138;0.774;0.019;0.0916;0.793;0.0829;0.00364;0.0176; 23600;0;1;0.0157;0.0151;57;6.76e-05;0.448;0.000151;0.81;0.0221;0.121;0.818;0.0833;0.00339;0.0187; 24400;1;0;0.0242;0.0222;55;2.49;1.31;1.94;  0%;  0%;  0%;1.07;1.35;2.19;  0%;  0%;  0%;1.23;1.12;0.997;  0%;  0%;  0%;0.719;1.57;3.52;  0%;  0%;  0%;99;0.896;0.00357;0.0611;0;0;0;0;0;0.202;30.9;0;68.9;0;58.6;0;0;0;0.0179;32.8;0;67.2;0;26.1;0;0;0;0.0186;43.1;0;56.9;0;0;0;0;0;84.7;37.1;38.9;39.2;7.05 ;5.9 ;6.2 ;5.91 ;
2017-11-12;07:54:31.299;0.236;1.17;0.201;0.81;0.153;191;0.999;0.458;1.67e-06;0.00209;0.0877;0.0814;9.13e+04;7.78e+04;2.39e+03;2.35;58.7;0.472;11.8;17.5;24.9;41.3;0;33.9;0;3.31;0;0;0;213;26.4;0.95;1.17;0.81;0.81;0.0468;186;1;0.464;5.14e-07;0.00204; 48720;9;2;0.0229;0.0209;47;0.00183;1.16;0.00158;0.81;0.0511;4.6;0.989;0.0303;0.000288;0.0259; 21120;0;2;0.0211;0.0204;55;8.08e-05;0.449;0.00018;0.81;0.0261;0.16;0.837;0.0682;0.00333;0.0205; 23680;0;1;0.0218;0.0207;57;9.29e-05;0.431;0.000216;0.795;0.0288;0.167;0.828;0.0792;0.0032;0.0186; 24400;0;3;0.0219;0.0193;55;1.48;1.09;1.62;  0%;  0%;  0%;1.3;1.69;1.47;  0%;  0%;  0%;1.49;1.04;1.23;  0%;  0%;  0%;0.856;1.92;2.34;  0%;  0%;  0%;100;0.000342;0;0;0;0;0;0;0;0.195;61.3;0;38.5;0;0;0;0;0;0.0222;54.1;0;45.9;0;0;0;0;0;0.0271;49.2;0;50.7;0;13.2;0;0;0;87.6;41.8;42.8;41.1;7.21 ;6.63 ;6.58 ;5.97 ;
2017-11-12;07:54:32.215;0.242;1.17;0.206;0.81;0.122;163;0.999;0.458;1.56e-06;0.00209;0.07;0.0655;7.8e+04;6.64e+04;2.09e+03;2.35;58.7;0.484;12.1;12.7;25.5;73.3;0;1.22;0;0;0;0;0;180;20.8;0.951;1.17;0.81;0.81;0.0405;159;1;0.464;5.21e-07;0.00204; 48880;6;1;0.0182;0.0166;47;0.0019;1.2;0.00159;0.81;0.0393;3.92;0.99;0.0324;0.000258;0.0257; 21040;0;2;0.0166;0.016;55;6.83e-05;0.528;0.000129;0.81;0.0167;0.0864;0.806;0.123;0.00306;0.0158; 23680;0;2;0.0168;0.0161;57;0.000369;1.24;0.000298;0.81;0.0254;0.177;0.857;0.179;0.00086;0.00599; 24560;0;2;0.0184;0.0168;55;1.15;0.719;1.25;  0%;  0%;  0%;0.862;1.23;1.11;  0%;  0%;  0%;0.999;0.715;0.807;  0%;  0%;  0%;0.621;1.49;1.71;  0%;  0%;  0%;100;0.000132;0;0;0;0;0;0;0;0.196;97.5;0;2.29;0;0;0;0;0;0.016;100;0;0;0;0;0;0;0;0.0368;97.4;0;2.6;0;0;0;0;0;68.6;36;38.2;37;5.7 ;5.23 ;5.17 ;4.74 ;
2017-11-12;07:54:33.223;0.242;1.18;0.206;0.81;0.127;172;0.999;0.458;1.55e-06;0.00209;0.0773;0.0721;8.23e+04;7e+04;2.27e+03;2.35;58.8;0.483;12.1;14.6;25.4;74;0;0.629;0;0;0;0;0;198;22.8;0.951;1.18;0.81;0.81;0.0424;167;1;0.464;5.17e-07;0.00204; 49120;10;0;0.0199;0.0182;47;0.00184;1.18;0.00155;0.81;0.0416;4.02;0.99;0.0318;0.000267;0.0258; 21040;0;2;0.0182;0.0177;55;6.19e-05;0.555;0.000111;0.81;0.0159;0.0792;0.8;0.155;0.00303;0.0151; 23760;0;2;0.0184;0.0176;57;8.34e-05;0.576;0.000145;0.81;0.0275;0.0967;0.716;0.152;0.00389;0.0137; 24400;1;0;0.0207;0.0187;55;1.22;0.831;1.54;  0%;  0%;  0%;0.825;1.51;1.2;  0%;  0%;  0%;1;0.81;0.878;  0%;  0%;  0%;0.747;1.84;2.16;  0%;  0%;  0%;100;0.000215;0;0;0;0;0;0;0;0.192;97.3;0;2.53;0;0;0;0;0;0.0138;100;0;0;0;0;0;0;0;0.0179;100;0;0;0;0;0;0;0;75.6;39.6;42.1;40.8;6.25 ;5.68 ;5.68 ;5.14 ;
2017-11-12;07:54:34.231;0.238;1.18;0.203;0.81;0.11;168;0.999;0.458;1.36e-06;0.00209;0.076;0.0713;8.07e+04;6.87e+04;2.12e+03;2.35;58.8;0.477;11.9;12.5;25.1;74.9;0;0;0;0;0;0;0;199;22.7;0.952;1.18;0.81;0.81;0.0376;164;1;0.464;4.67e-07;0.00204; 49200;11;0;0.0195;0.0179;47;0.00183;1.31;0.0014;0.81;0.0348;3.87;0.991;0.0424;0.000224;0.0249; 21040;0;1;0.018;0.0175;55;6.21e-05;0.567;0.00011;0.81;0.0157;0.0798;0.804;0.16;0.00298;0.0152; 23760;0;3;0.0182;0.0175;57;7.57e-05;0.565;0.000134;0.81;0.0214;0.088;0.757;0.163;0.00334;0.0137; 24560;1;0;0.0203;0.0184;55;1.16;0.735;1.27;  0%;  0%;  0%;0.783;1.19;1.14;  0%;  0%;  0%;0.894;0.729;0.817;  0%;  0%;  0%;0.613;1.36;1.83;  0%;  0%;  0%;100;0.00022;0;0;0;0;0;0;0;0.173;99.8;0;0;0;0;0;0;0;0.0135;100;0;0;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;75.6;40;42.1;40.8;6.23 ;5.68 ;5.65 ;5.15 ;
2017-11-12;07:54:35.239;0.238;1.18;0.203;0.81;0.132;168;0.999;0.458;1.63e-06;0.00208;0.0778;0.0722;8.07e+04;6.87e+04;2.12e+03;2.35;58.8;0.477;11.9;15.1;25.1;74.9;0;0;0;0;0;0;0;199;22.7;0.951;1.18;0.81;0.81;0.0414;164;1;0.464;5.14e-07;0.00204; 49200;8;3;0.02;0.0182;46;0.00185;1.29;0.00144;0.81;0.0431;3.91;0.989;0.0426;0.000275;0.0249; 21360;0;1;0.0182;0.0176;55;7.49e-05;0.558;0.000134;0.81;0.0183;0.107;0.829;0.142;0.00288;0.0169; 23680;0;3;0.0187;0.0177;57;9.3e-05;0.544;0.000171;0.81;0.0289;0.124;0.767;0.142;0.00367;0.0157; 24400;0;2;0.0209;0.0187;55;1.29;0.802;1.53;  0%;  0%;  0%;0.985;1.51;1.34;  0%;  0%;  0%;1.08;0.806;1.02;  0%;  0%;  0%;0.768;1.85;2.11;  0%;  0%;  0%;100;0.000169;0;0;0;0;0;0;0;0.178;99.8;0;0;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;0.0211;100;0;0;0;0;0;0;0;75.6;40.1;42.1;40.8;6.2 ;5.65 ;5.63 ;5.18 ;
2017-11-12;07:54:36.247;0.238;1.17;0.203;0.81;0.106;168;0.999;0.458;1.31e-06;0.00208;0.0758;0.0711;8.06e+04;6.87e+04;2.12e+03;2.35;58.7;0.476;11.9;12;25.1;74.9;0;0;0;0;0;0;0;199;22.6;0.95;1.17;0.81;0.81;0.0366;164;1;0.464;4.54e-07;0.00204; 48960;10;2;0.0194;0.0178;46;0.00181;1.31;0.00138;0.81;0.0327;3.82;0.991;0.0427;0.000213;0.0249; 21360;0;0;0.0179;0.0174;54;6.23e-05;0.567;0.00011;0.81;0.0156;0.0779;0.799;0.164;0.00296;0.0148; 23760;0;2;0.0182;0.0175;57;7.54e-05;0.562;0.000134;0.81;0.0207;0.0839;0.753;0.169;0.00324;0.0131; 24560;1;1;0.0203;0.0184;55;1.14;0.706;1.26;  0%;  0%;  0%;0.766;1.1;1.13;  0%;  0%;  0%;0.843;0.695;0.8;  0%;  0%;  0%;0.572;1.24;1.78;  0%;  0%;  0%;100;0.000108;0;0;0;0;0;0;0;0.171;99.8;0;0;0;0;0;0;0;0.0136;100;0;0;0;0;0;0;0;0.0166;100;0;0;0;0;0;0;0;75.6;40.1;42.1;40.9;6.16 ;5.63 ;5.65 ;5.11 ;
2017-11-12;07:54:37.255;0.238;1.17;0.203;0.81;0.107;168;0.999;0.458;1.32e-06;0.00209;0.0759;0.0712;8.06e+04;6.87e+04;2.12e+03;2.35;58.7;0.476;11.9;12.2;25.1;74.9;0;0;0;0;0;0;0;199;22.7;0.95;1.17;0.81;0.81;0.0369;164;1;0.464;4.58e-07;0.00204; 48960;11;0;0.0194;0.0179;46;0.00183;1.31;0.0014;0.81;0.034;3.87;0.991;0.0425;0.000219;0.0249; 21280;0;0;0.0179;0.0174;55;6.43e-05;0.574;0.000112;0.81;0.0167;0.0867;0.808;0.157;0.00306;0.0159; 23680;0;2;0.0182;0.0175;57;7.13e-05;0.568;0.000125;0.81;0.0191;0.0786;0.757;0.172;0.00316;0.013; 24400;0;2;0.0203;0.0184;55;1.18;0.742;1.19;  0%;  0%;  0%;0.811;1.06;1.22;  0%;  0%;  0%;0.921;0.751;0.826;  0%;  0%;  0%;0.59;1.22;1.69;  0%;  0%;  0%;100;0.00027;0;0;0;0;0;0;0;0.173;99.8;0;0;0;0;0;0;0;0.0138;100;0;0;0;0;0;0;0;0.0155;100;0;0;0;0;0;0;0;75.6;40.1;42.1;40.8;6.18 ;5.71 ;5.67 ;5.17 ;
2017-11-12;07:54:38.263;0.239;1.16;0.206;0.81;0.115;168;0.999;0.458;1.42e-06;0.00208;0.0764;0.0715;8.1e+04;6.98e+04;2.12e+03;2.32;58;0.478;12;13.2;25.5;74.5;0;0;0;0;0;0;0;200;22.7;0.951;1.17;0.81;0.81;0.0384;164;1;0.464;4.77e-07;0.00204; 48960;11;0;0.0197;0.018;46;0.00541;0.365;0.0148;0.81;0.0368;3.88;0.991;0.0428;8.02e-05;0.00846; 21360;0;1;0.0181;0.0175;55;6.3e-05;0.567;0.000111;0.81;0.0158;0.0811;0.806;0.162;0.00296;0.0152; 23760;0;3;0.0183;0.0175;56;7.51e-05;0.568;0.000132;0.81;0.0238;0.0896;0.735;0.162;0.00373;0.0141; 24560;0;0;0.0203;0.0184;55;1.22;0.725;1.34;  0%;  0%;  0%;0.796;1.26;1.24;  0%;  0%;  0%;0.887;0.721;0.877;  0%;  0%;  0%;0.689;1.52;1.9;  0%;  0%;  0%;100;0.000161;0;0;0;0;0;0;0;1.83;98.2;0;0;0;0;0;0;0;0.0137;100;0;0;0;0;0;0;0;0.0163;100;0;0;0;0;0;0;0;75.6;40.9;42.1;40.9;6.2 ;5.73 ;5.63 ;5.15 ;
2017-11-12;07:54:39.271;0.238;1.17;0.203;0.81;0.12;168;0.999;0.458;1.48e-06;0.00209;0.0768;0.0717;8.07e+04;6.87e+04;2.12e+03;2.35;58.7;0.476;11.9;13.7;25.1;74.3;0;0.615;0;0;0;0;0;199;22.9;0.951;1.17;0.81;0.81;0.0383;164;1;0.464;4.76e-07;0.00204; 49040;9;3;0.0195;0.0179;46;0.00184;1.29;0.00143;0.81;0.0398;3.88;0.99;0.0431;0.000255;0.0249; 21280;0;0;0.0181;0.0175;54;7.73e-05;0.561;0.000138;0.81;0.0186;0.111;0.833;0.145;0.00284;0.017; 23680;2;1;0.0186;0.0177;57;8.55e-05;0.523;0.000163;0.81;0.023;0.111;0.794;0.146;0.00317;0.0154; 24560;0;0;0.0207;0.0186;55;1.28;0.774;1.27;  0%;  0%;  0%;0.977;1.28;1.28;  0%;  0%;  0%;1.08;0.758;0.958;  0%;  0%;  0%;0.698;1.49;1.81;  0%;  0%;  0%;100;0.000258;0;0;0;0;0;0;0;0.177;99.8;0;0;0;0;0;0;0;0.017;100;0;0;0;0;0;0;0;0.0202;97.5;0;2.46;0;0;0;0;0;75.6;40.2;42.2;40.8;6.24 ;5.76 ;5.69 ;5.19 ;
