System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-12;07:24:16.466;0.483;1.26;0.383;0.952;2.13;429;0.995;0.441;1.08e-05;0.00217;0.238;0.164;1.98e+05;1.57e+05;2.12e+03;2.53;63.1;0.967;24.2;282;40.2;26;0.00566;33.8;0;7.08;0;0;0;342;33;1.11;1.17;0.947;0.952;0.957;215;0.996;0.468;9.04e-06;0.00203; 46960;24;25;0.0512;0.0486;44;0.899;1.39;0.647;0.952;0.982;211;0.995;0.414;1.07e-05;0.0023; 42800;7;31;0.0508;0.0457;46;0.000837;0.866;0.000967;0.834;0.139;2.54;0.945;0.029;0.00157;0.0287; 22000;2;7;0.0896;0.0315;55;0.00019;0.597;0.000318;0.952;0.0508;0.414;0.877;0.138;0.00253;0.0206; 20640;1;9;0.0466;0.0379;53;81.4;26.1;18.1;  0%;  0%;  0%;16.7;6.34;69.3;  0%;  0%;  0%;18.4;15.8;6.95;  0%;  0%;  0%;6.49;7.15;9.35;  0%;  0%;  0%;99.4;0.303;0.000517;0.285;0;0.086;0;0;0;67.9;27.4;0.0193;4.71;0;0;0;0;0;0.116;32;0;67.9;0;27.3;0;0;0;0.0334;41.8;0.00272;58.2;0;0;0;0;0;124;112;53;53.8;8.67 ;7.99 ;8.92 ;7.44 ;
2017-11-12;07:24:17.786;0.56;1.17;0.477;0.952;1.12;505;0.998;0.465;4.51e-06;0.00203;0.164;0.0986;2.49e+05;2.12e+05;2.81e+03;2.34;58.6;1.12;28;122;50.1;32.1;0;17.8;0;0.81;0;0;0;357;30.9;1.12;1.17;0.952;0.952;0.515;251;0.998;0.466;4.14e-06;0.00202; 46720;13;6;0.0289;0.0254;43;1.12;1.17;0.952;0.952;0.492;250;0.998;0.468;3.97e-06;0.00202; 42560;0;14;0.0254;0.0242;45;0.00123;1.11;0.00111;0.952;0.0474;3.47;0.986;0.0301;0.000348;0.0255; 22000;0;4;0.0828;0.0245;55;0.00026;0.292;0.000889;0.945;0.0656;0.173;0.62;0.0742;0.00228;0.006; 20720;0;0;0.0273;0.0244;52;34.6;8.97;2.94;  0%;  0%;  0%;8.22;1.8;34.4;  0%;  0%;  0%;8.32;8.95;3.21;  0%;  0%;  0%;3.94;2.32;4.14;  0%;  0%;  0%;100;0.000278;0;0;0;0;0;0;0;100;6.02e-05;0;0;0;0;0;0;0;0.116;64.4;0;35.5;0;0;0;0;0;0.0942;64.1;0;35.8;0;3.25;0;0;0;122;119;58.4;57.5;8.24 ;7.17 ;8.65 ;6.8 ;
2017-11-12;07:24:18.750;0.564;1.17;0.484;0.952;0.853;380;0.998;0.464;4.55e-06;0.00203;0.119;0.071;1.88e+05;1.61e+05;2.1e+03;2.33;58.3;1.13;28.2;85.9;50.8;49.2;0;0;0;0;0;0;0;272;22.7;1.12;1.17;0.952;0.952;0.394;189;0.998;0.465;4.2e-06;0.00202; 46800;15;0;0.0204;0.0181;43;1.12;1.17;0.952;0.952;0.375;188;0.998;0.466;4.02e-06;0.00201; 42800;0;3;0.0178;0.0172;45;0.00125;1.19;0.00105;0.952;0.0465;2.57;0.982;0.0377;0.000451;0.0249; 22000;0;2;0.0602;0.0176;55;0.00355;0.269;0.0132;0.952;0.0375;0.117;0.68;0.11;0.000128;0.000399; 20720;0;1;0.0202;0.0181;52;25.3;6.39;1.81;  0%;  0%;  0%;5.88;1.05;25.1;  0%;  0%;  0%;5.92;6.38;1.96;  0%;  0%;  0%;2.35;1.22;2.43;  0%;  0%;  0%;100;0;0;0;0;0;0;0;0;100;0.000134;0;0;0;0;0;0;0;0.11;99.9;0;0;0;0;0;0;0;1.39;98.6;0;0;0;0;0;0;0;88.7;86.8;48.5;48.5;5.98 ;5.28 ;6.41 ;5.01 ;
2017-11-12;07:24:19.758;0.574;1.17;0.49;0.952;0.916;430;0.998;0.464;4.32e-06;0.00203;0.122;0.073;2.12e+05;1.81e+05;2.69e+03;2.34;58.6;1.15;28.7;86;51.4;48.6;0;0;0;0;0;0;0;284;23.4;1.12;1.17;0.952;0.952;0.444;221;0.998;0.465;4.06e-06;0.00202; 47040;9;2;0.0208;0.0185;43;1.12;1.17;0.952;0.952;0.4;206;0.998;0.466;3.91e-06;0.00202; 42640;0;11;0.0183;0.0178;45;0.00132;1.23;0.00107;0.952;0.0419;2.95;0.986;0.0387;0.000354;0.0249; 21920;0;2;0.0623;0.0181;55;0.000107;0.622;0.000173;0.952;0.0305;0.128;0.761;0.127;0.00317;0.0133; 20800;0;0;0.0204;0.0186;52;26.1;6.49;1.44;  0%;  0%;  0%;6.08;0.84;26;  0%;  0%;  0%;6.12;6.49;1.65;  0%;  0%;  0%;1.9;0.98;1.95;  0%;  0%;  0%;100;0.000322;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.112;99.9;0;0;0;0;0;0;0;0.0181;100;0;0;0;0;0;0;0;92.7;90.8;50.4;49.8;6.25 ;5.44 ;6.65 ;5.12 ;
2017-11-12;07:24:20.765;0.559;1.17;0.476;0.952;0.805;384;0.998;0.464;4.26e-06;0.00203;0.121;0.0726;1.89e+05;1.61e+05;2.12e+03;2.34;58.6;1.12;27.9;85.2;50;50;0;0;0;0;0;0;0;284;23.4;1.12;1.17;0.952;0.952;0.382;191;0.998;0.465;4.05e-06;0.00202; 46960;10;1;0.0205;0.0184;43;1.12;1.17;0.952;0.952;0.368;190;0.998;0.466;3.9e-06;0.00201; 42640;0;8;0.0182;0.0177;44;0.00123;1.26;0.00098;0.952;0.0299;2.59;0.988;0.0389;0.000287;0.0248; 21840;0;3;0.0622;0.018;55;7.99e-05;0.559;0.000143;0.952;0.0246;0.0909;0.73;0.158;0.00363;0.0134; 20960;2;2;0.0203;0.0185;52;26;6.55;1.38;  0%;  0%;  0%;6.11;0.75;25.9;  0%;  0%;  0%;6.17;6.58;1.47;  0%;  0%;  0%;1.55;0.842;1.89;  0%;  0%;  0%;100;0.000118;0;0;0;0;0;0;0;100;0.000146;0;0;0;0;0;0;0;0.103;99.9;0;0;0;0;0;0;0;0.015;100;0;0;0;0;0;0;0;92.8;90.9;50.5;49.9;6.21 ;5.46 ;6.61 ;5.15 ;
2017-11-12;07:24:21.773;0.56;1.16;0.481;0.952;0.828;384;0.998;0.464;4.37e-06;0.00203;0.123;0.0732;1.89e+05;1.63e+05;2.12e+03;2.33;58.2;1.12;28;87.4;50.5;49.5;0;0;0;0;0;0;0;285;23.4;1.12;1.17;0.952;0.952;0.389;191;0.998;0.465;4.12e-06;0.00202; 46880;9;0;0.0211;0.0187;42;1.12;1.17;0.952;0.952;0.371;190;0.998;0.466;3.93e-06;0.00202; 42560;0;6;0.0185;0.0179;44;0.00123;1.26;0.00098;0.952;0.0324;2.58;0.987;0.0389;0.000311;0.0248; 21760;0;4;0.0624;0.0181;55;0.00438;0.269;0.0163;0.952;0.0356;0.105;0.662;0.145;9.62e-05;0.000285; 20720;0;1;0.0206;0.0186;52;26.2;6.58;1.75;  0%;  0%;  0%;6.07;0.969;26.1;  0%;  0%;  0%;6.09;6.56;1.72;  0%;  0%;  0%;1.89;1.16;2.35;  0%;  0%;  0%;100;0.00022;0;0;0;0;0;0;0;100;0.000189;0;0;0;0;0;0;0;0.103;99.9;0;0;0;0;0;0;0;1.71;98.3;0;0;0;0;0;0;0;93;90.8;50.3;51;6.18 ;5.47 ;6.61 ;5.17 ;
2017-11-12;07:24:22.781;0.56;1.16;0.482;0.952;0.829;384;0.998;0.464;4.37e-06;0.00203;0.123;0.0735;1.9e+05;1.63e+05;2.12e+03;2.32;58.1;1.12;28;87.9;50.6;49.4;0;0;0;0;0;0;0;286;23.4;1.12;1.17;0.952;0.952;0.387;191;0.998;0.465;4.1e-06;0.00202; 46800;12;0;0.0212;0.0188;42;1.12;1.17;0.952;0.952;0.372;190;0.998;0.466;3.94e-06;0.00202; 42720;0;9;0.0186;0.0179;44;0.00122;1.25;0.000981;0.952;0.034;2.57;0.987;0.039;0.000328;0.0248; 21760;0;2;0.0625;0.0182;55;0.00571;0.272;0.021;0.952;0.0353;0.187;0.811;0.191;7.3e-05;0.000386; 20960;0;0;0.0206;0.0187;52;26.2;6.6;1.78;  0%;  0%;  0%;6.1;1.02;26.1;  0%;  0%;  0%;6.14;6.61;1.77;  0%;  0%;  0%;2.08;1.2;2.35;  0%;  0%;  0%;100;0.000114;0;0;0;0;0;0;0;100;0.000147;0;0;0;0;0;0;0;0.103;99.9;0;0;0;0;0;0;0;2.21;97.8;0;0;0;0;0;0;0;93.1;91;50.2;51.2;6.2 ;5.39 ;6.63 ;5.19 ;
2017-11-12;07:24:23.788;0.559;1.17;0.478;0.952;0.821;384;0.998;0.464;4.33e-06;0.00203;0.122;0.0731;1.89e+05;1.62e+05;2.12e+03;2.34;58.5;1.12;28;86.7;50.2;49.8;0;0;0;0;0;0;0;285;23.4;1.12;1.17;0.952;0.952;0.384;191;0.998;0.465;4.07e-06;0.00202; 46960;12;1;0.0209;0.0186;43;1.12;1.17;0.952;0.952;0.371;191;0.998;0.466;3.93e-06;0.00202; 42880;0;8;0.0185;0.0179;44;0.00125;1.25;0.001;0.952;0.0333;2.63;0.987;0.0398;0.000314;0.0248; 21840;0;2;0.0624;0.0181;55;0.00133;0.276;0.00482;0.952;0.0319;0.12;0.734;0.142;0.000283;0.00107; 20880;0;1;0.0204;0.0186;52;26.2;6.54;1.49;  0%;  0%;  0%;6.13;0.893;26.1;  0%;  0%;  0%;6.19;6.56;1.68;  0%;  0%;  0%;1.9;1.06;2.01;  0%;  0%;  0%;100;0.00022;0;0;0;0;0;0;0;100;0.00016;0;0;0;0;0;0;0;0.105;99.9;0;0;0;0;0;0;0;0.506;99.5;0;0;0;0;0;0;0;93.2;91.1;50.3;50.2;6.19 ;5.43 ;6.59 ;5.2 ;
2017-11-12;07:24:24.796;0.56;1.17;0.481;0.952;0.803;384;0.998;0.464;4.24e-06;0.00203;0.121;0.0722;1.9e+05;1.63e+05;2.12e+03;2.33;58.3;1.12;28;84.6;50.5;49.5;0;0;0;0;0;0;0;286;23.4;1.12;1.17;0.952;0.952;0.382;191;0.998;0.465;4.04e-06;0.00202; 46960;7;4;0.0203;0.0183;42;1.12;1.17;0.952;0.952;0.367;191;0.998;0.466;3.88e-06;0.00202; 42880;0;7;0.0181;0.0176;44;0.00123;1.27;0.000972;0.952;0.0293;2.58;0.989;0.0391;0.000282;0.0248; 21760;0;4;0.0621;0.0179;54;0.00441;0.263;0.0168;0.952;0.0253;0.0904;0.721;0.166;6.77e-05;0.000242; 20960;0;2;0.02;0.0183;52;25.9;6.49;1.4;  0%;  0%;  0%;6.03;0.74;25.8;  0%;  0%;  0%;6.05;6.46;1.39;  0%;  0%;  0%;1.48;0.857;1.95;  0%;  0%;  0%;100;0.000122;0;0;0;0;0;0;0;100;0.000177;0;0;0;0;0;0;0;0.102;99.9;0;0;0;0;0;0;0;1.76;98.2;0;0;0;0;0;0;0;93.1;91;50.5;51;6.2 ;5.44 ;6.61 ;5.18 ;
2017-11-12;07:24:25.803;0.559;1.17;0.476;0.952;0.801;384;0.998;0.464;4.23e-06;0.00203;0.12;0.0722;1.89e+05;1.61e+05;2.12e+03;2.35;58.7;1.12;27.9;84.1;50;50;0;0;0;0;0;0;0;285;23.5;1.12;1.17;0.952;0.952;0.383;191;0.998;0.465;4.05e-06;0.00202; 47200;10;2;0.0203;0.0183;42;1.12;1.17;0.952;0.952;0.367;191;0.998;0.466;3.88e-06;0.00202; 42880;0;7;0.0181;0.0176;44;0.00123;1.28;0.000966;0.952;0.0277;2.59;0.989;0.0391;0.000265;0.0248; 21760;0;5;0.062;0.0179;54;9.48e-05;0.636;0.000149;0.952;0.0238;0.0879;0.73;0.163;0.00296;0.0109; 20800;1;0;0.0201;0.0184;52;26;6.5;1.37;  0%;  0%;  0%;5.99;0.709;25.9;  0%;  0%;  0%;6.04;6.51;1.25;  0%;  0%;  0%;1.22;0.774;1.85;  0%;  0%;  0%;100;0.000127;0;0;0;0;0;0;0;100;0.000128;0;0;0;0;0;0;0;0.101;99.9;0;0;0;0;0;0;0;0.0156;100;0;0;0;0;0;0;0;93.3;91.1;50.4;49.9;6.21 ;5.45 ;6.6 ;5.21 ;
