System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-12;07:16:45.912;0.437;1.19;0.366;0.667;2.5;369;0.993;0.459;1.43e-05;0.00211;0.259;0.159;1.75e+05;1.46e+05;2.14e+03;2.39;59.6;0.874;21.8;318;54.9;15.3;0.00156;29.7;0;0.0471;0;0;0;239;30.3;0.479;1.21;0.397;0.667;0.842;98.9;0.991;0.454;1.83e-05;0.00216; 49040;19;31;0.052;0.0373;49;0.752;1.17;0.643;0.667;0.812;150;0.995;0.467;1.09e-05;0.00202; 43760;8;35;0.0477;0.0422;50;0.532;1.21;0.438;0.667;0.762;118;0.994;0.454;1.4e-05;0.00218; 46240;8;28;0.0559;0.0414;53;0.000391;0.782;0.0005;0.667;0.0857;1.09;0.922;0.0508;0.00212;0.0271; 18800;0;0;0.104;0.038;55;22.7;21.1;17.6;  0%;  0%;  0%;55.9;20.7;26.3;  0%;  0%;  0%;48.3;49.5;12.1;  0%;  0%;  0%;12.6;13.8;17.6;  0%;  0%;  0%;59.5;9.51;0.00174;31;0;0;0;0;0;96.4;0.904;0.00315;2.64;0;0.19;0;0;0;65.7;8.06;0.00144;26.2;0;0;0;0;0;0.075;41.9;0;58;0;0;0;0;0;62.4;72.6;64.5;39;7.96 ;7.46 ;7.63 ;7.3 ;
2017-11-12;07:16:46.924;0.591;1.17;0.505;0.667;1.15;421;0.997;0.474;5.54e-06;0.00202;0.143;0.0743;2.08e+05;1.78e+05;2.57e+03;2.34;58.5;1.18;29.6;118;75.8;10.4;0;13.8;0;3.33;0;0;0;219;23.6;0.779;1.17;0.666;0.667;0.398;145;0.997;0.477;5.53e-06;0.00202; 49040;9;1;0.0221;0.0191;48;0.779;1.17;0.666;0.667;0.368;140;0.997;0.467;5.3e-06;0.00201; 43680;0;7;0.0187;0.0181;50;0.779;1.17;0.666;0.667;0.349;135;0.997;0.479;5.22e-06;0.00202; 46160;0;10;0.0187;0.0181;52;0.000706;0.907;0.000778;0.652;0.0386;1.48;0.974;0.0496;0.000643;0.0246; 18560;0;1;0.0833;0.019;55;13.1;12.8;7.45;  0%;  0%;  0%;12;6.56;12.9;  0%;  0%;  0%;12;12.7;6.45;  0%;  0%;  0%;6.78;6.87;8.13;  0%;  0%;  0%;99.8;0.164;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.8;0.164;0;0;0;0;0;0;0;0.119;42.7;0;57.1;0;13.8;0;0;0;62.6;60.9;63.3;32.6;6.26 ;5.66 ;5.84 ;5.84 ;
2017-11-12;07:16:47.923;0.585;1.17;0.499;0.667;1.09;396;0.997;0.467;5.57e-06;0.00202;0.144;0.0758;1.96e+05;1.68e+05;2.1e+03;2.34;58.5;1.17;29.2;117;74.9;25.1;0;0;0;0;0;0;0;222;23.2;0.779;1.17;0.666;0.667;0.362;132;0.997;0.468;5.54e-06;0.00201; 48880;10;0;0.0221;0.0189;48;0.779;1.17;0.666;0.667;0.351;132;0.997;0.466;5.37e-06;0.00201; 43600;0;11;0.0185;0.0179;49;0.779;1.17;0.666;0.667;0.343;132;0.997;0.468;5.23e-06;0.00201; 46160;0;9;0.0186;0.0179;52;0.000723;1.13;0.000639;0.667;0.0366;1.39;0.974;0.0909;0.000602;0.0229; 18640;0;0;0.0844;0.021;54;13.1;12.7;7.26;  0%;  0%;  0%;11.9;6.5;12.9;  0%;  0%;  0%;12;12.5;6.4;  0%;  0%;  0%;6.69;6.82;7.82;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;0.0959;99.9;0;0;0;0;0;0;0;61.9;60.1;62.6;37.3;6.17 ;5.52 ;5.73 ;5.8 ;
2017-11-12;07:16:48.935;0.585;1.17;0.499;0.667;1.11;401;0.997;0.465;5.59e-06;0.00202;0.146;0.0769;1.99e+05;1.7e+05;2.12e+03;2.34;58.5;1.17;29.2;119;74.9;25.1;0;0;0;0;0;0;0;225;23.5;0.779;1.17;0.666;0.667;0.367;133;0.997;0.466;5.54e-06;0.00201; 48800;9;5;0.0225;0.0193;48;0.78;1.17;0.666;0.667;0.354;133;0.997;0.466;5.35e-06;0.00201; 43760;0;6;0.0189;0.0182;49;0.78;1.17;0.666;0.667;0.349;133;0.997;0.466;5.28e-06;0.00201; 46320;0;12;0.0189;0.0182;52;0.000707;1.11;0.000635;0.667;0.0413;1.37;0.97;0.094;0.000687;0.0228; 18560;0;0;0.0855;0.0212;54;13.1;12.8;7.57;  0%;  0%;  0%;12.1;6.67;12.9;  0%;  0%;  0%;12.1;12.7;6.59;  0%;  0%;  0%;6.97;7.06;8.23;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;0.0953;99.9;0;0;0;0;0;0;0;62.7;60.9;63.4;37.8;6.23 ;5.62 ;5.8 ;5.85 ;
2017-11-12;07:16:49.946;0.585;1.17;0.499;0.667;1.09;400;0.997;0.465;5.48e-06;0.00202;0.144;0.0759;1.99e+05;1.7e+05;2.12e+03;2.34;58.6;1.17;29.2;117;74.9;25.1;0;0;0;0;0;0;0;225;23.5;0.779;1.17;0.666;0.667;0.362;133;0.997;0.466;5.47e-06;0.00201; 48720;11;0;0.0218;0.0188;48;0.78;1.17;0.666;0.667;0.35;133;0.997;0.466;5.28e-06;0.00201; 43680;1;12;0.0185;0.0179;49;0.78;1.17;0.666;0.667;0.343;133;0.997;0.466;5.18e-06;0.00201; 46240;0;10;0.0185;0.0179;52;0.000697;1.11;0.000627;0.667;0.0333;1.35;0.975;0.0946;0.000563;0.0228; 18880;0;2;0.0855;0.0212;54;13.1;12.7;7.28;  0%;  0%;  0%;12;6.47;12.8;  0%;  0%;  0%;12;12.7;6.35;  0%;  0%;  0%;6.59;6.73;7.83;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.161;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;0.094;99.9;0;0;0;0;0;0;0;62.7;60.9;63.4;37.8;6.27 ;5.64 ;5.76 ;5.85 ;
2017-11-12;07:16:50.957;0.585;1.17;0.499;0.667;1.09;401;0.997;0.465;5.49e-06;0.00202;0.144;0.0758;1.99e+05;1.7e+05;2.12e+03;2.34;58.5;1.17;29.2;116;74.9;24.5;0;0.561;0;0;0;0;0;225;23.2;0.779;1.17;0.666;0.667;0.361;133;0.997;0.466;5.45e-06;0.00201; 48960;9;1;0.0218;0.0188;48;0.779;1.17;0.666;0.667;0.35;133;0.997;0.466;5.29e-06;0.00201; 43520;1;4;0.0184;0.0179;49;0.78;1.17;0.666;0.667;0.344;133;0.997;0.466;5.2e-06;0.00201; 46320;0;11;0.0184;0.0179;52;0.000721;1.04;0.000692;0.667;0.0346;1.43;0.976;0.0628;0.000564;0.0234; 18720;0;0;0.0855;0.0212;54;13;12.7;7.26;  0%;  0%;  0%;12;6.47;12.8;  0%;  0%;  0%;12;12.6;6.37;  0%;  0%;  0%;6.64;6.74;7.82;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;99.8;0.164;0;0;0;0;0;0;0;0.104;97.7;0;2.25;0;0;0;0;0;62.7;60.9;63.4;37.8;6.22 ;5.54 ;5.72 ;5.76 ;
2017-11-12;07:16:51.968;0.585;1.17;0.499;0.667;1.09;401;0.997;0.465;5.47e-06;0.00202;0.144;0.0757;1.99e+05;1.7e+05;2.12e+03;2.34;58.6;1.17;29.2;116;74.9;25.1;0;0;0;0;0;0;0;225;23.1;0.779;1.17;0.666;0.667;0.361;133;0.997;0.466;5.45e-06;0.00201; 48640;11;1;0.0217;0.0188;48;0.78;1.17;0.666;0.667;0.351;133;0.997;0.466;5.3e-06;0.00201; 43600;0;11;0.0184;0.0178;49;0.779;1.17;0.666;0.667;0.344;133;0.997;0.466;5.2e-06;0.00201; 46080;0;10;0.0185;0.0179;52;0.000713;1.2;0.000593;0.667;0.0311;1.38;0.977;0.0936;0.000513;0.0227; 18880;0;0;0.0856;0.0211;54;13;12.7;7.13;  0%;  0%;  0%;12.1;6.4;12.9;  0%;  0%;  0%;12.1;12.6;6.33;  0%;  0%;  0%;6.58;6.66;7.69;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.164;0;0;0;0;0;0;0;0.089;99.9;0;0;0;0;0;0;0;62.7;60.9;63.4;37.8;6.2 ;5.5 ;5.68 ;5.73 ;
2017-11-12;07:16:52.979;0.585;1.17;0.499;0.667;1.12;400;0.997;0.465;5.64e-06;0.00201;0.146;0.0771;1.99e+05;1.7e+05;2.12e+03;2.34;58.5;1.17;29.2;120;74.9;25.1;0;0;0;0;0;0;0;225;23.2;0.779;1.17;0.666;0.667;0.368;133;0.997;0.466;5.55e-06;0.00201; 48880;9;0;0.0226;0.0193;48;0.779;1.17;0.666;0.667;0.356;133;0.997;0.466;5.38e-06;0.00201; 43600;0;6;0.019;0.0183;49;0.779;1.17;0.666;0.667;0.35;133;0.997;0.466;5.28e-06;0.00201; 46240;0;8;0.019;0.0183;52;0.000894;1.27;0.000705;0.667;0.0468;1.28;0.963;0.106;0.000616;0.0168; 18720;0;1;0.0855;0.0212;54;13.1;12.8;7.63;  0%;  0%;  0%;12.1;6.78;13;  0%;  0%;  0%;12.2;12.7;6.67;  0%;  0%;  0%;7.07;7.19;8.32;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;0.106;99.9;0;0;0;0;0;0;0;62.7;61;63.5;37.8;6.22 ;5.51 ;5.69 ;5.76 ;
2017-11-12;07:16:53.990;0.585;1.17;0.499;0.667;1.1;400;0.997;0.465;5.55e-06;0.00202;0.145;0.0765;1.99e+05;1.7e+05;2.12e+03;2.34;58.6;1.17;29.2;118;74.9;24.5;0;0.559;0;0;0;0;0;225;23.1;0.779;1.17;0.666;0.667;0.365;133;0.997;0.466;5.51e-06;0.00201; 48720;11;1;0.0221;0.0191;48;0.78;1.17;0.666;0.667;0.352;133;0.997;0.466;5.32e-06;0.00201; 43600;0;5;0.0188;0.0181;49;0.779;1.17;0.666;0.667;0.346;133;0.997;0.466;5.22e-06;0.00201; 46160;0;6;0.0188;0.0181;52;0.000669;0.942;0.00071;0.667;0.0393;1.37;0.971;0.0635;0.000693;0.0241; 18960;1;0;0.0854;0.0212;54;13;12.7;7.43;  0%;  0%;  0%;12;6.63;12.9;  0%;  0%;  0%;12;12.6;6.52;  0%;  0%;  0%;6.87;6.99;8.12;  0%;  0%;  0%;99.8;0.162;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.164;0;0;0;0;0;0;0;0.106;97.7;0;2.24;0;0;0;0;0;62.8;61;63.5;37.8;6.14 ;5.57 ;5.73 ;5.69 ;
2017-11-12;07:16:54.002;0.585;1.17;0.499;0.667;1.1;400;0.997;0.465;5.54e-06;0.00202;0.145;0.0765;1.99e+05;1.7e+05;2.12e+03;2.34;58.5;1.17;29.2;118;74.9;25.1;0;0;0;0;0;0;0;225;23.1;0.779;1.17;0.666;0.667;0.365;133;0.997;0.466;5.52e-06;0.00201; 48720;11;3;0.0221;0.019;47;0.779;1.17;0.666;0.667;0.352;133;0.997;0.466;5.32e-06;0.00201; 43680;0;12;0.0187;0.0181;49;0.779;1.17;0.666;0.667;0.347;133;0.997;0.466;5.24e-06;0.00201; 46160;0;15;0.0187;0.018;51;0.000699;1.15;0.00061;0.667;0.0371;1.35;0.973;0.0962;0.000625;0.0228; 18720;0;0;0.0857;0.0213;54;13.1;12.8;7.41;  0%;  0%;  0%;12.1;6.58;12.9;  0%;  0%;  0%;12.1;12.7;6.53;  0%;  0%;  0%;6.82;6.92;8.07;  0%;  0%;  0%;99.8;0.163;0;0;0;0;0;0;0;99.8;0.162;0;0;0;0;0;0;0;99.8;0.163;0;0;0;0;0;0;0;0.0915;99.9;0;0;0;0;0;0;0;62.7;61;63.4;37.8;6.15 ;5.53 ;5.68 ;5.72 ;
