System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;10:13:27.370;1.26;1.22;1.04;1.24;5.41;962;0.994;0.433;1.26e-05;0.00225;0.447;0.237;4.28e+05;3.52e+05;2.12e+03;2.43;60.9;2.53;63.2;635;83.9;9.55;0.155;6.38;0;0.328;0;0;0;558;41.4;0.92;1.46;0.631;1.24;1.42;214;0.993;0.364;1.83e-05;0.00274; 47840;38;37;0.241;0.0642;45;1.36;1.18;1.16;1.24;1.34;250;0.995;0.446;1.16e-05;0.00217; 27600;6;61;0.0614;0.0559;47;1.39;1.17;1.18;1.24;1.32;254;0.995;0.446;1.13e-05;0.00217; 29760;11;25;0.0846;0.0578;48;1.39;1.17;1.19;1.24;1.32;243;0.995;0.458;1.13e-05;0.00207; 31440;8;35;0.0599;0.0593;48;48.7;57.3;49;  0%;  0%;  0%;36;35;70.9;  0%;  0%;  0%;61;50.8;61.9;  0%;  0%;  0%;69.3;43.1;52.3;  0%;  0%;  0%;51;29.6;0;19.4;0;0.776;0;0;0;93.6;3.24;0.166;2.96;0;0.509;0;0;0;95.3;3.2;0.00573;1.49;0;0.0258;0;0;0;95.8;2.13;0.446;1.64;0;0;0;0;0;119;144;150;145;10.4 ;10.3 ;10.5 ;10.1 ;
2017-11-10;10:13:28.377;1.43;1.17;1.23;1.24;3.66;1e+03;0.996;0.458;7.53e-06;0.00207;0.331;0.111;4.86e+05;4.16e+05;2.12e+03;2.34;58.4;2.87;71.7;367;99.2;0.7;0;0.111;0;0;0;0;0;599;41.1;1.42;1.18;1.2;1.24;1.03;250;0.996;0.456;8.59e-06;0.00209; 47920;17;13;0.23;0.0511;42;1.44;1.16;1.24;1.24;0.89;251;0.996;0.458;7.3e-06;0.00206; 27600;0;34;0.0264;0.0196;45;1.44;1.16;1.23;1.24;0.879;251;0.996;0.459;7.23e-06;0.00206; 30080;0;14;0.0414;0.0201;46;1.44;1.17;1.24;1.24;0.858;252;0.997;0.459;7.03e-06;0.00206; 31840;1;12;0.0324;0.0203;46;39.8;39.5;39.5;  0%;  0%;  0%;19.2;19.1;40.2;  0%;  0%;  0%;22.9;43;22.7;  0%;  0%;  0%;20.4;20.7;40.4;  0%;  0%;  0%;97.1;2.47;0;0.444;0;0;0;0;0;100;0.000152;0;0;0;0;0;0;0;99.7;0.299;0;0;0;0;0;0;0;100;0.0297;0;0;0;0;0;0;0;148;150;152;149;10.3 ;10.2 ;10.5 ;10 ;
2017-11-10;10:13:29.377;1.43;1.16;1.23;1.24;3.37;990;0.997;0.458;7.03e-06;0.00206;0.311;0.101;4.8e+05;4.14e+05;2.1e+03;2.32;58;2.86;71.4;343;99.7;0.297;0;0;0;0;0;0;0;583;40.9;1.44;1.16;1.24;1.24;0.865;249;0.997;0.458;7.16e-06;0.00206; 48160;11;0;0.223;0.0484;41;1.43;1.16;1.24;1.24;0.847;248;0.997;0.458;7.04e-06;0.00206; 27680;0;29;0.0226;0.0172;44;1.41;1.16;1.22;1.23;0.839;244;0.997;0.457;7.1e-06;0.00207; 30240;0;6;0.0376;0.0177;46;1.44;1.16;1.24;1.24;0.822;249;0.997;0.458;6.81e-06;0.00206; 31920;0;9;0.0282;0.0179;46;37.1;36.7;36.8;  0%;  0%;  0%;18.1;18;36.8;  0%;  0%;  0%;21.6;39.9;21.4;  0%;  0%;  0%;19;19.3;37.7;  0%;  0%;  0%;100;0.0154;0;0;0;0;0;0;0;99.8;0.195;0;0;0;0;0;0;0;99.1;0.878;0;0;0;0;0;0;0;99.9;0.0991;0;0;0;0;0;0;0;148;145;144;146;10.4 ;10.2 ;10.4 ;9.98 ;
2017-11-10;10:13:30.384;1.41;1.15;1.22;1.23;3.49;983;0.996;0.458;7.34e-06;0.00206;0.322;0.106;4.76e+05;4.14e+05;2.12e+03;2.3;57.5;2.81;70.3;353;99.2;0.83;0;0;0;0;0;0;0;564;41.1;1.41;1.15;1.23;1.24;0.975;247;0.996;0.459;8.15e-06;0.00207; 48240;13;7;0.227;0.0499;42;1.41;1.15;1.23;1.24;0.85;247;0.997;0.458;7.11e-06;0.00206; 27760;0;36;0.0247;0.0182;44;1.39;1.15;1.21;1.22;0.844;243;0.997;0.458;7.18e-06;0.00206; 29920;1;10;0.0396;0.0188;45;1.41;1.15;1.23;1.24;0.826;247;0.997;0.458;6.9e-06;0.00206; 31760;0;11;0.0306;0.0191;46;38.1;37.9;38;  0%;  0%;  0%;18.4;18.3;38.6;  0%;  0%;  0%;21.8;41.7;21.8;  0%;  0%;  0%;19.3;19.6;39.3;  0%;  0%;  0%;99.2;0.771;0;0;0;0;0;0;0;99.2;0.765;0;0;0;0;0;0;0;99;1.02;0;0;0;0;0;0;0;99.2;0.759;0;0;0;0;0;0;0;141;141;141;141;10.4 ;10.3 ;10.4 ;10 ;
2017-11-10;10:13:31.392;1.41;1.15;1.22;1.23;3.44;982;0.996;0.458;7.24e-06;0.00206;0.318;0.104;4.76e+05;4.14e+05;2.12e+03;2.3;57.4;2.81;70.3;348;99.1;0.851;0;0;0;0;0;0;0;564;41.2;1.41;1.15;1.23;1.24;0.954;247;0.996;0.459;7.99e-06;0.00206; 48720;13;6;0.226;0.0493;41;1.41;1.15;1.23;1.24;0.837;246;0.997;0.458;7.01e-06;0.00206; 27680;0;30;0.024;0.0178;43;1.39;1.15;1.21;1.22;0.837;242;0.997;0.458;7.13e-06;0.00206; 30080;3;11;0.0389;0.0184;45;1.41;1.15;1.23;1.24;0.817;247;0.997;0.457;6.83e-06;0.00207; 31760;1;8;0.0298;0.0185;45;37.4;37.4;37.3;  0%;  0%;  0%;18.1;17.9;38;  0%;  0%;  0%;21.5;41.3;21.5;  0%;  0%;  0%;19.2;19.2;38.7;  0%;  0%;  0%;99.2;0.776;0;0;0;0;0;0;0;99.2;0.799;0;0;0;0;0;0;0;98.9;1.06;0;0;0;0;0;0;0;99.2;0.768;0;0;0;0;0;0;0;141;141;141;141;10.4 ;10.3 ;10.5 ;10 ;
2017-11-10;10:13:32.400;1.41;1.15;1.22;1.23;3.38;983;0.997;0.458;7.1e-06;0.00206;0.314;0.103;4.76e+05;4.14e+05;2.12e+03;2.3;57.5;2.81;70.3;344;99.2;0.811;0;0;0;0;0;0;0;564;41.3;1.41;1.15;1.23;1.24;0.867;247;0.996;0.458;7.25e-06;0.00206; 48080;13;0;0.224;0.0487;41;1.41;1.15;1.23;1.24;0.847;247;0.997;0.458;7.08e-06;0.00206; 27760;0;31;0.0232;0.0175;43;1.39;1.15;1.21;1.22;0.838;242;0.997;0.458;7.15e-06;0.00207; 30320;0;8;0.0382;0.0182;44;1.41;1.15;1.23;1.24;0.829;247;0.997;0.458;6.93e-06;0.00207; 32240;0;9;0.0292;0.0187;45;37.5;37.1;37.3;  0%;  0%;  0%;18.1;18;36.9;  0%;  0%;  0%;21.5;40.1;21.6;  0%;  0%;  0%;19.1;19.4;37.8;  0%;  0%;  0%;99.3;0.739;0;0;0;0;0;0;0;99.3;0.748;0;0;0;0;0;0;0;99;1.03;0;0;0;0;0;0;0;99.3;0.723;0;0;0;0;0;0;0;141;141;141;141;10.4 ;10.3 ;10.5 ;10.1 ;
2017-11-10;10:13:33.407;1.41;1.15;1.22;1.23;3.45;982;0.996;0.458;7.26e-06;0.00206;0.319;0.104;4.76e+05;4.14e+05;2.12e+03;2.3;57.5;2.81;70.3;349;99.2;0.838;0;0;0;0;0;0;0;564;41.2;1.41;1.15;1.23;1.24;0.954;247;0.996;0.459;7.99e-06;0.00206; 48320;12;12;0.226;0.0492;40;1.41;1.15;1.23;1.24;0.845;247;0.997;0.458;7.07e-06;0.00206; 27920;1;34;0.0242;0.0179;42;1.38;1.15;1.21;1.22;0.835;242;0.997;0.458;7.13e-06;0.00206; 30000;0;12;0.0392;0.0185;44;1.41;1.15;1.23;1.24;0.82;247;0.997;0.458;6.86e-06;0.00207; 32160;0;10;0.0302;0.0187;44;37.8;37.3;37.6;  0%;  0%;  0%;18;18.1;38.2;  0%;  0%;  0%;21.5;41.1;21.6;  0%;  0%;  0%;19.2;19.5;38.9;  0%;  0%;  0%;99.2;0.76;0;0;0;0;0;0;0;99.2;0.781;0;0;0;0;0;0;0;98.9;1.07;0;0;0;0;0;0;0;99.3;0.742;0;0;0;0;0;0;0;141;141;141;141;10.3 ;10.3 ;10.5 ;10.1 ;
2017-11-10;10:13:34.416;1.41;1.15;1.22;1.23;3.33;983;0.997;0.458;6.98e-06;0.00206;0.31;0.101;4.76e+05;4.14e+05;2.12e+03;2.3;57.5;2.81;70.3;339;99.2;0.779;0;0;0;0;0;0;0;564;41.3;1.41;1.15;1.23;1.24;0.852;247;0.997;0.458;7.11e-06;0.00206; 47760;10;0;0.222;0.0482;40;1.41;1.15;1.23;1.24;0.833;247;0.997;0.458;6.96e-06;0.00206; 28160;0;32;0.0227;0.0173;41;1.39;1.15;1.21;1.22;0.83;242;0.997;0.458;7.07e-06;0.00206; 30560;0;8;0.0376;0.0178;43;1.42;1.15;1.23;1.24;0.811;247;0.997;0.457;6.77e-06;0.00207; 32560;1;10;0.0283;0.0179;44;36.6;36.4;36.5;  0%;  0%;  0%;17.9;17.7;36.3;  0%;  0%;  0%;21.3;39.7;21.2;  0%;  0%;  0%;18.8;19;37.3;  0%;  0%;  0%;99.3;0.689;0;0;0;0;0;0;0;99.2;0.768;0;0;0;0;0;0;0;99;1.03;0;0;0;0;0;0;0;99.4;0.631;0;0;0;0;0;0;0;141;141;141;141;10.4 ;10.3 ;10.5 ;10 ;
2017-11-10;10:13:35.423;1.41;1.15;1.22;1.23;3.46;984;0.996;0.458;7.26e-06;0.00206;0.32;0.104;4.77e+05;4.14e+05;2.12e+03;2.3;57.5;2.81;70.4;349;99.3;0.743;0;0;0;0;0;0;0;564;41.2;1.41;1.15;1.23;1.24;0.955;247;0.996;0.459;7.97e-06;0.00206; 48160;8;11;0.226;0.0493;39;1.41;1.15;1.23;1.24;0.848;247;0.997;0.458;7.09e-06;0.00206; 27920;0;31;0.0242;0.0178;40;1.38;1.15;1.2;1.22;0.837;242;0.997;0.458;7.14e-06;0.00207; 30240;0;11;0.0392;0.0185;43;1.42;1.15;1.23;1.24;0.821;248;0.997;0.458;6.84e-06;0.00207; 32480;0;9;0.0301;0.0187;43;37.8;37.4;37.5;  0%;  0%;  0%;18.2;18.1;38.3;  0%;  0%;  0%;21.6;41.3;21.6;  0%;  0%;  0%;19.1;19.6;38.8;  0%;  0%;  0%;99.4;0.626;0;0;0;0;0;0;0;99.2;0.77;0;0;0;0;0;0;0;99;1.05;0;0;0;0;0;0;0;99.5;0.53;0;0;0;0;0;0;0;141;141;141;141;10.4 ;10.3 ;10.5 ;10.1 ;
2017-11-10;10:13:36.431;1.41;1.15;1.23;1.23;3.45;986;0.997;0.458;7.22e-06;0.00206;0.319;0.104;4.78e+05;4.15e+05;2.12e+03;2.3;57.6;2.82;70.6;348;99.4;0.607;0;0;0;0;0;0;0;564;41.1;1.42;1.15;1.23;1.24;0.948;248;0.996;0.459;7.89e-06;0.00206; 48800;16;6;0.226;0.0492;39;1.42;1.15;1.23;1.24;0.846;247;0.997;0.458;7.05e-06;0.00206; 27920;0;34;0.0239;0.0177;40;1.39;1.15;1.2;1.22;0.836;242;0.997;0.458;7.12e-06;0.00206; 30560;3;12;0.0389;0.0183;43;1.42;1.15;1.24;1.24;0.818;249;0.997;0.457;6.8e-06;0.00207; 32240;0;11;0.03;0.0185;43;37.6;37.1;37.4;  0%;  0%;  0%;18.2;18.1;38;  0%;  0%;  0%;21.6;41;21.5;  0%;  0%;  0%;19.1;19.4;38.6;  0%;  0%;  0%;99.5;0.494;0;0;0;0;0;0;0;99.3;0.711;0;0;0;0;0;0;0;99;1.05;0;0;0;0;0;0;0;99.8;0.176;0;0;0;0;0;0;0;141;141;141;141;10.3 ;10.3 ;10.4 ;10.1 ;
