System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;10:31:24.022;0.000106;0.357;0.000297;0.792;0.0623;0.406;0.846;0.173;0.00173;0.0113;0.0503;0.0466;36;101;2.12e+03;0.713;17.8;0.000212;0.0053;6.82;0.0375;21.3;0.000795;78.7;0;34.2;0;0;0;120;21.9;0.000237;0.343;0.000689;0.802;0.0314;0.166;0.811;0.257;0.00156;0.00827; 28560;0;1;0.0189;0.0172;51;6.09e-05;0.35;0.000174;0.764;0.0115;0.0834;0.862;0.0927;0.00223;0.0161;  3200;0;0;0.00898;0.00874;53;6.44e-05;0.401;0.000161;0.763;0.0093;0.0778;0.881;0.0989;0.0017;0.0142; 13520;0;0;0.00252;0.0024;54;6.18e-05;0.376;0.000164;0.81;0.0101;0.0787;0.872;0.119;0.00192;0.015; 18160;0;0;0.0199;0.0182;53;0.646;0.5;0.97;  0%;  0%;  0%;0.212;0.468;0.552;  0%;  0%;  0%;0.098;0.469;0.512;  0%;  0%;  0%;0.328;0.331;1.73;  0%;  0%;  0%;0.0859;27.3;0.00318;72.7;0;0;0;0;0;0.0228;16;0;84;0;49.8;0;0;0;0.0211;12.2;0;87.7;0;87;0;0;0;0.0203;29.7;0;70.3;0;0;0;0;0;30.8;28.7;29.4;30.9;6.92 ;5.06 ;4.86 ;5.07 ;
2017-08-18;10:31:25.033;0.000109;0.341;0.000318;0.804;0.0516;0.409;0.874;0.16;0.0014;0.0111;0.0583;0.0547;36.9;108;2.12e+03;0.682;17;0.000217;0.00543;5.91;0.0396;22.7;0.00236;77.2;0;21.5;0;0;0;120;22.4;0.00024;0.335;0.000717;0.81;0.0248;0.165;0.85;0.242;0.00121;0.00807; 28640;0;0;0.0188;0.0172;51;6.09e-05;0.335;0.000182;0.81;0.00853;0.0829;0.897;0.0859;0.00165;0.016;  3200;0;0;0.0173;0.0171;53;6.37e-05;0.347;0.000184;0.81;0.00815;0.078;0.895;0.085;0.00151;0.0144; 13520;0;0;0.0172;0.0171;54;6.9e-05;0.362;0.00019;0.772;0.0102;0.083;0.877;0.109;0.00174;0.0142; 18160;0;1;0.00493;0.00328;53;0.581;0.475;0.901;  0%;  0%;  0%;0.171;0.383;0.48;  0%;  0%;  0%;0.0786;0.431;0.505;  0%;  0%;  0%;0.307;0.296;1.3;  0%;  0%;  0%;0.0885;29;0.00942;70.9;0;0;0;0;0;0.0224;27.5;0;72.5;0;0;0;0;0;0.0227;21.1;0;78.8;0;0;0;0;0;0.0247;13.3;0;86.7;0;85.9;0;0;0;30.9;29.7;30;28.9;6.99 ;5.5 ;5.51 ;4.43 ;
2017-08-18;10:31:26.030;0.00114;0.264;0.0043;0.81;0.0607;0.4;0.848;0.169;0.000159;0.00105;0.0732;0.069;381;1.44e+03;2.1e+03;0.528;13.2;0.00227;0.0568;7.82;0.532;92.7;0.00691;6.78;0;0;0;0;0;159;22.7;0.000206;0.42;0.00049;0.81;0.0321;0.183;0.824;0.216;0.00186;0.0106; 28720;0;0;0.0186;0.017;51;5.88e-05;0.445;0.000132;0.81;0.01;0.0732;0.863;0.12;0.00204;0.0148;  3280;0;0;0.0175;0.0171;53;0.00421;0.256;0.0165;0.81;0.00852;0.071;0.88;0.118;2.41e-05;0.000201; 13520;0;1;0.0174;0.0171;54;7.5e-05;0.516;0.000145;0.81;0.00997;0.0735;0.864;0.138;0.00159;0.0117; 18080;0;0;0.0197;0.0179;52;0.842;0.668;1.1;  0%;  0%;  0%;0.27;0.487;0.71;  0%;  0%;  0%;0.145;0.643;0.579;  0%;  0%;  0%;0.372;0.395;1.6;  0%;  0%;  0%;0.0606;72.8;0.0276;27.1;0;0;0;0;0;0.0163;100;0;0;0;0;0;0;0;2.03;98;0;0;0;0;0;0;0;0.018;100;0;0;0;0;0;0;0;37.3;39.2;42;40.5;6.84 ;5.42 ;5.47 ;5.02 ;
2017-08-18;10:31:27.040;0.000106;0.401;0.000265;0.81;0.0682;0.404;0.831;0.191;0.0019;0.0112;0.0742;0.0698;36;89.8;2.12e+03;0.802;20;0.000212;0.00531;7.78;0.0327;87.2;0.00566;12.7;0;0;0;0;0;147;22.9;0.000219;0.363;0.000603;0.81;0.0328;0.19;0.828;0.221;0.00177;0.0103; 28800;0;0;0.0188;0.0172;51;6.46e-05;0.433;0.000149;0.81;0.0122;0.0734;0.833;0.157;0.00223;0.0134;  3280;0;0;0.0177;0.0173;52;7.04e-05;0.448;0.000157;0.81;0.0111;0.069;0.839;0.158;0.00187;0.0116; 13520;0;0;0.0176;0.0173;54;7.09e-05;0.472;0.00015;0.81;0.0121;0.0717;0.832;0.171;0.00201;0.0119; 18080;0;1;0.02;0.0181;52;0.852;0.688;1.13;  0%;  0%;  0%;0.267;0.456;0.72;  0%;  0%;  0%;0.129;0.66;0.563;  0%;  0%;  0%;0.377;0.363;1.58;  0%;  0%;  0%;0.0745;61.8;0.0226;38.1;0;0;0;0;0;0.0184;91.4;0;8.6;0;0;0;0;0;0.0194;95.7;0;4.24;0;0;0;0;0;0.0186;100;0;0;0;0;0;0;0;34.2;36.3;37.9;38.3;6.93 ;5.49 ;5.48 ;5.04 ;
2017-08-18;10:31:28.050;0.000164;0.6;0.000273;0.81;0.0639;0.458;0.86;0.197;0.00115;0.00823;0.0732;0.0695;55.6;92.6;2.12e+03;1.2;30;0.000328;0.00819;6.71;0.0337;87.2;0.00748;12.8;0;0;0;0;0;146;23;0.000198;0.346;0.000571;0.81;0.0266;0.16;0.834;0.238;0.00158;0.00953; 28720;0;0;0.019;0.0173;51;5.92e-05;0.463;0.000128;0.81;0.0128;0.0727;0.824;0.143;0.00255;0.0145;  3280;0;0;0.0174;0.0172;53;6.28e-05;0.508;0.000124;0.81;0.0108;0.0687;0.843;0.145;0.00203;0.0129; 13520;0;0;0.0173;0.0171;54;0.000336;1.25;0.00027;0.81;0.0138;0.156;0.912;0.197;0.000485;0.00549; 18240;1;0;0.0196;0.0179;52;0.695;0.494;1.01;  0%;  0%;  0%;0.216;0.477;0.568;  0%;  0%;  0%;0.0924;0.467;0.549;  0%;  0%;  0%;0.366;0.384;1.39;  0%;  0%;  0%;0.0705;57.8;0.0299;42.1;0;0;0;0;0;0.0158;95;0;4.99;0;0;0;0;0;0.0153;95.9;0;4.06;0;0;0;0;0;0.0333;100;0;0;0;0;0;0;0;33.8;36.3;38;38.2;6.94 ;5.5 ;5.48 ;5.05 ;
2017-08-18;10:31:29.059;9.69e-05;0.391;0.000248;0.81;0.0533;0.369;0.855;0.201;0.00162;0.0112;0.0729;0.0691;32.9;84.2;2.12e+03;0.781;19.5;0.000194;0.00485;6.2;0.0307;84.8;0.00805;15.2;0;0;0;0;0;146;23;0.000197;0.322;0.000611;0.81;0.0262;0.162;0.838;0.239;0.00157;0.00969; 28720;0;1;0.0188;0.0172;51;5.8e-05;0.489;0.000119;0.81;0.009;0.0689;0.869;0.164;0.00183;0.014;  3280;0;0;0.0172;0.0171;53;6.48e-05;0.477;0.000136;0.81;0.00861;0.0681;0.874;0.163;0.00157;0.0124; 13520;0;0;0.0172;0.0171;53;6.84e-05;0.537;0.000127;0.81;0.0095;0.0704;0.865;0.176;0.00164;0.0121; 18240;0;0;0.0197;0.0179;52;0.613;0.491;0.918;  0%;  0%;  0%;0.176;0.423;0.514;  0%;  0%;  0%;0.077;0.456;0.508;  0%;  0%;  0%;0.313;0.303;1.41;  0%;  0%;  0%;0.0754;53.7;0.0322;46.2;0;0;0;0;0;0.0146;96.4;0;3.55;0;0;0;0;0;0.0168;91.5;0;8.46;0;0;0;0;0;0.0157;97.5;0;2.47;0;0;0;0;0;33.3;36.9;37.7;37.9;6.95 ;5.44 ;5.53 ;5.07 ;
2017-08-18;10:31:30.068;9.56e-05;0.403;0.000237;0.81;0.0502;0.362;0.861;0.202;0.00155;0.0112;0.0727;0.0691;32.4;80.4;2.12e+03;0.806;20.2;0.000191;0.00478;5.88;0.0293;86.4;0.0102;13.6;0;0;0;0;0;146;23;0.000191;0.323;0.000591;0.81;0.0242;0.157;0.846;0.238;0.0015;0.00973; 28720;0;0;0.0188;0.0172;51;5.87e-05;0.52;0.000113;0.81;0.00865;0.0674;0.872;0.175;0.00174;0.0135;  3280;0;0;0.0172;0.0171;52;6.47e-05;0.554;0.000117;0.81;0.00835;0.0668;0.875;0.164;0.00152;0.0122; 13520;0;0;0.0172;0.017;54;6.82e-05;0.533;0.000128;0.81;0.00893;0.0704;0.873;0.175;0.00154;0.0122; 18240;1;0;0.0195;0.0178;52;0.604;0.473;0.86;  0%;  0%;  0%;0.17;0.391;0.498;  0%;  0%;  0%;0.068;0.444;0.498;  0%;  0%;  0%;0.303;0.28;1.29;  0%;  0%;  0%;0.073;53;0.0408;46.9;0;0;0;0;0;0.0139;100;0;0;0;0;0;0;0;0.0144;95.8;0;4.16;0;0;0;0;0;0.0158;96.7;0;3.24;0;0;0;0;0;33.1;37.4;37.8;37.8;6.93 ;5.46 ;5.5 ;5.07 ;
2017-08-18;10:31:31.078;0.000101;0.372;0.000271;0.81;0.0539;0.38;0.858;0.199;0.00157;0.0111;0.0729;0.0691;34.3;92;2.12e+03;0.745;18.6;0.000202;0.00505;6.23;0.0335;81.1;0.0138;18.8;0;0;0;0;0;144;23;0.000198;0.296;0.000669;0.81;0.0256;0.169;0.848;0.224;0.00153;0.0101; 28800;0;0;0.0188;0.0171;51;6.3e-05;0.485;0.00013;0.81;0.00935;0.0699;0.866;0.178;0.00175;0.0131;  3360;0;0;0.0173;0.0171;53;6.36e-05;0.445;0.000143;0.81;0.00893;0.0692;0.871;0.173;0.00166;0.0128; 13520;0;0;0.0172;0.0171;54;7.95e-05;0.555;0.000143;0.81;0.00995;0.0719;0.862;0.18;0.00148;0.0107; 18240;1;0;0.0196;0.0178;52;0.646;0.506;0.905;  0%;  0%;  0%;0.196;0.417;0.521;  0%;  0%;  0%;0.0806;0.474;0.514;  0%;  0%;  0%;0.331;0.308;1.34;  0%;  0%;  0%;0.0826;45.5;0.0553;54.4;0;0;0;0;0;0.016;92.5;0;7.53;0;0;0;0;0;0.0176;91.6;0;8.41;0;0;0;0;0;0.0177;94.9;0;5.05;0;0;0;0;0;32.5;36.4;37.7;37.7;6.94 ;5.47 ;5.5 ;5.07 ;
2017-08-18;10:31:32.088;9.48e-05;0.378;0.000251;0.81;0.0519;0.377;0.862;0.186;0.00161;0.0117;0.0728;0.0691;32.2;85.2;2.12e+03;0.755;18.9;0.00019;0.00474;5.92;0.031;83.4;0.017;16.6;0;0;0;0;0;145;23;0.000191;0.299;0.000639;0.81;0.0253;0.172;0.853;0.21;0.00156;0.0106; 28800;0;0;0.0188;0.0172;51;5.8e-05;0.488;0.000119;0.81;0.0088;0.0674;0.869;0.164;0.00179;0.0137;  3360;0;0;0.0172;0.0171;52;5.91e-05;0.504;0.000117;0.81;0.00861;0.0681;0.874;0.162;0.00172;0.0136; 13520;0;0;0.0172;0.017;54;7.11e-05;0.549;0.00013;0.81;0.00927;0.0702;0.868;0.169;0.00154;0.0116; 18240;0;0;0.0196;0.0178;52;0.609;0.483;0.882;  0%;  0%;  0%;0.169;0.377;0.509;  0%;  0%;  0%;0.0713;0.456;0.49;  0%;  0%;  0%;0.303;0.293;1.28;  0%;  0%;  0%;0.0789;45.7;0.0678;54.1;0;0;0;0;0;0.0147;94.3;0;5.68;0;0;0;0;0;0.0145;96.7;0;3.28;0;0;0;0;0;0.016;96.7;0;3.26;0;0;0;0;0;32.4;36.4;38.2;38;6.95 ;5.49 ;5.52 ;5.05 ;
2017-08-18;10:31:33.097;0.000107;0.397;0.000269;0.81;0.0608;0.454;0.866;0.168;0.00168;0.0125;0.0741;0.0697;36.2;91.1;2.12e+03;0.794;19.9;0.000213;0.00534;7.7;0.0332;82.6;0.015;17.3;0;0;0;0;0;145;23;0.000243;0.354;0.000686;0.81;0.0325;0.246;0.868;0.172;0.00158;0.0119; 28880;0;0;0.0188;0.0171;51;5.8e-05;0.492;0.000118;0.81;0.0092;0.0688;0.866;0.162;0.00187;0.014;  3360;0;0;0.0177;0.0173;52;5.6e-05;0.415;0.000135;0.81;0.00872;0.0685;0.873;0.156;0.00184;0.0144; 13520;0;0;0.0176;0.0172;54;7e-05;0.515;0.000136;0.81;0.0104;0.0713;0.854;0.173;0.00175;0.012; 18160;0;0;0.02;0.0181;52;0.839;0.689;1.11;  0%;  0%;  0%;0.231;0.457;0.729;  0%;  0%;  0%;0.117;0.664;0.553;  0%;  0%;  0%;0.367;0.35;1.59;  0%;  0%;  0%;0.0847;56.7;0.0602;43.2;0;0;0;0;0;0.0146;94.4;0;5.55;0;0;0;0;0;0.0167;86.9;0;13.1;0;0;0;0;0;0.0168;92.5;0;7.45;0;0;0;0;0;33.8;36.5;36.8;37.6;6.96 ;5.47 ;5.51 ;5.04 ;
