System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;10:19:08.153;0.000182;0.506;0.00036;1.2;0.0896;0.535;0.833;0.173;0.00145;0.00869;0.0386;0.034;61.6;122;2.11e+03;1.01;25.3;0.000364;0.0091;10.4;0.0299;16.6;0.00276;83.4;0;55;0;0;0;217;23.8;0.000271;0.362;0.000747;1.2;0.0393;0.204;0.807;0.221;0.00172;0.0089; 33040;0;1;0.0123;0.0105;50;6.29e-05;0.346;0.000182;1.17;0.0106;0.0814;0.869;0.1;0.002;0.0153;  9440;0;0;0.00293;0.00259;51;5.92e-05;0.339;0.000174;1.2;0.00927;0.077;0.88;0.102;0.00185;0.0154; 11040;0;1;0.0025;0.00228;52;0.000335;1;0.000335;1.24;0.0303;0.173;0.825;0.173;0.00107;0.0061;  3360;1;2;0.0209;0.0187;51;0.867;0.697;1.53;  0%;  0%;  0%;0.27;0.751;0.773;  0%;  0%;  0%;0.16;0.68;0.837;  0%;  0%;  0%;0.865;0.771;2.16;  0%;  0%;  0%;0.0625;19.4;0.0111;80.5;0;40.9;0;0;0;0.0155;8.93;0;91.1;0;88.6;0;0;0;0.0145;8.48;0;91.5;0;90.7;0;0;0;0.027;29.4;0;70.5;0;0;0;0;0;54.7;51.3;54.2;56.7;8.15 ;4.82 ;4.97 ;5.85 ;
2017-08-18;10:19:09.160;0.000112;0.351;0.00032;1.22;0.0576;0.399;0.856;0.159;0.00152;0.0105;0.0616;0.058;38;108;2.11e+03;0.702;17.6;0.000225;0.00562;6.68;0.0263;17.1;0.00232;82.9;0;16.7;0;0;0;227;26.5;0.000257;0.35;0.000734;1.24;0.0246;0.154;0.84;0.247;0.00113;0.00708; 32960;0;0;0.0188;0.0171;50;6.23e-05;0.356;0.000175;1.1;0.0104;0.0831;0.875;0.084;0.00198;0.0158;  9520;0;0;0.0136;0.0134;51;6.05e-05;0.335;0.00018;1.26;0.00986;0.0773;0.872;0.0864;0.00193;0.0151; 11040;0;1;0.0173;0.0171;52;6.96e-05;0.366;0.00019;1.2;0.0127;0.0844;0.849;0.107;0.00216;0.0143;  3760;0;1;0.0119;0.0103;51;0.601;0.481;0.918;  0%;  0%;  0%;0.182;0.523;0.561;  0%;  0%;  0%;0.0955;0.496;0.555;  0%;  0%;  0%;0.394;0.376;1.5;  0%;  0%;  0%;0.0591;26.7;0.0093;73.3;0;0;0;0;0;0.016;13.1;0;86.9;0;22.4;0;0;0;0.0143;16.4;0;83.5;0;0;0;0;0;0.0158;12;0;88;0;44.2;0;0;0;58.6;55.3;60.9;52.8;9.23 ;5.85 ;6.23 ;5.16 ;
2017-08-18;10:19:10.159;0.0001;0.485;0.000206;1.24;0.0618;0.397;0.844;0.169;0.00184;0.0118;0.0735;0.0692;33.6;69.3;2.1e+03;0.97;24.3;0.0002;0.00501;8.03;0.0167;92.1;0.0053;7.93;0;0;0;0;0;290;27.2;0.000214;0.456;0.00047;1.24;0.0332;0.179;0.814;0.217;0.00185;0.00994; 33040;0;0;0.0187;0.017;50;5.93e-05;0.509;0.000116;1.24;0.00917;0.0726;0.874;0.119;0.00184;0.0146;  9520;0;0;0.0175;0.0171;50;5.68e-05;0.504;0.000113;1.24;0.00845;0.071;0.881;0.119;0.00177;0.0149; 11120;0;0;0.0175;0.0171;51;7.04e-05;0.554;0.000127;1.24;0.0109;0.0743;0.853;0.136;0.00185;0.0126;  3840;0;0;0.0198;0.018;50;0.859;0.675;1.13;  0%;  0%;  0%;0.274;0.531;0.705;  0%;  0%;  0%;0.132;0.649;0.62;  0%;  0%;  0%;0.402;0.403;1.65;  0%;  0%;  0%;0.0379;72.3;0.0212;27.6;0;0;0;0;0;0.00941;100;0;0;0;0;0;0;0;0.00911;98;0;2.04;0;0;0;0;0;0.0103;97.9;0;2.04;0;0;0;0;0;67.1;73.5;77.4;71.5;9.17 ;6.2 ;6.15 ;5.73 ;
2017-08-18;10:19:11.165;0.000102;0.455;0.000224;1.24;0.0692;0.402;0.828;0.186;0.00201;0.0117;0.0729;0.0691;34.5;75.8;2.11e+03;0.91;22.7;0.000204;0.0051;6.89;0.0181;88.3;0.00744;11.6;0;0;0;0;0;289;27.4;0.000211;0.403;0.000523;1.24;0.0322;0.192;0.832;0.207;0.00181;0.0108; 32880;0;0;0.0188;0.0171;50;6.43e-05;0.534;0.00012;1.24;0.012;0.0709;0.831;0.165;0.00221;0.0131;  9520;0;0;0.0173;0.017;50;6.05e-05;0.494;0.000123;1.24;0.0116;0.0683;0.831;0.157;0.00226;0.0134; 11040;0;0;0.0172;0.0171;51;7.25e-05;0.553;0.000131;1.24;0.0134;0.0712;0.811;0.174;0.00219;0.0116;  4080;0;0;0.0196;0.0179;50;0.713;0.597;1.07;  0%;  0%;  0%;0.182;0.466;0.52;  0%;  0%;  0%;0.087;0.482;0.566;  0%;  0%;  0%;0.374;0.369;1.46;  0%;  0%;  0%;0.0422;53.4;0.0298;46.5;0;0;0;0;0;0.00972;100;0;0;0;0;0;0;0;0.0099;100;0;0;0;0;0;0;0;0.0106;100;0;0;0;0;0;0;0;63.5;74;78.5;72.6;9.19 ;6.28 ;6.21 ;5.75 ;
2017-08-18;10:19:12.170;9.46e-05;0.479;0.000198;1.24;0.0569;0.347;0.836;0.21;0.00178;0.0109;0.0726;0.069;32;66.8;2.11e+03;0.957;23.9;0.000189;0.00473;6.34;0.016;94.1;0.00593;5.91;0;0;0;0;0;294;27.4;0.000189;0.414;0.000457;1.24;0.0266;0.14;0.81;0.267;0.00166;0.00875; 32880;0;0;0.0188;0.0171;50;6.68e-05;0.583;0.000115;1.24;0.00996;0.0688;0.855;0.165;0.00176;0.0122;  9520;0;0;0.0172;0.017;50;5.53e-05;0.546;0.000101;1.24;0.00948;0.0675;0.86;0.159;0.00203;0.0144; 11040;0;0;0.0171;0.017;51;6.73e-05;0.568;0.000118;1.24;0.0109;0.0711;0.847;0.173;0.00191;0.0125;  4320;0;0;0.0195;0.0178;50;0.627;0.482;0.903;  0%;  0%;  0%;0.165;0.444;0.523;  0%;  0%;  0%;0.0751;0.443;0.555;  0%;  0%;  0%;0.34;0.337;1.45;  0%;  0%;  0%;0.0369;80.1;0.0237;19.8;0;0;0;0;0;0.00926;97.4;0;2.61;0;0;0;0;0;0.00818;100;0;0;0;0;0;0;0;0.00957;98.7;0;1.25;0;0;0;0;0;69.4;73.4;78.6;72.5;9.23 ;6.25 ;6.2 ;5.73 ;
2017-08-18;10:19:13.176;9.83e-05;0.463;0.000212;1.24;0.0595;0.391;0.848;0.191;0.00179;0.0118;0.0737;0.0694;33.2;71.8;2.11e+03;0.926;23.1;0.000197;0.00492;7.7;0.0172;88.5;0.00427;11.5;0;0;0;0;0;289;27.3;0.00021;0.404;0.00052;1.24;0.0323;0.19;0.83;0.211;0.00182;0.0107; 32960;0;0;0.0187;0.0171;49;6.13e-05;0.566;0.000108;1.24;0.00879;0.0673;0.87;0.162;0.0017;0.013;  9520;0;0;0.0176;0.0172;49;5.53e-05;0.517;0.000107;1.24;0.00856;0.0649;0.868;0.171;0.00183;0.0139; 11200;0;0;0.0175;0.0172;51;6.65e-05;0.581;0.000114;1.24;0.00989;0.0692;0.857;0.177;0.00176;0.0123;  4160;0;0;0.0199;0.018;49;0.825;0.666;1.09;  0%;  0%;  0%;0.237;0.473;0.688;  0%;  0%;  0%;0.121;0.639;0.596;  0%;  0%;  0%;0.392;0.374;1.6;  0%;  0%;  0%;0.042;63.8;0.0171;36.1;0;0;0;0;0;0.00875;94.7;0;5.33;0;0;0;0;0;0.00864;95.5;0;4.46;0;0;0;0;0;0.00924;100;0;0;0;0;0;0;0;65.8;73;77.6;72.7;9.21 ;6.2 ;6.17 ;5.7 ;
2017-08-18;10:19:14.182;9.53e-05;0.483;0.000197;1.24;0.0587;0.348;0.831;0.205;0.00182;0.0108;0.0724;0.0688;32.2;66.6;2.11e+03;0.967;24.2;0.000191;0.00477;5.99;0.0159;91.8;0.00455;8.16;0;0;0;0;0;292;27.1;0.000188;0.411;0.000457;1.24;0.0259;0.142;0.817;0.26;0.00164;0.00896; 32960;0;0;0.0187;0.0171;49;6.8e-05;0.612;0.000111;1.24;0.011;0.0689;0.84;0.16;0.00192;0.012;  9520;0;0;0.0172;0.017;49;5.48e-05;0.526;0.000104;1.24;0.0106;0.0673;0.843;0.154;0.00228;0.0145; 11040;0;0;0.0171;0.017;50;7.09e-05;0.606;0.000117;1.24;0.0112;0.0697;0.84;0.174;0.00186;0.0116;  4400;0;0;0.0194;0.0178;49;0.597;0.473;0.852;  0%;  0%;  0%;0.161;0.408;0.495;  0%;  0%;  0%;0.069;0.441;0.524;  0%;  0%;  0%;0.317;0.303;1.35;  0%;  0%;  0%;0.0369;71.7;0.0182;28.2;0;0;0;0;0;0.00896;100;0;0;0;0;0;0;0;0.00841;95.6;0;4.43;0;0;0;0;0;0.00945;100;0;0;0;0;0;0;0;67.3;74;77.6;72.7;9.13 ;6.16 ;6.15 ;5.7 ;
2017-08-18;10:19:15.188;0.000103;0.461;0.000223;1.24;0.0611;0.393;0.845;0.2;0.00176;0.0113;0.0738;0.0695;34.7;75.3;2.11e+03;0.922;23.1;0.000206;0.00514;7.78;0.018;87.9;0.00777;12;0;0;0;0;0;289;27.2;0.000209;0.39;0.000536;1.24;0.0325;0.189;0.829;0.214;0.00184;0.0107; 33040;0;1;0.0187;0.0171;49;7.22e-05;0.609;0.000119;1.24;0.00937;0.0678;0.862;0.184;0.00154;0.0111;  9600;0;0;0.0176;0.0172;49;6.01e-05;0.519;0.000116;1.24;0.00902;0.0662;0.864;0.181;0.00177;0.013; 11120;0;0;0.0176;0.0172;50;6.99e-05;0.578;0.000121;1.24;0.0102;0.0696;0.853;0.193;0.00173;0.0118;  4240;0;0;0.0199;0.018;50;0.832;0.685;1.1;  0%;  0%;  0%;0.24;0.472;0.706;  0%;  0%;  0%;0.124;0.666;0.586;  0%;  0%;  0%;0.397;0.374;1.6;  0%;  0%;  0%;0.0433;54.1;0.0311;45.9;0;0;0;0;0;0.00958;97.8;0;2.23;0;0;0;0;0;0.00935;99.9;0;0.0414;0;0;0;0;0;0.00977;100;0;0;0;0;0;0;0;63.7;73.7;78.6;72.8;9.23 ;6.19 ;6.14 ;5.67 ;
2017-08-18;10:19:16.193;9.23e-05;0.455;0.000203;1.24;0.0571;0.347;0.835;0.205;0.00183;0.0111;0.0723;0.0688;31.2;68.6;2.11e+03;0.91;22.7;0.000185;0.00462;5.94;0.0164;88.4;0.00287;11.6;0;0;0;0;0;290;27.3;0.000186;0.384;0.000485;1.24;0.0252;0.141;0.821;0.26;0.0016;0.00896; 32880;0;0;0.0187;0.0171;48;6.29e-05;0.578;0.000109;1.24;0.0107;0.0686;0.843;0.158;0.00202;0.0129;  9600;0;0;0.0172;0.017;49;5.58e-05;0.548;0.000102;1.24;0.0105;0.0671;0.843;0.155;0.00223;0.0142; 11040;0;0;0.0171;0.017;50;6.45e-05;0.555;0.000116;1.24;0.0106;0.0698;0.848;0.171;0.00195;0.0128;  4560;1;0;0.0194;0.0178;49;0.59;0.469;0.84;  0%;  0%;  0%;0.158;0.411;0.474;  0%;  0%;  0%;0.0665;0.438;0.541;  0%;  0%;  0%;0.317;0.296;1.34;  0%;  0%;  0%;0.0392;60.2;0.0115;39.7;0;0;0;0;0;0.00878;98.3;0;1.69;0;0;0;0;0;0.00822;100;0;0;0;0;0;0;0;0.00938;95;0;4.98;0;0;0;0;0;65.1;73.8;78.6;72.3;9.22 ;6.23 ;6.12 ;5.7 ;
2017-08-18;10:19:17.200;9.53e-05;0.451;0.000211;1.24;0.0529;0.355;0.851;0.212;0.00164;0.011;0.0725;0.0689;32.2;71.4;2.11e+03;0.902;22.6;0.000191;0.00476;6.1;0.0171;87.1;0.00314;12.9;0;0;0;0;0;289;27.3;0.000196;0.384;0.000509;1.24;0.0266;0.152;0.825;0.258;0.00161;0.00916; 32880;0;1;0.0187;0.0171;48;6.57e-05;0.578;0.000114;1.24;0.00864;0.0686;0.874;0.172;0.00156;0.0124;  9600;0;0;0.0172;0.017;49;5.5e-05;0.523;0.000105;1.24;0.00847;0.0657;0.871;0.173;0.00182;0.0141; 11040;0;1;0.0171;0.017;49;6.48e-05;0.555;0.000117;1.24;0.0092;0.0696;0.868;0.176;0.00168;0.0127;  4800;0;1;0.0195;0.0178;49;0.586;0.485;0.878;  0%;  0%;  0%;0.163;0.421;0.503;  0%;  0%;  0%;0.068;0.46;0.527;  0%;  0%;  0%;0.324;0.319;1.37;  0%;  0%;  0%;0.0411;66.5;0.0126;33.5;0;0;0;0;0;0.00917;90.7;0;9.31;0;0;0;0;0;0.0085;99.9;0;0.0683;0;0;0;0;0;0.00945;91.2;0;8.74;0;0;0;0;0;66.2;72.6;78.7;71.3;9.2 ;6.24 ;6.13 ;5.73 ;
2017-08-18;10:19:18.207;0.00355;0.267;0.0133;1.24;0.0672;0.523;0.871;0.192;5.6e-05;0.000436;0.0743;0.0699;1.2e+03;4.49e+03;2.11e+03;0.534;13.4;0.0071;0.177;8.29;1.07;83.7;0.00333;15.2;0;0;0;0;0;290;28.5;0.0136;0.259;0.0526;1.24;0.0317;0.206;0.846;0.205;2.76e-05;0.000179; 32960;0;0;0.019;0.0173;48;8.92e-05;0.662;0.000135;1.24;0.0103;0.0774;0.867;0.165;0.00137;0.0103;  9600;0;0;0.0178;0.0173;49;9.46e-05;0.685;0.000138;1.24;0.0106;0.0728;0.854;0.161;0.00133;0.0091; 11120;0;0;0.0177;0.0173;49;0.000394;1.3;0.000302;1.24;0.0146;0.167;0.913;0.2;0.000437;0.00502;  4640;0;0;0.0198;0.018;49;0.881;0.715;1.12;  0%;  0%;  0%;0.241;0.537;0.741;  0%;  0%;  0%;0.148;0.667;0.659;  0%;  0%;  0%;0.519;0.476;1.59;  0%;  0%;  0%;4.24;55.6;0.0133;40.2;0;0;0;0;0;0.0109;92;0;7.94;0;0;0;0;0;0.0111;97.5;0;2.51;0;0;0;0;0;0.0244;89.7;0;10.3;0;0;0;0;0;67.4;73;78.4;71.3;9.42 ;6.54 ;6.52 ;5.98 ;
2017-08-18;10:19:19.214;0.00159;0.259;0.00612;1.28;0.0654;0.484;0.865;0.151;0.000122;0.000902;0.0346;0.0303;537;2.07e+03;2.12e+03;0.518;13;0.00317;0.0793;7.54;0.478;15.9;0.00654;83.6;0;58.1;0;0;0;180;23.9;0.00608;0.255;0.0238;1.29;0.0314;0.226;0.861;0.192;6.1e-05;0.000439; 33040;0;0;0.0188;0.0171;48;8.2e-05;0.359;0.000228;1.08;0.0117;0.0877;0.867;0.116;0.00168;0.0126;  9600;0;1;0.00392;0.0035;50;0.000108;0.455;0.000237;1.1;0.0102;0.0863;0.882;0.105;0.00112;0.00947; 11120;0;0;0.00346;0.00308;50;7.89e-05;0.373;0.000211;1.16;0.0122;0.0845;0.856;0.118;0.00183;0.0127;  4800;1;0;0.0084;0.00658;50;0.838;0.687;1.07;  0%;  0%;  0%;0.245;0.435;0.705;  0%;  0%;  0%;0.142;0.651;0.545;  0%;  0%;  0%;0.376;0.365;1.49;  0%;  0%;  0%;1.85;18.8;0.0262;79.3;0;0;0;0;0;0.0211;15.2;0;84.8;0;81.3;0;0;0;0.0216;14.8;0;85.2;0;83.7;0;0;0;0.0182;14.9;0;85.1;0;67.3;0;0;0;47.2;43.6;45.8;43.7;9.27 ;4.87 ;4.96 ;4.84 ;
2017-08-18;10:19:20.220;9.41e-05;0.404;0.000233;1.24;0.0597;0.379;0.843;0.168;0.00187;0.0119;0.0725;0.0689;31.8;78.8;2.11e+03;0.808;20.2;0.000188;0.00471;6.23;0.0188;84.1;0.0115;15.9;0;0;0;0;0;286;27.4;0.000193;0.344;0.000562;1.24;0.0266;0.159;0.833;0.224;0.00163;0.00974; 32880;0;0;0.0188;0.0171;49;5.98e-05;0.493;0.000121;1.24;0.0114;0.0735;0.844;0.118;0.00226;0.0145;  9600;0;0;0.0172;0.017;49;5.69e-05;0.472;0.000121;1.24;0.0111;0.0726;0.847;0.115;0.00231;0.0151; 11200;0;0;0.0171;0.017;50;6.65e-05;0.516;0.000129;1.24;0.0105;0.0737;0.857;0.131;0.00187;0.0131;  4960;0;0;0.0194;0.0178;49;0.688;0.506;0.874;  0%;  0%;  0%;0.162;0.411;0.543;  0%;  0%;  0%;0.0694;0.478;0.527;  0%;  0%;  0%;0.319;0.3;1.35;  0%;  0%;  0%;0.0453;42.6;0.0459;57.3;0;0;0;0;0;0.00979;97.9;0;2.06;0;0;0;0;0;0.00974;100;0;0;0;0;0;0;0;0.0104;95.7;0;4.26;0;0;0;0;0;61.6;73.6;78.6;72.3;9.21 ;6.25 ;6.19 ;5.78 ;
2017-08-18;10:19:21.226;9.1e-05;0.436;0.000209;1.24;0.0503;0.353;0.857;0.198;0.00163;0.0115;0.0723;0.0688;30.8;70.6;2.11e+03;0.871;21.8;0.000182;0.00455;5.96;0.0169;87.8;0.0159;12.2;0;0;0;0;0;289;27.3;0.000184;0.358;0.000516;1.24;0.025;0.15;0.833;0.236;0.00161;0.00963; 32880;0;0;0.0187;0.0171;48;5.83e-05;0.56;0.000104;1.24;0.00862;0.0678;0.873;0.163;0.00175;0.0138;  9600;0;0;0.0172;0.017;48;5.57e-05;0.544;0.000102;1.24;0.0077;0.0653;0.882;0.165;0.00164;0.0139; 11120;0;0;0.0171;0.017;49;6.56e-05;0.576;0.000114;1.24;0.00891;0.0695;0.872;0.171;0.00161;0.0125;  4960;0;0;0.0194;0.0178;49;0.601;0.471;0.843;  0%;  0%;  0%;0.16;0.426;0.489;  0%;  0%;  0%;0.0672;0.437;0.52;  0%;  0%;  0%;0.314;0.301;1.33;  0%;  0%;  0%;0.0416;57.2;0.0635;42.7;0;0;0;0;0;0.0084;100;0;0;0;0;0;0;0;0.00826;98.3;0;1.74;0;0;0;0;0;0.0092;95.8;0;4.22;0;0;0;0;0;64.2;74.1;78.4;72.5;9.22 ;6.2 ;6.14 ;5.75 ;
2017-08-18;10:19:22.239;0.000104;0.404;0.000257;1.23;0.063;0.427;0.853;0.169;0.00179;0.0121;0.0735;0.0692;35.2;87.1;2.11e+03;0.808;20.2;0.000208;0.00519;7.76;0.0209;82.2;0.00807;17.8;0;0.923;0;0;0;287;27.5;0.000219;0.363;0.000603;1.23;0.0328;0.202;0.838;0.198;0.00177;0.0109; 32960;0;0;0.0185;0.0169;48;6.37e-05;0.468;0.000136;1.24;0.00993;0.074;0.866;0.141;0.00184;0.0137;  9600;0;0;0.0177;0.0173;48;6.23e-05;0.454;0.000137;1.24;0.0094;0.0724;0.87;0.141;0.00178;0.0137; 11280;0;0;0.0177;0.0173;49;7.07e-05;0.464;0.000152;1.22;0.0109;0.0786;0.862;0.141;0.00181;0.0131;  4800;0;0;0.0196;0.0177;49;0.817;0.691;1.08;  0%;  0%;  0%;0.231;0.502;0.711;  0%;  0%;  0%;0.125;0.653;0.584;  0%;  0%;  0%;0.384;0.394;1.59;  0%;  0%;  0%;0.049;49.4;0.0323;50.6;0;1.66;0;0;0;0.011;93.8;0;6.18;0;0;0;0;0;0.0111;98.2;0;1.79;0;0;0;0;0;0.0125;87.2;0;12.7;0;2.03;0;0;0;63.2;73.7;78.8;70.8;9.21 ;6.31 ;6.27 ;5.75 ;
2017-08-18;10:19:23.246;0.000108;0.303;0.000357;1.18;0.0545;0.421;0.871;0.14;0.00148;0.0115;0.0515;0.048;36.7;121;2.13e+03;0.606;15.1;0.000216;0.00541;5.75;0.0304;19.3;0.00629;80.6;0;31;0;0;0;227;25.1;0.000255;0.295;0.000864;1.16;0.0247;0.175;0.859;0.218;0.00114;0.0081; 32960;0;0;0.0133;0.0117;48;5.68e-05;0.312;0.000182;1.24;0.00979;0.0831;0.882;0.0665;0.00203;0.0172;  9600;0;0;0.0156;0.0154;49;5.55e-05;0.32;0.000174;1.25;0.00972;0.0792;0.877;0.0718;0.00206;0.0168; 11280;0;0;0.0172;0.017;49;6.53e-05;0.314;0.000208;1.14;0.0103;0.0837;0.877;0.0829;0.00185;0.0151;  4960;0;0;0.00545;0.00389;49;0.588;0.487;0.839;  0%;  0%;  0%;0.158;0.371;0.474;  0%;  0%;  0%;0.075;0.44;0.48;  0%;  0%;  0%;0.293;0.275;1.27;  0%;  0%;  0%;0.0746;15;0.0251;84.9;0;32.5;0;0;0;0.0147;21;0;79;0;9.52;0;0;0;0.0138;25;0;75;0;0;0;0;0;0.0182;16.3;0;83.7;0;81.9;0;0;0;53.1;57.8;63.4;52.7;8.33 ;6.06 ;6.17 ;4.54 ;
