System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;10:13:42.170;0.00011;0.348;0.000315;0.841;0.0708;0.456;0.845;0.164;0.0019;0.0122;0.0549;0.0502;37.3;107;2.12e+03;0.697;17.4;0.00022;0.00549;9.06;0.0375;19;0.00261;81;0;30;0;0;0;119;22.3;7.87e-05;0.397;0.000198;0.841;0.0162;0.124;0.87;0.0727;0.00242;0.0186; 38080;0;0;0.0149;0.0116;52;0.000242;0.333;0.000726;0.842;0.034;0.173;0.803;0.258;0.00166;0.00844; 10560;0;0;0.0112;0.0107;53;5.64e-05;0.346;0.000163;0.826;0.00862;0.0773;0.888;0.105;0.0018;0.0161;  9360;0;0;0.0108;0.0104;55;6.27e-05;0.361;0.000174;0.857;0.012;0.0814;0.852;0.113;0.00226;0.0153;  2400;0;1;0.018;0.0174;53;2.07;0.558;0.716;  0%;  0%;  0%;0.655;0.625;1.16;  0%;  0%;  0%;0.525;0.669;0.31;  0%;  0%;  0%;0.217;0.648;0.91;  0%;  0%;  0%;0.0236;12.9;0;87.1;0;39.8;0;0;0;0.0863;22.9;0.0101;77;0;39.6;0;0;0;0.0198;13.7;0;86.3;0;40.7;0;0;0;0.0203;26.5;0.000355;73.5;0;0;0;0;0;29.5;29.3;29.4;30.5;6.8 ;5.15 ;5.25 ;5.08 ;
2017-08-18;10:13:43.181;0.000124;0.329;0.000377;0.831;0.0762;0.516;0.852;0.139;0.00181;0.0123;0.0451;0.041;42.1;128;2.12e+03;0.658;16.4;0.000248;0.0062;8.13;0.0454;17.4;0.00684;82.5;0;17.7;0;25.4;0;106;16.6;0.000106;0.375;0.000283;0.84;0.0203;0.173;0.883;0.0599;0.00226;0.0192; 38000;0;0;0.0148;0.012;52;0.000248;0.318;0.000778;0.84;0.027;0.167;0.839;0.243;0.00128;0.00795; 10800;0;0;0.0119;0.0116;53;6.66e-05;0.304;0.000219;0.831;0.0109;0.0836;0.869;0.0854;0.00193;0.0148;  9360;0;0;0.0117;0.0114;55;7.55e-05;0.331;0.000228;0.789;0.0179;0.0924;0.806;0.102;0.0028;0.0144;  2560;1;0;0.00664;0.00599;53;1.47;0.51;0.728;  0%;  0%;  0%;0.621;0.618;0.974;  0%;  0%;  0%;0.477;0.636;0.28;  0%;  0%;  0%;0.305;0.635;0.874;  0%;  0%;  0%;0.0337;19.7;0;80.3;0;9.74;0;25.4;0;0.0927;22.3;0.0274;77.6;0;8.92;0;25.2;0;0.0264;14.1;0;85.9;0;10.1;0;25.4;0;0.0289;13.7;0;86.3;0;41.8;0;25.7;0;27.3;26.7;26.3;26;4.99 ;4.06 ;4.05 ;3.53 ;
2017-08-18;10:13:44.179;9.69e-05;0.398;0.000243;0.857;0.0587;0.374;0.843;0.184;0.0018;0.0115;0.072;0.0684;32.5;81.7;2.1e+03;0.796;19.9;0.000194;0.00485;6.08;0.0284;89.8;0.000814;10.1;0;0;0;0;0;148;22.7;6.33e-05;0.456;0.000139;0.857;0.00934;0.0761;0.877;0.12;0.00176;0.0143; 37920;0;0;0.0208;0.0177;51;0.000199;0.355;0.00056;0.857;0.0272;0.151;0.82;0.263;0.00163;0.00906; 10880;0;0;0.017;0.0169;53;5.61e-05;0.434;0.000129;0.857;0.0107;0.0718;0.851;0.113;0.00227;0.0153;  9360;0;0;0.017;0.0169;54;6.93e-05;0.474;0.000146;0.857;0.0115;0.0751;0.847;0.127;0.00197;0.0129;  2800;0;0;0.0172;0.0169;53;1.22;0.312;0.372;  0%;  0%;  0%;0.55;0.53;0.812;  0%;  0%;  0%;0.482;0.402;0.18;  0%;  0%;  0%;0.115;0.536;0.569;  0%;  0%;  0%;0.0162;93.4;0;6.56;0;0;0;0;0;0.0653;66.7;0.00326;33.2;0;0;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.017;99.2;0;0.753;0;0;0;0;0;37.4;33.6;38.7;38.5;6.87 ;5.36 ;5.43 ;4.99 ;
2017-08-18;10:13:45.187;9.94e-05;0.405;0.000245;0.857;0.0599;0.399;0.85;0.195;0.00178;0.0118;0.0739;0.0696;33.7;83.2;2.12e+03;0.81;20.2;0.000199;0.00497;7.55;0.0286;89.2;0.0031;10.8;0;0;0;0;0;149;22.9;7.88e-05;0.489;0.000161;0.857;0.0161;0.114;0.859;0.106;0.00242;0.0171; 38000;0;1;0.021;0.0179;51;0.000197;0.352;0.00056;0.857;0.0249;0.146;0.829;0.279;0.00149;0.00872; 10960;0;1;0.0176;0.0172;53;5.59e-05;0.44;0.000127;0.857;0.00873;0.0672;0.87;0.161;0.00184;0.0142;  9360;0;0;0.0176;0.0172;54;6.58e-05;0.492;0.000134;0.857;0.0101;0.0718;0.859;0.163;0.00182;0.0129;  2720;0;0;0.0178;0.0173;52;1.44;0.482;0.582;  0%;  0%;  0%;0.627;0.54;0.992;  0%;  0%;  0%;0.496;0.601;0.243;  0%;  0%;  0%;0.165;0.555;0.821;  0%;  0%;  0%;0.0188;92.7;0;7.31;0;0;0;0;0;0.0653;66.8;0.0124;33.1;0;0;0;0;0;0.0148;100;0;0;0;0;0;0;0;0.0156;97.3;0;2.73;0;0;0;0;0;37.8;33.8;39.2;38.5;6.96 ;5.42 ;5.51 ;5.05 ;
2017-08-18;10:13:46.196;9.98e-05;0.408;0.000245;0.857;0.0692;0.409;0.831;0.19;0.00205;0.0121;0.0743;0.0698;33.8;83;2.12e+03;0.815;20.4;0.0002;0.00499;8.24;0.0286;89.1;0.00385;10.8;0;0;0;0;0;150;22.9;8.28e-05;0.52;0.000159;0.857;0.0174;0.117;0.852;0.1;0.00247;0.0167; 38000;0;0;0.0211;0.018;51;0.000194;0.341;0.000568;0.857;0.0282;0.151;0.813;0.27;0.00172;0.00921; 10960;0;1;0.0177;0.0173;53;5.53e-05;0.48;0.000115;0.857;0.0107;0.0677;0.842;0.157;0.00228;0.0144;  9440;0;0;0.0176;0.0172;54;6.73e-05;0.492;0.000137;0.857;0.013;0.0727;0.821;0.166;0.00228;0.0127;  2880;0;0;0.0178;0.0173;52;1.51;0.536;0.636;  0%;  0%;  0%;0.615;0.626;1.14;  0%;  0%;  0%;0.528;0.69;0.245;  0%;  0%;  0%;0.199;0.584;0.931;  0%;  0%;  0%;0.0186;91.5;0;8.48;0;0;0;0;0;0.0662;67;0.0154;33;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;0.016;98.1;0;1.9;0;0;0;0;0;37.8;33.9;39.2;38.7;6.94 ;5.42 ;5.49 ;5.02 ;
2017-08-18;10:13:47.207;0.000179;0.405;0.000442;0.831;0.131;0.617;0.788;0.219;0.00215;0.0102;0.0567;0.0518;60.8;150;2.12e+03;0.81;20.3;0.000358;0.00896;16.6;0.0532;25.1;0.0125;74.9;0;33.2;0;0;0;121;22.1;0.00013;0.403;0.000324;0.857;0.0379;0.193;0.803;0.0972;0.00343;0.0174; 38640;1;1;0.0227;0.0192;51;0.000262;0.3;0.000874;0.831;0.0417;0.199;0.79;0.237;0.00188;0.00894; 12480;1;1;0.013;0.0121;53;0.000135;0.481;0.000281;0.832;0.0255;0.116;0.78;0.345;0.00222;0.0101;  9760;0;1;0.013;0.0129;54;0.000189;0.652;0.000289;0.802;0.0256;0.11;0.768;0.212;0.00159;0.00687;  3840;0;2;0.00798;0.00757;53;2.4;2.06;1.58;  0%;  0%;  0%;1.19;1.09;1.7;  0%;  0%;  0%;0.983;1.45;0.764;  0%;  0%;  0%;0.91;1.07;1.39;  0%;  0%;  0%;0.0378;49.4;0;50.6;0;0;0;0;0;0.105;17.2;0.0498;82.6;0;34.4;0;0;0;0.0338;17.8;0;82.2;0;35.6;0;0;0;0.0361;16;0.000263;84;0;62.7;0;0;0;33.2;28.7;30;29.3;6.99 ;5.2 ;5.3 ;4.64 ;
2017-08-18;10:13:48.216;0.000168;0.536;0.000313;0.857;0.0865;0.522;0.834;0.172;0.00152;0.00917;0.0753;0.0707;56.9;106;2.12e+03;1.07;26.8;0.000336;0.00839;9.26;0.0365;86.1;0.00696;13.9;0;0;0;0;0;148;23;8.01e-05;0.489;0.000164;0.857;0.0175;0.118;0.852;0.0868;0.00257;0.0174; 38560;0;0;0.0213;0.0181;51;0.000197;0.313;0.000629;0.857;0.0277;0.16;0.827;0.243;0.00165;0.00954; 12480;0;0;0.0178;0.0175;53;5.78e-05;0.392;0.000147;0.857;0.012;0.0745;0.839;0.107;0.00245;0.0152;  9760;0;0;0.0178;0.0176;54;0.000336;1.08;0.000312;0.857;0.0294;0.17;0.827;0.179;0.00103;0.00596;  5360;2;0;0.0185;0.0176;52;1.43;0.566;0.828;  0%;  0%;  0%;0.605;0.781;1.05;  0%;  0%;  0%;0.543;0.659;0.427;  0%;  0%;  0%;0.546;0.878;0.945;  0%;  0%;  0%;0.0191;94.6;0;5.33;0;0;0;0;0;0.0734;51.8;0.0278;48.1;0;0;0;0;0;0.0172;98.2;0;1.83;0;0;0;0;0;0.0363;99.6;0;0.33;0;0;0;0;0;37.9;32.2;38.8;39;6.95 ;5.44 ;5.54 ;5.06 ;
2017-08-18;10:13:49.226;9.94e-05;0.386;0.000258;0.857;0.0628;0.408;0.846;0.181;0.00186;0.0121;0.0739;0.0696;33.7;87.4;2.12e+03;0.771;19.3;0.000199;0.00497;7.46;0.0301;83.6;0.00573;16.4;0;0;0;0;0;147;22.9;7.78e-05;0.466;0.000167;0.857;0.0161;0.113;0.857;0.103;0.00244;0.0171; 38560;0;0;0.0209;0.0179;51;0.000196;0.321;0.00061;0.857;0.0252;0.153;0.835;0.252;0.00152;0.00922; 12560;0;0;0.0175;0.0172;53;5.69e-05;0.473;0.00012;0.857;0.00979;0.0704;0.861;0.144;0.00203;0.0146;  9760;0;0;0.0176;0.0172;54;6.71e-05;0.502;0.000133;0.857;0.0117;0.0716;0.837;0.16;0.00206;0.0126;  5360;0;0;0.0178;0.0173;52;1.37;0.465;0.604;  0%;  0%;  0%;0.638;0.536;0.964;  0%;  0%;  0%;0.502;0.589;0.232;  0%;  0%;  0%;0.171;0.581;0.805;  0%;  0%;  0%;0.0195;88;0;12;0;0;0;0;0;0.0712;53;0.0229;46.9;0;0;0;0;0;0.014;95;0;4.98;0;0;0;0;0;0.0156;98.2;0;1.75;0;0;0;0;0;37.6;32.4;38.5;38.8;6.93 ;5.42 ;5.5 ;5.01 ;
2017-08-18;10:13:50.241;0.000107;0.365;0.000292;0.857;0.0678;0.43;0.843;0.17;0.00187;0.0119;0.074;0.0696;36.2;99.4;2.12e+03;0.729;18.2;0.000213;0.00533;7.56;0.0341;81.9;0.00656;18;0;0.508;0;0;0;147;23.1;8.67e-05;0.451;0.000192;0.857;0.0164;0.12;0.864;0.0897;0.00223;0.0163; 38560;0;0;0.0212;0.018;51;0.000203;0.312;0.000651;0.857;0.0275;0.159;0.828;0.252;0.00159;0.00923; 12560;0;0;0.0176;0.0173;52;6.54e-05;0.399;0.000164;0.857;0.0115;0.0739;0.844;0.122;0.00208;0.0133;  9760;0;0;0.0172;0.0169;54;7.1e-05;0.438;0.000162;0.857;0.0124;0.0769;0.839;0.137;0.00205;0.0127;  5280;0;0;0.0179;0.0174;52;1.42;0.486;0.595;  0%;  0%;  0%;0.631;0.541;0.979;  0%;  0%;  0%;0.506;0.602;0.241;  0%;  0%;  0%;0.159;0.557;0.838;  0%;  0%;  0%;0.0224;80.9;0;19;0;0;0;0;0;0.0759;52.9;0.0262;47;0;0;0;0;0;0.0191;96.1;0;3.92;0;2.03;0;0;0;0.0189;97.8;0;2.15;0;0;0;0;0;36.9;32.5;38.9;39.1;7.01 ;5.46 ;5.54 ;5.09 ;
2017-08-18;10:13:51.252;0.000106;0.297;0.000359;0.84;0.054;0.428;0.874;0.143;0.00149;0.0118;0.0589;0.0554;36.2;122;2.13e+03;0.593;14.8;0.000213;0.00532;5.72;0.0427;23.9;0.0185;76;0;20.3;0;0;0;121;22.3;5.58e-05;0.266;0.000209;0.857;0.00918;0.0847;0.892;0.0698;0.00193;0.0178; 38480;0;0;0.0208;0.0178;52;0.00025;0.293;0.000854;0.837;0.0248;0.18;0.863;0.223;0.00116;0.00846; 12560;0;0;0.0172;0.0171;53;5.43e-05;0.303;0.000179;0.818;0.0096;0.0809;0.881;0.0609;0.00208;0.0175;  9760;0;0;0.00347;0.00334;54;6.53e-05;0.34;0.000192;0.857;0.0105;0.0817;0.872;0.091;0.00188;0.0147;  5440;0;0;0.0175;0.0172;52;1.13;0.285;0.358;  0%;  0%;  0%;0.531;0.508;0.761;  0%;  0%;  0%;0.423;0.364;0.187;  0%;  0%;  0%;0.102;0.522;0.548;  0%;  0%;  0%;0.0244;21.8;0;78.2;0;0;0;0;0;0.102;30.2;0.0741;69.6;0;0.0771;0;0;0;0.0219;17.8;0;82.2;0;81.3;0;0;0;0.0224;25.8;0;74.1;0;0;0;0;0;30.3;30;30.1;30.4;6.94 ;5.45 ;4.87 ;5.06 ;
2017-08-18;10:13:52.261;9.49e-05;0.367;0.000259;0.857;0.0517;0.38;0.864;0.175;0.00161;0.0118;0.0728;0.0691;32.2;87.8;2.12e+03;0.733;18.3;0.00019;0.00474;6.06;0.0302;87.6;0.0089;12.3;0;0;0;0;0;149;22.9;5.66e-05;0.407;0.000139;0.857;0.0097;0.0767;0.874;0.104;0.00202;0.016; 38480;0;0;0.021;0.0179;51;0.000197;0.322;0.000612;0.857;0.0239;0.156;0.847;0.246;0.00143;0.00934; 12400;0;0;0.0172;0.0171;53;5.65e-05;0.406;0.000139;0.857;0.00841;0.0718;0.883;0.112;0.00175;0.015;  9760;0;0;0.0172;0.017;54;6.94e-05;0.479;0.000145;0.857;0.00972;0.0752;0.871;0.134;0.00165;0.0128;  5440;0;0;0.0174;0.0171;52;1.21;0.3;0.392;  0%;  0%;  0%;0.566;0.505;0.806;  0%;  0%;  0%;0.451;0.409;0.184;  0%;  0%;  0%;0.117;0.526;0.59;  0%;  0%;  0%;0.0162;87.8;0;12.2;0;0;0;0;0;0.0714;64.4;0.0356;35.5;0;0;0;0;0;0.0162;100;0;0.0167;0;0;0;0;0;0.0169;98.4;0;1.6;0;0;0;0;0;37.3;33.8;39.2;38.7;6.96 ;5.46 ;5.48 ;5.02 ;
2017-08-18;10:13:53.270;9.51e-05;0.358;0.000265;0.857;0.0501;0.375;0.867;0.19;0.00155;0.0116;0.0727;0.069;32.3;90;2.12e+03;0.717;17.9;0.00019;0.00476;5.92;0.031;80.5;0.0145;19.4;0;0;0;0;0;146;22.9;5.65e-05;0.388;0.000146;0.857;0.00867;0.0745;0.884;0.132;0.00181;0.0156; 38480;0;0;0.0208;0.0178;51;0.000198;0.299;0.000663;0.857;0.0233;0.161;0.855;0.238;0.00139;0.00956; 12480;0;1;0.0172;0.0171;53;5.53e-05;0.474;0.000117;0.857;0.00836;0.0677;0.877;0.155;0.00178;0.0144;  9760;0;0;0.0172;0.017;54;7.07e-05;0.517;0.000137;0.857;0.00976;0.0724;0.865;0.163;0.00163;0.0121;  5440;0;0;0.0175;0.0171;52;1.13;0.285;0.396;  0%;  0%;  0%;0.562;0.521;0.743;  0%;  0%;  0%;0.457;0.381;0.192;  0%;  0%;  0%;0.119;0.536;0.601;  0%;  0%;  0%;0.017;78.6;0;21.4;0;0;0;0;0;0.0773;51.7;0.058;48.2;0;0;0;0;0;0.0136;96;0;4;0;0;0;0;0;0.016;95.9;0;4.06;0;0;0;0;0;36.4;32.5;38.6;38.3;6.98 ;5.42 ;5.48 ;5.01 ;
2017-08-18;10:13:54.286;0.000113;0.359;0.000315;0.853;0.07;0.517;0.865;0.146;0.00182;0.0135;0.0727;0.068;38.5;107;2.12e+03;0.717;17.9;0.000226;0.00565;8.47;0.037;76.9;0.0128;23;0;3.14;0;0;0;145;23;0.000106;0.477;0.000223;0.839;0.0206;0.177;0.884;0.071;0.00228;0.0196; 38560;0;0;0.0201;0.0169;51;0.000213;0.299;0.000712;0.857;0.0281;0.187;0.85;0.215;0.00155;0.0103; 12480;0;0;0.018;0.0175;52;6.11e-05;0.375;0.000163;0.851;0.0097;0.0746;0.87;0.128;0.00187;0.0143;  9840;0;0;0.0166;0.0162;54;7.18e-05;0.438;0.000164;0.857;0.0116;0.0787;0.853;0.138;0.00189;0.0129;  5440;0;1;0.018;0.0175;52;1.64;0.527;0.635;  0%;  0%;  0%;0.68;0.599;1.26;  0%;  0%;  0%;0.541;0.647;0.268;  0%;  0%;  0%;0.184;0.599;0.894;  0%;  0%;  0%;0.0266;81.3;0;18.7;0;6.11;0;0;0;0.083;44.9;0.0513;55;0;0;0;0;0;0.0192;89.4;0;10.6;0;6.46;0;0;0;0.0191;92;0;7.98;0;0;0;0;0;36.8;31.9;38.1;38.3;6.97 ;5.44 ;5.52 ;5.09 ;
2017-08-18;10:13:55.297;0.000106;0.284;0.000374;0.829;0.0526;0.438;0.88;0.134;0.00145;0.0121;0.0476;0.0441;36.2;127;2.13e+03;0.568;14.2;0.000212;0.00531;5.64;0.0451;22.7;0.0206;77.2;0;37.2;0;0;0;121;21.8;5.57e-05;0.258;0.000216;0.83;0.00852;0.0856;0.9;0.0606;0.00179;0.018; 38480;0;0;0.0127;0.00974;51;0.000245;0.273;0.000898;0.832;0.0244;0.188;0.87;0.207;0.00117;0.00901; 12480;0;0;0.0132;0.0131;53;5.8e-05;0.324;0.000179;0.785;0.00965;0.0797;0.879;0.063;0.00195;0.0161;  9840;0;0;0.00421;0.00407;54;6.58e-05;0.323;0.000203;0.857;0.00995;0.0844;0.882;0.0837;0.00178;0.0151;  5600;0;0;0.0175;0.0171;52;1.1;0.277;0.344;  0%;  0%;  0%;0.53;0.516;0.741;  0%;  0%;  0%;0.431;0.368;0.186;  0%;  0%;  0%;0.102;0.516;0.532;  0%;  0%;  0%;0.026;20.3;0;79.7;0;48.2;0;0;0;0.108;24.8;0.0824;75;0;23.4;0;0;0;0.0228;21.1;0;78.9;0;76.9;0;0;0;0.0237;24.7;0;75.3;0;0;0;0;0;30.4;29.6;30.4;30.6;6.74 ;5.19 ;4.89 ;5.02 ;
2017-08-18;10:13:56.306;0.00178;0.265;0.00669;0.857;0.063;0.462;0.864;0.143;0.000104;0.000766;0.074;0.0697;603;2.27e+03;2.12e+03;0.531;13.3;0.00355;0.0888;7.76;0.781;77.4;0.0135;21.8;0;0;0;0;0;155;22.9;0.00361;0.268;0.0135;0.857;0.0182;0.127;0.856;0.08;5.96e-05;0.000414; 38560;0;1;0.021;0.0179;51;0.00337;0.26;0.013;0.857;0.0261;0.186;0.86;0.2;9.11e-05;0.000651; 12320;0;0;0.0176;0.0172;52;6.03e-05;0.4;0.000151;0.857;0.00876;0.0725;0.879;0.109;0.00171;0.0142;  9840;0;0;0.0176;0.0172;53;6.63e-05;0.412;0.000161;0.857;0.00992;0.0763;0.87;0.122;0.00176;0.0136;  5440;0;0;0.0178;0.0173;52;1.48;0.518;0.566;  0%;  0%;  0%;0.627;0.594;1.08;  0%;  0%;  0%;0.498;0.621;0.237;  0%;  0%;  0%;0.158;0.554;0.826;  0%;  0%;  0%;1.57;82.8;0;15.6;0;0;0;0;0;1.52;45.8;0.0541;52.6;0;0;0;0;0;0.0176;96.1;0;3.88;0;0;0;0;0;0.0188;85;0;15;0;0;0;0;0;40.1;34.9;41;39.4;6.95 ;5.47 ;5.46 ;5.02 ;
2017-08-18;10:13:57.316;0.000103;0.33;0.000312;0.857;0.0625;0.435;0.856;0.16;0.00179;0.0125;0.0739;0.0696;34.9;106;2.12e+03;0.66;16.5;0.000206;0.00514;7.31;0.0364;69.9;0.0161;30.1;0;0;0;0;0;142;22.9;7.62e-05;0.413;0.000185;0.857;0.0155;0.117;0.868;0.0901;0.0024;0.0181; 38560;0;0;0.0209;0.0179;51;0.00021;0.271;0.000775;0.857;0.025;0.178;0.86;0.21;0.0014;0.00999; 12320;0;0;0.0176;0.0172;53;5.94e-05;0.446;0.000133;0.857;0.0106;0.0672;0.843;0.147;0.0021;0.0133;  9840;0;0;0.0176;0.0172;54;6.57e-05;0.424;0.000155;0.857;0.0115;0.0733;0.843;0.146;0.00206;0.0132;  5440;0;1;0.0179;0.0173;52;1.34;0.456;0.566;  0%;  0%;  0%;0.626;0.552;0.955;  0%;  0%;  0%;0.501;0.554;0.233;  0%;  0%;  0%;0.151;0.568;0.809;  0%;  0%;  0%;0.0215;72.2;0;27.8;0;0;0;0;0;0.0904;24.9;0.0645;75;0;0;0;0;0;0.0155;96.2;0;3.83;0;0;0;0;0;0.0181;86.2;0;13.7;0;0;0;0;0;35.7;29.8;38.8;37.7;6.96 ;5.43 ;5.5 ;5.02 ;
2017-08-18;10:13:58.332;0.00017;0.472;0.000361;0.853;0.064;0.508;0.874;0.17;0.0011;0.00875;0.0715;0.0676;58;123;2.12e+03;0.943;23.6;0.000341;0.00852;6.75;0.0424;65.4;0.00876;34.5;0;2.88;0;0;0;140;23;6.32e-05;0.375;0.000169;0.855;0.0112;0.0822;0.864;0.107;0.00207;0.0153; 38480;0;0;0.021;0.0179;51;0.000218;0.279;0.000783;0.857;0.0268;0.183;0.854;0.208;0.00145;0.00989; 12320;0;0;0.0174;0.0173;53;6.09e-05;0.36;0.000169;0.826;0.0115;0.0753;0.847;0.115;0.00223;0.0145;  9840;0;0;0.0155;0.0153;54;0.000339;1.04;0.000325;0.855;0.0145;0.167;0.913;0.177;0.000502;0.00577;  5520;0;0;0.0175;0.0172;52;1.22;0.326;0.492;  0%;  0%;  0%;0.602;0.588;0.837;  0%;  0%;  0%;0.483;0.431;0.255;  0%;  0%;  0%;0.205;0.633;0.676;  0%;  0%;  0%;0.0197;76.6;0;23.4;0;0.265;0;0;0;0.0914;25.9;0.035;74;0;0;0;0;0;0.0205;87.5;0;12.4;0;11;0;0;0;0.038;71.6;0;28.4;0;0.265;0;0;0;36.4;30.1;38;35.7;6.99 ;5.46 ;5.48 ;5.07 ;
2017-08-18;10:13:59.343;0.000124;0.297;0.000418;0.827;0.0699;0.591;0.882;0.106;0.00165;0.014;0.0465;0.0418;42.3;142;2.13e+03;0.595;14.9;0.000248;0.00621;8.75;0.0505;24.6;0.0203;75.4;0;42.1;0;0;0;122;21.8;0.000113;0.382;0.000295;0.837;0.0234;0.212;0.89;0.0439;0.00244;0.0221; 38720;0;0;0.0171;0.0141;51;0.000264;0.267;0.000991;0.843;0.0281;0.211;0.867;0.183;0.00125;0.00939; 12320;0;0;0.018;0.0175;53;5.43e-05;0.308;0.000176;0.778;0.00838;0.0811;0.897;0.0622;0.00181;0.0175;  9840;0;0;0.00556;0.00508;53;6.54e-05;0.313;0.000209;0.781;0.0101;0.0866;0.884;0.0775;0.00181;0.0156;  5360;0;0;0.00582;0.00516;52;1.7;0.509;0.63;  0%;  0%;  0%;0.704;0.641;1.37;  0%;  0%;  0%;0.53;0.661;0.272;  0%;  0%;  0%;0.201;0.596;0.932;  0%;  0%;  0%;0.0352;28.9;0;71;0;23.4;0;0;0;0.117;21.6;0.081;78.2;0;0.0874;0;0;0;0.0227;26.6;0;73.4;0;72.5;0;0;0;0.0267;21.1;0;78.9;0;72.5;0;0;0;31.3;29.4;31.1;29.8;6.88 ;5.48 ;4.97 ;4.47 ;
