System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;10:02:57.167;0.00154;0.266;0.00579;0.998;0.0682;0.404;0.831;0.184;0.000131;0.000777;0.0372;0.034;520;1.96e+03;2.12e+03;0.531;13.3;0.00307;0.0769;8.49;0.58;16.8;0.000469;82.6;0;54;0;0;0;215;23.8;0.000238;0.389;0.000612;0.969;0.0419;0.171;0.754;0.266;0.00208;0.00848; 22400;0;2;0.0124;0.0107;49;5.78e-05;0.411;0.000141;0.916;0.00866;0.0787;0.89;0.103;0.00177;0.0161;  6480;0;0;0.00258;0.00258;51;5.53e-05;0.393;0.000141;0.864;0.00851;0.0758;0.888;0.105;0.00182;0.0162;  5440;0;0;0.00218;0.0023;50;0.0058;0.26;0.0223;1;0.00911;0.0789;0.884;0.125;1.86e-05;0.000161; 12640;0;0;0.0201;0.0185;49;0.932;0.888;1.27;  0%;  0%;  0%;0.171;0.492;0.625;  0%;  0%;  0%;0.0936;0.545;0.569;  0%;  0%;  0%;0.362;0.345;2.19;  0%;  0%;  0%;0.0631;16.3;0.00188;83.7;0;39.6;0;0;0;0.0154;10.3;0;89.6;0;87.2;0;0;0;0.0163;10.1;0;89.9;0;89.2;0;0;0;2.23;30.6;0;67.2;0;0;0;0;0;52.5;51.3;54.3;57.1;8.16 ;4.83 ;5 ;5.78 ;
2017-08-18;10:02:58.175;0.000174;0.595;0.000292;0.98;0.0581;0.492;0.882;0.18;0.000986;0.00835;0.0598;0.0558;58.9;98.9;2.12e+03;1.19;29.8;0.000348;0.0087;9.53;0.0298;18.2;0.000949;81.8;0;21.9;0;0;0;224;26.6;0.000239;0.405;0.000591;1;0.0282;0.158;0.822;0.27;0.00139;0.00782; 22000;0;0;0.019;0.0173;48;5.88e-05;0.411;0.000143;1;0.00866;0.0813;0.893;0.0809;0.00174;0.0163;  6560;0;0;0.0178;0.0175;50;5.65e-05;0.403;0.00014;1;0.00861;0.0793;0.891;0.08;0.0018;0.0166;  5440;0;0;0.0178;0.0176;50;0.000341;1.16;0.000295;0.924;0.0126;0.173;0.927;0.169;0.000436;0.00598; 13120;1;0;0.00513;0.00339;50;1.02;1.04;1.35;  0%;  0%;  0%;0.197;0.528;0.965;  0%;  0%;  0%;0.126;0.841;0.692;  0%;  0%;  0%;0.426;0.405;1.94;  0%;  0%;  0%;0.0591;31;0.0038;69;0;0;0;0;0;0.0143;15.8;0;84.2;0;0;0;0;0;0.014;15.4;0;84.5;0;0;0;0;0;0.0319;10.6;0;89.3;0;87.7;0;0;0;57.8;56.1;59.6;50.7;9.34 ;6.36 ;6.39 ;4.55 ;
2017-08-18;10:02:59.174;0.000107;0.444;0.00024;0.986;0.0748;0.434;0.827;0.169;0.00209;0.0121;0.0725;0.0688;35.8;80.6;2.1e+03;0.888;22.2;0.000213;0.00533;6.8;0.0243;59;0.00206;41;0;0;0;0;0;253;27.4;0.000228;0.402;0.000567;0.977;0.0441;0.203;0.782;0.222;0.0023;0.0106; 22640;0;1;0.0189;0.017;48;6.26e-05;0.514;0.000122;1;0.0102;0.0759;0.866;0.114;0.00194;0.0144;  6640;0;0;0.0172;0.017;49;6.1e-05;0.477;0.000128;1;0.01;0.0758;0.868;0.108;0.00196;0.0148;  5440;0;0;0.0171;0.017;50;7.43e-05;0.522;0.000142;1;0.0105;0.0793;0.867;0.122;0.00169;0.0127; 13040;0;0;0.0193;0.0178;49;0.826;0.666;1.02;  0%;  0%;  0%;0.185;0.432;0.511;  0%;  0%;  0%;0.0865;0.487;0.539;  0%;  0%;  0%;0.324;0.309;1.41;  0%;  0%;  0%;0.0581;20.2;0.00825;79.7;0;0;0;0;0;0.0122;82.5;0;17.5;0;0;0;0;0;0.0128;70.8;0;29.1;0;0;0;0;0;0.0142;62.5;0;37.5;0;0;0;0;0;55.7;66.4;69;61.6;9.21 ;6.27 ;6.22 ;5.7 ;
2017-08-18;10:03:00.180;9.02e-05;0.504;0.000179;1;0.0541;0.353;0.847;0.204;0.00177;0.0116;0.0724;0.0689;30.5;60.6;2.11e+03;1.01;25.2;0.00018;0.00451;5.99;0.0179;94.9;0.00225;5.1;0;0;0;0;0;280;27.4;0.000181;0.435;0.000416;1;0.0253;0.144;0.824;0.275;0.00166;0.00941; 22480;0;0;0.0187;0.0171;48;5.82e-05;0.602;9.68e-05;1;0.0102;0.0691;0.852;0.146;0.00208;0.014;  6560;0;0;0.0171;0.017;49;5.41e-05;0.574;9.43e-05;1;0.00911;0.0677;0.865;0.139;0.00199;0.0148;  5440;0;0;0.0172;0.017;50;6.75e-05;0.616;0.00011;1;0.00939;0.0723;0.87;0.153;0.00164;0.0127; 13280;0;1;0.0194;0.0178;49;0.614;0.5;0.855;  0%;  0%;  0%;0.16;0.405;0.479;  0%;  0%;  0%;0.0715;0.44;0.522;  0%;  0%;  0%;0.309;0.299;1.33;  0%;  0%;  0%;0.0416;80.2;0.00898;19.7;0;0;0;0;0;0.00968;100;0;0;0;0;0;0;0;0.00943;100;0;0;0;0;0;0;0;0.011;99.3;0;0.674;0;0;0;0;0;66.3;70;74.3;69.1;9.19 ;6.23 ;6.23 ;5.73 ;
2017-08-18;10:03:01.186;9.23e-05;0.495;0.000187;1;0.0534;0.357;0.85;0.219;0.00171;0.0114;0.0725;0.069;31.2;63.1;2.11e+03;0.99;24.7;0.000185;0.00462;6.17;0.0187;89.7;0.00485;10.3;0;0;0;0;0;275;27.4;0.000189;0.422;0.000448;1;0.0272;0.152;0.82;0.275;0.0017;0.00947; 22720;0;1;0.0188;0.0171;48;5.71e-05;0.616;9.26e-05;1;0.00859;0.0674;0.873;0.172;0.00178;0.014;  6480;0;1;0.0172;0.017;49;5.62e-05;0.584;9.61e-05;1;0.00864;0.0669;0.871;0.168;0.00182;0.0141;  5440;0;0;0.0172;0.017;49;6.69e-05;0.612;0.000109;1;0.00897;0.071;0.874;0.173;0.00159;0.0126; 13120;0;0;0.0193;0.0178;49;0.628;0.53;0.892;  0%;  0%;  0%;0.166;0.412;0.495;  0%;  0%;  0%;0.0751;0.489;0.513;  0%;  0%;  0%;0.309;0.294;1.37;  0%;  0%;  0%;0.0448;68;0.0194;31.9;0;0;0;0;0;0.00926;100;0;0;0;0;0;0;0;0.00961;100;0;0;0;0;0;0;0;0.0109;90.6;0;9.39;0;0;0;0;0;64.1;70;74.1;67.1;9.22 ;6.27 ;6.21 ;5.75 ;
2017-08-18;10:03:02.192;9.54e-05;0.502;0.00019;1;0.0569;0.363;0.843;0.219;0.00177;0.0112;0.0729;0.0694;32.2;64.2;2.11e+03;1;25.1;0.000191;0.00477;7.22;0.019;89.9;0.00478;10.1;0;0;0;0;0;277;27.4;0.000192;0.422;0.000454;1;0.0273;0.152;0.82;0.271;0.00168;0.00936; 22560;0;0;0.0189;0.0172;47;6e-05;0.638;9.41e-05;1;0.00894;0.0689;0.87;0.176;0.00176;0.0136;  6560;0;0;0.0172;0.017;49;6.35e-05;0.602;0.000106;1;0.0113;0.0712;0.842;0.18;0.0021;0.0133;  5520;0;1;0.0173;0.0174;49;6.62e-05;0.623;0.000106;1;0.00942;0.0707;0.867;0.174;0.00168;0.0126; 13360;0;1;0.0195;0.0179;49;0.681;0.99;0.965;  0%;  0%;  0%;0.241;0.411;0.517;  0%;  0%;  0%;0.105;0.618;0.558;  0%;  0%;  0%;0.389;0.306;1.43;  0%;  0%;  0%;0.0454;66.5;0.0191;33.4;0;0;0;0;0;0.00941;100;0;0;0;0;0;0;0;0.0106;95;0;4.98;0;0;0;0;0;0.0106;98;0;1.94;0;0;0;0;0;63.8;70.3;73.7;68.9;9.21 ;6.28 ;6.24 ;5.7 ;
2017-08-18;10:03:03.199;9.64e-05;0.491;0.000196;1;0.0547;0.364;0.85;0.217;0.00168;0.0111;0.0727;0.069;32.6;66.4;2.11e+03;0.982;24.6;0.000193;0.00482;6.35;0.0196;90.2;0.00759;9.82;0;0;0;0;0;277;27.5;0.000187;0.405;0.000462;1;0.027;0.155;0.826;0.263;0.0017;0.0098; 22800;0;1;0.0189;0.0171;47;6.35e-05;0.624;0.000102;1;0.00911;0.0676;0.865;0.187;0.0017;0.0126;  6560;0;0;0.0172;0.017;49;6.09e-05;0.56;0.000109;1;0.00914;0.0697;0.869;0.168;0.00178;0.0135;  5520;0;0;0.0172;0.017;49;7.41e-05;0.658;0.000113;1;0.00949;0.0711;0.866;0.183;0.00152;0.0114; 13280;0;0;0.0194;0.0178;48;0.65;0.545;0.915;  0%;  0%;  0%;0.188;0.422;0.518;  0%;  0%;  0%;0.0832;0.485;0.529;  0%;  0%;  0%;0.322;0.309;1.39;  0%;  0%;  0%;0.0462;65;0.0304;34.9;0;0;0;0;0;0.0102;100;0;0;0;0;0;0;0;0.0109;95.6;0;4.38;0;0;0;0;0;0.0113;100;0;0;0;0;0;0;0;63.5;70.3;73.8;69.4;9.24 ;6.26 ;6.24 ;5.75 ;
2017-08-18;10:03:04.205;9.69e-05;0.509;0.00019;1;0.0594;0.397;0.85;0.2;0.00181;0.0121;0.0737;0.0695;32.8;64.4;2.11e+03;1.02;25.4;0.000194;0.00484;7.68;0.019;90.1;0.00789;9.84;0;0;0;0;0;277;27.3;0.00021;0.447;0.00047;1;0.0325;0.192;0.831;0.23;0.00183;0.0108; 22880;0;0;0.0188;0.0171;47;5.71e-05;0.626;9.12e-05;1;0.00875;0.0674;0.87;0.173;0.00181;0.014;  6560;0;0;0.0176;0.0172;48;5.55e-05;0.592;9.37e-05;1;0.00858;0.0673;0.873;0.162;0.00183;0.0144;  5520;0;0;0.0176;0.0172;49;6.49e-05;0.607;0.000107;1;0.00958;0.07;0.863;0.171;0.00175;0.0128; 13200;0;0;0.0198;0.018;48;0.848;0.704;1.1;  0%;  0%;  0%;0.235;0.458;0.691;  0%;  0%;  0%;0.117;0.64;0.572;  0%;  0%;  0%;0.368;0.343;1.6;  0%;  0%;  0%;0.047;72.4;0.0316;27.5;0;0;0;0;0;0.00912;100;0;0;0;0;0;0;0;0.00937;95.6;0;4.35;0;0;0;0;0;0.0107;92.5;0;7.46;0;0;0;0;0;64.8;70.5;73.9;67.7;9.16 ;6.23 ;6.18 ;5.73 ;
2017-08-18;10:03:05.211;9.49e-05;0.485;0.000196;1;0.0594;0.368;0.839;0.208;0.00185;0.0115;0.0725;0.0689;32.1;66.2;2.11e+03;0.97;24.3;0.00019;0.00475;6.11;0.0196;89.7;0.00758;10.2;0;0;0;0;0;276;27.5;0.000199;0.412;0.000482;1;0.0269;0.161;0.833;0.262;0.0016;0.00957; 23040;0;0;0.0188;0.0171;48;5.71e-05;0.612;9.33e-05;1;0.011;0.0687;0.839;0.164;0.00229;0.0142;  6560;0;0;0.0171;0.017;48;5.91e-05;0.593;9.96e-05;1;0.0108;0.0682;0.842;0.157;0.00215;0.0137;  5520;0;0;0.0172;0.017;49;6.48e-05;0.6;0.000108;1;0.0107;0.0708;0.848;0.162;0.00196;0.0129; 13280;0;0;0.0193;0.0178;48;0.632;0.518;0.886;  0%;  0%;  0%;0.168;0.407;0.496;  0%;  0%;  0%;0.078;0.47;0.498;  0%;  0%;  0%;0.3;0.294;1.36;  0%;  0%;  0%;0.0482;64;0.0303;36;0;0;0;0;0;0.00933;100;0;0;0;0;0;0;0;0.00996;100;0;0;0;0;0;0;0;0.0108;95;0;4.99;0;0;0;0;0;63.5;70.4;74.1;68;9.25 ;6.25 ;6.23 ;5.73 ;
2017-08-18;10:03:06.224;0.000103;0.463;0.000222;0.988;0.0629;0.425;0.852;0.184;0.00181;0.0122;0.0737;0.0694;34.8;75.2;2.11e+03;0.926;23.2;0.000205;0.00513;7.8;0.0224;87.2;0.00545;12.7;0;0.432;0;0;0;276;27.5;0.000218;0.426;0.000511;0.999;0.0336;0.201;0.833;0.221;0.00183;0.0109; 22960;0;0;0.0188;0.0171;47;6.22e-05;0.522;0.000119;0.946;0.00949;0.0739;0.872;0.149;0.0018;0.014;  6560;0;0;0.0175;0.0172;48;6.04e-05;0.495;0.000122;1;0.00928;0.0733;0.873;0.143;0.00181;0.0143;  5520;0;0;0.0175;0.0172;48;7.06e-05;0.523;0.000135;0.974;0.0105;0.0765;0.863;0.15;0.00174;0.0128; 13200;1;0;0.0198;0.018;48;0.852;0.717;1.12;  0%;  0%;  0%;0.228;0.478;0.699;  0%;  0%;  0%;0.121;0.655;0.567;  0%;  0%;  0%;0.366;0.349;1.65;  0%;  0%;  0%;0.0511;58.5;0.0218;41.4;0;0.223;0;0;0;0.0126;99.5;0;0.515;0;0.36;0;0;0;0.0122;98.6;0;1.43;0;0.515;0;0;0;0.0139;92.4;0;7.55;0;0.63;0;0;0;63;70.4;74.4;68.2;9.22 ;6.3 ;6.23 ;5.76 ;
