System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;09:57:32.114;0.000109;0.366;0.000298;0.789;0.075;0.449;0.833;0.159;0.00202;0.0121;0.0377;0.0333;37.1;101;2.12e+03;0.732;18.3;0.000218;0.00546;8.58;0.0378;15.8;0;84.2;0;54.9;0;0;0;117;21.4;0.000257;0.372;0.00069;0.798;0.0388;0.206;0.812;0.216;0.00178;0.00945; 31280;0;1;0.0122;0.0106;51;6e-05;0.352;0.000171;0.748;0.013;0.0849;0.847;0.0934;0.00255;0.0167;  2480;0;0;0.00264;0.00219;53;5.5e-05;0.346;0.000159;0.773;0.0108;0.0767;0.859;0.0992;0.00232;0.0164; 12000;0;0;0.00245;0.00212;55;6.52e-05;0.374;0.000174;0.81;0.0124;0.0818;0.848;0.116;0.00225;0.0148;  8320;0;0;0.0204;0.0185;53;0.886;0.706;1.2;  0%;  0%;  0%;0.272;0.542;0.789;  0%;  0%;  0%;0.148;0.639;0.574;  0%;  0%;  0%;0.392;0.405;2.03;  0%;  0%;  0%;0.0864;18.1;0;81.9;0;40.3;0;0;0;0.0228;9.58;0;90.4;0;89.5;0;0;0;0.0205;9.45;0;90.5;0;89.8;0;0;0;0.0215;25.9;0;74;0;0;0;0;0;29.9;27.9;29;30.2;6.76 ;4.68 ;4.85 ;5.09 ;
2017-08-18;09:57:33.125;0.000113;0.353;0.000321;0.804;0.0656;0.451;0.854;0.147;0.0017;0.0117;0.0606;0.0563;38.5;109;2.12e+03;0.706;17.7;0.000227;0.00567;7.45;0.04;17.6;0.00254;82.4;0;19.9;0;0;0;117;22.4;0.000256;0.359;0.000713;0.81;0.0315;0.202;0.845;0.208;0.00145;0.00931; 31440;0;0;0.0188;0.0172;52;6.08e-05;0.334;0.000182;0.81;0.0108;0.0833;0.87;0.0824;0.00209;0.0161;  2640;0;0;0.0177;0.0173;53;6.47e-05;0.346;0.000187;0.81;0.0103;0.0793;0.87;0.0825;0.00188;0.0144; 11840;0;0;0.0176;0.0173;55;7.19e-05;0.354;0.000203;0.773;0.013;0.0858;0.848;0.102;0.00213;0.0141;  8400;0;0;0.00636;0.00453;53;0.798;0.644;1.08;  0%;  0%;  0%;0.233;0.493;0.679;  0%;  0%;  0%;0.125;0.615;0.54;  0%;  0%;  0%;0.365;0.357;1.52;  0%;  0%;  0%;0.088;23;0.0101;76.9;0;0;0;0;0;0.0225;17.9;0;82;0;0;0;0;0;0.0231;17.7;0;82.2;0;0;0;0;0;0.0263;11.7;0;88.3;0;79.7;0;0;0;30.3;28.8;29.6;28.7;6.89 ;5.45 ;5.59 ;4.44 ;
2017-08-18;09:57:34.123;0.0001;0.439;0.000229;0.81;0.0667;0.405;0.835;0.165;0.00198;0.012;0.0733;0.0691;33.7;76.8;2.1e+03;0.878;22;0.000201;0.00502;7.79;0.0283;95.1;0;4.84;0;0;0;0;0;148;22.7;0.000212;0.408;0.00052;0.81;0.0324;0.185;0.825;0.212;0.00182;0.0104; 31440;0;0;0.0187;0.017;51;5.93e-05;0.459;0.000129;0.81;0.0125;0.0744;0.832;0.118;0.00252;0.015;  2480;0;0;0.0175;0.0171;53;5.57e-05;0.454;0.000123;0.81;0.0105;0.0712;0.853;0.114;0.00225;0.0152; 11920;0;0;0.0174;0.0171;54;7.49e-05;0.522;0.000143;0.81;0.0113;0.0747;0.849;0.133;0.0018;0.0119;  8480;1;0;0.0198;0.0179;52;0.862;0.666;1.06;  0%;  0%;  0%;0.274;0.507;0.714;  0%;  0%;  0%;0.153;0.642;0.568;  0%;  0%;  0%;0.37;0.39;1.58;  0%;  0%;  0%;0.0642;80.6;0;19.3;0;0;0;0;0;0.0159;100;0;0;0;0;0;0;0;0.0152;100;0;0;0;0;0;0;0;0.0177;100;0;0;0;0;0;0;0;35.8;36.7;37.9;37.6;6.85 ;5.37 ;5.48 ;5.01 ;
2017-08-18;09:57:35.132;9.93e-05;0.426;0.000233;0.81;0.0608;0.364;0.833;0.202;0.00181;0.0108;0.073;0.0692;33.7;79;2.12e+03;0.852;21.3;0.000199;0.00497;6.37;0.0288;93.1;0.00372;6.85;0;0;0;0;0;149;22.9;0.000198;0.379;0.000523;0.81;0.0273;0.149;0.817;0.254;0.00162;0.00887; 31280;0;0;0.0188;0.0172;51;6.67e-05;0.504;0.000133;0.81;0.0115;0.0722;0.841;0.16;0.00203;0.0128;  2480;0;0;0.0173;0.0171;53;6.08e-05;0.445;0.000136;0.81;0.0109;0.0696;0.844;0.156;0.00211;0.0135; 11920;0;0;0.0172;0.0171;54;7.16e-05;0.51;0.00014;0.81;0.0112;0.0727;0.846;0.171;0.00184;0.012;  8480;0;0;0.0196;0.0179;52;0.645;0.502;0.906;  0%;  0%;  0%;0.19;0.426;0.549;  0%;  0%;  0%;0.0794;0.489;0.553;  0%;  0%;  0%;0.327;0.309;1.39;  0%;  0%;  0%;0.0646;74.3;0.0149;25.6;0;0;0;0;0;0.0164;98.2;0;1.76;0;0;0;0;0;0.0169;100;0;0;0;0;0;0;0;0.0173;100;0;0;0;0;0;0;0;35.5;36.9;38.4;38;6.94 ;5.44 ;5.51 ;5.05 ;
2017-08-18;09:57:36.141;9.15e-05;0.452;0.000203;0.81;0.052;0.341;0.847;0.21;0.00168;0.011;0.0727;0.0691;31;68.7;2.12e+03;0.904;22.6;0.000183;0.00458;6;0.025;95.9;0.000261;4.09;0;0;0;0;0;150;22.9;0.000188;0.403;0.000465;0.81;0.0255;0.137;0.814;0.262;0.0016;0.00865; 31280;0;0;0.0188;0.0171;51;5.8e-05;0.505;0.000115;0.81;0.00936;0.0688;0.864;0.164;0.00191;0.014;  2560;0;1;0.0172;0.017;53;5.42e-05;0.505;0.000107;0.81;0.00821;0.0646;0.873;0.168;0.00179;0.0141; 11920;0;1;0.0171;0.017;54;6.65e-05;0.541;0.000123;0.81;0.00895;0.0699;0.872;0.179;0.00159;0.0124;  8480;0;0;0.0196;0.0178;52;0.614;0.457;0.858;  0%;  0%;  0%;0.166;0.416;0.524;  0%;  0%;  0%;0.0652;0.432;0.529;  0%;  0%;  0%;0.31;0.308;1.32;  0%;  0%;  0%;0.0574;83.6;0.00104;16.3;0;0;0;0;0;0.0142;100;0;0;0;0;0;0;0;0.0133;100;0;0;0;0;0;0;0;0.0152;100;0;0;0;0;0;0;0;36.4;37.2;38.4;38;6.89 ;5.44 ;5.51 ;5.06 ;
2017-08-18;09:57:37.149;9.65e-05;0.45;0.000215;0.81;0.0531;0.346;0.847;0.218;0.00162;0.0106;0.0729;0.0691;32.7;72.8;2.12e+03;0.899;22.5;0.000193;0.00483;6.18;0.0265;96.1;0.000593;3.87;0;0;0;0;0;150;22.9;0.000196;0.395;0.000495;0.81;0.026;0.144;0.819;0.265;0.00157;0.00869; 31440;0;0;0.0188;0.0171;52;5.8e-05;0.509;0.000114;0.81;0.00904;0.0661;0.863;0.18;0.00184;0.0135;  2560;0;1;0.0173;0.0171;53;5.55e-05;0.461;0.00012;0.81;0.00829;0.0655;0.874;0.174;0.00176;0.0139; 11920;0;0;0.0172;0.0171;54;7.72e-05;0.594;0.00013;0.81;0.00978;0.0708;0.862;0.187;0.00149;0.0108;  8640;0;0;0.0196;0.0179;52;0.624;0.485;0.898;  0%;  0%;  0%;0.175;0.431;0.523;  0%;  0%;  0%;0.082;0.446;0.521;  0%;  0%;  0%;0.316;0.302;1.38;  0%;  0%;  0%;0.0611;84.5;0.00237;15.5;0;0;0;0;0;0.0141;100;0;0;0;0;0;0;0;0.0149;100;0;0;0;0;0;0;0;0.0161;100;0;0;0;0;0;0;0;36.3;37.2;38.4;38;6.9 ;5.42 ;5.51 ;5.05 ;
2017-08-18;09:57:38.158;0.000162;0.661;0.000245;0.81;0.0566;0.436;0.87;0.217;0.00103;0.00796;0.073;0.0692;54.8;83;2.12e+03;1.32;33;0.000323;0.00808;6.36;0.0302;94.5;1.15e-05;5.44;0;0;0;0;0;149;23;0.000192;0.399;0.000483;0.81;0.0253;0.144;0.824;0.264;0.00155;0.00883; 31280;0;0;0.0189;0.0172;51;5.78e-05;0.5;0.000116;0.81;0.00919;0.0678;0.864;0.176;0.00187;0.0138;  2560;0;0;0.0173;0.0171;53;5.87e-05;0.52;0.000113;0.81;0.00971;0.0677;0.857;0.171;0.00195;0.0136; 11920;0;0;0.0173;0.0171;54;0.000338;1.26;0.000268;0.81;0.0123;0.157;0.921;0.207;0.000431;0.00547;  8720;0;0;0.0196;0.0178;52;0.605;0.487;0.948;  0%;  0%;  0%;0.176;0.45;0.513;  0%;  0%;  0%;0.0826;0.46;0.561;  0%;  0%;  0%;0.364;0.349;1.36;  0%;  0%;  0%;0.0596;81.4;4.59e-05;18.5;0;0;0;0;0;0.0143;96.8;0;3.23;0;0;0;0;0;0.0139;100;0;0;0;0;0;0;0;0.0331;100;0;0;0;0;0;0;0;36.3;36.6;38.4;38.1;6.94 ;5.44 ;5.52 ;5.08 ;
2017-08-18;09:57:39.167;0.0001;0.413;0.000243;0.81;0.0529;0.359;0.853;0.214;0.00155;0.0105;0.0729;0.0692;34;82.5;2.12e+03;0.825;20.6;0.000201;0.00502;6.3;0.03;81.3;0.00373;18.6;0;0;0;0;0;144;22.9;0.000199;0.347;0.000573;0.81;0.0257;0.152;0.831;0.249;0.00153;0.00902; 31280;0;0;0.0188;0.0172;52;6.62e-05;0.51;0.00013;0.81;0.00958;0.0696;0.862;0.184;0.00171;0.0124;  2720;0;0;0.0173;0.0171;53;6.12e-05;0.46;0.000133;0.81;0.00822;0.0658;0.875;0.188;0.00158;0.0127; 11920;0;0;0.0172;0.0171;54;7.52e-05;0.549;0.000137;0.81;0.0094;0.0714;0.868;0.19;0.00147;0.0112;  8720;0;0;0.0196;0.0179;52;0.631;0.495;0.89;  0%;  0%;  0%;0.189;0.427;0.531;  0%;  0%;  0%;0.0809;0.473;0.54;  0%;  0%;  0%;0.339;0.339;1.36;  0%;  0%;  0%;0.0708;30.1;0.0149;69.8;0;0;0;0;0;0.016;95.3;0;4.73;0;0;0;0;0;0.0164;100;0;0;0;0;0;0;0;0.0169;100;0;0;0;0;0;0;0;31;36.4;38.4;38.1;6.91 ;5.42 ;5.52 ;5.05 ;
2017-08-18;09:57:40.176;9.54e-05;0.448;0.000213;0.81;0.0528;0.353;0.85;0.205;0.00163;0.0109;0.0727;0.0691;32.3;72.1;2.12e+03;0.896;22.4;0.000191;0.00477;6.06;0.0263;95.1;0.00199;4.9;0;0;0;0;0;150;22.9;0.000194;0.39;0.000497;0.81;0.0261;0.148;0.824;0.245;0.00159;0.00902; 31360;0;0;0.0188;0.0172;52;5.9e-05;0.497;0.000119;0.81;0.0094;0.0695;0.865;0.168;0.00188;0.0139;  2720;0;0;0.0172;0.0171;53;5.49e-05;0.507;0.000108;0.81;0.00826;0.0658;0.874;0.171;0.00177;0.0141; 11920;0;1;0.0172;0.0171;54;7.38e-05;0.58;0.000127;0.81;0.0091;0.0697;0.869;0.183;0.00145;0.0111;  8720;0;0;0.0195;0.0178;52;0.629;0.471;0.875;  0%;  0%;  0%;0.176;0.4;0.538;  0%;  0%;  0%;0.0867;0.448;0.512;  0%;  0%;  0%;0.305;0.302;1.31;  0%;  0%;  0%;0.0614;83.3;0.00796;16.6;0;0;0;0;0;0.0146;98.5;0;1.47;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;0.0157;98.5;0;1.48;0;0;0;0;0;36.3;36.9;38.4;38;6.91 ;5.41 ;5.5 ;5.07 ;
2017-08-18;09:57:41.185;0.000102;0.436;0.000235;0.81;0.0604;0.404;0.851;0.191;0.00174;0.0117;0.074;0.0697;34.7;79.5;2.12e+03;0.872;21.8;0.000205;0.00511;7.67;0.029;92.3;0.00265;7.66;0;0;0;0;0;149;22.9;0.000224;0.393;0.00057;0.81;0.0325;0.199;0.837;0.208;0.00171;0.0105; 31440;0;0;0.0188;0.0172;51;5.86e-05;0.506;0.000116;0.81;0.00928;0.0685;0.864;0.17;0.00187;0.0138;  2880;0;0;0.0176;0.0172;53;5.59e-05;0.459;0.000122;0.81;0.00868;0.0663;0.869;0.17;0.00183;0.014; 11920;0;0;0.0176;0.0172;54;7.07e-05;0.54;0.000131;0.81;0.00996;0.0705;0.859;0.179;0.00166;0.0118;  8560;0;0;0.02;0.0181;52;0.841;0.672;1.1;  0%;  0%;  0%;0.228;0.45;0.723;  0%;  0%;  0%;0.113;0.647;0.576;  0%;  0%;  0%;0.366;0.354;1.6;  0%;  0%;  0%;0.0704;74.3;0.0106;25.6;0;0;0;0;0;0.0143;99.2;0;0.799;0;0;0;0;0;0.015;99.9;0;0.0416;0;0;0;0;0;0.0162;95.8;0;4.19;0;0;0;0;0;35.6;37;38.5;37.7;6.92 ;5.44 ;5.49 ;5.05 ;
