System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-08-18;09:40:36.642;0.000105;0.355;0.000295;0.796;0.06;0.4;0.85;0.187;0.00169;0.0113;0.0521;0.0483;35.5;100;2.12e+03;0.709;17.7;0.000209;0.00523;6.9;0.037;20.2;0;79.8;0;31.7;0;0;0;119;21.9;0.000234;0.352;0.000665;0.801;0.0308;0.16;0.807;0.282;0.00155;0.00805; 31600;0;0;0.0189;0.0173;52;6.46e-05;0.363;0.000178;0.782;0.0111;0.084;0.868;0.101;0.00202;0.0153;  3280;0;0;0.00595;0.00567;54;5.79e-05;0.336;0.000172;0.778;0.00862;0.0771;0.888;0.104;0.00175;0.0157;  7040;0;0;0.00737;0.00725;55;6.2e-05;0.378;0.000164;0.81;0.00954;0.0789;0.879;0.12;0.00181;0.015; 14640;0;0;0.0199;0.0182;53;0.663;0.503;0.943;  0%;  0%;  0%;0.242;0.51;0.568;  0%;  0%;  0%;0.116;0.459;0.522;  0%;  0%;  0%;0.332;0.35;1.69;  0%;  0%;  0%;0.0829;23.7;0;76.2;0;0;0;0;0;0.0228;13;0;87;0;68.2;0;0;0;0.0221;13.8;0;86.2;0;58.5;0;0;0;0.0203;30.2;0;69.8;0;0;0;0;0;30.2;28.2;29.4;30.8;6.94 ;4.86 ;5.04 ;5.09 ;
2017-08-18;09:40:37.653;0.000116;0.383;0.000302;0.803;0.0627;0.481;0.87;0.148;0.00159;0.0122;0.0614;0.0571;39.3;103;2.12e+03;0.766;19.1;0.000231;0.00579;7.84;0.0377;31.5;0.00091;68.4;0;19.1;0;0;0;123;22.4;0.000264;0.387;0.000683;0.81;0.033;0.238;0.861;0.199;0.00147;0.0106; 31680;0;1;0.0188;0.0173;52;6.7e-05;0.391;0.000172;0.81;0.0101;0.0829;0.879;0.0888;0.00177;0.0146;  3280;0;0;0.0179;0.0174;53;6.38e-05;0.372;0.000172;0.781;0.00846;0.0785;0.892;0.0823;0.00156;0.0145;  7040;0;0;0.0112;0.0109;55;6.77e-05;0.37;0.000183;0.794;0.0112;0.0821;0.864;0.105;0.00194;0.0143; 14560;0;0;0.0134;0.0116;53;0.865;0.675;1.11;  0%;  0%;  0%;0.261;0.496;0.793;  0%;  0%;  0%;0.148;0.647;0.541;  0%;  0%;  0%;0.369;0.389;1.55;  0%;  0%;  0%;0.0844;43.1;0.00364;56.8;0;0;0;0;0;0.0212;37.6;0;62.4;0;0;0;0;0;0.022;23.6;0;76.3;0;38.1;0;0;0;0.023;21.9;0;78.1;0;38.2;0;0;0;32.1;30.5;30.4;29.8;6.91 ;5.41 ;5.23 ;4.8 ;
2017-08-18;09:40:38.652;0.000173;0.617;0.00028;0.81;0.0578;0.454;0.873;0.197;0.000997;0.00782;0.0722;0.0687;58;93.9;2.1e+03;1.23;30.9;0.000345;0.00863;5.93;0.0346;89.8;0.000853;10.2;0;0;0;0;0;145;22.7;0.000205;0.396;0.000518;0.81;0.0215;0.142;0.849;0.262;0.00125;0.00826; 31600;0;0;0.0188;0.0171;52;7.15e-05;0.486;0.000147;0.81;0.0128;0.076;0.831;0.127;0.00214;0.0127;  3280;0;0;0.0173;0.017;53;6.37e-05;0.413;0.000154;0.81;0.0102;0.0734;0.861;0.127;0.0019;0.0137;  7040;0;0;0.0171;0.017;55;0.00035;1.17;0.0003;0.81;0.0132;0.162;0.918;0.196;0.000451;0.0055; 14720;0;1;0.0189;0.0176;53;0.595;0.433;0.841;  0%;  0%;  0%;0.247;0.438;0.469;  0%;  0%;  0%;0.111;0.394;0.511;  0%;  0%;  0%;0.353;0.356;1.18;  0%;  0%;  0%;0.064;65.5;0.00341;34.4;0;0;0;0;0;0.0182;95.2;0;4.74;0;0;0;0;0;0.0191;98.3;0;1.63;0;0;0;0;0;0.037;100;0;0;0;0;0;0;0;34.3;36.2;37.5;37.4;6.84 ;5.36 ;5.45 ;5.03 ;
2017-08-18;09:40:39.661;0.000101;0.446;0.000226;0.81;0.0626;0.397;0.842;0.196;0.00183;0.0116;0.0741;0.0698;34.1;76.6;2.12e+03;0.891;22.3;0.000201;0.00503;7.84;0.0279;91.2;0;8.76;0;0;0;0;0;148;22.9;0.000218;0.4;0.000544;0.81;0.0336;0.189;0.822;0.229;0.00182;0.0102; 31680;0;0;0.0188;0.0172;52;6.15e-05;0.518;0.000119;0.81;0.00958;0.0693;0.862;0.159;0.00184;0.0133;  3280;0;0;0.0177;0.0173;53;5.55e-05;0.49;0.000113;0.81;0.00882;0.0677;0.87;0.157;0.00187;0.0144;  7040;0;0;0.0176;0.0172;55;6.8e-05;0.532;0.000128;0.81;0.0107;0.0716;0.851;0.171;0.00185;0.0124; 14560;0;0;0.02;0.0181;53;0.84;0.678;1.14;  0%;  0%;  0%;0.242;0.469;0.724;  0%;  0%;  0%;0.125;0.638;0.583;  0%;  0%;  0%;0.378;0.362;1.66;  0%;  0%;  0%;0.0672;64.9;0;35;0;0;0;0;0;0.0146;100;0;0;0;0;0;0;0;0.014;100;0;0;0;0;0;0;0;0.0158;100;0;0;0;0;0;0;0;34.5;37.2;38.1;37.8;6.89 ;5.43 ;5.52 ;5.03 ;
2017-08-18;09:40:40.669;9.55e-05;0.455;0.00021;0.81;0.0595;0.346;0.828;0.211;0.00184;0.0107;0.0728;0.0691;32.4;71.2;2.12e+03;0.91;22.7;0.000191;0.00478;6.15;0.0259;97.1;0;2.84;0;0;0;0;0;150;22.8;0.00019;0.408;0.000465;0.81;0.0265;0.139;0.809;0.27;0.00165;0.00862; 31600;0;0;0.0188;0.0172;52;6.38e-05;0.537;0.000119;0.81;0.0111;0.0685;0.838;0.163;0.00205;0.0127;  3280;0;0;0.0173;0.0171;53;5.73e-05;0.448;0.000128;0.81;0.011;0.0681;0.838;0.162;0.00227;0.014;  7040;0;0;0.0172;0.0171;55;7.13e-05;0.553;0.000129;0.81;0.011;0.0703;0.844;0.174;0.00181;0.0116; 14720;0;0;0.0195;0.0178;53;0.604;0.509;0.879;  0%;  0%;  0%;0.189;0.406;0.523;  0%;  0%;  0%;0.0799;0.49;0.512;  0%;  0%;  0%;0.316;0.311;1.33;  0%;  0%;  0%;0.0574;88.6;0;11.3;0;0;0;0;0;0.0147;100;0;0;0;0;0;0;0;0.0158;100;0;0;0;0;0;0;0;0.0159;100;0;0;0;0;0;0;0;37.1;37.3;38.2;37.9;6.87 ;5.42 ;5.5 ;5.05 ;
2017-08-18;09:40:41.678;9.52e-05;0.451;0.000211;0.81;0.0526;0.343;0.847;0.221;0.00163;0.0106;0.0728;0.0691;32.3;71.5;2.12e+03;0.903;22.6;0.00019;0.00476;6.19;0.026;95.2;0.00195;4.8;0;0;0;0;0;149;22.9;0.00019;0.387;0.000491;0.81;0.0255;0.14;0.818;0.276;0.00158;0.00869; 31600;0;0;0.0187;0.0171;52;5.82e-05;0.52;0.000112;0.81;0.00927;0.0675;0.863;0.175;0.00188;0.0137;  3360;0;0;0.0172;0.0171;53;6.61e-05;0.568;0.000116;0.81;0.00841;0.0665;0.873;0.175;0.0015;0.0119;  7040;0;0;0.0172;0.0171;54;6.66e-05;0.535;0.000124;0.81;0.00942;0.0693;0.864;0.183;0.00167;0.0123; 14880;0;0;0.0197;0.0179;53;0.613;0.468;0.902;  0%;  0%;  0%;0.179;0.426;0.516;  0%;  0%;  0%;0.086;0.437;0.526;  0%;  0%;  0%;0.321;0.322;1.39;  0%;  0%;  0%;0.0606;80.7;0.0078;19.2;0;0;0;0;0;0.0138;100;0;0;0;0;0;0;0;0.0144;100;0;0;0;0;0;0;0;0.0154;100;0;0;0;0;0;0;0;36.2;37.1;38.1;37.9;6.9 ;5.39 ;5.51 ;5.06 ;
2017-08-18;09:40:42.687;0.000106;0.46;0.00023;0.81;0.0526;0.384;0.863;0.211;0.00147;0.0107;0.0734;0.0695;35.8;77.9;2.12e+03;0.921;23;0.000211;0.00529;6.62;0.0284;93.4;0.00115;6.58;0;0;0;0;0;149;22.8;0.000217;0.415;0.000522;0.81;0.0267;0.179;0.851;0.236;0.00146;0.00975; 31760;1;0;0.0189;0.0172;52;6.43e-05;0.521;0.000124;0.81;0.00858;0.0678;0.873;0.188;0.00157;0.0124;  3440;0;0;0.0176;0.0172;53;7.05e-05;0.513;0.000137;0.81;0.00821;0.0674;0.878;0.185;0.00137;0.0113;  7040;0;0;0.0176;0.0172;54;7.13e-05;0.526;0.000135;0.81;0.00908;0.0695;0.869;0.189;0.0015;0.0115; 14720;0;0;0.0194;0.0179;52;0.746;0.595;0.933;  0%;  0%;  0%;0.237;0.363;0.631;  0%;  0%;  0%;0.118;0.57;0.489;  0%;  0%;  0%;0.335;0.303;1.3;  0%;  0%;  0%;0.0645;76.2;0.0046;23.7;0;0;0;0;0;0.0153;100;0;0;0;0;0;0;0;0.017;100;0;0;0;0;0;0;0;0.0167;97.4;0;2.63;0;0;0;0;0;35.7;37.1;38.2;37.8;6.89 ;5.38 ;5.5 ;5.06 ;
2017-08-18;09:40:43.696;9.97e-05;0.441;0.000226;0.81;0.0652;0.393;0.834;0.198;0.00193;0.0116;0.074;0.0697;33.8;76.7;2.12e+03;0.882;22;0.000199;0.00499;7.62;0.0279;93;0.00141;6.94;0;0;0;0;0;149;22.9;0.000214;0.392;0.000546;0.81;0.0329;0.189;0.826;0.233;0.00181;0.0104; 31840;0;0;0.0188;0.0171;52;5.73e-05;0.5;0.000115;0.81;0.0105;0.0667;0.842;0.166;0.00217;0.0137;  3440;0;0;0.0176;0.0172;53;6.23e-05;0.54;0.000115;0.81;0.0104;0.0673;0.846;0.157;0.00196;0.0128;  7040;0;0;0.0176;0.0172;54;6.56e-05;0.507;0.000129;0.81;0.0115;0.0703;0.837;0.166;0.00206;0.0127; 14720;0;0;0.02;0.0181;53;0.834;0.669;1.11;  0%;  0%;  0%;0.241;0.433;0.72;  0%;  0%;  0%;0.117;0.649;0.565;  0%;  0%;  0%;0.369;0.348;1.57;  0%;  0%;  0%;0.0674;76.4;0.00566;23.5;0;0;0;0;0;0.0142;100;0;0;0;0;0;0;0;0.0142;100;0;0;0;0;0;0;0;0.016;95.7;0;4.25;0;0;0;0;0;35.7;37.2;38.2;37.7;6.9 ;5.38 ;5.52 ;5.06 ;
2017-08-18;09:40:44.705;9.36e-05;0.437;0.000214;0.81;0.0581;0.345;0.832;0.214;0.00183;0.0109;0.0727;0.0691;31.7;72.6;2.12e+03;0.873;21.8;0.000187;0.00468;6.03;0.0265;92.7;0.00181;7.25;0;0;0;0;0;149;22.9;0.00019;0.39;0.000487;0.81;0.0253;0.139;0.818;0.276;0.00157;0.00864; 31840;0;0;0.0188;0.0172;52;5.77e-05;0.509;0.000113;0.81;0.0115;0.0685;0.832;0.164;0.00236;0.014;  3440;0;0;0.0172;0.017;53;6.12e-05;0.482;0.000127;0.81;0.0106;0.067;0.842;0.161;0.00205;0.0129;  7040;0;0;0.0172;0.017;54;6.54e-05;0.504;0.00013;0.81;0.0106;0.0704;0.849;0.168;0.00192;0.0127; 14880;0;0;0.0195;0.0178;53;0.625;0.478;0.856;  0%;  0%;  0%;0.18;0.4;0.515;  0%;  0%;  0%;0.0772;0.453;0.523;  0%;  0%;  0%;0.315;0.3;1.31;  0%;  0%;  0%;0.0601;77.6;0.00725;22.3;0;0;0;0;0;0.014;100;0;0;0;0;0;0;0;0.0157;100;0;0;0;0;0;0;0;0.016;93.3;0;6.69;0;0;0;0;0;36;37.2;38.2;37.6;6.9 ;5.41 ;5.5 ;5.06 ;
2017-08-18;09:40:45.714;9.43e-05;0.451;0.000209;0.81;0.0521;0.34;0.847;0.222;0.00163;0.0106;0.0727;0.0691;32;70.9;2.12e+03;0.901;22.5;0.000189;0.00472;6.08;0.0258;94.6;0.00145;5.37;0;0;0;0;0;149;22.8;0.000189;0.388;0.000488;0.81;0.0256;0.137;0.814;0.28;0.0016;0.00857; 31840;0;0;0.0187;0.0171;51;5.76e-05;0.522;0.00011;0.81;0.00892;0.0668;0.866;0.179;0.00183;0.0137;  3440;0;0;0.0172;0.017;53;6.42e-05;0.561;0.000114;0.809;0.00852;0.0662;0.871;0.172;0.00157;0.0122;  7040;0;0;0.0172;0.017;54;6.62e-05;0.534;0.000124;0.81;0.00909;0.0695;0.869;0.178;0.00162;0.0124; 14880;0;0;0.0197;0.0179;52;0.609;0.476;0.868;  0%;  0%;  0%;0.17;0.42;0.505;  0%;  0%;  0%;0.0685;0.452;0.542;  0%;  0%;  0%;0.324;0.301;1.35;  0%;  0%;  0%;0.0603;82.6;0.00582;17.4;0;0;0;0;0;0.0136;100;0;0;0;0;0;0;0;0.0141;97.5;0;2.47;0;0;0;0;0;0.0153;98.3;0;1.64;0;0;0;0;0;36.3;37.2;37.9;37.9;6.9 ;5.38 ;5.48 ;5.06 ;
