System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;14:00:02.961;0.0348;0.428;0.0814;0.76;304;408;0.255;0.212;0.0255;0.0342;34.5;26.3;1.19e+04;2.79e+04;2.12e+03;0.856;21.4;0.0697;1.74;5.66e+04;10.7;30.2;1.68;57.4;0;18.4;0;0;0;232;78.7;0.0641;0.427;0.15;0.761;143;187;0.236;0.194;0.0261;0.0341; 52000;4986;15324;8.74;5.94;46;0.0694;0.44;0.158;0.761;161;219;0.268;0.224;0.0271;0.037; 54320;5401;16712;8.56;5.62;47;0.00532;0.314;0.0169;0.757;0.36;1.21;0.702;0.415;0.000792;0.00266; 36720;6;43;8.4;7.17;50;0.000578;0.505;0.00114;0.762;0.161;0.506;0.682;0.364;0.00325;0.0102; 26240;7;17;8.8;7.58;50;8.59e+03;3.35e+03;3.47e+03; 43%; 17%; 17%;3.45e+03;3.62e+03;8.21e+03; 17%; 18%; 41%;5.89e+03;5.59e+03;1.23e+03; 30%; 28%;  6%;1.23e+03;6.2e+03;5.76e+03;  6%; 31%; 29%;19.7;41.7;5.56;33;0;11.1;0;0;0;20.7;36.3;1.1;41.9;0;21.6;0;0;0;2.23;15;0.0153;82.8;0;40.8;0;0;0;0.15;28.1;0.0278;71.8;0;0;0;0;0;65.2;64.4;52.8;49.8;19.7 ;19 ;20.7 ;19.4 ;
2017-09-01;14:00:03.977;0.0504;0.41;0.123;0.762;464;603;0.23;0.199;0.027;0.035;51.4;38.8;1.72e+04;4.19e+04;2.14e+03;0.821;20.5;0.101;2.52;8.62e+04;16.1;44.1;4.01;35.7;0;17.8;0;0;0;300;101;0.1;0.408;0.246;0.762;230;295;0.22;0.19;0.0268;0.0344; 48800;7498;24736;13;8.57;44;0.101;0.412;0.244;0.762;234;307;0.237;0.207;0.0272;0.0357; 54640;7071;24929;12.7;8.55;46;0.000134;0.603;0.000222;0.739;0.0378;0.282;0.866;0.0379;0.00331;0.0247; 36960;1;2;12.5;10.5;50;0.000229;0.864;0.000265;0.756;0.0278;0.678;0.959;0.0184;0.00142;0.0348; 26400;1;0;13.1;11.1;49;1.33e+04;4.68e+03;5.42e+03; 68%; 23%; 27%;5.39e+03;5.11e+03;1.33e+04; 27%; 26%; 68%;9.3e+03;8e+03;1.84e+03; 47%; 40%;  9%;1.84e+03;8.63e+03;9.39e+03;  9%; 44%; 48%;32.3;52;11.1;4.64;0;0;0;0;0;32;54.6;4.96;8.42;0;0;0;0;0;0.03;48.6;0.0289;51.4;0;35.1;0;0;0;0.035;21.4;0;78.5;0;36.1;0;0;0;85.8;85.6;68.2;59.9;25 ;24.6 ;26.6 ;25.2 ;
2017-09-01;14:00:04.980;0.0498;0.407;0.122;0.762;451;583;0.226;0.194;0.0269;0.0348;50.2;37.9;1.68e+04;4.12e+04;2.1e+03;0.813;20.3;0.0996;2.49;8.4e+04;16.1;65.6;4.29;14;0;0.00393;0;0;0;305;99.6;0.102;0.402;0.253;0.762;229;293;0.217;0.184;0.0268;0.0342; 50400;7418;24556;12.7;8.35;44;0.0968;0.41;0.236;0.762;222;288;0.231;0.205;0.0272;0.0354; 57280;6895;23502;12.4;8.35;46;0.00033;0.775;0.000425;0.762;0.0545;0.909;0.94;0.0258;0.00196;0.0327; 36960;0;5;12.3;10.3;49;0.000275;0.915;0.0003;0.762;0.026;0.778;0.967;0.0215;0.00112;0.0336; 26160;0;3;12.8;10.8;49;1.29e+04;4.6e+03;5.54e+03; 66%; 23%; 28%;5.23e+03;4.74e+03;1.3e+04; 27%; 24%; 67%;9.02e+03;7.87e+03;1.8e+03; 46%; 40%;  9%;1.8e+03;7.95e+03;9.63e+03;  9%; 41%; 50%;33.3;50.7;12.2;3.76;0;0.0157;0;0;0;31;56;4.93;8.07;0;0;0;0;0;0.0558;66.9;0.011;33.1;0;0;0;0;0;0.0394;88.8;0;11.2;0;0;0;0;0;85.2;84.1;69.1;66.1;24.5 ;24.6 ;26 ;24.6 ;
2017-09-01;14:00:05.997;0.0497;0.4;0.124;0.762;462;614;0.247;0.209;0.0272;0.0361;50.7;38.5;1.7e+04;4.25e+04;2.14e+03;0.8;20;0.0994;2.49;8.64e+04;16.3;60.5;2.86;20.3;0;0;0;0;0;307;101;0.0991;0.393;0.252;0.761;228;295;0.229;0.192;0.0269;0.0348; 52640;6969;24613;12.8;8.62;44;0.0994;0.407;0.244;0.762;234;318;0.264;0.224;0.0276;0.0374; 53040;6594;25203;12.5;8.56;45;0.000137;0.596;0.00023;0.762;0.0394;0.281;0.86;0.0493;0.00337;0.0241; 36960;0;2;12.4;10.4;49;0.00011;0.707;0.000156;0.762;0.0188;0.23;0.918;0.0525;0.002;0.0245; 26160;0;1;12.9;10.9;49;1.37e+04;4.35e+03;5.57e+03; 70%; 22%; 28%;5.63e+03;4.85e+03;1.37e+04; 28%; 24%; 70%;9.78e+03;7.34e+03;1.82e+03; 50%; 37%;  9%;1.82e+03;8.12e+03;9.7e+03;  9%; 41%; 49%;33.1;51;10.6;5.34;0;0;0;0;0;32.1;54.3;0.856;12.7;0;0;0;0;0;0.0301;61.7;0;38.2;0;0;0;0;0;0.0205;75;0;25;0;0;0;0;0;85.9;85.5;69.6;65.7;24.8 ;24.8 ;26.6 ;25 ;
2017-09-01;14:00:07.017;0.0495;0.397;0.125;0.762;461;611;0.245;0.207;0.0272;0.036;51.1;38.7;1.7e+04;4.27e+04;2.14e+03;0.794;19.8;0.099;2.47;8.69e+04;16.4;63.6;2.67;17.3;0;0;0;0;0;308;102;0.101;0.392;0.257;0.761;232;301;0.227;0.19;0.0269;0.0348; 50880;6987;25286;12.9;8.62;44;0.097;0.402;0.241;0.762;229;309;0.26;0.223;0.0275;0.0372; 50480;6663;24263;12.7;8.63;45;0.000139;0.587;0.000236;0.762;0.0437;0.269;0.837;0.0579;0.00368;0.0226; 36880;0;3;12.5;10.5;49;0.000111;0.741;0.00015;0.762;0.0175;0.244;0.928;0.0478;0.00184;0.0258; 26080;0;1;13;11;49;1.37e+04;4.41e+03;5.87e+03; 69%; 22%; 29%;5.64e+03;4.63e+03;1.38e+04; 28%; 23%; 70%;9.77e+03;7.46e+03;1.83e+03; 49%; 38%;  9%;1.83e+03;7.69e+03;1.03e+04;  9%; 39%; 52%;33.8;51.4;10.3;4.57;0;0;0;0;0;31.7;55;0.41;12.9;0;0;0;0;0;0.031;71.2;0;28.8;0;0;0;0;0;0.0196;76.8;0;23.1;0;0;0;0;0;86.3;85;70.8;66;24.8 ;25.1 ;26.6 ;25.1 ;
2017-09-01;14:00:08.036;0.0509;0.417;0.122;0.762;471;628;0.25;0.208;0.0271;0.036;52.2;39.5;1.74e+04;4.18e+04;2.14e+03;0.833;20.8;0.102;2.54;8.73e+04;16;59;3.05;21.9;0;0;0;0;0;306;103;0.103;0.413;0.248;0.761;234;306;0.236;0.193;0.0266;0.0349; 57360;7410;24792;13.2;8.82;44;0.101;0.42;0.24;0.762;237;322;0.262;0.222;0.0275;0.0373; 56160;7485;25239;12.9;8.66;45;0.000137;0.577;0.000237;0.762;0.0349;0.282;0.876;0.0477;0.00299;0.0241; 36800;0;0;12.8;10.7;49;8.51e-05;0.62;0.000137;0.762;0.0195;0.142;0.862;0.0811;0.00268;0.0194; 26080;1;0;13.3;11.3;48;1.35e+04;4.82e+03;5.62e+03; 68%; 24%; 28%;5.4e+03;5.05e+03;1.34e+04; 27%; 25%; 68%;9.33e+03;8.24e+03;1.87e+03; 47%; 42%;  9%;1.87e+03;8.56e+03;9.7e+03;  9%; 43%; 49%;32.6;50.5;11.4;5.59;0;0;0;0;0;31.6;54.8;0.806;12.8;0;0;0;0;0;0.0311;51.9;0.0491;48;0;0;0;0;0;0.018;78.9;0;21.1;0;0;0;0;0;85.7;85.1;68.9;66.3;25.2 ;25.4 ;26.9 ;25.5 ;
2017-09-01;14:00:09.056;0.0506;0.408;0.124;0.762;467;607;0.231;0.196;0.0269;0.035;51.9;39.1;1.73e+04;4.24e+04;2.14e+03;0.816;20.4;0.101;2.53;8.71e+04;16.3;54.8;4.22;24.8;0;0.00534;0;0;0;305;102;0.104;0.409;0.254;0.762;237;306;0.227;0.185;0.0266;0.0345; 50320;7320;25526;13.1;8.66;43;0.0982;0.407;0.241;0.762;230;300;0.234;0.206;0.0273;0.0357; 51600;7190;24639;12.9;8.63;45;0.000171;0.623;0.000274;0.762;0.0375;0.394;0.905;0.0394;0.00256;0.027; 36880;0;1;12.7;10.6;49;0.000136;0.708;0.000192;0.762;0.0204;0.296;0.931;0.0465;0.00175;0.0254; 26080;0;0;13.2;11.2;49;1.34e+04;4.64e+03;5.91e+03; 68%; 23%; 30%;5.51e+03;4.7e+03;1.35e+04; 28%; 24%; 69%;9.53e+03;7.92e+03;1.86e+03; 48%; 40%;  9%;1.86e+03;7.91e+03;1.03e+04;  9%; 40%; 52%;33.3;51;12;3.77;0;0.0213;0;0;0;31.7;54.3;4.91;9.14;0;0;0;0;0;0.036;44.5;0.00471;55.4;0;0;0;0;0;0.0252;69.3;0;30.7;0;0;0;0;0;86.2;85.2;68;65.2;24.6 ;24.6 ;27 ;25.5 ;
2017-09-01;14:00:10.077;0.0502;0.401;0.125;0.762;467;624;0.251;0.21;0.0271;0.0362;51.4;39.1;1.72e+04;4.29e+04;2.14e+03;0.802;20;0.1;2.51;8.71e+04;16.4;56.1;2.48;25;0;0.0155;0;0;0;305;102;0.102;0.397;0.256;0.762;233;304;0.233;0.193;0.0268;0.035; 56480;7203;25058;13;8.74;44;0.0987;0.405;0.244;0.762;234;318;0.266;0.226;0.0276;0.0376; 53040;6979;24919;12.7;8.68;44;0.000202;0.7;0.000288;0.762;0.0473;0.504;0.906;0.0319;0.00273;0.0291; 37280;0;2;12.6;10.5;49;0.00011;0.715;0.000154;0.762;0.0154;0.244;0.937;0.047;0.00163;0.0258; 26080;0;1;13.1;11.1;48;1.37e+04;4.61e+03;5.71e+03; 69%; 23%; 29%;5.49e+03;4.85e+03;1.37e+04; 27%; 24%; 69%;9.49e+03;7.84e+03;1.85e+03; 48%; 39%;  9%;1.85e+03;8.14e+03;9.92e+03;  9%; 41%; 50%;33.6;51.3;9.42;5.66;0;0.0621;0;0;0;32;53.5;0.485;13.9;0;0;0;0;0;0.0378;45.5;0.00341;54.4;0;0;0;0;0;0.0202;74.2;0;25.8;0;0;0;0;0;86.1;84.9;68.3;65.9;24.7 ;24.4 ;27.1 ;25.6 ;
2017-09-01;14:00:11.094;0.0491;0.391;0.126;0.762;457;612;0.253;0.211;0.0272;0.0364;50.2;38.2;1.68e+04;4.3e+04;2.15e+03;0.782;19.5;0.0982;2.46;8.62e+04;16.5;57.5;2.69;23.3;0;0.00792;0;0;0;304;101;0.0985;0.391;0.252;0.762;225;298;0.244;0.198;0.0267;0.0354; 58960;6320;24705;12.7;8.68;43;0.0976;0.39;0.25;0.762;232;313;0.259;0.223;0.0278;0.0375; 54800;6695;24731;12.4;8.46;44;0.000155;0.677;0.00023;0.762;0.0411;0.348;0.882;0.0478;0.0031;0.0262; 36720;0;1;12.3;10.3;48;0.000127;0.756;0.000168;0.762;0.018;0.295;0.939;0.0413;0.00166;0.0272; 26480;0;3;12.8;10.8;48;1.4e+04;4.34e+03;5.82e+03; 71%; 22%; 29%;5.54e+03;4.5e+03;1.38e+04; 28%; 23%; 70%;9.74e+03;7.24e+03;1.8e+03; 49%; 37%;  9%;1.8e+03;7.56e+03;1.01e+04;  9%; 38%; 51%;33.1;49.9;10;7.03;0;0.0316;0;0;0;32.8;54.9;0.712;11.6;0;0;0;0;0;0.0301;52.6;0.0047;47.4;0;0;0;0;0;0.022;72.7;0;27.3;0;0;0;0;0;85.1;85.1;68.8;65.5;24.8 ;24.9 ;26.4 ;25 ;
2017-09-01;14:00:12.112;0.0503;0.408;0.123;0.762;467;624;0.252;0.209;0.0271;0.0363;51.6;39;1.72e+04;4.21e+04;2.13e+03;0.816;20.4;0.101;2.51;8.69e+04;16.2;51.9;2.6;29.3;0;0.000121;0;0;0;303;100;0.101;0.407;0.249;0.762;232;307;0.244;0.2;0.0268;0.0355; 46240;7131;24861;13.1;8.74;43;0.0995;0.409;0.243;0.762;235;315;0.256;0.219;0.0276;0.0371; 54400;7091;24799;12.8;8.57;44;0.000298;0.902;0.00033;0.762;0.0408;0.862;0.953;0.0211;0.0016;0.0338; 36800;0;0;12.6;10.6;48;0.00013;0.742;0.000175;0.762;0.017;0.312;0.946;0.0351;0.00153;0.028; 26240;0;0;13.1;11.1;48;1.36e+04;4.67e+03;5.73e+03; 69%; 23%; 29%;5.45e+03;4.83e+03;1.35e+04; 27%; 24%; 69%;9.49e+03;7.89e+03;1.85e+03; 48%; 40%;  9%;1.85e+03;8.14e+03;9.92e+03;  9%; 41%; 50%;32.7;50.8;9.44;7.06;0;0.000485;0;0;0;31.9;55.5;0.959;11.6;0;0;0;0;0;0.0434;41.7;0.0206;58.3;0;0;0;0;0;0.023;59.7;0;40.3;0;0;0;0;0;85.5;85.2;67.8;64.1;24.8 ;24.5 ;26.2 ;24.8 ;
