System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;13:27:30.898;0.00894;0.402;0.0222;0.571;59.8;78.3;0.236;0.167;0.0196;0.0257;7.33;5.86;3.05e+03;7.59e+03;2.13e+03;0.803;20.1;0.0179;0.447;1.19e+04;3.89;12.1;0.108;83.9;0;25.7;0;0;0;137;43.4;0.0261;0.401;0.065;0.571;57.3;70.7;0.19;0.142;0.0258;0.0318; 50480;2283;6661;1.8;0.872;48;0.00168;0.316;0.00533;0.571;0.724;2.44;0.704;0.221;0.00504;0.017; 33440;44;20;1.83;1.65;52;0.00233;0.376;0.0062;0.571;0.862;2.53;0.659;0.293;0.00433;0.0127; 43040;20;65;1.79;1.63;52;0.00568;0.452;0.0126;0.571;0.926;2.6;0.643;0.473;0.00191;0.00535; 36800;67;46;1.91;1.71;52;1.27e+03;1.25e+03;1.31e+03;  6%;  6%;  6%;297;278;2.09e+03;  1%;  1%; 10%;277;2.09e+03;293;  1%; 10%;  1%;269;281;2.19e+03;  1%;  1%; 11%;11.4;15.2;0.325;73.1;0;0;0;0;0;0.933;5.75;0.0305;93.3;0;50.1;0;0;0;1.08;5.19;0.0186;93.7;0;52.8;0;0;0;2.2;22.2;0.06;75.6;0;0;0;0;0;37.7;32;33.2;34.2;10.4 ;11.1 ;11.3 ;10.6 ;
2017-09-01;13:27:31.923;0.0389;0.395;0.0986;0.571;378;461;0.18;0.135;0.0282;0.0344;42.8;30;1.34e+04;3.39e+04;2.14e+03;0.789;19.7;0.0778;1.94;6.85e+04;17.2;45.9;0.858;36;0;8.43;0;0;0;278;91.6;0.155;0.394;0.394;0.571;377;459;0.178;0.135;0.0283;0.0344; 59120;14281;40436;10.9;4.35;45;0.000164;0.823;0.0002;0.571;0.0476;0.45;0.894;0.0265;0.00336;0.0318; 33440;0;9;10.5;8.4;50;0.000109;0.705;0.000154;0.571;0.0235;0.282;0.917;0.0244;0.00252;0.0302; 42960;0;3;10.5;8.38;50;0.000184;0.807;0.000229;0.571;0.0443;0.427;0.896;0.0403;0.00279;0.0269; 36640;0;2;10.9;8.82;50;6.55e+03;6.54e+03;6.87e+03; 33%; 33%; 34%;1.57e+03;1.6e+03;1.28e+04;  7%;  8%; 65%;1.57e+03;1.28e+04;1.59e+03;  7%; 65%;  8%;1.59e+03;1.6e+03;1.34e+04;  8%;  8%; 67%;69;24.7;3.41;2.92;0;0;0;0;0;0.035;62.6;0;37.4;0;0;0;0;0;0.0269;59;0;41;0;0.121;0;0;0;0.04;37.2;0.0273;62.8;0;33.6;0;0;0;84.5;64.3;68.1;60.7;20.8 ;23.6 ;24.5 ;22.8 ;
2017-09-01;13:27:32.919;0.0388;0.391;0.0993;0.571;365;447;0.182;0.134;0.0281;0.0343;41.4;29;1.3e+04;3.33e+04;2.1e+03;0.782;19.6;0.0777;1.94;6.63e+04;17.4;71.7;1.13;9.76;0;0;0;0;0;279;89;0.155;0.39;0.396;0.571;365;445;0.179;0.134;0.0282;0.0344; 61840;13535;39111;10.6;4.21;45;0.000221;1.03;0.000215;0.571;0.0516;0.603;0.914;0.0322;0.00279;0.0327; 33520;1;9;10.2;8.12;50;0.000249;1.01;0.000248;0.571;0.0439;0.725;0.939;0.0236;0.0021;0.0348; 42880;0;8;10.1;8.1;50;0.000217;0.849;0.000256;0.571;0.0494;0.498;0.901;0.0406;0.00272;0.0274; 36800;2;1;10.6;8.53;50;6.34e+03;6.32e+03;6.65e+03; 33%; 33%; 34%;1.52e+03;1.55e+03;1.24e+04;  7%;  8%; 65%;1.52e+03;1.24e+04;1.54e+03;  7%; 64%;  8%;1.54e+03;1.55e+03;1.29e+04;  8%;  8%; 67%;69.4;24.8;4.49;1.31;0;0;0;0;0;0.0376;98.3;0;1.65;0;0;0;0;0;0.0434;80.5;0;19.5;0;0;0;0;0;0.0447;83.3;0.0135;16.6;0;0;0;0;0;82.5;65.6;68;63;20.3 ;22.9 ;23.7 ;22.1 ;
2017-09-01;13:27:33.939;0.0391;0.392;0.0997;0.571;378;461;0.181;0.134;0.0282;0.0344;42.7;29.9;1.34e+04;3.42e+04;2.14e+03;0.785;19.6;0.0782;1.96;6.83e+04;17.4;68.7;1.07;12.8;0;0;0;0;0;285;91.4;0.156;0.391;0.398;0.571;378;460;0.179;0.134;0.0282;0.0344; 64720;14280;40656;10.9;4.34;45;0.000139;0.926;0.00015;0.571;0.048;0.317;0.849;0.0551;0.00403;0.0267; 33920;1;3;10.5;8.38;50;0.000204;1.02;0.000199;0.571;0.038;0.607;0.937;0.026;0.00218;0.0348; 42880;0;8;10.5;8.37;50;0.000195;0.858;0.000228;0.571;0.037;0.482;0.923;0.0379;0.00221;0.0288; 36720;0;2;10.9;8.81;50;6.54e+03;6.52e+03;6.86e+03; 33%; 33%; 34%;1.56e+03;1.59e+03;1.28e+04;  7%;  8%; 65%;1.57e+03;1.28e+04;1.59e+03;  7%; 65%;  8%;1.59e+03;1.59e+03;1.33e+04;  8%;  8%; 68%;69.6;24.5;4.28;1.61;0;0;0;0;0;0.0262;99.1;0;0.88;0;0;0;0;0;0.0349;75.7;0;24.3;0;0;0;0;0;0.0399;75.6;0.00527;24.4;0;0;0;0;0;84.6;67.4;69.3;63.8;21 ;23.6 ;24.3 ;22.5 ;
2017-09-01;13:27:34.957;0.0388;0.397;0.0978;0.571;373;455;0.181;0.134;0.0281;0.0343;42.4;29.6;1.33e+04;3.34e+04;2.14e+03;0.794;19.8;0.0776;1.94;6.78e+04;17.1;69.3;1.18;12.4;0;0;0;0;0;284;91.7;0.155;0.396;0.391;0.571;373;454;0.179;0.134;0.0282;0.0343; 62800;13854;40118;10.8;4.3;45;0.000133;0.866;0.000153;0.571;0.0391;0.316;0.876;0.0553;0.00346;0.0279; 33600;0;7;10.4;8.31;49;0.000149;0.953;0.000157;0.571;0.0229;0.431;0.947;0.0265;0.00179;0.0337; 42960;0;3;10.4;8.28;49;0.000218;0.945;0.000231;0.571;0.0375;0.558;0.933;0.0332;0.00201;0.0299; 36640;0;0;10.8;8.73;50;6.49e+03;6.47e+03;6.79e+03; 33%; 33%; 34%;1.56e+03;1.58e+03;1.27e+04;  7%;  8%; 65%;1.56e+03;1.27e+04;1.58e+03;  7%; 64%;  8%;1.58e+03;1.58e+03;1.32e+04;  8%;  8%; 67%;68.4;25.2;4.65;1.71;0;0;0;0;0;0.0268;89.4;0;10.6;0;0;0;0;0;0.0274;78.9;0;21.1;0;0;0;0;0;0.0404;83.5;0.0611;16.4;0;0;0;0;0;84.3;66.3;69.6;64.3;21 ;23.5 ;24.5 ;22.6 ;
2017-09-01;13:27:35.979;0.0392;0.395;0.0993;0.571;378;463;0.182;0.134;0.0281;0.0344;42.9;30;1.35e+04;3.41e+04;2.15e+03;0.79;19.7;0.0784;1.96;6.87e+04;17.4;68.9;1.17;12.5;0;0;0;0;0;286;92.2;0.156;0.394;0.396;0.571;378;461;0.179;0.134;0.0282;0.0344; 61440;14273;40745;10.9;4.36;44;0.000157;0.97;0.000161;0.571;0.0376;0.416;0.91;0.0386;0.0028;0.0309; 33680;1;4;10.5;8.42;49;0.000223;1.16;0.000192;0.571;0.0217;0.71;0.969;0.0197;0.00113;0.037; 43040;0;3;10.5;8.4;50;0.000265;1.06;0.000251;0.571;0.0418;0.729;0.943;0.0284;0.00183;0.032; 36560;0;2;10.9;8.85;49;6.57e+03;6.55e+03;6.89e+03; 33%; 33%; 35%;1.57e+03;1.6e+03;1.29e+04;  8%;  8%; 65%;1.57e+03;1.28e+04;1.6e+03;  8%; 65%;  8%;1.6e+03;1.6e+03;1.34e+04;  8%;  8%; 68%;69.4;24.8;4.66;1.16;0;0;0;0;0;0.0282;89.4;0;10.6;0;0;0;0;0;0.0337;82;0;18;0;0;0;0;0;0.0439;79.5;0.0354;20.4;0;0;0;0;0;85;66.7;70.1;64.2;21.1 ;23.5 ;24.7 ;22.9 ;
2017-09-01;13:27:36.998;0.0393;0.396;0.099;0.571;377;462;0.184;0.134;0.0281;0.0344;42.7;29.9;1.34e+04;3.39e+04;2.14e+03;0.793;19.8;0.0785;1.96;6.84e+04;17.3;62.8;1.29;18.6;0;0;0;0;0;282;92.4;0.156;0.395;0.395;0.571;377;460;0.179;0.134;0.0282;0.0344; 52000;14164;40568;10.9;4.35;44;0.000264;0.876;0.000302;0.571;0.0426;0.762;0.944;0.0271;0.00188;0.0337; 33680;0;5;10.5;8.39;49;0.000293;0.935;0.000313;0.571;0.0286;0.909;0.969;0.0226;0.00114;0.0363; 43120;0;1;10.5;8.37;50;0.000369;0.914;0.000404;0.571;0.0506;1.07;0.953;0.0265;0.0016;0.0337; 36720;0;5;10.9;8.82;49;6.55e+03;6.53e+03;6.86e+03; 33%; 33%; 35%;1.57e+03;1.59e+03;1.28e+04;  8%;  8%; 65%;1.57e+03;1.28e+04;1.59e+03;  8%; 65%;  8%;1.59e+03;1.6e+03;1.33e+04;  8%;  8%; 68%;69.1;24.7;5.14;1.01;0;0;0;0;0;0.0528;85.1;0;14.9;0;0;0;0;0;0.0548;74.1;0;25.9;0;0;0;0;0;0.0707;67.4;0.0196;32.6;0;0;0;0;0;83.6;66.1;69.3;62.8;21 ;23.7 ;24.7 ;23 ;
2017-09-01;13:27:38.021;0.0389;0.395;0.0985;0.571;376;459;0.182;0.134;0.0281;0.0344;42.7;29.9;1.34e+04;3.38e+04;2.14e+03;0.79;19.7;0.0778;1.95;6.84e+04;17.2;67.6;1.32;13.8;0;0;0;0;0;285;92.1;0.155;0.394;0.394;0.571;376;458;0.179;0.134;0.0282;0.0344; 66400;14129;40294;10.9;4.33;44;0.000113;0.862;0.000131;0.571;0.0234;0.275;0.915;0.0425;0.00241;0.0283; 33600;1;0;10.5;8.38;49;0.000202;1.15;0.000176;0.571;0.018;0.629;0.971;0.0213;0.00104;0.0364; 42960;0;1;10.5;8.37;49;0.000218;0.873;0.00025;0.571;0.0408;0.558;0.927;0.0324;0.00217;0.0298; 36640;0;2;10.9;8.82;49;6.54e+03;6.53e+03;6.86e+03; 33%; 33%; 34%;1.57e+03;1.59e+03;1.28e+04;  7%;  8%; 65%;1.57e+03;1.28e+04;1.59e+03;  7%; 65%;  8%;1.59e+03;1.59e+03;1.33e+04;  8%;  8%; 67%;68.9;24.5;5.24;1.34;0;0;0;0;0;0.023;87.4;0;12.5;0;0;0;0;0;0.0308;85;0;15;0;0;0;0;0;0.0438;73.5;0.0535;26.4;0;0;0;0;0;83.9;66.6;70.6;63.7;20.9 ;23.8 ;24.5 ;22.9 ;
2017-09-01;13:27:39.041;0.0389;0.393;0.099;0.571;375;459;0.181;0.134;0.0282;0.0344;42.5;29.7;1.33e+04;3.39e+04;2.15e+03;0.786;19.6;0.0778;1.95;6.8e+04;17.3;60.7;1.33;20.6;0;0;0;0;0;281;91.8;0.155;0.392;0.396;0.571;375;457;0.179;0.135;0.0282;0.0344; 49840;14041;40359;10.8;4.32;44;7.81e-05;0.645;0.000121;0.571;0.0203;0.134;0.848;0.0782;0.00304;0.02; 33600;0;3;10.4;8.34;49;0.000181;1.08;0.000168;0.571;0.0162;0.553;0.971;0.0228;0.00104;0.0356; 42960;0;1;10.4;8.3;49;0.000251;0.958;0.000262;0.571;0.0425;0.682;0.938;0.0295;0.00197;0.0317; 36640;0;3;10.8;8.75;49;6.51e+03;6.48e+03;6.82e+03; 33%; 33%; 34%;1.56e+03;1.59e+03;1.28e+04;  7%;  8%; 65%;1.56e+03;1.27e+04;1.59e+03;  7%; 64%;  8%;1.59e+03;1.59e+03;1.33e+04;  8%;  8%; 67%;69.2;24.7;5;1.12;0;0;0;0;0;0.0212;71.5;0;28.5;0;0;0;0;0;0.0295;75.9;0;24;0;0;0;0;0;0.0459;70.7;0.306;28.9;0;0;0;0;0;83.7;65;69.4;63.1;21.1 ;23.5 ;24.4 ;22.8 ;
2017-09-01;13:27:40.063;0.0389;0.392;0.0992;0.571;375;459;0.182;0.134;0.0281;0.0344;42.5;29.8;1.34e+04;3.41e+04;2.14e+03;0.784;19.6;0.0778;1.94;6.81e+04;17.4;60.9;1.33;20.5;0;0;0;0;0;282;92;0.155;0.391;0.396;0.571;375;457;0.179;0.134;0.0282;0.0344; 65680;14035;40104;10.8;4.32;44;8.35e-05;0.671;0.000124;0.571;0.0193;0.174;0.889;0.057;0.0027;0.0242; 33520;0;1;10.4;8.36;49;0.000278;1.25;0.000222;0.571;0.0181;0.904;0.98;0.0167;0.000759;0.0379; 43040;1;0;10.4;8.34;49;0.000245;0.927;0.000264;0.571;0.0414;0.649;0.936;0.0289;0.00197;0.0309; 36560;0;2;10.8;8.78;49;6.51e+03;6.51e+03;6.84e+03; 33%; 33%; 34%;1.56e+03;1.59e+03;1.28e+04;  7%;  8%; 65%;1.56e+03;1.27e+04;1.58e+03;  7%; 64%;  8%;1.58e+03;1.58e+03;1.33e+04;  8%;  8%; 67%;69.3;24.3;5.24;1.19;0;0;0;0;0;0.0218;70.3;0;29.7;0;0;0;0;0;0.0389;80.1;0;19.8;0;0;0;0;0;0.0462;68.8;0.0621;31.1;0;0;0;0;0;83.8;65;70;63.1;21 ;23.6 ;24.6 ;22.9 ;
