System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;13:04:00.570;0.0194;0.276;0.0704;0.99;127;174;0.268;0.17;0.0191;0.0262;17.5;13.1;6.66e+03;2.41e+04;2.12e+03;0.552;13.8;0.0388;0.971;2.84e+04;7.11;12.7;0.523;79.7;0;34.2;0;0;0;247;61.8;0.0664;0.252;0.263;0.997;123;163;0.244;0.136;0.0217;0.0286; 69040;5272;16099;4.26;1.96;44;0.00711;0.713;0.00998;0.908;2.77;6.6;0.581;0.548;0.00453;0.0108; 38240;105;189;4.3;3.68;47;0.00198;0.426;0.00465;0.807;0.777;2.44;0.681;0.282;0.00456;0.0143; 42240;46;26;4.39;3.7;49;0.00237;0.509;0.00466;1;0.988;2.62;0.623;0.301;0.00485;0.0129; 38320;68;29;4.5;3.8;49;2.89e+03;2.84e+03;2.9e+03; 14%; 14%; 14%;678;682;5.18e+03;  3%;  3%; 26%;720;5.15e+03;696;  3%; 26%;  3%;674;723;5.28e+03;  3%;  3%; 26%;26.4;18.2;1.74;53.7;0;14.7;0;0;0;1.1;6.78;0.193;91.9;0;54.2;0;0;0;0.576;3.49;0.0963;95.8;0;67.7;0;0;0;0.466;22.2;0.0658;77.2;0;0;0;0;0;74.4;55.8;57.9;58.4;14.6 ;15.5 ;16.1 ;15.5 ;
2017-09-01;13:04:01.596;0.0539;0.182;0.296;0.997;412;557;0.26;0.136;0.0222;0.0301;56.8;40.8;1.85e+04;1.02e+05;2.15e+03;0.364;9.09;0.108;2.69;8.99e+04;29.7;20.1;3.29;46.9;0;41.1;0;0;0;327;105;0.101;0.178;0.564;0.996;188;256;0.266;0.14;0.0218;0.0296; 58640;8660;24474;14.1;8.98;43;0.115;0.185;0.621;0.999;224;301;0.254;0.133;0.0227;0.0304; 52720;10495;28032;14.4;8.58;44;0.0001;0.395;0.000253;0.869;0.0275;0.221;0.876;0.0377;0.0032;0.0257; 42160;0;1;13.8;11.3;48;0.000147;0.462;0.000319;0.901;0.0498;0.269;0.815;0.0563;0.00393;0.0212; 38800;3;2;14.4;11.9;48;1.29e+04;5.16e+03;5.34e+03; 65%; 26%; 27%;5.64e+03;5.96e+03;1.21e+04; 28%; 30%; 61%;9.98e+03;8.95e+03;2.07e+03; 50%; 45%; 10%;2.07e+03;1.06e+04;9.15e+03; 10%; 53%; 46%;56.6;23.4;8.75;11.2;0;0.374;0;0;0;62.2;24.7;4.4;8.65;0;0.0237;0;0;0;0.0291;15.9;0;84.1;0;82.9;0;0;0;0.0354;16.2;0.0304;83.7;0;81.1;0;0;0;97.1;101;67.1;61.8;25.6 ;25.8 ;27.5 ;26.4 ;
2017-09-01;13:04:02.596;0.0576;0.172;0.334;0.999;434;584;0.257;0.132;0.0224;0.0301;59.9;43.2;1.94e+04;1.12e+05;2.1e+03;0.345;8.61;0.115;2.88;9.56e+04;33.5;58.2;1.99;6.37;0;0.0126;0;0;0;356;108;0.115;0.169;0.677;0.999;215;290;0.257;0.131;0.0224;0.0301; 59280;9860;27870;14.9;9.26;42;0.116;0.175;0.66;0.999;218;294;0.257;0.132;0.0224;0.0302; 54320;10018;28240;15.1;9.37;43;8.95e-05;0.518;0.000173;1;0.0353;0.15;0.764;0.0725;0.00469;0.0199; 42160;0;10;14.6;11.9;48;0.000133;0.572;0.000232;1;0.0468;0.194;0.759;0.0949;0.0042;0.0174; 38960;0;10;15.2;12.6;47;1.35e+04;5.42e+03;6.14e+03; 70%; 28%; 31%;6e+03;5.81e+03;1.35e+04; 31%; 30%; 70%;1.05e+04;9.54e+03;2.18e+03; 54%; 49%; 11%;2.18e+03;1.02e+04;1.07e+04; 11%; 52%; 55%;67.7;24;6.12;2.18;0;0.0485;0;0;0;66.1;24.3;1.84;7.75;0;0.00208;0;0;0;0.0173;90;0;9.93;0;0;0;0;0;0.0232;94.4;0.00457;5.62;0;0;0;0;0;101;101;78.9;74.6;26.3 ;26.2 ;28.4 ;27.3 ;
2017-09-01;13:04:03.624;0.0583;0.175;0.332;0.999;447;604;0.26;0.131;0.0223;0.0301;62.3;44.5;2.01e+04;1.14e+05;2.16e+03;0.351;8.76;0.117;2.91;9.78e+04;33.3;60.1;2.14;4.46;0;0.0224;0;0;0;368;111;0.116;0.173;0.672;0.999;222;300;0.26;0.13;0.0223;0.0301; 49520;10634;28313;15.5;9.47;42;0.117;0.178;0.659;0.998;225;304;0.259;0.132;0.0224;0.0302; 56400;11142;28658;15.7;9.54;43;7.83e-05;0.52;0.000151;1;0.0319;0.122;0.739;0.109;0.00473;0.0181; 42400;0;11;15.2;12.4;47;0.000119;0.605;0.000197;1;0.0424;0.157;0.73;0.13;0.00413;0.0153; 38640;0;3;15.8;13.1;47;1.33e+04;5.87e+03;6.15e+03; 67%; 29%; 31%;5.96e+03;6.24e+03;1.33e+04; 30%; 31%; 67%;1.04e+04;1.04e+04;2.27e+03; 52%; 52%; 11%;2.27e+03;1.1e+04;1.06e+04; 11%; 55%; 54%;67.2;23.9;6.85;1.99;0;0.0473;0;0;0;66;24.5;1.74;7.75;0;0.0423;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.0197;91.9;0;8.11;0;0;0;0;0;104;104;83.3;76.4;26.7 ;27.5 ;29.4 ;27.9 ;
2017-09-01;13:04:04.645;0.0582;0.175;0.333;0.998;446;603;0.26;0.131;0.0223;0.0301;61.6;44.1;2e+04;1.15e+05;2.16e+03;0.35;8.75;0.116;2.91;9.7e+04;33.3;61;3.09;2.55;0;0.0159;0;0;0;365;110;0.116;0.174;0.67;0.997;223;301;0.259;0.13;0.0222;0.03; 49360;10688;28758;15.3;9.34;42;0.116;0.176;0.659;0.999;223;302;0.26;0.132;0.0223;0.0302; 57920;10667;28591;15.5;9.53;43;8.27e-05;0.506;0.000164;1;0.0327;0.129;0.747;0.109;0.0046;0.0182; 42320;0;5;15;12.3;47;0.000126;0.618;0.000204;1;0.0426;0.176;0.758;0.121;0.00392;0.0162; 39040;1;1;15.7;13;47;1.32e+04;5.8e+03;6.01e+03; 67%; 29%; 30%;5.92e+03;6.24e+03;1.34e+04; 30%; 31%; 67%;1.03e+04;1.03e+04;2.25e+03; 52%; 52%; 11%;2.25e+03;1.1e+04;1.04e+04; 11%; 55%; 53%;67.1;24;7.55;1.28;0;0.0227;0;0;0;66;24.3;4.79;4.95;0;0.0408;0;0;0;0.0164;99.9;0;0.0388;0;0;0;0;0;0.0204;96;0;3.94;0;0;0;0;0;103;103;82.6;76.5;26.5 ;27.1 ;28.8 ;27.7 ;
2017-09-01;13:04:05.665;0.0581;0.174;0.333;0.999;444;599;0.258;0.131;0.0223;0.0301;61.5;44.1;1.99e+04;1.14e+05;2.14e+03;0.348;8.71;0.116;2.9;9.72e+04;33.4;53.2;2.15;11.3;0;0.00704;0;0;0;358;110;0.115;0.169;0.679;0.999;220;296;0.258;0.131;0.0223;0.0301; 55200;10242;28280;15.3;9.39;42;0.117;0.179;0.654;0.999;225;303;0.258;0.132;0.0224;0.0302; 57200;10802;28726;15.5;9.48;42;7.52e-05;0.536;0.00014;1;0.0225;0.111;0.797;0.118;0.00349;0.0172; 42320;0;3;15;12.3;47;0.000116;0.524;0.00022;1;0.0342;0.147;0.766;0.112;0.00346;0.0148; 38960;1;0;15.6;12.9;47;1.34e+04;5.67e+03;6.18e+03; 68%; 28%; 31%;6.04e+03;6.08e+03;1.34e+04; 30%; 31%; 68%;1.06e+04;9.95e+03;2.24e+03; 53%; 50%; 11%;2.24e+03;1.07e+04;1.07e+04; 11%; 54%; 54%;67.9;23.7;6.9;1.47;0;0.00183;0;0;0;65.5;24.6;1.67;8.22;0;0.0263;0;0;0;0.014;96.1;0;3.84;0;0;0;0;0;0.022;68.3;0.014;31.7;0;0;0;0;0;103;102;81.9;71.3;26.7 ;27.2 ;28.8 ;27.4 ;
2017-09-01;13:04:06.687;0.0572;0.172;0.334;0.999;442;593;0.255;0.132;0.0225;0.0302;60.7;43.9;1.97e+04;1.15e+05;2.15e+03;0.343;8.58;0.114;2.86;9.73e+04;33.4;58.1;2.11;6.42;0;0.027;0;0;0;362;110;0.113;0.167;0.678;0.998;219;293;0.254;0.131;0.0225;0.0302; 60800;9673;28285;15.1;9.46;41;0.116;0.176;0.656;0.999;223;300;0.256;0.133;0.0225;0.0302; 55520;9982;28730;15.3;9.5;42;7.5e-05;0.54;0.000139;1;0.0245;0.118;0.792;0.112;0.00381;0.0183; 42160;0;4;14.8;12.1;47;0.000118;0.538;0.000219;1;0.0341;0.158;0.783;0.0949;0.00338;0.0156; 38960;0;0;15.5;12.8;47;1.38e+04;5.46e+03;6.29e+03; 70%; 27%; 32%;6.13e+03;5.85e+03;1.38e+04; 31%; 29%; 70%;1.07e+04;9.54e+03;2.21e+03; 54%; 48%; 11%;2.21e+03;1.02e+04;1.09e+04; 11%; 52%; 55%;67.9;23.8;6.88;1.34;0;0;0;0;0;65.7;24.4;1.5;8.39;0;0.108;0;0;0;0.0139;100;0;0;0;0;0;0;0;0.0219;84;0.0411;16;0;0;0;0;0;103;103;82.7;74.3;26.5 ;27 ;28.9 ;27.7 ;
2017-09-01;13:04:07.708;0.0582;0.174;0.333;0.999;445;601;0.26;0.131;0.0223;0.0301;61.6;44.1;2e+04;1.14e+05;2.14e+03;0.349;8.72;0.116;2.91;9.67e+04;33.4;57.6;2.13;6.92;0;0.0261;0;0;0;362;110;0.116;0.172;0.672;0.999;221;299;0.259;0.13;0.0223;0.0301; 52960;10696;28464;15.4;9.38;41;0.117;0.177;0.66;0.999;224;302;0.259;0.132;0.0224;0.0302; 48560;10819;28366;15.5;9.44;42;6.75e-05;0.524;0.000129;1;0.0251;0.0936;0.732;0.13;0.00433;0.0162; 42160;0;1;15;12.3;46;0.000119;0.554;0.000214;1;0.0362;0.165;0.78;0.1;0.00356;0.0162; 38640;0;2;15.7;13;47;1.31e+04;5.8e+03;6.1e+03; 66%; 29%; 31%;5.9e+03;6.16e+03;1.32e+04; 30%; 31%; 67%;1.03e+04;1.02e+04;2.25e+03; 52%; 52%; 11%;2.25e+03;1.08e+04;1.06e+04; 11%; 55%; 53%;67.3;24.1;7.05;1.56;0;0.00604;0;0;0;66.1;24.5;1.44;7.95;0;0.0985;0;0;0;0.0129;97.5;0;2.44;0;0;0;0;0;0.0214;84.2;0.0291;15.7;0;0;0;0;0;103;103;82.2;74.4;26.7 ;26.9 ;28.7 ;27.8 ;
2017-09-01;13:04:08.729;0.0579;0.173;0.334;0.999;443;598;0.259;0.131;0.0223;0.0302;61.4;44;1.98e+04;1.15e+05;2.15e+03;0.346;8.65;0.116;2.89;9.67e+04;33.5;56;2.96;7.56;0;0.0439;0;0;0;361;110;0.115;0.171;0.674;0.999;220;297;0.261;0.13;0.0222;0.03; 52400;10379;28191;15.3;9.35;41;0.116;0.174;0.664;0.999;223;301;0.257;0.132;0.0225;0.0303; 58560;10660;28181;15.5;9.43;42;9.54e-05;0.562;0.00017;1;0.026;0.173;0.85;0.0851;0.00317;0.0212; 42080;0;4;15;12.3;46;0.000149;0.595;0.000251;1;0.0395;0.256;0.846;0.0787;0.00309;0.02; 38720;0;1;15.6;12.9;46;1.32e+04;5.91e+03;5.96e+03; 67%; 30%; 30%;5.77e+03;6.26e+03;1.33e+04; 29%; 31%; 67%;1.01e+04;1.04e+04;2.24e+03; 51%; 53%; 11%;2.24e+03;1.1e+04;1.03e+04; 11%; 56%; 52%;67.4;23.7;7.39;1.45;0;0.121;0;0;0;66.5;24.5;4.44;4.59;0;0.0544;0;0;0;0.017;91.6;0;8.39;0;0;0;0;0;0.0251;84.1;0.0166;15.8;0;0;0;0;0;103;103;81.2;74.4;26.5 ;27 ;29.2 ;27.7 ;
2017-09-01;13:04:09.752;0.0581;0.175;0.333;0.999;446;601;0.258;0.131;0.0223;0.0301;61.7;44.2;2e+04;1.14e+05;2.14e+03;0.349;8.73;0.116;2.9;9.71e+04;33.3;55.6;2.13;8.94;0;0.026;0;0;0;362;111;0.115;0.171;0.674;0.999;221;298;0.258;0.13;0.0223;0.0301; 59600;10341;28373;15.4;9.43;41;0.117;0.178;0.656;0.999;225;303;0.258;0.132;0.0224;0.0302; 52720;10813;28541;15.6;9.46;41;6.5e-05;0.469;0.000138;1;0.0268;0.0875;0.693;0.123;0.0048;0.0157; 42240;1;2;15;12.3;46;0.000121;0.536;0.000226;1;0.0348;0.181;0.808;0.0942;0.00335;0.0174; 38640;0;1;15.7;13;47;1.33e+04;5.78e+03;6.18e+03; 67%; 29%; 31%;5.96e+03;6.12e+03;1.33e+04; 30%; 31%; 67%;1.04e+04;1.02e+04;2.25e+03; 52%; 51%; 11%;2.25e+03;1.08e+04;1.07e+04; 11%; 54%; 54%;67.5;24;7.14;1.39;0;0.0845;0;0;0;65.7;24.7;1.39;8.25;0;0.0197;0;0;0;0.0138;90.8;0;9.16;0;0;0;0;0;0.0226;83;0;17;0;0;0;0;0;103;103;81.2;74.4;26.8 ;27.2 ;29.1 ;27.8 ;
