System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;12:59:56.630;0.00438;0.412;0.0106;0.659;5.57;13.1;0.574;0.351;0.00373;0.00875;0.843;0.909;1.49e+03;3.62e+03;2.13e+03;0.825;20.6;0.00876;0.219;1.34e+03;1.61;18.4;0.0914;79.9;0;18.2;0;0;0;123;33.7;0.00286;0.319;0.00899;0.66;1.91;3.52;0.457;0.213;0.00782;0.0144; 53440;215;424;0.157;0.179;49;0.00214;0.415;0.00515;0.631;0.939;2.46;0.618;0.3;0.00515;0.0135; 18720;59;49;0.251;0.27;50;0.00554;0.344;0.0161;0.663;1.32;3.35;0.607;0.31;0.00279;0.00709; 45360;27;142;0.178;0.216;53;0.00698;0.569;0.0123;0.667;1.4;3.75;0.626;0.487;0.00235;0.00629; 32160;58;81;0.257;0.244;51;178;164;167;  0%;  0%;  0%;126;82.7;112;  0%;  0%;  0%;87;91.9;90.4;  0%;  0%;  0%;56.8;81.8;104;  0%;  0%;  0%;1.36;26.6;0.227;71.8;0;0;0;0;0;0.816;2.9;0.0437;96.2;0;57.2;0;0;0;2.43;15.8;0.0589;81.7;0;15.7;0;0;0;1.84;28.2;0.0362;69.9;0;0;0;0;0;32;28.5;31.3;31.6;8.32 ;8.77 ;8.66 ;7.98 ;
2017-09-01;12:59:57.651;0.0424;0.328;0.129;0.666;352;454;0.226;0.159;0.0243;0.0314;42.9;31.3;1.45e+04;4.42e+04;2.13e+03;0.655;16.4;0.0847;2.12;6.86e+04;19.4;22.6;3.54;54.4;0;33.9;0;0;0;257;91.4;0.105;0.314;0.335;0.667;231;295;0.217;0.133;0.0257;0.0328; 54640;9108;26166;10.7;6.09;47;0.0316;0.359;0.0878;0.666;62;81.3;0.237;0.202;0.023;0.0301; 47440;2517;6898;10.6;8.08;48;0.0327;0.347;0.0944;0.666;58.9;78.1;0.246;0.203;0.0211;0.0279;  1680;2393;6688;10.6;8.06;49;0.000101;0.475;0.000213;0.646;0.0237;0.167;0.858;0.056;0.00274;0.0194; 32240;1;0;11;9.1;50;6.77e+03;6.63e+03;5.01e+03; 34%; 33%; 25%;4.38e+03;2.61e+03;9.77e+03; 22%; 13%; 49%;4.43e+03;9.95e+03;2.56e+03; 22%; 50%; 13%;3.55e+03;3.72e+03;9.19e+03; 18%; 19%; 47%;50.3;21.7;12.2;15.8;0;5.63;0;0;0;13.2;12;0.648;74.2;0;32.7;0;0;0;14.2;39.9;1.34;44.6;0;15.6;0;0;0;0.0329;17;0;83;0;81.8;0;0;0;75.4;60.3;67.2;54.3;21.6 ;23 ;24 ;22.8 ;
2017-09-01;12:59:58.658;0.0547;0.273;0.2;0.666;442;574;0.23;0.152;0.0239;0.0311;54.8;40;1.85e+04;6.76e+04;2.1e+03;0.546;13.7;0.109;2.73;8.73e+04;30.1;44.8;7.03;18.2;0;5.97;0;0;0;303;102;0.0853;0.267;0.32;0.666;175;227;0.229;0.14;0.0244;0.0316; 55120;7302;20320;13.5;9;46;0.104;0.263;0.395;0.666;217;280;0.226;0.14;0.0247;0.0319; 52080;9081;24854;13.7;8.7;47;0.0296;0.343;0.0862;0.666;49.7;66.3;0.25;0.235;0.0199;0.0265;  1920;1843;5703;13.6;10.7;48;8.79e-05;0.521;0.000169;0.667;0.0307;0.131;0.766;0.0855;0.00413;0.0177; 32160;0;4;14;11.6;49;1.13e+04;6.25e+03;4.68e+03; 58%; 32%; 24%;6.78e+03;5.43e+03;1.06e+04; 35%; 28%; 54%;9.69e+03;8.75e+03;2.87e+03; 50%; 45%; 14%;3.78e+03;9.5e+03;7.72e+03; 19%; 49%; 40%;48;18.6;17.8;15.6;0;18.6;0;0;0;59.3;22.8;10.3;7.59;0;4.77;0;0;0;12.9;44.1;0.0924;42.9;0;0.544;0;0;0;0.0253;93.5;0;6.5;0;0;0;0;0;80.2;84.3;72.2;65.9;24.7 ;25 ;26.8 ;25.5 ;
2017-09-01;12:59:59.685;0.0597;0.277;0.215;0.666;478;620;0.228;0.161;0.0232;0.0301;58.9;42.7;2.06e+04;7.43e+04;2.16e+03;0.555;13.9;0.119;2.98;9.33e+04;32.3;54.9;3.59;9.2;0;0.181;0;0;0;320;107;0.113;0.264;0.427;0.666;239;309;0.225;0.141;0.0246;0.0317; 55840;10376;26889;15.1;9.42;45;0.112;0.264;0.425;0.666;238;307;0.224;0.142;0.0246;0.0317; 52400;9657;27541;14.3;8.92;46;0.0139;1.61;0.00861;0.667;1.23;4.17;0.706;0.806;0.00102;0.00348; 28000;12;83;14.6;12;48;7.98e-05;0.623;0.000128;0.667;0.0293;0.109;0.731;0.118;0.00425;0.0158; 32240;2;3;14.8;12.4;49;1.29e+04;5.58e+03;5.96e+03; 65%; 28%; 30%;5.9e+03;5.68e+03;1.28e+04; 29%; 28%; 64%;1.02e+04;9.72e+03;2.15e+03; 51%; 49%; 10%;2.16e+03;9.88e+03;1.03e+04; 10%; 50%; 51%;64;24.2;8.88;2.87;0;0.36;0;0;0;63.9;24.3;5.46;6.33;0;0.366;0;0;0;1.29;76.5;0;22.2;0;0;0;0;0;0.0192;94.6;0;5.41;0;0;0;0;0;89.3;89;73.6;68.5;26.3 ;25.8 ;28.3 ;26.6 ;
2017-09-01;13:00:00.713;0.058;0.277;0.209;0.666;474;615;0.228;0.159;0.0237;0.0307;58.7;42.7;2e+04;7.22e+04;2.15e+03;0.554;13.8;0.116;2.9;9.35e+04;31.4;46;6.57;16;0;7.1;0;0;0;318;107;0.111;0.266;0.415;0.666;235;303;0.225;0.142;0.0246;0.0318; 58160;9717;26862;14.8;9.32;44;0.00941;1.03;0.00914;0.665;2.88;5.92;0.514;0.73;0.00355;0.0073; 16080;90;279;14.2;11.7;47;0.112;0.27;0.413;0.666;236;305;0.225;0.141;0.0246;0.0317; 62320;9813;27143;14.7;9.12;47;0.000107;0.605;0.000176;0.667;0.031;0.178;0.826;0.0915;0.00337;0.0194; 32240;0;2;15;12.5;48;5.51e+03;1.32e+04;5.94e+03; 27%; 67%; 30%;9.88e+03;2.12e+03;9.61e+03; 50%; 10%; 48%;5.7e+03;1.31e+04;5.88e+03; 28%; 66%; 29%;1.02e+04;2.13e+03;1.02e+04; 51%; 10%; 51%;62.3;24.2;10.6;2.94;0;0.92;0;0;0;1.37;42.4;8.47;47.7;0;27.3;0;0;0;62;25.5;7.24;5.22;0;0.181;0;0;0;0.0264;91.9;0;8.04;0;0;0;0;0;88.6;65.9;95;68.3;26 ;27 ;27.1 ;26.9 ;
2017-09-01;13:00:01.737;0.0623;0.302;0.206;0.666;473;616;0.232;0.179;0.0221;0.0287;57.4;42.5;2.14e+04;7.1e+04;2.16e+03;0.604;15.1;0.125;3.11;9.18e+04;31;57.8;3.24;7.99;0;0.144;0;0;0;319;106;0.112;0.273;0.41;0.666;234;304;0.228;0.147;0.0243;0.0315; 53200;9670;26198;14.6;9.29;44;0.0242;2.05;0.0119;0.667;1.51;5.6;0.73;0.84;0.000723;0.00268; 32000;13;84;13.8;11.6;47;0.113;0.28;0.402;0.666;237;306;0.226;0.147;0.0244;0.0316; 54160;9434;27192;14.3;9.12;47;8.23e-05;0.643;0.000128;0.667;0.0278;0.118;0.764;0.11;0.00392;0.0166; 32160;1;3;14.7;12.5;48;5.32e+03;1.29e+04;5.79e+03; 27%; 65%; 29%;9.84e+03;2.05e+03;9.13e+03; 49%; 10%; 46%;5.71e+03;1.3e+04;5.9e+03; 29%; 66%; 29%;1.01e+04;2.06e+03;9.86e+03; 51%; 10%; 50%;61.6;25.3;9.92;3.17;0;0.368;0;0;0;1.78;88.1;0.0202;10.1;0;0;0;0;0;60.4;25.3;3.04;11.3;0;0.207;0;0;0;0.0192;92.5;0;7.45;0;0;0;0;0;87.6;70.3;93.4;68.1;25.6 ;26.9 ;26.5 ;26.6 ;
2017-09-01;13:00:02.759;0.0674;0.329;0.205;0.666;469;625;0.249;0.207;0.0202;0.027;55.5;42.7;2.32e+04;7.04e+04;2.15e+03;0.658;16.5;0.135;3.37;9.01e+04;30.7;52.3;3.28;13.7;0;0.22;0;0;0;317;105;0.111;0.286;0.387;0.666;226;295;0.233;0.155;0.0237;0.031; 54400;8887;25506;13.9;9.46;44;0.0478;1.03;0.0467;0.667;16.7;34.3;0.512;0.616;0.00406;0.00832; 43120;348;898;13.6;11.6;47;0.111;0.288;0.385;0.666;227;296;0.235;0.156;0.0238;0.0311; 54480;8919;25530;13.7;9.18;46;7.25e-05;0.62;0.000117;0.667;0.0237;0.0843;0.719;0.143;0.0038;0.0135; 32000;0;0;14.3;12.5;48;5.64e+03;1.25e+04;5.74e+03; 28%; 63%; 29%;9.5e+03;2.16e+03;9.23e+03; 48%; 10%; 46%;5.88e+03;1.25e+04;5.63e+03; 29%; 63%; 28%;9.48e+03;2.31e+03;9.56e+03; 48%; 11%; 48%;58.1;27.5;10.4;3.98;0;0.349;0;0;0;7;59.3;0.0361;33.7;0;0;0;0;0;57.7;27.2;2.65;12.4;0;0.531;0;0;0;0.0176;95.1;0;4.84;0;0;0;0;0;86.6;69.5;92.4;68.1;25.3 ;26.5 ;26.5 ;26.3 ;
2017-09-01;13:00:03.787;0.0697;0.278;0.251;0.666;486;672;0.277;0.195;0.0202;0.028;55.8;46.4;2.4e+04;8.64e+04;2.15e+03;0.556;13.9;0.139;3.49;9.12e+04;37.6;44.2;2.96;15.2;0;1.48;0;0;0;323;107;0.0964;0.273;0.353;0.666;175;239;0.266;0.182;0.0211;0.0288; 53360;6641;18854;13.9;11;44;0.0873;0.292;0.299;0.665;138;197;0.3;0.217;0.0183;0.0262; 50160;5070;13919;13.8;11.2;46;0.0953;0.272;0.351;0.666;173;236;0.268;0.187;0.021;0.0288; 57760;6661;18504;14.1;11.1;46;7.1e-05;0.568;0.000125;0.667;0.0242;0.0847;0.714;0.138;0.00396;0.0138; 32080;0;1;14.1;13.2;48;8.71e+03;1.02e+04;4.71e+03; 44%; 52%; 23%;9.29e+03;4.26e+03;9.47e+03; 47%; 21%; 48%;8.74e+03;1.03e+04;4.76e+03; 44%; 52%; 24%;7.3e+03;6.22e+03;7.22e+03; 37%; 31%; 36%;53.1;29.7;8.54;8.66;0;0.53;0;0;0;44.9;27.8;1.4;25.9;0;4.46;0;0;0;52.6;29.2;1.91;16.3;0;0.923;0;0;0;0.0187;89.9;0;10.1;0;0;0;0;0;84.3;80.7;89.8;67.9;26.4 ;26.8 ;27.5 ;26.8 ;
2017-09-01;13:00:04.820;0.0697;0.267;0.261;0.666;490;679;0.278;0.189;0.0203;0.0282;56.7;47.1;2.41e+04;9.03e+04;2.16e+03;0.534;13.4;0.139;3.48;9.22e+04;39.2;44.6;4.48;11.7;0;0.78;0;0;0;327;109;0.0938;0.269;0.349;0.666;164;228;0.28;0.187;0.0203;0.0282; 57920;6480;17227;14;11.1;45;0.0921;0.266;0.346;0.666;162;225;0.279;0.191;0.0203;0.0282; 53920;6120;17081;14.1;11.3;46;0.0928;0.267;0.348;0.666;164;226;0.275;0.19;0.0204;0.0282; 51520;6383;17422;14.2;11.3;46;9.3e-05;0.491;0.000189;0.667;0.0259;0.142;0.817;0.0997;0.00322;0.0176; 32240;0;2;14.3;13.5;48;9.29e+03;9.65e+03;4.53e+03; 46%; 48%; 22%;9.52e+03;4.71e+03;9.54e+03; 48%; 23%; 48%;9.51e+03;9.71e+03;4.7e+03; 48%; 49%; 23%;7.05e+03;7.11e+03;6.86e+03; 35%; 35%; 34%;52.4;29.1;7.94;10.6;0;0.957;0;0;0;52;29.4;4.94;13.7;0;1;0;0;0;52.3;29.4;5.05;13.3;0;1.16;0;0;0;0.0284;90.8;0;9.22;0;0;0;0;0;84.2;83.9;90.2;68.4;26.3 ;27.3 ;27.7 ;27.4 ;
2017-09-01;13:00:05.849;0.0696;0.267;0.261;0.666;490;679;0.278;0.191;0.0203;0.0282;56.5;47;2.41e+04;9.05e+04;2.17e+03;0.533;13.3;0.139;3.48;9.24e+04;39.2;43;3.29;14.5;0;0.704;0;0;0;324;108;0.0937;0.266;0.353;0.666;167;230;0.275;0.188;0.0205;0.0283; 54800;6447;17803;13.9;11.1;44;0.0927;0.265;0.35;0.666;163;226;0.28;0.19;0.0203;0.0282; 50400;6485;17067;14;11.2;46;0.0921;0.269;0.342;0.666;160;223;0.279;0.194;0.0201;0.0279; 49520;6035;17046;14.2;11.3;46;7.18e-05;0.542;0.000132;0.667;0.0216;0.084;0.742;0.135;0.00348;0.0135; 32160;0;0;14.3;13.4;48;9.28e+03;9.75e+03;4.7e+03; 46%; 49%; 23%;9.5e+03;4.59e+03;9.57e+03; 48%; 23%; 48%;9.66e+03;9.77e+03;4.63e+03; 48%; 49%; 23%;6.95e+03;6.94e+03;7.09e+03; 35%; 35%; 35%;53;29.8;8.23;8.94;0;0.656;0;0;0;52.5;28.9;2.54;16;0;0.937;0;0;0;51.4;28.6;2.39;17.5;0;1.22;0;0;0;0.0199;84.7;0;15.3;0;0;0;0;0;84.2;83.5;89.3;67.5;26.5 ;26.8 ;27.7 ;27.1 ;
