System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;12:45:34.335;0.0248;0.359;0.0692;0.989;15.3;29.4;0.481;0.273;0.00181;0.00349;2.17;2.51;8.41e+03;2.35e+04;2.12e+03;0.717;17.9;0.0496;1.24;3.67e+03;6.99;11.7;0.175;81.2;0;17.4;0;0;0;231;41.7;0.0244;0.365;0.0669;0.994;3.13;7.33;0.573;0.318;0.00151;0.00355; 50960;179;419;0.517;0.6;49;0.0351;0.366;0.0961;0.989;5.19;10.2;0.492;0.281;0.00174;0.00344; 47280;192;760;0.476;0.551;50;0.0056;0.399;0.014;0.916;1.05;2.48;0.575;0.299;0.00222;0.00523;  9760;79;157;0.517;0.63;51;0.0341;0.342;0.0998;0.998;5.88;9.35;0.371;0.214;0.00203;0.00323; 46720;404;871;0.656;0.729;50;327;144;416;  1%;  0%;  2%;217;448;259;  1%;  2%;  1%;246;146;333;  1%;  0%;  1%;271;452;410;  1%;  2%;  2%;6.73;12.2;0.316;80.7;0;6.97;0;0;0;9.72;8.65;0.162;81.5;0;17.9;0;0;0;1.53;5.6;0.179;92.7;0;41.1;0;0;0;10;20.2;0.0439;69.8;0;3.85;0;0;0;58.5;57.9;55.5;59.6;10.7 ;10.4 ;10 ;10.6 ;
2017-09-01;12:45:35.346;0.265;0.385;0.688;1;139;215;0.354;0.258;0.00154;0.00239;15;14.5;9.01e+04;2.34e+05;2.13e+03;0.77;19.3;0.53;13.2;2.55e+04;68.8;12.8;0.652;17.7;0;6.82;0;0;0;351;59.3;0.318;0.377;0.844;1;46.8;70.2;0.333;0.215;0.00173;0.00259; 52240;1714;4855;3.75;3.47;47;0.317;0.376;0.843;1;46.7;69.7;0.33;0.215;0.00173;0.00258; 50320;1675;4956;3.75;3.52;48;0.116;0.467;0.249;0.999;3.05;11;0.724;0.603;0.000308;0.00111; 51120;47;180;3.6;3.83;50;0.308;0.378;0.815;1;42.6;64.4;0.339;0.233;0.00163;0.00246; 46480;1508;4442;3.88;3.69;49;2.65e+03;1.33e+03;2.76e+03; 13%;  6%; 14%;1.29e+03;2.62e+03;2.83e+03;  6%; 13%; 14%;1.78e+03;1.78e+03;1.67e+03;  9%;  9%;  8%;1.28e+03;2.84e+03;2.69e+03;  6%; 14%; 13%;84.4;9.07;0.869;5.63;0;1.03;0;0;0;84.4;8.92;1.29;5.41;0;0.651;0;0;0;25;23.6;0.0572;51.4;0;21.6;0;0;0;81.5;9.73;0.391;8.38;0;4.02;0;0;0;92.6;92.1;75.4;90.6;15 ;15 ;15 ;14.3 ;
2017-09-01;12:45:36.347;0.28;0.382;0.733;1;118;187;0.37;0.289;0.00126;0.00199;12.3;12.1;9.4e+04;2.46e+05;2.1e+03;0.763;19.1;0.559;14;2.1e+04;73.3;12.4;4.1;10.2;0;2.31;0;0;0;354;57;0.305;0.375;0.812;1;37;56.5;0.346;0.253;0.00144;0.00221; 48800;1294;3736;3.07;2.96;46;0.239;0.382;0.625;0.999;19.4;33.4;0.419;0.35;0.000966;0.00166; 20640;628;1746;2.99;3.09;48;0.276;0.395;0.697;1;27.5;44.1;0.376;0.313;0.00119;0.0019; 46240;826;2529;3.02;2.98;49;0.299;0.376;0.796;1;34.2;53.3;0.359;0.262;0.00136;0.00212; 42160;1299;3279;3.21;3.12;49;1.56e+03;1.84e+03;2.11e+03;  8%;  9%; 11%;1.36e+03;1.72e+03;1.83e+03;  7%;  8%;  9%;1.34e+03;2e+03;1.8e+03;  6%; 10%;  9%;1.81e+03;1.55e+03;2.11e+03;  9%;  8%; 10%;81.3;9.9;3.3;5.54;0;0.7;0;0;0;62.6;10.9;6.04;20.5;0;6.87;0;0;0;69.7;19.6;4.46;6.24;0;0;0;0;0;79.7;9.29;2.62;8.43;0;1.68;0;0;0;90.1;82;93;88.6;14.2 ;14.3 ;14.6 ;13.9 ;
2017-09-01;12:45:37.358;0.294;0.384;0.767;1;124;204;0.392;0.293;0.00124;0.00204;12.6;12.6;1e+05;2.61e+05;2.12e+03;0.768;19.2;0.589;14.7;2.16e+04;76.7;13.2;0.962;9.08;0;1.73;0;0;0;364;57.6;0.311;0.377;0.824;1;35.6;57;0.375;0.261;0.00135;0.00215; 49040;1191;3359;3.11;3.06;46;0.239;0.413;0.579;0.999;18.4;34;0.459;0.411;0.000904;0.00167; 48160;485;1534;3.07;3.19;47;0.314;0.376;0.835;1;35.4;56.6;0.374;0.264;0.00133;0.00212; 50080;1104;3405;3.07;3.02;48;0.312;0.377;0.828;1;34.5;56.2;0.386;0.265;0.0013;0.00212; 47120;1331;3306;3.36;3.31;48;1.43e+03;1.95e+03;2.16e+03;  7%; 10%; 11%;1.64e+03;1.65e+03;1.66e+03;  8%;  8%;  8%;1.52e+03;2.06e+03;1.91e+03;  7%; 10%;  9%;2.13e+03;1.46e+03;2.05e+03; 10%;  7%; 10%;82.4;10.6;1.79;5.19;0;1.88;0;0;0;58;22.7;0.505;18.8;0;2.52;0;0;0;83.5;9.47;0.882;6.11;0;2.31;0;0;0;82.9;10.2;0.675;6.23;0;0.231;0;0;0;91.8;84.7;96.8;91.2;14.3 ;14.4 ;14.6 ;14.2 ;
2017-09-01;12:45:38.378;0.247;0.251;0.982;1;471;724;0.349;0.311;0.0056;0.0086;54.3;51.2;8.42e+04;3.35e+05;2.12e+03;0.503;12.6;0.493;12.3;9.02e+04;98.2;1.2;0.174;0.435;0;0.0023;0;0;0;429;109;0.238;0.243;0.979;1;122;181;0.328;0.306;0.006;0.00892; 49760;3163;11197;13.1;12.9;44;0.255;0.261;0.98;1;115;179;0.354;0.307;0.00529;0.0082; 48800;5120;11200;13.4;12.4;46;0.244;0.247;0.984;1;121;183;0.342;0.317;0.00581;0.00883; 47760;3757;11324;13.6;12.4;46;0.25;0.254;0.985;1;113;181;0.373;0.312;0.00532;0.00849; 47680;4384;10981;14.3;13.6;46;7.37e+03;8.52e+03;7.34e+03; 37%; 43%; 37%;6.11e+03;8.1e+03;7.42e+03; 31%; 41%; 38%;6.32e+03;8.68e+03;7.31e+03; 32%; 44%; 37%;7.52e+03;7.97e+03;7.57e+03; 38%; 40%; 38%;97.9;1.49;0.535;0.118;0;0;0;0;0;98;1.34;0.0568;0.631;0;0.00629;0;0;0;98.5;1.02;0.00858;0.501;0;0;0;0;0;98.5;0.936;0.0962;0.488;0;0.00292;0;0;0;106;106;112;105;27 ;27 ;28.1 ;26.8 ;
2017-09-01;12:45:39.398;0.232;0.232;1;1;538;826;0.348;0.31;0.00676;0.0104;61.9;58.2;7.97e+04;3.43e+05;2.14e+03;0.465;11.6;0.465;11.6;1.03e+05;100;0.0163;0;0;0;0;0;0;0;435;118;0.224;0.224;1;1;139;207;0.327;0.306;0.00727;0.0108; 52240;3608;12872;14.9;14.6;44;0.243;0.243;1;1;132;204;0.353;0.305;0.00634;0.00979; 50160;5870;12874;15.3;14.1;45;0.228;0.228;1;1;138;209;0.34;0.318;0.00706;0.0107; 47680;4149;12970;15.5;14.1;45;0.235;0.235;1;1;129;206;0.373;0.312;0.00642;0.0102; 48160;5037;12583;16.2;15.4;47;8.39e+03;9.7e+03;8.33e+03; 42%; 49%; 42%;6.95e+03;9.25e+03;8.45e+03; 35%; 47%; 43%;7.2e+03;9.9e+03;8.3e+03; 36%; 50%; 42%;8.53e+03;9.1e+03;8.61e+03; 43%; 46%; 43%;100;0.0426;0;0;0;0;0;0;0;100;0.00436;0;0;0;0;0;0;0;100;0.0146;0;0;0;0;0;0;0;100;0.00375;0;0;0;0;0;0;0;107;107;114;107;28.7 ;29.4 ;30.2 ;29.6 ;
2017-09-01;12:45:40.418;0.231;0.231;1;1;544;834;0.348;0.31;0.00686;0.0105;62.4;58.7;7.92e+04;3.43e+05;2.14e+03;0.462;11.6;0.462;11.6;1.04e+05;100;0.00351;0;0;0;0;0;0;0;436;119;0.222;0.222;1;1;140;209;0.328;0.306;0.00737;0.011; 53040;3979;12864;15;14.8;44;0.242;0.242;1;1;133;206;0.353;0.305;0.00644;0.00995; 49600;5648;13038;15.4;14.2;45;0.226;0.226;1;1;139;211;0.34;0.317;0.00718;0.0109; 47280;4079;13036;15.6;14.2;45;0.234;0.234;1;1;130;208;0.373;0.312;0.00651;0.0104; 47120;5068;12665;16.4;15.6;46;8.46e+03;9.78e+03;8.4e+03; 43%; 49%; 42%;7.02e+03;9.34e+03;8.52e+03; 35%; 47%; 43%;7.27e+03;9.98e+03;8.38e+03; 37%; 50%; 42%;8.62e+03;9.19e+03;8.69e+03; 43%; 46%; 44%;100;0.00512;0;0;0;0;0;0;0;100;0.00655;0;0;0;0;0;0;0;100;0.00212;0;0;0;0;0;0;0;100;0.000244;0;0;0;0;0;0;0;107;108;114;107;29.3 ;29.4 ;30.7 ;29.4 ;
2017-09-01;12:45:41.438;0.231;0.231;1;1;542;833;0.349;0.31;0.00684;0.0105;62.3;58.6;7.93e+04;3.43e+05;2.14e+03;0.463;11.6;0.463;11.6;1.03e+05;100;0.00639;0;0;0;0;0;0;0;436;119;0.222;0.222;1;1;140;208;0.327;0.306;0.00736;0.0109; 52240;3987;12805;15;14.7;43;0.242;0.242;1;1;133;206;0.353;0.305;0.00642;0.00993; 48720;5546;13161;15.4;14.2;45;0.227;0.227;1;1;139;211;0.341;0.318;0.00715;0.0108; 48160;4127;13015;15.6;14.2;45;0.234;0.234;1;1;130;208;0.374;0.312;0.00648;0.0104; 46640;5192;12824;16.4;15.5;45;8.44e+03;9.76e+03;8.38e+03; 43%; 49%; 42%;7e+03;9.32e+03;8.5e+03; 35%; 47%; 43%;7.25e+03;9.95e+03;8.36e+03; 37%; 50%; 42%;8.59e+03;9.17e+03;8.66e+03; 43%; 46%; 44%;100;0.00224;0;0;0;0;0;0;0;100;0.0142;0;0;0;0;0;0;0;100;0.000807;0;0;0;0;0;0;0;100;0.00837;0;0;0;0;0;0;0;107;108;114;106;29.6 ;29.7 ;30.7 ;29.4 ;
2017-09-01;12:45:42.458;0.231;0.231;1;1;543;834;0.349;0.31;0.00686;0.0105;62.4;58.7;7.92e+04;3.43e+05;2.14e+03;0.462;11.6;0.462;11.6;1.04e+05;100;0.00645;0;0;0;0;0;0;0;436;119;0.222;0.222;1;1;140;209;0.328;0.306;0.00737;0.011; 53200;3972;12869;15;14.8;43;0.242;0.242;1;1;133;206;0.353;0.305;0.00644;0.00996; 49680;5543;13228;15.4;14.2;44;0.227;0.227;1;1;139;211;0.341;0.318;0.00717;0.0109; 48000;4254;12771;15.6;14.2;44;0.234;0.234;1;1;130;208;0.374;0.312;0.00651;0.0104; 47600;5263;12878;16.4;15.6;45;8.46e+03;9.78e+03;8.39e+03; 43%; 49%; 42%;7.01e+03;9.33e+03;8.52e+03; 35%; 47%; 43%;7.26e+03;9.97e+03;8.37e+03; 37%; 50%; 42%;8.61e+03;9.19e+03;8.68e+03; 43%; 46%; 44%;100;0.0138;0;0;0;0;0;0;0;100;0.00182;0;0;0;0;0;0;0;100;0.00852;0;0;0;0;0;0;0;100;0.00162;0;0;0;0;0;0;0;107;108;115;107;29.3 ;29.7 ;30.7 ;29.6 ;
2017-09-01;12:45:43.478;0.231;0.231;1;1;544;835;0.348;0.31;0.00686;0.0105;62.4;58.7;7.93e+04;3.43e+05;2.14e+03;0.462;11.6;0.462;11.6;1.04e+05;100;0.00621;0;0;0;0;0;0;0;436;119;0.222;0.222;1;1;141;209;0.327;0.306;0.00738;0.011; 51680;3792;12835;15;14.8;43;0.242;0.242;1;1;134;206;0.353;0.305;0.00644;0.00995; 47360;5549;13253;15.4;14.2;44;0.226;0.226;1;1;139;211;0.341;0.318;0.00718;0.0109; 47840;4060;12849;15.6;14.2;44;0.234;0.234;1;1;130;208;0.373;0.312;0.0065;0.0104; 46960;5249;12826;16.4;15.5;45;8.47e+03;9.78e+03;8.39e+03; 43%; 49%; 42%;7.01e+03;9.33e+03;8.52e+03; 35%; 47%; 43%;7.26e+03;9.98e+03;8.37e+03; 37%; 50%; 42%;8.61e+03;9.19e+03;8.68e+03; 43%; 46%; 44%;100;0.00746;0;0;0;0;0;0;0;100;0.00227;0;0;0;0;0;0;0;100;0.0125;0;0;0;0;0;0;0;100;0.00259;0;0;0;0;0;0;0;107;108;115;107;29.7 ;29.6 ;30.5 ;29.7 ;
