System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-10;11:41:08.907;0.00196;0.348;0.00564;0.856;0.0924;0.475;0.805;0.148;0.000139;0.000713;0.0532;0.0494;666;1.92e+03;2.12e+03;0.695;17.4;0.00392;0.098;9.92;0.659;17.3;0.0042;82.1;0;31.7;0;0;0;136;21.5;0.00026;0.379;0.000687;0.845;0.0513;0.232;0.779;0.19;0.00232;0.0105; 35440;3;2;0.012;0.0109;50;0.00746;0.346;0.0216;0.857;0.0148;0.0821;0.819;0.106;2.34e-05;0.000129; 48160;0;0;0.0177;0.0174;51;5.65e-05;0.392;0.000144;0.76;0.0127;0.0803;0.841;0.0901;0.00265;0.0167; 36080;0;3;0.00279;0.00244;53;6.28e-05;0.417;0.00015;0.857;0.0136;0.0811;0.832;0.11;0.00254;0.0152; 36240;0;0;0.0207;0.0187;49;1.16;0.921;1.34;  0%;  0%;  0%;0.265;0.55;0.93;  0%;  0%;  0%;0.146;0.717;0.661;  0%;  0%;  0%;0.428;0.438;2.37;  0%;  0%;  0%;0.0813;16.6;0.0168;83.3;0;38.5;0;0;0;2.52;13;0;84.5;0;0;0;0;0;0.019;10.9;0;89.1;0;88.2;0;0;0;0.0175;28.5;0;71.5;0;0;0;0;0;34.4;34.4;33.2;34.3;5.94 ;5.53 ;4.89 ;5.18 ;
2017-11-10;11:41:09.919;0.00889;1.57;0.00566;0.857;0.43;0.911;0.528;0.0969;0.000142;0.000301;0.406;0.571;3.03e+03;1.93e+03;2.13e+03;3.14;78.5;0.0178;0.445;698;0.661;20;0.00163;79.3;0;9.55;0;0;0;139;26.5;0.000278;0.41;0.000676;0.857;0.0361;0.251;0.856;0.178;0.00153;0.0106; 34320;3;0;0.126;0.152;50;0.0352;1.63;0.0216;0.857;0.367;0.482;0.24;0.0522;0.000123;0.000161; 51440;181;535;0.0324;0.125;50;6.51e-05;0.369;0.000176;0.857;0.0126;0.0886;0.857;0.0758;0.00228;0.016; 34240;0;2;0.125;0.148;53;7.55e-05;0.389;0.000194;0.841;0.0147;0.0899;0.836;0.0983;0.0023;0.014; 32240;0;3;0.122;0.145;49;44.4;20.3;20.5;  0%;  0%;  0%;145;146;147;  0%;  0%;  0%;43.1;20.2;20.3;  0%;  0%;  0%;20.1;49.9;21.1;  0%;  0%;  0%;0.0789;21.7;0.00654;78.2;0;0;0;0;0;2.52;22;0;75.5;0;0;0;0;0;0.0206;19.4;0;80.6;0;0;0;0;0;0.0231;17;0;82.9;0;38.2;0;0;0;34.8;35.9;34.4;33.5;7.11 ;6.57 ;6.87 ;5.95 ;
2017-11-10;11:41:10.918;0.0101;1.51;0.00668;0.857;0.461;0.859;0.463;0.0969;0.000136;0.000253;0.45;0.673;3.4e+03;2.24e+03;2.1e+03;3.03;75.7;0.0202;0.506;839;0.78;76.3;0.00278;22.9;0;0;0;0;0;162;27;0.00132;0.27;0.0049;0.857;0.0351;0.205;0.829;0.188;0.000316;0.00185; 33920;3;0;0.138;0.174;49;0.039;1.81;0.0216;0.857;0.403;0.502;0.198;0.0484;0.000123;0.000153; 51360;215;641;0.0333;0.149;50;5.95e-05;0.491;0.000121;0.857;0.0116;0.0764;0.848;0.103;0.00233;0.0153; 32640;2;1;0.137;0.174;53;6.97e-05;0.53;0.000132;0.857;0.0122;0.0763;0.841;0.121;0.00208;0.013; 24080;1;0;0.141;0.176;49;50.8;23.8;24.1;  0%;  0%;  0%;179;179;180;  0%;  0%;  0%;49.5;23.8;23.7;  0%;  0%;  0%;23.4;57.4;24.6;  0%;  0%;  0%;0.571;47.7;0.0111;51.7;0;0;0;0;0;2.52;78.6;0;18.9;0;0;0;0;0;0.0141;90.3;0;9.67;0;0;0;0;0;0.0153;88.4;0;11.6;0;0;0;0;0;37.5;41.7;41.8;40.9;7.14 ;6.58 ;6.95 ;6.33 ;
2017-11-10;11:41:11.930;0.00983;1.76;0.00558;0.857;0.472;0.91;0.481;0.0998;0.000141;0.000272;0.453;0.68;3.34e+03;1.9e+03;2.13e+03;3.52;88.1;0.0197;0.491;847;0.651;91.4;0.00305;7.9;0;0;0;0;0;170;27.2;0.000246;0.47;0.000522;0.857;0.0432;0.26;0.834;0.162;0.00207;0.0125; 33920;2;1;0.141;0.176;49;0.0389;1.81;0.0216;0.857;0.403;0.504;0.2;0.0477;0.000122;0.000152; 51600;217;651;0.0335;0.15;50;5.78e-05;0.537;0.000108;0.857;0.0126;0.0721;0.825;0.147;0.00257;0.0147; 30080;0;5;0.138;0.176;53;6.69e-05;0.569;0.000118;0.857;0.0133;0.0741;0.82;0.15;0.00234;0.013; 17920;1;0;0.141;0.178;49;51.9;24;24.3;  0%;  0%;  0%;181;181;182;  0%;  0%;  0%;50.3;24;23.6;  0%;  0%;  0%;23.3;56.7;24.8;  0%;  0%;  0%;0.061;73.8;0.0122;26.1;0;0;0;0;0;2.52;94.4;0;3.07;0;0;0;0;0;0.0126;100;0;0;0;0;0;0;0;0.0137;97.6;0;2.43;0;0;0;0;0;40.2;43.9;43.6;42.4;7.18 ;6.59 ;7 ;6.4 ;
2017-11-10;11:41:12.942;0.00991;1.77;0.00561;0.857;0.469;0.958;0.511;0.12;0.000139;0.000284;0.455;0.681;3.37e+03;1.91e+03;2.12e+03;3.53;88.3;0.0198;0.495;845;0.655;90.3;0.00198;9.06;0;0;0;0;0;170;27.2;0.000232;0.434;0.000536;0.857;0.0365;0.224;0.837;0.187;0.00185;0.0114; 32960;1;2;0.139;0.176;49;0.039;1.81;0.0216;0.857;0.403;0.505;0.202;0.0469;0.000121;0.000152; 51520;218;651;0.0333;0.15;50;5.76e-05;0.547;0.000105;0.857;0.0127;0.0702;0.819;0.165;0.00259;0.0143; 28320;0;2;0.14;0.178;52;0.000337;1.36;0.000248;0.857;0.0166;0.158;0.895;0.202;0.000581;0.00553; 12240;0;2;0.143;0.178;49;51.8;23.8;24.3;  0%;  0%;  0%;182;180;181;  0%;  0%;  0%;50.9;23.8;23.9;  0%;  0%;  0%;23.7;55.2;24.7;  0%;  0%;  0%;0.0625;68.7;0.00791;31.2;0;0;0;0;0;2.51;92.5;0;4.99;0;0;0;0;0;0.0123;100;0;0;0;0;0;0;0;0.029;100;0;0;0;0;0;0;0;39.6;43.8;43.6;42.6;7.22 ;6.64 ;6.99 ;6.36 ;
2017-11-10;11:41:13.954;0.0107;1.21;0.0088;0.857;0.475;0.932;0.49;0.106;0.000131;0.000257;0.455;0.684;3.63e+03;2.99e+03;2.13e+03;2.42;60.6;0.0213;0.533;848;1.03;79.3;0.00173;19.6;0;0;0;0;0;166;27.3;0.00354;0.265;0.0134;0.857;0.0371;0.25;0.851;0.175;0.000124;0.000831; 32400;3;0;0.141;0.178;49;0.039;1.81;0.0216;0.857;0.412;0.533;0.227;0.0467;0.000124;0.000161; 51520;218;653;0.0343;0.15;50;6.51e-05;0.559;0.000117;0.857;0.0123;0.0733;0.832;0.171;0.00222;0.0132; 27520;0;4;0.14;0.177;52;7.53e-05;0.567;0.000133;0.857;0.0139;0.0757;0.817;0.174;0.00217;0.0118;  8960;1;0;0.14;0.179;49;53.2;24;24;  0%;  0%;  0%;181;182;183;  0%;  0%;  0%;51.5;24;23.6;  0%;  0%;  0%;23.4;53.8;24.4;  0%;  0%;  0%;1.56;62.4;0.00692;36.1;0;0;0;0;0;2.52;57.3;0;40.1;0;0;0;0;0;0.0136;100;0;0;0;0;0;0;0;0.0155;97.7;0;2.31;0;0;0;0;0;40.2;39.9;43.7;42.5;7.23 ;6.65 ;7.01 ;6.36 ;
2017-11-10;11:41:14.966;0.011;1.08;0.0102;0.857;0.468;0.887;0.472;0.106;0.000125;0.000236;0.453;0.681;3.76e+03;3.46e+03;2.13e+03;2.17;54.2;0.0221;0.552;842;1.19;82.9;0.00631;15.9;0;0;0;0;0;168;27.2;0.00507;0.268;0.0189;0.857;0.0381;0.24;0.841;0.175;8.84e-05;0.000557; 31840;2;1;0.141;0.178;49;0.039;1.81;0.0216;0.857;0.406;0.51;0.203;0.0481;0.000123;0.000154; 51520;220;657;0.0334;0.149;50;5.65e-05;0.558;0.000101;0.857;0.0114;0.0665;0.828;0.171;0.00238;0.0139; 25840;0;2;0.137;0.177;53;6.66e-05;0.573;0.000116;0.857;0.0123;0.0712;0.827;0.168;0.00217;0.0126;  7360;0;1;0.142;0.178;48;52.8;23.6;24.1;  0%;  0%;  0%;180;181;181;  0%;  0%;  0%;51;23.6;23.5;  0%;  0%;  0%;23.2;52.9;24.6;  0%;  0%;  0%;2.21;57.9;0.0252;39.9;0;0;0;0;0;2.52;75.4;0;22.1;0;0;0;0;0;0.0118;100;0;0;0;0;0;0;0;0.0136;98.2;0;1.74;0;0;0;0;0;40;41.9;43.6;42.5;7.24 ;6.65 ;6.95 ;6.37 ;
2017-11-10;11:41:15.978;0.0111;1.08;0.0103;0.857;0.535;0.995;0.462;0.157;0.000141;0.000263;0.46;0.687;3.79e+03;3.51e+03;2.12e+03;2.16;54;0.0223;0.557;855;1.2;89.6;0.0091;9.17;0;0;0;0;0;171;27.4;0.00516;0.268;0.0192;0.857;0.0568;0.258;0.78;0.189;0.000129;0.000588; 31920;3;2;0.142;0.179;49;0.0391;1.81;0.0216;0.857;0.401;0.502;0.2;0.0488;0.000121;0.000151; 51520;216;651;0.034;0.149;50;8.44e-05;0.559;0.000151;0.857;0.031;0.0976;0.683;0.178;0.00431;0.0136; 25440;0;4;0.14;0.178;52;0.000258;0.864;0.000299;0.857;0.0465;0.138;0.664;0.361;0.00212;0.0063; 10000;2;4;0.144;0.181;49;53.1;24.9;27.3;  0%;  0%;  0%;181;183;183;  0%;  0%;  0%;51.9;24.2;24.3;  0%;  0%;  0%;24.2;53;25.8;  0%;  0%;  0%;2.25;64.1;0.0364;33.6;0;0;0;0;0;2.51;97.5;0;0;0;0;0;0;0;0.0176;100;0;0;0;0;0;0;0;0.0349;96.9;0;3.08;0;0;0;0;0;40.8;44.2;43.6;42.5;7.23 ;6.68 ;7.02 ;6.43 ;
2017-11-10;11:41:16.990;0.00983;1.76;0.00559;0.857;0.47;0.933;0.497;0.103;0.000141;0.000279;0.452;0.693;3.34e+03;1.9e+03;2.12e+03;3.52;87.9;0.0197;0.491;844;0.652;90.8;0.00692;8.54;0;0;0;0;0;170;27.3;0.000256;0.438;0.000585;0.857;0.0417;0.288;0.855;0.156;0.00192;0.0132; 31760;4;2;0.141;0.181;49;0.0389;1.81;0.0216;0.857;0.402;0.504;0.202;0.0489;0.000122;0.000152; 51440;222;648;0.0335;0.15;50;5.75e-05;0.553;0.000104;0.857;0.0124;0.0695;0.821;0.165;0.00254;0.0142; 23440;0;6;0.138;0.181;52;6.69e-05;0.575;0.000116;0.857;0.0134;0.0716;0.812;0.17;0.00236;0.0126;  9840;0;0;0.14;0.181;48;53.3;24.2;24.4;  0%;  0%;  0%;182;180;181;  0%;  0%;  0%;51.6;24.1;23.6;  0%;  0%;  0%;23.3;52;24.9;  0%;  0%;  0%;0.0683;66.8;0.0277;33.1;0;0;0;0;0;2.51;96.5;0;1.02;0;0;0;0;0;0.0121;100;0;0;0;0;0;0;0;0.0136;100;0;0;0;0;0;0;0;39.5;44.1;43.7;42.6;7.27 ;6.66 ;7.02 ;6.41 ;
2017-11-10;11:41:17.002;0.0085;1.52;0.00561;0.857;1.14;4.42;0.741;0.358;0.000396;0.00153;0.398;0.624;2.89e+03;1.91e+03;2.13e+03;3.03;75.8;0.017;0.425;720;0.655;77.4;0.00818;22;0;0;0;0;0;165;28.2;0.00025;0.416;0.0006;0.857;0.0351;0.251;0.861;0.179;0.00165;0.0118; 30560;2;0;0.122;0.173;49;0.0336;1.56;0.0216;0.857;1.08;4.02;0.73;0.372;0.000379;0.00141; 51520;176;534;0.0409;0.123;50;6.55e-05;0.572;0.000115;0.857;0.0127;0.0749;0.831;0.171;0.00228;0.0135; 20720;0;3;0.118;0.164;52;7.3e-05;0.563;0.00013;0.857;0.0129;0.0742;0.826;0.177;0.00208;0.0119;  9760;1;0;0.117;0.164;49;61.3;17.8;17.8;  0%;  0%;  0%;147;146;154;  0%;  0%;  0%;53.5;17.8;17.5;  0%;  0%;  0%;17.3;52.5;18.3;  0%;  0%;  0%;0.07;60.9;0.0327;39;0;0;0;0;0;2.52;53.6;0;43.8;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;0.0151;95;0;5.02;0;0;0;0;0;38.9;39.6;43.7;42.4;7.38 ;6.94 ;7.28 ;6.57 ;
