System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-11-11;10:29:20.862;0.00278;0.426;0.00653;0.998;0.113;0.5;0.775;0.158;0.000119;0.00053;0.0789;0.0939;943;2.22e+03;2.12e+03;0.851;21.3;0.00556;0.139;60.1;0.655;18.4;0.00119;80.9;0;31.7;0;0;0;223;24.7;0.000252;0.376;0.000669;0.979;0.048;0.198;0.758;0.226;0.00225;0.00927; 36560;2;0;0.0188;0.0236;46;0.0107;0.428;0.0251;1;0.0386;0.134;0.711;0.0955;4.24e-05;0.000147; 44800;14;49;0.0188;0.0253;46;5.98e-05;0.367;0.000163;0.832;0.0127;0.0831;0.848;0.1;0.0025;0.0164;  9280;0;2;0.0119;0.0106;52;6.89e-05;0.386;0.000178;1;0.0134;0.0849;0.843;0.131;0.00229;0.0145; 19440;1;1;0.0295;0.0343;52;4.5;2.17;1.6;  0%;  0%;  0%;11.8;11.9;12.4;  0%;  0%;  0%;3.66;2.08;1.82;  0%;  0%;  0%;1.54;4.02;2.61;  0%;  0%;  0%;0.0684;22;0.00476;77.9;0;38.9;0;0;0;2.51;15.7;0;81.8;0;0;0;0;0;0.0196;11.3;0;88.7;0;87.9;0;0;0;0.0178;24.6;0;75.3;0;0;0;0;0;55.5;57.4;55.1;54.8;7 ;6.49 ;5.17 ;6.05 ;
2017-11-11;10:29:21.870;0.0116;1.78;0.00653;0.999;0.541;0.988;0.453;0.0958;0.000138;0.000252;0.509;0.724;3.93e+03;2.21e+03;2.12e+03;3.55;88.8;0.0232;0.58;987;0.653;22.4;0.00101;76.9;0;9.63;0;0;0;231;35.4;0.000264;0.424;0.000623;1;0.0397;0.228;0.826;0.196;0.00178;0.0102; 35840;1;1;0.162;0.229;46;0.046;1.83;0.0252;1;0.474;0.582;0.185;0.0496;0.000122;0.00015; 50560;255;773;0.0336;0.168;46;6.1e-05;0.41;0.000149;1;0.0123;0.0848;0.855;0.0804;0.00238;0.0164;  9360;0;3;0.159;0.161;52;7.68e-05;0.429;0.000179;0.911;0.0147;0.0929;0.841;0.109;0.00227;0.0143; 19600;1;0;0.155;0.167;51;62.5;27.1;25.9;  0%;  0%;  0%;211;210;210;  1%;  1%;  1%;59.9;27;33.8;  0%;  0%;  0%;33.5;60.3;26.5;  0%;  0%;  0%;0.0623;26.5;0.00405;73.4;0;0;0;0;0;2.52;27.5;0;70;0;0;0;0;0;0.0149;21.4;0;78.6;0;0;0;0;0;0.0196;14.3;0;85.7;0;38.5;0;0;0;57.8;60.8;60.4;52.3;9.6 ;8.98 ;9.24 ;7.62 ;
2017-11-11;10:29:22.870;0.0121;1.5;0.00804;1;0.539;1.03;0.478;0.111;0.000133;0.000255;0.512;0.718;4.05e+03;2.7e+03;2.1e+03;3;74.9;0.0241;0.603;994;0.804;92.6;0.00267;6.57;0;0;0;0;0;279;36.3;0.000216;0.456;0.000475;1;0.0361;0.211;0.829;0.19;0.00198;0.0116; 35680;1;3;0.16;0.23;46;0.0476;1.52;0.0313;1;0.474;0.579;0.181;0.0488;0.000119;0.000145; 50480;255;782;0.0328;0.164;45;6.01e-05;0.549;0.00011;1;0.0124;0.0761;0.837;0.118;0.00246;0.0151;  9280;0;4;0.159;0.161;51;0.000348;1.35;0.000258;1;0.0162;0.167;0.903;0.191;0.000553;0.00569; 19680;0;1;0.161;0.162;51;61.5;26.9;27.2;  0%;  0%;  0%;211;211;211;  1%;  1%;  1%;59.8;26.8;35.3;  0%;  0%;  0%;35.1;60.2;27.7;  0%;  0%;  0%;0.0475;77.1;0.0107;22.9;0;0;0;0;0;3.13;95;0;1.9;0;0;0;0;0;0.011;100;0;0;0;0;0;0;0;0.0258;98.4;0;1.53;0;0;0;0;0;65.6;71.8;73.6;67.8;9.48 ;8.94 ;9.18 ;8.73 ;
2017-11-11;10:29:23.878;0.0116;1.79;0.00645;1;0.536;0.941;0.43;0.108;0.000137;0.00024;0.515;0.719;3.92e+03;2.19e+03;2.12e+03;3.59;89.6;0.0231;0.579;997;0.645;89.3;0.00678;10.1;0;0;0;0;0;279;36.6;0.000219;0.454;0.000482;1;0.0359;0.214;0.833;0.203;0.00193;0.0116; 35280;0;1;0.16;0.23;45;0.0459;1.83;0.0251;1;0.476;0.58;0.179;0.0486;0.000122;0.000149; 50480;259;777;0.033;0.166;45;5.85e-05;0.587;9.96e-05;1;0.0121;0.072;0.832;0.155;0.00244;0.0145;  9280;0;3;0.161;0.161;51;7.08e-05;0.616;0.000115;1;0.0124;0.0749;0.835;0.178;0.00207;0.0125; 19600;0;1;0.161;0.163;51;61.6;27.2;27.2;  0%;  0%;  0%;211;212;212;  1%;  1%;  1%;60.2;27.2;35.6;  0%;  0%;  0%;35.3;60.1;27.7;  0%;  0%;  0%;0.0482;66;0.0271;34;0;0;0;0;0;2.51;94.4;0;3.09;0;0;0;0;0;0.00996;96.7;0;3.24;0;0;0;0;0;0.0115;100;0;0;0;0;0;0;0;64.2;72.1;73.5;68.7;9.66 ;8.9 ;9.3 ;8.73 ;
2017-11-11;10:29:24.886;0.0116;1.79;0.00649;1;0.553;0.984;0.438;0.109;0.000141;0.000251;0.518;0.723;3.92e+03;2.2e+03;2.12e+03;3.57;89.3;0.0232;0.579;1e+03;0.649;74.7;0.00551;24.7;0;0;0;0;0;270;36.7;0.000236;0.435;0.000543;1;0.0381;0.222;0.828;0.206;0.00191;0.0111; 35360;0;2;0.162;0.231;45;0.046;1.83;0.0252;1;0.488;0.613;0.204;0.0471;0.000125;0.000157; 50400;255;771;0.0337;0.167;45;6.4e-05;0.578;0.000111;1;0.0131;0.0725;0.819;0.168;0.00242;0.0134;  9280;0;4;0.159;0.162;51;7.65e-05;0.614;0.000125;1;0.0137;0.0763;0.82;0.19;0.00211;0.0118; 19600;0;1;0.163;0.163;50;62.3;27.2;27.7;  0%;  0%;  0%;212;212;213;  1%;  1%;  1%;59.8;27.2;35.6;  0%;  0%;  0%;35.3;60.5;28.2;  0%;  0%;  0%;0.0543;67.9;0.022;32.1;0;0;0;0;0;2.52;30.8;0;66.6;0;0;0;0;0;0.0111;100;0;0;0;0;0;0;0;0.0125;100;0;0;0;0;0;0;0;64.9;61.7;74.2;68.7;9.64 ;9.01 ;9.28 ;8.75 ;
2017-11-11;10:29:25.894;0.0116;1.79;0.00647;1;0.548;0.993;0.448;0.102;0.00014;0.000253;0.515;0.724;3.92e+03;2.19e+03;2.12e+03;3.58;89.5;0.0232;0.579;1e+03;0.647;85.8;0.00534;13.5;0;0;0;0;0;276;36.5;0.000241;0.473;0.000509;1;0.0393;0.259;0.848;0.171;0.00193;0.0127; 35200;0;1;0.16;0.232;46;0.046;1.83;0.0251;1;0.482;0.584;0.175;0.049;0.000124;0.00015; 50720;253;775;0.0332;0.165;45;5.78e-05;0.572;0.000101;1;0.0125;0.0713;0.825;0.155;0.00255;0.0146;  9200;0;2;0.161;0.162;50;7.13e-05;0.552;0.000129;1;0.0141;0.0782;0.82;0.169;0.00233;0.0129; 19680;0;2;0.161;0.165;50;62.2;27.2;26.9;  0%;  0%;  0%;212;213;214;  1%;  1%;  1%;60.6;27.1;35.3;  0%;  0%;  0%;35.1;60.6;27.4;  0%;  0%;  0%;0.0509;67.3;0.0213;32.6;0;0;0;0;0;2.51;91.7;0;5.79;0;0;0;0;0;0.0101;93.6;0;6.39;0;0;0;0;0;0.0129;90.7;0;9.26;0;0;0;0;0;64.5;71.6;73.2;66.8;9.68 ;8.91 ;9.21 ;8.67 ;
2017-11-11;10:29:26.902;0.0116;1.79;0.00647;1;0.542;0.959;0.435;0.107;0.000138;0.000245;0.516;0.721;3.92e+03;2.19e+03;2.12e+03;3.57;89.4;0.0231;0.578;999;0.647;83.2;0.00499;16.1;0;0;0;0;0;275;36.4;0.000225;0.435;0.000517;1;0.0326;0.214;0.848;0.205;0.00171;0.0112; 34080;1;0;0.161;0.23;45;0.0459;1.83;0.0251;1;0.483;0.586;0.176;0.0494;0.000124;0.000151; 50480;256;775;0.0329;0.166;45;5.92e-05;0.556;0.000106;1;0.0129;0.0742;0.826;0.154;0.00258;0.0148;  9200;0;5;0.159;0.162;51;7.57e-05;0.542;0.00014;1;0.0137;0.0855;0.84;0.158;0.00213;0.0133; 19760;1;0;0.163;0.163;50;62;27.1;27.6;  0%;  0%;  0%;212;212;212;  1%;  1%;  1%;60;27.1;35.6;  0%;  0%;  0%;35.3;60.6;28.1;  0%;  0%;  0%;0.0517;65.3;0.0199;34.6;0;0;0;0;0;2.51;85;0;12.5;0;0;0;0;0;0.0106;91.8;0;8.19;0;0;0;0;0;0.014;90.7;0;9.26;0;0;0;0;0;64.4;70.8;72.9;66.9;9.6 ;8.96 ;9.23 ;8.64 ;
2017-11-11;10:29:27.910;0.0116;1.79;0.00647;1;0.549;1;0.453;0.103;0.00014;0.000256;0.514;0.724;3.92e+03;2.19e+03;2.12e+03;3.58;89.4;0.0232;0.579;999;0.647;83.9;0.00596;15.5;0;0;0;0;0;275;36.6;0.000248;0.46;0.000539;1;0.0406;0.266;0.848;0.173;0.00193;0.0127; 34000;1;1;0.161;0.231;45;0.0459;1.83;0.0251;1;0.482;0.585;0.176;0.0488;0.000124;0.00015; 50720;254;776;0.0332;0.166;45;5.88e-05;0.557;0.000106;1;0.0125;0.0709;0.824;0.157;0.0025;0.0142;  9360;0;2;0.159;0.164;50;7.27e-05;0.543;0.000134;1;0.0138;0.0817;0.831;0.162;0.00224;0.0133; 19680;0;3;0.161;0.164;50;62.1;27.2;27.5;  0%;  0%;  0%;212;212;213;  1%;  1%;  1%;60.2;27.2;35.3;  0%;  0%;  0%;35;60.5;27.9;  0%;  0%;  0%;0.0539;66;0.0239;33.9;0;0;0;0;0;2.51;92.5;0;5.02;0;0;0;0;0;0.0106;90;0;9.97;0;0;0;0;0;0.0134;87;0;13;0;0;0;0;0;64.3;71.9;72.7;66.4;9.68 ;8.93 ;9.22 ;8.77 ;
2017-11-11;10:29:28.918;0.00807;0.95;0.0085;1;2.52;12.2;0.794;0.362;0.000921;0.00446;0.343;0.518;2.73e+03;2.88e+03;2.12e+03;1.9;47.5;0.0161;0.404;605;0.85;63.2;0.00962;35.9;0;0;0;0;0;262;38.8;0.00024;0.398;0.000602;1;0.0334;0.227;0.853;0.193;0.00165;0.0112; 33520;0;0;0.0875;0.137;45;0.0298;1.19;0.0252;1;2.46;11.8;0.792;0.367;0.000972;0.00468; 50800;121;429;0.0556;0.0885;45;0.00213;0.263;0.00809;1;0.014;0.077;0.819;0.162;7.75e-05;0.000427;  9120;0;4;0.107;0.167;50;7.8e-05;0.536;0.000145;1;0.0142;0.0849;0.833;0.166;0.00215;0.0129; 19520;0;1;0.0921;0.126;50;60.7;7.9;8.16;  0%;  0%;  0%;139;105;99.7;  0%;  0%;  0%;85.4;7.89;10.2;  0%;  0%;  0%;9.95;62.2;8.62;  0%;  0%;  0%;0.0602;52.8;0.0385;47.1;0;0;0;0;0;2.52;26.7;0;70.8;0;0;0;0;0;0.809;85.8;0;13.4;0;0;0;0;0;0.0145;87.6;0;12.4;0;0;0;0;0;62;61.2;72.3;66.3;9.8 ;9.58 ;10 ;9.34 ;
2017-11-11;10:29:29.926;0.00622;0.96;0.00648;1;3.17;16.4;0.807;0.361;0.0015;0.0078;0.274;0.438;2.11e+03;2.19e+03;2.12e+03;1.92;48;0.0124;0.311;456;0.648;79.6;0.0112;19.8;0;0;0;0;0;273;39.3;0.000221;0.403;0.00055;1;0.0345;0.225;0.847;0.181;0.00184;0.012; 33360;1;2;0.062;0.104;45;0.0245;0.976;0.0251;1;3.11;16;0.806;0.365;0.0015;0.00772; 50960;80;290;0.0633;0.0614;45;5.95e-05;0.537;0.000111;1;0.0124;0.0751;0.835;0.142;0.00245;0.0149;  9120;3;1;0.0863;0.169;50;7.22e-05;0.576;0.000125;1;0.0127;0.0806;0.842;0.164;0.00208;0.0132; 19520;0;0;0.0622;0.104;50;61.1;0.825;1.07;  0%;  0%;  0%;115;59.9;60.9;  0%;  0%;  0%;94.6;0.792;0.652;  0%;  0%;  0%;0.413;58.9;1.51;  0%;  0%;  0%;0.055;45.6;0.0448;54.3;0;0;0;0;0;2.51;94.3;0;3.17;0;0;0;0;0;0.0111;84.2;0;15.8;0;0;0;0;0;0.0125;94.1;0;5.86;0;0;0;0;0;61.3;72.2;71.8;67.7;9.87 ;9.72 ;10.2 ;9.55 ;
