System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;19:31:43.729;0.168;1.87;0.0896;0.619;128;170;0.245;0.678;0.00196;0.0026;12.9;9.87;6.53e+04;3.49e+04;2.15e+03;3.75;93.7;0.336;8.39;2.05e+04;14.5;32.8;0.0139;52.8;0;9.22;0;0;0;209;60;0.262;1.93;0.136;0.619;49.4;67.4;0.267;0.694;0.00201;0.00274; 48640;1504;4269;3.25;2.49;48;0.413;1.94;0.214;0.619;78.2;99.5;0.214;0.671;0.00194;0.00247; 51360;2440;7110;3.17;2.12;49;0.0035;0.313;0.0112;0.616;0.341;1.95;0.825;0.162;0.000985;0.00564; 39280;2;26;3.2;2.58;55;0.00145;0.672;0.00216;0.619;0.353;1.11;0.68;0.466;0.00246;0.0077; 27200;16;18;3.3;2.68;52;3.08e+03;1.03e+03;1.06e+03; 13%;  4%;  4%;1.5e+03;1.54e+03;2.92e+03;  6%;  6%; 13%;2.41e+03;1.71e+03;495; 10%;  7%;  2%;489;2.33e+03;1.89e+03;  2%; 10%;  8%;21.9;29.7;0.0093;48.4;0;13.6;0;0;0;34.5;38.6;0.0163;26.9;0;12.6;0;0;0;1.82;28.7;0.00469;69.5;0;11;0;0;0;0.349;34;0.025;65.6;0;0;0;0;0;57.8;61.8;45.2;44;14.8 ;14.8 ;15.9 ;14.5 ;
2017-09-01;19:31:44.900;0.306;2.05;0.149;0.619;219;319;0.312;0.709;0.00182;0.00265;23.3;14.3;1.2e+05;5.88e+04;2.45e+03;4.09;102;0.612;15.3;3.62e+04;24.1;49.7;0;26.1;0;7.67;0;0;0;255;72.2;0.624;2.07;0.302;0.619;104;153;0.321;0.731;0.0017;0.0025; 50960;2849;8397;5.84;3.39;47;0.599;2.03;0.295;0.619;115;163;0.294;0.689;0.00196;0.00277; 51920;3214;9510;5.85;3.4;49;0.00109;1.02;0.00107;0.616;0.155;2.41;0.936;0.0431;0.00144;0.0224; 39120;1;7;5.78;3.71;53;7.03e-05;0.293;0.00024;0.617;0.0255;0.104;0.755;0.091;0.00369;0.015; 27200;1;1;5.89;3.77;51;5.2e+03;2e+03;2.05e+03; 23%;  8%;  9%;2e+03;2.02e+03;5.16e+03;  8%;  8%; 22%;4e+03;3.83e+03;987; 17%; 17%;  4%;988;3.84e+03;4.11e+03;  4%; 17%; 18%;48.7;49.6;0;1.64;0;0;0;0;0;47.6;50.7;0;1.72;0;0.229;0;0;0;0.174;53.5;0;46.3;0;14.5;0;0;0;0.0389;45.1;0;54.8;0;16;0;0;0;76.9;75.9;52.6;49.3;17.6 ;18.3 ;19.1 ;17.2 ;
2017-09-01;19:31:45.837;0.318;2.04;0.156;0.619;195;270;0.277;0.667;0.00192;0.00266;17.4;10.6;1.01e+05;4.96e+04;2.1e+03;4.08;102;0.636;15.9;2.7e+04;25.1;70.8;0.00212;4.09;0;0;0;0;0;209;56.4;0.629;2.04;0.309;0.619;98.6;139;0.29;0.688;0.00193;0.00271; 56320;2754;8190;4.34;2.52;46;0.623;2.09;0.298;0.619;96;129;0.254;0.646;0.00192;0.00258; 43600;2695;7952;4.36;2.52;48;0.00117;0.998;0.00117;0.619;0.124;1.98;0.937;0.0465;0.00135;0.0216; 38560;2;10;4.31;2.75;52;0.00183;0.267;0.00686;0.619;0.0183;0.0867;0.788;0.12;0.000127;0.000601; 27280;1;4;4.4;2.81;52;3.87e+03;1.5e+03;1.53e+03; 21%;  8%;  8%;1.49e+03;1.5e+03;3.86e+03;  8%;  8%; 21%;2.98e+03;2.86e+03;739; 16%; 15%;  4%;740;2.87e+03;3.08e+03;  4%; 15%; 16%;49.9;47.3;0.0083;2.76;0;0;0;0;0;48.1;49.8;0;2.12;0;0;0;0;0;0.189;99.8;0;0;0;0;0;0;0;1.11;87.3;0;11.6;0;0;0;0;0;60.8;59.7;45.3;42.8;13.8 ;14.2 ;14.9 ;13.5 ;
2017-09-01;19:31:46.847;0.31;2.03;0.153;0.619;216;305;0.293;0.678;0.00203;0.00287;18.7;11.7;1.06e+05;5.23e+04;2.32e+03;4.07;102;0.62;15.5;2.91e+04;24.7;74.2;0.0163;1.09;0;0.329;0;0;0;230;60.9;0.616;1.99;0.309;0.619;115;165;0.304;0.693;0.00214;0.00307; 51520;3248;9624;4.69;2.77;47;0.615;2.09;0.295;0.619;101;138;0.269;0.663;0.00192;0.00263; 51360;2868;8438;4.68;2.76;49;0.00123;1.04;0.00119;0.619;0.139;2.27;0.939;0.048;0.00133;0.0217; 39440;2;11;4.65;3.05;53;0.000264;0.552;0.000477;0.619;0.048;0.145;0.668;0.364;0.00214;0.00645; 28160;2;3;4.71;3.07;52;4.17e+03;1.63e+03;1.65e+03; 21%;  8%;  8%;1.62e+03;1.63e+03;4.18e+03;  8%;  8%; 21%;3.22e+03;3.07e+03;782; 16%; 15%;  3%;782;3.07e+03;3.28e+03;  3%; 15%; 16%;50;47.8;0.0637;2.19;0;0;0;0;0;47.6;50.7;0;1.69;0;1.32;0;0;0;0.192;99.8;0;0;0;0;0;0;0;0.0771;99.5;0;0.443;0;0;0;0;0;66.7;65.6;49.7;47.7;14.8 ;15.4 ;16.2 ;14.6 ;
2017-09-01;19:31:47.858;0.318;2.14;0.148;0.619;195;273;0.285;0.663;0.00181;0.00253;18.4;11.4;1.08e+05;5.04e+04;2.12e+03;4.28;107;0.636;15.9;2.86e+04;24;74.6;0;1.45;0;0;0;0;0;230;60.6;0.633;2.11;0.301;0.619;99.3;144;0.313;0.703;0.00185;0.00269; 52960;2697;7998;4.6;2.7;47;0.637;2.18;0.292;0.619;95.9;127;0.242;0.607;0.00177;0.00234; 51840;2708;8007;4.6;2.7;48;0.00118;1.06;0.00112;0.619;0.118;2.19;0.946;0.0463;0.00117;0.0218; 39600;1;4;4.55;2.95;54;7.57e-05;0.248;0.000305;0.619;0.0183;0.0916;0.8;0.143;0.00285;0.0143; 28080;2;0;4.64;3.02;52;4.09e+03;1.59e+03;1.62e+03; 21%;  8%;  8%;1.59e+03;1.6e+03;4.1e+03;  8%;  8%; 21%;3.16e+03;3.01e+03;774; 16%; 15%;  3%;774;3.04e+03;3.23e+03;  3%; 15%; 16%;48.6;49;0;2.36;0;0;0;0;0;47.1;52.3;0;0.594;0;0;0;0;0;0.181;99.8;0;0;0;0;0;0;0;0.0493;97.1;0;2.85;0;0;0;0;0;66.8;66;49.8;47.4;14.8 ;15.3 ;16 ;14.5 ;
2017-09-01;19:31:48.871;0.313;2.11;0.149;0.619;193;278;0.305;0.671;0.00181;0.00261;18.3;11.3;1.07e+05;5.05e+04;2.12e+03;4.22;105;0.627;15.7;2.84e+04;24;74.9;0;1.13;0;0;0;0;0;228;60.6;0.627;2.07;0.303;0.619;98.6;149;0.337;0.713;0.00185;0.00279; 51200;2708;7973;4.59;2.68;47;0.626;2.16;0.29;0.619;94.3;127;0.255;0.608;0.00177;0.00238; 53280;2695;7971;4.59;2.69;49;0.00119;1.03;0.00115;0.619;0.13;2.21;0.941;0.046;0.00129;0.0219; 39120;1;8;4.53;2.93;54;7.27e-05;0.235;0.000309;0.619;0.0132;0.0737;0.82;0.163;0.00214;0.0119; 28000;0;0;4.62;2.99;52;4.08e+03;1.59e+03;1.61e+03; 21%;  8%;  8%;1.58e+03;1.59e+03;4.08e+03;  8%;  8%; 21%;3.14e+03;3e+03;770; 16%; 15%;  3%;771;3.02e+03;3.22e+03;  3%; 15%; 16%;49;49.4;0;1.62;0;0;0;0;0;46.8;52.7;0;0.489;0;0;0;0;0;0.185;97.4;0;2.41;0;0;0;0;0;0.05;100;0;0;0;0;0;0;0;66.2;65.3;48.9;47.2;14.9 ;15.3 ;16.1 ;14.4 ;
2017-09-01;19:31:49.883;0.308;2.09;0.147;0.619;193;280;0.311;0.686;0.00184;0.00267;18.2;11.3;1.05e+05;5.01e+04;2.13e+03;4.18;104;0.615;15.4;2.83e+04;23.8;75.4;0;0.817;0;0;0;0;0;227;60.3;0.611;2.04;0.3;0.619;98;149;0.341;0.729;0.00189;0.00286; 53840;2650;7921;4.56;2.68;47;0.618;2.15;0.288;0.619;94.4;128;0.265;0.621;0.0018;0.00244; 48560;2694;7942;4.57;2.68;48;0.00117;1.02;0.00115;0.619;0.129;2.17;0.94;0.0468;0.0013;0.0218; 39680;2;6;4.51;2.92;54;7.76e-05;0.247;0.000314;0.619;0.0167;0.0798;0.791;0.173;0.00253;0.0121; 28160;1;0;4.59;2.97;52;4.07e+03;1.57e+03;1.61e+03; 20%;  8%;  8%;1.57e+03;1.58e+03;4.06e+03;  8%;  8%; 20%;3.13e+03;2.98e+03;767; 16%; 15%;  3%;768;3e+03;3.2e+03;  3%; 15%; 16%;48.5;48.9;0;2.62;0;0;0;0;0;46.5;52.9;0;0.647;0;0;0;0;0;0.185;99.8;0;0;0;0;0;0;0;0.0508;99.9;0;0;0;0;0;0;0;65.8;65;49.1;47.1;14.6 ;15.2 ;16 ;14.4 ;
2017-09-01;19:31:50.895;0.305;2.03;0.15;0.619;192;280;0.314;0.718;0.00185;0.0027;18.3;11.3;1.04e+05;5.11e+04;2.13e+03;4.06;102;0.61;15.2;2.84e+04;24.3;75;0;0.698;0;0;0;0;0;226;60.6;0.61;2.01;0.304;0.619;95.8;138;0.307;0.731;0.00185;0.00266; 52320;2656;7932;4.55;2.67;47;0.608;2.06;0.296;0.619;96.2;139;0.31;0.707;0.00186;0.0027; 51120;2675;7904;4.58;2.68;49;0.00114;1.03;0.00111;0.619;0.126;2.12;0.941;0.0462;0.0013;0.0218; 39120;1;7;4.52;2.93;54;6.74e-05;0.231;0.000292;0.619;0.0137;0.072;0.81;0.163;0.00239;0.0126; 28160;0;3;4.61;2.99;51;4.06e+03;1.58e+03;1.61e+03; 20%;  8%;  8%;1.57e+03;1.59e+03;4.05e+03;  8%;  8%; 20%;3.13e+03;3e+03;767; 16%; 15%;  3%;768;3.01e+03;3.22e+03;  3%; 15%; 16%;49;49.6;0;1.35;0;0;0;0;0;47.8;50.8;0;1.44;0;0;0;0;0;0.179;99.8;0;0;0;0;0;0;0;0.0472;100;0;0;0;0;0;0;0;65.9;64.3;49;47.1;14.7 ;15.3 ;16.2 ;14.5 ;
2017-09-01;19:31:51.907;0.298;2.03;0.147;0.619;200;275;0.273;0.674;0.00198;0.00272;19.9;12.5;1.01e+05;4.99e+04;2.13e+03;4.06;101;0.596;14.9;3.1e+04;23.7;75.6;0;0.665;0;0;0;0;0;229;62.3;0.595;1.98;0.301;0.619;101;143;0.292;0.716;0.00199;0.00282; 52160;2852;8512;4.97;2.97;47;0.595;2.08;0.285;0.619;99.3;131;0.24;0.617;0.00196;0.00258; 50080;2892;8563;4.96;2.93;48;0.00109;0.996;0.00109;0.619;0.125;2.01;0.938;0.0467;0.00136;0.0218; 39600;2;5;4.92;3.27;53;6.9e-05;0.226;0.000305;0.619;0.0148;0.0739;0.8;0.166;0.00252;0.0126; 28240;0;1;5.03;3.32;51;4.46e+03;1.74e+03;1.77e+03; 22%;  8%;  9%;1.73e+03;1.75e+03;4.4e+03;  8%;  9%; 22%;3.41e+03;3.27e+03;829; 17%; 16%;  4%;830;3.29e+03;3.5e+03;  4%; 16%; 18%;48.6;49.3;0;2.12;0;0;0;0;0;46.1;53.5;0;0.444;0;0;0;0;0;0.176;99.8;0;0;0;0;0;0;0;0.0493;99.9;0;0.0918;0;0;0;0;0;66.4;65.3;49.8;47.6;15.2 ;15.7 ;16.6 ;14.9 ;
2017-09-01;19:31:52.921;0.299;2.04;0.146;0.619;208;287;0.277;0.669;0.00204;0.00282;20.2;11.9;1.02e+05;4.99e+04;2.13e+03;4.09;102;0.599;15;3.12e+04;23.7;73.8;0.000138;2.56;0;0;0;0;0;230;62.2;0.598;2;0.3;0.619;105;151;0.301;0.711;0.00207;0.00296; 50720;2895;8621;5.06;2.84;46;0.598;2.1;0.285;0.619;102;134;0.24;0.609;0.00201;0.00264; 51760;2927;8638;5.08;2.86;47;0.00111;1.04;0.00107;0.619;0.12;2.06;0.942;0.0466;0.00127;0.0218; 39120;1;5;5;3.07;52;6.87e-05;0.257;0.000267;0.619;0.015;0.0775;0.806;0.154;0.00257;0.0133; 28240;0;0;5.1;3.15;51;4.46e+03;1.71e+03;1.75e+03; 22%;  8%;  9%;1.7e+03;1.72e+03;4.45e+03;  8%;  8%; 22%;3.46e+03;3.32e+03;871; 17%; 17%;  4%;872;3.32e+03;3.56e+03;  4%; 17%; 18%;48.4;49.1;0.000551;2.48;0;0;0;0;0;46.1;53.2;0;0.754;0;0;0;0;0;0.173;99.8;0;0;0;0;0;0;0;0.0431;93;0;7;0;0;0;0;0;66.6;65.7;50.1;47.3;15.1 ;15.8 ;16.5 ;14.9 ;
