System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;19:02:52.148;0.172;1.35;0.127;0.807;86;134;0.36;0.697;0.00145;0.00227;10.4;8.46;5.91e+04;4.37e+04;2.13e+03;2.71;67.7;0.345;8.62;1.65e+04;15.8;22.4;0.332;61.5;0;18.7;0;0;0;181;48.5;0.151;1.36;0.111;0.806;17.3;28.8;0.399;0.695;0.00134;0.00224; 51520;627;1743;2.66;2.22;48;0.213;1.32;0.161;0.808;28.2;42;0.329;0.693;0.00155;0.0023; 50880;982;2851;2.55;2.02;49;0.127;1.36;0.0929;0.805;14.9;24.9;0.4;0.713;0.00138;0.00229; 51440;583;1485;2.52;2.07;50;0.2;1.38;0.145;0.81;25.5;38.7;0.34;0.693;0.00149;0.00226; 51440;955;2531;2.66;2.16;48;1.43e+03;1.05e+03;1.58e+03;  7%;  5%;  8%;1.41e+03;1.58e+03;1.31e+03;  7%;  8%;  6%;1.53e+03;1.1e+03;1.28e+03;  7%;  5%;  6%;1.08e+03;1.56e+03;1.56e+03;  5%;  7%;  7%;13.8;21.5;1.17;63.6;0;17.5;0;0;0;20;22;0.0976;57.9;0;21.7;0;0;0;11.5;15.9;0.0219;72.5;0;35.4;0;0;0;17.9;30.3;0.0395;51.8;0;0;0;0;0;44.5;46;42.7;47.2;12.1 ;12.1 ;12.6 ;11.6 ;
2017-09-01;19:02:53.160;0.567;1.56;0.362;0.809;298;471;0.366;0.742;0.00154;0.00244;30;20.6;1.93e+05;1.23e+05;2.14e+03;3.13;78.2;1.13;28.3;4.82e+04;44.7;47.1;0;8.1;0;0.774;0;0;0;301;75.6;0.568;1.55;0.366;0.809;74.6;120;0.377;0.746;0.00154;0.00247; 47760;2057;6807;7.48;5.08;47;0.571;1.56;0.366;0.81;75.5;120;0.373;0.744;0.00155;0.00247; 52480;2229;6982;7.54;5.26;48;0.549;1.58;0.347;0.81;71.8;110;0.35;0.724;0.00154;0.00236; 52240;2150;6587;7.42;5.02;50;0.579;1.56;0.37;0.809;76.2;120;0.365;0.75;0.00155;0.00244; 51680;2691;6316;7.56;5.25;47;3.92e+03;4.03e+03;4.22e+03; 20%; 20%; 21%;4.52e+03;3.83e+03;3.93e+03; 23%; 19%; 20%;4.46e+03;3.81e+03;3.75e+03; 22%; 19%; 19%;3.55e+03;3.84e+03;4.32e+03; 18%; 19%; 22%;45.2;46.6;0;8.23;0;2.53;0;0;0;45.2;47.5;0;7.29;0;0;0;0;0;42.8;46.9;0;10.3;0;0;0;0;0;45.7;47.6;0;6.63;0;0.56;0;0;0;75.2;73.8;76.5;75.6;18.6 ;19.2 ;19.9 ;18 ;
2017-09-01;19:02:54.165;0.633;1.6;0.396;0.81;357;542;0.341;0.702;0.00167;0.00254;38.4;26.2;2.13e+05;1.34e+05;2.1e+03;3.2;79.9;1.27;31.6;6.17e+04;48.9;50.1;0.00411;0.965;0;0;0;0;0;330;85.6;0.636;1.59;0.399;0.81;88.1;134;0.344;0.711;0.00164;0.00251; 53680;2517;8324;9.58;6.48;45;0.634;1.61;0.393;0.81;88.3;134;0.34;0.693;0.00165;0.00251; 49440;2711;8501;9.64;6.74;47;0.631;1.59;0.396;0.81;89.9;136;0.339;0.701;0.00169;0.00256; 53600;2675;8529;9.49;6.29;47;0.631;1.6;0.395;0.81;90.8;138;0.341;0.702;0.00171;0.00259; 54480;3349;7885;9.67;6.67;46;4.89e+03;5.25e+03;5.41e+03; 25%; 27%; 28%;5.91e+03;4.88e+03;4.99e+03; 30%; 25%; 25%;5.65e+03;4.91e+03;4.72e+03; 29%; 25%; 24%;4.72e+03;4.83e+03;5.52e+03; 24%; 25%; 28%;49.3;49.6;0.0165;1.1;0;0;0;0;0;48.5;50.5;0;1;0;0;0;0;0;48.9;50.3;0;0.839;0;0;0;0;0;48.8;50.3;0;0.918;0;0;0;0;0;82.2;80.9;85.2;81.8;21.2 ;21.8 ;22.4 ;20.3 ;
2017-09-01;19:02:55.176;0.673;1.73;0.389;0.81;337;498;0.323;0.689;0.00147;0.00218;34.8;24;2.29e+05;1.32e+05;2.13e+03;3.46;86.4;1.35;33.6;5.61e+04;48.1;51.3;0.000476;0.599;0;0;0;0;0;332;82.3;0.669;1.68;0.399;0.81;85.3;135;0.37;0.736;0.0015;0.00238; 51360;2374;7756;8.7;5.98;47;0.675;1.77;0.382;0.81;82.6;116;0.291;0.629;0.00144;0.00203; 52000;2500;7888;8.75;6.17;48;0.672;1.72;0.391;0.81;85.6;128;0.334;0.705;0.0015;0.00225; 51280;2472;7821;8.6;5.76;49;0.675;1.76;0.384;0.81;83.8;118;0.289;0.651;0.00146;0.00206; 47920;3066;7232;8.78;6.1;47;4.46e+03;4.79e+03;4.95e+03; 22%; 24%; 25%;5.37e+03;4.43e+03;4.55e+03; 27%; 22%; 23%;5.16e+03;4.47e+03;4.27e+03; 26%; 23%; 21%;4.23e+03;4.44e+03;4.97e+03; 21%; 22%; 25%;49.3;49.6;0.0019;1.15;0;0;0;0;0;47.2;52.6;0;0.206;0;0;0;0;0;48.3;51;0;0.625;0;0;0;0;0;47.4;52.1;0;0.411;0;0;0;0;0;82.5;81.6;85.7;82;20.3 ;20.9 ;21.6 ;19.5 ;
2017-09-01;19:02:56.187;0.631;1.63;0.388;0.81;353;502;0.296;0.654;0.00165;0.00234;38.4;26.2;2.14e+05;1.32e+05;2.12e+03;3.25;81.3;1.26;31.6;6.19e+04;47.9;51.6;0;0.42;0;0;0;0;0;333;85.9;0.633;1.59;0.399;0.81;89.2;135;0.34;0.711;0.00166;0.00251; 53280;2534;8408;9.61;6.5;45;0.631;1.64;0.384;0.81;87;122;0.289;0.632;0.00162;0.00228; 51680;2721;8560;9.66;6.78;47;0.63;1.63;0.386;0.81;88.9;124;0.285;0.634;0.00166;0.00233; 50720;2684;8592;9.5;6.3;47;0.631;1.64;0.384;0.81;88.3;120;0.264;0.616;0.00165;0.00224; 53680;3354;7971;9.68;6.67;46;4.9e+03;5.28e+03;5.41e+03; 25%; 27%; 27%;5.94e+03;4.92e+03;4.99e+03; 30%; 25%; 25%;5.68e+03;4.93e+03;4.74e+03; 29%; 25%; 24%;4.71e+03;4.86e+03;5.54e+03; 24%; 25%; 28%;49.3;49.8;0;0.929;0;0;0;0;0;47.4;52.3;0;0.297;0;0;0;0;0;47.6;52.1;0;0.309;0;0;0;0;0;47.4;52.5;0;0.143;0;0;0;0;0;82.6;82;86.3;82.3;21.2 ;21.8 ;22.4 ;20.5 ;
2017-09-01;19:02:57.210;0.656;1.7;0.386;0.81;337;495;0.32;0.68;0.0015;0.00221;36.5;25.3;2.24e+05;1.32e+05;2.12e+03;3.4;85;1.31;32.8;5.88e+04;47.7;51.8;0.00152;0.543;0;0;0;0;0;334;84.3;0.659;1.66;0.398;0.81;85;136;0.374;0.74;0.00151;0.00242; 53680;2332;7711;9.1;6.29;45;0.658;1.72;0.382;0.81;82.7;121;0.315;0.661;0.00147;0.00215; 51280;2502;7915;9.16;6.51;47;0.654;1.71;0.382;0.81;84.3;119;0.293;0.64;0.00151;0.00213; 52720;2509;7956;9;6.1;47;0.653;1.71;0.382;0.81;84.5;119;0.289;0.645;0.00151;0.00213; 51200;3140;7372;9.2;6.42;46;4.66e+03;5.01e+03;5.2e+03; 23%; 25%; 26%;5.62e+03;4.65e+03;4.75e+03; 28%; 23%; 24%;5.44e+03;4.7e+03;4.49e+03; 27%; 24%; 22%;4.46e+03;4.63e+03;5.21e+03; 22%; 23%; 26%;49.2;49.6;0.00608;1.23;0;0;0;0;0;47.2;52.4;0;0.361;0;0;0;0;0;47.2;52.5;0;0.351;0;0;0;0;0;47.2;52.6;0;0.229;0;0;0;0;0;82.8;81.9;86.7;82.6;20.7 ;21.4 ;22.1 ;20.1 ;
2017-09-01;19:02:58.222;0.636;1.62;0.393;0.81;359;539;0.335;0.701;0.00165;0.00248;36.7;24.8;2.18e+05;1.34e+05;2.15e+03;3.24;81;1.27;31.8;5.9e+04;48.5;50.6;0.0138;0.88;0;0;0;0;0;332;84.3;0.633;1.59;0.399;0.81;89.7;139;0.355;0.73;0.00165;0.00256; 53040;2539;8335;9.18;6.16;45;0.636;1.63;0.39;0.81;89;132;0.328;0.689;0.00164;0.00243; 49440;2684;8466;9.23;6.4;47;0.636;1.62;0.392;0.81;90.3;136;0.336;0.696;0.00166;0.0025; 51840;2654;8397;9.07;5.94;48;0.639;1.64;0.39;0.81;89.7;132;0.319;0.684;0.00164;0.00241; 51440;3273;7736;9.24;6.31;46;4.68e+03;5.04e+03;5.17e+03; 23%; 25%; 26%;5.66e+03;4.68e+03;4.77e+03; 28%; 23%; 24%;5.42e+03;4.68e+03;4.47e+03; 27%; 23%; 22%;4.49e+03;4.65e+03;5.26e+03; 22%; 23%; 26%;49.3;49.3;0.0311;1.33;0;0;0;0;0;48.2;51.1;0;0.721;0;0;0;0;0;48.5;50.7;0.00204;0.776;0;0;0;0;0;48.1;51.2;0.0218;0.686;0;0;0;0;0;82.2;81.7;85.9;82;20.8 ;21.4 ;21.9 ;20.1 ;
2017-09-01;19:02:59.242;0.648;1.67;0.388;0.81;345;504;0.317;0.667;0.00156;0.00228;37.6;25.8;2.21e+05;1.32e+05;2.13e+03;3.34;83.5;1.3;32.4;6.05e+04;47.9;51.5;0;0.516;0;0;0;0;0;334;85.4;0.65;1.63;0.399;0.81;87.2;140;0.376;0.725;0.00158;0.00252; 49200;2480;7971;9.4;6.42;44;0.649;1.68;0.386;0.81;85;123;0.311;0.657;0.00154;0.00223; 50640;2626;8197;9.43;6.63;46;0.647;1.69;0.384;0.81;86;120;0.283;0.617;0.00156;0.00217; 53920;2582;8213;9.27;6.21;46;0.647;1.68;0.384;0.81;86.3;121;0.288;0.638;0.00156;0.0022; 52480;3240;7619;9.48;6.53;45;4.8e+03;5.15e+03;5.31e+03; 24%; 26%; 27%;5.78e+03;4.78e+03;4.89e+03; 29%; 24%; 25%;5.58e+03;4.84e+03;4.62e+03; 28%; 24%; 23%;4.59e+03;4.77e+03;5.38e+03; 23%; 24%; 27%;49.3;49.5;0;1.22;0;0;0;0;0;47.7;52;0;0.302;0;0;0;0;0;47.4;52.3;0;0.277;0;0;0;0;0;47.4;52.3;0;0.264;0;0;0;0;0;82.8;82.2;86.3;82.5;21.1 ;21.5 ;22.4 ;20.3 ;
2017-09-01;19:03:00.253;0.648;1.67;0.388;0.81;346;501;0.309;0.686;0.00156;0.00226;35.6;24.3;2.21e+05;1.32e+05;2.14e+03;3.34;83.5;1.3;32.4;5.73e+04;47.9;51.5;0.000595;0.628;0;0;0;0;0;332;83.1;0.644;1.61;0.399;0.81;87.9;136;0.355;0.744;0.0016;0.00248; 53440;2479;8043;8.9;6.03;46;0.649;1.7;0.382;0.81;84.9;119;0.289;0.65;0.00153;0.00215; 53120;2601;8205;8.96;6.29;47;0.648;1.69;0.383;0.81;86.2;121;0.287;0.646;0.00156;0.00219; 52800;2585;8142;8.78;5.83;48;0.649;1.68;0.386;0.81;86.9;124;0.299;0.672;0.00157;0.00224; 52240;3184;7515;8.97;6.18;45;4.55e+03;4.87e+03;5.02e+03; 23%; 24%; 25%;5.49e+03;4.55e+03;4.64e+03; 28%; 23%; 23%;5.26e+03;4.53e+03;4.36e+03; 26%; 23%; 22%;4.35e+03;4.52e+03;5.11e+03; 22%; 23%; 26%;49.3;49.5;0.00238;1.19;0;0;0;0;0;47.2;52.5;0;0.3;0;0;0;0;0;47.3;52.3;0;0.384;0;0;0;0;0;47.7;51.7;0;0.634;0;0;0;0;0;82.3;82;86.1;82;20.5 ;20.9 ;21.9 ;19.8 ;
2017-09-01;19:03:01.273;0.633;1.64;0.386;0.81;352;527;0.333;0.678;0.00163;0.00244;38.5;26.2;2.16e+05;1.32e+05;2.12e+03;3.28;81.9;1.27;31.6;6.18e+04;47.7;51.5;0.00376;0.755;0;0;0;0;0;334;86.2;0.637;1.6;0.399;0.81;89.7;147;0.392;0.727;0.00165;0.00272; 52240;2533;8183;9.61;6.51;44;0.634;1.66;0.383;0.81;86.5;127;0.32;0.662;0.0016;0.00235; 56160;2667;8404;9.67;6.76;45;0.632;1.66;0.381;0.81;87.1;123;0.294;0.626;0.00162;0.00229; 55440;2635;8410;9.48;6.28;46;0.63;1.64;0.384;0.81;88.4;129;0.317;0.668;0.00164;0.00241; 56400;3305;7742;9.7;6.68;45;4.91e+03;5.24e+03;5.41e+03; 25%; 26%; 27%;5.89e+03;4.89e+03;5e+03; 30%; 25%; 25%;5.68e+03;4.91e+03;4.72e+03; 29%; 25%; 24%;4.74e+03;4.88e+03;5.52e+03; 24%; 25%; 28%;49.2;49.1;0.015;1.63;0;0;0;0;0;47.3;52.2;0;0.453;0;0;0;0;0;47;52.6;0;0.361;0;0;0;0;0;47.4;52;0;0.577;0;0;0;0;0;82.7;82.2;86.5;82.6;21.2 ;21.9 ;22.5 ;20.5 ;
