System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;18:24:18.189;0.00359;0.416;0.00863;0.571;4.14;12.5;0.669;0.33;0.00338;0.0102;0.39;0.297;1.22e+03;2.94e+03;2.13e+03;0.833;20.8;0.00718;0.18;635;1.51;9.37;0.0511;89.1;0;33.4;0;0;0;116;32.7;0.00307;0.375;0.0082;0.571;1.13;3.98;0.716;0.241;0.00432;0.0152; 45840;69;76;0.12;0.0893;50;0.00321;0.398;0.00805;0.571;1.11;3.32;0.666;0.322;0.00405;0.0121; 48320;36;103;0.0797;0.0636;51;0.00556;0.4;0.0139;0.571;1.08;3.08;0.651;0.403;0.00227;0.00649; 35200;23;121;0.0551;0.0515;53;0.00253;0.58;0.00436;0.571;0.825;2.13;0.613;0.371;0.00383;0.00988; 39440;56;51;0.135;0.0925;54;84.8;48;54.9;  0%;  0%;  0%;62.1;46.7;54.3;  0%;  0%;  0%;35.6;46.5;55;  0%;  0%;  0%;34.3;40;72.8;  0%;  0%;  0%;1.44;6.15;0.0674;92.3;0;51.1;0;0;0;1.41;6.1;0.0408;92.4;0;53.7;0;0;0;2.43;5.81;0.0548;91.7;0;28.8;0;0;0;0.763;19.4;0.0414;79.8;0;0;0;0;0;29.5;28.2;29.1;29.6;8.21 ;8.3 ;8.32 ;7.88 ;
2017-09-01;18:24:19.206;0.162;1.06;0.153;0.571;86;138;0.376;0.464;0.00155;0.00248;8.63;8.82;5.56e+04;5.23e+04;2.14e+03;2.12;53.1;0.324;8.11;1.4e+04;26.7;11.7;0.125;61.4;0;31.9;0;0;0;168;49.1;0.323;1.08;0.299;0.571;42.7;68.1;0.372;0.478;0.00155;0.00246; 50640;1487;4224;2.02;1.94;49;0.0185;1.05;0.0175;0.571;1.08;2.11;0.49;0.271;0.00068;0.00133; 18320;71;340;2.23;2.44;51;0.307;1.05;0.293;0.571;42;66.8;0.372;0.456;0.0016;0.00254; 50400;1493;4276;2.14;2.1;52;0.000689;0.407;0.00169;0.571;0.242;0.852;0.715;0.246;0.00411;0.0144; 38240;18;7;2.25;2.35;53;1.05e+03;2.01e+03;984;  5%; 10%;  5%;1.44e+03;294;1.3e+03;  7%;  1%;  6%;1.06e+03;2.05e+03;1.03e+03;  5%; 10%;  5%;1.28e+03;278;1.25e+03;  6%;  1%;  6%;52.3;7.99;0.455;39.3;0;13;0;0;0;3.07;15.3;0.0111;81.6;0;56.7;0;0;0;51.2;6.56;0.0269;42.2;0;11.6;0;0;0;0.296;17;0.0053;82.7;0;46.3;0;0;0;49.6;35.2;48.9;34.8;11.9 ;12.6 ;13 ;11.7 ;
2017-09-01;18:24:20.205;0.307;1.12;0.273;0.571;182;304;0.403;0.486;0.00177;0.00296;16.9;12.5;1.03e+05;9.16e+04;2.1e+03;2.24;56.1;0.613;15.3;2.7e+04;47.8;33.2;0.00376;19;0;2.72;0;0;0;211;58.2;0.43;1.09;0.394;0.571;68.1;112;0.39;0.458;0.00189;0.0031; 49360;2151;5526;4.24;3.05;49;0.372;1.22;0.304;0.571;51.9;86.8;0.401;0.54;0.00167;0.00279; 53440;1626;4086;4.22;3.14;50;0.424;1.08;0.395;0.571;61.8;106;0.417;0.464;0.00174;0.00298; 48160;1752;5305;4.19;3.23;52;9.57e-05;0.299;0.00032;0.572;0.0391;0.127;0.692;0.119;0.00487;0.0158; 38240;0;8;4.25;3.06;52;2.57e+03;2.97e+03;1.35e+03; 13%; 15%;  7%;2.95e+03;1.03e+03;2.74e+03; 15%;  5%; 14%;2.89e+03;3e+03;1.39e+03; 15%; 15%;  7%;2.19e+03;1.6e+03;2.3e+03; 11%;  8%; 12%;68.9;8.33;0.015;22.8;0;3.31;0;0;0;53.3;24.7;0;22;0;0.551;0;0;0;69.1;6.51;0;24.4;0;7.03;0;0;0;0.056;93.2;0;6.76;0;0;0;0;0;57.3;53;57.1;43.8;14.2 ;14.9 ;15.4 ;13.7 ;
2017-09-01;18:24:21.222;0.337;1.1;0.305;0.571;191;338;0.436;0.473;0.00166;0.00294;18.8;14.1;1.15e+05;1.04e+05;2.13e+03;2.21;55.2;0.674;16.8;3.05e+04;53.4;30.7;0.0012;15.9;0;3.32;0;0;0;224;61.5;0.466;1.12;0.415;0.571;66.3;118;0.44;0.472;0.00167;0.00298; 54160;2123;5577;4.72;3.43;48;0.464;1.14;0.409;0.571;66.1;114;0.422;0.484;0.00167;0.00288; 46400;2218;5685;4.73;3.55;50;0.418;1.05;0.396;0.571;58.4;105;0.445;0.465;0.00164;0.00295; 48160;1711;5303;4.68;3.68;51;0.000186;0.461;0.000403;0.572;0.0353;0.259;0.864;0.198;0.00222;0.0163; 38160;0;6;4.71;3.47;52;3.21e+03;3.1e+03;1.48e+03; 16%; 15%;  7%;3.22e+03;1.31e+03;3.25e+03; 16%;  6%; 16%;3.54e+03;3.16e+03;1.49e+03; 18%; 16%;  7%;2.32e+03;2.05e+03;2.41e+03; 11%; 10%; 12%;72.7;8.91;0.00481;18.4;0;3.01;0;0;0;71.6;10.1;0;18.3;0;3.99;0;0;0;69.3;5.86;0;24.8;0;6.29;0;0;0;0.0705;98;0;1.96;0;0;0;0;0;60.1;58.4;59.1;46;15.2 ;15.7 ;16.2 ;14.5 ;
2017-09-01;18:24:22.236;0.347;1.09;0.319;0.571;224;364;0.384;0.462;0.00189;0.00307;21.4;15.5;1.18e+05;1.09e+05;2.14e+03;2.17;54.3;0.694;17.3;3.38e+04;55.9;29.8;0;14.3;0;3.22;0;0;0;234;64.2;0.479;1.1;0.434;0.571;80;128;0.373;0.464;0.00196;0.00312; 50960;2808;6580;5.39;3.76;48;0.454;1.08;0.418;0.571;71.8;117;0.389;0.463;0.00185;0.00303; 51520;2440;6219;5.37;3.9;49;0.455;1.07;0.424;0.571;72.4;119;0.389;0.459;0.00186;0.00305; 50640;2261;6293;5.32;3.97;51;0.000143;0.383;0.000372;0.572;0.0321;0.222;0.855;0.094;0.00264;0.0182; 38160;2;0;5.35;3.89;52;3.48e+03;3.42e+03;1.6e+03; 17%; 17%;  8%;3.76e+03;1.47e+03;3.49e+03; 19%;  7%; 17%;3.82e+03;3.44e+03;1.68e+03; 19%; 17%;  8%;2.64e+03;2.27e+03;2.74e+03; 13%; 11%; 14%;75.9;9.24;0;14.8;0;2.19;0;0;0;73.2;7.9;0;18.9;0;7.1;0;0;0;74.3;7.04;0;18.7;0;3.61;0;0;0;0.0652;95;0;4.9;0;0;0;0;0;63.1;60.3;63;47.6;15.8 ;16.3 ;16.9 ;15.2 ;
2017-09-01;18:24:23.251;0.354;1.12;0.316;0.571;191;344;0.445;0.482;0.00159;0.00286;18.2;13.4;1.21e+05;1.08e+05;2.13e+03;2.24;56;0.708;17.7;2.95e+04;55.3;29.8;0.00145;14.9;0;2.68;0;0;0;226;60.3;0.472;1.12;0.42;0.571;63.3;115;0.45;0.482;0.00157;0.00286; 51840;1920;5474;4.57;3.34;48;0.474;1.13;0.419;0.571;63.2;115;0.448;0.478;0.00157;0.00284; 53680;2123;5271;4.55;3.31;49;0.467;1.13;0.414;0.571;64.7;115;0.436;0.486;0.00163;0.00288; 51680;1775;5601;4.5;3.45;52;0.00255;0.265;0.0096;0.571;0.0331;0.212;0.844;0.159;0.000153;0.000977; 38320;2;4;4.56;3.34;52;2.95e+03;3.35e+03;1.36e+03; 15%; 17%;  7%;3.12e+03;1.26e+03;3.02e+03; 16%;  6%; 15%;3.19e+03;3.17e+03;1.47e+03; 16%; 16%;  7%;2.34e+03;1.98e+03;2.23e+03; 12%; 10%; 11%;73.5;8.65;0.00543;17.9;0;3.62;0;0;0;73.4;8.08;0.000362;18.5;0;3.88;0;0;0;72.5;8.52;0;19;0;3.24;0;0;0;1.68;94.1;0;4.25;0;0;0;0;0;60.5;58.9;61;46.1;15 ;15.2 ;16 ;14.1 ;
2017-09-01;18:24:24.268;0.349;1.13;0.309;0.571;194;349;0.444;0.474;0.00163;0.00292;19;14.2;1.19e+05;1.06e+05;2.13e+03;2.26;56.4;0.698;17.5;3.08e+04;54.2;28.8;0.00546;17;0;3.39;0;0;0;225;61.8;0.473;1.14;0.417;0.571;65.5;118;0.447;0.469;0.00162;0.00293; 55200;2032;5721;4.77;3.51;47;0.467;1.14;0.411;0.571;64.7;116;0.442;0.482;0.00162;0.00291; 57200;2115;5509;4.73;3.53;49;0.457;1.12;0.41;0.571;63.8;114;0.441;0.47;0.00164;0.00293; 55120;2020;5529;4.73;3.65;51;0.00018;0.515;0.000349;0.572;0.0339;0.244;0.861;0.205;0.00221;0.0159; 38320;0;5;4.79;3.52;52;3.34e+03;3.21e+03;1.45e+03; 17%; 16%;  7%;3.2e+03;1.34e+03;3.38e+03; 16%;  6%; 17%;3.29e+03;3.16e+03;1.56e+03; 16%; 16%;  8%;2.41e+03;2.11e+03;2.38e+03; 12%; 10%; 12%;73;9.77;0.0219;17.2;0;3.22;0;0;0;71.9;9.16;0;18.9;0;4.08;0;0;0;71.7;8.3;0;20;0;6.25;0;0;0;0.0611;88;0;12;0;0;0;0;0;60.8;58.4;60.7;44.7;15.4 ;15.6 ;16.3 ;14.5 ;
2017-09-01;18:24:25.281;0.334;1.05;0.318;0.571;220;360;0.388;0.452;0.00194;0.00316;21.2;15.4;1.14e+05;1.09e+05;2.14e+03;2.1;52.5;0.668;16.7;3.42e+04;55.7;29.5;0.00809;14.9;0;2.55;0;0;0;230;63.8;0.447;1.04;0.431;0.571;73.6;121;0.393;0.44;0.00193;0.00318; 51200;2401;6514;5.29;3.77;47;0.45;1.06;0.424;0.571;75;121;0.382;0.457;0.00195;0.00316; 51360;2305;6495;5.28;3.85;49;0.438;1.05;0.417;0.571;71.8;117;0.389;0.459;0.00192;0.00315; 54320;2213;6249;5.29;4.01;50;0.000169;0.475;0.000355;0.572;0.0385;0.238;0.839;0.178;0.00268;0.0166; 38240;1;3;5.33;3.82;52;3.74e+03;3.58e+03;1.46e+03; 19%; 18%;  7%;3.5e+03;1.54e+03;3.78e+03; 17%;  7%; 19%;3.64e+03;3.64e+03;1.7e+03; 18%; 18%;  8%;2.64e+03;2.51e+03;2.43e+03; 13%; 12%; 12%;75.4;7.88;0.0324;16.7;0;3.94;0;0;0;74.2;8.91;0;16.9;0;1.99;0;0;0;73.1;9.11;0;17.8;0;4.29;0;0;0;0.0621;92;0;7.92;0;0;0;0;0;61.5;60;61.9;46.9;15.8 ;16.1 ;16.9 ;15 ;
2017-09-01;18:24:26.297;0.393;1.18;0.332;0.571;199;370;0.461;0.495;0.00149;0.00276;18.6;13.8;1.34e+05;1.13e+05;2.13e+03;2.37;59.2;0.787;19.7;3.03e+04;58.2;27.4;0.00836;14.4;0;0.824;0;0;0;232;62.1;0.53;1.19;0.444;0.571;68;125;0.457;0.494;0.00151;0.00277; 48720;2033;5726;4.63;3.36;48;0.523;1.19;0.44;0.571;65.7;122;0.463;0.496;0.00147;0.00274; 53600;2045;5560;4.67;3.46;49;0.521;1.17;0.445;0.571;65.5;122;0.463;0.495;0.00148;0.00275; 53200;1769;5776;4.64;3.52;51;0.000197;0.471;0.000418;0.572;0.0357;0.336;0.894;0.077;0.00213;0.02; 38400;1;4;4.65;3.47;51;2.97e+03;3.34e+03;1.35e+03; 15%; 17%;  6%;3.19e+03;1.38e+03;3.15e+03; 16%;  7%; 16%;3.31e+03;3.39e+03;1.49e+03; 17%; 17%;  7%;2.38e+03;2.14e+03;2.23e+03; 12%; 11%; 11%;77.8;9.49;0.0332;12.7;0;0.699;0;0;0;77;8.84;0.000238;14.2;0;1.78;0;0;0;77.9;7.77;0;14.3;0;0.813;0;0;0;0.0731;83.5;0;16.4;0;0;0;0;0;63;60.7;63.1;45.3;15.2 ;15.8 ;16.4 ;14.7 ;
2017-09-01;18:24:27.309;0.428;1.19;0.36;0.571;278;461;0.398;0.454;0.00191;0.00317;27.6;20.3;1.46e+05;1.23e+05;2.13e+03;2.37;59.3;0.855;21.4;4.52e+04;63.1;27.1;0;9.79;0;0;0;0;0;262;73.8;0.587;1.21;0.487;0.571;96.4;159;0.392;0.452;0.00193;0.00317; 50240;3031;8673;6.9;4.89;46;0.567;1.19;0.478;0.571;91.9;152;0.397;0.456;0.0019;0.00316; 49040;3091;8209;6.93;5.04;48;0.557;1.17;0.476;0.571;89.5;150;0.403;0.454;0.00189;0.00316; 49360;2491;8441;6.9;5.24;49;0.000303;0.556;0.000546;0.572;0.0471;0.543;0.913;0.0668;0.00182;0.021; 38320;3;0;6.91;5.16;51;4.46e+03;5e+03;2.06e+03; 22%; 25%; 10%;4.7e+03;2.03e+03;4.65e+03; 24%; 10%; 23%;4.98e+03;5.16e+03;2.18e+03; 25%; 26%; 11%;3.52e+03;3.11e+03;3.37e+03; 18%; 15%; 17%;85.2;9.25;0;5.58;0;0;0;0;0;83.7;8.13;0;8.21;0;0;0;0;0;83.4;7.5;0;9.13;0;0;0;0;0;0.0955;83.7;0;16.2;0;0;0;0;0;71.3;68.7;72.2;49.8;18.1 ;18.7 ;19.4 ;17.6 ;
