System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-01;18:12:30.305;0.00361;0.472;0.00765;0.571;4.17;11.5;0.636;0.361;0.00339;0.00931;0.402;0.301;1.23e+03;2.61e+03;2.13e+03;0.943;23.6;0.00722;0.18;632;1.34;10.8;0.0535;87.8;0;24.9;0;0;0;117;32.8;0.00441;0.652;0.00677;0.571;1.15;3.47;0.669;0.391;0.00307;0.00925; 43280;33;134;0.0749;0.0635;50;0.00235;0.398;0.0059;0.571;0.809;2.42;0.665;0.311;0.00404;0.0121; 47920;38;142;0.125;0.0826;51;0.00286;0.409;0.00698;0.571;1;2.51;0.601;0.328;0.00411;0.0103; 47280;44;136;0.0828;0.0756;53;0.00482;0.44;0.011;0.571;1.21;3.06;0.606;0.386;0.00293;0.00744; 30800;102;63;0.12;0.0792;50;55.9;42.2;39.6;  0%;  0%;  0%;71.7;45;41.6;  0%;  0%;  0%;47.4;42.4;82.6;  0%;  0%;  0%;48.5;45;70.3;  0%;  0%;  0%;1.18;15.1;0.0533;83.7;0;0;0;0;0;1.03;5;0.0973;93.9;0;47.2;0;0;0;1.22;3.34;0.0294;95.4;0;52.5;0;0;0;1.92;19.7;0.0341;78.4;0;0;0;0;0;30;27.9;28.6;30;8.05 ;8.45 ;8.46 ;7.8 ;
2017-09-01;18:12:31.320;0.215;0.888;0.242;0.571;118;181;0.349;0.499;0.0016;0.00246;13.1;12.2;7.33e+04;8.26e+04;2.14e+03;1.78;44.4;0.429;10.7;2.16e+04;42.3;8.43;0.0439;49.2;0;17;0;0;0;191;53.1;0.255;0.863;0.296;0.571;35;54.4;0.357;0.449;0.0016;0.00249; 52640;1298;3830;3.31;3.07;48;0.108;1.12;0.0971;0.571;14.7;21.5;0.318;0.677;0.00159;0.00233; 54240;492;1445;3.33;3.24;50;0.253;0.854;0.296;0.571;34.5;53.2;0.352;0.454;0.0016;0.00247; 54720;1348;3785;3.16;2.89;51;0.242;0.87;0.278;0.571;33.5;51.5;0.349;0.471;0.00162;0.00249; 48320;1187;3632;3.27;3.01;49;1.45e+03;2.07e+03;2.15e+03;  7%; 10%; 11%;1.62e+03;1.62e+03;1.56e+03;  8%;  8%;  7%;1.49e+03;2.12e+03;1.89e+03;  7%; 10%;  9%;1.83e+03;1.56e+03;2.21e+03;  9%;  7%; 11%;51.8;7.53;0.137;40.5;0;0.183;0;0;0;17;14.3;0.0171;68.7;0;29.6;0;0;0;51.8;5.71;0.0125;42.5;0;14.9;0;0;0;48.7;6.17;0.00903;45.2;0;23.5;0;0;0;50.8;41.4;50.2;48.7;13.2 ;13.6 ;13.7 ;12.6 ;
2017-09-01;18:12:32.320;0.569;1.04;0.545;0.571;300;599;0.5;0.467;0.00157;0.00313;30.3;23;1.91e+05;1.83e+05;2.1e+03;2.09;52.2;1.14;28.5;5.04e+04;95.4;1.12;0.000337;3.44;0;0.922;0;0;0;290;76.5;0.57;1.04;0.548;0.571;76.1;150;0.494;0.467;0.00159;0.00314; 49360;2046;7126;7.58;5.69;47;0.565;1.05;0.54;0.571;74.1;148;0.5;0.469;0.00156;0.00313; 49760;2397;6816;7.51;5.64;49;0.57;1.05;0.545;0.571;74.3;149;0.502;0.469;0.00155;0.00312; 52320;2469;6875;7.5;5.62;51;0.573;1.04;0.548;0.571;75.1;151;0.503;0.464;0.00156;0.00314; 47920;2447;6935;7.69;6.05;48;4.11e+03;4.3e+03;4.44e+03; 21%; 22%; 23%;4.08e+03;4.19e+03;4.19e+03; 21%; 21%; 21%;4.1e+03;4.52e+03;3.82e+03; 21%; 23%; 19%;3.93e+03;4.26e+03;4.45e+03; 20%; 22%; 23%;95.9;0.64;0;3.41;0;0.987;0;0;0;94.5;1.97;0.00135;3.57;0;0.991;0;0;0;95.4;1.17;0;3.47;0;0.674;0;0;0;96;0.716;0;3.33;0;1.03;0;0;0;73.1;71.1;74.3;71.7;18.9 ;19.1 ;20.1 ;18.4 ;
2017-09-01;18:12:33.336;0.566;1.02;0.554;0.571;336;626;0.463;0.462;0.00174;0.00324;34.9;26.4;1.93e+05;1.89e+05;2.13e+03;2.04;51.1;1.13;28.3;5.82e+04;97;0.517;0;2.5;0;1.53;0;0;0;308;82.9;0.565;1.02;0.553;0.571;84.7;157;0.459;0.463;0.00176;0.00325; 53680;2329;8268;8.73;6.55;47;0.566;1.02;0.555;0.571;83.4;156;0.466;0.462;0.00173;0.00323; 51280;2823;7860;8.66;6.48;48;0.566;1.02;0.554;0.571;84;157;0.464;0.46;0.00174;0.00324; 53360;2752;8030;8.65;6.42;50;0.568;1.02;0.555;0.571;83.7;156;0.465;0.463;0.00173;0.00323; 52080;2887;7904;8.86;6.96;47;4.78e+03;5.05e+03;5.07e+03; 24%; 25%; 25%;4.73e+03;4.78e+03;4.85e+03; 24%; 24%; 24%;4.71e+03;5.31e+03;4.39e+03; 24%; 27%; 22%;4.62e+03;4.87e+03;5.09e+03; 23%; 24%; 26%;96.8;0.659;0;2.55;0;1.41;0;0;0;97.1;0.393;0;2.51;0;2.22;0;0;0;96.9;0.629;0;2.5;0;1.37;0;0;0;97.2;0.387;0;2.44;0;1.11;0;0;0;77.4;75.8;79.3;75.9;20.4 ;20.9 ;21.7 ;19.9 ;
2017-09-01;18:12:34.351;0.537;1;0.536;0.571;291;571;0.491;0.463;0.00159;0.00312;29.7;22.4;1.83e+05;1.83e+05;2.13e+03;2;50;1.07;26.8;4.95e+04;93.9;1.24;0;4.88;0;2.32;0;0;0;288;75.9;0.536;1;0.536;0.571;73.5;143;0.487;0.463;0.00161;0.00313; 49760;1914;7102;7.43;5.55;47;0.533;1;0.532;0.571;71.7;141;0.493;0.467;0.00158;0.00311; 50640;2505;6531;7.38;5.5;48;0.537;0.997;0.539;0.571;73.1;143;0.49;0.46;0.0016;0.00313; 48720;2296;6875;7.33;5.47;50;0.54;1;0.54;0.571;72.3;143;0.493;0.463;0.00157;0.0031; 50160;2504;6790;7.53;5.92;47;4.08e+03;4.37e+03;4.28e+03; 20%; 22%; 21%;3.94e+03;4.01e+03;4.08e+03; 20%; 20%; 20%;3.83e+03;4.57e+03;3.86e+03; 19%; 23%; 19%;4.05e+03;4.06e+03;4.34e+03; 20%; 20%; 22%;93.8;1.5;0;4.75;0;2.01;0;0;0;93;1.73;0;5.24;0;2.42;0;0;0;94.3;0.949;0;4.78;0;2.78;0;0;0;94.5;0.758;0;4.77;0;2.06;0;0;0;72.5;70.6;73.7;71;18.8 ;19 ;19.9 ;18.2 ;
2017-09-01;18:12:35.367;0.58;1.04;0.556;0.571;334;638;0.476;0.462;0.00169;0.00322;34.7;26.1;1.98e+05;1.9e+05;2.13e+03;2.09;52.2;1.16;29;5.78e+04;97.2;0.515;0;2.23;0;0.982;0;0;0;310;82.8;0.578;1.05;0.553;0.571;83.6;159;0.474;0.462;0.0017;0.00322; 52640;2091;8536;8.69;6.49;47;0.581;1.04;0.557;0.571;83;159;0.479;0.462;0.00167;0.00321; 55760;3026;7621;8.66;6.3;48;0.58;1.04;0.557;0.571;84.7;161;0.473;0.46;0.00171;0.00324; 49600;2730;7933;8.59;6.46;49;0.582;1.05;0.557;0.571;82.9;159;0.479;0.465;0.00167;0.00321; 52320;2908;8001;8.8;6.88;47;4.83e+03;5.1e+03;5.03e+03; 24%; 26%; 25%;4.5e+03;4.53e+03;4.86e+03; 23%; 23%; 24%;4.43e+03;5.37e+03;4.63e+03; 22%; 27%; 23%;4.9e+03;4.62e+03;5.03e+03; 25%; 23%; 25%;96.7;0.887;0;2.38;0;1.34;0;0;0;97.4;0.34;0;2.27;0;1.07;0;0;0;97.4;0.345;0;2.21;0;1.1;0;0;0;97.4;0.489;0;2.08;0;0.418;0;0;0;77.9;75.7;79.7;76.2;20.4 ;20.8 ;21.7 ;19.9 ;
2017-09-01;18:12:36.388;0.554;1;0.551;0.571;326;625;0.478;0.451;0.00172;0.00329;34.2;25.9;1.9e+05;1.89e+05;2.13e+03;2.01;50.2;1.11;27.7;5.71e+04;96.5;1.01;8.64e-05;2.49;0;0.651;0;0;0;300;82;0.554;1.02;0.545;0.571;80.5;155;0.479;0.457;0.0017;0.00326; 45600;2072;8320;8.6;6.55;45;0.554;1;0.552;0.571;81;156;0.48;0.453;0.00171;0.00329; 53600;2800;7508;8.51;6.21;48;0.554;1;0.554;0.571;82.1;157;0.478;0.446;0.00173;0.00331; 49680;2726;7692;8.45;6.41;48;0.553;0.998;0.554;0.571;82.7;157;0.474;0.449;0.00174;0.00332; 50880;2820;7984;8.67;6.74;47;4.75e+03;5.01e+03;5.18e+03; 24%; 25%; 26%;4.38e+03;4.53e+03;4.81e+03; 22%; 23%; 24%;4.5e+03;5.12e+03;4.53e+03; 23%; 26%; 23%;4.79e+03;4.6e+03;4.89e+03; 24%; 23%; 24%;95.4;2.01;0.000346;2.6;0;0.127;0;0;0;96.7;0.796;0;2.53;0;1.04;0;0;0;97;0.652;0;2.39;0;0.52;0;0;0;97;0.572;0;2.44;0;0.919;0;0;0;75.4;73.3;77.1;73.8;20.2 ;20.6 ;21.5 ;19.7 ;
2017-09-01;18:12:37.404;0.578;1.06;0.545;0.571;303;604;0.499;0.475;0.00153;0.00306;30.5;23.5;1.98e+05;1.86e+05;2.14e+03;2.12;53.1;1.16;28.9;5.09e+04;95.4;0.771;0;3.86;0;1.57;0;0;0;302;78;0.574;1.06;0.541;0.571;76;150;0.494;0.477;0.00155;0.00306; 52800;2056;7414;7.65;5.91;46;0.579;1.06;0.546;0.571;74.7;150;0.502;0.477;0.00151;0.00303; 50400;2519;6744;7.61;5.71;48;0.58;1.06;0.546;0.571;75.7;152;0.501;0.472;0.00153;0.00307; 52560;2523;6679;7.55;5.76;49;0.581;1.06;0.546;0.571;76.5;152;0.498;0.475;0.00154;0.00307; 51760;2350;7306;7.71;6.09;47;4.41e+03;4.27e+03;4.57e+03; 22%; 21%; 23%;3.74e+03;4.1e+03;4.46e+03; 19%; 21%; 22%;3.77e+03;4.46e+03;4.26e+03; 19%; 22%; 21%;4.47e+03;4.06e+03;4.35e+03; 22%; 20%; 22%;94.7;1.46;0;3.87;0;0.437;0;0;0;95.6;0.524;0;3.86;0;1.74;0;0;0;95.6;0.54;0;3.89;0;2.51;0;0;0;95.6;0.565;0;3.81;0;1.58;0;0;0;76;73.8;77.5;74.2;19.3 ;19.5 ;20.5 ;18.7 ;
2017-09-01;18:12:38.420;0.569;1.02;0.558;0.571;334;624;0.465;0.461;0.00172;0.00321;34.7;26.4;1.94e+05;1.9e+05;2.13e+03;2.04;50.9;1.14;28.4;5.8e+04;97.7;0.541;0;1.78;0;1.04;0;0;0;307;82.6;0.568;1.02;0.557;0.571;84.1;156;0.462;0.46;0.00174;0.00323; 54000;2265;8380;8.69;6.7;46;0.569;1.02;0.559;0.571;82.3;155;0.468;0.463;0.00169;0.00319; 50880;2769;7681;8.65;6.36;48;0.569;1.02;0.559;0.571;83.3;156;0.466;0.459;0.00172;0.00321; 53440;2889;7529;8.59;6.52;49;0.568;1.02;0.558;0.571;83.8;157;0.464;0.463;0.00173;0.00323; 50800;2654;8176;8.77;6.85;47;5.08e+03;4.9e+03;5.06e+03; 26%; 25%; 25%;4.15e+03;4.7e+03;5.19e+03; 21%; 24%; 26%;4.24e+03;5.07e+03;4.89e+03; 21%; 26%; 25%;5.07e+03;4.73e+03;4.88e+03; 25%; 24%; 25%;97.4;0.668;0;1.93;0;1.18;0;0;0;97.8;0.456;0;1.7;0;0.866;0;0;0;97.8;0.432;0;1.76;0;1.53;0;0;0;97.7;0.608;0;1.74;0;0.59;0;0;0;77.4;75;78.9;75.4;20.6 ;20.6 ;21.6 ;19.8 ;
2017-09-01;18:12:39.435;0.596;1.06;0.563;0.571;342;659;0.48;0.462;0.00168;0.00324;35.2;26.8;2.03e+05;1.92e+05;2.13e+03;2.12;52.9;1.19;29.8;5.88e+04;98.5;0.331;0;1.14;0;0.682;0;0;0;312;83.9;0.595;1.06;0.563;0.571;87.3;166;0.474;0.461;0.00172;0.00327; 53360;2292;8598;8.81;6.82;46;0.594;1.06;0.562;0.571;84.5;163;0.482;0.464;0.00167;0.00321; 49520;2760;7821;8.76;6.37;47;0.596;1.06;0.563;0.571;84.9;164;0.483;0.462;0.00167;0.00323; 51600;3004;7599;8.75;6.62;48;0.597;1.06;0.564;0.571;85.6;165;0.482;0.463;0.00168;0.00325; 51360;2713;8130;8.92;6.95;46;5.23e+03;4.96e+03;5.09e+03; 26%; 25%; 26%;4.11e+03;4.8e+03;5.37e+03; 21%; 24%; 27%;4.27e+03;5.11e+03;4.9e+03; 21%; 26%; 25%;5.1e+03;4.87e+03;4.96e+03; 26%; 24%; 25%;98.6;0.291;0;1.13;0;0.743;0;0;0;98.4;0.408;0;1.23;0;1.03;0;0;0;98.5;0.302;0;1.15;0;0.961;0;0;0;98.6;0.322;0;1.06;0;0;0;0;0;78.8;76.3;80.4;76.9;20.6 ;21 ;22.1 ;20.2 ;
