System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;11:22:39.417;0.122;2.02;0.0606;0.619;28.4;40.1;0.293;0.206;0.000683;0.000966;2.39;2.42;4.16e+04;2.06e+04;2.12e+03;4.03;101;0.244;6.11;4.09e+03;9.79;21.2;0.0291;69;0;30.2;0;0;0;138;37.2;0.415;1.97;0.211;0.619;26.1;32.4;0.196;0.202;0.000739;0.000919; 50960;686;2296;0.485;0.396;50;0.0723;2.58;0.028;0.618;1.75;6.02;0.71;0.192;0.000284;0.000979; 51840;86;119;0.631;0.713;51;0.000827;0.468;0.00177;0.603;0.276;0.864;0.68;0.328;0.00393;0.0123; 36720;15;24;0.631;0.638;55;0.000768;0.472;0.00163;0.619;0.284;0.826;0.656;0.287;0.00434;0.0126; 23040;25;10;0.644;0.677;53;567;516;529;  2%;  2%;  2%;97.1;93.3;675;  0%;  0%;  3%;103;630;99.5;  0%;  3%;  0%;91;101;585;  0%;  0%;  3%;34.1;36.6;0.0486;29.3;0;8.9;0;0;0;4.53;15.2;0.0236;80.3;0;39.4;0;0;0;0.293;14.3;0.0235;85.4;0;72.6;0;0;0;0.263;18.6;0.0206;81.1;0;0;0;0;0;45.5;31.6;30.5;30.8;8.98 ;9.62 ;9.65 ;8.91 ;
2017-09-03;11:22:40.429;0.226;2.25;0.1;0.619;142;381;0.627;0.144;0.00185;0.00496;10.2;6.61;7.68e+04;3.41e+04;2.13e+03;4.5;113;0.451;11.3;1.58e+04;16.2;33;0;50.8;0;16.8;0;0;0;162;51.8;0.621;2.35;0.264;0.619;90.5;208;0.566;0.134;0.00171;0.00395; 52720;2007;5757;2.59;1.38;49;0.281;2.06;0.136;0.619;51.7;172;0.699;0.156;0.00216;0.00717; 50160;978;3313;2.62;1.69;50;0.000244;0.675;0.000361;0.619;0.0777;0.522;0.851;0.0371;0.00375;0.0252; 36560;0;6;2.52;1.78;54;0.000205;0.694;0.000296;0.61;0.0432;0.556;0.922;0.0248;0.00247;0.0319; 23120;0;4;2.52;1.76;53;2.16e+03;1.08e+03;1.05e+03; 11%;  5%;  5%;713;734;2.57e+03;  3%;  3%; 13%;1.32e+03;2.02e+03;393;  6%; 10%;  2%;395;1.38e+03;1.96e+03;  2%;  7%; 10%;42.6;46.5;0;10.9;0;0;0;0;0;22;30.2;0;47.8;0;0;0;0;0;0.0584;25.8;0;74.1;0;32.9;0;0;0;0.0485;29.5;0;70.5;0;34.5;0;0;0;52;42.6;34.1;33.9;12.4 ;13.4 ;13.9 ;12.1 ;
2017-09-03;11:22:41.427;0.0723;0.52;0.139;0.619;423;2.01e+03;0.789;0.151;0.0175;0.0828;27.4;0.701;2.43e+04;4.66e+04;2.1e+03;1.04;26;0.145;3.61;3.65e+04;22.5;73.4;0.000244;4.12;0;0;0;0;0;241;61.6;0.14;0.472;0.296;0.619;213;1.01e+03;0.79;0.15;0.0181;0.0863; 50800;3163;9176;6.76;0.162;47;0.149;0.574;0.259;0.619;211;994;0.788;0.151;0.0169;0.0798; 50160;2829;9281;7.07;0.359;48;0.000653;0.987;0.000661;0.619;0.233;1.22;0.81;0.045;0.00425;0.0224; 37040;3;20;6.8;0.087;52;7.88e-05;0.581;0.000136;0.619;0.0215;0.0904;0.762;0.124;0.00325;0.0137; 23120;0;2;6.77;0.0932;52;4.39e+03;1.28e+03;1.27e+03; 22%;  6%;  6%;1.35e+03;1.34e+03;4.8e+03;  7%;  6%; 25%;4.86e+03;4.51e+03;1.68e+03; 25%; 23%;  8%;1.69e+03;4.9e+03;4.42e+03;  8%; 25%; 23%;47.8;51.7;0.000976;0.465;0;0;0;0;0;41.8;58.1;0;0.0527;0;0;0;0;0;0.107;89.3;0;10.6;0;0;0;0;0;0.0219;94.6;0;5.35;0;0;0;0;0;67;68.3;53.7;52.2;14.9 ;15.9 ;16.5 ;14.2 ;
2017-09-03;11:22:42.436;0.1;0.647;0.155;0.619;676;3.17e+03;0.787;0.151;0.0198;0.0931;43.4;1;3.41e+04;5.27e+04;2.12e+03;1.29;32.4;0.201;5.02;5.78e+04;25.1;74.9;0;0;0;0;0;0;0;303;74.9;0.199;0.643;0.31;0.619;338;1.58e+03;0.786;0.151;0.02;0.0937; 52880;4998;14614;10.7;0.236;46;0.201;0.648;0.31;0.619;337;1.59e+03;0.787;0.151;0.0198;0.0931; 50960;4490;14863;11.2;0.529;46;0.00156;1.48;0.00105;0.619;0.128;3;0.957;0.0459;0.000968;0.0227; 37040;0;3;10.8;0.114;51;8.18e-05;0.687;0.000119;0.619;0.0265;0.0959;0.724;0.134;0.00382;0.0138; 23120;1;1;10.7;0.121;51;6.98e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.13e+03;7.59e+03; 10%; 10%; 39%;7.7e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.78e+03;7e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.17;99.8;0;0;0;0;0;0;0;0.0192;100;0;0;0;0;0;0;0;84.3;88.7;67.2;62.7;18.2 ;19.3 ;20 ;17.3 ;
2017-09-03;11:22:43.446;0.1;0.647;0.155;0.619;675;3.17e+03;0.787;0.151;0.0198;0.093;43.4;0.997;3.4e+04;5.26e+04;2.12e+03;1.29;32.3;0.201;5.02;5.78e+04;25.1;74.9;0;0;0;0;0;0;0;303;74.9;0.199;0.643;0.31;0.619;338;1.58e+03;0.787;0.15;0.02;0.0936; 53200;4986;14598;10.7;0.235;46;0.2;0.647;0.31;0.619;337;1.58e+03;0.787;0.151;0.0198;0.093; 51680;4492;14843;11.2;0.528;46;0.00154;1.53;0.00101;0.619;0.112;2.97;0.962;0.0459;0.000857;0.0227; 37200;0;1;10.8;0.114;51;7.12e-05;0.728;9.78e-05;0.619;0.0166;0.0771;0.784;0.157;0.00275;0.0128; 23120;0;1;10.7;0.121;51;6.98e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.12e+03;7.59e+03; 10%; 10%; 39%;7.69e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.79e+03;6.99e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.163;99.8;0;0;0;0;0;0;0;0.0158;100;0;0;0;0;0;0;0;84.5;89;67.1;62.7;18.2 ;19.5 ;19.8 ;17.5 ;
2017-09-03;11:22:44.455;0.1;0.647;0.155;0.619;676;3.17e+03;0.787;0.151;0.0198;0.093;43.4;0.998;3.41e+04;5.26e+04;2.12e+03;1.29;32.4;0.201;5.02;5.79e+04;25.1;74.9;0;0;0;0;0;0;0;303;74.9;0.199;0.644;0.31;0.619;338;1.58e+03;0.787;0.151;0.02;0.0937; 51120;4986;14612;10.7;0.234;46;0.2;0.647;0.31;0.619;337;1.58e+03;0.786;0.151;0.0199;0.093; 50400;4480;14853;11.2;0.53;45;0.00154;1.53;0.00101;0.619;0.113;2.97;0.962;0.0459;0.000866;0.0227; 37280;0;1;10.8;0.114;51;0.000342;1.51;0.000226;0.619;0.0235;0.168;0.86;0.195;0.00081;0.00581; 23440;2;3;10.7;0.121;50;6.97e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.13e+03;7.6e+03; 11%; 10%; 39%;7.71e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.79e+03;7e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.163;99.8;0;0;0;0;0;0;0;0.0365;100;0;0;0;0;0;0;0;84.5;89.1;67;62.7;18.2 ;19.4 ;20 ;17.3 ;
2017-09-03;11:22:45.464;0.1;0.647;0.155;0.619;675;3.17e+03;0.787;0.151;0.0198;0.093;43.4;1;3.4e+04;5.26e+04;2.12e+03;1.29;32.3;0.201;5.02;5.78e+04;25.1;74.9;0;0;0;0;0;0;0;304;75;0.199;0.643;0.31;0.619;338;1.58e+03;0.787;0.151;0.02;0.0936; 53280;4986;14587;10.7;0.235;45;0.2;0.647;0.31;0.619;337;1.58e+03;0.786;0.151;0.0199;0.093; 51040;4488;14855;11.2;0.532;46;0.00154;1.53;0.001;0.619;0.11;2.96;0.963;0.0458;0.000844;0.0227; 37280;0;1;10.8;0.114;51;7.34e-05;0.719;0.000102;0.619;0.0177;0.0808;0.781;0.156;0.00284;0.013; 23520;1;2;10.7;0.121;51;6.98e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.12e+03;7.58e+03; 10%; 10%; 39%;7.69e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.77e+03;7e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.162;99.8;0;0;0;0;0;0;0;0.0165;100;0;0;0;0;0;0;0;84.6;89.2;67.1;62.8;18.3 ;19.4 ;20 ;17.3 ;
2017-09-03;11:22:46.474;0.1;0.646;0.155;0.619;675;3.16e+03;0.787;0.15;0.0198;0.093;43.4;0.996;3.4e+04;5.26e+04;2.12e+03;1.29;32.3;0.201;5.01;5.78e+04;25.1;74.9;0;0;0;0;0;0;0;303;74.8;0.199;0.643;0.31;0.619;338;1.58e+03;0.787;0.15;0.02;0.0936; 52400;4978;14592;10.7;0.235;45;0.2;0.647;0.31;0.619;337;1.58e+03;0.786;0.151;0.0199;0.093; 50880;4491;14830;11.2;0.527;46;0.00154;1.52;0.00101;0.619;0.111;2.96;0.963;0.0466;0.000849;0.0227; 37360;0;1;10.8;0.113;51;7.61e-05;0.721;0.000106;0.619;0.0153;0.0741;0.793;0.174;0.00237;0.0115; 23440;2;0;10.7;0.12;50;6.97e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.12e+03;7.59e+03; 10%; 10%; 39%;7.69e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.79e+03;6.99e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.164;99.8;0;0;0;0;0;0;0;0.0171;100;0;0;0;0;0;0;0;84.4;89;67;62.8;18.2 ;19.4 ;20 ;17.3 ;
2017-09-03;11:22:47.483;0.101;0.639;0.158;0.619;675;3.16e+03;0.787;0.15;0.0197;0.0923;43.4;1;3.43e+04;5.37e+04;2.12e+03;1.28;31.9;0.202;5.06;5.78e+04;25.6;74.4;0;0;0;0;0;0;0;303;74.9;0.199;0.643;0.31;0.619;338;1.58e+03;0.787;0.15;0.02;0.0936; 51520;4988;14587;10.7;0.236;46;0.2;0.647;0.31;0.619;337;1.58e+03;0.786;0.151;0.0199;0.093; 52320;4477;14854;11.2;0.531;45;0.00475;0.344;0.0138;0.619;0.11;2.98;0.963;0.0457;0.000274;0.00739; 37360;0;0;10.8;0.114;50;6.73e-05;0.736;9.14e-05;0.619;0.0132;0.0714;0.815;0.166;0.00231;0.0125; 23520;1;0;10.7;0.121;50;6.97e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.12e+03;7.58e+03; 10%; 10%; 39%;7.7e+03;7.14e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.77e+03;6.99e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;2.23;97.8;0;0;0;0;0;0;0;0.0148;100;0;0;0;0;0;0;0;84.2;89;67.3;62.8;18.3 ;19.3 ;20 ;17.3 ;
2017-09-03;11:22:48.492;0.101;0.638;0.159;0.619;675;3.16e+03;0.787;0.151;0.0197;0.0922;43.4;0.998;3.43e+04;5.38e+04;2.12e+03;1.28;31.9;0.202;5.06;5.78e+04;25.6;74.4;0;0;0;0;0;0;0;303;75;0.199;0.643;0.31;0.619;338;1.58e+03;0.787;0.151;0.02;0.0936; 51360;4982;14586;10.7;0.234;45;0.2;0.647;0.31;0.619;337;1.58e+03;0.786;0.151;0.0199;0.093; 50000;4493;14829;11.2;0.53;45;0.00504;0.341;0.0148;0.619;0.109;2.98;0.963;0.0458;0.000256;0.00697; 37360;0;1;10.8;0.113;50;7.17e-05;0.721;9.94e-05;0.619;0.0166;0.0793;0.791;0.156;0.00273;0.0131; 23680;0;5;10.7;0.121;50;6.97e+03;2.02e+03;2.01e+03; 35%; 10%; 10%;2.13e+03;2.12e+03;7.58e+03; 10%; 10%; 39%;7.68e+03;7.15e+03;2.67e+03; 39%; 36%; 13%;2.67e+03;7.78e+03;6.99e+03; 13%; 40%; 36%;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;2.39;97.6;0;0;0;0;0;0;0;0.0161;100;0;0;0;0;0;0;0;84.3;88.7;67.2;62.8;18.2 ;19.5 ;19.9 ;17.3 ;
