System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;11:05:54.106;0.309;2.21;0.14;0.808;76.5;96.9;0.21;0.2;0.000666;0.000843;5.98;5.59;1.15e+05;5.2e+04;2.13e+03;4.42;111;0.619;15.5;9.76e+03;17.3;22.4;0.166;60.1;0;16.4;0;0;0;190;46.8;0.304;2.16;0.141;0.806;18.3;24.2;0.244;0.185;0.000663;0.000878; 56480;472;1348;1.48;1.32;50;0.224;2.35;0.0951;0.806;12.5;17.5;0.286;0.226;0.0006;0.00084; 55280;400;777;1.41;1.33;51;0.329;2.28;0.144;0.808;21.3;25.3;0.158;0.166;0.000691;0.000821; 50000;459;1667;1.42;1.34;53;0.381;2.12;0.18;0.81;24.4;29.8;0.182;0.222;0.000684;0.000835; 50880;743;1689;1.67;1.6;50;603;878;1.05e+03;  2%;  4%;  4%;742;688;636;  3%;  3%;  2%;660;866;1.04e+03;  3%;  4%;  4%;958;646;987;  4%;  3%;  4%;17.4;22.4;0.538;59.6;0;27.7;0;0;0;11.8;18.1;0.059;70;0;8.65;0;0;0;17.8;21.2;0.0455;60.9;0;29.5;0;0;0;22.2;27.8;0.0329;50;0;0;0;0;0;48.3;42.4;47.8;51.1;11.4 ;11.8 ;12.2 ;11.4 ;
2017-09-03;11:05:55.117;0.148;0.499;0.296;0.809;256;1.23e+03;0.792;0.15;0.00505;0.0242;17.2;3.3;5.07e+04;1.02e+05;2.34e+03;0.997;24.9;0.295;7.38;2.27e+04;36.6;51.1;0.0926;12.3;0;1.25;0;0;0;241;47.9;0.189;0.572;0.331;0.81;75;357;0.79;0.149;0.00451;0.0215; 49840;1301;3624;4.32;1.05;49;0.144;0.455;0.316;0.809;66.9;331;0.798;0.149;0.00545;0.0269; 51760;1219;3015;4.47;0.911;50;0.126;0.476;0.264;0.81;56.4;268;0.79;0.151;0.00528;0.0251; 52400;1103;2671;4.22;0.677;51;0.131;0.479;0.273;0.809;57.4;273;0.79;0.151;0.00517;0.0246; 51600;876;2757;4.18;0.66;50;2.07e+03;1.78e+03;1.76e+03; 10%;  9%;  8%;1.75e+03;1.74e+03;2.11e+03;  8%;  8%; 10%;1.81e+03;1.99e+03;1.88e+03;  9%; 10%;  9%;1.65e+03;1.93e+03;2.18e+03;  8%;  9%; 11%;40.9;47.6;0.0498;11.5;0;0;0;0;0;39;42.3;0.296;18.3;0;2.54;0;0;0;32.6;59.1;0.00718;8.32;0;0;0;0;0;33.7;55.3;0.0175;10.9;0;2.48;0;0;0;61.6;59;60.6;59.4;12.2 ;12.3 ;12.3 ;11 ;
2017-09-03;11:05:56.116;0.153;0.459;0.334;0.809;294;1.44e+03;0.796;0.149;0.00572;0.028;19.2;0.636;5.14e+04;1.12e+05;2.1e+03;0.917;22.9;0.306;7.66;2.44e+04;41.3;53.1;0.375;5.22;0;0.363;0;0;0;253;46;0.157;0.457;0.344;0.81;76.5;369;0.793;0.148;0.0058;0.028; 51280;1250;3143;4.73;0.166;49;0.155;0.435;0.357;0.809;75.5;368;0.795;0.148;0.0058;0.0282; 51040;1226;3129;5.04;0.286;50;0.159;0.479;0.332;0.81;77.1;380;0.797;0.15;0.00578;0.0285; 50800;1354;3062;4.73;0.107;51;0.142;0.467;0.303;0.81;65.2;324;0.799;0.15;0.00549;0.0273; 49200;748;2763;4.7;0.0764;49;2.07e+03;2.03e+03;1.85e+03; 10%; 10%;  9%;1.93e+03;1.99e+03;2.3e+03; 10%; 10%; 11%;2.14e+03;1.64e+03;2.06e+03; 11%;  8%; 10%;2.08e+03;2.1e+03;2.21e+03; 10%; 10%; 11%;42.5;54.5;0.102;2.92;0;0;0;0;0;44.1;47.6;1.13;7.18;0;1.45;0;0;0;41;58.1;0.0865;0.805;0;0;0;0;0;37.4;52.4;0.176;9.96;0;0;0;0;0;63.7;61.9;65.5;61.5;11.6 ;11.9 ;11.9 ;10.6 ;
2017-09-03;11:05:57.127;0.165;0.448;0.369;0.81;603;2.9e+03;0.792;0.149;0.0107;0.0516;39;0.829;5.62e+04;1.25e+05;2.12e+03;0.897;22.4;0.331;8.27;4.94e+04;45.6;53;0.0759;1.36;0;0;0;0;0;286;63.9;0.169;0.461;0.367;0.81;152;725;0.79;0.148;0.0106;0.0504; 51120;2408;6333;9.61;0.215;47;0.159;0.411;0.386;0.81;152;732;0.792;0.148;0.0113;0.0542; 53680;2334;6273;10.2;0.405;48;0.171;0.477;0.359;0.81;151;726;0.791;0.149;0.0104;0.0499; 51520;2893;5586;9.65;0.107;49;0.162;0.447;0.363;0.81;148;719;0.794;0.149;0.0107;0.0522; 52640;1887;6389;9.57;0.102;48;4.37e+03;3.87e+03;3.98e+03; 22%; 19%; 20%;3.89e+03;4.27e+03;4.62e+03; 20%; 21%; 23%;3.96e+03;3.41e+03;4.3e+03; 20%; 17%; 22%;3.9e+03;4.48e+03;4.36e+03; 20%; 23%; 22%;45.4;54.4;0;0.252;0;0;0;0;0;47.7;49.6;0.299;2.34;0;0;0;0;0;44.4;55.4;0;0.206;0;0;0;0;0;44.8;52.5;0.00476;2.62;0;0;0;0;0;71.1;71.3;73.4;70.5;15.7 ;16.7 ;16.7 ;14.8 ;
2017-09-03;11:05:58.138;0.2;0.492;0.406;0.81;1.26e+03;5.96e+03;0.789;0.149;0.0185;0.0879;80.7;1.5;6.78e+04;1.38e+05;2.12e+03;0.984;24.6;0.399;9.98;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;391;95;0.197;0.483;0.408;0.81;318;1.49e+03;0.787;0.149;0.019;0.0892; 49760;5072;13355;19.9;0.397;44;0.2;0.494;0.405;0.81;317;1.49e+03;0.787;0.149;0.0186;0.0876; 51520;4855;13114;21;0.765;46;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.15;0.0179;0.0857; 51920;5918;11126;19.9;0.169;46;0.197;0.486;0.405;0.81;310;1.49e+03;0.791;0.15;0.0186;0.0891; 52480;4045;13381;19.8;0.166;46;9.05e+03;7.88e+03;8.29e+03; 46%; 40%; 42%;7.95e+03;8.86e+03;9.58e+03; 40%; 45%; 49%;8.1e+03;7.02e+03;8.94e+03; 41%; 36%; 46%;7.99e+03;9.28e+03;8.97e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.3;96.8;103;94.8;23.4 ;24.8 ;24.5 ;22.2 ;
2017-09-03;11:05:59.148;0.2;0.493;0.406;0.81;1.26e+03;5.96e+03;0.789;0.149;0.0185;0.0879;80.6;1.5;6.78e+04;1.38e+05;2.12e+03;0.985;24.6;0.4;9.99;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;392;95.2;0.197;0.484;0.408;0.81;318;1.49e+03;0.787;0.148;0.019;0.0892; 53680;5074;13374;19.9;0.396;44;0.2;0.495;0.405;0.81;317;1.49e+03;0.787;0.149;0.0186;0.0876; 50080;4857;13118;21;0.765;46;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.149;0.0179;0.0857; 52560;5984;11136;19.9;0.169;46;0.197;0.486;0.405;0.81;310;1.49e+03;0.791;0.149;0.0186;0.0891; 52000;4050;13437;19.8;0.166;46;9.05e+03;7.88e+03;8.28e+03; 46%; 40%; 42%;7.95e+03;8.85e+03;9.57e+03; 40%; 45%; 49%;8.09e+03;7.01e+03;8.93e+03; 41%; 36%; 46%;7.97e+03;9.28e+03;8.96e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.6;97.1;103;94.7;23.6 ;24.9 ;24.4 ;22.3 ;
2017-09-03;11:06:00.157;0.2;0.492;0.406;0.81;1.26e+03;5.96e+03;0.789;0.149;0.0185;0.088;80.7;1.5;6.78e+04;1.38e+05;2.12e+03;0.985;24.6;0.399;9.98;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;392;95.1;0.197;0.483;0.408;0.81;318;1.49e+03;0.787;0.148;0.019;0.0893; 52480;5075;13391;19.9;0.397;44;0.2;0.494;0.405;0.81;317;1.49e+03;0.787;0.149;0.0187;0.0877; 50880;4860;13117;21.1;0.767;45;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.149;0.0179;0.0858; 51280;5984;11038;19.9;0.169;45;0.197;0.486;0.405;0.81;311;1.49e+03;0.791;0.15;0.0186;0.0892; 53360;4072;13514;19.8;0.166;45;9.05e+03;7.89e+03;8.29e+03; 46%; 40%; 42%;7.96e+03;8.86e+03;9.58e+03; 41%; 45%; 49%;8.1e+03;7.02e+03;8.95e+03; 41%; 36%; 46%;7.98e+03;9.29e+03;8.98e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.7;97.2;103;94.7;23.4 ;24.9 ;24.6 ;22.1 ;
2017-09-03;11:06:01.167;0.2;0.492;0.406;0.81;1.25e+03;5.95e+03;0.789;0.149;0.0185;0.0879;80.5;1.5;6.77e+04;1.38e+05;2.12e+03;0.984;24.6;0.399;9.98;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;392;94.8;0.197;0.483;0.408;0.81;317;1.49e+03;0.787;0.148;0.019;0.0891; 53680;5069;13352;19.8;0.396;43;0.2;0.493;0.405;0.81;316;1.49e+03;0.787;0.149;0.0187;0.0878; 52400;4850;13094;21;0.765;45;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.15;0.0179;0.0856; 51920;5927;11077;19.9;0.169;45;0.197;0.486;0.405;0.81;310;1.48e+03;0.791;0.15;0.0186;0.089; 52720;4051;13415;19.8;0.166;45;9.03e+03;7.87e+03;8.27e+03; 46%; 40%; 42%;7.93e+03;8.83e+03;9.55e+03; 40%; 45%; 49%;8.08e+03;7e+03;8.92e+03; 41%; 36%; 46%;7.97e+03;9.26e+03;8.95e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.6;97.3;103;94.7;23.3 ;24.7 ;24.6 ;22.2 ;
2017-09-03;11:06:02.177;0.2;0.492;0.406;0.81;1.26e+03;5.95e+03;0.789;0.149;0.0185;0.0879;80.6;1.5;6.77e+04;1.38e+05;2.12e+03;0.984;24.6;0.399;9.98;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;392;95.3;0.197;0.483;0.408;0.81;318;1.49e+03;0.787;0.149;0.019;0.0892; 52400;5067;13365;19.9;0.397;44;0.2;0.493;0.405;0.81;316;1.49e+03;0.787;0.149;0.0187;0.0878; 52160;4854;13100;21;0.766;44;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.15;0.0179;0.0857; 51840;5971;11069;19.9;0.169;45;0.197;0.486;0.405;0.81;310;1.49e+03;0.791;0.15;0.0186;0.0891; 53440;4074;13386;19.8;0.166;45;9.05e+03;7.88e+03;8.28e+03; 46%; 40%; 42%;7.95e+03;8.85e+03;9.57e+03; 40%; 45%; 49%;8.09e+03;7.01e+03;8.94e+03; 41%; 36%; 46%;7.98e+03;9.28e+03;8.97e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.5;97.3;103;94.9;23.5 ;24.8 ;24.8 ;22.2 ;
2017-09-03;11:06:03.187;0.2;0.492;0.406;0.81;1.25e+03;5.95e+03;0.789;0.149;0.0185;0.0878;80.5;1.5;6.77e+04;1.38e+05;2.12e+03;0.984;24.6;0.399;9.98;1.02e+05;50.1;49.9;0;0;0;0;0;0;0;392;95.1;0.197;0.483;0.408;0.81;317;1.49e+03;0.787;0.149;0.019;0.0891; 53440;5065;13344;19.8;0.396;43;0.2;0.493;0.405;0.81;316;1.49e+03;0.787;0.149;0.0187;0.0877; 53680;4847;13101;21;0.765;44;0.205;0.506;0.405;0.81;311;1.49e+03;0.791;0.149;0.0179;0.0857; 52560;5945;11091;19.9;0.169;45;0.197;0.486;0.405;0.81;310;1.48e+03;0.791;0.149;0.0186;0.089; 52320;4089;13393;19.7;0.166;45;9.03e+03;7.86e+03;8.27e+03; 46%; 40%; 42%;7.93e+03;8.83e+03;9.55e+03; 40%; 45%; 49%;8.07e+03;7e+03;8.92e+03; 41%; 36%; 45%;7.96e+03;9.26e+03;8.95e+03; 41%; 47%; 46%;50.4;49.6;0;0;0;0;0;0;0;50.1;49.9;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;96.2;97.4;103;94.9;23.5 ;24.7 ;24.6 ;22.2 ;
