System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;10:53:10.206;0.228;1.45;0.158;1.23;82.5;96.3;0.143;0.0888;0.000964;0.00112;7.12;6.76;8.56e+04;5.92e+04;2.13e+03;2.89;72.3;0.457;11.4;1.2e+04;12.8;19.8;0.0819;67.3;0;20.5;0;0;0;317;57.7;0.927;1.49;0.622;1.24;80.2;88;0.0889;0.0591;0.000947;0.00104; 56480;2054;6142;1.7;1.01;43;0.00293;0.493;0.00596;1.03;0.841;4.04;0.792;0.256;0.00303;0.0146; 43200;38;67;1.76;1.9;49;0.00162;0.353;0.00458;1.02;0.669;2.01;0.667;0.277;0.00438;0.0132; 35680;18;55;1.75;1.83;51;0.00541;0.363;0.0149;1.35;0.86;2.24;0.617;0.43;0.00168;0.00439; 37840;69;53;1.91;2.02;51;1.43e+03;1.4e+03;1.54e+03;  6%;  6%;  7%;249;241;2.05e+03;  1%;  1%;  9%;232;2.04e+03;260;  1%;  9%;  1%;239;246;2.13e+03;  1%;  1%;  9%;50.3;7.8;0.155;41.7;0;17.1;0;0;0;0.576;23.5;0.0799;75.9;0;47.1;0;0;0;0.447;23.2;0.0783;76.2;0;17.6;0;0;0;1.11;24.4;0.0166;74.5;0;0.0518;0;0;0;110;66.9;71.6;68.8;13.8 ;14.3 ;15.2 ;14.4 ;
2017-09-03;10:53:11.366;0.137;0.497;0.275;1.24;414;1.9e+03;0.782;0.145;0.00777;0.0357;29.2;4.01;5.32e+04;1.07e+05;2.44e+03;0.993;24.8;0.273;6.83;3.95e+04;22.2;46.8;0.0381;30.9;0;5.25;0;0;0;378;75;0.545;0.496;1.1;1.24;414;1.9e+03;0.782;0.145;0.00779;0.0357; 52000;7123;20628;7.27;0.662;43;0.00102;1.09;0.000932;1.28;0.0817;2.3;0.964;0.0451;0.000822;0.0231; 35600;2;3;7.37;1.28;48;6.29e-05;0.401;0.000157;1.25;0.0209;0.0969;0.785;0.0898;0.00341;0.0158; 34720;0;7;7.3;1.03;51;7.13e-05;0.404;0.000176;1.2;0.0244;0.1;0.756;0.096;0.00351;0.0144; 36800;0;4;7.28;1.04;50;1.64e+03;1.52e+03;1.52e+03;  7%;  6%;  6%;1.67e+03;1.67e+03;8.29e+03;  7%;  7%; 37%;1.68e+03;8.23e+03;1.68e+03;  7%; 36%;  7%;1.68e+03;1.67e+03;8.21e+03;  7%;  7%; 36%;88.7;4.67;0.152;6.46;0;0;0;0;0;0.0727;43.2;0;56.7;0;0;0;0;0;0.0126;66.7;0;33.2;0;0;0;0;0;0.0147;72.7;0;27.2;0;21;0;0;0;136;76.2;85.4;80.4;18.4 ;19.4 ;20 ;17.1 ;
2017-09-03;10:53:12.285;0.0807;0.256;0.315;1.24;488;2.43e+03;0.799;0.147;0.0187;0.0931;29.5;0.511;2.61e+04;1.02e+05;2.1e+03;0.512;12.8;0.161;4.03;3.88e+04;25.4;74.2;0;0.368;0;0;0;0;0;331;63.3;0.316;0.255;1.24;1.24;488;2.42e+03;0.799;0.147;0.0188;0.0935; 50080;7208;21463;7.36;0.133;43;0.0016;1.31;0.00122;1.24;0.0364;2.94;0.988;0.0464;0.000284;0.0229; 35840;0;7;7.39;0.206;47;6.23e-05;0.505;0.000123;1.24;0.0127;0.0739;0.829;0.118;0.00253;0.0148; 34480;0;1;7.37;0.0812;50;7.75e-05;0.517;0.00015;1.24;0.0174;0.0832;0.791;0.127;0.00279;0.0134; 36800;0;1;7.35;0.09;49;1.04e+03;961;962;  5%;  5%;  5%;1.82e+03;1.82e+03;8.32e+03;  9%;  9%; 45%;1.83e+03;8.28e+03;1.83e+03;  9%; 44%;  9%;1.83e+03;1.82e+03;8.25e+03;  9%;  9%; 44%;100;0;0;0;0;0;0;0;0;0.0983;99.1;0;0.81;0;0;0;0;0;0.00996;100;0;0;0;0;0;0;0;0.0121;99.3;0;0.671;0;0;0;0;0;114;71.6;75;70.4;15.5 ;16.2 ;17 ;14.6 ;
2017-09-03;10:53:13.290;0.0804;0.256;0.314;1.24;510;2.54e+03;0.799;0.147;0.0187;0.093;32.3;0.564;2.73e+04;1.06e+05;2.26e+03;0.512;12.8;0.161;4.02;4.24e+04;25.3;74.7;0;0;0;0;0;0;0;363;69.4;0.316;0.255;1.24;1.24;510;2.53e+03;0.799;0.147;0.0188;0.0934; 50960;7534;22444;8.06;0.148;42;0.00152;1.34;0.00113;1.24;0.0315;2.93;0.989;0.0472;0.000246;0.0228; 36000;0;2;8.09;0.228;47;5.97e-05;0.552;0.000108;1.24;0.0137;0.0746;0.816;0.151;0.00272;0.0148; 34560;0;3;8.07;0.0893;49;7.2e-05;0.555;0.00013;1.24;0.0165;0.0781;0.788;0.16;0.00272;0.0128; 36800;0;1;8.04;0.0985;49;1.14e+03;1.05e+03;1.05e+03;  5%;  5%;  5%;2e+03;1.99e+03;9.11e+03; 10%; 10%; 46%;2e+03;9.06e+03;2e+03; 10%; 46%; 10%;2e+03;1.99e+03;9.03e+03; 10%; 10%; 46%;100;0.000299;0;0;0;0;0;0;0;0.0913;99.9;0;0;0;0;0;0;0;0.00873;100;0;0;0;0;0;0;0;0.0105;100;0;0;0;0;0;0;0;125;78.8;82.1;76.9;17.1 ;17.7 ;18.6 ;16.1 ;
2017-09-03;10:53:14.297;0.0777;0.27;0.288;1.24;418;2.08e+03;0.799;0.147;0.0159;0.0792;26.8;0.488;2.63e+04;9.75e+04;2.11e+03;0.539;13.5;0.155;3.89;3.52e+04;23.3;75.7;0.0351;0.944;0;0;0;0;0;355;64.3;0.31;0.269;1.15;1.24;418;2.08e+03;0.799;0.147;0.016;0.0794; 55120;6207;18427;6.7;0.128;43;0.00119;1.2;0.000994;1.24;0.0599;2.31;0.974;0.048;0.000594;0.0228; 35440;2;3;6.72;0.195;48;7.11e-05;0.539;0.000132;1.24;0.0197;0.088;0.776;0.148;0.00328;0.0146; 34880;0;2;6.7;0.0785;50;8.04e-05;0.553;0.000145;1.24;0.0162;0.0911;0.822;0.152;0.00239;0.0134; 36960;1;0;6.68;0.0868;49;949;875;876;  4%;  4%;  4%;1.66e+03;1.65e+03;7.56e+03;  8%;  8%; 39%;1.66e+03;7.53e+03;1.66e+03;  8%; 38%;  8%;1.66e+03;1.65e+03;7.5e+03;  8%;  8%; 38%;93.1;3.42;0.14;3.38;0;0;0;0;0;0.0803;99.5;0;0.395;0;0;0;0;0;0.0107;100;0;0;0;0;0;0;0;0.0117;100;0;0.00633;0;0;0;0;0;119;78.1;81.6;76.4;15.9 ;16.4 ;17.1 ;15 ;
2017-09-03;10:53:15.303;0.0771;0.264;0.292;1.24;446;2.22e+03;0.799;0.147;0.0171;0.0852;28.8;0.517;2.61e+04;9.88e+04;2.11e+03;0.528;13.2;0.154;3.86;3.79e+04;23.6;75.6;0.00403;0.763;0;0;0;0;0;358;66.3;0.307;0.263;1.17;1.24;446;2.22e+03;0.799;0.147;0.0172;0.0855; 53040;6599;19702;7.21;0.136;42;0.0013;1.28;0.00101;1.24;0.0562;2.51;0.978;0.0463;0.000512;0.0229; 35840;1;3;7.24;0.206;47;6.2e-05;0.538;0.000115;1.24;0.015;0.076;0.802;0.146;0.00287;0.0145; 34960;0;0;7.21;0.0831;49;7.03e-05;0.557;0.000126;1.24;0.0153;0.079;0.807;0.156;0.00257;0.0133; 37040;0;3;7.19;0.092;49;1.02e+03;941;943;  5%;  4%;  4%;1.79e+03;1.78e+03;8.15e+03;  9%;  9%; 42%;1.79e+03;8.1e+03;1.79e+03;  9%; 41%;  9%;1.79e+03;1.78e+03;8.07e+03;  9%;  9%; 41%;94.3;3.96;0.0161;1.76;0;0;0;0;0;0.0819;99.9;0;0;0;0;0;0;0;0.00931;100;0;0;0;0;0;0;0;0.0102;98.7;0;1.29;0;0;0;0;0;121;78.4;82;76.3;16.4 ;16.8 ;17.7 ;15.4 ;
2017-09-03;10:53:16.309;0.0793;0.256;0.31;1.24;504;2.51e+03;0.799;0.147;0.0188;0.0936;32.4;0.562;2.68e+04;1.05e+05;2.11e+03;0.512;12.8;0.159;3.96;4.26e+04;25;75;0;0;0;0;0;0;0;364;69.6;0.315;0.255;1.24;1.24;504;2.5e+03;0.799;0.147;0.0189;0.094; 49840;7451;22234;8.09;0.147;42;0.00153;1.36;0.00112;1.24;0.027;2.95;0.991;0.0466;0.000209;0.0229; 36000;1;0;8.12;0.228;47;5.73e-05;0.549;0.000104;1.24;0.0108;0.0699;0.846;0.154;0.00222;0.0144; 34960;0;0;8.11;0.0891;48;7.24e-05;0.588;0.000123;1.24;0.0136;0.076;0.822;0.166;0.00222;0.0124; 37040;0;2;8.08;0.0979;49;1.15e+03;1.06e+03;1.06e+03;  5%;  5%;  5%;2.01e+03;2e+03;9.15e+03; 10%; 10%; 47%;2.01e+03;9.11e+03;2.01e+03; 10%; 47%; 10%;2.01e+03;2e+03;9.08e+03; 10%; 10%; 47%;100;0.00017;0;0;0;0;0;0;0;0.0907;99.9;0;0;0;0;0;0;0;0.00843;100;0;0;0;0;0;0;0;0.00996;100;0;0;0;0;0;0;0;125;79;82.5;77.1;17.1 ;17.7 ;18.6 ;16.1 ;
2017-09-03;10:53:17.314;0.0793;0.256;0.31;1.24;503;2.5e+03;0.799;0.147;0.0188;0.0934;32.4;0.566;2.68e+04;1.05e+05;2.11e+03;0.512;12.8;0.159;3.97;4.26e+04;25;75;0;0;0;0;0;0;0;364;69.6;0.316;0.255;1.24;1.24;503;2.5e+03;0.799;0.147;0.0189;0.0938; 52000;7440;22213;8.09;0.148;42;0.00152;1.34;0.00113;1.24;0.0294;2.93;0.99;0.0464;0.000229;0.0229; 36000;0;1;8.12;0.229;47;6.15e-05;0.549;0.000112;1.24;0.0164;0.0775;0.788;0.152;0.00315;0.0149; 34960;0;1;8.09;0.0898;48;6.94e-05;0.569;0.000122;1.24;0.0142;0.0745;0.809;0.173;0.00243;0.0127; 37280;0;2;8.07;0.0987;49;1.15e+03;1.06e+03;1.06e+03;  5%;  5%;  5%;2.01e+03;2e+03;9.14e+03; 10%; 10%; 47%;2.01e+03;9.09e+03;2.01e+03; 10%; 47%; 10%;2.01e+03;2e+03;9.06e+03; 10%; 10%; 46%;100;0.000214;0;0;0;0;0;0;0;0.0913;99.9;0;0;0;0;0;0;0;0.00904;100;0;0;0;0;0;0;0;0.00985;100;0;0;0;0;0;0;0;125;79;82.6;77;17.1 ;17.7 ;18.6 ;16.2 ;
2017-09-03;10:53:18.320;0.0793;0.256;0.31;1.24;504;2.51e+03;0.799;0.147;0.0188;0.0935;32.4;0.561;2.68e+04;1.05e+05;2.11e+03;0.512;12.8;0.159;3.96;4.26e+04;25;75;0;0.00304;0;0;0;0;0;364;69.6;0.315;0.255;1.24;1.24;504;2.5e+03;0.799;0.147;0.0189;0.0939; 51200;7455;22228;8.09;0.147;41;0.00154;1.35;0.00115;1.24;0.0273;2.97;0.991;0.0467;0.00021;0.0228; 36160;0;0;8.12;0.227;46;6.56e-05;0.553;0.000119;1.24;0.0139;0.0748;0.814;0.163;0.0025;0.0135; 34880;0;0;8.11;0.0892;48;7.87e-05;0.566;0.000139;1.24;0.0144;0.0877;0.835;0.162;0.00217;0.0132; 37040;0;2;8.07;0.0975;48;1.15e+03;1.06e+03;1.06e+03;  5%;  5%;  5%;2.01e+03;2e+03;9.14e+03; 10%; 10%; 47%;2.01e+03;9.11e+03;2.01e+03; 10%; 47%; 10%;2.01e+03;2e+03;9.07e+03; 10%; 10%; 46%;100;0.000422;0;0;0;0;0;0;0;0.0925;99.9;0;0.006;0;0;0;0;0;0.00959;100;0;0;0;0;0;0;0;0.0112;100;0;0.00615;0;0;0;0;0;125;79;82.6;77.1;17.1 ;17.7 ;18.7 ;16.1 ;
2017-09-03;10:53:19.326;0.0793;0.256;0.31;1.24;503;2.5e+03;0.799;0.147;0.0188;0.0935;32.4;0.563;2.68e+04;1.05e+05;2.11e+03;0.512;12.8;0.159;3.96;4.26e+04;25;74;0;0.956;0;0;0;0;0;363;69.4;0.316;0.255;1.24;1.24;503;2.5e+03;0.799;0.147;0.0189;0.0938; 53680;7437;22218;8.09;0.147;41;0.00152;1.35;0.00113;1.24;0.0272;2.93;0.991;0.0461;0.000212;0.0228; 36160;0;1;8.12;0.228;46;6.43e-05;0.542;0.000119;1.24;0.0164;0.0786;0.792;0.153;0.00301;0.0145; 35040;0;0;8.09;0.0895;48;7.2e-05;0.584;0.000123;1.24;0.0131;0.075;0.825;0.168;0.00216;0.0123; 36880;0;1;8.07;0.0983;48;1.15e+03;1.06e+03;1.06e+03;  5%;  5%;  5%;2.01e+03;2e+03;9.14e+03; 10%; 10%; 47%;2.01e+03;9.09e+03;2.01e+03; 10%; 47%; 10%;2.01e+03;2e+03;9.07e+03; 10%; 10%; 46%;100;0.000222;0;0;0;0;0;0;0;0.0912;96.8;0;3.15;0;0;0;0;0;0.00959;100;0;0;0;0;0;0;0;0.00995;99.3;0;0.679;0;0;0;0;0;126;78.2;82.7;77;17.1 ;17.6 ;18.7 ;16 ;
