System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;10:50:28.529;0.028;0.9;0.0311;0.709;4.07;12;0.661;0.339;0.0004;0.00118;0.42;0.307;1.02e+04;1.13e+04;2.12e+03;1.8;45;0.0559;1.4;621;4.38;14.1;0.0613;81.4;0;25.3;0;0;0;135;34.4;0.0798;0.929;0.0858;0.712;1.36;4.56;0.703;0.347;0.00019;0.000637; 53760;54;109;0.0683;0.0535;50;0.0284;0.965;0.0294;0.707;0.866;2.49;0.653;0.332;0.000334;0.000963; 37760;34;59;0.102;0.0788;51;0.00161;0.399;0.00402;0.662;0.747;1.98;0.623;0.293;0.0051;0.0135; 40160;28;39;0.104;0.0788;55;0.00301;0.503;0.00599;0.714;1.1;2.94;0.627;0.362;0.00398;0.0107; 39920;71;43;0.146;0.0956;52;62.5;45.9;56.8;  0%;  0%;  0%;54.7;40.3;45.9;  0%;  0%;  0%;40.3;36.5;74.1;  0%;  0%;  0%;44.7;42.9;76.4;  0%;  0%;  0%;12;13.5;0.0947;74.4;0;17.3;0;0;0;4.16;19.6;0.0807;76.2;0;17.1;0;0;0;0.608;2.16;0.0324;97.2;0;66.6;0;0;0;0.838;21.3;0.038;77.8;0;0;0;0;0;37.3;33.4;30.9;33;8.51 ;8.82 ;8.83 ;8.29 ;
2017-09-03;10:50:29.652;0.331;1.22;0.271;0.714;275;917;0.7;0.143;0.00221;0.00736;20.9;9.75;1.25e+05;1.02e+05;2.3e+03;2.44;61.1;0.661;16.5;3.04e+04;37.9;24.4;0.000321;37.7;0;12.8;0;0;0;230;66.2;0.719;1.18;0.611;0.714;136;430;0.684;0.138;0.00202;0.00641; 47920;2975;8491;5.24;2.26;46;0.609;1.28;0.476;0.714;140;486;0.713;0.147;0.00242;0.00845; 46960;2844;8102;5.25;2.23;48;0.000414;0.863;0.000479;0.69;0.0502;0.912;0.945;0.0405;0.00128;0.0233; 39680;0;3;5.1;2.49;51;7.79e-05;0.341;0.000229;0.707;0.0303;0.136;0.777;0.0682;0.0041;0.0184; 37920;0;4;5.28;2.78;51;4.18e+03;1.68e+03;1.81e+03; 19%;  7%;  8%;1.47e+03;1.55e+03;4.25e+03;  6%;  7%; 19%;3.3e+03;3.44e+03;956; 15%; 15%;  4%;957;3.21e+03;3.63e+03;  4%; 14%; 16%;85.5;4.07;0.000487;10.4;0;0;0;0;0;66.7;14.4;0.000801;18.9;0;0.0805;0;0;0;0.0695;37.7;0;62.3;0;25.2;0;0;0;0.0323;41.1;0;58.9;0;25.8;0;0;0;71.5;66.7;46.4;45.5;16.1 ;16.7 ;17.5 ;15.8 ;
2017-09-03;10:50:30.538;0.134;0.371;0.361;0.714;754;3.61e+03;0.791;0.151;0.0187;0.0892;47.4;1.09;4.04e+04;1.09e+05;2.09e+03;0.742;18.6;0.268;6.71;6.15e+04;50.6;47.4;0;1.98;0;0;0;0;0;291;71.1;0.263;0.369;0.714;0.714;384;1.84e+03;0.791;0.151;0.0188;0.0898; 49440;5730;16853;11.7;0.268;45;0.266;0.372;0.714;0.714;370;1.77e+03;0.791;0.151;0.0186;0.0889; 47680;6006;15687;12.2;0.573;46;0.00106;1.38;0.000767;0.714;0.0276;1.79;0.985;0.048;0.00035;0.0227; 39920;0;1;11.7;0.119;51;9.4e-05;0.639;0.000147;0.714;0.018;0.0962;0.813;0.113;0.00257;0.0137; 37840;0;3;11.7;0.127;50;7.48e+03;2.2e+03;2.19e+03; 43%; 12%; 12%;2.21e+03;2.21e+03;7.3e+03; 12%; 12%; 42%;8.31e+03;7.78e+03;2.91e+03; 48%; 45%; 16%;2.91e+03;7.54e+03;8.48e+03; 16%; 43%; 49%;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.107;96.1;0;3.83;0;0;0;0;0;0.0206;95.8;0;4.18;0;0;0;0;0;83.9;84.4;63.9;59.1;17.5 ;18.3 ;18.7 ;16.6 ;
2017-09-03;10:50:31.547;0.133;0.371;0.357;0.714;838;4.01e+03;0.791;0.151;0.0186;0.0892;53.9;1.23;4.5e+04;1.21e+05;2.12e+03;0.742;18.6;0.265;6.63;7e+04;50;49;0;0.977;0;0;0;0;0;333;80.7;0.264;0.369;0.714;0.714;419;2.01e+03;0.791;0.151;0.0188;0.0898; 52720;6276;18412;13.3;0.302;44;0.266;0.372;0.714;0.714;419;2e+03;0.791;0.151;0.0186;0.0888; 49760;6798;17758;13.9;0.653;45;0.00103;1.52;0.000676;0.714;0.0236;1.96;0.988;0.0502;0.000271;0.0225; 40160;0;4;13.4;0.135;50;6.89e-05;0.678;0.000102;0.714;0.0154;0.0778;0.802;0.151;0.00265;0.0133; 38080;0;1;13.3;0.144;50;8.51e+03;2.5e+03;2.49e+03; 43%; 12%; 12%;2.52e+03;2.51e+03;8.3e+03; 12%; 12%; 42%;9.45e+03;8.85e+03;3.31e+03; 48%; 45%; 17%;3.31e+03;8.57e+03;9.65e+03; 17%; 44%; 49%;100;0.000511;0;0;0;0;0;0;0;100;0.000595;0;0;0;0;0;0;0;0.0946;99.9;0;0;0;0;0;0;0;0.0142;96.1;0;3.91;0;0;0;0;0;95.4;96.5;73.3;67.4;19.9 ;20.8 ;21.2 ;18.9 ;
2017-09-03;10:50:32.556;0.133;0.371;0.357;0.714;838;4.01e+03;0.791;0.151;0.0186;0.0892;53.8;1.24;4.49e+04;1.21e+05;2.12e+03;0.742;18.5;0.265;6.63;6.99e+04;50;49.6;0;0.356;0;0;0;0;0;333;80.5;0.264;0.369;0.714;0.714;419;2e+03;0.791;0.151;0.0188;0.0897; 51360;6272;18399;13.3;0.305;44;0.266;0.372;0.714;0.714;419;2e+03;0.791;0.151;0.0186;0.0889; 51440;6793;17764;13.9;0.653;45;0.00104;1.53;0.000676;0.714;0.0211;1.97;0.989;0.0509;0.000241;0.0225; 40080;0;0;13.3;0.135;49;7.02e-05;0.688;0.000102;0.714;0.0161;0.0782;0.794;0.158;0.0027;0.0131; 37920;0;0;13.3;0.145;50;8.5e+03;2.5e+03;2.49e+03; 43%; 12%; 12%;2.51e+03;2.51e+03;8.29e+03; 12%; 12%; 42%;9.43e+03;8.84e+03;3.31e+03; 48%; 45%; 17%;3.31e+03;8.57e+03;9.64e+03; 17%; 44%; 49%;100;4.85e-05;0;0;0;0;0;0;0;100;0.00029;0;0;0;0;0;0;0;0.0946;99.9;0;0;0;0;0;0;0;0.0143;98.6;0;1.42;0;0;0;0;0;95.4;96.1;73.5;67.6;19.8 ;20.8 ;21.1 ;18.9 ;
2017-09-03;10:50:33.565;0.133;0.371;0.357;0.714;836;4e+03;0.791;0.151;0.0186;0.0891;53.8;1.23;4.49e+04;1.21e+05;2.12e+03;0.742;18.5;0.265;6.63;6.98e+04;50;50;0;0;0;0;0;0;0;333;80.6;0.264;0.369;0.714;0.714;418;2e+03;0.791;0.151;0.0187;0.0896; 52320;6263;18356;13.3;0.304;44;0.265;0.372;0.714;0.714;418;2e+03;0.791;0.151;0.0186;0.0888; 53280;6785;17718;13.9;0.651;44;0.00104;1.53;0.000678;0.714;0.0225;1.98;0.989;0.0506;0.000255;0.0225; 40080;0;1;13.3;0.135;49;7.07e-05;0.698;0.000101;0.714;0.0176;0.0793;0.778;0.154;0.00293;0.0132; 38080;0;1;13.3;0.144;50;8.49e+03;2.49e+03;2.49e+03; 43%; 12%; 12%;2.51e+03;2.51e+03;8.29e+03; 12%; 12%; 42%;9.42e+03;8.83e+03;3.3e+03; 48%; 45%; 17%;3.3e+03;8.56e+03;9.63e+03; 17%; 44%; 49%;100;0.000273;0;0;0;0;0;0;0;100;0.000365;0;0;0;0;0;0;0;0.0949;99.9;0;0;0;0;0;0;0;0.0142;100;0;0;0;0;0;0;0;95.5;96;73.6;67.6;19.8 ;20.7 ;21.2 ;18.9 ;
2017-09-03;10:50:34.574;0.132;0.371;0.356;0.714;814;3.89e+03;0.791;0.151;0.0182;0.087;52.4;1.22;4.48e+04;1.21e+05;2.12e+03;0.742;18.6;0.264;6.6;6.82e+04;49.8;50;0;0.164;0;0.0205;0;0;0;331;79.5;0.263;0.37;0.711;0.714;407;1.95e+03;0.791;0.151;0.0183;0.0874; 51280;6217;17833;13;0.303;44;0.264;0.371;0.711;0.714;407;1.94e+03;0.791;0.151;0.0182;0.0869; 47680;6433;17403;13.5;0.641;44;0.00103;1.48;0.000698;0.714;0.0302;1.98;0.985;0.0504;0.000344;0.0226; 40000;0;0;13;0.132;49;8e-05;0.667;0.00012;0.714;0.0207;0.0941;0.78;0.146;0.00305;0.0139; 38080;0;2;12.9;0.141;49;8.2e+03;2.42e+03;2.41e+03; 42%; 12%; 12%;2.47e+03;2.46e+03;8.27e+03; 12%; 12%; 42%;9.23e+03;8.56e+03;3.22e+03; 47%; 44%; 16%;3.22e+03;8.6e+03;9.12e+03; 16%; 44%; 47%;99.5;0.17;0;0.321;0;0;0;0;0;99.6;0.107;0;0.334;0;0.0822;0;0;0;0.0977;99.9;0;0;0;0;0;0;0;0.0168;100;0;0;0;0;0;0;0;94.9;95.3;73.3;67.7;19.6 ;20.6 ;20.8 ;18.5 ;
2017-09-03;10:50:35.583;0.132;0.371;0.357;0.714;837;4.01e+03;0.791;0.151;0.0186;0.0892;53.8;1.24;4.49e+04;1.21e+05;2.12e+03;0.741;18.5;0.265;6.62;7.02e+04;50;50;0;0;0;0;0;0;0;333;80.7;0.264;0.37;0.714;0.714;419;2e+03;0.791;0.151;0.0187;0.0895; 53280;6520;18312;13.3;0.306;43;0.265;0.371;0.714;0.714;418;2e+03;0.791;0.151;0.0186;0.0891; 51440;6458;18045;13.9;0.651;44;0.00103;1.55;0.000669;0.714;0.0187;1.97;0.991;0.0502;0.000213;0.0225; 40080;0;1;13.3;0.135;49;6.63e-05;0.71;9.34e-05;0.714;0.0123;0.0711;0.827;0.166;0.00218;0.0126; 38160;0;2;13.3;0.144;49;8.38e+03;2.48e+03;2.47e+03; 43%; 12%; 12%;2.56e+03;2.55e+03;8.67e+03; 13%; 13%; 44%;9.52e+03;8.77e+03;3.31e+03; 49%; 45%; 17%;3.31e+03;9.06e+03;9.16e+03; 17%; 46%; 47%;100;0.000181;0;0;0;0;0;0;0;100;0.000495;0;0;0;0;0;0;0;0.0937;99.9;0;0;0;0;0;0;0;0.0131;100;0;0;0;0;0;0;0;95.6;96.2;73.7;67.6;19.7 ;20.8 ;21.3 ;18.8 ;
2017-09-03;10:50:36.592;0.132;0.371;0.357;0.714;839;4.01e+03;0.791;0.151;0.0187;0.0894;53.9;1.24;4.49e+04;1.21e+05;2.12e+03;0.741;18.5;0.265;6.62;7.03e+04;50;50;0;0;0;0;0;0;0;333;80.8;0.264;0.37;0.714;0.714;419;2.01e+03;0.791;0.151;0.0187;0.0897; 53040;6528;18327;13.3;0.305;43;0.265;0.371;0.714;0.714;419;2.01e+03;0.791;0.151;0.0187;0.0894; 51040;6484;18065;13.9;0.654;44;0.00104;1.55;0.000672;0.714;0.0203;1.98;0.99;0.0502;0.000231;0.0225; 40000;0;1;13.4;0.135;49;6.84e-05;0.721;9.5e-05;0.714;0.0134;0.0742;0.819;0.165;0.00232;0.0128; 38080;2;0;13.3;0.144;49;8.39e+03;2.48e+03;2.48e+03; 43%; 12%; 12%;2.56e+03;2.56e+03;8.68e+03; 13%; 13%; 44%;9.53e+03;8.79e+03;3.31e+03; 49%; 45%; 17%;3.31e+03;9.08e+03;9.18e+03; 17%; 46%; 47%;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.0941;99.9;0;0;0;0;0;0;0;0.0133;100;0;0;0;0;0;0;0;95.7;96.3;73.8;67.6;19.9 ;20.8 ;21.3 ;18.9 ;
2017-09-03;10:50:37.601;0.132;0.371;0.357;0.714;837;4.01e+03;0.791;0.151;0.0187;0.0892;53.8;1.24;4.49e+04;1.21e+05;2.12e+03;0.741;18.5;0.265;6.62;7.03e+04;50;49.7;0;0.29;0;0;0;0;0;334;80.7;0.264;0.37;0.714;0.714;419;2e+03;0.791;0.151;0.0187;0.0896; 50720;6522;18309;13.3;0.305;43;0.265;0.371;0.714;0.714;419;2e+03;0.791;0.151;0.0187;0.0892; 51120;6458;18043;13.9;0.653;43;0.00103;1.54;0.00067;0.714;0.0198;1.97;0.99;0.0502;0.000226;0.0225; 40080;0;1;13.3;0.135;48;7.1e-05;0.734;9.67e-05;0.714;0.0144;0.0745;0.807;0.161;0.00239;0.0124; 38160;0;2;13.3;0.144;49;8.38e+03;2.48e+03;2.47e+03; 43%; 12%; 12%;2.56e+03;2.55e+03;8.67e+03; 13%; 13%; 44%;9.52e+03;8.78e+03;3.31e+03; 49%; 45%; 17%;3.31e+03;9.07e+03;9.17e+03; 17%; 46%; 47%;100;0.000556;0;0;0;0;0;0;0;100;0.000741;0;0;0;0;0;0;0;0.0938;99.9;0;0;0;0;0;0;0;0.0135;98.8;0;1.16;0;0;0;0;0;95.7;96.5;73.9;67.7;19.8 ;20.8 ;21.3 ;18.8 ;
