System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;10:41:50.804;0.0111;0.662;0.0168;0.822;4.68;13.9;0.664;0.34;0.00124;0.00369;0.442;0.289;3.77e+03;5.7e+03;2.12e+03;1.32;33.1;0.0222;0.555;666;2.04;10;0.0928;87.8;0;29.8;0;0;0;119;32.4;0.00609;0.532;0.0114;0.819;1.29;4.23;0.695;0.277;0.00249;0.00818; 44080;42;98;0.0996;0.0587;50;0.0166;0.731;0.0226;0.831;1.35;4.2;0.678;0.411;0.000962;0.00299; 45840;36;92;0.0875;0.06;51;0.0186;0.724;0.0256;0.823;0.904;2.44;0.63;0.279;0.000573;0.00155; 45040;31;56;0.0821;0.0592;53;0.00321;0.437;0.00735;0.796;1.14;3.06;0.627;0.355;0.00418;0.0112; 38880;78;48;0.173;0.111;53;75.7;38.8;60.3;  0%;  0%;  0%;59.8;56.2;40.9;  0%;  0%;  0%;37.2;32.1;68.9;  0%;  0%;  0%;46.8;58;90.8;  0%;  0%;  0%;1.4;16.4;0.0873;82.1;0;19.7;0;0;0;2.73;9.98;0.0801;87.2;0;19.7;0;0;0;3.12;4.32;0.17;92.4;0;52.8;0;0;0;0.924;9.49;0.0341;89.6;0;26.9;0;0;0;30.7;29.6;30;29.1;7.97 ;8.21 ;8.34 ;7.87 ;
2017-09-03;10:41:51.814;0.43;1.01;0.427;0.857;229;774;0.704;0.143;0.00156;0.00529;17.2;9.37;1.46e+05;1.45e+05;2.13e+03;2.01;50.4;0.861;21.5;2.53e+04;49.8;23.7;0.0471;26.4;0;0.322;0;0;0;237;55.7;0.343;1.03;0.334;0.857;53.4;229;0.766;0.16;0.00183;0.00785; 50400;1163;2944;4.36;2.63;47;0.699;1;0.699;0.857;87.4;270;0.677;0.136;0.00147;0.00455; 53520;1798;5935;4.27;2.06;48;0.679;1;0.676;0.857;88.1;275;0.68;0.136;0.00153;0.00477; 49760;1825;5921;4.08;1.93;49;0.000113;0.402;0.000281;0.858;0.0346;0.178;0.806;0.101;0.00361;0.0186; 37920;0;1;4.46;2.75;51;2.53e+03;2.41e+03;861; 13%; 12%;  4%;2.74e+03;1.46e+03;2.51e+03; 14%;  7%; 12%;2.91e+03;2.21e+03;1.44e+03; 14%; 11%;  7%;2.5e+03;2.34e+03;1.42e+03; 12%; 12%;  7%;38.9;25.9;0.0605;35.1;0;0;0;0;0;81.5;5.45;0.0601;13;0;0.715;0;0;0;78.9;5.23;0.0677;15.8;0;0.572;0;0;0;0.0327;58.2;0;41.8;0;0;0;0;0;57.3;66.7;68.7;43.9;14.2 ;14 ;14.3 ;13.3 ;
2017-09-03;10:41:52.813;0.204;0.317;0.643;0.857;1.23e+03;5.91e+03;0.793;0.149;0.0179;0.0864;78.7;1.76;6.84e+04;2.16e+05;2.1e+03;0.634;15.9;0.408;10.2;9.84e+04;75;25;0;0;0;0;0;0;0;380;93.9;0.269;0.314;0.857;0.857;408;1.97e+03;0.793;0.149;0.0181;0.0872; 53120;7149;17225;19.4;0.448;45;0.272;0.317;0.857;0.857;408;1.97e+03;0.793;0.149;0.0179;0.0863; 52160;6510;17315;20.4;0.924;46;0.274;0.32;0.857;0.857;409;1.97e+03;0.793;0.149;0.0178;0.0859; 52320;7030;16837;19.5;0.199;46;0.000575;1.3;0.000443;0.857;0.0254;0.927;0.973;0.156;0.000526;0.0192; 38160;0;9;19.4;0.189;50;9.77e+03;8.18e+03;3.87e+03; 50%; 42%; 20%;8.41e+03;4.08e+03;1.1e+04; 43%; 21%; 57%;9.7e+03;8.49e+03;3.89e+03; 50%; 44%; 20%;1.18e+04;1.03e+04;8.95e+03; 61%; 53%; 46%;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.0517;99.9;0;0;0;0;0;0;0;100;101;108;70.4;23 ;24.4 ;24.5 ;22 ;
2017-09-03;10:41:53.822;0.204;0.317;0.643;0.857;1.24e+03;5.98e+03;0.793;0.149;0.0179;0.0865;79.6;1.78;6.91e+04;2.18e+05;2.12e+03;0.634;15.8;0.407;10.2;9.96e+04;75;25;0;0;0;0;0;0;0;386;95.1;0.269;0.313;0.857;0.857;412;1.99e+03;0.793;0.149;0.0181;0.0873; 49600;7236;17409;19.6;0.454;44;0.272;0.317;0.857;0.857;413;1.99e+03;0.793;0.149;0.0179;0.0864; 49520;6589;17489;20.7;0.935;44;0.274;0.32;0.857;0.857;414;2e+03;0.793;0.149;0.0178;0.086; 50480;7107;17031;19.7;0.202;45;0.000579;1.31;0.000441;0.857;0.0262;0.938;0.972;0.161;0.000534;0.0191; 38160;1;4;19.6;0.191;49;9.89e+03;8.29e+03;3.91e+03; 51%; 42%; 20%;8.51e+03;4.13e+03;1.11e+04; 43%; 21%; 57%;9.82e+03;8.6e+03;3.94e+03; 50%; 44%; 20%;1.2e+04;1.04e+04;9.06e+03; 61%; 53%; 46%;100;0.000552;0;0;0;0;0;0;0;100;0.000681;0;0;0;0;0;0;0;100;0.000867;0;0;0;0;0;0;0;0.0514;99.9;0;0;0;0;0;0;0;102;103;110;71.4;23.3 ;24.8 ;24.9 ;22.1 ;
2017-09-03;10:41:54.832;0.204;0.318;0.641;0.857;1.21e+03;5.85e+03;0.793;0.149;0.0175;0.0845;77.9;1.76;6.92e+04;2.18e+05;2.12e+03;0.636;15.9;0.408;10.2;9.74e+04;74.8;21.1;0;4.05;0;0.025;0;0;0;382;93.8;0.269;0.314;0.855;0.857;403;1.95e+03;0.793;0.149;0.0177;0.0853; 49920;7031;17059;19.2;0.451;43;0.272;0.318;0.855;0.857;404;1.95e+03;0.793;0.149;0.0175;0.0844; 49840;6429;17125;20.2;0.92;45;0.274;0.321;0.855;0.857;405;1.95e+03;0.793;0.149;0.0174;0.0838; 50160;7129;16527;19.3;0.202;45;0.000582;1.21;0.000481;0.857;0.0365;0.973;0.962;0.152;0.000739;0.0197; 38320;0;1;19.2;0.189;49;9.69e+03;8.13e+03;3.84e+03; 49%; 41%; 19%;8.28e+03;4.04e+03;1.09e+04; 42%; 20%; 56%;9.6e+03;8.29e+03;3.84e+03; 49%; 42%; 19%;1.16e+04;1.02e+04;8.99e+03; 59%; 52%; 46%;99.7;0.165;0;0.116;0;0;0;0;0;99.7;0.141;0;0.116;0;0.0556;0;0;0;99.7;0.138;0;0.118;0;0.0442;0;0;0;0.0561;84.1;0;15.8;0;0;0;0;0;102;103;109;69.1;23.2 ;24.4 ;24.4 ;21.9 ;
2017-09-03;10:41:55.841;0.204;0.317;0.643;0.857;1.24e+03;5.98e+03;0.793;0.149;0.0179;0.0864;79.6;1.79;6.92e+04;2.18e+05;2.12e+03;0.634;15.9;0.408;10.2;9.94e+04;75;24;0;1.01;0;0;0;0;0;386;95.2;0.268;0.313;0.857;0.857;413;1.99e+03;0.793;0.149;0.0181;0.0874; 50560;7195;17468;19.6;0.456;43;0.272;0.317;0.857;0.857;413;1.99e+03;0.793;0.149;0.0179;0.0864; 52880;6581;17504;20.7;0.938;43;0.274;0.32;0.857;0.857;414;1.99e+03;0.793;0.149;0.0178;0.0857; 51280;7322;16850;19.7;0.202;45;0.000575;1.31;0.000439;0.857;0.0238;0.935;0.975;0.158;0.000489;0.0192; 38320;0;1;19.6;0.191;49;9.9e+03;8.31e+03;3.92e+03; 51%; 42%; 20%;8.44e+03;4.12e+03;1.11e+04; 43%; 21%; 57%;9.79e+03;8.44e+03;3.92e+03; 50%; 43%; 20%;1.18e+04;1.04e+04;9.2e+03; 60%; 53%; 47%;100;0.000306;0;0;0;0;0;0;0;100;0.000658;0;0;0;0;0;0;0;100;0.000586;0;0;0;0;0;0;0;0.0512;95.9;0;4.05;0;0;0;0;0;102;103;110;70.8;23.4 ;24.8 ;24.8 ;22.2 ;
2017-09-03;10:41:56.851;0.203;0.316;0.643;0.857;1.23e+03;5.95e+03;0.793;0.149;0.0179;0.0863;79.3;1.78;6.9e+04;2.18e+05;2.12e+03;0.633;15.8;0.407;10.2;9.9e+04;75;25;0;0;0;0;0;0;0;387;94.9;0.268;0.313;0.857;0.857;411;1.98e+03;0.793;0.149;0.0181;0.0872; 52560;7155;17386;19.5;0.453;43;0.27;0.316;0.857;0.857;411;1.98e+03;0.793;0.149;0.0179;0.0865; 51920;6548;17429;20.6;0.935;44;0.274;0.32;0.857;0.857;412;1.99e+03;0.793;0.149;0.0177;0.0854; 52240;7287;16793;19.7;0.201;44;0.000567;1.34;0.000425;0.857;0.0226;0.926;0.976;0.159;0.00047;0.0193; 38320;0;3;19.5;0.191;49;9.86e+03;8.28e+03;3.9e+03; 50%; 42%; 20%;8.41e+03;4.11e+03;1.11e+04; 43%; 21%; 57%;9.76e+03;8.41e+03;3.9e+03; 50%; 43%; 20%;1.18e+04;1.04e+04;9.17e+03; 60%; 53%; 47%;100;0.000446;0;0;0;0;0;0;0;100;0.000238;0;0;0;0;0;0;0;100;0.000202;0;0;0;0;0;0;0;0.0495;100;0;0;0;0;0;0;0;102;104;110;71.4;23.3 ;24.8 ;24.7 ;22.1 ;
2017-09-03;10:41:57.860;0.203;0.316;0.643;0.857;1.23e+03;5.95e+03;0.793;0.149;0.0179;0.0863;79.3;1.78;6.89e+04;2.18e+05;2.12e+03;0.632;15.8;0.407;10.2;9.9e+04;75;25;0;0;0;0;0;0;0;387;94.7;0.268;0.313;0.857;0.857;411;1.98e+03;0.793;0.149;0.0181;0.0872; 51840;7163;17376;19.5;0.454;43;0.27;0.315;0.857;0.857;411;1.98e+03;0.793;0.149;0.0179;0.0865; 52400;6554;17427;20.6;0.934;43;0.274;0.32;0.857;0.857;412;1.99e+03;0.793;0.149;0.0177;0.0854; 53280;7283;16788;19.7;0.201;44;0.000567;1.36;0.000418;0.857;0.0197;0.926;0.979;0.159;0.00041;0.0193; 38240;0;0;19.5;0.191;49;9.86e+03;8.28e+03;3.9e+03; 50%; 42%; 20%;8.41e+03;4.11e+03;1.11e+04; 43%; 21%; 57%;9.75e+03;8.41e+03;3.9e+03; 50%; 43%; 20%;1.18e+04;1.04e+04;9.17e+03; 60%; 53%; 47%;100;0.000238;0;0;0;0;0;0;0;100;0.000351;0;0;0;0;0;0;0;100;0.000437;0;0;0;0;0;0;0;0.0488;100;0;0;0;0;0;0;0;102;104;110;71.4;23.2 ;24.9 ;24.5 ;22.1 ;
2017-09-03;10:41:58.869;0.203;0.316;0.643;0.857;1.23e+03;5.94e+03;0.793;0.149;0.0178;0.0861;79.1;1.77;6.9e+04;2.18e+05;2.12e+03;0.633;15.8;0.407;10.2;9.88e+04;75;4.74;0;20.2;0;18;0;0;0;377;94.7;0.268;0.313;0.857;0.857;410;1.97e+03;0.793;0.149;0.018;0.0869; 50480;7142;17326;19.5;0.454;43;0.271;0.316;0.857;0.857;410;1.98e+03;0.793;0.149;0.0179;0.0863; 51360;6536;17377;20.5;0.932;43;0.274;0.32;0.857;0.857;411;1.98e+03;0.793;0.149;0.0177;0.0852; 50480;7267;16756;19.6;0.201;43;0.000581;0.971;0.000599;0.704;0.0277;1.11;0.975;0.0716;0.000562;0.0226; 38320;0;3;19.5;0.178;49;9.84e+03;8.27e+03;3.9e+03; 50%; 42%; 20%;8.39e+03;4.1e+03;1.11e+04; 43%; 21%; 57%;9.74e+03;8.4e+03;3.9e+03; 50%; 43%; 20%;1.17e+04;1.04e+04;9.15e+03; 60%; 53%; 47%;100;0.000246;0;0;0;0;0;0;0;100;0.000284;0;0;0;0;0;0;0;100;0.000319;0;0;0;0;0;0;0;0.0851;18.9;0;81;0;71.9;0;0;0;102;104;110;61.9;23.3 ;24.8 ;24.5 ;22.1 ;
2017-09-03;10:41:59.878;0.203;0.316;0.643;0.857;1.23e+03;5.95e+03;0.793;0.149;0.0179;0.0864;79.3;1.78;6.89e+04;2.18e+05;2.12e+03;0.632;15.8;0.407;10.2;9.91e+04;75;25;0;0;0;0;0;0;0;387;94.7;0.268;0.313;0.857;0.857;411;1.98e+03;0.793;0.149;0.0181;0.0872; 49760;7159;17390;19.5;0.455;42;0.27;0.315;0.857;0.857;411;1.98e+03;0.793;0.149;0.0179;0.0866; 51040;6557;17433;20.6;0.935;43;0.274;0.32;0.857;0.857;412;1.99e+03;0.793;0.149;0.0177;0.0854; 48960;7287;16803;19.7;0.202;44;0.000573;1.31;0.000437;0.857;0.0214;0.938;0.977;0.155;0.000441;0.0193; 38320;0;1;19.5;0.191;49;9.86e+03;8.28e+03;3.9e+03; 50%; 42%; 20%;8.41e+03;4.11e+03;1.11e+04; 43%; 21%; 57%;9.76e+03;8.41e+03;3.91e+03; 50%; 43%; 20%;1.18e+04;1.04e+04;9.17e+03; 60%; 53%; 47%;100;0.000382;0;0;0;0;0;0;0;100;0.000503;0;0;0;0;0;0;0;100;0.0003;0;0;0;0;0;0;0;0.051;99.9;0;0;0;0;0;0;0;102;104;110;71.4;23.3 ;24.9 ;24.6 ;22.1 ;
