System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;10:39:00.032;0.00318;0.495;0.00642;0.571;4.15;11.8;0.649;0.349;0.00382;0.0109;0.395;0.246;1.09e+03;2.19e+03;2.13e+03;0.99;24.8;0.00636;0.159;574;1.12;10.9;0.0668;87.9;0;23.3;0;0;0;116;32.3;0.00475;0.541;0.00878;0.571;1.2;4.02;0.701;0.37;0.00297;0.00994; 45760;36;84;0.0781;0.0489;51;0.00208;0.434;0.0048;0.571;0.803;2.24;0.641;0.297;0.00452;0.0126; 41280;32;39;0.108;0.0671;52;0.0025;0.42;0.00594;0.571;1;2.63;0.619;0.327;0.00469;0.0123; 48880;45;57;0.082;0.0614;54;0.00339;0.55;0.00616;0.571;1.14;2.94;0.611;0.373;0.00394;0.0101; 30320;54;48;0.127;0.0682;52;56.6;41.7;42.3;  0%;  0%;  0%;64.3;34;34.8;  0%;  0%;  0%;39.4;36.7;73.9;  0%;  0%;  0%;41.3;37.9;71;  0%;  0%;  0%;1.54;7.95;0.0811;90.4;0;16.9;0;0;0;0.84;12.4;0.104;86.7;0;21.8;0;0;0;1.04;4.18;0.0336;94.7;0;54.6;0;0;0;1.08;19.2;0.0484;79.6;0;0;0;0;0;29.5;28.4;28.7;29.8;7.96 ;8.23 ;8.35 ;7.79 ;
2017-09-03;10:39:01.049;0.271;1.32;0.205;0.571;47.5;61.1;0.222;0.166;0.000514;0.000661;4.11;4.23;9.25e+04;7.01e+04;2.14e+03;2.64;66;0.541;13.5;6.87e+03;35.9;9.63;0.0229;54.5;0;23.6;0;0;0;158;39.3;0.341;1.15;0.296;0.571;15.3;19.5;0.217;0.111;0.000525;0.00067; 55040;494;1440;0.938;0.894;50;0.331;1.16;0.285;0.571;14.8;17.8;0.172;0.108;0.000522;0.00063; 51840;433;1411;0.926;0.914;52;0.258;1.54;0.167;0.571;12.2;15.6;0.217;0.225;0.000554;0.000708; 51280;341;1033;0.934;0.951;54;0.153;2.12;0.0721;0.571;5.31;8.17;0.35;0.271;0.000407;0.000626; 48480;148;362;1.31;1.47;52;625;587;608;  3%;  3%;  3%;583;619;600;  2%;  3%;  3%;593;584;476;  3%;  2%;  2%;478;555;560;  2%;  2%;  2%;51.7;7.35;0.0449;40.9;0;15.2;0;0;0;49.9;5.94;0.0219;44.1;0;17.6;0;0;0;29.3;12.3;0.0184;58.4;0;26;0;0;0;12.6;12.9;0.0062;74.5;0;35.7;0;0;0;43.3;41.2;39.1;34.8;9.64 ;9.9 ;10.1 ;9.66 ;
2017-09-03;10:39:02.047;0.263;0.625;0.421;0.571;302;1.32e+03;0.772;0.15;0.00342;0.015;21.3;6.04;8.83e+04;1.41e+05;2.1e+03;1.25;31.3;0.526;13.2;2.82e+04;73.7;10.2;0.08;16.1;0;0.442;0;0;0;225;52.6;0.31;0.653;0.474;0.571;82.3;344;0.761;0.149;0.00317;0.0132; 49040;1862;4067;5.47;1.87;48;0.313;0.653;0.48;0.571;82.4;350;0.765;0.148;0.00313;0.0133; 49600;1600;4154;5.45;1.48;49;0.258;0.582;0.443;0.571;78.6;343;0.771;0.149;0.00363;0.0158; 50720;1431;4159;5.19;1.34;49;0.172;0.599;0.287;0.571;58.7;287;0.795;0.152;0.00407;0.0199; 50160;1138;2790;5.2;1.35;50;2.5e+03;2.45e+03;2.05e+03; 13%; 12%; 10%;2.4e+03;2.01e+03;2.72e+03; 12%; 10%; 14%;2.58e+03;2.51e+03;2.01e+03; 13%; 13%; 10%;2.34e+03;2.31e+03;2.33e+03; 12%; 12%; 12%;83;5.14;0.135;11.7;0;0.836;0;0;0;83.9;5.08;0.0744;10.9;0;0;0;0;0;77.6;8.2;0.0661;14.1;0;0.892;0;0;0;50.1;22.4;0.0447;27.4;0;0.0393;0;0;0;57.8;56.5;58.2;52.6;13.5 ;13.4 ;13.4 ;12.3 ;
2017-09-03;10:39:03.061;0.224;0.393;0.571;0.571;1.4e+03;6.67e+03;0.79;0.151;0.0183;0.0872;89.6;1.6;7.65e+04;1.95e+05;2.13e+03;0.786;19.6;0.449;11.2;1.11e+05;100;0.000123;0;0;0;0;0;0;0;374;99.3;0.222;0.389;0.571;0.571;351;1.67e+03;0.79;0.151;0.0185;0.088; 48080;6216;13718;22;0.44;45;0.226;0.396;0.571;0.571;348;1.66e+03;0.791;0.151;0.018;0.0863; 50480;6008;13797;23.3;0.811;47;0.223;0.391;0.571;0.571;352;1.67e+03;0.789;0.151;0.0185;0.0878; 53600;5271;15295;22.2;0.172;47;0.226;0.396;0.571;0.571;348;1.67e+03;0.791;0.152;0.0181;0.0866; 53280;6452;13699;22.1;0.176;48;8.99e+03;9.52e+03;8.99e+03; 46%; 48%; 46%;9.39e+03;8.49e+03;1.05e+04; 48%; 43%; 53%;1.01e+04;9.09e+03;9.29e+03; 51%; 46%; 47%;9.59e+03;9.02e+03;8.24e+03; 49%; 46%; 42%;100;0.000342;0;0;0;0;0;0;0;100;0.000197;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;92;92.8;98.9;90.1;24.4 ;25.6 ;25.8 ;23.6 ;
2017-09-03;10:39:04.077;0.223;0.392;0.569;0.571;1.34e+03;6.38e+03;0.79;0.151;0.0176;0.0841;86;1.55;7.59e+04;1.94e+05;2.13e+03;0.783;19.6;0.445;11.1;1.07e+05;99.5;0.114;0.00222;0.355;0;0.132;0;0;0;370;96.8;0.221;0.389;0.568;0.571;335;1.6e+03;0.79;0.151;0.0178;0.0847; 50400;5890;13083;21.1;0.426;46;0.224;0.393;0.569;0.571;335;1.59e+03;0.79;0.151;0.0175;0.0835; 49520;5803;13378;22.4;0.785;48;0.222;0.39;0.569;0.571;337;1.6e+03;0.789;0.151;0.0178;0.0846; 51200;5034;14674;21.3;0.169;48;0.224;0.394;0.569;0.571;333;1.6e+03;0.791;0.152;0.0174;0.0835; 54400;6187;13124;21.2;0.175;48;8.65e+03;9.14e+03;8.62e+03; 44%; 46%; 44%;9.02e+03;8.14e+03;1e+04; 46%; 41%; 51%;9.71e+03;8.73e+03;8.91e+03; 49%; 44%; 45%;9.2e+03;8.66e+03;7.89e+03; 47%; 44%; 40%;99.5;0.169;0;0.372;0;0.00375;0;0;0;99.5;0.0926;0.00888;0.354;0;0.263;0;0;0;99.6;0.0977;0;0.341;0;0.138;0;0;0;99.5;0.0979;0;0.353;0;0.123;0;0;0;91.2;92;97.8;89;23.8 ;25.3 ;24.9 ;22.8 ;
2017-09-03;10:39:05.090;0.224;0.393;0.571;0.571;1.38e+03;6.59e+03;0.79;0.151;0.0181;0.0862;88.7;1.59;7.65e+04;1.95e+05;2.13e+03;0.785;19.6;0.449;11.2;1.09e+05;100;0.00418;0;0;0;0;0;0;0;374;97;0.222;0.389;0.571;0.571;346;1.65e+03;0.79;0.151;0.0182;0.087; 47200;5915;13785;21.8;0.437;45;0.226;0.396;0.571;0.571;346;1.65e+03;0.79;0.151;0.018;0.0854; 51040;6403;13620;23.1;0.805;46;0.222;0.389;0.571;0.571;348;1.65e+03;0.789;0.151;0.0184;0.0872; 51280;5247;14893;22;0.172;47;0.227;0.397;0.571;0.571;344;1.65e+03;0.791;0.151;0.0178;0.0852; 51040;6652;13189;21.9;0.175;47;8.91e+03;9.44e+03;8.94e+03; 45%; 48%; 45%;9.24e+03;7.93e+03;1.02e+04; 47%; 40%; 52%;9.52e+03;9.53e+03;9.11e+03; 48%; 48%; 46%;9.45e+03;8.82e+03;7.76e+03; 48%; 45%; 39%;100;0.00449;0;0;0;0;0;0;0;100;0.00466;0;0;0;0;0;0;0;100;0.00445;0;0;0;0;0;0;0;100;0.00312;0;0;0;0;0;0;0;92.2;92.8;98.9;89.7;23.9 ;25.6 ;24.7 ;22.8 ;
2017-09-03;10:39:06.103;0.224;0.393;0.571;0.571;1.38e+03;6.59e+03;0.79;0.151;0.0181;0.0863;88.8;1.59;7.64e+04;1.95e+05;2.13e+03;0.785;19.6;0.449;11.2;1.09e+05;100;0.000132;0;0;0;0;0;0;0;374;97.6;0.222;0.389;0.571;0.571;345;1.65e+03;0.79;0.151;0.0182;0.0871; 51440;5994;13690;21.8;0.436;45;0.226;0.395;0.571;0.571;346;1.65e+03;0.79;0.151;0.018;0.0857; 52880;6401;13677;23.1;0.803;46;0.222;0.389;0.571;0.571;348;1.65e+03;0.789;0.151;0.0184;0.0873; 47760;5241;14890;22;0.172;46;0.227;0.397;0.571;0.571;344;1.65e+03;0.791;0.151;0.0178;0.0853; 49040;6659;13212;21.9;0.174;47;8.92e+03;9.44e+03;8.95e+03; 45%; 48%; 45%;9.25e+03;7.94e+03;1.02e+04; 47%; 40%; 52%;9.53e+03;9.53e+03;9.12e+03; 48%; 48%; 46%;9.46e+03;8.83e+03;7.75e+03; 48%; 45%; 39%;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;100;0.000334;0;0;0;0;0;0;0;100;0.000381;0;0;0;0;0;0;0;92.3;93.1;99.1;89.7;24 ;24.9 ;25.7 ;23 ;
2017-09-03;10:39:07.116;0.224;0.393;0.571;0.571;1.38e+03;6.59e+03;0.79;0.151;0.0181;0.0863;88.7;1.58;7.64e+04;1.95e+05;2.13e+03;0.785;19.6;0.449;11.2;1.09e+05;100;0.000268;0;0;0;0;0;0;0;374;97.2;0.222;0.389;0.571;0.571;345;1.65e+03;0.79;0.151;0.0182;0.087; 50880;6003;13707;21.8;0.434;44;0.226;0.395;0.571;0.571;346;1.64e+03;0.79;0.151;0.018;0.0856; 50720;6401;13649;23.1;0.803;46;0.222;0.389;0.571;0.571;348;1.65e+03;0.789;0.151;0.0184;0.0872; 48000;5253;14911;22;0.172;45;0.227;0.397;0.571;0.571;344;1.65e+03;0.791;0.151;0.0178;0.0852; 50800;6659;13194;21.9;0.175;46;8.91e+03;9.43e+03;8.94e+03; 45%; 48%; 45%;9.25e+03;7.93e+03;1.02e+04; 47%; 40%; 52%;9.52e+03;9.52e+03;9.11e+03; 48%; 48%; 46%;9.45e+03;8.82e+03;7.74e+03; 48%; 45%; 39%;100;0.000322;0;0;0;0;0;0;0;100;0.000522;0;0;0;0;0;0;0;100;0.000188;0;0;0;0;0;0;0;100;3.82e-05;0;0;0;0;0;0;0;92.5;93.1;99.2;89.7;23.9 ;25.3 ;25.1 ;22.8 ;
2017-09-03;10:39:08.129;0.224;0.392;0.571;0.571;1.38e+03;6.59e+03;0.79;0.151;0.0181;0.0863;88.8;1.59;7.64e+04;1.95e+05;2.13e+03;0.785;19.6;0.449;11.2;1.09e+05;100;0.000482;0;0;0;0;0;0;0;375;97;0.222;0.389;0.571;0.571;345;1.65e+03;0.79;0.151;0.0182;0.087; 49040;6013;13701;21.8;0.437;44;0.226;0.395;0.571;0.571;346;1.64e+03;0.79;0.151;0.018;0.0856; 50320;6404;13652;23.1;0.804;45;0.222;0.389;0.571;0.571;348;1.65e+03;0.789;0.151;0.0184;0.0873; 49440;5246;14907;22;0.172;46;0.227;0.397;0.571;0.571;344;1.65e+03;0.791;0.151;0.0178;0.0853; 50960;6669;13205;21.9;0.175;46;8.92e+03;9.44e+03;8.94e+03; 45%; 48%; 45%;9.25e+03;7.93e+03;1.02e+04; 47%; 40%; 52%;9.52e+03;9.52e+03;9.11e+03; 48%; 48%; 46%;9.45e+03;8.82e+03;7.75e+03; 48%; 45%; 39%;100;0.000491;0;0;0;0;0;0;0;100;0.000766;0;0;0;0;0;0;0;100;0.000235;0;0;0;0;0;0;0;100;0.000438;0;0;0;0;0;0;0;92.4;93.2;99.3;89.8;23.7 ;25.5 ;24.8 ;23 ;
2017-09-03;10:39:09.142;0.224;0.392;0.571;0.571;1.38e+03;6.57e+03;0.79;0.151;0.0181;0.0862;88.5;1.58;7.63e+04;1.95e+05;2.13e+03;0.785;19.6;0.448;11.2;1.09e+05;100;0.000566;0;0;0;0;0;0;0;375;99.7;0.222;0.389;0.571;0.571;344;1.64e+03;0.79;0.151;0.0182;0.0869; 50080;6001;13667;21.7;0.435;44;0.226;0.395;0.571;0.571;345;1.64e+03;0.79;0.151;0.018;0.0854; 50320;6387;13617;23.1;0.802;45;0.222;0.388;0.571;0.571;347;1.65e+03;0.789;0.151;0.0184;0.0872; 50000;5232;14856;21.9;0.171;45;0.227;0.397;0.571;0.571;343;1.64e+03;0.791;0.151;0.0178;0.0852; 52320;6658;13139;21.8;0.174;46;8.89e+03;9.41e+03;8.92e+03; 45%; 48%; 45%;9.22e+03;7.91e+03;1.02e+04; 47%; 40%; 52%;9.5e+03;9.49e+03;9.09e+03; 48%; 48%; 46%;9.43e+03;8.81e+03;7.73e+03; 48%; 45%; 39%;100;0.000497;0;0;0;0;0;0;0;100;0.000273;0;0;0;0;0;0;0;100;0.000994;0;0;0;0;0;0;0;100;0.0005;0;0;0;0;0;0;0;92.4;93.1;99.2;89.8;24.1 ;26.4 ;25.7 ;23.5 ;
