System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-06;12:34:33.537;0.0075;1.76;0.00425;0.618;0.181;0.643;0.718;0.583;7.09e-05;0.000252;0.116;0.13;2.55e+03;1.45e+03;2.13e+03;3.52;88.1;0.015;0.375;103;0.688;34.4;0.0626;64.9;0;20.3;0;0;0;125;31.4;0.000285;0.289;0.000985;0.606;0.0536;0.235;0.772;0.225;0.00221;0.00968; 21520;9;0;0.0296;0.0389;53;0.0295;1.91;0.0154;0.619;0.0914;0.199;0.54;0.802;3.64e-05;7.9e-05; 48400;26;102;0.02;0.0315;54;9.46e-05;0.29;0.000326;0.605;0.0186;0.106;0.825;0.0973;0.00231;0.0132; 20240;0;7;0.0282;0.027;55;9.14e-05;0.31;0.000295;0.617;0.0174;0.103;0.831;0.108;0.00224;0.0132; 17840;0;4;0.0377;0.033;53;8.49;3.41;4.12;  0%;  0%;  0%;17.5;19.1;18.9;  0%;  0%;  0%;6.84;3.11;4.55;  0%;  0%;  0%;4.36;7.16;5.2;  0%;  0%;  0%;0.163;13.6;0.224;86;0;35;0;0;0;2.49;35.1;0.00255;62.4;0;1.79;0;0;0;0.0538;46.4;0.0154;53.5;0;36.5;0;0;0;0.0477;42.5;0.00823;57.5;0;7.78;0;0;0;29.4;31.7;32.1;31.3;7.78 ;7.99 ;8.1 ;7.49 ;
2017-09-06;12:34:34.554;0.0078;1.75;0.00445;0.618;0.216;0.903;0.761;0.522;8.09e-05;0.000339;0.117;0.144;2.66e+03;1.52e+03;2.13e+03;3.5;87.6;0.0156;0.39;128;0.72;26.9;0.0138;72.4;0;24.1;0;0;0;122;31.6;0.000372;0.338;0.0011;0.606;0.0614;0.347;0.823;0.187;0.00193;0.0109; 22640;10;3;0.0245;0.0383;53;0.0304;1.92;0.0159;0.619;0.106;0.229;0.538;0.789;4.08e-05;8.83e-05; 50320;27;123;0.0212;0.0357;54;0.000107;0.281;0.000381;0.617;0.024;0.126;0.809;0.0875;0.00263;0.0137; 19680;0;4;0.0342;0.0352;56;0.000374;0.779;0.00048;0.617;0.0244;0.202;0.879;0.162;0.000765;0.00632; 17600;0;5;0.0367;0.0346;53;9.96;3.54;4.09;  0%;  0%;  0%;25;25;26.4;  0%;  0%;  0%;7.49;3.84;5.02;  0%;  0%;  0%;4.77;8.28;4.93;  0%;  0%;  0%;0.182;4.52;0.0211;95.3;0;73.3;0;0;0;2.56;31.3;0.00292;66.1;0;0;0;0;0;0.0617;37;0.0158;62.9;0;6.78;0;0;0;0.0778;34.6;0.0155;65.3;0;16.4;0;0;0;28.9;31.5;31.4;30.7;7.8 ;8.12 ;8.17 ;7.54 ;
2017-09-06;12:34:35.553;0.00772;1.77;0.00436;0.618;0.173;0.662;0.739;0.584;6.68e-05;0.000255;0.114;0.144;2.59e+03;1.47e+03;2.1e+03;3.54;88.4;0.0154;0.386;123;0.706;53.9;0.00829;45.4;0;19.2;0;0;0;130;31.1;0.000301;0.295;0.00102;0.603;0.0409;0.275;0.851;0.192;0.00162;0.0109; 22560;8;0;0.0225;0.037;53;0.0304;1.91;0.0159;0.619;0.0934;0.186;0.499;0.818;3.66e-05;7.31e-05; 50400;31;127;0.02;0.0347;53;9.87e-05;0.327;0.000302;0.619;0.0202;0.103;0.805;0.0999;0.00244;0.0125; 19680;1;1;0.0341;0.0358;55;9.66e-05;0.37;0.000261;0.619;0.0185;0.0973;0.81;0.115;0.00228;0.012; 17600;0;3;0.0378;0.0363;54;9.05;2.93;3.59;  0%;  0%;  0%;24.7;25.6;25.3;  0%;  0%;  0%;7.43;2.86;4.7;  0%;  0%;  0%;4.51;7.91;3.97;  0%;  0%;  0%;0.169;7.35;0.0179;92.5;0;76.7;0;0;0;2.56;73.2;0;24.2;0;0;0;0;0;0.0488;64.6;0.00767;35.4;0;0;0;0;0;0.0421;70.6;0.00759;29.4;0;0;0;0;0;28.7;34.5;33;33.3;7.63 ;7.97 ;8.08 ;7.4 ;
2017-09-06;12:34:36.569;0.00771;1.78;0.00433;0.619;0.184;0.682;0.731;0.58;6.98e-05;0.000259;0.129;0.158;2.63e+03;1.48e+03;2.13e+03;3.56;89;0.0154;0.386;125;0.7;64.2;0.00718;35.1;0;0;0;0;0;135;31.7;0.000304;0.332;0.000917;0.619;0.0467;0.303;0.846;0.171;0.0018;0.0117; 23120;7;3;0.0359;0.0505;53;0.0304;1.91;0.0159;0.619;0.0977;0.183;0.465;0.824;3.77e-05;7.05e-05; 50160;28;126;0.0205;0.036;54;9.46e-05;0.323;0.000293;0.619;0.0205;0.102;0.799;0.0995;0.00254;0.0127; 19760;0;12;0.0347;0.0346;55;9.76e-05;0.413;0.000236;0.619;0.0188;0.0941;0.8;0.135;0.00226;0.0113; 17600;0;6;0.0384;0.0368;53;9.33;3.28;3.53;  0%;  0%;  0%;25.4;25.1;25.9;  0%;  0%;  0%;7.52;3.23;4.86;  0%;  0%;  0%;4.64;7.94;3.98;  0%;  0%;  0%;0.148;22.1;0.0214;77.7;0;0;0;0;0;2.57;92.3;0;5.17;0;0;0;0;0;0.0473;63.7;0.000321;36.2;0;0;0;0;0;0.0382;78.8;0.00695;21.1;0;0;0;0;0;30.4;36.8;33.6;34.6;7.89 ;8.07 ;8.23 ;7.52 ;
2017-09-06;12:34:37.585;0.00772;1.77;0.00437;0.618;0.19;0.74;0.743;0.561;7.21e-05;0.000281;0.125;0.152;2.63e+03;1.49e+03;2.13e+03;3.53;88.3;0.0154;0.386;126;0.707;58.6;0.0353;40.6;0;6.85;0;0;0;134;31.7;0.000323;0.307;0.00105;0.609;0.0488;0.353;0.862;0.161;0.00177;0.0128; 23360;8;0;0.0314;0.0459;53;0.0303;1.91;0.0159;0.619;0.1;0.183;0.452;0.823;3.87e-05;7.06e-05; 50640;31;162;0.0208;0.0353;53;9.55e-05;0.322;0.000297;0.619;0.0204;0.105;0.806;0.098;0.0025;0.0129; 19760;0;6;0.0348;0.0345;56;0.000101;0.404;0.00025;0.619;0.0206;0.0984;0.791;0.14;0.00239;0.0114; 17680;0;6;0.0384;0.0364;53;9.25;3.24;3.74;  0%;  0%;  0%;25.1;26.4;25.9;  0%;  0%;  0%;7.53;3.23;5.03;  0%;  0%;  0%;4.81;8.07;4.15;  0%;  0%;  0%;0.173;11;0.135;88.7;0;27.4;0;0;0;2.57;87.5;0;9.97;0;0;0;0;0;0.0479;63.7;0;36.2;0;0;0;0;0;0.0404;72.4;0.00644;27.5;0;0;0;0;0;29.3;36.4;33.7;34.2;7.87 ;8.1 ;8.23 ;7.53 ;
2017-09-06;12:34:38.602;0.00822;1.31;0.00628;0.619;0.193;0.742;0.74;0.56;6.86e-05;0.000264;0.13;0.16;2.81e+03;2.14e+03;2.13e+03;2.62;65.5;0.0164;0.411;126;1.01;54;0.0169;45;0;0;0;0;0;132;31.7;0.000309;0.302;0.00103;0.619;0.0432;0.305;0.858;0.171;0.00163;0.0115; 23200;7;0;0.0361;0.051;52;0.0324;1.38;0.0235;0.619;0.106;0.206;0.485;0.806;3.84e-05;7.45e-05; 50880;34;151;0.0209;0.0359;54;0.000107;0.328;0.000325;0.619;0.0233;0.127;0.817;0.0904;0.00256;0.014; 19600;0;1;0.0349;0.0375;55;0.000103;0.361;0.000286;0.619;0.0201;0.105;0.808;0.128;0.00228;0.0119; 17680;0;5;0.0386;0.0356;53;9.54;2.95;3.7;  0%;  0%;  0%;25.6;25.4;26.5;  0%;  0%;  0%;7.65;2.86;4.79;  0%;  0%;  0%;4.51;7.97;4.18;  0%;  0%;  0%;0.166;21.3;0.0559;78.4;0;0;0;0;0;3.79;71.7;0;24.5;0;0;0;0;0;0.0525;60.7;0;39.2;0;0;0;0;0;0.0461;62.1;0.0117;37.9;0;0;0;0;0;30.1;35.4;33.3;33.2;7.87 ;8.12 ;8.18 ;7.52 ;
2017-09-06;12:34:39.616;0.0075;1.72;0.00435;0.619;0.323;1.52;0.787;0.417;0.000126;0.000593;0.274;0.142;2.56e+03;1.49e+03;2.13e+03;3.44;86.1;0.015;0.375;259;0.704;54.8;0.0635;44.5;0;1.3;0;0;0;132;31.9;0.0279;1.78;0.0157;0.619;0.244;1.2;0.798;0.454;0.000102;0.000506; 48560;29;69;0.0598;0.0344;53;0.00189;1.63;0.00116;0.619;0.0366;0.111;0.669;0.359;0.000227;0.000686; 50720;2;13;0.0697;0.0341;53;9.79e-05;0.339;0.000289;0.619;0.0217;0.105;0.793;0.0976;0.0026;0.0126; 19440;0;9;0.0702;0.0358;55;9.64e-05;0.371;0.00026;0.619;0.0208;0.0978;0.787;0.12;0.00253;0.0119; 17280;0;6;0.0743;0.0382;53;26.4;28.5;26.7;  0%;  0%;  0%;5.37;5.35;50.1;  0%;  0%;  0%;4.33;48.8;4.43;  0%;  0%;  0%;4.25;4.4;50.2;  0%;  0%;  0%;2.54;8.24;0.248;89;0;5.21;0;0;0;0.187;75.7;0;24.1;0;0;0;0;0;0.0467;70.1;0;29.9;0;0;0;0;0;0.042;65;0.00573;34.9;0;0;0;0;0;30.8;33.6;34.1;33.4;7.89 ;8.19 ;8.24 ;7.58 ;
2017-09-06;12:34:40.632;0.00773;1.78;0.00434;0.619;0.218;0.98;0.777;0.494;8.28e-05;0.000371;0.131;0.14;2.64e+03;1.48e+03;2.13e+03;3.56;89;0.0155;0.386;133;0.701;60.4;0.0197;38.9;0;0;0;0;0;134;31.6;0.0306;1.84;0.0166;0.619;0.155;0.689;0.774;0.572;5.95e-05;0.000264; 49200;35;95;0.0222;0.0347;53;9.08e-05;0.431;0.000211;0.619;0.0207;0.0928;0.777;0.118;0.00268;0.012; 50480;0;12;0.0349;0.0342;53;9.56e-05;0.333;0.000287;0.619;0.0221;0.103;0.786;0.0988;0.00271;0.0126; 19440;0;7;0.0349;0.0342;55;9.44e-05;0.387;0.000244;0.619;0.0201;0.0942;0.787;0.126;0.00249;0.0117; 16880;0;6;0.0395;0.0372;53;25.2;25.1;27.1;  0%;  0%;  0%;4.49;4.77;8.37;  0%;  0%;  0%;4.33;8.33;5.04;  0%;  0%;  0%;4.8;4.71;10.7;  0%;  0%;  0%;2.69;15.7;0.0734;81.5;0;0;0;0;0;0.034;85.5;0;14.4;0;0;0;0;0;0.0464;68.4;0;31.5;0;0;0;0;0;0.0394;71.8;0.00521;28.1;0;0;0;0;0;31.7;34.4;34.1;34.1;7.81 ;8.12 ;8.2 ;7.45 ;
2017-09-06;12:34:41.648;0.00774;1.77;0.00436;0.619;0.213;1.01;0.789;0.487;8.07e-05;0.000382;0.132;0.145;2.64e+03;1.49e+03;2.13e+03;3.55;88.7;0.0155;0.387;133;0.704;55.4;0.0146;43.8;0;0;0;0;0;132;31.7;0.0307;1.84;0.0167;0.619;0.15;0.715;0.79;0.563;5.73e-05;0.000273; 49840;33;74;0.0219;0.0339;53;9.07e-05;0.412;0.00022;0.619;0.0206;0.0906;0.772;0.128;0.00266;0.0117; 50560;1;3;0.035;0.0392;53;9.69e-05;0.336;0.000288;0.619;0.0216;0.103;0.791;0.0993;0.00261;0.0125; 19440;0;6;0.035;0.0347;55;9.94e-05;0.384;0.000259;0.619;0.0209;0.101;0.793;0.127;0.00247;0.0119; 17040;0;6;0.0396;0.0371;53;25.8;25.8;27.3;  0%;  0%;  0%;3.87;4.28;8.57;  0%;  0%;  0%;3.78;8.44;5.05;  0%;  0%;  0%;4.85;4.19;10.8;  0%;  0%;  0%;2.69;8.12;0.0537;89.1;0;0;0;0;0;0.0356;80.6;0;19.4;0;0;0;0;0;0.0466;68;0;32;0;0;0;0;0;0.0418;65.1;0.00471;34.9;0;0;0;0;0;31;33.9;34;33.4;7.82 ;8.13 ;8.21 ;7.53 ;
2017-09-06;12:34:42.665;0.00812;1.72;0.00471;0.619;0.543;1.67;0.675;0.397;0.000196;0.000603;0.154;0.178;2.77e+03;1.61e+03;2.13e+03;3.45;86.1;0.0162;0.406;174;0.761;50.3;0.0349;48.9;0;0;0;0;0;131;31.8;0.0322;1.79;0.018;0.619;0.476;1.36;0.649;0.438;0.000173;0.000494; 50000;47;104;0.0278;0.0394;53;9.39e-05;0.392;0.00024;0.619;0.0232;0.1;0.768;0.122;0.00289;0.0125; 47440;0;9;0.0412;0.0442;53;0.000101;0.31;0.000326;0.619;0.0217;0.111;0.805;0.0972;0.00252;0.0129; 19440;0;4;0.04;0.0492;55;0.0001;0.353;0.000284;0.619;0.0219;0.103;0.788;0.125;0.00255;0.012; 16960;0;2;0.045;0.0456;53;32;32.4;33.2;  0%;  0%;  0%;4.03;5.19;17.6;  0%;  0%;  0%;3.9;14.7;4.6;  0%;  0%;  0%;4.49;5.05;17.2;  0%;  0%;  0%;2.91;9.39;0.131;87.6;0;0;0;0;0;0.0387;74;0;26;0;0;0;0;0;0.0527;59.5;0;40.5;0;0;0;0;0;0.0459;58.2;0.00903;41.7;0;0;0;0;0;31.3;33.4;33.3;32.8;7.84 ;8.15 ;8.27 ;7.57 ;
