System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-06;11:57:02.274;0.00849;1.54;0.00552;0.665;0.226;0.873;0.741;0.524;7.78e-05;0.000301;0.121;0.131;2.9e+03;1.89e+03;2.14e+03;3.07;76.9;0.017;0.425;97.8;0.83;32.6;0.00712;66.5;0;21.9;0;0;0;129;31.5;0.000367;0.334;0.0011;0.652;0.0648;0.393;0.835;0.143;0.00207;0.0125; 36720;4;3;0.0311;0.0282;52;0.0326;1.91;0.0171;0.667;0.111;0.244;0.547;0.781;3.98e-05;8.77e-05; 48960;19;59;0.0208;0.032;53;0.000106;0.219;0.000482;0.649;0.0241;0.119;0.797;0.0944;0.00267;0.0132; 40560;0;7;0.0304;0.0365;55;0.000914;0.265;0.00345;0.666;0.0262;0.117;0.776;0.11;0.000336;0.0015;  3040;0;7;0.0383;0.0343;53;8.34;4.22;5.96;  0%;  0%;  0%;13.9;15.8;15.5;  0%;  0%;  0%;7.19;4.11;3.95;  0%;  0%;  0%;3.82;7.97;7;  0%;  0%;  0%;0.169;13.4;0.0284;86.4;0;35.2;0;0;0;2.56;37.4;0;60.1;0;0;0;0;0;0.0743;44.1;0;55.8;0;35.1;0;0;0;0.519;35.7;0;63.7;0;17.2;0;0;0;30.6;33;33.1;32.2;7.79 ;8.01 ;8.19 ;7.5 ;
2017-09-06;11:57:03.290;0.00831;1.74;0.00477;0.665;0.199;0.747;0.733;0.567;7.03e-05;0.000263;0.129;0.163;2.84e+03;1.63e+03;2.13e+03;3.48;87.1;0.0166;0.415;131;0.717;43.8;0.0109;55.5;0;7.08;0;0;0;133;31.7;0.000322;0.304;0.00106;0.651;0.0467;0.321;0.854;0.158;0.0017;0.0117; 37120;6;1;0.0373;0.0387;52;0.0327;1.92;0.0171;0.667;0.105;0.202;0.482;0.816;3.75e-05;7.25e-05; 52000;29;91;0.0205;0.0366;53;0.000101;0.203;0.000497;0.654;0.0223;0.106;0.79;0.0959;0.00259;0.0123; 40720;0;10;0.0311;0.0475;55;0.000111;0.242;0.000457;0.667;0.0256;0.118;0.784;0.103;0.0027;0.0125;  3120;0;8;0.0401;0.0401;53;9.56;3.26;5.73;  0%;  0%;  0%;26.5;26.4;26.9;  0%;  0%;  0%;8.1;3.2;3.25;  0%;  0%;  0%;3.1;8.88;6.16;  0%;  0%;  0%;0.163;12.5;0.0402;87.3;0;0;0;0;0;2.56;53.1;0;44.3;0;0;0;0;0;0.076;59.4;0;40.5;0;28.3;0;0;0;0.0686;50;0.00325;49.9;0;0;0;0;0;30.4;34.4;34.5;33.4;7.82 ;8.05 ;8.26 ;7.52 ;
2017-09-06;11:57:04.289;0.00837;1.74;0.0048;0.666;0.204;0.762;0.732;0.566;7.28e-05;0.000271;0.127;0.16;2.81e+03;1.61e+03;2.1e+03;3.49;87.2;0.0167;0.418;134;0.721;57.2;0.00831;42.1;0;8.24;0;0;0;136;31.2;0.000291;0.297;0.000981;0.656;0.0383;0.271;0.859;0.169;0.00156;0.0111; 36400;7;0;0.0313;0.0322;53;0.0327;1.92;0.0171;0.667;0.106;0.192;0.449;0.822;3.86e-05;6.99e-05; 51760;28;81;0.0204;0.0364;53;0.0001;0.191;0.000527;0.667;0.02;0.0967;0.793;0.114;0.00237;0.0115; 40720;0;8;0.0355;0.052;55;0.00038;0.609;0.000623;0.667;0.0404;0.202;0.8;0.166;0.00127;0.00634;  4240;1;8;0.0399;0.0394;53;9.25;3.32;6;  0%;  0%;  0%;26.6;27.5;27.7;  0%;  0%;  0%;8.15;3.26;3.29;  0%;  0%;  0%;3.24;9.08;6.4;  0%;  0%;  0%;0.15;5.79;0.0332;94;0;33;0;0;0;2.56;75.4;0;22;0;0;0;0;0;0.079;78.7;0;21.2;0;0;0;0;0;0.0934;68.9;0;31;0;0;0;0;0;29.4;35.8;35.7;34.7;7.71 ;7.91 ;8.16 ;7.4 ;
2017-09-06;11:57:05.305;0.00831;1.74;0.00476;0.665;0.195;0.712;0.726;0.575;6.87e-05;0.000251;0.128;0.163;2.84e+03;1.63e+03;2.13e+03;3.49;87.2;0.0166;0.415;132;0.716;56.6;0.00952;42.7;0;7.51;0;0;0;138;31.7;0.000303;0.297;0.00102;0.643;0.0455;0.32;0.858;0.156;0.00176;0.0124; 36960;6;1;0.0318;0.0346;53;0.0327;1.92;0.0171;0.667;0.108;0.198;0.455;0.816;3.86e-05;7.08e-05; 51920;32;96;0.0207;0.0367;53;0.0001;0.192;0.000522;0.667;0.0221;0.0986;0.775;0.114;0.00259;0.0116; 40640;331084;0;0.036;0.053;55;9.79e-05;0.216;0.000454;0.667;0.0194;0.0962;0.799;0.139;0.00232;0.0115;  4160;0;4;0.0399;0.0389;52;9.35;2.85;5.23;  0%;  0%;  0%;27.3;27.5;27.9;  0%;  0%;  0%;8.29;2.82;3;  0%;  0%;  0%;2.83;8.83;5.62;  0%;  0%;  0%;0.158;5.16;0.0381;94.6;0;30;0;0;0;2.56;73.9;0;23.6;0;0;0;0;0;0.0782;78.5;0;21.4;0;0;0;0;0;0.068;68.9;0;31.1;0;0;0;0;0;29.8;36.3;36.3;35.2;7.8 ;8.07 ;8.3 ;7.55 ;
2017-09-06;11:57:06.322;0.00831;1.73;0.00479;0.665;0.21;0.845;0.751;0.544;7.41e-05;0.000298;0.122;0.149;2.84e+03;1.64e+03;2.13e+03;3.47;86.7;0.0166;0.415;138;0.721;53.6;0.0405;45.7;0;18.8;0;0;0;136;31.6;0.000352;0.319;0.0011;0.641;0.0496;0.413;0.88;0.134;0.00165;0.0138; 37280;8;4;0.0245;0.0238;53;0.0327;1.91;0.0171;0.667;0.115;0.226;0.491;0.802;4.12e-05;8.09e-05; 51840;40;129;0.0212;0.0367;53;0.000106;0.202;0.000523;0.667;0.0233;0.104;0.777;0.116;0.00258;0.0116; 40640;979636;0;0.0362;0.0499;55;0.000105;0.222;0.000471;0.667;0.0226;0.101;0.777;0.146;0.00253;0.0113;  4320;0;8;0.04;0.0383;53;9.6;3.8;5.9;  0%;  0%;  0%;27.3;28.4;28.1;  0%;  0%;  0%;8.33;3.82;3.65;  0%;  0%;  0%;3.45;9.01;6.33;  0%;  0%;  0%;0.172;2.48;0.161;97.2;0;75.2;0;0;0;2.56;70.8;0.00145;26.6;0;0;0;0;0;0.0785;72.2;0;27.7;0;0;0;0;0;0.0706;68.8;0;31.1;0;0;0;0;0;29.6;36;35.7;35.2;7.75 ;8.02 ;8.29 ;7.5 ;
2017-09-06;11:57:07.338;0.00828;1.73;0.00478;0.665;0.187;0.697;0.731;0.588;6.63e-05;0.000246;0.124;0.146;2.83e+03;1.63e+03;2.13e+03;3.47;86.6;0.0166;0.414;137;0.719;55.3;0.0178;44;0;13.4;0;0;0;137;31.7;0.000293;0.274;0.00107;0.634;0.0413;0.308;0.866;0.156;0.00165;0.0123; 36960;7;0;0.0277;0.034;53;0.0326;1.91;0.0171;0.667;0.105;0.194;0.455;0.825;3.79e-05;6.95e-05; 51840;29;108;0.0206;0.037;53;0.000102;0.196;0.00052;0.667;0.0205;0.0963;0.787;0.114;0.00236;0.0111; 40480;0;4;0.036;0.038;55;9.84e-05;0.208;0.000473;0.667;0.0202;0.0987;0.796;0.139;0.0024;0.0118;  4320;0;6;0.0398;0.0373;53;9.34;4.24;5.02;  0%;  0%;  0%;27.3;26.9;27.9;  0%;  0%;  0%;8.36;4.2;4.99;  0%;  0%;  0%;4.83;8.7;5.4;  0%;  0%;  0%;0.169;3.05;0.0713;96.7;0;53.7;0;0;0;2.56;70.3;0;27.1;0;0;0;0;0;0.0779;76.7;0;23.3;0;0;0;0;0;0.0709;71.1;0;28.8;0;0;0;0;0;29.7;36;36.1;35.4;7.79 ;8.08 ;8.29 ;7.55 ;
2017-09-06;11:57:08.354;0.00833;1.75;0.00476;0.666;0.185;0.674;0.725;0.598;6.51e-05;0.000237;0.126;0.177;2.84e+03;1.63e+03;2.13e+03;3.5;87.5;0.0167;0.417;123;0.715;54.8;0.0186;44.5;0;11.3;0;0;0;137;31.7;0.000285;0.283;0.00101;0.652;0.0353;0.276;0.872;0.165;0.00145;0.0113; 36720;6;1;0.0295;0.045;53;0.0328;1.93;0.017;0.667;0.11;0.202;0.454;0.82;3.93e-05;7.19e-05; 51920;32;98;0.0206;0.0371;53;0.000101;0.196;0.000514;0.667;0.0207;0.101;0.795;0.109;0.00241;0.0117; 40720;0;13;0.036;0.0531;55;9.94e-05;0.207;0.000481;0.667;0.0192;0.0956;0.799;0.147;0.00227;0.0113;  4480;0;7;0.0399;0.0415;53;9.33;1.11;3.22;  0%;  0%;  0%;27.2;27.9;27.3;  0%;  0%;  0%;8.36;1.06;2.65;  0%;  0%;  0%;2.48;8.93;3.6;  0%;  0%;  0%;0.155;6.74;0.0744;93;0;45.2;0;0;0;2.56;66.3;0;31.1;0;0;0;0;0;0.0771;72.9;0;27;0;0;0;0;0;0.0721;73.1;0;26.9;0;0;0;0;0;30;35.6;35.8;35.6;7.83 ;8.05 ;8.29 ;7.52 ;
2017-09-06;11:57:09.370;0.00874;1.37;0.00636;0.666;0.194;0.701;0.723;0.586;6.51e-05;0.000235;0.127;0.174;2.98e+03;2.17e+03;2.13e+03;2.75;68.7;0.0175;0.437;127;0.955;54.3;0.025;44.8;0;9.24;0;0;0;138;31.7;0.00193;0.259;0.00744;0.664;0.0406;0.295;0.863;0.157;0.000246;0.00179; 36560;5;1;0.0308;0.0469;53;0.0328;1.93;0.017;0.667;0.113;0.21;0.461;0.812;4.03e-05;7.48e-05; 51680;36;90;0.0205;0.0366;53;0.0001;0.206;0.000487;0.667;0.0205;0.101;0.796;0.106;0.00239;0.0117; 40560;0;7;0.036;0.0529;55;9.87e-05;0.218;0.000454;0.667;0.0202;0.0959;0.79;0.146;0.00239;0.0114;  4720;0;6;0.04;0.0374;53;9.5;1.19;3.76;  0%;  0%;  0%;27.5;27.7;28.2;  0%;  0%;  0%;8.41;1.14;3.18;  0%;  0%;  0%;3.03;9.02;4.06;  0%;  0%;  0%;1.12;3.12;0.0999;95.7;0;37;0;0;0;2.56;65;0;32.5;0;0;0;0;0;0.0731;74.4;0;25.5;0;0;0;0;0;0.068;74.6;0;25.3;0;0;0;0;0;30.1;35.5;36.1;35.9;7.82 ;8.06 ;8.33 ;7.51 ;
2017-09-06;11:57:10.386;0.00834;1.74;0.00481;0.665;0.212;0.822;0.743;0.546;7.43e-05;0.000289;0.122;0.167;2.85e+03;1.64e+03;2.13e+03;3.47;86.8;0.0167;0.417;128;0.723;49;0.0284;50.3;0;18.3;0;0;0;135;31.6;0.00033;0.285;0.00116;0.638;0.049;0.379;0.871;0.136;0.00174;0.0135; 37120;4;3;0.0248;0.0399;53;0.0328;1.92;0.0171;0.667;0.116;0.228;0.49;0.798;4.15e-05;8.14e-05; 51360;29;92;0.0211;0.0366;53;0.000111;0.208;0.000536;0.667;0.0263;0.117;0.776;0.0994;0.00277;0.0123; 40880;1;5;0.0363;0.0473;55;0.000102;0.22;0.000465;0.667;0.0201;0.098;0.795;0.143;0.00231;0.0112;  4640;0;6;0.0402;0.0429;53;9.55;2.28;3.2;  0%;  0%;  0%;27.8;27.5;28;  0%;  0%;  0%;8.44;2.14;3.38;  0%;  0%;  0%;3.17;8.96;3.63;  0%;  0%;  0%;0.181;2.11;0.113;97.6;0;73.4;0;0;0;2.56;61.8;0;35.6;0;0;0;0;0;0.0803;66.5;0;33.5;0;0;0;0;0;0.0697;65.6;0;34.3;0;0;0;0;0;29.6;35.3;35.2;34.9;7.74 ;8.07 ;8.29 ;7.55 ;
2017-09-06;11:57:11.403;0.00833;1.73;0.00481;0.664;0.202;0.871;0.768;0.53;7.11e-05;0.000306;0.122;0.16;2.84e+03;1.64e+03;2.13e+03;3.47;86.7;0.0167;0.417;131;0.724;50.9;0.0619;48.3;0;18.3;0;0;0;136;31.6;0.000366;0.303;0.00121;0.628;0.0487;0.466;0.895;0.116;0.00156;0.0149; 37280;6;2;0.0247;0.0379;53;0.0328;1.92;0.017;0.667;0.111;0.204;0.457;0.814;3.96e-05;7.3e-05; 52080;37;91;0.0208;0.0367;53;0.000102;0.193;0.000528;0.667;0.0216;0.101;0.786;0.105;0.00249;0.0116; 40880;0;10;0.0362;0.0394;55;9.72e-05;0.213;0.000457;0.667;0.021;0.1;0.791;0.122;0.00253;0.0121;  4400;0;7;0.0401;0.0464;53;9.64;3.31;3.1;  0%;  0%;  0%;27.3;27.9;28.1;  0%;  0%;  0%;8.36;3.25;3.85;  0%;  0%;  0%;3.65;9.01;3.49;  0%;  0%;  0%;0.192;2.08;0.247;97.5;0;73;0;0;0;2.56;60.1;0;37.4;0;0;0;0;0;0.0792;77.1;0;22.9;0;0;0;0;0;0.0685;64.3;0;35.6;0;0;0;0;0;29.6;35;36.2;34.8;7.76 ;8.01 ;8.27 ;7.53 ;
