System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-06;09:07:18.671;0.0108;1.27;0.00851;0.809;0.236;0.873;0.73;0.569;6.38e-05;0.000236;0.136;0.168;3.7e+03;2.9e+03;2.13e+03;2.55;63.7;0.0217;0.542;128;1.05;41;0.000758;58;0;17.4;0;0;0;144;31.6;0.000399;0.282;0.00142;0.795;0.0683;0.399;0.829;0.165;0.002;0.0117; 39840;6;0;0.0348;0.0372;53;0.0428;1.33;0.0321;0.81;0.124;0.275;0.547;0.794;3.41e-05;7.53e-05; 49840;26;103;0.0216;0.0357;52;8.51e-05;0.33;0.000258;0.801;0.0251;0.104;0.758;0.0723;0.00346;0.0143;  2160;0;3;0.0349;0.047;54;8.43e-05;0.324;0.000261;0.81;0.0178;0.0961;0.815;0.104;0.00248;0.0134; 19040;0;2;0.0447;0.0476;53;10.3;4.52;6.07;  0%;  0%;  0%;22.3;23.8;23;  0%;  0%;  0%;9.23;4.43;3.97;  0%;  0%;  0%;3.6;9.55;7.11;  0%;  0%;  0%;0.178;10.7;0.00303;89.2;0;36.7;0;0;0;3.97;52.6;0;43.4;0;0;0;0;0;0.0322;57.7;0;42.2;0;32.9;0;0;0;0.0322;42.9;0;57.1;0;0;0;0;0;32.7;38.3;37.8;35.6;7.78 ;8.03 ;8.24 ;7.57 ;
2017-09-06;09:07:19.683;0.0101;1.82;0.00554;0.808;0.212;0.805;0.736;0.59;6.2e-05;0.000235;0.127;0.173;3.43e+03;1.88e+03;2.13e+03;3.64;91;0.0201;0.504;159;0.685;46.4;0.00359;52.9;0;27;0;0;0;146;31.7;0.000382;0.293;0.0013;0.794;0.053;0.395;0.866;0.155;0.00163;0.0122; 39600;3;2;0.0346;0.0444;52;0.0397;1.95;0.0204;0.81;0.12;0.233;0.484;0.821;3.56e-05;6.89e-05; 50400;34;139;0.0214;0.04;52;7.98e-05;0.404;0.000198;0.799;0.0206;0.0881;0.766;0.0839;0.00304;0.013;  2240;0;3;0.0337;0.051;54;8.57e-05;0.4;0.000214;0.804;0.0186;0.0895;0.792;0.0995;0.00255;0.0123; 19040;0;1;0.0375;0.0375;52;11.1;3.76;6.02;  0%;  0%;  0%;32.1;34;33.3;  0%;  0%;  0%;9.83;3.62;4.38;  0%;  0%;  0%;4.1;10.4;6.5;  0%;  0%;  0%;0.164;5.27;0.0144;94.5;0;35.5;0;0;0;2.52;63;0;34.5;0;0;0;0;0;0.0247;62.5;0;37.5;0;35.8;0;0;0;0.0266;55.1;0;44.9;0;36.5;0;0;0;32.1;38.9;38.3;37;7.8 ;8.06 ;8.27 ;7.53 ;
2017-09-06;09:07:20.683;0.0101;1.82;0.00554;0.81;0.213;0.831;0.743;0.573;6.29e-05;0.000245;0.146;0.192;3.39e+03;1.86e+03;2.1e+03;3.65;91.2;0.0202;0.505;155;0.684;57.8;0.0646;41.5;0;0;0;0;0;149;31.4;0.00039;0.301;0.00129;0.81;0.0529;0.411;0.871;0.148;0.00162;0.0126; 40000;2;1;0.0409;0.0601;53;0.0398;1.95;0.0204;0.81;0.116;0.237;0.51;0.81;3.47e-05;7.08e-05; 50400;40;146;0.0218;0.0409;52;0.000108;0.478;0.000226;0.81;0.0269;0.0974;0.724;0.16;0.00296;0.0107;  2640;0;2;0.0401;0.0457;54;8.68e-05;0.456;0.00019;0.81;0.0173;0.0849;0.796;0.124;0.00237;0.0116; 19280;0;6;0.0437;0.0449;52;11.1;3.69;3.93;  0%;  0%;  0%;32.8;31.2;34.1;  0%;  0%;  0%;9.82;4.07;5.06;  0%;  0%;  0%;4.75;10;4.94;  0%;  0%;  0%;0.16;7.24;0.258;92.3;0;0;0;0;0;2.53;69.8;0;27.6;0;0;0;0;0;0.0279;68.3;0;31.7;0;0;0;0;0;0.0235;85.7;0;14.3;0;0;0;0;0;31.9;39.1;38.4;39.6;7.76 ;7.96 ;8.22 ;7.46 ;
2017-09-06;09:07:21.695;0.0101;1.82;0.00553;0.81;0.207;0.768;0.73;0.593;6.05e-05;0.000224;0.145;0.195;3.43e+03;1.88e+03;2.13e+03;3.65;91.2;0.0202;0.504;155;0.683;55.9;0.00241;43.4;0;0;0;0;0;150;31.7;0.000358;0.276;0.0013;0.81;0.0484;0.354;0.863;0.171;0.00159;0.0116; 39760;2;2;0.0406;0.052;52;0.0398;1.95;0.0204;0.81;0.123;0.244;0.497;0.808;3.62e-05;7.2e-05; 50720;44;178;0.0213;0.0404;52;7.92e-05;0.433;0.000183;0.81;0.0192;0.0847;0.774;0.094;0.00285;0.0126;  2480;0;4;0.0399;0.06;54;8.48e-05;0.43;0.000197;0.81;0.0173;0.0861;0.799;0.132;0.0024;0.0119; 19120;0;5;0.0436;0.0425;52;11;2.48;5.39;  0%;  0%;  0%;32.5;34.9;33.1;  0%;  0%;  0%;9.94;2.41;3.67;  0%;  0%;  0%;3.36;10.5;5.86;  0%;  0%;  0%;0.16;7.12;0.00966;92.7;0;0;0;0;0;2.52;70;0;27.5;0;0;0;0;0;0.0226;69.5;0;30.5;0;0;0;0;0;0.0243;77.1;0;22.8;0;0;0;0;0;32.2;39.7;39;39.3;7.78 ;8.01 ;8.36 ;7.6 ;
2017-09-06;09:07:22.707;0.0101;1.8;0.00559;0.81;0.229;0.876;0.739;0.553;6.68e-05;0.000256;0.147;0.183;3.43e+03;1.9e+03;2.13e+03;3.61;90.2;0.0202;0.504;161;0.69;54.1;0.0244;45.2;0;0;0;0;0;149;31.8;0.000393;0.281;0.0014;0.81;0.0573;0.406;0.859;0.157;0.00171;0.0122; 40160;4;0;0.0409;0.0413;53;0.0398;1.94;0.0205;0.81;0.13;0.28;0.536;0.778;3.84e-05;8.29e-05; 50400;43;138;0.022;0.0415;52;8.83e-05;0.36;0.000245;0.81;0.0236;0.101;0.766;0.0932;0.00315;0.0135;  2560;0;6;0.0402;0.0519;54;8.96e-05;0.418;0.000214;0.81;0.0181;0.0883;0.795;0.139;0.00238;0.0116; 19120;0;2;0.0438;0.0487;52;11.5;5.2;5.86;  0%;  0%;  0%;33.1;31.3;34.9;  0%;  0%;  0%;10;5.24;3.69;  0%;  0%;  0%;3.4;10.2;6.34;  0%;  0%;  0%;0.173;10;0.0214;89.8;0;0;0;0;0;2.53;64.4;0;33;0;0;0;0;0;0.0303;62;0.0761;37.9;0;0;0;0;0;0.0265;80;0;20;0;0;0;0;0;32.7;38.9;38;39.6;7.78 ;8.06 ;8.37 ;7.57 ;
2017-09-06;09:07:23.719;0.0101;1.82;0.00555;0.81;0.213;0.786;0.729;0.577;6.2e-05;0.000229;0.146;0.19;3.43e+03;1.89e+03;2.13e+03;3.63;90.9;0.0202;0.504;157;0.685;57.3;0.0108;42;0;0;0;0;0;151;31.7;0.000358;0.266;0.00135;0.81;0.0498;0.364;0.863;0.163;0.00164;0.012; 39680;1;3;0.0408;0.0476;52;0.0398;1.95;0.0204;0.81;0.123;0.243;0.492;0.801;3.65e-05;7.18e-05; 50640;46;143;0.0216;0.0406;52;7.86e-05;0.386;0.000203;0.81;0.0201;0.0885;0.773;0.0796;0.00301;0.0132;  2480;1;1;0.0399;0.0601;54;9.05e-05;0.445;0.000204;0.81;0.0193;0.09;0.786;0.139;0.0025;0.0117; 19200;1;4;0.0438;0.0412;52;11.1;3.15;6.04;  0%;  0%;  0%;32.9;33.1;33.2;  0%;  0%;  0%;9.94;3.05;3.78;  0%;  0%;  0%;3.44;10.4;6.55;  0%;  0%;  0%;0.166;9.36;0.043;90.4;0;0;0;0;0;2.52;73.1;0;24.4;0;0;0;0;0;0.0251;66.5;0;33.5;0;0;0;0;0;0.0251;80.3;0;19.6;0;0;0;0;0;32.6;39.9;38.4;39.7;7.83 ;7.99 ;8.32 ;7.57 ;
2017-09-06;09:07:24.731;0.0102;1.82;0.00559;0.81;0.22;0.916;0.76;0.544;6.37e-05;0.000265;0.146;0.194;3.45e+03;1.9e+03;2.13e+03;3.63;90.8;0.0203;0.508;156;0.691;55.1;0.0145;44.2;0;0;0;0;0;149;31.8;0.000376;0.271;0.00139;0.81;0.0548;0.406;0.865;0.151;0.00172;0.0127; 40240;4;0;0.0409;0.0503;52;0.0398;1.95;0.0204;0.81;0.124;0.248;0.501;0.797;3.66e-05;7.33e-05; 50640;34;130;0.0214;0.0407;52;7.89e-05;0.393;0.000201;0.81;0.0199;0.0889;0.776;0.0815;0.00297;0.0132;  2480;0;6;0.04;0.0607;54;0.000353;1.07;0.000332;0.81;0.0213;0.173;0.877;0.18;0.00071;0.00575; 19280;0;9;0.0438;0.0418;52;11.2;2.69;5.78;  0%;  0%;  0%;32.6;34.1;33.6;  0%;  0%;  0%;9.91;2.62;3.64;  0%;  0%;  0%;3.34;10.6;6.3;  0%;  0%;  0%;0.171;7.01;0.0579;92.8;0;0;0;0;0;2.52;68.9;0;28.6;0;0;0;0;0;0.0248;68.2;0;31.7;0;0;0;0;0;0.041;76.3;0;23.6;0;0;0;0;0;32.2;39.3;38.6;39.1;7.83 ;8.08 ;8.34 ;7.55 ;
2017-09-06;09:07:25.743;0.0101;1.82;0.00555;0.81;0.212;0.828;0.744;0.559;6.19e-05;0.000241;0.146;0.185;3.43e+03;1.89e+03;2.13e+03;3.63;90.8;0.0202;0.504;158;0.686;55;0.013;44.3;0;0;0;0;0;149;31.8;0.000379;0.279;0.00136;0.81;0.052;0.408;0.873;0.152;0.00161;0.0127; 40240;3;1;0.0406;0.0395;52;0.0398;1.95;0.0205;0.81;0.123;0.246;0.502;0.795;3.63e-05;7.28e-05; 50400;45;128;0.0216;0.0412;52;8.01e-05;0.405;0.000198;0.81;0.0198;0.0882;0.776;0.0858;0.00291;0.013;  2480;0;3;0.0398;0.0598;54;8.55e-05;0.43;0.000199;0.81;0.0178;0.0851;0.791;0.13;0.00245;0.0117; 19200;0;2;0.0438;0.044;52;11.1;4.09;6.61;  0%;  0%;  0%;32.6;32.9;33.2;  0%;  0%;  0%;9.78;3.99;3.33;  0%;  0%;  0%;3.02;10.3;7.12;  0%;  0%;  0%;0.168;8.09;0.052;91.7;0;0;0;0;0;2.53;65.9;0;31.6;0;0;0;0;0;0.0244;69.6;0;30.4;0;0;0;0;0;0.0245;76.3;0;23.6;0;0;0;0;0;32.3;39.1;38.8;39.2;7.81 ;8.03 ;8.37 ;7.58 ;
2017-09-06;09:07:26.755;0.0101;1.76;0.0057;0.81;0.214;0.831;0.743;0.564;6.25e-05;0.000243;0.146;0.202;3.42e+03;1.94e+03;2.12e+03;3.53;88.2;0.0201;0.503;149;0.704;53.6;0.0131;45.6;0;0;0;0;0;149;31.7;0.000381;0.27;0.00141;0.81;0.0505;0.373;0.865;0.164;0.00156;0.0115; 39840;2;0;0.0406;0.0484;52;0.0397;1.9;0.0209;0.81;0.125;0.272;0.539;0.783;3.72e-05;8.05e-05; 50560;44;132;0.0217;0.0406;52;8.56e-05;0.358;0.000239;0.81;0.0201;0.0954;0.789;0.0874;0.00276;0.0131;  2560;0;3;0.0398;0.0594;54;8.89e-05;0.388;0.000229;0.81;0.0179;0.0911;0.804;0.133;0.00237;0.0121; 19040;0;3;0.0436;0.0535;52;11.2;3.11;4.31;  0%;  0%;  0%;32.5;32.4;34.1;  0%;  0%;  0%;9.76;3.02;2.13;  0%;  0%;  0%;1.81;10.2;4.82;  0%;  0%;  0%;0.175;13.9;0.0522;85.9;0;0;0;0;0;2.58;60.3;0;37.1;0;0;0;0;0;0.0295;65.8;0;34.2;0;0;0;0;0;0.0283;74.6;0;25.3;0;0;0;0;0;33;38.5;38.3;38.9;7.82 ;8.02 ;8.34 ;7.55 ;
2017-09-06;09:07:27.768;0.0101;1.81;0.00558;0.809;0.213;0.847;0.748;0.562;6.23e-05;0.000247;0.146;0.184;3.43e+03;1.9e+03;2.13e+03;3.61;90.3;0.0202;0.504;158;0.689;53.6;0.0273;45.7;0;0;0;0;0;149;31.7;0.000384;0.265;0.00145;0.805;0.0567;0.421;0.865;0.148;0.00174;0.0129; 40240;2;2;0.0406;0.043;52;0.0398;1.95;0.0204;0.81;0.119;0.248;0.519;0.8;3.53e-05;7.33e-05; 50400;39;131;0.0216;0.0396;52;8.19e-05;0.398;0.000206;0.81;0.0196;0.0881;0.778;0.0825;0.00281;0.0126;  2560;0;1;0.0398;0.0605;54;8.39e-05;0.385;0.000218;0.81;0.0178;0.0895;0.801;0.125;0.0025;0.0125; 19120;0;6;0.0436;0.0411;52;11;3.65;6.63;  0%;  0%;  0%;32.7;33.1;34.1;  0%;  0%;  0%;9.68;3.55;3.57;  0%;  0%;  0%;3.32;10.2;7;  0%;  0%;  0%;0.18;7.32;0.109;92.4;0;0;0;0;0;2.53;68.8;0;28.7;0;0;0;0;0;0.0254;68;0;32;0;0;0;0;0;0.0269;70.3;0;29.7;0;0;0;0;0;32.3;39.3;38.6;38.7;7.8 ;8.04 ;8.34 ;7.56 ;
