System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;02:23:49.196;0.119;1.19;0.0996;0.856;0.474;5.86;0.919;0.78;1.17e-05;0.000145;0.105;0.108;4.04e+04;3.39e+04;2.12e+03;2.38;59.5;0.237;5.93;82;11.6;25.3;0.00757;63.1;0;17.7;0;0;0;167;23.8;0.472;1.2;0.395;0.857;0.205;2;0.897;0.91;5.1e-06;4.97e-05; 48480;48;24;0.0285;0.0286;47;0.00188;0.727;0.00259;0.764;0.162;3.4;0.952;0.0847;0.00101;0.0212; 30080;3;5;0.0204;0.0234;54;0.000121;0.331;0.000367;0.756;0.037;0.156;0.764;0.152;0.00357;0.0151; 39840;0;2;0.0191;0.0213;56;0.000387;0.512;0.000757;0.857;0.0701;0.309;0.773;0.422;0.00213;0.00937; 25840;5;2;0.0365;0.0346;54;14.7;8.32;11.4;  0%;  0%;  0%;2.58;5.44;10.2;  0%;  0%;  0%;2.68;4.18;3.74;  0%;  0%;  0%;2.96;5.74;10;  0%;  0%;  0%;46.1;46.7;0.0136;7.21;0;3.14;0;0;0;0.338;16.5;0.00635;83.1;0;31.4;0;0;0;0.0485;15.2;0;84.8;0;36.3;0;0;0;0.0883;22.6;0.0103;77.3;0;0;0;0;0;67.6;32.6;33.5;33.7;6.56 ;5.94 ;5.7 ;5.55 ;
2017-09-04;02:23:50.206;0.129;1.2;0.108;0.857;0.212;5.34;0.96;0.776;4.82e-06;0.000122;0.0769;0.0694;4.39e+04;3.66e+04;2.13e+03;2.4;60;0.259;6.47;23.7;12.6;26.6;0;60.8;0;9.05;0;0;0;172;22.8;0.516;1.2;0.429;0.857;0.0979;1.68;0.942;0.916;2.24e-06;3.84e-05; 48800;44;0;0.0255;0.0218;47;0.00172;1.05;0.00164;0.857;0.0805;3.48;0.977;0.0414;0.000552;0.0239; 30160;1;2;0.0185;0.0178;54;6.06e-05;0.374;0.000162;0.857;0.0141;0.0841;0.832;0.0735;0.00275;0.0164; 39760;0;2;0.0184;0.0176;56;7.81e-05;0.392;0.000199;0.816;0.019;0.0931;0.796;0.0951;0.00287;0.0141; 26080;0;2;0.0145;0.0122;54;5.35;1.51;1.92;  0%;  0%;  0%;0.843;1.03;6.34;  0%;  0%;  0%;0.978;1.27;0.74;  0%;  0%;  0%;0.535;1.11;2.03;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.191;18.8;0;81;0;0;0;0;0;0.0189;18;0;82;0;0;0;0;0;0.0244;19.7;0;80.3;0;36.2;0;0;0;70.9;33;34.3;33.6;6.34 ;5.78 ;5.7 ;4.95 ;
2017-09-04;02:23:51.206;0.129;1.2;0.108;0.857;0.207;5.3;0.961;0.775;4.75e-06;0.000122;0.0573;0.0499;4.35e+04;3.62e+04;2.1e+03;2.4;60;0.259;6.47;23.2;12.6;25.1;0;62.3;0;37.2;0;0;0;170;21.7;0.516;1.2;0.429;0.857;0.0956;1.66;0.943;0.916;2.21e-06;3.84e-05; 48160;46;2;0.0254;0.0217;47;0.00172;1.08;0.00159;0.801;0.0782;3.46;0.977;0.0416;0.000541;0.0239; 30080;0;1;0.0132;0.0125;54;6.42e-05;0.395;0.000163;0.816;0.0153;0.0857;0.821;0.0772;0.00284;0.0159; 39760;0;0;0.0123;0.0116;56;7.36e-05;0.378;0.000195;0.782;0.0174;0.0931;0.813;0.0935;0.00282;0.0151; 26080;0;2;0.00645;0.00419;54;5.14;1.46;1.89;  0%;  0%;  0%;0.83;1.06;6.12;  0%;  0%;  0%;0.967;1.28;0.725;  0%;  0%;  0%;0.532;1.22;2.02;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.198;18.5;0;81.3;0;30.2;0;0;0;0.0199;17;0;83;0;35.2;0;0;0;0.0249;15;0;85;0;83.5;0;0;0;70.3;32.8;33.6;32.8;6.26 ;5.42 ;5.41 ;4.57 ;
2017-09-04;02:23:52.213;0.129;1.2;0.108;0.857;0.204;5.11;0.96;0.784;4.65e-06;0.000116;0.0826;0.0754;4.39e+04;3.65e+04;2.12e+03;2.4;60.1;0.259;6.47;23.3;12.6;83;0;4.43;0;0;0;0;0;196;23;0.516;1.2;0.429;0.857;0.0989;1.66;0.94;0.917;2.26e-06;3.8e-05; 48240;44;1;0.0257;0.0221;47;0.00172;1.25;0.00138;0.857;0.0763;3.29;0.977;0.0452;0.000522;0.0225; 30160;0;1;0.0183;0.0176;54;6.06e-05;0.505;0.00012;0.857;0.0135;0.0766;0.823;0.101;0.00264;0.0149; 39760;0;0;0.0181;0.0175;55;6.85e-05;0.5;0.000137;0.857;0.0151;0.0792;0.809;0.124;0.0026;0.0137; 25920;1;1;0.0205;0.0182;53;5.34;1.45;1.88;  0%;  0%;  0%;0.649;0.904;6.75;  0%;  0%;  0%;0.776;1.29;0.672;  0%;  0%;  0%;0.497;1.03;2.05;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.161;92.3;0;7.52;0;0;0;0;0;0.014;93.2;0;6.83;0;0;0;0;0;0.016;96.6;0;3.35;0;0;0;0;0;70.9;40.9;42.2;42.3;6.29 ;5.73 ;5.72 ;5.21 ;
2017-09-04;02:23:53.221;0.129;1.2;0.108;0.857;0.273;5.17;0.947;0.783;6.23e-06;0.000118;0.0882;0.0809;4.38e+04;3.65e+04;2.12e+03;2.4;60.1;0.259;6.47;33.7;12.6;84.3;0;3.13;0;0;0;0;0;197;23.1;0.516;1.2;0.429;0.857;0.121;1.7;0.929;0.915;2.77e-06;3.89e-05; 47760;55;1;0.0279;0.0235;47;0.00172;1.23;0.00141;0.857;0.0945;3.27;0.971;0.047;0.000647;0.0224; 30480;0;5;0.0189;0.0184;54;0.000129;0.684;0.000188;0.857;0.0278;0.104;0.734;0.349;0.00255;0.0096; 40560;2;1;0.0197;0.0195;55;0.000194;0.808;0.00024;0.857;0.0301;0.102;0.704;0.273;0.00184;0.00619; 26240;1;2;0.0218;0.0194;53;6.51;3.23;2.89;  0%;  0%;  0%;1.27;1.77;7.37;  0%;  0%;  0%;1.41;2.33;1.16;  0%;  0%;  0%;1.05;1.86;2.86;  0%;  0%;  0%;50.1;49.9;0;0;0;0;0;0;0;0.164;92.3;0;7.52;0;0;0;0;0;0.0219;95;0;4.99;0;0;0;0;0;0.028;100;0;0;0;0;0;0;0;71;40.9;42.3;42.6;6.37 ;5.77 ;5.73 ;5.23 ;
2017-09-04;02:23:54.229;0.129;1.2;0.108;0.857;0.222;5.21;0.957;0.78;5.06e-06;0.000119;0.0838;0.076;4.38e+04;3.65e+04;2.12e+03;2.4;60.1;0.259;6.47;25.2;12.6;84.8;0;2.59;0;0;0;0;0;197;23.2;0.516;1.2;0.429;0.857;0.101;1.67;0.939;0.916;2.32e-06;3.83e-05; 47760;46;0;0.0262;0.0223;47;0.00173;1.24;0.00139;0.857;0.0803;3.29;0.976;0.0459;0.000549;0.0225; 30080;0;1;0.0184;0.0177;54;6.37e-05;0.506;0.000126;0.857;0.0173;0.0775;0.777;0.14;0.0032;0.0144; 40560;0;0;0.0184;0.0176;55;0.000347;1.21;0.000287;0.857;0.0228;0.17;0.866;0.191;0.000775;0.00577; 26240;0;3;0.0208;0.0184;53;5.37;1.54;2.11;  0%;  0%;  0%;0.824;1.19;6.76;  0%;  0%;  0%;0.911;1.39;0.857;  0%;  0%;  0%;0.594;1.38;2.29;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.162;94.8;0;5.06;0;0;0;0;0;0.0147;95;0;4.98;0;0;0;0;0;0.0334;99.6;0;0.32;0;0;0;0;0;71;40.9;42.3;42.7;6.39 ;5.82 ;5.74 ;5.26 ;
2017-09-04;02:23:55.237;0.129;1.2;0.108;0.857;0.203;5.08;0.96;0.785;4.64e-06;0.000116;0.0825;0.0753;4.38e+04;3.64e+04;2.12e+03;2.4;60.1;0.259;6.47;23.2;12.6;82;0;5.47;0;0;0;0;0;196;23;0.516;1.2;0.429;0.857;0.0986;1.68;0.941;0.916;2.26e-06;3.84e-05; 47440;45;2;0.0257;0.0221;46;0.00171;1.25;0.00137;0.857;0.0767;3.26;0.976;0.0464;0.000529;0.0225; 30080;0;2;0.0182;0.0176;54;5.84e-05;0.532;0.00011;0.857;0.0125;0.0705;0.823;0.143;0.00253;0.0143; 40720;0;1;0.0181;0.0174;55;7.03e-05;0.541;0.00013;0.857;0.0153;0.0751;0.797;0.155;0.00257;0.0126; 26320;0;1;0.0204;0.0182;53;5.33;1.45;1.85;  0%;  0%;  0%;0.608;0.968;6.7;  0%;  0%;  0%;0.672;1.28;0.622;  0%;  0%;  0%;0.522;1.16;2.01;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.16;90.5;0;9.33;0;0;0;0;0;0.0128;91.6;0;8.37;0;0;0;0;0;0.0152;95.8;0;4.18;0;0;0;0;0;70.9;40.7;42.3;42.2;6.38 ;5.81 ;5.68 ;5.15 ;
2017-09-04;02:23:56.244;0.129;1.2;0.108;0.857;0.197;5.04;0.961;0.786;4.5e-06;0.000115;0.0817;0.0749;4.38e+04;3.64e+04;2.12e+03;2.4;60.1;0.259;6.47;22.5;12.6;85;0;2.49;0;0;0;0;0;198;23;0.516;1.2;0.429;0.857;0.097;1.66;0.942;0.917;2.22e-06;3.81e-05; 47440;44;0;0.0254;0.0219;46;0.0017;1.26;0.00135;0.857;0.0736;3.24;0.977;0.0457;0.000511;0.0225; 30080;0;0;0.0181;0.0175;53;6.02e-05;0.577;0.000104;0.857;0.0124;0.0703;0.824;0.147;0.00243;0.0138; 40720;0;1;0.018;0.0173;55;6.78e-05;0.589;0.000115;0.857;0.0142;0.0724;0.804;0.164;0.00247;0.0126; 26080;0;2;0.0202;0.0181;53;5.21;1.43;1.77;  0%;  0%;  0%;0.542;0.895;6.68;  0%;  0%;  0%;0.599;1.24;0.582;  0%;  0%;  0%;0.502;1.11;1.94;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.158;92.3;0;7.53;0;0;0;0;0;0.0122;97.6;0;2.43;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;71;40.9;42.9;42.7;6.38 ;5.78 ;5.67 ;5.15 ;
2017-09-04;02:23:57.252;0.129;1.2;0.108;0.857;0.201;5.08;0.96;0.785;4.58e-06;0.000116;0.0822;0.0751;4.38e+04;3.64e+04;2.12e+03;2.4;60.1;0.259;6.47;22.5;12.6;84.3;0;3.13;0;0;0;0;0;197;23;0.516;1.2;0.429;0.857;0.0972;1.66;0.941;0.917;2.23e-06;3.8e-05; 47520;48;2;0.0256;0.022;46;0.00172;1.25;0.00137;0.857;0.0748;3.27;0.977;0.0462;0.000514;0.0225; 30720;0;4;0.0182;0.0176;54;5.66e-05;0.541;0.000105;0.857;0.0123;0.0708;0.826;0.149;0.00257;0.0148; 40800;0;0;0.018;0.0174;55;7.12e-05;0.595;0.00012;0.857;0.0164;0.0752;0.782;0.165;0.00271;0.0125; 26240;1;2;0.0203;0.0182;53;5.17;1.41;1.85;  0%;  0%;  0%;0.566;0.901;6.67;  0%;  0%;  0%;0.533;1.25;0.611;  0%;  0%;  0%;0.495;1.01;2;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;0.16;92.3;0;7.53;0;0;0;0;0;0.0122;95;0;4.98;0;0;0;0;0;0.014;100;0;0;0;0;0;0;0;70.9;40.9;42.3;42.7;6.38 ;5.81 ;5.68 ;5.18 ;
2017-09-04;02:23:58.259;0.13;1.17;0.111;0.857;0.21;5.1;0.959;0.784;4.77e-06;0.000116;0.083;0.0756;4.41e+04;3.76e+04;2.12e+03;2.35;58.7;0.261;6.51;24;13;84.1;0;2.91;0;0;0;0;0;198;23;0.516;1.2;0.429;0.857;0.102;1.68;0.939;0.916;2.33e-06;3.84e-05; 47680;46;0;0.026;0.0222;46;0.0053;0.358;0.0148;0.857;0.0767;3.28;0.977;0.0463;0.000171;0.0073; 30720;0;3;0.0182;0.0176;53;6.09e-05;0.523;0.000116;0.857;0.0134;0.07;0.808;0.161;0.0026;0.0136; 40800;0;0;0.0182;0.0175;55;7.75e-05;0.563;0.000138;0.857;0.0186;0.0798;0.766;0.175;0.00284;0.0122; 26320;2;0;0.0206;0.0183;53;5.49;1.5;2.07;  0%;  0%;  0%;0.627;0.961;6.9;  0%;  0%;  0%;0.655;1.31;0.687;  0%;  0%;  0%;0.52;1.12;2.13;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;1.73;90.7;0;7.55;0;0;0;0;0;0.0136;95.9;0;4.11;0;0;0;0;0;0.016;100;0;0;0;0;0;0;0;71;41.9;42.5;42.7;6.36 ;5.86 ;5.66 ;5.16 ;
