System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;01:53:47.697;0.111;1.17;0.0949;0.666;2.03;9.05;0.776;0.689;4.77e-05;0.000213;0.261;0.335;4.25e+04;3.65e+04;2.13e+03;2.33;58.3;0.221;5.53;400;14.2;34.1;0.022;51.7;0;7.46;0;0;0;177;33;0.252;1.17;0.216;0.667;0.915;2.97;0.692;0.782;3.89e-05;0.000126; 41440;47;61;0.0744;0.078;49;0.196;1.18;0.167;0.666;0.607;4.23;0.857;0.668;3.22e-05;0.000224; 48000;148;100;0.0738;0.129;50;0.00132;0.459;0.00288;0.635;0.342;1.37;0.751;0.349;0.00265;0.0106; 41760;8;28;0.0477;0.0537;55;0.000407;0.432;0.000941;0.667;0.167;0.485;0.656;0.277;0.0042;0.0122; 29280;10;7;0.0655;0.0743;53;65;26;32.1;  0%;  0%;  0%;36.6;39.4;76.4;  0%;  0%;  0%;24.9;23.3;13.6;  0%;  0%;  0%;10.5;23.4;29;  0%;  0%;  0%;32.4;39.1;0.0523;28.5;0;5.58;0;0;0;25;33.2;0.0121;41.8;0;13.1;0;0;0;0.453;28.5;0.00688;71;0;11.2;0;0;0;0.141;35.6;0.0181;64.2;0;0;0;0;0;55.7;48.9;36.4;36.5;8.37 ;8.71 ;8.25 ;7.69 ;
2017-09-04;01:53:48.876;0.182;1.2;0.151;0.667;0.451;6.96;0.935;0.814;6.27e-06;9.67e-05;0.105;0.0974;7.2e+04;5.99e+04;2.44e+03;2.4;60;0.363;9.08;55.8;22.7;48.2;0;29.1;0;9.12;0;0;0;203;31.6;0.399;1.2;0.332;0.667;0.189;1.89;0.9;0.898;4.78e-06;4.78e-05; 39760;11;1;0.0319;0.0256;49;0.328;1.2;0.273;0.667;0.187;4.7;0.96;0.745;5.77e-06;0.000145; 49200;1;38;0.0293;0.0326;50;9.41e-05;0.486;0.000194;0.666;0.0338;0.203;0.834;0.0507;0.00362;0.0218; 42080;0;5;0.0207;0.0191;55;8.4e-05;0.387;0.000217;0.645;0.0413;0.171;0.758;0.0635;0.00496;0.0205; 29200;0;1;0.0233;0.0201;54;15.2;3.11;3.74;  0%;  0%;  0%;2.76;3.01;10.4;  0%;  0%;  0%;3.12;2.94;1.6;  0%;  0%;  0%;1.68;4.03;4.18;  0%;  0%;  0%;49.8;50.2;0;0;0;0;0;0;0;41;47.2;0;11.9;0;0;0;0;0;0.0291;50.4;0;49.5;0;18.2;0;0;0;0.0336;45.2;0;54.8;0;18.2;0;0;0;65.8;59.4;39.2;38.2;8.15 ;8.44 ;7.88 ;7.13 ;
2017-09-04;01:53:49.863;0.2;1.2;0.167;0.667;0.456;5.8;0.921;0.828;6.88e-06;8.74e-05;0.0943;0.0873;6.63e+04;5.52e+04;2.1e+03;2.4;60;0.4;10;48;25;73.3;0;1.76;0;0;0;0;0;183;26.4;0.4;1.2;0.333;0.667;0.169;1.53;0.89;0.902;5.1e-06;4.63e-05; 37600;10;5;0.0273;0.0226;49;0.399;1.2;0.332;0.667;0.134;1.42;0.905;0.907;4.06e-06;4.29e-05; 50160;2;48;0.0266;0.0264;50;0.00148;1.08;0.00136;0.667;0.122;2.74;0.955;0.0459;0.000998;0.0224; 42240;0;3;0.019;0.0183;56;8.2e-05;0.357;0.000229;0.667;0.0307;0.104;0.705;0.111;0.00451;0.0153; 29200;1;5;0.0215;0.02;53;6.85;5.09;3.28;  0%;  0%;  0%;3.96;1.43;6.48;  0%;  0%;  0%;5.3;6.26;1.85;  0%;  0%;  0%;2.4;1.48;3.65;  0%;  0%;  0%;49.9;50.1;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.205;97.4;0;2.4;0;0;0;0;0;0.0344;95.3;0;4.62;0;0;0;0;0;55.1;53.6;37.1;36.7;6.73 ;7.06 ;6.39 ;6.2 ;
2017-09-04;01:53:50.877;0.212;1.2;0.176;0.667;0.413;6.09;0.932;0.836;5.62e-06;8.29e-05;0.0951;0.0895;7.35e+04;6.12e+04;2.44e+03;2.4;60;0.423;10.6;47.1;26.4;73.1;0;0.43;0;0;0;0;0;188;27.3;0.422;1.2;0.351;0.667;0.197;1.74;0.887;0.902;5.19e-06;4.58e-05; 37680;19;0;0.0276;0.0229;48;0.407;1.2;0.339;0.667;0.0973;1.46;0.933;0.91;2.75e-06;4.13e-05; 50000;0;52;0.0276;0.0282;50;0.00149;1.14;0.0013;0.667;0.103;2.81;0.963;0.0459;0.000815;0.0222; 42160;0;2;0.0189;0.0187;55;7.39e-05;0.291;0.000254;0.667;0.0152;0.0788;0.808;0.15;0.00241;0.0125; 29440;0;1;0.0211;0.0198;54;7.73;5.52;2.7;  0%;  0%;  0%;3.9;1.17;7.37;  0%;  0%;  0%;5.37;6.96;1.09;  0%;  0%;  0%;1.23;1.15;2.92;  0%;  0%;  0%;52.7;47.3;0;0;0;0;0;0;0;50.9;49.1;0;0;0;0;0;0;0;0.196;99.5;0;0.261;0;0;0;0;0;0.038;98.5;0;1.49;0;0;0;0;0;56.6;55.1;38.4;37.8;6.88 ;7.26 ;6.9 ;6.28 ;
2017-09-04;01:53:51.887;0.2;1.2;0.167;0.667;0.407;5.85;0.93;0.831;5.99e-06;8.61e-05;0.0953;0.0893;6.8e+04;5.66e+04;2.13e+03;2.4;60.1;0.401;10;48.3;25;75;0;0;0;0;0;0;0;187;27.7;0.4;1.2;0.333;0.667;0.184;1.57;0.883;0.901;5.43e-06;4.63e-05; 37760;15;0;0.0277;0.023;48;0.4;1.2;0.333;0.667;0.0904;1.4;0.935;0.911;2.66e-06;4.13e-05; 49760;0;52;0.0269;0.0271;49;0.00148;1.17;0.00127;0.667;0.109;2.79;0.961;0.0464;0.000864;0.0223; 42160;0;1;0.0191;0.0189;55;7.42e-05;0.378;0.000196;0.667;0.0241;0.0884;0.727;0.148;0.00383;0.014; 29200;1;1;0.0216;0.0202;53;7.23;5.64;3.35;  0%;  0%;  0%;3.79;1.29;6.85;  0%;  0%;  0%;5.27;7.15;1.33;  0%;  0%;  0%;1.55;1.31;3.59;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.19;99.8;0;0;0;0;0;0;0;0.0295;100;0;0;0;0;0;0;0;56.4;54.9;38.3;37.8;6.95 ;7.36 ;6.99 ;6.43 ;
2017-09-04;01:53:52.897;0.2;1.2;0.167;0.667;0.467;5.97;0.922;0.829;6.86e-06;8.77e-05;0.101;0.0933;6.8e+04;5.67e+04;2.12e+03;2.4;60;0.401;10;57.4;25;75;0;0;0;0;0;0;0;187;27;0.4;1.2;0.333;0.667;0.21;1.63;0.871;0.899;6.2e-06;4.79e-05; 39040;17;2;0.0296;0.0243;48;0.4;1.2;0.333;0.667;0.102;1.41;0.928;0.91;3.01e-06;4.15e-05; 49840;0;62;0.0284;0.0283;49;0.0015;1.14;0.00132;0.667;0.118;2.82;0.958;0.0478;0.00093;0.0221; 42880;0;6;0.0194;0.0195;55;0.000148;0.506;0.000293;0.667;0.0358;0.116;0.692;0.354;0.00285;0.00923; 29200;1;1;0.0233;0.0213;54;8.13;6.99;4.57;  0%;  0%;  0%;4.07;1.95;7.93;  0%;  0%;  0%;5.59;8.15;1.82;  0%;  0%;  0%;1.98;1.76;4.44;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.198;99.8;0;0;0;0;0;0;0;0.0439;100;0;0;0;0;0;0;0;56.4;55;38.3;37.8;6.76 ;7.09 ;6.84 ;6.31 ;
2017-09-04;01:53:53.907;0.2;1.2;0.167;0.667;0.41;5.87;0.93;0.831;6.03e-06;8.63e-05;0.095;0.0886;6.8e+04;5.66e+04;2.12e+03;2.4;60;0.401;10;48.2;25;75;0;0;0;0;0;0;0;187;27;0.4;1.2;0.333;0.667;0.183;1.58;0.884;0.901;5.38e-06;4.64e-05; 39040;17;0;0.0278;0.0228;48;0.4;1.2;0.333;0.667;0.0947;1.4;0.932;0.91;2.79e-06;4.13e-05; 49760;1;58;0.0268;0.0269;49;0.00148;1.15;0.00129;0.667;0.108;2.81;0.961;0.0467;0.000861;0.0223; 42880;0;4;0.0186;0.0183;55;8.24e-05;0.374;0.00022;0.667;0.0244;0.0862;0.717;0.172;0.00349;0.0123; 29360;2;1;0.0218;0.0206;53;7.28;5.53;3.65;  0%;  0%;  0%;3.73;1.3;6.82;  0%;  0%;  0%;5.26;7.08;1.21;  0%;  0%;  0%;1.18;1.31;3.85;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.193;99.8;0;0;0;0;0;0;0;0.033;100;0;0;0;0;0;0;0;56.4;55;38.3;37.8;6.61 ;7.14 ;6.8 ;6.42 ;
2017-09-04;01:53:54.917;0.2;1.2;0.167;0.667;0.432;6;0.928;0.828;6.36e-06;8.82e-05;0.0984;0.0905;6.8e+04;5.67e+04;2.12e+03;2.4;60;0.401;10;53;25;73.7;0;1.21;0;0;0;0;0;187;27.9;0.4;1.2;0.333;0.667;0.191;1.62;0.882;0.899;5.64e-06;4.77e-05; 39120;14;0;0.0289;0.0233;48;0.4;1.2;0.333;0.667;0.0984;1.4;0.93;0.91;2.9e-06;4.14e-05; 49840;0;56;0.0279;0.0278;49;0.00148;1.1;0.00135;0.667;0.112;2.79;0.96;0.0465;0.00089;0.0223; 42720;0;0;0.0194;0.019;55;0.000356;0.808;0.00044;0.667;0.0311;0.186;0.833;0.188;0.00103;0.00617; 29440;0;0;0.0223;0.0205;53;8.1;6.1;3.67;  0%;  0%;  0%;3.9;1.6;7.65;  0%;  0%;  0%;5.35;7.4;1.73;  0%;  0%;  0%;2.08;1.6;3.84;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.202;99.8;0;0;0;0;0;0;0;0.066;95.1;0;4.83;0;0;0;0;0;56.4;55;38.3;37.6;6.87 ;7.44 ;7.05 ;6.55 ;
2017-09-04;01:53:55.927;0.201;1.18;0.17;0.667;0.4;5.87;0.932;0.83;5.87e-06;8.62e-05;0.0946;0.0879;6.81e+04;5.78e+04;2.12e+03;2.36;58.9;0.401;10;46.7;25.6;73.8;0;0.594;0;0;0;0;0;187;27.2;0.401;1.15;0.347;0.667;0.178;1.59;0.888;0.9;5.24e-06;4.67e-05; 39200;12;0;0.0276;0.0229;48;0.4;1.2;0.333;0.667;0.0943;1.4;0.933;0.91;2.78e-06;4.13e-05; 49760;0;54;0.0265;0.0263;49;0.00149;1.18;0.00126;0.667;0.107;2.8;0.962;0.0467;0.000849;0.0222; 42880;0;3;0.0187;0.0185;55;7.47e-05;0.38;0.000197;0.667;0.0203;0.0807;0.748;0.156;0.0032;0.0127; 29440;0;2;0.0217;0.0201;53;6.8;5.6;3.31;  0%;  0%;  0%;3.87;1.27;6.44;  0%;  0%;  0%;5.4;7.03;1.08;  0%;  0%;  0%;1.17;1.22;3.52;  0%;  0%;  0%;52.1;47.9;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.19;99.8;0;0;0;0;0;0;0;0.0295;97.6;0;2.38;0;0;0;0;0;56.4;55;38.3;37.7;6.85 ;7.22 ;6.88 ;6.3 ;
2017-09-04;01:53:56.937;0.201;1.18;0.17;0.667;0.421;5.89;0.928;0.83;6.19e-06;8.65e-05;0.0963;0.0898;6.81e+04;5.78e+04;2.12e+03;2.35;58.8;0.401;10;50;25.6;73.2;0;1.24;0;0;0;0;0;187;27.8;0.401;1.15;0.347;0.667;0.191;1.59;0.88;0.9;5.6e-06;4.69e-05; 39040;12;0;0.0279;0.023;48;0.4;1.2;0.333;0.667;0.0973;1.41;0.931;0.91;2.87e-06;4.14e-05; 49840;0;55;0.0273;0.0276;49;0.00148;1.11;0.00134;0.667;0.11;2.8;0.961;0.0465;0.000874;0.0223; 42800;0;2;0.019;0.0188;55;7.8e-05;0.269;0.000289;0.667;0.0232;0.0878;0.735;0.156;0.00351;0.0133; 29680;0;1;0.0221;0.0204;53;7.69;5.78;3.46;  0%;  0%;  0%;4.01;1.36;7.28;  0%;  0%;  0%;5.44;7.14;1.33;  0%;  0%;  0%;1.56;1.32;3.66;  0%;  0%;  0%;52.1;47.9;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.201;97.3;0;2.55;0;0;0;0;0;0.0434;97.5;0;2.42;0;0;0;0;0;56.4;55;38.1;37.7;6.94 ;7.44 ;6.92 ;6.52 ;
2017-09-04;01:53:57.947;0.2;1.2;0.167;0.667;0.4;5.85;0.932;0.831;5.89e-06;8.6e-05;0.0948;0.0882;6.8e+04;5.66e+04;2.12e+03;2.4;60.1;0.401;10;46.6;25;75;0;0;0;0;0;0;0;187;27.5;0.4;1.2;0.333;0.667;0.18;1.57;0.885;0.901;5.31e-06;4.63e-05; 39520;15;3;0.028;0.0232;47;0.4;1.2;0.333;0.667;0.093;1.4;0.934;0.91;2.74e-06;4.13e-05; 50000;0;54;0.0266;0.0264;49;0.00148;1.19;0.00124;0.667;0.104;2.79;0.963;0.0462;0.000833;0.0223; 42800;0;1;0.0186;0.0183;55;8.13e-05;0.447;0.000182;0.667;0.0229;0.088;0.74;0.168;0.00332;0.0128; 29360;0;1;0.0216;0.0203;53;6.78;5.29;3.45;  0%;  0%;  0%;3.9;1.28;6.37;  0%;  0%;  0%;5.4;6.74;1.21;  0%;  0%;  0%;1.19;1.28;3.74;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.185;99.8;0;0;0;0;0;0;0;0.0273;100;0;0;0;0;0;0;0;56.4;54.9;38.3;37.7;7.07 ;7.35 ;6.69 ;6.39 ;
2017-09-04;01:53:58.956;0.2;1.2;0.167;0.667;0.393;5.87;0.933;0.83;5.78e-06;8.64e-05;0.0945;0.0879;6.8e+04;5.66e+04;2.12e+03;2.4;60;0.401;10;46.1;25;74.7;0;0.256;0;0;0;0;0;187;27.5;0.4;1.2;0.333;0.667;0.175;1.57;0.889;0.901;5.15e-06;4.63e-05; 39520;12;1;0.0278;0.0231;48;0.4;1.2;0.333;0.667;0.0939;1.41;0.933;0.91;2.77e-06;4.15e-05; 50000;0;57;0.0265;0.0264;49;0.00149;1.15;0.0013;0.667;0.106;2.81;0.962;0.0465;0.000836;0.0222; 42800;0;1;0.0187;0.0184;55;7.49e-05;0.34;0.00022;0.667;0.0182;0.0786;0.768;0.172;0.00287;0.0124; 29280;0;1;0.0215;0.02;53;6.82;5.55;3.05;  0%;  0%;  0%;3.83;1.22;6.41;  0%;  0%;  0%;5.38;6.92;1.17;  0%;  0%;  0%;1.34;1.19;3.26;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.196;98.8;0;1.03;0;0;0;0;0;0.033;100;0;0;0;0;0;0;0;56.4;55;38.2;37.8;7.02 ;7.37 ;6.7 ;6.38 ;
2017-09-04;01:53:59.966;0.2;1.2;0.167;0.667;0.405;5.86;0.931;0.831;5.96e-06;8.61e-05;0.0952;0.0881;6.8e+04;5.66e+04;2.12e+03;2.4;60.1;0.401;10;47.2;25;74.3;0;0.618;0;0;0;0;0;187;27.7;0.4;1.2;0.333;0.667;0.176;1.56;0.888;0.902;5.18e-06;4.61e-05; 39600;17;0;0.028;0.0232;48;0.4;1.2;0.333;0.667;0.0916;1.4;0.935;0.91;2.7e-06;4.13e-05; 49840;0;55;0.0265;0.026;49;0.00148;1.17;0.00127;0.667;0.109;2.79;0.961;0.0464;0.000867;0.0223; 42800;0;1;0.0191;0.0189;55;8.33e-05;0.415;0.000201;0.667;0.0288;0.0946;0.695;0.149;0.00408;0.0134; 29440;0;1;0.0215;0.0201;53;6.51;5.37;3.46;  0%;  0%;  0%;3.81;1.35;6.08;  0%;  0%;  0%;5.28;6.99;1.47;  0%;  0%;  0%;1.91;1.38;3.57;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.19;99.8;0;0;0;0;0;0;0;0.0301;97.5;0;2.47;0;0;0;0;0;56.5;55;38.3;37.7;7.07 ;7.31 ;6.94 ;6.4 ;
2017-09-04;01:54:00.976;0.2;1.2;0.167;0.667;0.401;5.84;0.931;0.831;5.9e-06;8.59e-05;0.095;0.0869;6.8e+04;5.66e+04;2.12e+03;2.4;60;0.401;10;46.1;25;75;0;0;0;0;0;0;0;187;26.8;0.4;1.2;0.333;0.667;0.166;1.55;0.893;0.903;4.89e-06;4.57e-05; 39680;13;0;0.0284;0.0233;47;0.4;1.2;0.333;0.667;0.0953;1.4;0.932;0.911;2.81e-06;4.12e-05; 50000;0;56;0.0264;0.0256;49;0.00148;1.17;0.00127;0.667;0.111;2.8;0.96;0.0463;0.000881;0.0223; 42800;0;0;0.0189;0.0185;55;7.91e-05;0.434;0.000182;0.667;0.029;0.0925;0.686;0.162;0.00433;0.0138; 29280;1;0;0.0214;0.0195;53;6.3;5.4;3;  0%;  0%;  0%;3.78;1.46;5.89;  0%;  0%;  0%;5.27;6.78;1.5;  0%;  0%;  0%;1.98;1.5;3.2;  0%;  0%;  0%;50;50;0;0;0;0;0;0;0;49.9;50.1;0;0;0;0;0;0;0;0.19;99.8;0;0;0;0;0;0;0;0.0273;100;0;0;0;0;0;0;0;56.4;54.9;38.3;37.8;6.92 ;7.1 ;6.66 ;6.14 ;
