System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;23:43:56.946;0.118;0.91;0.129;0.991;11;20.9;0.474;0.552;0.000275;0.000524;0.961;1.17;3.99e+04;4.39e+04;2.12e+03;1.82;45.5;0.236;5.89;1.71e+03;13.1;9.84;0.0816;77;0;31.6;0;0;0;219;39.9;0.253;0.896;0.283;0.995;6.82;10.2;0.331;0.523;0.000317;0.000474; 44480;198;494;0.274;0.278;45;0.207;0.999;0.208;0.994;2.37;5.17;0.542;0.684;0.000135;0.000295; 41440;112;280;0.208;0.283;45;0.00871;0.377;0.0231;0.962;1.16;3.64;0.682;0.425;0.00157;0.00493; 43200;28;95;0.215;0.281;52;0.00172;0.372;0.00461;0.801;0.66;1.91;0.655;0.273;0.00453;0.0131; 39280;41;19;0.264;0.329;51;270;177;187;  1%;  0%;  0%;89.8;99.1;285;  0%;  0%;  1%;62.8;178;55.8;  0%;  0%;  0%;43.8;63.1;195;  0%;  0%;  1%;28.4;6.21;0.052;65.3;0;29.8;0;0;0;20.9;13.4;0.0758;65.7;0;20.3;0;0;0;2.4;7.32;0.0596;90.2;0;18.3;0;0;0;0.575;12.4;0.139;86.8;0;58;0;0;0;62.7;60.2;50.3;45.5;10 ;10.3 ;10.4 ;9.17 ;
2017-09-03;23:43:57.954;0.478;0.956;0.5;1;19.7;26.8;0.264;0.742;0.000121;0.000165;1.32;2.1;1.62e+05;1.7e+05;2.12e+03;1.91;47.8;0.957;23.9;2.49e+03;50;28.3;0;21.7;0;18.4;0;0;0;346;43.2;0.955;0.955;1;1;11.4;13.9;0.175;0.736;0.000141;0.000171; 42080;109;644;0.333;0.425;43;0.957;0.957;1;1;8.15;10.6;0.232;0.783;0.0001;0.000131; 44320;514;864;0.381;0.543;43;0.00101;1.04;0.000971;0.885;0.0632;2.09;0.97;0.0398;0.000737;0.0244; 43680;0;4;0.297;0.551;51;0.000115;0.502;0.000229;0.943;0.0513;0.211;0.757;0.0605;0.00528;0.0218; 39120;1;4;0.31;0.581;50;445;232;235;  2%;  1%;  1%;147;165;450;  0%;  0%;  2%;152;242;5.27;  0%;  1%;  0%;6.02;169;244;  0%;  0%;  1%;100;0;0;0;0;0;0;0;0;100;0.000927;0;0;0;0;0;0;0;0.11;53.2;0;46.7;0;35.1;0;0;0;0.0242;60;0;40;0;38.6;0;0;0;111;110;64.6;60.8;10.9 ;11.3 ;10.9 ;10.1 ;
2017-09-03;23:43:58.954;0.478;0.956;0.5;1;19.4;26.4;0.263;0.741;0.000121;0.000164;1.32;2.1;1.61e+05;1.68e+05;2.1e+03;1.91;47.8;0.957;23.9;2.47e+03;50;38.9;0;11.1;0;0;0;0;0;354;44;0.955;0.955;1;1;11.3;13.7;0.176;0.733;0.000141;0.000171; 42720;106;666;0.328;0.42;42;0.957;0.957;1;1;8.05;10.5;0.233;0.782;0.0001;0.000131; 43600;506;891;0.376;0.537;42;0.00102;1.14;0.000899;1;0.0403;2;0.98;0.0455;0.000468;0.0233; 43600;1;3;0.304;0.561;51;9.34e-05;0.487;0.000192;1;0.0307;0.136;0.774;0.0915;0.00392;0.0173; 39280;1;6;0.312;0.58;50;440;233;231;  2%;  1%;  1%;147;163;444;  0%;  0%;  2%;152;243;4.53;  0%;  1%;  0%;4.75;167;240;  0%;  0%;  1%;100;0.000475;0;0;0;0;0;0;0;100;0.000495;0;0;0;0;0;0;0;0.0899;81.4;0;18.5;0;0;0;0;0;0.0192;74;0;26;0;0;0;0;0;110;110;70.5;64;10.8 ;11.2 ;11.3 ;10.7 ;
2017-09-03;23:43:59.960;0.478;0.956;0.5;1;19.4;26.2;0.259;0.738;0.00012;0.000162;1.32;2.1;1.62e+05;1.69e+05;2.12e+03;1.91;47.8;0.957;23.9;2.47e+03;50;50;0;0;0;0;0;0;0;366;44.3;0.955;0.955;1;1;11.2;13.7;0.177;0.729;0.000139;0.000169; 42480;114;658;0.328;0.422;41;0.957;0.957;1;1;8.13;10.6;0.232;0.778;0.0001;0.000131; 44000;533;889;0.377;0.536;41;0.000997;1.34;0.000745;1;0.0347;1.88;0.982;0.0513;0.000411;0.0223; 43680;1;0;0.303;0.559;50;8.14e-05;0.557;0.000146;1;0.0355;0.106;0.666;0.115;0.00515;0.0154; 39280;0;0;0.314;0.585;50;439;232;233;  2%;  1%;  1%;147;164;444;  0%;  0%;  2%;152;241;4.26;  0%;  1%;  0%;4.62;168;241;  0%;  0%;  1%;100;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.0745;99.9;0;0;0;0;0;0;0;0.0146;100;0;0;0;0;0;0;0;111;111;74.3;69.3;10.9 ;11.2 ;11.5 ;10.7 ;
2017-09-03;23:44:00.967;0.478;0.956;0.5;1;19.4;26.2;0.259;0.737;0.00012;0.000162;1.32;2.1;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.47e+03;50;50;0;0;0;0;0;0;0;366;44.4;0.955;0.955;1;1;11.3;13.7;0.176;0.726;0.00014;0.00017; 43360;119;651;0.327;0.42;41;0.957;0.957;1;1;8.02;10.5;0.235;0.779;9.91e-05;0.00013; 43840;534;838;0.375;0.535;41;0.000995;1.36;0.000734;1;0.0335;1.87;0.982;0.0527;0.000398;0.0222; 43760;0;3;0.303;0.557;50;7.96e-05;0.592;0.000134;1;0.0333;0.101;0.671;0.137;0.00495;0.0151; 39120;0;0;0.314;0.586;50;440;233;235;  2%;  1%;  1%;145;163;444;  0%;  0%;  2%;150;243;4.33;  0%;  1%;  0%;4.68;167;243;  0%;  0%;  1%;100;0.000377;0;0;0;0;0;0;0;100;0.000326;0;0;0;0;0;0;0;0.0734;99.9;0;0;0;0;0;0;0;0.0134;100;0;0;0;0;0;0;0;111;111;74.3;69.5;10.8 ;11.3 ;11.5 ;10.8 ;
2017-09-03;23:44:01.974;0.478;0.956;0.5;1;19.4;26.2;0.26;0.738;0.00012;0.000162;1.32;2.1;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.48e+03;50;49.6;0;0.388;0;0;0;0;0;366;44.4;0.955;0.955;1;1;11.3;13.7;0.176;0.727;0.000139;0.000169; 43200;130;672;0.326;0.421;40;0.957;0.957;1;1;8.09;10.6;0.234;0.779;0.0001;0.000131; 44560;546;930;0.374;0.536;41;0.001;1.39;0.000722;1;0.0267;1.88;0.986;0.0528;0.000315;0.0222; 43760;0;2;0.302;0.556;50;7.41e-05;0.618;0.00012;1;0.0219;0.0901;0.757;0.149;0.00349;0.0144; 39280;0;1;0.316;0.589;50;442;230;235;  2%;  1%;  1%;148;164;446;  0%;  0%;  2%;153;240;4.02;  0%;  1%;  0%;4.13;169;243;  0%;  0%;  1%;100;4.68e-05;0;0;0;0;0;0;0;100;0.000113;0;0;0;0;0;0;0;0.0722;98.4;0;1.55;0;0;0;0;0;0.012;100;0;0;0;0;0;0;0;111;111;74.1;69.5;10.9 ;11.3 ;11.5 ;10.8 ;
2017-09-03;23:44:02.981;0.478;0.956;0.5;1;19.6;26.4;0.259;0.736;0.000121;0.000163;1.33;2.12;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.5e+03;50;49.6;0;0.387;0;0;0;0;0;366;44.3;0.955;0.955;1;1;11.4;13.8;0.175;0.724;0.000141;0.000171; 43040;111;665;0.331;0.427;40;0.957;0.957;1;1;8.13;10.6;0.233;0.778;0.0001;0.000131; 44480;551;958;0.377;0.54;41;0.00101;1.36;0.000745;1;0.0306;1.9;0.984;0.0514;0.000358;0.0222; 43760;0;3;0.302;0.557;50;8.39e-05;0.61;0.000138;1;0.0239;0.112;0.786;0.13;0.00336;0.0157; 39120;1;0;0.32;0.596;49;447;230;236;  2%;  1%;  1%;148;168;451;  0%;  0%;  2%;153;240;4.19;  0%;  1%;  0%;4.33;173;244;  0%;  0%;  1%;100;0.000245;0;0;0;0;0;0;0;100;0.000238;0;0;0;0;0;0;0;0.0745;98.4;0;1.55;0;0;0;0;0;0.0138;100;0;0;0;0;0;0;0;111;111;73.9;69.5;10.8 ;11.3 ;11.5 ;10.7 ;
2017-09-03;23:44:03.988;0.478;0.956;0.5;1;19.4;26.2;0.258;0.736;0.00012;0.000162;1.32;2.1;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.48e+03;50;49.6;0;0.388;0;0;0;0;0;366;44.3;0.955;0.955;1;1;11.4;13.8;0.174;0.721;0.000141;0.00017; 43600;111;672;0.329;0.421;40;0.957;0.957;1;1;8.01;10.5;0.236;0.781;9.9e-05;0.000129; 44400;539;898;0.376;0.54;40;0.001;1.38;0.000724;1;0.0284;1.88;0.985;0.0504;0.000336;0.0222; 44000;0;2;0.3;0.552;50;7.59e-05;0.592;0.000128;1;0.0267;0.0906;0.706;0.147;0.00416;0.0141; 38960;0;1;0.317;0.591;49;442;232;234;  2%;  1%;  1%;142;167;447;  0%;  0%;  2%;147;242;4.07;  0%;  1%;  0%;4.35;171;243;  0%;  0%;  1%;100;0.000138;0;0;0;0;0;0;0;100;0.000167;0;0;0;0;0;0;0;0.0724;98.4;0;1.55;0;0;0;0;0;0.0128;100;0;0;0;0;0;0;0;111;111;73.9;69.6;10.9 ;11.3 ;11.4 ;10.7 ;
2017-09-03;23:44:04.995;0.478;0.956;0.5;1;19.5;26.4;0.26;0.735;0.000121;0.000163;1.33;2.11;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.48e+03;50;49.6;0;0.388;0;0;0;0;0;366;44.3;0.955;0.955;1;1;11.3;13.7;0.174;0.723;0.00014;0.00017; 43360;104;697;0.331;0.426;40;0.957;0.957;1;1;8.1;10.6;0.234;0.779;0.0001;0.000131; 44320;564;924;0.377;0.54;40;0.000997;1.38;0.000722;1;0.0281;1.87;0.985;0.0501;0.000333;0.0222; 44080;0;1;0.3;0.552;49;0.000346;1.32;0.000263;1;0.0303;0.174;0.825;0.19;0.00104;0.00593; 39200;0;2;0.317;0.592;49;446;228;234;  2%;  1%;  1%;147;167;451;  0%;  0%;  2%;152;238;4.11;  0%;  1%;  0%;4.15;171;242;  0%;  0%;  1%;100;0.000263;0;0;0;0;0;0;0;100;0.000242;0;0;0;0;0;0;0;0.0722;98.4;0;1.55;0;0;0;0;0;0.0263;100;0;0;0;0;0;0;0;111;111;74;69.6;10.9 ;11.3 ;11.4 ;10.8 ;
2017-09-03;23:44:05.001;0.478;0.956;0.5;1;19.5;26.4;0.259;0.737;0.000121;0.000163;1.33;2.11;1.62e+05;1.69e+05;2.11e+03;1.91;47.8;0.957;23.9;2.49e+03;50;50;0;0;0;0;0;0;0;367;44.3;0.955;0.955;1;1;11.4;13.8;0.175;0.725;0.000141;0.000171; 42960;107;673;0.33;0.426;40;0.957;0.957;1;1;8.12;10.6;0.234;0.778;0.0001;0.000131; 44400;551;926;0.381;0.545;40;0.001;1.4;0.000714;1;0.0227;1.88;0.988;0.0505;0.000268;0.0222; 43840;0;1;0.303;0.558;50;6.99e-05;0.623;0.000112;1;0.0174;0.0799;0.782;0.158;0.00294;0.0135; 39280;0;2;0.314;0.584;49;448;231;231;  2%;  1%;  1%;148;165;454;  0%;  0%;  2%;153;241;3.99;  0%;  1%;  0%;4.09;169;240;  0%;  0%;  1%;100;0.000137;0;0;0;0;0;0;0;100;0.000218;0;0;0;0;0;0;0;0.0714;99.9;0;0;0;0;0;0;0;0.0112;100;0;0;0;0;0;0;0;111;111;74.3;69.6;10.8 ;11.2 ;11.5 ;10.7 ;
