System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-03;23:11:42.529;0.129;0.883;0.146;1.23;27.4;41;0.333;0.433;0.000558;0.000836;2.57;3.58;4.91e+04;5.56e+04;2.11e+03;1.77;44.1;0.257;6.43;4.79e+03;11.8;17.3;0.126;70.8;0;24.6;0;0;0;311;50.5;0.201;0.849;0.236;1.23;11.2;15.5;0.276;0.39;0.000608;0.00084; 51040;307;744;0.656;0.778;47;0.226;0.902;0.251;1.23;12.9;16.7;0.23;0.42;0.000596;0.000774; 47520;378;1002;0.668;0.853;49;0.0104;0.647;0.016;1.15;1.35;4.16;0.676;0.31;0.00134;0.00415; 38480;28;97;0.612;0.962;53;0.082;0.96;0.0855;1.24;1.92;4.65;0.587;0.614;0.000241;0.000583; 16160;146;279;0.63;0.991;52;697;360;384;  3%;  1%;  1%;389;375;659;  1%;  1%;  3%;380;369;116;  1%;  1%;  0%;122;447;494;  0%;  2%;  2%;19.2;19;0.285;61.6;0;16.9;0;0;0;20.4;5.92;0.0937;73.6;0;38.2;0;0;0;1.39;6.73;0.106;91.8;0;43.4;0;0;0;6.9;37.3;0.0254;55.8;0;0;0;0;0;86.5;82;65.6;77;12.7 ;12.5 ;12.5 ;12.8 ;
2017-09-03;23:11:43.537;1.06;0.982;1.08;1.24;62.4;73.5;0.15;0.719;0.00017;0.0002;3.9;6.13;3.68e+05;3.75e+05;2.43e+03;1.96;49.1;2.13;53.1;7.55e+03;87.4;9.6;0;2.98;0;0;0;0;0;547;51.2;1.18;0.955;1.24;1.24;23.5;26.5;0.113;0.671;0.000221;0.000249; 41120;275;473;0.972;1.4;43;1.18;0.956;1.24;1.24;28.6;31.5;0.0902;0.626;0.00028;0.000307; 42480;449;1529;0.993;1.37;45;1.02;0.986;1.04;1.24;7.42;10.4;0.289;0.818;8.51e-05;0.00012; 48160;103;330;1.01;1.71;46;0.853;1.06;0.802;1.24;2.92;5.08;0.426;0.872;4.04e-05;7.03e-05; 35840;10;41;0.934;1.64;47;1.04e+03;608;477;  5%;  3%;  2%;765;639;1.03e+03;  3%;  3%;  5%;792;610;220;  4%;  3%;  1%;224;662;489;  1%;  3%;  2%;100;0.0182;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;83.9;9.88;0;6.21;0;0;0;0;0;64.8;29.3;0;5.94;0;0;0;0;0;140;140;140;127;12.5 ;12.9 ;13.7 ;12 ;
2017-09-03;23:11:44.536;1.18;0.956;1.24;1.24;55.7;66.8;0.167;0.746;0.00014;0.000168;3.71;5.86;3.97e+05;4.15e+05;2.1e+03;1.91;47.8;2.37;59.1;7.2e+03;99.9;0.106;0;0;0;0;0;0;0;563;50.6;1.18;0.956;1.24;1.24;12;14.8;0.191;0.766;0.000121;0.000149; 41200;55;6;0.912;1.44;42;1.18;0.957;1.24;1.24;16.6;19.4;0.143;0.719;0.000167;0.000195; 42320;123;777;0.946;1.47;44;1.19;0.957;1.24;1.24;12.6;15.3;0.18;0.771;0.000127;0.000154; 48960;165;514;0.987;1.58;45;1.18;0.956;1.23;1.24;14.5;17.3;0.161;0.73;0.000147;0.000175; 38880;28;108;0.867;1.37;45;615;532;534;  3%;  2%;  2%;655;673;607;  3%;  3%;  3%;665;527;603;  3%;  2%;  3%;592;671;521;  3%;  3%;  2%;100;0.0137;0;0;0;0;0;0;0;100;0.000328;0;0;0;0;0;0;0;100;0.000192;0;0;0;0;0;0;0;99.6;0.411;0;0;0;0;0;0;0;139;140;147;138;12.4 ;12.9 ;13.6 ;11.7 ;
2017-09-03;23:11:45.543;1.18;0.956;1.24;1.24;56.1;67.2;0.166;0.741;0.00014;0.000168;3.74;5.91;4e+05;4.19e+05;2.12e+03;1.91;47.8;2.37;59.1;7.26e+03;99.9;0.056;0;0;0;0;0;0;0;567;51;1.18;0.956;1.24;1.24;12;14.8;0.191;0.761;0.00012;0.000148; 42640;52;15;0.916;1.44;41;1.18;0.957;1.24;1.24;16.6;19.4;0.143;0.715;0.000166;0.000193; 42960;109;801;0.953;1.49;43;1.18;0.957;1.24;1.24;12.6;15.4;0.181;0.761;0.000126;0.000154; 48880;155;545;0.994;1.6;44;1.18;0.954;1.24;1.24;14.9;17.6;0.156;0.73;0.000149;0.000176; 38560;28;98;0.875;1.38;44;616;527;543;  3%;  2%;  2%;657;682;608;  3%;  3%;  3%;669;522;619;  3%;  2%;  3%;608;680;530;  3%;  3%;  2%;100;0.0197;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;99.8;0.204;0;0;0;0;0;0;0;100;0.000275;0;0;0;0;0;0;0;140;141;146;140;12.5 ;13 ;13.6 ;11.8 ;
2017-09-03;23:11:46.550;1.18;0.956;1.24;1.24;56.2;67.4;0.166;0.741;0.000141;0.000169;3.75;5.92;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59;7.28e+03;99.8;0.205;0;0;0;0;0;0;0;563;51.1;1.18;0.955;1.24;1.24;12.1;14.9;0.192;0.762;0.000121;0.000149; 43680;45;11;0.923;1.46;40;1.18;0.956;1.24;1.24;16.6;19.4;0.144;0.715;0.000166;0.000194; 42480;117;772;0.951;1.48;42;1.17;0.956;1.23;1.24;12.6;15.3;0.181;0.76;0.000126;0.000154; 49120;171;547;0.995;1.6;44;1.18;0.954;1.24;1.24;14.9;17.7;0.155;0.729;0.000149;0.000177; 38640;27;102;0.88;1.38;44;617;529;550;  3%;  2%;  2%;652;682;609;  3%;  3%;  3%;665;524;620;  3%;  2%;  3%;609;680;538;  3%;  3%;  2%;100;0.000425;0;0;0;0;0;0;0;100;0.00042;0;0;0;0;0;0;0;99.2;0.819;0;0;0;0;0;0;0;100;0.000253;0;0;0;0;0;0;0;140;142;141;140;12.6 ;13 ;13.7 ;11.8 ;
2017-09-03;23:11:47.558;1.18;0.955;1.24;1.24;56.4;67.6;0.165;0.739;0.000141;0.000169;3.76;5.92;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59;7.3e+03;99.8;0.203;0;0;0;0;0;0;0;563;51.1;1.18;0.955;1.24;1.24;12.3;15.2;0.19;0.757;0.000123;0.000152; 47520;53;23;0.926;1.45;40;1.18;0.956;1.24;1.24;16.5;19.3;0.144;0.715;0.000165;0.000193; 45040;131;772;0.958;1.49;41;1.17;0.956;1.23;1.24;12.6;15.4;0.18;0.759;0.000127;0.000154; 48320;150;550;1;1.6;43;1.18;0.954;1.24;1.24;14.9;17.7;0.154;0.727;0.00015;0.000177; 38960;22;104;0.879;1.38;43;622;535;554;  3%;  2%;  2%;655;679;614;  3%;  3%;  3%;666;532;618;  3%;  2%;  3%;606;675;542;  3%;  3%;  2%;100;0.0199;0;0;0;0;0;0;0;100;0.000284;0;0;0;0;0;0;0;99.2;0.792;0;0;0;0;0;0;0;100;0.000283;0;0;0;0;0;0;0;141;141;141;140;12.5 ;13.1 ;13.7 ;11.8 ;
2017-09-03;23:11:48.565;1.18;0.956;1.24;1.24;55.9;67;0.166;0.741;0.00014;0.000168;3.73;5.89;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59;7.24e+03;99.8;0.192;0;0;0;0;0;0;0;563;51.1;1.18;0.955;1.24;1.24;12;14.8;0.191;0.761;0.00012;0.000148; 47520;45;13;0.916;1.45;40;1.18;0.956;1.24;1.24;16.4;19.2;0.145;0.717;0.000164;0.000192; 44080;115;744;0.951;1.48;41;1.18;0.956;1.23;1.24;12.6;15.4;0.18;0.76;0.000127;0.000155; 48160;161;518;0.996;1.6;43;1.18;0.954;1.24;1.24;14.8;17.5;0.156;0.728;0.000148;0.000176; 39600;26;120;0.868;1.36;43;618;529;543;  3%;  2%;  2%;657;674;611;  3%;  3%;  3%;665;524;615;  3%;  2%;  3%;604;672;531;  3%;  3%;  2%;100;9.01e-05;0;0;0;0;0;0;0;100;0.000124;0;0;0;0;0;0;0;99.2;0.768;0;0;0;0;0;0;0;100;0.000222;0;0;0;0;0;0;0;141;141;141;140;12.5 ;13.1 ;13.7 ;11.8 ;
2017-09-03;23:11:49.572;1.18;0.956;1.24;1.24;56.1;67.3;0.166;0.74;0.00014;0.000168;3.74;5.9;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59.1;7.26e+03;99.8;0.179;0;0;0;0;0;0;0;564;51;1.18;0.955;1.24;1.24;12.1;14.9;0.191;0.76;0.000121;0.000149; 47440;43;11;0.923;1.45;39;1.18;0.956;1.24;1.24;16.4;19.2;0.146;0.717;0.000163;0.000191; 44960;113;737;0.951;1.48;40;1.18;0.957;1.23;1.24;12.7;15.5;0.18;0.759;0.000128;0.000156; 48240;160;494;1;1.6;42;1.18;0.954;1.24;1.24;14.9;17.7;0.155;0.727;0.00015;0.000177; 39440;22;104;0.868;1.36;42;617;530;549;  3%;  2%;  2%;663;670;611;  3%;  3%;  3%;671;523;619;  3%;  2%;  3%;606;667;535;  3%;  3%;  2%;100;0.000269;0;0;0;0;0;0;0;100;0.0129;0;0;0;0;0;0;0;99.3;0.702;0;0;0;0;0;0;0;100;0.000295;0;0;0;0;0;0;0;141;141;141;141;12.6 ;13 ;13.6 ;11.9 ;
2017-09-03;23:11:50.579;1.18;0.956;1.24;1.24;56.1;67.2;0.165;0.74;0.00014;0.000168;3.75;5.91;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59.1;7.28e+03;99.8;0.169;0;0;0;0;0;0;0;564;51;1.18;0.955;1.24;1.24;12.1;15;0.19;0.76;0.000121;0.00015; 47680;46;15;0.921;1.45;39;1.18;0.957;1.24;1.24;16.4;19.2;0.145;0.716;0.000164;0.000192; 44160;116;779;0.95;1.48;40;1.18;0.957;1.23;1.24;12.6;15.4;0.179;0.759;0.000127;0.000155; 48800;159;486;1;1.61;42;1.18;0.954;1.24;1.24;14.9;17.7;0.155;0.727;0.000149;0.000177; 39360;20;109;0.873;1.37;42;618;532;549;  3%;  2%;  2%;663;676;611;  3%;  3%;  3%;672;526;618;  3%;  2%;  3%;605;673;536;  3%;  3%;  2%;100;0.00347;0;0;0;0;0;0;0;100;0.0286;0;0;0;0;0;0;0;99.4;0.644;0;0;0;0;0;0;0;100;0.000193;0;0;0;0;0;0;0;141;141;141;141;12.5 ;13.1 ;13.6 ;11.7 ;
2017-09-03;23:11:51.587;1.18;0.956;1.24;1.24;56.1;67.2;0.165;0.74;0.00014;0.000168;3.74;5.91;4e+05;4.18e+05;2.12e+03;1.91;47.8;2.36;59.1;7.27e+03;99.8;0.156;0;0;0;0;0;0;0;563;50.8;1.18;0.956;1.24;1.24;12.1;14.9;0.189;0.759;0.00012;0.000149; 48000;43;17;0.92;1.45;38;1.18;0.957;1.24;1.24;16.5;19.2;0.144;0.713;0.000164;0.000192; 44720;138;804;0.948;1.48;39;1.18;0.957;1.23;1.24;12.6;15.4;0.181;0.76;0.000127;0.000155; 48640;164;513;0.998;1.6;41;1.18;0.954;1.24;1.24;14.9;17.6;0.155;0.728;0.000149;0.000176; 39360;19;103;0.878;1.38;41;613;529;547;  3%;  2%;  2%;661;683;605;  3%;  3%;  3%;672;523;616;  3%;  2%;  3%;605;680;535;  3%;  3%;  2%;100;0.000161;0;0;0;0;0;0;0;100;0.0364;0;0;0;0;0;0;0;99.4;0.577;0;0;0;0;0;0;0;100;0.0099;0;0;0;0;0;0;0;140;141;141;141;12.5 ;13 ;13.6 ;11.8 ;
