System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;18:33:23.319;0.0827;0.714;0.116;0.853;10.2;17.4;0.414;0.201;0.000363;0.00062;1.71;2.62;2.81e+04;3.93e+04;2.12e+03;1.43;35.7;0.165;4.13;3.09e+03;13.6;21.5;0.0388;64.9;0;16.8;0;0;0;154;38.3;0.0457;0.707;0.0647;0.848;1.27;4.12;0.693;0.174;0.000326;0.00106; 51600;148;243;0.444;0.649;49;0.146;0.717;0.204;0.853;6.11;7.75;0.211;0.102;0.000493;0.000625; 51120;448;1292;0.373;0.585;50;0.0968;0.709;0.137;0.853;1.9;3.48;0.455;0.287;0.000231;0.000423; 52000;195;531;0.424;0.689;52;0.042;0.721;0.0583;0.857;0.928;2.05;0.548;0.373;0.00026;0.000576; 51520;95;173;0.469;0.699;49;288;159;139;  1%;  0%;  0%;468;372;404;  2%;  1%;  2%;339;209;208;  1%;  1%;  1%;139;234;134;  0%;  1%;  0%;7.62;18.7;0.0466;73.6;0;18.3;0;0;0;23.9;27.1;0.0429;48.9;0;26.6;0;0;0;16;18.9;0.028;65;0;22.4;0;0;0;6.8;21.3;0.0375;71.8;0;0;0;0;0;36;42.4;39.6;35.8;9.6 ;9.62 ;10 ;9.02 ;
2017-09-04;18:33:24.330;0.309;0.734;0.421;0.857;23.9;27.4;0.128;0.0519;0.000228;0.000261;4.68;7.62;1.05e+05;1.43e+05;2.12e+03;1.47;36.7;0.618;15.4;9.51e+03;49.1;49.3;0.0025;1.61;0;0;0;0;0;236;50.1;0.293;0.734;0.399;0.857;4.99;7.1;0.297;0.0599;0.0002;0.000285; 51440;566;1624;1.19;2;49;0.315;0.734;0.429;0.857;6.39;6.8;0.0615;0.0465;0.000239;0.000254; 51760;621;1845;1.15;1.87;49;0.315;0.735;0.429;0.857;6.42;6.95;0.0759;0.0456;0.00024;0.00026; 52560;630;1912;1.17;1.87;52;0.313;0.734;0.426;0.857;6.14;6.59;0.0682;0.0554;0.000231;0.000248; 50960;581;1808;1.17;1.88;49;755;761;758;  3%;  3%;  3%;814;818;776;  4%;  4%;  3%;815;782;818;  4%;  4%;  4%;807;820;786;  4%;  4%;  4%;46.6;47.5;0.01;5.88;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;49.6;49.8;0;0.575;0;0;0;0;0;58;58.1;60.4;59.8;12.5 ;12.7 ;13.3 ;11.6 ;
2017-09-04;18:33:25.330;0.315;0.734;0.429;0.857;24.2;27;0.106;0.0511;0.000228;0.000256;4.7;7.42;1.06e+05;1.44e+05;2.1e+03;1.47;36.7;0.63;15.7;9.74e+03;50.1;49.9;0;0;0;0;0;0;0;236;49.7;0.316;0.734;0.43;0.857;6.29;8.36;0.248;0.0512;0.000237;0.000315; 51280;606;1802;1.17;1.83;48;0.315;0.734;0.429;0.857;5.91;6.18;0.0428;0.0512;0.000224;0.000234; 52400;582;1790;1.17;1.84;49;0.315;0.734;0.429;0.857;5.97;6.24;0.043;0.0504;0.000226;0.000236; 50560;590;1875;1.18;1.89;51;0.315;0.734;0.429;0.857;5.98;6.25;0.0436;0.0515;0.000226;0.000237; 51200;595;1778;1.18;1.85;49;814;815;821;  4%;  4%;  4%;809;807;814;  4%;  4%;  4%;806;814;807;  4%;  4%;  4%;809;807;820;  4%;  4%;  4%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;59.1;57.5;59.8;59.5;12.2 ;12.7 ;13.2 ;11.5 ;
2017-09-04;18:33:26.340;0.315;0.734;0.429;0.857;24.4;27.3;0.106;0.0506;0.000228;0.000255;4.76;7.39;1.07e+05;1.46e+05;2.12e+03;1.47;36.7;0.63;15.7;9.87e+03;50.1;49.9;0;0;0;0;0;0;0;238;49.9;0.316;0.734;0.43;0.857;6.4;8.47;0.245;0.0498;0.000239;0.000316; 51200;619;1831;1.19;1.83;48;0.315;0.734;0.429;0.857;5.94;6.2;0.0423;0.0511;0.000222;0.000232; 51040;591;1793;1.18;1.85;49;0.315;0.734;0.429;0.857;6.02;6.28;0.0419;0.0505;0.000225;0.000235; 52160;612;1870;1.2;1.84;51;0.315;0.734;0.429;0.857;6.03;6.31;0.0442;0.0512;0.000226;0.000236; 50480;600;1783;1.2;1.88;49;827;827;834;  4%;  4%;  4%;823;813;822;  4%;  4%;  4%;819;825;815;  4%;  4%;  4%;820;816;828;  4%;  4%;  4%;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;59.8;58;60.4;60.1;12.3 ;12.7 ;13.2 ;11.7 ;
2017-09-04;18:33:27.350;0.302;0.734;0.412;0.857;22.8;25.7;0.113;0.0525;0.000222;0.00025;4.42;6.96;1.03e+05;1.4e+05;2.12e+03;1.47;36.7;0.605;15.1;9.17e+03;48.1;51.5;0;0.459;0;0;0;0;0;235;49;0.307;0.734;0.418;0.857;6.03;8;0.246;0.0524;0.000232;0.000307; 51760;594;1723;1.12;1.76;48;0.313;0.734;0.426;0.857;5.89;6.15;0.0421;0.0516;0.000222;0.000232; 50560;589;1811;1.09;1.73;49;0.289;0.734;0.393;0.857;5.31;5.66;0.0631;0.0528;0.000217;0.000231; 51440;537;1643;1.1;1.73;51;0.302;0.734;0.411;0.857;5.58;5.89;0.0529;0.0532;0.000218;0.00023; 51680;561;1716;1.11;1.73;48;783;765;772;  4%;  3%;  3%;771;776;792;  3%;  4%;  4%;741;746;740;  3%;  3%;  3%;743;760;776;  3%;  3%;  4%;48.8;51;0;0.256;0;0;0;0;0;49.7;50.3;0;0;0;0;0;0;0;45.9;53.6;0;0.557;0;0;0;0;0;48;51;0;1.02;0;0;0;0;0;59.2;57.9;59;59.2;12.2 ;12.5 ;13 ;11.4 ;
2017-09-04;18:33:28.362;0.0841;0.224;0.375;0.857;323;346;0.068;0.211;0.0113;0.0121;40.2;46.5;2.86e+04;1.27e+05;2.12e+03;0.449;11.2;0.168;4.2;6.33e+04;43.7;51.9;0;4.35;0;1.38;0;0;0;320;97.7;0.0834;0.216;0.385;0.857;80.6;86.7;0.0706;0.203;0.0114;0.0123; 50640;3379;11218;9.72;11;46;0.0898;0.236;0.38;0.857;80.8;86.5;0.0664;0.209;0.0106;0.0113; 51360;3437;11095;10.1;11.7;48;0.0802;0.222;0.361;0.857;80.5;86;0.0644;0.205;0.0118;0.0126; 51840;3416;11090;10.1;11.8;49;0.0829;0.222;0.373;0.857;80.9;87;0.0705;0.225;0.0115;0.0124; 48080;3459;11071;10.2;12;47;5.21e+03;5.06e+03;5.24e+03; 26%; 26%; 26%;5.41e+03;5.29e+03;5.22e+03; 27%; 27%; 26%;5.41e+03;5.06e+03;5.46e+03; 27%; 26%; 28%;5.46e+03;5.29e+03;5.25e+03; 28%; 27%; 27%;45;49.7;0;5.33;0;0;0;0;0;44.3;52.8;0;2.86;0;1.62;0;0;0;42.1;52.6;0;5.3;0;2.37;0;0;0;43.5;52.6;0;3.93;0;1.53;0;0;0;79.2;79.5;82.5;78.9;23.9 ;24.6 ;25.5 ;23.7 ;
2017-09-04;18:33:29.375;0.0973;0.229;0.424;0.857;690;1.73e+03;0.602;0.166;0.0209;0.0524;45.8;39.5;3.31e+04;1.44e+05;2.13e+03;0.459;11.5;0.195;4.86;6.94e+04;49.5;49.8;0;0.771;0;0;0;0;0;286;102;0.0979;0.228;0.429;0.857;173;432;0.599;0.166;0.0208;0.0519; 53440;3497;10641;11.5;9.86;45;0.0965;0.229;0.421;0.857;172;429;0.6;0.166;0.0209;0.0523; 52080;3476;10580;11.4;9.9;47;0.0973;0.231;0.421;0.857;173;435;0.604;0.166;0.0209;0.0526; 50960;3542;10629;11.4;9.81;47;0.0974;0.229;0.426;0.857;173;436;0.604;0.166;0.0209;0.0526; 52560;3460;10661;11.5;9.98;46;5.77e+03;5.73e+03;5.85e+03; 29%; 29%; 30%;5.72e+03;5.83e+03;5.76e+03; 29%; 29%; 29%;5.74e+03;5.76e+03;5.79e+03; 29%; 29%; 29%;5.8e+03;5.78e+03;5.86e+03; 29%; 29%; 30%;50;49.5;0;0.447;0;0;0;0;0;49.1;49.4;0;1.46;0;0;0;0;0;49.1;50;0;0.962;0;0;0;0;0;49.7;50.1;0;0.211;0;0;0;0;0;71.5;69.9;72.8;71.4;25.3 ;25.7 ;26.5 ;24.1 ;
2017-09-04;18:33:30.386;0.11;0.26;0.423;0.857;686;1.18e+03;0.417;0.148;0.0184;0.0315;48.5;22.6;3.74e+04;1.44e+05;2.13e+03;0.519;13;0.22;5.49;7.66e+04;49.3;49.6;0;1.06;0;0;0;0;0;288;92.8;0.111;0.26;0.426;0.857;172;300;0.426;0.161;0.0183;0.0319; 51600;3448;10393;12.2;5.66;47;0.11;0.26;0.422;0.857;172;294;0.416;0.149;0.0184;0.0315; 50160;3495;10424;12.1;5.65;48;0.11;0.259;0.422;0.857;171;292;0.414;0.138;0.0183;0.0313; 51600;3478;10418;12.1;5.62;50;0.109;0.259;0.422;0.857;171;291;0.412;0.143;0.0184;0.0313; 49760;3424;10413;12.1;5.62;48;6.4e+03;6.38e+03;6.38e+03; 32%; 32%; 32%;6.36e+03;6.4e+03;6.4e+03; 32%; 32%; 32%;6.35e+03;6.38e+03;6.39e+03; 32%; 32%; 32%;6.38e+03;6.41e+03;6.4e+03; 32%; 32%; 32%;49.7;49.3;0;0.983;0;0;0;0;0;49.2;49.5;0;1.36;0;0;0;0;0;49.3;49.8;0;0.915;0;0;0;0;0;49.2;49.8;0;0.981;0;0;0;0;0;71.6;70.9;73.7;71.9;22.9 ;23.6 ;24.4 ;21.8 ;
2017-09-04;18:33:31.398;0.135;0.321;0.422;0.857;775;2.29e+03;0.663;0.166;0.0168;0.0498;54.1;27.7;4.6e+04;1.43e+05;2.12e+03;0.642;16;0.271;6.77;7.7e+04;49.2;49.7;0;1.07;0;0;0;0;0;316;98.2;0.136;0.319;0.428;0.857;195;576;0.662;0.165;0.0168;0.0497; 51520;3604;10912;13.5;6.94;47;0.135;0.323;0.419;0.857;193;574;0.663;0.167;0.0168;0.0499; 50800;3590;10832;13.5;6.91;47;0.135;0.322;0.421;0.857;194;575;0.663;0.166;0.0168;0.0499; 48800;3680;10851;13.5;6.91;49;0.135;0.32;0.421;0.857;193;571;0.662;0.166;0.0168;0.0498; 50560;3574;10695;13.5;6.91;47;6.42e+03;6.43e+03;6.44e+03; 33%; 33%; 33%;6.38e+03;6.41e+03;6.45e+03; 32%; 32%; 33%;6.4e+03;6.43e+03;6.37e+03; 32%; 33%; 32%;6.41e+03;6.42e+03;6.43e+03; 32%; 33%; 33%;49.9;49.3;0;0.801;0;0;0;0;0;48.9;49.3;0;1.8;0;0;0;0;0;49.1;50.1;0;0.847;0;0;0;0;0;49.1;50.1;0;0.821;0;0;0;0;0;78.5;77.8;81.6;78.4;24.3 ;24.8 ;25.8 ;23.3 ;
2017-09-04;18:33:32.411;0.091;0.214;0.425;0.857;621;1.81e+03;0.657;0.171;0.0201;0.0585;40.4;29.5;3.09e+04;1.44e+05;2.12e+03;0.429;10.7;0.182;4.55;6.36e+04;49.5;49.5;0;1.02;0;0.151;0;0;0;281;92.6;0.0921;0.215;0.428;0.857;156;456;0.657;0.17;0.02;0.0582; 52320;3029;9050;10.1;7.38;44;0.0905;0.214;0.422;0.857;155;450;0.656;0.171;0.0201;0.0585; 52640;3004;9051;10.1;7.38;46;0.0909;0.215;0.423;0.857;155;453;0.658;0.171;0.0201;0.0587; 52720;3018;8999;10.1;7.36;46;0.0905;0.213;0.425;0.857;155;452;0.657;0.171;0.0201;0.0587; 50960;2922;8985;10.1;7.38;45;5.29e+03;5.27e+03;5.34e+03; 27%; 27%; 27%;5.27e+03;5.32e+03;5.32e+03; 27%; 27%; 27%;5.28e+03;5.29e+03;5.27e+03; 27%; 27%; 27%;5.29e+03;5.33e+03;5.35e+03; 27%; 27%; 27%;49.9;49.5;0;0.6;0;0;0;0;0;49.2;49.3;0;1.5;0;0.195;0;0;0;49.4;49.4;0;1.18;0;0.41;0;0;0;49.6;49.6;0;0.812;0;0;0;0;0;70.3;69;71.7;70.1;22.9 ;23.4 ;24.4 ;21.8 ;
