System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;18:21:17.116;0.0528;0.679;0.0777;0.805;10.7;18.1;0.407;0.219;0.000597;0.00101;1.37;2.02;1.79e+04;2.64e+04;2.12e+03;1.36;34;0.106;2.64;2.58e+03;9.65;13.5;0.0467;76.8;0;23.1;0;0;0;137;36.7;0.201;0.711;0.282;0.808;8.43;10.6;0.206;0.12;0.000495;0.000623; 48400;609;1647;0.246;0.379;49;0.0026;0.426;0.00611;0.754;0.769;3.11;0.752;0.246;0.00348;0.0141; 46720;22;56;0.357;0.537;54;0.00587;0.335;0.0175;0.791;0.815;2.32;0.648;0.392;0.00164;0.00465; 37600;21;70;0.364;0.54;55;0.0023;0.446;0.00515;0.769;0.698;2.03;0.656;0.351;0.00358;0.0104; 42160;50;35;0.407;0.563;53;466;471;463;  2%;  2%;  2%;73.2;52.1;266;  0%;  0%;  1%;53.1;272;71.4;  0%;  1%;  0%;57.3;51.4;281;  0%;  0%;  1%;34.9;7.83;0.0496;57.2;0;16.4;0;0;0;0.81;14.6;0.0424;84.6;0;20.1;0;0;0;2.21;21.3;0.0393;76.4;0;20.2;0;0;0;0.67;10.3;0.0557;89;0;35.6;0;0;0;42;30.6;33.3;30.9;8.85 ;9.43 ;9.63 ;8.82 ;
2017-09-04;18:21:18.126;0.146;0.721;0.203;0.809;22.7;26.8;0.152;0.0147;0.000457;0.000539;2.95;4.67;4.98e+04;6.9e+04;2.13e+03;1.44;36.1;0.293;7.32;6.07e+03;25.1;23.7;0.00137;51.2;0;16.8;0;0;0;166;44.3;0.584;0.721;0.81;0.81;22.7;23.5;0.0359;0.00845;0.000457;0.000474; 49760;1511;4479;0.453;0.839;48;0.0018;0.748;0.00241;0.779;0.052;3.13;0.983;0.055;0.000339;0.0204; 46400;1;2;0.833;1.29;54;6.51e-05;0.416;0.000157;0.81;0.0164;0.0866;0.811;0.0825;0.00296;0.0157; 37280;0;2;0.839;1.3;55;7.42e-05;0.363;0.000204;0.774;0.0205;0.0978;0.79;0.0876;0.00325;0.0155; 42240;0;1;0.822;1.25;53;1.18e+03;1.17e+03;1.17e+03;  6%;  6%;  6%;91.5;95.6;665;  0%;  0%;  3%;91.4;659;93.4;  0%;  3%;  0%;93.3;95.6;659;  0%;  0%;  3%;100;0;0;0;0;0;0;0;0;0.31;18.6;0.00546;81.1;0;31.2;0;0;0;0.0194;48;0;52;0;0;0;0;0;0.0264;28.2;0;71.8;0;36.2;0;0;0;62.1;32.4;36.5;34.5;10.2 ;11.7 ;11.9 ;10.6 ;
2017-09-04;18:21:19.125;0.146;0.721;0.203;0.81;22.5;26.4;0.148;0.0149;0.000458;0.000537;2.93;4.32;4.91e+04;6.81e+04;2.1e+03;1.44;36;0.292;7.31;6.15e+03;25.1;52.3;0.002;22.7;0;0;0;0;0;176;43.3;0.583;0.72;0.81;0.81;22.4;23.2;0.0362;0.00839;0.000457;0.000475; 51040;1490;4436;0.444;0.822;48;0.00163;0.997;0.00163;0.81;0.0492;2.97;0.983;0.0569;0.00036;0.0217; 46240;0;4;0.824;1.16;53;6.65e-05;0.489;0.000136;0.81;0.0172;0.0825;0.792;0.11;0.00307;0.0148; 37040;1;4;0.825;1.17;55;8.04e-05;0.556;0.000145;0.81;0.0179;0.0857;0.792;0.135;0.00265;0.0127; 41600;1;4;0.833;1.17;52;1.15e+03;1.16e+03;1.17e+03;  6%;  6%;  6%;118;118;648;  0%;  0%;  3%;118;654;117;  0%;  3%;  0%;117;119;657;  0%;  0%;  3%;100;0.000223;0;0;0;0;0;0;0;0.202;35.9;0.00799;63.9;0;0;0;0;0;0.0168;73.3;0;26.7;0;0;0;0;0;0.0179;100;0;0.00977;0;0;0;0;0;61.4;33.9;38.7;41.7;9.99 ;11.3 ;11.6 ;10.4 ;
2017-09-04;18:21:20.135;0.146;0.721;0.203;0.81;22.6;26.6;0.148;0.015;0.000457;0.000536;2.95;4.37;4.96e+04;6.88e+04;2.12e+03;1.44;36;0.292;7.31;6.22e+03;25.1;52.2;0.0029;22.8;0;0;0;0;0;177;44.1;0.583;0.72;0.81;0.81;22.6;23.4;0.0365;0.00845;0.000456;0.000474; 44640;1499;4495;0.443;0.832;48;0.00164;1.03;0.00159;0.81;0.0496;2.95;0.983;0.0567;0.000358;0.0213; 46000;0;1;0.834;1.18;54;7.45e-05;0.505;0.000147;0.81;0.0187;0.0993;0.812;0.12;0.00295;0.0157; 36720;0;3;0.842;1.18;55;8.34e-05;0.568;0.000147;0.81;0.0183;0.107;0.829;0.123;0.00258;0.0151; 41840;1;4;0.832;1.17;52;1.18e+03;1.18e+03;1.17e+03;  6%;  6%;  6%;120;119;661;  0%;  0%;  3%;120;664;119;  0%;  3%;  0%;119;120;653;  0%;  0%;  3%;100;0.000268;0;0;0;0;0;0;0;0.196;29;0.0116;70.8;0;0;0;0;0;0.0182;84;0;16;0;0;0;0;0;0.0181;95.7;0;4.32;0;0;0;0;0;62.1;33.4;40.2;41.4;10.1 ;11.5 ;11.8 ;10.6 ;
2017-09-04;18:21:21.144;0.146;0.72;0.203;0.81;22.7;26.6;0.145;0.0149;0.000457;0.000535;2.95;4.36;4.96e+04;6.89e+04;2.12e+03;1.44;36;0.293;7.32;6.21e+03;25.1;55.6;0.00286;19.3;0;0;0;0;0;179;43.6;0.583;0.721;0.81;0.81;22.6;23.5;0.0364;0.00847;0.000457;0.000475; 48800;1510;4454;0.445;0.837;48;0.00188;0.732;0.00256;0.81;0.047;2.93;0.984;0.0564;0.000296;0.0184; 45520;0;2;0.841;1.17;53;5.94e-05;0.535;0.000111;0.81;0.0146;0.0732;0.801;0.146;0.0029;0.0145; 35840;0;1;0.829;1.17;54;7.21e-05;0.489;0.000147;0.81;0.0186;0.0837;0.778;0.15;0.00305;0.0137; 40800;0;4;0.834;1.18;52;1.17e+03;1.17e+03;1.18e+03;  6%;  6%;  6%;120;120;660;  0%;  0%;  3%;120;657;118;  0%;  3%;  0%;118;120;661;  0%;  0%;  3%;100;0.00053;0;0;0;0;0;0;0;0.317;32.9;0.0115;66.7;0;0;0;0;0;0.0137;94.3;0;5.67;0;0;0;0;0;0.0182;95;0;4.94;0;0;0;0;0;62;34.1;41.4;41.2;10 ;11.4 ;11.7 ;10.5 ;
2017-09-04;18:21:22.153;0.147;0.716;0.205;0.81;22.7;26.7;0.149;0.0148;0.000457;0.000537;2.95;4.37;4.98e+04;6.95e+04;2.12e+03;1.43;35.8;0.294;7.34;6.24e+03;25.3;57.5;0.00201;17.2;0;0;0;0;0;180;43.8;0.583;0.721;0.81;0.81;22.7;23.5;0.0365;0.00829;0.000458;0.000476; 47440;1499;4497;0.437;0.829;48;0.00401;0.374;0.0107;0.81;0.0431;3.05;0.986;0.0544;0.000127;0.00897; 45120;0;2;0.831;1.18;53;5.83e-05;0.563;0.000104;0.81;0.013;0.07;0.814;0.159;0.00263;0.0141; 35280;0;1;0.838;1.18;54;7.03e-05;0.563;0.000125;0.81;0.0165;0.0789;0.791;0.161;0.00276;0.0132; 40560;0;3;0.841;1.19;52;1.17e+03;1.18e+03;1.18e+03;  6%;  6%;  6%;119;119;661;  0%;  0%;  3%;119;664;119;  0%;  3%;  0%;119;119;666;  0%;  0%;  3%;100;0.000208;0;0;0;0;0;0;0;1.32;34.2;0.00806;64.4;0;0;0;0;0;0.0128;100;0;0;0;0;0;0;0;0.0154;95.7;0;4.26;0;0;0;0;0;62.1;34.7;42.3;41.4;10.1 ;11.4 ;11.8 ;10.5 ;
2017-09-04;18:21:23.162;0.147;0.716;0.205;0.81;22.7;26.8;0.151;0.0147;0.000456;0.000537;2.95;4.37;4.98e+04;6.96e+04;2.12e+03;1.43;35.8;0.294;7.34;6.23e+03;25.3;57;0.00261;17.7;0;0;0;0;0;180;44.2;0.583;0.721;0.81;0.81;22.6;23.5;0.0364;0.00829;0.000458;0.000475; 48640;1495;4474;0.441;0.832;48;0.00406;0.37;0.011;0.81;0.0441;3.11;0.986;0.0532;0.000128;0.00904; 44800;0;0;0.833;1.18;53;5.92e-05;0.572;0.000103;0.81;0.0141;0.0727;0.807;0.159;0.0028;0.0145; 34960;0;1;0.847;1.18;54;6.96e-05;0.539;0.000129;0.81;0.0166;0.0799;0.792;0.152;0.00282;0.0135; 39680;0;1;0.831;1.17;52;1.18e+03;1.18e+03;1.17e+03;  6%;  6%;  6%;120;119;662;  0%;  0%;  3%;120;666;119;  0%;  3%;  0%;119;119;657;  0%;  0%;  3%;100;0.000231;0;0;0;0;0;0;0;1.36;32.1;0.0104;66.6;0;0;0;0;0;0.0128;100;0;0;0;0;0;0;0;0.0159;95.8;0;4.15;0;0;0;0;0;62.1;34.6;42.3;41.4;10.2 ;11.5 ;11.9 ;10.6 ;
2017-09-04;18:21:24.172;0.146;0.721;0.203;0.81;22.7;26.9;0.157;0.0159;0.000457;0.000541;2.94;4.36;4.96e+04;6.88e+04;2.12e+03;1.44;36.1;0.293;7.31;6.21e+03;25.1;55.1;0.00311;19.8;0;0;0;0;0;179;44;0.583;0.72;0.81;0.81;22.6;23.4;0.0364;0.00847;0.000456;0.000474; 50160;1498;4509;0.444;0.837;48;0.00164;0.902;0.00181;0.81;0.0493;3.15;0.984;0.0533;0.000356;0.0227; 44480;0;3;0.834;1.17;53;7.25e-05;0.551;0.000132;0.81;0.0159;0.0997;0.84;0.132;0.00259;0.0162; 34720;0;1;0.829;1.18;54;0.000352;1.28;0.000275;0.81;0.021;0.188;0.888;0.181;0.000705;0.00629; 40240;2;1;0.836;1.18;52;1.17e+03;1.17e+03;1.17e+03;  6%;  6%;  6%;119;120;658;  0%;  0%;  3%;119;660;118;  0%;  3%;  0%;118;120;659;  0%;  0%;  3%;100;0.000263;0;0;0;0;0;0;0;0.224;22.2;0.0124;77.5;0;0;0;0;0;0.0163;100;0;0;0;0;0;0;0;0.034;98.3;0;1.63;0;0;0;0;0;62.1;32.9;42.4;41.9;10.1 ;11.5 ;11.8 ;10.6 ;
2017-09-04;18:21:25.181;0.146;0.72;0.203;0.81;22.7;26.8;0.152;0.0149;0.000458;0.00054;2.95;4.37;4.96e+04;6.9e+04;2.12e+03;1.44;36;0.293;7.32;6.23e+03;25.1;57.9;0.00676;17;0;0;0;0;0;180;44.2;0.583;0.721;0.81;0.81;22.7;23.5;0.0368;0.0084;0.000458;0.000476; 46000;1493;4499;0.442;0.827;48;0.00206;0.59;0.00349;0.81;0.0407;3.12;0.987;0.054;0.000234;0.0179; 44080;0;2;0.835;1.18;53;5.85e-05;0.571;0.000102;0.81;0.0127;0.0726;0.825;0.152;0.00255;0.0146; 34240;0;2;0.833;1.18;54;6.96e-05;0.586;0.000119;0.81;0.0141;0.077;0.817;0.16;0.00238;0.0131; 39120;0;1;0.844;1.19;52;1.17e+03;1.18e+03;1.18e+03;  6%;  6%;  6%;119;120;661;  0%;  0%;  3%;119;661;119;  0%;  3%;  0%;119;120;665;  0%;  0%;  3%;100;0.000456;0;0;0;0;0;0;0;0.431;35.5;0.027;64.1;0;0;0;0;0;0.0127;97.6;0;2.43;0;0;0;0;0;0.0147;98.4;0;1.57;0;0;0;0;0;62;34.2;41.9;41.9;10.1 ;11.5 ;11.9 ;10.6 ;
2017-09-04;18:21:26.191;0.116;0.622;0.187;0.81;51.7;55.8;0.075;0.0141;0.00131;0.00141;8.48;13;3.95e+04;6.35e+04;2.12e+03;1.24;31.1;0.233;5.82;1.86e+04;23.1;58.3;0.0035;18.6;0;0;0;0;0;196;53.6;0.464;0.621;0.747;0.81;51.6;52.9;0.0253;0.0114;0.00131;0.00134; 52160;3833;12703;1.17;2.21;46;0.00146;0.887;0.00165;0.81;0.0485;2.78;0.983;0.0554;0.000391;0.0224; 43920;1;0;2.44;3.58;52;5.69e-05;0.459;0.000124;0.81;0.0123;0.0699;0.824;0.152;0.00256;0.0145; 33360;0;1;2.46;3.61;51;6.84e-05;0.485;0.000141;0.81;0.0144;0.0724;0.802;0.166;0.00247;0.0125; 39440;0;1;2.42;3.56;51;3.46e+03;3.48e+03;3.45e+03; 17%; 17%; 17%;320;319;2.08e+03;  1%;  1%; 10%;321;2.11e+03;319;  1%; 10%;  1%;319;319;2.07e+03;  1%;  1%; 10%;92.3;2.14;0;5.61;0;0;0;0;0;0.204;32;0.014;67.8;0;0;0;0;0;0.0153;98.9;0;1.06;0;0;0;0;0;0.0174;100;0;0;0;0;0;0;0;65.3;38.1;46.9;46.1;11.9 ;14.1 ;14.5 ;13.1 ;
