System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;18:10:51.324;0.0242;0.66;0.0366;0.709;7.41;15.5;0.522;0.293;0.000816;0.00171;1.49;2.06;9.09e+03;1.38e+04;2.12e+03;1.32;33;0.0483;1.21;2.76e+03;5.17;13;0.0472;81.8;0;32.2;0;0;0;153;42.6;0.0163;0.623;0.0262;0.707;1.45;4.6;0.685;0.352;0.000995;0.00316; 50720;83;167;0.328;0.503;50;0.076;0.697;0.109;0.711;3.93;5.57;0.294;0.158;0.000553;0.000784; 49520;274;861;0.31;0.447;51;0.00207;0.386;0.00536;0.662;0.942;2.53;0.627;0.33;0.00471;0.0126; 42560;38;60;0.404;0.537;55;0.00326;0.443;0.00737;0.714;1.09;2.82;0.614;0.366;0.00345;0.00894; 28160;64;43;0.445;0.571;53;335;200;199;  1%;  0%;  0%;372;357;393;  1%;  1%;  1%;211;130;110;  0%;  0%;  0%;79.1;213;158;  0%;  0%;  0%;3.7;18.7;0.0533;77.5;0;16.9;0;0;0;15.3;6.36;0.0713;78.2;0;43.9;0;0;0;0.809;3.17;0.0333;96;0;64.1;0;0;0;1.03;23.8;0.0321;75.1;0;3.19;0;0;0;40.9;40.3;34.5;37.2;10.5 ;10.7 ;11.1 ;10.2 ;
2017-09-04;18:10:52.662;0.251;0.723;0.347;0.714;50.1;55.3;0.0936;0.0129;0.000457;0.000504;6.84;11.2;1.1e+05;1.52e+05;2.53e+03;1.45;36.1;0.502;12.6;1.39e+04;48.6;35.6;0;15.8;0;8.33;0;0;0;246;68.7;0.496;0.723;0.685;0.714;23.6;25.4;0.0697;0.0143;0.000447;0.00048; 41680;1603;4750;1.49;2.68;49;0.515;0.722;0.713;0.714;26.4;27.4;0.0392;0.00873;0.000466;0.000485; 49600;1758;5142;1.51;2.72;50;0.000822;0.998;0.000824;0.711;0.0489;2.14;0.977;0.0439;0.000541;0.0236; 41680;2;6;1.93;2.89;54;0.000106;0.444;0.000238;0.704;0.0386;0.274;0.859;0.0446;0.00333;0.0236; 27840;0;5;1.92;2.89;52;2.14e+03;1.44e+03;1.44e+03;  8%;  5%;  5%;1.46e+03;1.45e+03;2.15e+03;  5%;  5%;  8%;861;846;233;  3%;  3%;  0%;233;854;852;  0%;  3%;  3%;96;3.79;0;0.264;0;0;0;0;0;99.8;0.159;0;0;0;0;0;0;0;0.116;66.5;0;33.4;0;18.5;0;0;0;0.0338;71.1;0;28.9;0;14.6;0;0;0;74.2;72.5;49.7;49.4;16.4 ;17.2 ;18.8 ;16.3 ;
2017-09-04;18:10:53.662;0.258;0.72;0.358;0.714;39.9;43.6;0.0834;0.0143;0.000461;0.000503;5.16;8.1;8.66e+04;1.2e+05;2.1e+03;1.44;36;0.516;12.9;1.07e+04;50.1;49.6;0;0.307;0;0;0;0;0;189;51.3;0.514;0.721;0.713;0.714;19.8;20.7;0.041;0.0121;0.000459;0.000479; 50640;1335;3917;1.12;2.01;49;0.514;0.721;0.713;0.714;19.9;20.8;0.0393;0.00906;0.000462;0.00048; 42720;1306;3958;1.13;1.98;50;0.00225;0.426;0.00528;0.714;0.0698;1.95;0.964;0.0626;0.000369;0.0103; 41440;0;7;1.44;2.05;55;0.000158;0.468;0.000337;0.714;0.0583;0.145;0.597;0.284;0.00441;0.0109; 28960;2;5;1.47;2.06;52;1.61e+03;1.11e+03;1.11e+03;  8%;  5%;  5%;1.11e+03;1.11e+03;1.62e+03;  5%;  5%;  8%;662;656;210;  3%;  3%;  1%;210;663;662;  1%;  3%;  3%;99.8;0.16;0;0;0;0;0;0;0;99.8;0.159;0;0;0;0;0;0;0;0.739;99.3;0;0;0;0;0;0;0;0.0471;98.7;0;1.23;0;0;0;0;0;55.6;54;40;39.4;12.4 ;12.9 ;13.9 ;12.1 ;
2017-09-04;18:10:54.990;0.258;0.72;0.359;0.714;53.2;58.1;0.0837;0.013;0.00046;0.000502;6.83;10.7;1.16e+05;1.61e+05;2.81e+03;1.44;36;0.517;12.9;1.43e+04;50.3;49.5;0;0.205;0;0;0;0;0;252;68.2;0.514;0.721;0.713;0.714;26.6;27.7;0.0411;0.0121;0.000459;0.000479; 48560;1784;5256;1.48;2.61;48;0.514;0.721;0.713;0.714;26.6;27.7;0.0397;0.00889;0.000462;0.000481; 46000;1738;5285;1.49;2.63;50;0.00266;0.366;0.00726;0.714;0.0447;2.53;0.982;0.0511;0.00015;0.0085; 40480;0;0;1.92;2.73;54;0.000265;0.889;0.000298;0.714;0.0378;0.183;0.794;0.186;0.00127;0.00617; 28880;0;4;1.94;2.74;52;2.14e+03;1.47e+03;1.48e+03;  8%;  5%;  5%;1.47e+03;1.48e+03;2.14e+03;  5%;  5%;  8%;877;877;276;  3%;  3%;  1%;277;885;882;  1%;  3%;  3%;99.8;0.16;0;0;0;0;0;0;0;99.8;0.159;0;0;0;0;0;0;0;1.02;99;0;0;0;0;0;0;0;0.0418;99.1;0;0.82;0;0;0;0;0;74;71.9;53.3;52.4;16.3 ;17.1 ;18.6 ;16.2 ;
2017-09-04;18:10:56.032;0.266;0.721;0.368;0.714;47.6;51.9;0.0839;0.0128;0.00046;0.000502;5.36;8.45;1.03e+05;1.43e+05;2.79e+03;1.44;36.1;0.532;13.3;1.11e+04;51.6;48.4;0;0;0;0;0;0;0;197;53.8;0.514;0.721;0.713;0.714;24.5;25.5;0.0412;0.0119;0.00046;0.000479; 49920;1631;4828;1.17;2.11;48;0.514;0.721;0.713;0.714;23;24;0.0398;0.00909;0.00046;0.000479; 49680;1531;4555;1.17;2.08;50;0.0011;1.14;0.000963;0.714;0.0501;2.3;0.978;0.0516;0.000485;0.0222; 40160;0;3;1.51;2.13;54;9.46e-05;0.43;0.00022;0.714;0.0456;0.152;0.7;0.119;0.00512;0.0171; 28320;0;1;1.51;2.14;52;1.68e+03;1.15e+03;1.15e+03;  7%;  5%;  5%;1.15e+03;1.16e+03;1.69e+03;  5%;  5%;  7%;680;684;218;  3%;  3%;  0%;218;684;687;  0%;  3%;  3%;99.8;0.161;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;0.135;99.9;0;0;0;0;0;0;0;0.0308;100;0;0;0;0;0;0;0;58.1;56.4;41.5;41.2;13 ;13.5 ;14.6 ;12.7 ;
2017-09-04;18:10:57.056;0.102;0.341;0.298;0.714;92.6;96;0.0357;0.0185;0.00266;0.00276;20.3;32;3.48e+04;1.02e+05;2.19e+03;0.682;17.1;0.203;5.08;4.49e+04;41.7;52.9;0;5.34;0;0;0;0;0;252;76.3;0.204;0.341;0.598;0.714;46.6;48.2;0.0316;0.0193;0.00267;0.00276; 54240;4009;16332;3.34;6.42;46;0.202;0.34;0.594;0.714;45.9;46.6;0.0156;0.0164;0.00265;0.0027; 49600;4069;16332;3.67;6.9;48;0.000612;1.03;0.000594;0.714;0.0315;1.15;0.973;0.0549;0.000601;0.0219; 37520;0;3;7.76;11.6;50;8.15e-05;0.358;0.000227;0.714;0.0282;0.0922;0.694;0.149;0.00404;0.0132; 27600;0;2;5.48;7.05;51;5.26e+03;5.88e+03;4.33e+03; 26%; 30%; 22%;5.88e+03;4.28e+03;5.25e+03; 30%; 21%; 26%;3.8e+03;3.81e+03;969; 19%; 19%;  4%;970;2.2e+03;2.26e+03;  4%; 11%; 11%;83.8;5.58;0;10.7;0;0;0;0;0;83.1;6.13;0;10.7;0;0;0;0;0;0.0832;99.9;0;0;0;0;0;0;0;0.0318;100;0;0;0;0;0;0;0;70.2;69.7;58.8;53;17.2 ;18 ;23.2 ;17.9 ;
2017-09-04;18:10:58.066;0.0922;0.264;0.349;0.714;547;560;0.0235;0.28;0.0174;0.0178;43.9;38.6;3.15e+04;1.19e+05;2.15e+03;0.528;13.2;0.184;4.61;6.45e+04;48.9;49.5;0;1.58;0;0.241;0;0;0;277;99.5;0.183;0.262;0.701;0.714;273;279;0.0203;0.279;0.0174;0.0178; 54000;6758;20921;10.7;7.63;47;0.184;0.265;0.693;0.714;274;279;0.0202;0.281;0.0175;0.0178; 50720;6652;20629;10.8;7.61;49;0.00096;1.32;0.000725;0.714;0.039;1.82;0.979;0.0521;0.000477;0.0223; 37280;0;0;11.4;12.1;52;7.82e-05;0.444;0.000176;0.714;0.0248;0.097;0.744;0.142;0.00373;0.0146; 27760;0;1;11;11.2;51;9.67e+03;3.88e+03;3.55e+03; 49%; 19%; 18%;3.75e+03;3.5e+03;9.62e+03; 19%; 17%; 49%;7.31e+03;7.38e+03;888; 37%; 37%;  4%;888;7.04e+03;7.03e+03;  4%; 36%; 36%;98.2;0.316;0;1.49;0;0;0;0;0;97;0.612;0;2.37;0;0.963;0;0;0;0.102;97.5;0;2.41;0;0;0;0;0;0.0247;99.9;0;0.0635;0;0;0;0;0;77.1;76.3;64.4;59.6;23.4 ;24 ;27.7 ;24.4 ;
2017-09-04;18:10:59.077;0.0714;0.203;0.351;0.714;548;1.99e+03;0.724;0.134;0.0226;0.0819;36.6;39.1;2.42e+04;1.19e+05;2.12e+03;0.406;10.2;0.143;3.57;5.69e+04;49.2;49;0;1.78;0;0.14;0;0;0;291;96;0.139;0.197;0.707;0.714;268;958;0.72;0.136;0.0227;0.0811; 52240;4939;17585;8.19;6.49;45;0.145;0.208;0.698;0.714;279;1.03e+03;0.728;0.132;0.0226;0.0831; 51680;5303;17876;8.28;6.4;46;0.000917;1.24;0.00074;0.714;0.0424;1.73;0.976;0.052;0.000544;0.0223; 37200;0;1;11.6;16.3;49;8.09e-05;0.452;0.000179;0.714;0.0313;0.103;0.696;0.14;0.00455;0.015; 27760;0;1;8.45;9.91;51;7.68e+03;4.97e+03;2.6e+03; 39%; 25%; 13%;4.78e+03;2.77e+03;7.54e+03; 24%; 14%; 38%;7.46e+03;7.54e+03;409; 38%; 38%;  2%;409;5.54e+03;5.19e+03;  2%; 28%; 26%;98.9;0.28;0;0.804;0;0;0;0;0;97.8;0.462;0;1.74;0;0.56;0;0;0;0.104;97.6;0;2.3;0;0;0;0;0;0.0251;97.7;0;2.25;0;0;0;0;0;82.6;82.4;67;59;21.5 ;21.9 ;30 ;22.7 ;
2017-09-04;18:11:00.088;0.0887;0.251;0.354;0.714;526;697;0.246;0.235;0.0174;0.0231;40.5;16.7;3.01e+04;1.2e+05;2.12e+03;0.502;12.5;0.177;4.44;6.47e+04;49.5;50.1;0;0.377;0;0.0761;0;0;0;253;84.8;0.177;0.249;0.709;0.714;263;349;0.246;0.234;0.0175;0.0233; 52160;5721;17791;9.94;4.28;47;0.177;0.252;0.705;0.714;263;346;0.241;0.237;0.0174;0.023; 49680;5784;17902;9.93;4.32;48;0.000999;1.2;0.000829;0.714;0.0484;1.89;0.974;0.0522;0.000571;0.0223; 37040;0;1;10.7;4.82;52;9.29e-05;0.396;0.000235;0.714;0.0326;0.127;0.744;0.129;0.00413;0.0161; 27760;0;0;9.91;3.27;52;8.34e+03;4.03e+03;3.48e+03; 43%; 20%; 17%;4e+03;3.45e+03;8.33e+03; 20%; 17%; 42%;7.31e+03;7.38e+03;2.33e+03; 37%; 38%; 11%;2.33e+03;6.86e+03;6.87e+03; 11%; 35%; 35%;99.2;0.22;0;0.536;0;0;0;0;0;98.7;0.365;0;0.97;0;0.305;0;0;0;0.116;99.9;0;0;0;0;0;0;0;0.0329;100;0;0;0;0;0;0;0;70.6;69.6;58.2;54.1;20.9 ;21.5 ;23.3 ;19.2 ;
2017-09-04;18:11:01.099;0.0661;0.188;0.351;0.714;514;1.62e+03;0.682;0.149;0.0229;0.0721;33.2;30.1;2.24e+04;1.19e+05;2.12e+03;0.377;9.42;0.132;3.3;5.43e+04;49.1;49.7;0;1.2;0;0.0722;0;0;0;257;88.9;0.127;0.181;0.704;0.714;250;766;0.674;0.153;0.0231;0.0708; 54960;4734;15458;7.77;5.97;46;0.136;0.195;0.698;0.714;265;851;0.689;0.145;0.0229;0.0737; 51760;5163;16535;7.72;5.65;46;0.000978;1.25;0.000785;0.714;0.0339;1.85;0.982;0.052;0.000408;0.0222; 37040;0;2;7.83;7.16;50;7.67e-05;0.356;0.000215;0.714;0.0233;0.0905;0.742;0.149;0.00358;0.0139; 27680;2;1;9.91;11.3;50;7.23e+03;2.67e+03;4.29e+03; 37%; 13%; 22%;2.96e+03;4.19e+03;7.03e+03; 15%; 21%; 36%;5.54e+03;5.05e+03;917; 28%; 26%;  4%;917;6.77e+03;6.69e+03;  4%; 34%; 34%;98.6;0.429;0;0.957;0;0;0;0;0;97.8;0.542;0;1.67;0;0.289;0;0;0;0.11;99.9;0;0;0;0;0;0;0;0.0302;97.8;0;2.15;0;0;0;0;0;73;73.3;56.3;54.6;20.7 ;21.1 ;23.2 ;23.8 ;
