System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;18:00:44.768;0.00475;0.396;0.012;0.688;4.81;14.5;0.667;0.335;0.00298;0.00895;0.455;0.306;1.62e+03;4.08e+03;2.12e+03;0.793;19.8;0.0095;0.237;677;1.74;11.6;0.0508;86.6;0;28;0;0;0;123;32.7;0.00277;0.44;0.00629;0.665;0.981;3.08;0.682;0.262;0.00417;0.0131; 41680;40;53;0.112;0.0701;50;0.00324;0.342;0.00947;0.664;1.24;3.97;0.688;0.276;0.00449;0.0144; 47520;55;56;0.136;0.101;51;0.00345;0.377;0.00913;0.667;1.29;3.64;0.645;0.291;0.00441;0.0124; 39440;29;107;0.0729;0.0568;53;0.00954;0.414;0.023;0.714;1.3;3.77;0.655;0.458;0.0016;0.00465; 41360;71;58;0.134;0.0779;53;74;36.8;42;  0%;  0%;  0%;90.7;53.6;47.8;  0%;  0%;  0%;57.9;38.2;73.7;  0%;  0%;  0%;39.1;60.7;62.4;  0%;  0%;  0%;0.946;13;0.0552;86;0;19.5;0;0;0;1.43;7.22;0.0489;91.3;0;42.6;0;0;0;1.37;6.05;0.0692;92.5;0;49.9;0;0;0;3.22;20.3;0.03;76.5;0;0;0;0;0;31.1;29.4;30.2;32.6;8.18 ;8.46 ;8.27 ;7.78 ;
2017-09-04;18:00:45.781;0.318;0.722;0.441;0.714;47.9;51.6;0.0727;0.0201;0.000442;0.000476;6.57;11;1.08e+05;1.5e+05;2.13e+03;1.44;36.1;0.637;15.9;1.32e+04;61.7;13;0;25.2;0;9.13;0;0;0;192;55.6;0.409;0.723;0.566;0.714;15.2;16.9;0.1;0.033;0.000435;0.000483; 50880;1086;3149;1.59;2.74;49;0.475;0.72;0.66;0.714;19;19.9;0.0422;0.0101;0.000471;0.000491; 50000;1258;3868;1.53;2.66;50;0.389;0.723;0.538;0.714;13.7;14.7;0.0694;0.0172;0.000413;0.000443; 53120;958;2947;1.6;2.79;52;0.000148;0.565;0.000262;0.685;0.0296;0.238;0.876;0.089;0.00235;0.0189; 38800;0;1;1.86;2.84;52;1.46e+03;1.32e+03;945;  7%;  6%;  4%;1.47e+03;1.12e+03;1.52e+03;  7%;  5%;  7%;1.38e+03;1.29e+03;895;  7%;  6%;  4%;537;678;577;  2%;  3%;  2%;79.3;12.7;0;8.06;0;0;0;0;0;92.4;3.43;0;4.19;0;0.652;0;0;0;75.3;12.4;0;12.3;0;0;0;0;0;0.0382;23.6;0;76.3;0;35.9;0;0;0;53.4;53.6;52.5;32.6;13.6 ;13.9 ;14.9 ;13.2 ;
2017-09-04;18:00:46.779;0.383;0.721;0.531;0.714;58.9;62.4;0.0551;0.0112;0.000459;0.000485;7.63;12.2;1.28e+05;1.78e+05;2.1e+03;1.44;36.1;0.766;19.1;1.57e+04;74.3;24.8;0;0.921;0;0;0;0;0;205;58.4;0.514;0.721;0.713;0.714;19.8;20.7;0.0413;0.0117;0.000459;0.000479; 51200;1331;3883;1.84;3.08;49;0.514;0.721;0.713;0.714;19.8;20.6;0.0393;0.00903;0.00046;0.000478; 52720;1311;3957;1.83;3.04;50;0.502;0.722;0.696;0.714;19.2;20.7;0.072;0.0109;0.000456;0.000492; 49280;1266;3827;1.82;3.08;52;0.000193;0.784;0.000246;0.714;0.0329;0.308;0.893;0.119;0.00203;0.0191; 37440;1;2;2.14;3.03;52;1.67e+03;1.66e+03;1.19e+03;  8%;  8%;  6%;1.66e+03;1.2e+03;1.66e+03;  8%;  6%;  8%;1.64e+03;1.65e+03;1.17e+03;  8%;  8%;  6%;737;753;747;  3%;  3%;  3%;99.8;0.158;0;0;0;0;0;0;0;99.8;0.158;0;0;0;0;0;0;0;97.4;2.58;0;0;0;0;0;0;0;0.0344;96.3;0;3.68;0;0;0;0;0;55.7;54.2;55.8;39.5;14.3 ;14.8 ;15.6 ;13.8 ;
2017-09-04;18:00:47.790;0.383;0.721;0.531;0.714;59.7;63.2;0.0553;0.011;0.000459;0.000486;7.72;12.3;1.3e+05;1.8e+05;2.12e+03;1.44;36.1;0.765;19.1;1.6e+04;74.3;25.7;0;0;0;0;0;0;0;208;59;0.514;0.721;0.713;0.714;20.1;20.9;0.0413;0.0116;0.00046;0.000479; 48480;1335;3954;1.86;3.08;48;0.514;0.721;0.713;0.714;20.1;20.9;0.0397;0.00916;0.000459;0.000478; 52320;1316;3984;1.85;3.09;50;0.502;0.722;0.696;0.714;19.5;21.1;0.0762;0.011;0.000458;0.000496; 50960;1285;3885;1.84;3.05;52;0.000142;0.568;0.00025;0.714;0.0342;0.226;0.849;0.116;0.00283;0.0187; 35920;1;1;2.18;3.07;52;1.7e+03;1.68e+03;1.21e+03;  8%;  8%;  6%;1.68e+03;1.22e+03;1.7e+03;  8%;  6%;  8%;1.67e+03;1.67e+03;1.19e+03;  8%;  8%;  6%;759;764;763;  3%;  3%;  3%;99.8;0.158;0;0;0;0;0;0;0;99.8;0.16;0;0;0;0;0;0;0;97.4;2.58;0;0;0;0;0;0;0;0.035;100;0;0;0;0;0;0;0;56.5;55;56.5;40.5;14.4 ;15 ;15.7 ;13.8 ;
2017-09-04;18:00:48.805;0.238;0.723;0.329;0.714;33.9;37.5;0.0967;0.0173;0.000418;0.000463;4.38;6.95;8.1e+04;1.12e+05;2.12e+03;1.45;36.1;0.476;11.9;9e+03;46.1;32.4;0.00276;21.5;0;0;0;0;0;182;47.2;0.312;0.722;0.432;0.714;11.6;13.7;0.154;0.0183;0.000436;0.000515; 50320;767;2213;1.05;1.69;49;0.341;0.723;0.471;0.714;11.5;12;0.0446;0.0171;0.000396;0.000415; 51680;813;2372;1.03;1.77;50;0.3;0.723;0.414;0.714;10.8;11.7;0.0743;0.0149;0.000425;0.000459; 51440;724;2131;1.05;1.75;52;9.37e-05;0.524;0.000179;0.714;0.0178;0.14;0.873;0.118;0.00223;0.0176; 35840;0;0;1.24;1.74;52;948;935;700;  4%;  4%;  3%;953;697;983;  4%;  3%;  5%;928;911;658;  4%;  4%;  3%;422;423;445;  2%;  2%;  2%;60.4;6.3;0.0111;33.2;0;0;0;0;0;65.9;11.2;0;22.8;0;0;0;0;0;58;12.2;0;29.9;0;0;0;0;0;0.0251;100;0;0;0;0;0;0;0;47;47.9;47.2;40;11.6 ;12 ;12.5 ;11.1 ;
2017-09-04;18:00:49.840;0.00894;0.334;0.0268;0.714;6.12;8.52;0.282;0.0379;0.00199;0.00277;2.43;3.79;3.08e+03;9.23e+03;2.13e+03;0.667;16.7;0.0179;0.447;4.86e+03;3.75;59.5;0.0112;36.7;0;0;0;0;0;154;30.5;0.0064;0.248;0.0258;0.714;1.96;4.03;0.514;0.0404;0.00357;0.00734; 50480;225;680;0.626;1.05;49;0.0266;0.495;0.0538;0.714;1.94;2.08;0.0669;0.0439;0.000848;0.000909; 49520;204;876;0.559;0.934;50;0.00273;0.1;0.0273;0.714;2.2;2.33;0.0567;0.0232;0.00933;0.00989; 42480;206;813;0.638;1.01;51;6.87e-05;0.162;0.000423;0.714;0.017;0.0752;0.774;0.163;0.00287;0.0127; 35760;2;1;0.608;0.786;52;574;582;334;  2%;  2%;  1%;495;334;574;  2%;  1%;  2%;461;565;359;  2%;  2%;  1%;211;171;196;  1%;  0%;  0%;3.62;43.5;0.0449;52.9;0;0;0;0;0;7.53;57.3;0;35.2;0;0;0;0;0;3.83;37.2;0;59;0;0;0;0;0;0.0591;99.9;0;0;0;0;0;0;0;37.5;39.2;36.4;41;8.11 ;7.65 ;7.8 ;6.91 ;
2017-09-04;18:00:50.852;0.0886;0.172;0.514;0.714;434;444;0.0225;0.2;0.0142;0.0146;51.5;60.4;3.05e+04;1.77e+05;2.17e+03;0.345;8.62;0.177;4.43;8.59e+04;71.9;22.9;0.000479;5.19;0;0;0;0;0;332;115;0.118;0.171;0.686;0.714;144;148;0.0228;0.2;0.0142;0.0145; 51520;5974;20231;13.4;16;46;0.118;0.175;0.673;0.714;143;146;0.0206;0.201;0.0142;0.0145; 53280;5554;19510;13.1;15.6;48;0.118;0.171;0.692;0.714;146;149;0.0202;0.199;0.0144;0.0147; 48720;5742;20298;12.6;14.7;48;0.000322;0.845;0.000381;0.714;0.0243;0.606;0.96;0.0652;0.00088;0.022; 32880;0;0;12.5;14.1;50;1.01e+04;9.89e+03;4.28e+03; 51%; 50%; 21%;9.28e+03;4.16e+03;1e+04; 47%; 21%; 51%;9.32e+03;9.84e+03;4.37e+03; 47%; 50%; 22%;5.01e+03;4.82e+03;4.88e+03; 25%; 24%; 24%;96;0.839;0.00191;3.11;0;0;0;0;0;94.3;3.37;0;2.37;0;0;0;0;0;96.9;1.71;0;1.39;0;0;0;0;0;0.0534;86;0;13.9;0;0;0;0;0;87.7;86.2;93.3;64.4;29.3 ;29.2 ;29.5 ;26.9 ;
2017-09-04;18:00:51.869;0.0815;0.155;0.525;0.714;649;1.68e+03;0.614;0.179;0.0234;0.0605;42.9;43.2;2.78e+04;1.79e+05;2.13e+03;0.311;7.76;0.163;4.07;6.92e+04;73.4;18.2;0;8.37;0;0.713;0;0;0;292;102;0.111;0.158;0.702;0.714;219;580;0.622;0.174;0.0232;0.0614; 48960;4135;14632;9.99;8.75;48;0.109;0.156;0.698;0.714;218;564;0.613;0.179;0.0235;0.0607; 52560;4327;14586;10.1;9.03;48;0.106;0.151;0.698;0.714;211;535;0.605;0.184;0.0235;0.0594; 56480;4122;14233;10.1;9.1;50;0.000564;0.843;0.000669;0.714;0.0214;1.12;0.981;0.0568;0.000444;0.0232; 33280;0;2;12.7;16.3;51;6.85e+03;6.65e+03;3.81e+03; 35%; 34%; 19%;6.44e+03;3.96e+03;6.84e+03; 33%; 20%; 35%;6.5e+03;6.76e+03;3.97e+03; 33%; 34%; 20%;5.79e+03;5.88e+03;5.78e+03; 29%; 30%; 29%;98.3;0.222;0;1.46;0;0;0;0;0;97.7;0.297;0;1.95;0;1.32;0;0;0;97.7;0.195;0;2.09;0;1.54;0;0;0;0.0937;72;0;27.9;0;0;0;0;0;78.2;74.9;80.2;58.9;23.6 ;24.4 ;25.3 ;28.2 ;
2017-09-04;18:00:52.881;0.105;0.207;0.508;0.714;638;1.22e+03;0.476;0.196;0.0177;0.0338;48.5;26.3;3.6e+04;1.73e+05;2.14e+03;0.415;10.4;0.211;5.27;7.76e+04;71.2;11.3;0;17.5;0;0.933;0;0;0;297;94.2;0.139;0.206;0.677;0.714;208;395;0.473;0.196;0.0175;0.0333; 53760;4353;14025;11.6;5.65;46;0.142;0.21;0.678;0.714;215;416;0.482;0.195;0.0178;0.0343; 51360;4434;14440;11.6;5.68;47;0.14;0.207;0.678;0.714;214;405;0.472;0.197;0.018;0.034; 52720;4420;14250;11.6;5.68;47;0.00044;0.782;0.000563;0.714;0.0345;0.831;0.958;0.0643;0.00092;0.0222; 32800;0;1;13.7;9.32;50;7.23e+03;7.17e+03;4.31e+03; 37%; 36%; 22%;7.26e+03;4.41e+03;7.18e+03; 37%; 22%; 36%;7.29e+03;7.12e+03;4.48e+03; 37%; 36%; 22%;7.14e+03;7.07e+03;6.92e+03; 36%; 36%; 35%;94.7;0.627;0;4.63;0;2.57;0;0;0;95;0.875;0;4.14;0;1.16;0;0;0;94.9;1.79;0;3.35;0;0;0;0;0;0.0789;42;0;57.9;0;0;0;0;0;78.7;77.2;82.7;58.7;22.4 ;23.1 ;24 ;24.7 ;
2017-09-04;18:00:53.899;0.0741;0.145;0.512;0.714;573;1.97e+03;0.708;0.146;0.0227;0.0778;37;35.6;2.53e+04;1.75e+05;2.13e+03;0.289;7.23;0.148;3.7;5.99e+04;71.7;8.9;0;19.4;0;1.69;0;0;0;281;93.8;0.0936;0.137;0.684;0.714;182;605;0.7;0.151;0.0228;0.0759; 53040;3269;10995;8.39;6.99;47;0.102;0.149;0.683;0.714;198;689;0.713;0.144;0.0227;0.0792; 49920;3376;12086;8.25;6.66;48;0.1;0.147;0.681;0.714;194;671;0.711;0.146;0.0227;0.0784; 50480;3448;12330;8.31;6.74;49;0.000493;0.795;0.00062;0.714;0.0206;0.972;0.979;0.0542;0.000488;0.0231; 32960;2;0;12.1;15.2;50;5.34e+03;5.09e+03;3.66e+03; 27%; 26%; 18%;5.4e+03;3.84e+03;5.12e+03; 27%; 19%; 26%;5.44e+03;4.96e+03;3.89e+03; 27%; 25%; 19%;5.85e+03;5.83e+03;5.47e+03; 29%; 29%; 28%;95.8;0.242;0;3.99;0;2.93;0;0;0;95.6;0.26;0;4.19;0;3.84;0;0;0;95.4;0.967;0;3.66;0;0;0;0;0;0.0869;34.1;0;65.8;0;0;0;0;0;74.2;73.7;78.1;55.1;21.6 ;22 ;22.9 ;27.3 ;
