System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;20:37:37.312;0.0561;0.867;0.0647;0.571;50.5;61.5;0.179;0.675;0.00264;0.00321;4.62;5.17;1.91e+04;2.21e+04;2.13e+03;1.73;43.4;0.112;2.81;7.69e+03;11.3;18.7;0.0235;69.9;0;36.1;0;0;0;142;40.5;0.0033;0.362;0.00911;0.571;0.805;2.93;0.725;0.31;0.00287;0.0104; 41520;23;31;1.16;1.35;50;0.0753;0.784;0.0961;0.571;20.9;25.3;0.175;0.697;0.00325;0.00394; 48640;595;1846;1.14;1.24;50;0.143;0.957;0.15;0.571;28.3;31.6;0.106;0.679;0.00232;0.00259; 50240;937;3002;1.05;1.06;52;0.00255;0.638;0.004;0.571;0.548;1.68;0.674;0.467;0.00252;0.00772; 39120;31;20;1.27;1.51;52;579;750;135;  2%;  3%;  0%;1.13e+03;536;453;  5%;  2%;  2%;1.2e+03;689;745;  6%;  3%;  3%;741;594;143;  3%;  3%;  0%;1.59;12.6;0.0214;85.8;0;57.6;0;0;0;16.8;26.5;0.0462;56.6;0;19.9;0;0;0;26.2;26.7;0.0133;47.1;0;21.7;0;0;0;0.7;9.08;0.0132;90.2;0;45;0;0;0;32.8;37.1;40.8;31.6;10.2 ;10.4 ;10.3 ;9.61 ;
2017-09-04;20:37:38.325;0.0238;0.137;0.173;0.571;6.24;13.9;0.551;0.43;0.000771;0.00172;0.482;0.356;8.09e+03;5.91e+04;2.13e+03;0.274;6.85;0.0475;1.19;721;30.4;37.4;0.000109;32.3;0;8.85;0;0;0;148;26.6;0.0171;0.142;0.121;0.571;1.27;3.83;0.669;0.335;0.000869;0.00262; 50720;29;54;0.123;0.101;49;0.0379;0.132;0.287;0.571;2.32;5.74;0.596;0.408;0.00072;0.00178; 46960;35;124;0.12;0.0933;50;0.0397;0.139;0.286;0.571;2.59;3.63;0.287;0.557;0.000764;0.00107; 53680;50;158;0.131;0.0899;52;0.000257;0.659;0.00039;0.571;0.0591;0.704;0.916;0.0225;0.0027;0.0322; 39200;0;3;0.108;0.0717;53;75.9;84.6;27.2;  0%;  0%;  0%;99.4;31.7;68.2;  0%;  0%;  0%;97.8;76.3;35.7;  0%;  0%;  0%;48.5;43.9;32;  0%;  0%;  0%;21.2;30.7;0.000437;48.2;0;0;0;0;0;50.2;49.8;0;0;0;0;0;0;0;50;50;0;0;0;0;0;0;0;0.0682;19;0;81;0;35.4;0;0;0;35.4;41.3;42.4;29.2;7.09 ;6.75 ;6.85 ;5.92 ;
2017-09-04;20:37:39.324;0.0314;0.17;0.184;0.571;11.1;19;0.415;0.678;0.00106;0.0018;0.819;0.528;1.05e+04;6.18e+04;2.1e+03;0.341;8.52;0.0628;1.57;1.25e+03;32.2;62;0;5.81;0;0;0;0;0;157;28.3;0.0277;0.167;0.165;0.571;2.65;5.34;0.504;0.618;0.00114;0.0023; 50960;47;129;0.213;0.139;49;0.0476;0.166;0.286;0.571;4.06;7.5;0.459;0.658;0.00102;0.00188; 48400;58;198;0.195;0.139;50;0.0501;0.176;0.285;0.571;4.34;5.72;0.242;0.747;0.00103;0.00136; 49360;66;312;0.213;0.138;52;0.000192;0.714;0.00027;0.571;0.0813;0.46;0.823;0.0469;0.00503;0.0285; 39120;0;8;0.199;0.112;52;139;145;45.8;  0%;  0%;  0%;174;52.6;125;  0%;  0%;  0%;167;128;56.8;  0%;  0%;  0%;80.6;77.7;61.7;  0%;  0%;  0%;29;57.1;0;14;0;0;0;0;0;50.1;49.8;0;0.127;0;0;0;0;0;49.8;50;0;0.145;0;0;0;0;0;0.0472;90.9;0;9.01;0;0;0;0;0;38.7;40.9;42;35;7.37 ;7.17 ;7.28 ;6.43 ;
2017-09-04;20:37:40.337;0.116;0.613;0.189;0.571;104;120;0.132;0.72;0.00264;0.00304;8.38;6.84;3.94e+04;6.43e+04;2.13e+03;1.23;30.7;0.232;5.8;1.4e+04;33.1;63;0.00324;3.94;0;0.0545;0;0;0;186;43.4;0.145;0.636;0.228;0.571;32.2;38.2;0.158;0.715;0.00261;0.0031; 52320;815;2339;2.11;1.73;49;0.152;0.577;0.263;0.571;34.2;40.3;0.151;0.739;0.00265;0.00312; 49920;826;2459;2.09;1.73;50;0.166;0.635;0.261;0.571;37.7;41.3;0.0871;0.706;0.00267;0.00292; 49600;842;2853;2.1;1.71;52;0.000999;0.269;0.00371;0.571;0.0252;0.195;0.871;0.0756;0.000296;0.0023; 39280;3;0;2.07;1.68;52;1.46e+03;1.51e+03;612;  7%;  7%;  3%;1.66e+03;620;1.42e+03;  8%;  3%;  7%;1.62e+03;1.48e+03;701;  8%;  7%;  3%;1.08e+03;948;906;  5%;  4%;  4%;39.9;53.4;0;6.69;0;0;0;0;0;46.1;47.1;0.013;6.84;0;0.218;0;0;0;45.7;52.1;0;2.21;0;0;0;0;0;0.65;99.4;0;0;0;0;0;0;0;48.2;47.3;49.6;41.1;11 ;11 ;11.3 ;10.2 ;
2017-09-04;20:37:41.350;0.281;1.35;0.208;0.571;274;317;0.136;0.745;0.00286;0.00331;21.5;16.2;9.58e+04;7.09e+04;2.13e+03;2.7;67.6;0.563;14.1;3.61e+04;36.4;62.3;0.00284;1.23;0;0;0;0;0;226;67.5;0.398;1.43;0.278;0.571;96.1;111;0.138;0.747;0.00284;0.00329; 50640;2250;6675;5.39;4.07;47;0.347;1.24;0.279;0.571;85.5;101;0.156;0.759;0.00289;0.00343; 51200;2047;5596;5.31;4.15;49;0.38;1.38;0.275;0.571;91.9;103;0.108;0.73;0.00284;0.00319; 52240;1959;6353;5.44;4.07;50;0.000574;0.756;0.000759;0.572;0.144;1.08;0.866;0.0534;0.00295;0.0221; 39440;4;5;5.31;3.89;51;3.91e+03;3.92e+03;1.65e+03; 20%; 20%;  8%;4.12e+03;1.53e+03;3.97e+03; 21%;  7%; 20%;3.97e+03;4.03e+03;1.71e+03; 20%; 20%;  8%;2.57e+03;2.28e+03;2.49e+03; 13%; 11%; 12%;48.6;49.5;0.00122;1.86;0;0;0;0;0;48.9;49.1;0.0101;2;0;0;0;0;0;48.1;50.8;0;1.04;0;0;0;0;0;0.133;99.9;0;0;0;0;0;0;0;61.1;57.7;61.2;45.7;16.7 ;17.2 ;18 ;15.6 ;
2017-09-04;20:37:42.364;0.325;1.56;0.208;0.571;320;380;0.158;0.762;0.00289;0.00343;25;18.9;1.11e+05;7.08e+04;2.13e+03;3.13;78.2;0.651;16.3;4.21e+04;36.4;62;0.00128;1.61;0;0;0;0;0;238;74.8;0.46;1.64;0.28;0.571;113;134;0.158;0.765;0.00287;0.00341; 50240;2620;7760;6.29;4.76;47;0.401;1.45;0.277;0.571;99.6;119;0.16;0.764;0.00292;0.00347; 54320;2396;6510;6.2;4.86;49;0.439;1.6;0.274;0.571;107;126;0.15;0.76;0.00287;0.00338; 51840;2283;7383;6.34;4.77;50;0.000698;0.78;0.000894;0.572;0.184;1.31;0.859;0.054;0.0031;0.022; 39760;2;10;6.18;4.55;51;4.59e+03;4.56e+03;1.93e+03; 23%; 23%;  9%;4.78e+03;1.79e+03;4.64e+03; 24%;  9%; 23%;4.62e+03;4.72e+03;1.99e+03; 23%; 24%; 10%;2.98e+03;2.65e+03;2.9e+03; 15%; 13%; 14%;49;49.8;0.00112;1.21;0;0;0;0;0;48.5;48.8;0.004;2.7;0;0;0;0;0;47.9;49.5;0;2.55;0;0;0;0;0;0.156;99.8;0;0;0;0;0;0;0;64.5;60.9;64.7;47.7;18.6 ;18.9 ;20 ;17.3 ;
2017-09-04;20:37:43.380;0.33;1.59;0.208;0.571;325;378;0.139;0.751;0.00289;0.00336;25.2;19;1.12e+05;7.09e+04;2.13e+03;3.17;79.3;0.659;16.5;4.25e+04;36.4;61;0.00585;2.61;0;0;0;0;0;239;74.6;0.468;1.67;0.28;0.571;115;133;0.136;0.754;0.00287;0.00332; 51360;2638;7809;6.34;4.8;47;0.406;1.46;0.278;0.571;102;120;0.154;0.761;0.00294;0.00347; 51600;2412;6539;6.24;4.89;49;0.444;1.62;0.273;0.571;109;124;0.118;0.739;0.00288;0.00327; 52720;2314;7456;6.4;4.81;50;0.000779;0.839;0.000929;0.572;0.176;1.5;0.883;0.0491;0.00264;0.0225; 39280;1;10;6.22;4.56;51;4.62e+03;4.61e+03;1.94e+03; 23%; 23%;  9%;4.82e+03;1.8e+03;4.68e+03; 24%;  9%; 24%;4.66e+03;4.76e+03;2e+03; 23%; 24%; 10%;3e+03;2.66e+03;2.91e+03; 15%; 13%; 14%;49;50.1;0;0.953;0;0;0;0;0;48.6;48.9;0.0234;2.49;0;0;0;0;0;47.8;50.7;0;1.48;0;0;0;0;0;0.163;94.3;0;5.52;0;0;0;0;0;65.1;61.4;65.4;47.5;18.5 ;19 ;20.1 ;17.1 ;
2017-09-04;20:37:44.397;0.33;1.59;0.208;0.571;326;381;0.143;0.754;0.00289;0.00337;25.2;19;1.13e+05;7.1e+04;2.13e+03;3.18;79.5;0.661;16.5;4.25e+04;36.4;62.4;0.00446;1.25;0;0;0;0;0;240;74.5;0.469;1.67;0.28;0.571;115;134;0.137;0.754;0.00289;0.00335; 48000;2676;7919;6.34;4.8;48;0.407;1.47;0.278;0.571;102;121;0.16;0.764;0.00293;0.00349; 54560;2408;6594;6.25;4.88;49;0.445;1.63;0.273;0.571;109;124;0.123;0.744;0.00287;0.00327; 52800;2283;7401;6.41;4.8;50;0.00103;1.02;0.001;0.572;0.178;1.52;0.882;0.0632;0.00204;0.0173; 39360;2;12;6.23;4.56;51;4.62e+03;4.62e+03;1.94e+03; 23%; 23%;  9%;4.81e+03;1.8e+03;4.69e+03; 24%;  9%; 24%;4.65e+03;4.77e+03;2.01e+03; 23%; 24%; 10%;3e+03;2.66e+03;2.92e+03; 15%; 13%; 14%;49;50.1;0.00359;0.822;0;0;0;0;0;48.6;49;0.0142;2.43;0;0;0;0;0;47.7;50.5;0;1.73;0;0;0;0;0;0.175;99.8;0;0;0;0;0;0;0;65.2;61.5;65.6;47.9;18.5 ;18.9 ;19.9 ;17.2 ;
2017-09-04;20:37:45.414;0.331;1.59;0.208;0.571;330;382;0.138;0.747;0.00291;0.00338;25.3;19.1;1.13e+05;7.12e+04;2.14e+03;3.17;79.4;0.662;16.5;4.26e+04;36.5;61.2;0.00556;2.3;0;0;0;0;0;241;74.6;0.469;1.68;0.28;0.571;116;133;0.126;0.744;0.0029;0.00331; 47280;2711;8007;6.35;4.82;48;0.408;1.46;0.279;0.571;103;122;0.155;0.76;0.00295;0.00349; 54400;2454;6746;6.26;4.9;49;0.446;1.63;0.274;0.571;111;126;0.123;0.74;0.0029;0.00331; 52960;2343;7623;6.42;4.82;50;0.000782;0.778;0.00101;0.572;0.174;1.56;0.888;0.0466;0.00261;0.0233; 39520;2;11;6.25;4.59;51;4.63e+03;4.63e+03;1.94e+03; 23%; 23%;  9%;4.82e+03;1.8e+03;4.71e+03; 24%;  9%; 24%;4.67e+03;4.77e+03;2.01e+03; 23%; 24%; 10%;3.01e+03;2.68e+03;2.93e+03; 15%; 13%; 14%;49;50.3;0.0165;0.726;0;0;0;0;0;48.8;48.9;0.00571;2.3;0;0;0;0;0;48;50.4;0;1.61;0;0;0;0;0;0.176;95.2;0;4.58;0;0;0;0;0;65.6;61.7;65.7;47.7;18.5 ;19 ;20 ;17.1 ;
2017-09-04;20:37:46.428;0.328;1.57;0.209;0.571;328;388;0.156;0.76;0.00293;0.00347;24.8;18.7;1.12e+05;7.12e+04;2.13e+03;3.14;78.6;0.657;16.4;4.16e+04;36.5;60.9;0.00381;2.54;0;0.00449;0;0;0;238;74.6;0.464;1.65;0.281;0.571;116;136;0.151;0.761;0.00292;0.00343; 47680;2696;7955;6.23;4.71;47;0.404;1.45;0.278;0.571;102;121;0.157;0.761;0.00295;0.0035; 53680;2440;6675;6.14;4.8;49;0.443;1.61;0.275;0.571;110;130;0.15;0.76;0.00291;0.00343; 49440;2289;7375;6.28;4.71;50;0.000812;0.807;0.00101;0.572;0.171;1.59;0.893;0.048;0.00247;0.023; 40000;2;13;6.12;4.5;51;4.53e+03;4.52e+03;1.89e+03; 23%; 23%;  9%;4.72e+03;1.76e+03;4.6e+03; 24%;  9%; 23%;4.56e+03;4.68e+03;1.97e+03; 23%; 23%; 10%;2.95e+03;2.61e+03;2.86e+03; 15%; 13%; 14%;49.1;49.8;0.00516;1.12;0;0;0;0;0;48.6;48.9;0.0101;2.48;0;0.0179;0;0;0;48.2;49.3;0;2.52;0;0;0;0;0;0.176;95.8;0;4.03;0;0;0;0;0;64.8;61.2;65.1;47.2;18.4 ;18.9 ;20 ;17.2 ;
