System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;20:27:16.359;0.0391;1.19;0.033;0.617;23.6;31.2;0.245;0.653;0.00177;0.00234;2.86;3.6;1.33e+04;1.12e+04;2.12e+03;2.37;59.3;0.0783;1.96;4.82e+03;5.34;15.5;0.0447;79.1;0;30.8;0;0;0;132;38.2;0.00496;0.482;0.0103;0.611;1.2;4.48;0.732;0.319;0.00284;0.0106; 45200;122;154;0.795;1.05;50;0.00282;0.394;0.00715;0.607;0.638;1.82;0.648;0.297;0.00266;0.00757; 36160;24;80;0.698;0.91;51;0.147;1.32;0.112;0.618;21.2;23.6;0.0993;0.701;0.00169;0.00188; 51040;795;2424;0.586;0.625;52;0.00129;0.447;0.00289;0.619;0.506;1.35;0.625;0.294;0.0046;0.0123; 21280;36;18;0.777;1.01;50;199;698;168;  1%;  3%;  0%;612;86.7;162;  3%;  0%;  0%;627;762;667;  3%;  3%;  3%;601;79.6;160;  3%;  0%;  0%;1.68;16.1;0.0643;82.2;0;38.5;0;0;0;1.18;4.6;0.0493;94.2;0;55.5;0;0;0;18;21.3;0.0263;60.6;0;29.1;0;0;0;0.467;20.1;0.0387;79.4;0;0;0;0;0;32.2;29.6;38.2;31.5;9.66 ;9.74 ;9.61 ;9.18 ;
2017-09-04;20:27:17.372;0.0442;0.183;0.241;0.619;33.1;41.8;0.207;0.666;0.0022;0.00277;2.22;1.82;1.51e+04;8.22e+04;2.13e+03;0.367;9.17;0.0884;2.21;3.56e+03;38.9;43.1;0.000247;17.9;0;3.74;0;0;0;171;29.6;0.0571;0.19;0.301;0.619;11.3;14.3;0.212;0.669;0.00232;0.00294; 49680;287;830;0.548;0.46;49;0.0404;0.148;0.273;0.619;4.63;7.76;0.404;0.659;0.00134;0.00225; 51040;97;307;0.57;0.498;50;0.069;0.224;0.308;0.619;16.3;18.2;0.101;0.669;0.00278;0.00309; 52320;385;1266;0.552;0.393;52;0.0103;0.125;0.0825;0.619;0.894;1.52;0.41;0.614;0.00102;0.00173; 45680;14;35;0.552;0.472;50;246;500;187;  1%;  2%;  0%;433;124;327;  2%;  0%;  1%;322;448;220;  1%;  2%;  1%;350;154;250;  1%;  0%;  1%;48.6;48.8;0;2.64;0;0.33;0;0;0;44.1;45;0.000987;10.9;0;0.35;0;0;0;49.7;49.7;0;0.531;0;0;0;0;0;13.3;28.9;0;57.8;0;14.3;0;0;0;45.9;42.9;46.3;35.5;7.68 ;7.52 ;7.63 ;6.79 ;
2017-09-04;20:27:18.372;0.0935;0.346;0.27;0.619;68.5;80.6;0.15;0.688;0.00218;0.00257;5.52;4.38;3.14e+04;9.06e+04;2.1e+03;0.693;17.3;0.187;4.67;9.12e+03;43.6;53.5;0.000328;2.88;0;0;0;0;0;184;36.3;0.101;0.339;0.297;0.619;18.9;22.5;0.159;0.689;0.00224;0.00266; 51520;455;1313;1.39;1.09;49;0.0979;0.333;0.294;0.619;18;20.6;0.129;0.69;0.00219;0.00251; 49040;419;1372;1.37;1.08;50;0.105;0.356;0.296;0.619;19.2;21.8;0.118;0.693;0.00217;0.00246; 52880;433;1373;1.38;1.11;51;0.0702;0.364;0.193;0.619;12.5;15.7;0.209;0.675;0.00211;0.00267; 50240;318;833;1.39;1.1;49;806;799;700;  4%;  4%;  3%;834;638;814;  4%;  3%;  4%;797;825;681;  4%;  4%;  3%;770;726;729;  4%;  3%;  3%;47.9;50;0.000499;2.07;0;0;0;0;0;47.5;51.3;0;1.16;0;0;0;0;0;47.7;51.8;0.000813;0.462;0;0;0;0;0;31.2;61;0;7.83;0;0;0;0;0;47.1;45.6;47.3;43.6;9.2 ;9.24 ;9.42 ;8.43 ;
2017-09-04;20:27:19.387;0.378;1.31;0.288;0.619;385;435;0.115;0.716;0.00299;0.00337;30.4;21.5;1.29e+05;9.82e+04;2.13e+03;2.62;65.6;0.756;18.9;5.11e+04;46.6;51.2;0.000687;2.22;0;0;0;0;0;263;77.3;0.376;1.28;0.294;0.619;95.2;112;0.152;0.742;0.00297;0.0035; 50880;2153;6046;7.54;5.43;47;0.379;1.3;0.292;0.619;98.8;111;0.11;0.711;0.00306;0.00343; 51360;2108;7039;7.47;5.4;49;0.38;1.35;0.282;0.619;93.1;105;0.114;0.721;0.00287;0.00324; 53200;1907;6173;7.73;5.29;49;0.376;1.32;0.285;0.619;97.6;107;0.0846;0.681;0.00304;0.00332; 51040;1880;6922;7.62;5.41;48;4.31e+03;3.83e+03;4.5e+03; 22%; 19%; 23%;4.3e+03;4.18e+03;4.34e+03; 22%; 21%; 22%;4.19e+03;4.02e+03;4.29e+03; 21%; 20%; 22%;4.43e+03;4.39e+03;4.3e+03; 22%; 22%; 22%;47.5;49.6;0.00275;2.82;0;0;0;0;0;47.2;51.9;0;0.941;0;0;0;0;0;45.5;51.2;0;3.27;0;0;0;0;0;46;52.1;0;1.87;0;0;0;0;0;66;64.7;66.9;65.4;19.1 ;19.5 ;20.4 ;18.3 ;
2017-09-04;20:27:20.400;0.47;1.55;0.302;0.619;491;545;0.0996;0.708;0.00307;0.00341;37.1;26.1;1.6e+05;1.03e+05;2.13e+03;3.11;77.7;0.939;23.5;6.25e+04;48.8;50.8;0.000596;0.42;0;0;0;0;0;288;86.4;0.469;1.53;0.307;0.619;122;139;0.122;0.722;0.00306;0.00348; 52800;2696;7752;9.21;6.58;48;0.468;1.54;0.304;0.619;125;142;0.115;0.722;0.00314;0.00355; 47520;2640;8761;9.14;6.54;49;0.471;1.59;0.295;0.619;118;129;0.0841;0.7;0.00294;0.00321; 48560;2403;7701;9.44;6.4;50;0.47;1.55;0.303;0.619;125;135;0.0745;0.685;0.00313;0.00338; 52880;2370;8721;9.32;6.59;48;5.28e+03;4.68e+03;5.56e+03; 27%; 24%; 28%;5.19e+03;5.12e+03;5.28e+03; 26%; 26%; 27%;5.07e+03;4.9e+03;5.3e+03; 26%; 25%; 27%;5.44e+03;5.33e+03;5.34e+03; 27%; 27%; 27%;49.5;49.7;0.000525;0.734;0;0;0;0;0;49.1;50.1;0.00186;0.799;0;0;0;0;0;47.7;52.1;0;0.14;0;0;0;0;0;49;51;0;0.00777;0;0;0;0;0;72.1;70.6;73.7;71.5;21.3 ;21.8 ;22.7 ;20.5 ;
2017-09-04;20:27:21.412;0.333;1.16;0.288;0.619;339;383;0.114;0.718;0.00299;0.00338;26.2;18.8;1.13e+05;9.79e+04;2.13e+03;2.31;57.9;0.666;16.6;4.39e+04;46.5;50.9;0.00269;2.63;0;0;0;0;0;251;70.9;0.329;1.15;0.285;0.619;83.4;98;0.148;0.739;0.00298;0.0035; 52320;1870;5415;6.49;4.72;48;0.337;1.12;0.302;0.619;86.6;99.1;0.126;0.731;0.00302;0.00346; 50560;1848;6216;6.44;4.7;48;0.334;1.2;0.278;0.619;82.5;91.5;0.0986;0.709;0.0029;0.00322; 48080;1707;5444;6.69;4.63;50;0.333;1.16;0.286;0.619;86.7;94.1;0.0785;0.684;0.00306;0.00332; 46880;1679;6103;6.55;4.73;48;3.72e+03;3.29e+03;3.86e+03; 19%; 16%; 19%;3.69e+03;3.55e+03;3.67e+03; 18%; 18%; 18%;3.58e+03;3.42e+03;3.8e+03; 18%; 17%; 19%;3.87e+03;3.69e+03;3.74e+03; 19%; 18%; 19%;46.1;48.3;0.0102;5.58;0;0;0;0;0;48.8;48;0;3.27;0;0;0;0;0;44.9;53.6;0.00062;1.54;0;0;0;0;0;46.2;53.7;0;0.147;0;0;0;0;0;62.6;61.7;64.2;62.8;17.5 ;17.9 ;18.8 ;16.7 ;
2017-09-04;20:27:22.426;0.458;1.52;0.302;0.619;483;555;0.13;0.731;0.0031;0.00356;37.6;26.7;1.56e+05;1.03e+05;2.13e+03;3.04;76;0.916;22.9;6.34e+04;48.7;49.8;0.00244;1.5;0;0;0;0;0;283;87.5;0.46;1.5;0.306;0.619;121;139;0.132;0.726;0.00309;0.00356; 53120;2725;7950;9.35;6.72;46;0.459;1.52;0.302;0.619;121;138;0.124;0.727;0.00311;0.00355; 52800;2507;9023;9.25;6.66;48;0.456;1.54;0.296;0.619;117;136;0.14;0.744;0.00301;0.0035; 53040;2365;7577;9.56;6.57;49;0.458;1.51;0.303;0.619;125;142;0.123;0.727;0.0032;0.00365; 52240;2377;8815;9.46;6.76;47;5.47e+03;4.74e+03;5.57e+03; 28%; 24%; 28%;5.24e+03;5.05e+03;5.42e+03; 26%; 25%; 27%;5.05e+03;4.89e+03;5.59e+03; 25%; 25%; 28%;5.59e+03;5.26e+03;5.49e+03; 28%; 27%; 28%;49.4;49.5;0;1.05;0;0;0;0;0;48.8;49.6;0;1.66;0;0;0;0;0;47.8;50;0;2.22;0;0;0;0;0;48.9;50.1;0.00976;1.05;0;0;0;0;0;70.9;69.4;72.6;70;21.6 ;22.1 ;23 ;20.8 ;
2017-09-04;20:27:23.439;0.438;1.47;0.298;0.619;466;523;0.108;0.715;0.00313;0.00351;35.7;25.2;1.49e+05;1.02e+05;2.13e+03;2.93;73.4;0.875;21.9;6.04e+04;48.2;50.7;0.0175;1.11;0;0;0;0;0;282;84.2;0.437;1.44;0.303;0.619;115;132;0.132;0.73;0.00308;0.00355; 52720;2552;7527;8.88;6.28;47;0.439;1.47;0.299;0.619;119;133;0.104;0.713;0.00319;0.00356; 50080;2311;8311;8.79;6.35;48;0.437;1.5;0.292;0.619;115;126;0.093;0.704;0.00308;0.00339; 52080;2288;6898;9.11;6.24;48;0.438;1.46;0.3;0.619;118;131;0.102;0.711;0.00317;0.00352; 50880;2244;8331;8.96;6.31;47;5.19e+03;4.45e+03;5.23e+03; 26%; 22%; 26%;5.27e+03;4.74e+03;5.13e+03; 27%; 24%; 26%;5.13e+03;4.58e+03;5.27e+03; 26%; 23%; 27%;5.29e+03;4.91e+03;5.16e+03; 27%; 25%; 26%;48.9;49.3;0.0363;1.7;0;0;0;0;0;48.2;50.4;0;1.37;0;0;0;0;0;47.1;52.1;0;0.764;0;0;0;0;0;48.4;50.9;0.0338;0.618;0;0;0;0;0;70.5;69.3;72;69.9;20.9 ;21.3 ;22.4 ;19.7 ;
2017-09-04;20:27:24.453;0.298;1.02;0.293;0.619;303;341;0.112;0.712;0.00298;0.00336;23.3;16.4;1.02e+05;9.97e+04;2.13e+03;2.04;51;0.597;14.9;3.91e+04;47.3;50.9;0.00136;1.83;0;0;0;0;0;243;65.6;0.295;1.01;0.291;0.619;73.4;86;0.146;0.729;0.00292;0.00342; 50720;1668;4779;5.8;4.1;47;0.3;1;0.298;0.619;77.6;86.3;0.1;0.704;0.00304;0.00338; 48000;1543;5365;5.73;4.13;49;0.3;1.05;0.287;0.619;74.1;81.3;0.0882;0.698;0.00291;0.00319; 47280;1488;4658;5.95;4.07;49;0.299;1.01;0.295;0.619;77.9;87.8;0.112;0.714;0.00306;0.00345; 46640;1627;5498;5.82;4.13;48;3.33e+03;2.86e+03;3.41e+03; 17%; 14%; 17%;3.4e+03;3.11e+03;3.27e+03; 17%; 15%; 16%;3.3e+03;2.97e+03;3.43e+03; 16%; 15%; 17%;3.47e+03;3.22e+03;3.3e+03; 17%; 16%; 16%;47;48.8;0.00174;4.2;0;0;0;0;0;48.2;50.8;0;0.945;0;0;0;0;0;46.3;53.1;0;0.642;0;0;0;0;0;47.6;50.9;0.0037;1.55;0;0;0;0;0;60.5;59.8;62.1;60.5;16.4 ;16.5 ;17.4 ;15.3 ;
2017-09-04;20:27:25.467;0.318;1.05;0.302;0.619;324;362;0.103;0.705;0.003;0.00334;25;17.5;1.08e+05;1.03e+05;2.13e+03;2.11;52.6;0.635;15.9;4.23e+04;48.7;50.7;0.00466;0.547;0;0;0;0;0;249;67.5;0.317;1.03;0.306;0.619;79.3;90.6;0.125;0.722;0.00294;0.00336; 50880;1807;5067;6.22;4.38;47;0.317;1.05;0.303;0.619;82.4;90.2;0.0865;0.688;0.00305;0.00334; 50080;1634;5621;6.15;4.37;48;0.318;1.08;0.293;0.619;78.5;87;0.0977;0.7;0.0029;0.00321; 53200;1558;4830;6.4;4.3;49;0.318;1.05;0.304;0.619;84.1;93.8;0.104;0.706;0.00311;0.00346; 50320;1612;5826;6.26;4.44;47;3.54e+03;3.17e+03;3.69e+03; 18%; 16%; 18%;3.58e+03;3.4e+03;3.53e+03; 18%; 17%; 18%;3.49e+03;3.18e+03;3.77e+03; 17%; 16%; 19%;3.69e+03;3.55e+03;3.67e+03; 18%; 18%; 18%;49.5;49.8;0.0065;0.756;0;0;0;0;0;48.9;50.7;0;0.449;0;0;0;0;0;47.4;52.1;0;0.511;0;0;0;0;0;49.2;50.4;0.0121;0.474;0;0;0;0;0;62.5;61.5;63.5;62;16.7 ;17.3 ;17.7 ;15.9 ;
