System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;20:14:04.545;0.0324;0.992;0.0327;0.705;21.8;30.7;0.289;0.671;0.0019;0.00267;2.23;2.67;1.15e+04;1.16e+04;2.13e+03;1.98;49.6;0.0648;1.62;4.01e+03;4.63;12;0.0323;83.4;0;32.7;0;0;0;135;37.8;0.121;1.09;0.111;0.712;19.2;22.3;0.137;0.722;0.0018;0.00208; 52080;741;2232;0.468;0.432;47;0.00264;0.343;0.0077;0.653;0.916;3.36;0.727;0.272;0.00392;0.0144; 46400;44;52;0.574;0.716;53;0.0028;0.379;0.00739;0.666;0.86;2.75;0.688;0.34;0.00346;0.0111; 35600;15;71;0.534;0.68;55;0.00321;0.641;0.005;0.714;0.796;2.26;0.648;0.435;0.0028;0.00796; 33440;54;30;0.653;0.844;52;582;552;646;  2%;  2%;  3%;105;86.2;561;  0%;  0%;  2%;83.2;548;93.6;  0%;  2%;  0%;75.4;88.5;585;  0%;  0%;  2%;15.6;11;0.063;73.4;0;18.7;0;0;0;1.18;5.34;0.0142;93.5;0;62;0;0;0;1.11;5.48;0.0242;93.4;0;49.9;0;0;0;0.701;26.1;0.0277;73.2;0;0;0;0;0;38.5;30.8;32.1;33.7;9.19 ;9.65 ;9.71 ;9.2 ;
2017-09-04;20:14:05.556;0.185;1.1;0.169;0.714;180;211;0.146;0.691;0.00283;0.00331;15;12.4;6.36e+04;5.81e+04;2.23e+03;2.19;54.8;0.371;9.26;2.45e+04;23.7;28.9;0.000616;47.4;0;21.8;0;0;0;211;60.4;0.737;1.1;0.672;0.714;180;208;0.136;0.694;0.00283;0.00328; 56880;5025;15214;3.71;1.73;46;0.0012;1.08;0.0011;0.696;0.103;2.47;0.958;0.0417;0.001;0.024; 46080;3;10;3.83;3.7;53;6.29e-05;0.313;0.000201;0.707;0.016;0.0879;0.818;0.0693;0.00296;0.0163; 35440;1;7;3.7;3.49;54;7.87e-05;0.384;0.000205;0.698;0.0246;0.113;0.783;0.0797;0.00365;0.0168; 33120;0;2;3.75;3.46;52;2.77e+03;2.62e+03;2.62e+03; 14%; 13%; 13%;486;494;4.56e+03;  2%;  2%; 23%;487;4.46e+03;491;  2%; 22%;  2%;491;496;4.53e+03;  2%;  2%; 23%;94.1;2.37;0.00245;3.5;0;0;0;0;0;0.159;35.3;0;64.5;0;27.5;0;0;0;0.0284;53.7;0;46.3;0;30.5;0;0;0;0.0294;24.4;0;75.6;0;29.2;0;0;0;78.8;43;46.8;42.5;13.7 ;15.9 ;16.3 ;14.5 ;
2017-09-04;20:14:06.556;0.189;1.12;0.168;0.714;161;192;0.162;0.698;0.00254;0.00303;13.3;10.7;6.34e+04;5.63e+04;2.1e+03;2.25;56.2;0.377;9.43;2.19e+04;23.5;18.6;0;57.9;0;42.9;0;0;0;208;57.3;0.753;1.13;0.669;0.714;161;190;0.152;0.701;0.00254;0.003; 47840;4365;13005;3.38;1.56;46;0.00107;1.11;0.000967;0.667;0.0861;2.14;0.96;0.0432;0.000958;0.0238; 46560;4;4;3.35;3.11;52;8.16e-05;0.377;0.000216;0.696;0.0277;0.13;0.787;0.076;0.00405;0.019; 35600;0;5;3.25;2.98;53;8.73e-05;0.398;0.00022;0.694;0.0244;0.129;0.81;0.082;0.00333;0.0175; 33280;0;0;3.36;3.04;52;2.36e+03;2.26e+03;2.31e+03; 12%; 11%; 12%;443;453;4.16e+03;  2%;  2%; 21%;444;4.02e+03;448;  2%; 20%;  2%;448;455;4.15e+03;  2%;  2%; 21%;93.7;1.96;0;4.33;0;0;0;0;0;0.145;23.7;0;76.1;0;68.6;0;0;0;0.0311;25.7;0;74.3;0;27.3;0;0;0;0.0316;23;0;76.9;0;75.6;0;0;0;80;41.7;43.9;42.5;13.2 ;15 ;15.4 ;13.7 ;
2017-09-04;20:14:07.566;0.176;1.03;0.171;0.714;152;183;0.167;0.706;0.00255;0.00306;12;9.7;5.97e+04;5.8e+04;2.12e+03;2.06;51.5;0.352;8.8;1.96e+04;23.9;69.1;0.0041;7.01;0;0;0;0;0;220;55.4;0.703;1.03;0.682;0.714;152;181;0.159;0.708;0.00255;0.00304; 53440;4109;11987;3.08;1.44;46;0.000942;1.07;0.00088;0.714;0.0837;1.81;0.954;0.0453;0.00105;0.0226; 46640;3;2;2.97;2.77;52;6.66e-05;0.271;0.000246;0.714;0.0166;0.108;0.847;0.0646;0.00293;0.0192; 35680;0;4;2.98;2.76;54;7.44e-05;0.284;0.000262;0.714;0.0162;0.103;0.843;0.091;0.00257;0.0164; 33200;1;1;2.97;2.73;52;2.09e+03;2.08e+03;2.06e+03; 10%; 10%; 10%;394;395;3.66e+03;  2%;  2%; 18%;395;3.67e+03;396;  2%; 18%;  2%;396;396;3.65e+03;  2%;  2%; 18%;95.5;2.58;0.0164;1.93;0;0;0;0;0;0.123;99.9;0;0.00977;0;0;0;0;0;0.0345;81.1;0;18.8;0;0;0;0;0;0.0367;92.7;0;7.27;0;0;0;0;0;77;47.5;47.8;47.9;12.8 ;14.4 ;15.1 ;13.2 ;
2017-09-04;20:14:08.574;0.185;1.08;0.172;0.714;166;197;0.159;0.699;0.00265;0.00315;13.6;10.9;6.26e+04;5.82e+04;2.12e+03;2.15;53.8;0.369;9.23;2.22e+04;24;75.5;0;0.518;0;0;0;0;0;229;57.8;0.737;1.08;0.685;0.714;166;195;0.149;0.702;0.00265;0.00312; 54800;4518;13484;3.45;1.59;46;0.00113;1.18;0.000955;0.714;0.0845;2.17;0.961;0.0467;0.000881;0.0226; 46000;4;4;3.38;3.13;52;5.91e-05;0.267;0.000222;0.714;0.014;0.074;0.811;0.124;0.00279;0.0148; 35600;0;8;3.33;3.06;54;7.67e-05;0.304;0.000252;0.714;0.0226;0.0957;0.764;0.133;0.00347;0.0147; 33040;0;2;3.39;3.08;52;2.37e+03;2.32e+03;2.33e+03; 12%; 11%; 12%;450;457;4.18e+03;  2%;  2%; 21%;451;4.1e+03;454;  2%; 21%;  2%;454;458;4.17e+03;  2%;  2%; 21%;95.9;2.04;0;2.07;0;0;0;0;0;0.134;99.9;0;0;0;0;0;0;0;0.031;100;0;0;0;0;0;0;0;0.0354;100;0;0;0;0;0;0;0;79.4;48.7;51;49.8;13.3 ;15.1 ;15.6 ;13.9 ;
2017-09-04;20:14:09.583;0.19;1.09;0.173;0.714;169;201;0.159;0.701;0.00263;0.00313;13.8;11.1;6.42e+04;5.87e+04;2.12e+03;2.19;54.7;0.379;9.48;2.26e+04;24.3;75.4;0.00931;0.378;0;0;0;0;0;228;59;0.757;1.09;0.692;0.714;169;198;0.149;0.704;0.00263;0.00309; 53360;4629;13660;3.51;1.62;45;0.00105;1.17;0.000894;0.714;0.0664;2.04;0.967;0.0458;0.000748;0.023; 46080;4;2;3.45;3.19;52;9.51e-05;0.365;0.00026;0.714;0.0174;0.195;0.911;0.0693;0.00216;0.0243; 35680;1;2;3.39;3.12;54;0.000103;0.392;0.000263;0.714;0.0168;0.193;0.913;0.078;0.00192;0.0221; 33040;0;2;3.46;3.14;52;2.41e+03;2.36e+03;2.38e+03; 12%; 12%; 12%;457;464;4.26e+03;  2%;  2%; 21%;458;4.18e+03;461;  2%; 21%;  2%;461;465;4.26e+03;  2%;  2%; 21%;96.8;1.64;0.0373;1.51;0;0;0;0;0;0.125;99.9;0;0.00178;0;0;0;0;0;0.0365;100;0;0;0;0;0;0;0;0.0368;100;0;0;0;0;0;0;0;79.6;48.2;50.4;49.3;13.5 ;15.4 ;16 ;14.1 ;
2017-09-04;20:14:10.592;0.189;1.13;0.168;0.714;168;199;0.156;0.704;0.00262;0.0031;13.7;11;6.42e+04;5.69e+04;2.12e+03;2.26;56.5;0.379;9.47;2.24e+04;23.5;75.1;0;1.4;0;0;0;0;0;232;58.5;0.757;1.13;0.67;0.714;168;197;0.147;0.706;0.00262;0.00307; 53040;4608;13535;3.49;1.61;45;0.000975;1.17;0.000832;0.714;0.062;1.88;0.967;0.0469;0.000751;0.0228; 46560;2;3;3.42;3.16;52;8.84e-05;0.353;0.000251;0.714;0.0162;0.166;0.902;0.0859;0.00217;0.0221; 35680;0;2;3.37;3.09;54;8.99e-05;0.362;0.000248;0.714;0.0138;0.145;0.905;0.101;0.00181;0.019; 33120;1;0;3.43;3.11;52;2.39e+03;2.34e+03;2.36e+03; 12%; 12%; 12%;455;461;4.23e+03;  2%;  2%; 21%;456;4.15e+03;459;  2%; 21%;  2%;459;462;4.22e+03;  2%;  2%; 21%;93.7;1.96;0;4.3;0;0;0;0;0;0.116;98.6;0;1.3;0;0;0;0;0;0.0351;100;0;0;0;0;0;0;0;0.0347;100;0;0;0;0;0;0;0;80.5;49.2;51.5;50.4;13.4 ;15.3 ;15.8 ;14 ;
2017-09-04;20:14:11.600;0.19;1.11;0.171;0.714;169;200;0.156;0.703;0.00262;0.00311;13.8;11.1;6.45e+04;5.79e+04;2.12e+03;2.23;55.7;0.381;9.52;2.26e+04;23.9;75.4;0;0.663;0;0;0;0;0;231;58.8;0.76;1.11;0.682;0.714;169;198;0.147;0.705;0.00262;0.00308; 53520;4607;13531;3.5;1.61;45;0.00112;1.18;0.000948;0.714;0.065;2.14;0.97;0.0466;0.000684;0.0225; 46640;3;2;3.44;3.2;52;6.05e-05;0.258;0.000235;0.714;0.0153;0.0773;0.802;0.146;0.00299;0.0151; 35520;0;4;3.39;3.12;53;7.08e-05;0.293;0.000242;0.714;0.0168;0.0791;0.787;0.155;0.0028;0.0132; 33040;1;0;3.44;3.12;52;2.42e+03;2.36e+03;2.37e+03; 12%; 12%; 12%;456;463;4.25e+03;  2%;  2%; 21%;456;4.18e+03;460;  2%; 21%;  2%;460;464;4.24e+03;  2%;  2%; 21%;95.5;1.86;0;2.65;0;0;0;0;0;0.133;99.9;0;0;0;0;0;0;0;0.0329;100;0;0;0;0;0;0;0;0.0338;100;0;0;0;0;0;0;0;80.5;49;51.3;50.1;13.5 ;15.3 ;15.8 ;14.1 ;
2017-09-04;20:14:12.610;0.176;1.07;0.164;0.714;162;192;0.154;0.705;0.00272;0.00321;13.3;10.7;5.96e+04;5.58e+04;2.12e+03;2.14;53.5;0.352;8.79;2.18e+04;23;75.6;0;1.36;0;0;0;0;0;226;57.7;0.702;1.07;0.656;0.714;162;190;0.147;0.706;0.00272;0.00319; 56800;4436;13053;3.38;1.55;45;0.000829;1.05;0.000787;0.714;0.0862;1.59;0.946;0.0477;0.00123;0.0226; 46160;4;3;3.32;3.08;52;5.89e-05;0.247;0.000239;0.714;0.0138;0.0711;0.806;0.155;0.00276;0.0142; 35760;0;3;3.26;2.99;53;6.96e-05;0.282;0.000247;0.714;0.0147;0.0758;0.806;0.161;0.00249;0.0128; 32960;0;1;3.33;3.02;51;2.33e+03;2.26e+03;2.29e+03; 12%; 11%; 11%;440;447;4.11e+03;  2%;  2%; 21%;441;4.02e+03;444;  2%; 20%;  2%;444;448;4.1e+03;  2%;  2%; 21%;91.9;2.67;0;5.43;0;0;0;0;0;0.11;99.9;0;0;0;0;0;0;0;0.0334;100;0;0;0;0;0;0;0;0.0346;100;0;0;0;0;0;0;0;77.6;48.3;50.4;49.5;13.3 ;15 ;15.6 ;13.8 ;
2017-09-04;20:14:13.620;0.19;1.11;0.17;0.714;167;198;0.156;0.705;0.0026;0.00308;13.8;11;6.44e+04;5.78e+04;2.12e+03;2.23;55.7;0.38;9.49;2.25e+04;23.9;75.5;0.017;0.646;0;0;0;0;0;234;58.5;0.758;1.11;0.68;0.714;167;196;0.146;0.708;0.0026;0.00305; 51920;4590;13383;3.5;1.61;44;0.00117;1.16;0.00102;0.714;0.105;2.26;0.954;0.0464;0.00105;0.0227; 46400;6;4;3.43;3.18;51;6.67e-05;0.277;0.00024;0.714;0.0154;0.0832;0.814;0.146;0.00273;0.0147; 35680;1;3;3.38;3.11;53;7.94e-05;0.315;0.000252;0.714;0.0172;0.0995;0.827;0.141;0.00255;0.0148; 32880;2;0;3.44;3.12;51;2.4e+03;2.35e+03;2.36e+03; 12%; 12%; 12%;456;463;4.24e+03;  2%;  2%; 21%;458;4.17e+03;460;  2%; 21%;  2%;460;465;4.23e+03;  2%;  2%; 21%;95.2;2.18;0.0681;2.54;0;0;0;0;0;0.142;99.8;0;0.0118;0;0;0;0;0;0.0337;100;0;0;0;0;0;0;0;0.0354;99.9;0;0.031;0;0;0;0;0;81.3;49.9;52.1;50.9;13.4 ;15.3 ;15.8 ;14 ;
