System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;19:38:59.239;0.0742;0.338;0.219;1.23;48.3;64.8;0.255;0.696;0.00192;0.00258;5.21;6.02;2.51e+04;7.42e+04;2.12e+03;0.677;16.9;0.148;3.71;8.68e+03;17.8;15.2;0.131;66.9;0;15.6;0;0;0;270;46.2;0.105;0.32;0.329;1.23;20.1;24.8;0.188;0.722;0.00226;0.00279; 49600;732;2341;1.2;1.28;48;0.0384;0.283;0.136;1.23;5.91;10.3;0.425;0.674;0.00182;0.00316; 52160;228;614;1.33;1.61;49;0.145;0.371;0.392;1.23;21.2;26.8;0.208;0.692;0.00172;0.00218; 46640;819;2677;1.2;1.34;50;0.00768;0.366;0.021;1.25;1.06;2.96;0.642;0.444;0.00163;0.00455; 26800;77;47;1.48;1.79;49;760;1.14e+03;626;  3%;  5%;  3%;846;257;796;  4%;  1%;  4%;774;1.12e+03;805;  4%;  5%;  4%;630;283;643;  3%;  1%;  3%;26.7;9;0.26;64.1;0;17.3;0;0;0;11;16.1;0.0848;72.8;0;17.3;0;0;0;31.7;7.2;0.0481;61;0;27.6;0;0;0;1.68;28.5;0.132;69.7;0;0;0;0;0;70;63.6;76.7;59.8;11.3 ;11.8 ;11.4 ;11.7 ;
2017-09-04;19:39:00.249;0.234;0.275;0.852;1.24;181;217;0.164;0.647;0.00228;0.00273;15.3;11.2;7.94e+04;2.89e+05;2.12e+03;0.55;13.7;0.468;11.7;2.54e+04;68.8;10.3;0.000689;20.9;0;9.08;0;0;0;391;55.1;0.318;0.276;1.15;1.24;60.7;72.5;0.162;0.656;0.00225;0.00269; 48320;1676;4573;3.8;2.9;45;0.303;0.282;1.08;1.24;59.5;71;0.161;0.646;0.00232;0.00276; 55920;1609;4356;3.77;2.84;46;0.315;0.267;1.18;1.24;60.9;72.5;0.16;0.643;0.00228;0.00271; 48720;1551;4463;4;2.89;47;0.000417;0.732;0.00057;1.09;0.0812;0.893;0.909;0.0575;0.00229;0.0252; 26960;1;2;3.72;2.56;48;2.74e+03;3e+03;1.13e+03; 14%; 15%;  5%;2.76e+03;1.12e+03;2.82e+03; 14%;  5%; 14%;2.84e+03;2.94e+03;1.11e+03; 14%; 15%;  5%;1.59e+03;1.67e+03;1.72e+03;  8%;  8%;  8%;93.1;4.48;0.000709;2.38;0;0.21;0;0;0;86.9;10.5;0;2.6;0;0.453;0;0;0;95.1;2.16;0.00205;2.69;0;0.0921;0;0;0;0.0525;24.2;0;75.7;0;35.5;0;0;0;110;109;115;57.9;14.3 ;14.1 ;14.6 ;12.1 ;
2017-09-04;19:39:01.246;0.396;0.476;0.832;1.24;374;445;0.16;0.644;0.00281;0.00335;30.9;21.8;1.33e+05;2.79e+05;2.1e+03;0.951;23.8;0.792;19.8;5.19e+04;67.2;27.5;0;5.28;0;0.393;0;0;0;437;76.7;0.547;0.494;1.11;1.24;128;153;0.161;0.65;0.00279;0.00333; 52160;2921;9361;7.67;5.74;45;0.522;0.474;1.1;1.24;125;148;0.155;0.641;0.00285;0.00338; 52240;3110;8373;7.64;5.61;45;0.514;0.459;1.12;1.24;120;144;0.162;0.64;0.00279;0.00333; 51200;2968;8517;8.09;5.6;47;0.000173;0.585;0.000295;1.24;0.0504;0.299;0.831;0.0688;0.00348;0.0206; 26880;1;4;7.51;4.84;48;5.88e+03;6.11e+03;2.34e+03; 30%; 31%; 12%;5.45e+03;2.29e+03;6.09e+03; 28%; 11%; 31%;5.7e+03;6.01e+03;2.15e+03; 29%; 31%; 11%;3e+03;3.33e+03;3.53e+03; 15%; 17%; 18%;89.4;5.97;0;4.6;0;0.338;0;0;0;88.9;5.97;0;5.1;0;0.249;0;0;0;90.5;4.28;0;5.24;0;0.983;0;0;0;0.0239;93.8;0;6.19;0;0;0;0;0;119;118;125;75.1;19.1 ;19.5 ;20.4 ;17.8 ;
2017-09-04;19:39:02.260;0.325;0.376;0.864;1.24;303;361;0.162;0.636;0.00274;0.00327;25.7;17.5;1.1e+05;2.94e+05;2.12e+03;0.752;18.8;0.65;16.2;4.33e+04;69.8;26.6;0.0052;3.66;0;0.4;0;0;0;435;68;0.451;0.386;1.17;1.24;102;122;0.163;0.644;0.00267;0.00319; 46880;2231;7550;6.37;4.58;44;0.425;0.378;1.12;1.24;102;121;0.157;0.63;0.00282;0.00334; 50720;2301;6857;6.33;4.59;44;0.423;0.364;1.16;1.24;98.3;118;0.164;0.635;0.00273;0.00327; 52080;2311;6769;6.74;4.49;45;0.000148;0.535;0.000276;1.24;0.0459;0.246;0.813;0.0852;0.00365;0.0195; 27280;2;2;6.25;3.87;47;5e+03;4.89e+03;1.99e+03; 25%; 25%; 10%;4.71e+03;1.87e+03;5.12e+03; 24%;  9%; 26%;4.89e+03;4.85e+03;1.78e+03; 25%; 24%;  9%;2.5e+03;2.68e+03;3.01e+03; 12%; 13%; 15%;94.4;2.97;0;2.64;0;0.655;0;0;0;90.8;5.38;0;3.78;0;0.248;0;0;0;94;2.71;0.0208;3.32;0;0.697;0;0;0;0.0223;95.1;0;4.91;0;0;0;0;0;118;117;124;76.1;17.1 ;17.2 ;17.8 ;16 ;
2017-09-04;19:39:03.267;0.33;0.393;0.84;1.24;294;350;0.158;0.654;0.00263;0.00312;23.6;16.6;1.12e+05;2.85e+05;2.13e+03;0.786;19.6;0.66;16.5;3.94e+04;67.9;28.3;0.0023;3.77;0;0.306;0;0;0;428;67.6;0.443;0.397;1.12;1.24;97.6;116;0.158;0.657;0.00259;0.00308; 50000;2122;7034;5.84;4.28;44;0.428;0.384;1.11;1.24;96;114;0.159;0.653;0.00265;0.00315; 51120;2243;6600;5.82;4.31;45;0.449;0.398;1.13;1.24;101;119;0.155;0.651;0.00265;0.00313; 47040;2508;6832;6.22;4.24;46;0.00019;0.699;0.000272;1.24;0.0414;0.309;0.866;0.11;0.00257;0.0191; 27280;1;0;5.73;3.81;47;4.33e+03;4.54e+03;1.8e+03; 22%; 23%;  9%;4.49e+03;1.73e+03;4.34e+03; 23%;  8%; 22%;4.48e+03;4.51e+03;1.64e+03; 23%; 23%;  8%;2.42e+03;2.5e+03;2.64e+03; 12%; 12%; 13%;90.3;5.73;0.00827;3.99;0;0.35;0;0;0;90;5.13;0;4.88;0;0.508;0;0;0;91.2;4.35;0.000942;4.44;0;0.368;0;0;0;0.022;98.2;0;1.76;0;0;0;0;0;115;114;122;76.2;16.8 ;17.1 ;17.7 ;15.9 ;
2017-09-04;19:39:04.280;0.358;0.423;0.845;1.24;323;386;0.163;0.653;0.00266;0.00318;27.8;19.6;1.21e+05;2.87e+05;2.12e+03;0.846;21.2;0.715;17.9;4.62e+04;68.2;28.4;0;3.35;0;0.546;0;0;0;440;72.3;0.477;0.427;1.12;1.24;107;128;0.166;0.655;0.00263;0.00316; 46000;2496;7693;6.87;5.11;42;0.472;0.414;1.14;1.24;105;126;0.164;0.654;0.00262;0.00313; 47840;2604;7302;6.87;4.94;43;0.48;0.429;1.12;1.24;112;132;0.157;0.65;0.00274;0.00325; 49680;2765;7779;7.29;5.05;43;0.000498;1.1;0.000452;1.24;0.0694;0.501;0.862;0.129;0.00164;0.0118; 27840;1;3;6.77;4.51;47;4.93e+03;5.4e+03;2.11e+03; 25%; 27%; 10%;5.23e+03;2.02e+03;4.81e+03; 26%; 10%; 24%;5.07e+03;5.57e+03;2.01e+03; 26%; 28%; 10%;2.92e+03;3.07e+03;3.09e+03; 15%; 15%; 15%;90.3;5.58;0;4.16;0;0.162;0;0;0;92.3;2.85;0;4.85;0;1.08;0;0;0;90.5;5.13;0;4.42;0;0.943;0;0;0;0.0365;100;0;0;0;0;0;0;0;118;118;125;77.6;18.2 ;18.3 ;19 ;16.9 ;
2017-09-04;19:39:05.287;0.307;0.355;0.864;1.24;269;323;0.167;0.658;0.00258;0.0031;22.1;15.8;1.04e+05;2.93e+05;2.13e+03;0.711;17.8;0.614;15.4;3.68e+04;69.8;27.6;0.00191;2.55;0;0.36;0;0;0;428;65.2;0.429;0.375;1.14;1.24;93.9;113;0.166;0.665;0.00258;0.00309; 47600;2162;6871;5.46;4.1;41;0.408;0.352;1.16;1.24;88.4;105;0.162;0.661;0.00255;0.00304; 45840;2120;5980;5.49;3.98;43;0.39;0.339;1.15;1.24;86.9;105;0.172;0.648;0.00262;0.00317; 51440;2307;6105;5.81;4.05;44;0.00017;0.681;0.00025;1.24;0.0465;0.263;0.824;0.134;0.00323;0.0183; 27840;1;5;5.36;3.65;47;3.98e+03;4.22e+03;1.81e+03; 20%; 21%;  9%;4e+03;1.57e+03;4.1e+03; 20%;  8%; 21%;4.1e+03;4.35e+03;1.52e+03; 21%; 22%;  7%;2.21e+03;2.4e+03;2.58e+03; 11%; 12%; 13%;92.4;4.72;0.00557;2.86;0;0.574;0;0;0;93.7;2.87;0.00188;3.39;0;0.727;0;0;0;93;3.12;0.000205;3.93;0;0.138;0;0;0;0.0202;100;0;0;0;0;0;0;0;116;115;121;76.6;16.4 ;16.5 ;17.3 ;15.1 ;
2017-09-04;19:39:06.296;0.338;0.392;0.863;1.24;306;366;0.163;0.651;0.00267;0.00319;25.7;18;1.15e+05;2.92e+05;2.12e+03;0.785;19.6;0.677;16.9;4.28e+04;69.7;28;0;2.34;0;0.246;0;0;0;436;69.5;0.472;0.417;1.13;1.24;107;127;0.16;0.657;0.00268;0.00319; 47520;2544;7574;6.35;4.72;41;0.45;0.388;1.16;1.24;101;120;0.159;0.653;0.00264;0.00314; 49680;2380;6655;6.34;4.57;42;0.432;0.373;1.16;1.24;98.2;118;0.167;0.645;0.00268;0.00322; 51600;2545;6931;6.74;4.59;43;0.000349;0.844;0.000414;1.24;0.0585;0.583;0.9;0.133;0.00198;0.0197; 27920;1;1;6.24;4.13;46;4.69e+03;4.91e+03;2.07e+03; 24%; 25%; 10%;4.58e+03;1.83e+03;4.9e+03; 23%;  9%; 25%;4.78e+03;5.01e+03;1.76e+03; 24%; 25%;  9%;2.62e+03;2.78e+03;2.92e+03; 13%; 14%; 15%;91.4;5.93;0;2.62;0;0.0893;0;0;0;93.7;3.31;0;2.95;0;0.569;0;0;0;93.5;2.83;0;3.63;0;0.325;0;0;0;0.0334;99.8;0;0.167;0;0;0;0;0;118;117;123;77.1;17.5 ;17.5 ;18.4 ;16 ;
2017-09-04;19:39:07.305;0.314;0.369;0.852;1.24;274;327;0.163;0.647;0.00257;0.00307;22.6;15.7;1.07e+05;2.89e+05;2.12e+03;0.738;18.4;0.629;15.7;3.8e+04;68.9;27.6;0;3.51;0;0.297;0;0;0;428;65.4;0.423;0.374;1.13;1.24;91.7;109;0.163;0.65;0.00256;0.00305; 49600;2216;6567;5.59;4.11;42;0.423;0.369;1.15;1.24;92.3;110;0.161;0.646;0.00258;0.00307; 48400;2094;6065;5.56;4.03;41;0.411;0.363;1.13;1.24;89.8;107;0.164;0.645;0.00258;0.00308; 52240;2162;6172;5.97;4.03;44;0.00024;0.793;0.000303;1.24;0.0484;0.387;0.875;0.136;0.00238;0.019; 28080;1;1;5.51;3.57;46;4.28e+03;4.29e+03;1.72e+03; 22%; 22%;  8%;4.2e+03;1.62e+03;4.34e+03; 21%;  8%; 22%;4.38e+03;4.29e+03;1.62e+03; 22%; 22%;  8%;2.39e+03;2.41e+03;2.45e+03; 12%; 12%; 12%;91.4;4.89;0;3.76;0;0.389;0;0;0;92.5;3.6;0;3.85;0;0.443;0;0;0;91.5;4.55;0;3.96;0;0.357;0;0;0;0.0245;97.5;0;2.48;0;0;0;0;0;115;115;122;76.1;16.3 ;16.7 ;17.3 ;15.1 ;
2017-09-04;19:39:08.312;0.378;0.447;0.844;1.24;365;435;0.16;0.643;0.00285;0.0034;30.4;21;1.28e+05;2.86e+05;2.12e+03;0.895;22.4;0.755;18.9;5.19e+04;68.2;28.3;0.00418;3.48;0;0.362;0;0;0;443;74.9;0.484;0.429;1.13;1.24;117;140;0.163;0.638;0.00285;0.0034; 50640;2695;8970;7.55;5.39;41;0.527;0.469;1.12;1.24;129;153;0.156;0.645;0.0029;0.00343; 53360;2838;8922;7.52;5.5;41;0.499;0.444;1.12;1.24;119;141;0.16;0.647;0.00281;0.00335; 49280;2525;8829;7.95;5.45;43;0.000208;0.749;0.000278;1.24;0.051;0.333;0.847;0.135;0.00289;0.0189; 28080;1;1;7.41;4.69;47;6.09e+03;5.45e+03;2.22e+03; 31%; 28%; 11%;6.07e+03;2.19e+03;5.94e+03; 31%; 11%; 30%;6.29e+03;5.54e+03;2.34e+03; 32%; 28%; 12%;3.46e+03;3.25e+03;3.11e+03; 17%; 16%; 16%;91.1;3.74;0.0167;5.12;0;0.629;0;0;0;90.9;5.01;0;4.08;0;0.709;0;0;0;90.8;4.5;0;4.72;0;0.108;0;0;0;0.0224;100;0;0;0;0;0;0;0;118;121;127;77.7;18.6 ;19 ;19.8 ;17.5 ;
