System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;19:28:27.160;0.00597;0.36;0.0166;0.896;5.17;14.6;0.645;0.348;0.00255;0.00717;0.684;0.562;2.03e+03;5.64e+03;2.12e+03;0.72;18;0.0119;0.299;940;1.85;15.2;0.108;82.9;0;28;0;0;0;130;33.1;0.00883;0.479;0.0184;0.876;1.68;5.43;0.69;0.413;0.00225;0.00724; 47760;52;151;0.123;0.11;48;0.00302;0.305;0.00989;0.87;0.71;1.88;0.622;0.28;0.00276;0.00732; 43920;45;69;0.119;0.111;49;0.00473;0.294;0.0161;0.865;1.3;3.41;0.618;0.284;0.00324;0.00848; 52720;79;130;0.134;0.139;51;0.0073;0.333;0.022;0.952;1.47;3.84;0.617;0.328;0.00237;0.00618; 42880;152;81;0.308;0.202;48;67.1;87.4;97;  0%;  0%;  0%;75.8;51.5;48;  0%;  0%;  0%;58.5;79.3;124;  0%;  0%;  0%;84;54.7;112;  0%;  0%;  0%;2.1;24.5;0.0895;73.3;0;14.9;0;0;0;1.14;6.76;0.264;91.8;0;48.5;0;0;0;1.86;4.99;0.0312;93.1;0;48.6;0;0;0;2.31;24.4;0.0459;73.2;0;0;0;0;0;34.2;30;30.8;34.5;8.18 ;8.35 ;8.59 ;8.01 ;
2017-09-04;19:28:28.173;0.287;0.349;0.824;0.952;235;281;0.164;0.658;0.00241;0.00288;21.9;18.9;9.76e+04;2.8e+05;2.13e+03;0.697;17.4;0.574;14.4;3.65e+04;86.5;6.49;0.0131;6.99;0;1.46;0;0;0;312;62.5;0.294;0.346;0.852;0.952;62.9;74.3;0.153;0.652;0.00251;0.00297; 51360;1846;5337;5.38;4.65;46;0.302;0.351;0.86;0.952;61.7;73.4;0.159;0.658;0.00241;0.00286; 48320;1905;5474;5.4;4.76;47;0.294;0.344;0.854;0.952;60.7;72.2;0.158;0.659;0.00243;0.00289; 50400;1814;5384;5.73;4.74;48;0.259;0.355;0.729;0.952;49.8;61.3;0.188;0.662;0.00227;0.00279; 51600;1464;4184;5.38;4.78;46;3.21e+03;3.3e+03;2.81e+03; 16%; 17%; 14%;3.13e+03;2.98e+03;3.22e+03; 16%; 15%; 16%;3.3e+03;3.31e+03;2.76e+03; 16%; 17%; 14%;2.83e+03;2.91e+03;2.77e+03; 14%; 14%; 14%;89.5;5.11;0.00221;5.44;0;0.801;0;0;0;90.3;3.68;0;6.03;0;1.65;0;0;0;89.7;3.81;0.037;6.46;0;0.282;0;0;0;76.6;13.4;0.0131;10;0;3.12;0;0;0;77.9;77.4;80.9;76;15.4 ;15.8 ;16.5 ;14.8 ;
2017-09-04;19:28:29.171;0.41;0.466;0.88;0.952;414;488;0.151;0.629;0.00301;0.00355;34.3;22.6;1.38e+05;2.96e+05;2.1e+03;0.932;23.3;0.82;20.5;5.82e+04;92.4;4.05;0.00769;3.51;0;0.602;0;0;0;355;74;0.413;0.471;0.877;0.952;106;125;0.149;0.626;0.00306;0.00359; 49440;2462;6865;8.47;5.7;44;0.411;0.469;0.878;0.952;103;121;0.15;0.632;0.00298;0.0035; 52000;2375;6762;8.37;5.67;46;0.408;0.468;0.872;0.952;104;122;0.146;0.628;0.00305;0.00357; 52080;2367;7376;9;5.62;46;0.408;0.456;0.894;0.952;101;120;0.16;0.63;0.00295;0.00352; 49440;2321;7889;8.42;5.65;45;4.92e+03;4.89e+03;4.71e+03; 25%; 25%; 24%;4.66e+03;4.63e+03;5.05e+03; 24%; 24%; 26%;4.81e+03;4.96e+03;5.07e+03; 25%; 25%; 26%;5.09e+03;4.73e+03;4.62e+03; 26%; 24%; 24%;92.1;4.12;0.00912;3.79;0;0.286;0;0;0;92.2;4.09;0.00204;3.7;0;0.803;0;0;0;91.6;4.7;0;3.74;0;0.252;0;0;0;93.9;3.28;0.0196;2.78;0;1.07;0;0;0;87.6;86.6;91.7;89.2;18.5 ;18.7 ;19.3 ;17.5 ;
2017-09-04;19:28:30.181;0.309;0.36;0.858;0.952;291;342;0.149;0.632;0.00278;0.00327;23.7;15.7;1.05e+05;2.91e+05;2.12e+03;0.72;18;0.617;15.4;4.01e+04;90.1;5.42;0.00715;4.47;0;0.687;0;0;0;318;62;0.312;0.368;0.848;0.952;73.2;86.2;0.152;0.633;0.00276;0.00325; 48800;1688;4810;5.82;3.95;46;0.305;0.358;0.854;0.952;72.5;85.6;0.152;0.628;0.0028;0.0033; 49520;1613;4624;5.76;3.94;47;0.31;0.358;0.865;0.952;73;85.2;0.143;0.635;0.00277;0.00324; 50240;1785;5090;6.31;3.89;47;0.307;0.355;0.865;0.952;72.6;85.5;0.151;0.631;0.00278;0.00328; 48320;1514;4978;5.81;3.95;45;3.23e+03;3.38e+03;3.35e+03; 16%; 17%; 17%;3.31e+03;3.29e+03;3.33e+03; 17%; 16%; 17%;3.38e+03;3.37e+03;3.41e+03; 17%; 17%; 17%;3.32e+03;3.39e+03;3.34e+03; 17%; 17%; 17%;89.1;5.91;0.0032;5;0;0.776;0;0;0;89.7;5.86;0.0147;4.47;0;0.627;0;0;0;90.9;5.07;0;4.08;0;0.569;0;0;0;90.8;4.82;0.0107;4.35;0;0.774;0;0;0;78.6;77.6;82;79.5;15.4 ;15.6 ;16.5 ;14.6 ;
2017-09-04;19:28:31.192;0.359;0.414;0.866;0.952;358;421;0.15;0.633;0.00294;0.00346;29.4;19.4;1.22e+05;2.94e+05;2.12e+03;0.829;20.7;0.718;17.9;4.98e+04;90.9;5.32;0.0059;3.76;0;0.534;0;0;0;337;69.1;0.357;0.419;0.851;0.952;91.7;108;0.147;0.629;0.00303;0.00355; 47520;2088;6200;7.26;4.82;45;0.357;0.407;0.876;0.952;88.1;104;0.154;0.633;0.00291;0.00344; 51280;1919;5952;7.13;4.84;46;0.358;0.409;0.876;0.952;88.7;105;0.155;0.633;0.00292;0.00345; 50240;1975;6252;7.8;4.86;47;0.363;0.422;0.86;0.952;89.6;105;0.146;0.636;0.00291;0.0034; 54800;1935;5901;7.24;4.85;45;4.09e+03;4.23e+03;4.31e+03; 21%; 21%; 22%;4.04e+03;4.09e+03;4.16e+03; 20%; 21%; 21%;4.13e+03;4.3e+03;4.09e+03; 21%; 22%; 21%;4.06e+03;4.16e+03;4.17e+03; 20%; 21%; 21%;89.4;6.88;0;3.77;0;0.25;0;0;0;92;4.55;0.0236;3.45;0;0.181;0;0;0;92;4.59;0;3.44;0;0.815;0;0;0;90.4;5.26;0;4.36;0;0.891;0;0;0;83.3;82.4;87.5;83.7;17.1 ;17.4 ;18.3 ;16.2 ;
2017-09-04;19:28:32.202;0.34;0.39;0.872;0.952;344;403;0.145;0.626;0.00298;0.00349;28.2;18.8;1.16e+05;2.96e+05;2.12e+03;0.78;19.5;0.68;17;4.81e+04;91.6;4.7;0.00456;3.69;0;0.636;0;0;0;336;66.8;0.339;0.391;0.869;0.952;88.5;103;0.144;0.618;0.00307;0.00359; 50800;2018;6278;7;4.75;45;0.334;0.382;0.875;0.952;83.7;98.7;0.152;0.627;0.00295;0.00348; 46400;1838;5571;6.89;4.67;46;0.344;0.387;0.888;0.952;88.6;103;0.141;0.621;0.00304;0.00353; 50240;2079;6099;7.43;4.78;48;0.344;0.401;0.857;0.952;83.4;97.6;0.146;0.638;0.00286;0.00335; 51520;1782;5714;6.94;4.64;45;3.97e+03;4.26e+03;4.05e+03; 20%; 21%; 20%;3.87e+03;3.93e+03;3.98e+03; 19%; 20%; 20%;3.88e+03;4.4e+03;3.94e+03; 19%; 22%; 20%;3.96e+03;3.95e+03;3.9e+03; 20%; 20%; 20%;91.2;4.9;0;3.89;0;0.273;0;0;0;91.9;4.79;0.0182;3.27;0;0.689;0;0;0;93.3;3.62;0;3.1;0;0.919;0;0;0;90;5.51;0;4.5;0;0.663;0;0;0;83.4;81.9;87.2;83.3;16.6 ;16.8 ;17.6 ;15.8 ;
2017-09-04;19:28:33.213;0.386;0.455;0.849;0.952;395;464;0.15;0.632;0.00301;0.00354;32.5;21.8;1.31e+05;2.88e+05;2.12e+03;0.91;22.8;0.773;19.3;5.54e+04;89.1;5.51;0.00756;5.36;0;0.915;0;0;0;352;72.2;0.387;0.451;0.858;0.952;99.8;118;0.153;0.628;0.00304;0.00358; 52560;2099;6942;8.05;5.47;45;0.383;0.446;0.859;0.952;96.7;115;0.158;0.632;0.00297;0.00353; 49360;2111;6545;7.93;5.49;46;0.391;0.454;0.86;0.952;102;119;0.145;0.628;0.00307;0.00359; 53680;2324;7128;8.5;5.5;47;0.384;0.471;0.816;0.952;96.6;113;0.144;0.64;0.00297;0.00346; 51440;2309;6535;7.99;5.39;45;4.62e+03;4.58e+03;4.79e+03; 23%; 23%; 24%;4.76e+03;4.32e+03;4.64e+03; 24%; 22%; 23%;4.71e+03;4.73e+03;4.61e+03; 24%; 24%; 23%;4.63e+03;4.39e+03;4.65e+03; 23%; 22%; 23%;90.2;4.76;0.0302;5.05;0;1.07;0;0;0;90.3;5.1;0;4.61;0;1;0;0;0;90.4;4.37;0;5.28;0;0.911;0;0;0;85.7;7.81;0;6.52;0;0.682;0;0;0;87.5;86.7;91.7;86.2;18 ;18.1 ;19.1 ;16.9 ;
2017-09-04;19:28:34.223;0.302;0.345;0.876;0.952;293;345;0.151;0.626;0.00286;0.00336;24.1;16;1.03e+05;2.97e+05;2.12e+03;0.691;17.3;0.605;15.1;4.08e+04;92;4.03;0.00336;3.99;0;0.842;0;0;0;322;61.7;0.298;0.344;0.865;0.952;75;88;0.147;0.618;0.00297;0.00348; 46560;1578;4990;5.93;4.09;45;0.301;0.337;0.894;0.952;69.5;83.1;0.164;0.633;0.00272;0.00325; 51280;1754;4850;5.86;3.93;46;0.305;0.346;0.883;0.952;75.4;88;0.143;0.623;0.00291;0.00339; 47760;1725;4874;6.39;4.07;48;0.305;0.355;0.861;0.952;73.4;86.3;0.15;0.632;0.00283;0.00333; 50800;1727;4855;5.91;3.94;45;3.34e+03;3.6e+03;3.52e+03; 17%; 18%; 18%;3.29e+03;3.19e+03;3.39e+03; 16%; 16%; 17%;3.33e+03;3.66e+03;3.43e+03; 17%; 18%; 17%;3.45e+03;3.22e+03;3.38e+03; 17%; 16%; 17%;90.8;5.72;0.00789;3.44;0;0.798;0;0;0;93.9;2.79;0.00556;3.28;0;1.22;0;0;0;92.7;3.17;0;4.1;0;0.989;0;0;0;90.5;4.42;0;5.13;0;0.361;0;0;0;80.2;78.9;83.2;79.8;15.5 ;15.5 ;16.5 ;14.2 ;
2017-09-04;19:28:35.243;0.327;0.379;0.864;0.952;324;380;0.148;0.625;0.0029;0.0034;26.9;17.7;1.12e+05;2.95e+05;2.12e+03;0.758;18.9;0.655;16.4;4.54e+04;90.8;5.06;0.00965;4.18;0;0.586;0;0;0;330;65.6;0.327;0.378;0.864;0.952;83.5;97.7;0.146;0.617;0.003;0.00351; 50160;1828;5509;6.63;4.53;44;0.323;0.371;0.872;0.952;78.4;92.6;0.154;0.627;0.00285;0.00336; 54960;1877;5487;6.54;4.35;45;0.328;0.379;0.864;0.952;80.4;94;0.144;0.628;0.00288;0.00336; 53440;2110;5094;7.11;4.43;46;0.332;0.387;0.857;0.952;81.5;95.8;0.149;0.628;0.00288;0.00338; 47920;1912;5445;6.62;4.36;44;3.78e+03;3.98e+03;3.85e+03; 19%; 20%; 19%;3.5e+03;3.76e+03;3.87e+03; 17%; 19%; 19%;3.67e+03;3.98e+03;3.76e+03; 18%; 20%; 19%;3.8e+03;3.71e+03;3.78e+03; 19%; 19%; 19%;90.7;5.81;0.0386;3.42;0;0.384;0;0;0;91.5;5.06;0;3.39;0;1.29;0;0;0;90.8;4.58;0;4.66;0;0.416;0;0;0;90;4.8;0;5.23;0;0.26;0;0;0;82.2;80.7;85.3;82;16.5 ;16.5 ;17.2 ;15.4 ;
2017-09-04;19:28:36.256;0.408;0.484;0.843;0.952;422;497;0.15;0.634;0.00303;0.00357;34.6;23.4;1.39e+05;2.88e+05;2.14e+03;0.967;24.2;0.815;20.4;5.78e+04;88.5;5.73;0.0108;5.74;0;1.04;0;0;0;348;76.5;0.4;0.478;0.837;0.952;107;126;0.149;0.626;0.00314;0.00369; 50320;2695;7132;8.56;5.95;43;0.408;0.472;0.864;0.952;103;122;0.155;0.637;0.00297;0.00351; 49280;2395;6996;8.42;5.74;45;0.406;0.486;0.835;0.952;105;123;0.147;0.636;0.00302;0.00354; 51840;2571;7179;9.09;5.9;46;0.416;0.499;0.834;0.952;107;125;0.149;0.638;0.00301;0.00353; 50960;2606;7360;8.49;5.78;44;4.49e+03;5.13e+03;4.91e+03; 22%; 26%; 25%;4.83e+03;4.84e+03;4.55e+03; 24%; 24%; 23%;4.92e+03;5.24e+03;4.64e+03; 25%; 26%; 23%;4.64e+03;4.91e+03;4.72e+03; 23%; 25%; 24%;88;6.09;0.0267;5.92;0;1.32;0;0;0;90.8;4.5;0.0148;4.67;0;0.988;0;0;0;87.7;6.3;0;6;0;1.24;0;0;0;87.6;6.01;0.0015;6.37;0;0.628;0;0;0;86.4;85.5;90.2;86.1;19 ;19.2 ;20.3 ;18 ;
