System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;00:34:03.887;0.0673;0.616;0.109;0.951;146;152;0.0361;0.018;0.00598;0.00621;27.4;40.8;2.44e+04;3.96e+04;2.12e+03;1.23;30.8;0.135;3.36;5.93e+04;11.5;29.7;0.00473;58.8;0;18.8;0;0;0;292;92.1;0.267;0.626;0.426;0.952;146;147;0.0113;0.0142;0.0061;0.00617; 51360;11516;40462;3.78;6.7;43;0.00191;0.8;0.00239;0.81;0.184;3.6;0.949;0.0925;0.00106;0.0207; 31440;3;11;8.84;13.3;50;0.00348;0.266;0.0131;0.95;0.0584;0.241;0.757;0.463;0.000184;0.000758; 26000;3;2;7.37;10.4;50;0.000192;0.349;0.000551;0.952;0.0834;0.291;0.713;0.206;0.00476;0.0166; 26480;4;2;7.38;10.4;49;1.25e+04;1.05e+04;1.05e+04; 60%; 50%; 50%;1.08e+03;1.08e+03;7.83e+03;  5%;  5%; 37%;1.08e+03;5.78e+03;1.08e+03;  5%; 27%;  5%;1.08e+03;1.08e+03;5.78e+03;  5%;  5%; 27%;44.8;47.1;0.0054;8.17;0;3;0;0;0;0.294;19;0.00532;80.7;0;68.5;0;0;0;1.38;23.8;0.00665;74.8;0;3.32;0;0;0;0.0578;29.4;0.00158;70.5;0;0;0;0;0;103;63;65.8;60.5;18.8 ;26.3 ;24.7 ;22.3 ;
2017-09-05;00:34:04.971;0.166;1.41;0.117;0.952;490;518;0.0551;0.363;0.00811;0.00858;43.7;32.6;6.04e+04;4.27e+04;2.28e+03;2.83;70.7;0.332;8.29;6.51e+04;12.3;45.4;0.000195;42.3;0;13.7;0;0;0;314;99;0.661;1.42;0.467;0.952;489;515;0.0487;0.365;0.00813;0.00855; 50240;12917;39174;10.4;3.62;42;0.0016;1.19;0.00134;0.952;0.109;3.39;0.968;0.0431;0.000749;0.0232; 31360;2;2;11.1;9.68;50;5.76e-05;0.383;0.00015;0.924;0.0139;0.0844;0.836;0.0744;0.00264;0.0161; 26000;0;0;11.1;9.64;49;0.000336;1.01;0.000333;0.907;0.0279;0.203;0.863;0.155;0.000911;0.00665; 26480;2;7;11.1;9.69;49;6.12e+03;6.09e+03;6.13e+03; 29%; 29%; 29%;1.28e+03;1.29e+03;1.3e+04;  6%;  6%; 62%;1.28e+03;1.3e+04;1.28e+03;  6%; 62%;  6%;1.28e+03;1.29e+03;1.3e+04;  6%;  6%; 62%;49;49.2;0;1.77;0;0;0;0;0;0.141;56.1;0;43.8;0;0;0;0;0;0.0163;39.3;0;60.6;0;28;0;0;0;0.0367;36.9;0.000781;63.1;0;26.7;0;0;0;111;69.3;68.8;64.9;21.2 ;26.2 ;27 ;24.6 ;
2017-09-05;00:34:05.959;0.172;1.39;0.123;0.952;451;469;0.0379;0.356;0.00791;0.00823;44.1;26.3;5.7e+04;4.1e+04;2.1e+03;2.78;69.5;0.343;8.58;6.28e+04;13;73.5;0;13.5;0;0;0;0;0;306;91.3;0.679;1.44;0.471;0.952;451;465;0.0313;0.357;0.00799;0.00825; 52480;12450;38663;9.96;2.69;42;0.00694;0.312;0.0222;0.952;0.0942;3.14;0.97;0.0453;0.000163;0.00544; 30640;0;5;11.4;7.91;50;6.16e-05;0.42;0.000147;0.952;0.015;0.0793;0.81;0.0951;0.00295;0.0155; 25200;0;1;11.3;7.81;49;7.61e-05;0.43;0.000177;0.952;0.0203;0.0957;0.788;0.107;0.00322;0.0151; 25920;1;5;11.4;7.92;49;5.25e+03;5.18e+03;5.26e+03; 27%; 27%; 27%;1.6e+03;1.6e+03;1.25e+04;  8%;  8%; 66%;1.6e+03;1.24e+04;1.6e+03;  8%; 65%;  8%;1.6e+03;1.61e+03;1.25e+04;  8%;  8%; 66%;49.4;49.5;0;1.05;0;0;0;0;0;2.33;75.4;0;22.2;0;0;0;0;0;0.0154;86.9;0;13.1;0;0;0;0;0;0.0186;82.3;0;17.7;0;0;0;0;0;101;67;71.4;66.6;19.4 ;24.1 ;25 ;22.7 ;
2017-09-05;00:34:07.043;0.162;1.34;0.121;0.952;529;626;0.154;0.577;0.00896;0.0106;50.6;26.8;5.9e+04;4.4e+04;2.25e+03;2.68;67.1;0.324;8.11;8.2e+04;12.7;73;0.00338;14.3;0;0;0;0;0;356;99.9;0.644;1.37;0.47;0.952;529;622;0.15;0.578;0.00902;0.0106; 50320;15445;46771;12.3;4.64;41;0.00486;0.355;0.0137;0.952;0.114;3.27;0.965;0.0458;0.000257;0.0074; 30400;2;2;12.8;7.48;49;6.21e-05;0.468;0.000133;0.952;0.015;0.0795;0.811;0.128;0.00266;0.0141; 24880;0;1;12.8;7.4;48;8.18e-05;0.398;0.000205;0.952;0.0284;0.118;0.76;0.114;0.00381;0.0159; 26000;3;5;12.7;7.33;48;7.59e+03;7.52e+03;7.47e+03; 36%; 36%; 35%;2.52e+03;2.52e+03;1.49e+04; 12%; 12%; 71%;2.52e+03;1.47e+04;2.51e+03; 12%; 70%; 12%;2.51e+03;2.52e+03;1.47e+04; 12%; 12%; 70%;49.3;49.8;0.0135;0.901;0;0;0;0;0;1.44;75.7;0;22.8;0;0;0;0;0;0.0139;88.4;0;11.5;0;0;0;0;0;0.0216;78.2;0;21.7;0;0;0;0;0;120;77.3;83.1;75.8;23.1 ;26 ;26.8 ;24.1 ;
2017-09-05;00:34:08.126;0.152;1.29;0.118;0.952;462;513;0.0983;0.573;0.00834;0.00925;44.2;16.9;5.55e+04;4.29e+04;2.28e+03;2.58;64.6;0.305;7.61;6.5e+04;12.4;78.7;0;8.95;0;0;0;0;0;347;89.2;0.607;1.29;0.47;0.952;462;509;0.0922;0.574;0.00836;0.00921; 47360;12150;36185;11.1;2.45;41;0.00164;1.23;0.00134;0.952;0.0912;3.43;0.973;0.0456;0.000611;0.023; 30480;0;2;11;4.81;49;6.19e-05;0.386;0.00016;0.952;0.0162;0.08;0.797;0.131;0.00288;0.0142; 24800;0;2;11;4.82;49;6.63e-05;0.385;0.000172;0.952;0.0143;0.0825;0.827;0.139;0.00237;0.0137; 26160;1;2;11;4.83;48;4.36e+03;4.36e+03;4.39e+03; 20%; 20%; 21%;2.15e+03;2.15e+03;1.3e+04; 10%; 10%; 62%;2.15e+03;1.3e+04;2.15e+03; 10%; 62%; 10%;2.15e+03;2.15e+03;1.3e+04; 10%; 10%; 62%;49.3;49.4;0;1.33;0;0;0;0;0;0.141;84.1;0;15.7;0;0;0;0;0;0.0168;95.5;0;4.49;0;0;0;0;0;0.0181;85.7;0;14.3;0;0;0;0;0;116;75.2;82;73.7;20.6 ;23 ;24.1 ;21.5 ;
2017-09-05;00:34:09.210;0.17;1.44;0.118;0.952;500;528;0.0537;0.441;0.00806;0.00852;48.6;19;6.2e+04;4.3e+04;2.28e+03;2.88;72.1;0.34;8.51;7.18e+04;12.4;82.4;0;5.22;0;0;0;0;0;356;94.2;0.679;1.44;0.471;0.952;499;524;0.0476;0.443;0.00808;0.00848; 46480;13119;39207;12.2;2.74;40;0.00163;1.3;0.00126;0.952;0.102;3.37;0.97;0.0466;0.000685;0.0227; 30480;0;2;12.1;5.43;48;6.77e-05;0.468;0.000145;0.952;0.0168;0.0783;0.786;0.138;0.00272;0.0127; 25120;0;4;12.1;5.43;48;7.84e-05;0.424;0.000185;0.952;0.026;0.0997;0.739;0.125;0.00364;0.014; 26160;0;4;12.2;5.45;48;4.91e+03;4.9e+03;4.91e+03; 23%; 23%; 23%;2.35e+03;2.35e+03;1.43e+04; 11%; 11%; 68%;2.35e+03;1.43e+04;2.35e+03; 11%; 68%; 11%;2.35e+03;2.36e+03;1.44e+04; 11%; 11%; 68%;49.4;49.5;0;1.07;0;0;0;0;0;0.132;89;0;10.8;0;0;0;0;0;0.0152;99.4;0;0.633;0;0;0;0;0;0.0194;91.7;0;8.32;0;0;0;0;0;120;76.7;82.7;76.5;21.7 ;24.3 ;25.5 ;22.7 ;
2017-09-05;00:34:10.295;0.121;1.02;0.118;0.952;432;443;0.0254;0.224;0.00979;0.01;41.3;37;4.41e+04;4.32e+04;2.28e+03;2.04;51.1;0.242;6.05;8.04e+04;12.4;76.5;0;11.1;0;0;0;0;0;355;101;0.482;1.02;0.472;0.952;432;439;0.0178;0.225;0.00983;0.01; 50080;15634;46763;10.4;7.19;40;0.00164;1.31;0.00125;0.952;0.0979;3.41;0.971;0.0457;0.000654;0.0227; 30480;2;1;10.3;9.94;48;6.06e-05;0.567;0.000107;0.952;0.0118;0.0719;0.836;0.139;0.00214;0.013; 25040;0;2;10.3;9.94;48;6.87e-05;0.452;0.000152;0.952;0.0154;0.0873;0.824;0.139;0.00246;0.014; 26160;3;4;10.3;9.95;48;1.02e+04;1.02e+04;1.02e+04; 49%; 49%; 49%;1.88e+03;1.88e+03;1.28e+04;  9%;  9%; 61%;1.88e+03;1.28e+04;1.88e+03;  9%; 61%;  9%;1.88e+03;1.88e+03;1.28e+04;  9%;  9%; 61%;49.6;49.4;0;0.968;0;0;0;0;0;0.131;77.2;0;22.7;0;0;0;0;0;0.0112;95.4;0;4.6;0;0;0;0;0;0.0159;84;0;16;0;0;0;0;0;118;76.9;83.4;77;23.5 ;25.9 ;26.7 ;24.5 ;
2017-09-05;00:34:11.378;0.148;1.25;0.118;0.952;477;530;0.0994;0.481;0.00883;0.00981;44.5;33.7;5.4e+04;4.31e+04;2.28e+03;2.51;62.7;0.297;7.42;6.61e+04;12.4;71.2;0;16.4;0;0;0;0;0;344;99.8;0.592;1.25;0.472;0.952;477;526;0.0934;0.483;0.00886;0.00977; 46480;13347;39859;11.2;3.67;41;0.00165;1.2;0.00137;0.952;0.0975;3.5;0.972;0.0443;0.000649;0.0233; 30480;0;3;11.1;10;48;6.61e-05;0.426;0.000155;0.952;0.0127;0.0776;0.836;0.133;0.00211;0.0129; 24960;0;2;11.1;10;49;7.45e-05;0.407;0.000183;0.952;0.0186;0.0934;0.801;0.139;0.00274;0.0138; 26320;4;4;11.1;10;48;5.94e+03;5.94e+03;5.95e+03; 28%; 28%; 28%;1.18e+03;1.18e+03;1.37e+04;  5%;  5%; 66%;1.18e+03;1.37e+04;1.18e+03;  5%; 65%;  5%;1.18e+03;1.18e+03;1.37e+04;  5%;  5%; 65%;49.5;49.4;0;1.07;0;0;0;0;0;0.144;77;0;22.8;0;0;0;0;0;0.0163;76.9;0;23.1;0;0;0;0;0;0.0192;81.5;0;18.5;0;0;0;0;0;115;75.8;77.7;75.4;21.4 ;26.2 ;27.3 ;24.8 ;
2017-09-05;00:34:12.464;0.152;1.31;0.116;0.952;490;544;0.0992;0.52;0.00883;0.00981;43.9;21.7;5.55e+04;4.23e+04;2.28e+03;2.63;65.6;0.305;7.61;5.84e+04;12.2;71.8;0;16.1;0;0;0;0;0;327;91.2;0.607;1.31;0.462;0.952;490;541;0.0938;0.521;0.00886;0.00977; 52560;11027;32938;11.1;1.66;40;0.00156;1.25;0.00125;0.952;0.102;3.24;0.969;0.0456;0.000717;0.0228; 30480;2;1;10.9;6.68;48;6.27e-05;0.484;0.000129;0.952;0.0129;0.0759;0.829;0.112;0.00227;0.0133; 24960;0;3;11;6.67;48;6.26e-05;0.447;0.00014;0.952;0.0129;0.0772;0.832;0.134;0.00227;0.0135; 26240;1;0;11;6.7;47;3.39e+03;3.38e+03;3.4e+03; 16%; 16%; 16%;1.47e+03;1.47e+03;1.31e+04;  7%;  7%; 63%;1.47e+03;1.31e+04;1.47e+03;  7%; 63%;  7%;1.47e+03;1.47e+03;1.32e+04;  7%;  7%; 63%;48.6;48.7;0;2.7;0;0;0;0;0;0.131;86.5;0;13.4;0;0;0;0;0;0.0136;76.7;0;23.3;0;0;0;0;0;0.0147;75.1;0;24.9;0;0;0;0;0;108;73.2;74.1;71.2;19.8 ;23.9 ;25 ;22.4 ;
2017-09-05;00:34:13.550;0.184;1.48;0.124;0.952;544;601;0.0943;0.511;0.00809;0.00893;51.7;26.4;6.73e+04;4.54e+04;2.28e+03;2.96;74.1;0.368;9.21;8.32e+04;13;80.4;0;6.55;0;0;0;0;0;367;100;0.729;1.54;0.474;0.952;544;597;0.089;0.512;0.00817;0.00896; 51760;15750;47110;13;4.56;40;0.00166;1.25;0.00133;0.952;0.0985;3.45;0.971;0.0455;0.000649;0.0228; 30480;1;2;12.9;7.27;48;0.00548;0.259;0.0212;0.952;0.0118;0.0731;0.838;0.121;2.36e-05;0.000146; 24960;0;2;12.9;7.28;48;6.79e-05;0.393;0.000173;0.952;0.017;0.0843;0.798;0.14;0.00275;0.0136; 26080;0;1;12.9;7.3;47;7.25e+03;7.26e+03;7.27e+03; 34%; 34%; 34%;2.53e+03;2.53e+03;1.54e+04; 12%; 12%; 73%;2.53e+03;1.54e+04;2.54e+03; 12%; 73%; 12%;2.54e+03;2.54e+03;1.54e+04; 12%; 12%; 73%;49.8;49.6;0;0.581;0;0;0;0;0;0.14;92.1;0;7.76;0;0;0;0;0;2.22;90.1;0;7.71;0;0;0;0;0;0.0181;89.8;0;10.2;0;0;0;0;0;123;79.8;85.4;78.2;23.4 ;25.8 ;26.8 ;24.2 ;
