System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;23:51:39.690;0.0452;0.539;0.0839;0.665;53.4;59.6;0.105;0.0775;0.00346;0.00387;18.5;27.6;1.54e+04;2.86e+04;2.14e+03;1.08;26.9;0.0904;2.26;3.71e+04;12.6;20.8;0.0256;66.5;0;21.1;0;0;0;204;68.6;0.075;0.522;0.144;0.666;23;25.6;0.101;0.0656;0.00359;0.00399; 51520;3376;11513;4.24;7.19;45;0.0864;0.526;0.164;0.666;27.9;29.5;0.0549;0.0569;0.00378;0.004; 51600;3918;13601;4.28;7.33;46;0.0178;0.727;0.0245;0.662;2.01;3.21;0.375;0.182;0.00132;0.00212; 52000;687;1959;5.41;8.33;47;0.00144;0.474;0.00303;0.656;0.49;1.35;0.636;0.348;0.004;0.011; 35280;42;17;4.56;4.78;49;5.51e+03;3.85e+03;3.29e+03; 28%; 19%; 16%;4.63e+03;3.7e+03;5.79e+03; 23%; 18%; 29%;2.78e+03;2.32e+03;1.35e+03; 14%; 11%;  6%;964;1.5e+03;1.39e+03;  4%;  7%;  7%;21.6;26.7;0.019;51.7;0;18.6;0;0;0;24.7;26.9;0.0343;48.4;0;25.9;0;0;0;3.7;14.7;0.0141;81.6;0;31.4;0;0;0;0.463;15;0.0349;84.5;0;8.33;0;0;0;55.7;56.5;49;42.7;17 ;17.5 ;19 ;15.2 ;
2017-09-04;23:51:40.709;0.207;1.04;0.198;0.667;561;585;0.0414;0.285;0.00795;0.00829;50.1;49.6;7.05e+04;6.77e+04;2.13e+03;2.09;52.1;0.413;10.3;7.93e+04;29.7;48.7;0;21.6;0;9.04;0;0;0;301;105;0.3;1.04;0.288;0.667;202;211;0.0437;0.305;0.00789;0.00825; 52400;5870;17695;12.4;11.6;44;0.301;1.03;0.292;0.667;206;214;0.0368;0.247;0.00802;0.00832; 55280;6064;18287;12.5;11.7;45;0.225;1.06;0.212;0.667;153;159;0.042;0.307;0.00794;0.00829; 51760;4246;13006;12.4;12.5;46;0.000266;0.728;0.000365;0.662;0.0538;0.483;0.889;0.0511;0.00237;0.0213; 35760;1;2;12.7;13.9;48;9.17e+03;7.67e+03;3.9e+03; 47%; 39%; 19%;7.95e+03;4.16e+03;9.27e+03; 40%; 21%; 47%;8.34e+03;8.17e+03;3.16e+03; 42%; 41%; 16%;4.95e+03;6.38e+03;6.21e+03; 25%; 32%; 31%;43.3;48.3;0;8.41;0;0;0;0;0;43.8;51.4;0;4.76;0;0.238;0;0;0;31.8;41.9;0;26.4;0;0.133;0;0;0;0.0551;53.2;0;46.7;0;35.8;0;0;0;81.7;80.5;79.5;58.9;25.7 ;26.4 ;27.2 ;26.1 ;
2017-09-04;23:51:41.705;0.235;0.983;0.239;0.667;675;741;0.0886;0.51;0.00856;0.00939;68;40.9;7.89e+04;8.02e+04;2.1e+03;1.97;49.2;0.47;11.8;9.75e+04;35.9;59.4;8.65e-05;4.77;0;0;0;0;0;327;112;0.314;0.976;0.321;0.667;226;251;0.1;0.548;0.00859;0.00954; 54960;6475;19681;16.7;9.72;43;0.313;0.988;0.317;0.667;225;243;0.074;0.47;0.00857;0.00926; 53600;6495;19492;17;10.3;45;0.313;0.986;0.317;0.667;224;244;0.0843;0.505;0.00854;0.00933; 52240;6134;19560;16.7;9.52;45;0.0011;1.05;0.00105;0.667;0.147;2.08;0.929;0.047;0.0016;0.0227; 33920;0;13;17.6;11.4;48;9.92e+03;9.75e+03;4.59e+03; 51%; 50%; 23%;9.85e+03;4.64e+03;9.93e+03; 51%; 24%; 51%;9.87e+03;9.75e+03;4.59e+03; 51%; 50%; 23%;8.18e+03;8.23e+03;8.24e+03; 42%; 42%; 42%;48.2;48.8;0.000346;3.02;0;0;0;0;0;47.6;51.5;0;0.95;0;0;0;0;0;47.6;50.6;0;1.85;0;0;0;0;0;0.157;86.6;0;13.3;0;0;0;0;0;85.9;84.9;90.8;65.8;27.3 ;28.2 ;28.3 ;27.7 ;
2017-09-04;23:51:42.721;0.268;1.15;0.234;0.667;754;827;0.0886;0.497;0.00823;0.00903;71.6;36.3;9.16e+04;7.98e+04;2.13e+03;2.29;57.4;0.536;13.4;1.13e+05;35.1;58.8;0.00147;6.09;0;0;0;0;0;346;112;0.358;1.1;0.327;0.667;252;282;0.104;0.53;0.00826;0.00923; 51920;6949;20769;17.9;8.97;42;0.358;1.18;0.303;0.667;250;269;0.0704;0.464;0.00819;0.00881; 51840;6915;20777;17.9;9.28;44;0.356;1.17;0.304;0.667;251;274;0.0833;0.493;0.00827;0.00902; 53120;6883;20604;18;8.84;44;0.00112;1.03;0.00109;0.667;0.132;2.24;0.941;0.0461;0.00138;0.0235; 34160;2;5;17.8;9.18;47;1.14e+04;1.13e+04;5.35e+03; 58%; 58%; 27%;1.13e+04;5.36e+03;1.14e+04; 58%; 27%; 58%;1.14e+04;1.14e+04;5.33e+03; 58%; 58%; 27%;9.38e+03;9.41e+03;9.42e+03; 48%; 48%; 48%;49;49.5;0.00556;1.45;0;0;0;0;0;45.5;52.3;0;2.25;0;0;0;0;0;45.6;51.7;0.000306;2.71;0;0;0;0;0;0.163;81.9;0;17.9;0;0;0;0;0;91.4;90.2;96.9;68;27.7 ;28.3 ;29 ;26.9 ;
2017-09-04;23:51:43.746;0.27;1.13;0.238;0.667;780;820;0.0494;0.406;0.00845;0.00889;75.4;33.7;9.23e+04;8.14e+04;2.13e+03;2.27;56.7;0.539;13.5;1.18e+05;35.7;58.7;0;5.64;0;0.184;0;0;0;356;113;0.361;1.13;0.321;0.667;260;274;0.0487;0.407;0.00844;0.00887; 52080;7232;21580;18.8;8.17;42;0.359;1.12;0.321;0.667;259;271;0.0454;0.404;0.00844;0.00884; 53600;7169;21498;18.8;8.25;44;0.358;1.16;0.309;0.667;260;273;0.0465;0.409;0.00849;0.00891; 50880;7156;21568;19;8.19;44;0.00117;1.08;0.00108;0.667;0.124;2.34;0.947;0.0458;0.00124;0.0233; 34080;0;3;18.7;9.11;48;1.18e+04;1.19e+04;5.69e+03; 60%; 60%; 29%;1.19e+04;5.67e+03;1.18e+04; 60%; 29%; 60%;1.19e+04;1.19e+04;5.7e+03; 61%; 61%; 29%;9.94e+03;9.97e+03;9.95e+03; 50%; 50%; 50%;48.1;48.8;0;3.12;0;0.736;0;0;0;48.2;50.3;0;1.49;0;0;0;0;0;46.3;51.3;0;2.4;0;0;0;0;0;0.162;84.3;0;15.5;0;0;0;0;0;93.5;93.2;99.7;69.4;28 ;28.6 ;29.4 ;27.3 ;
2017-09-04;23:51:44.766;0.191;0.772;0.247;0.667;604;648;0.068;0.374;0.0092;0.00988;56.2;54.3;6.56e+04;8.5e+04;2.15e+03;1.54;38.6;0.382;9.55;9.68e+04;37.1;55;0.000414;7.89;0;0;0;0;0;332;113;0.251;0.761;0.33;0.667;197;211;0.0649;0.377;0.00914;0.00978; 50160;6596;19498;14;12.9;44;0.255;0.776;0.329;0.667;203;217;0.0641;0.371;0.00928;0.00992; 53120;6637;19902;14.1;13;44;0.256;0.779;0.329;0.667;203;217;0.0651;0.377;0.00923;0.00987; 52160;6595;19791;14.1;13;45;0.00145;0.972;0.0015;0.667;0.153;2.45;0.937;0.0527;0.00123;0.0196; 34080;1;8;14;15.5;48;1.02e+04;1.02e+04;4.84e+03; 51%; 52%; 24%;1.03e+04;4.89e+03;1.02e+04; 52%; 24%; 52%;1.03e+04;1.02e+04;4.85e+03; 52%; 51%; 24%;6.95e+03;6.98e+03;6.85e+03; 35%; 35%; 34%;49.5;49.3;0;1.28;0;0;0;0;0;49.3;49.6;0;1.02;0;0;0;0;0;49.3;49.9;0;0.81;0;0;0;0;0;0.224;71.3;0.00166;28.5;0;0;0;0;0;88.3;86.3;93.2;64.2;27.9 ;28.4 ;28.9 ;28.3 ;
2017-09-04;23:51:45.783;0.238;1.01;0.236;0.667;689;778;0.114;0.568;0.00844;0.00952;62.6;35.3;8.16e+04;8.09e+04;2.14e+03;2.02;50.5;0.477;11.9;8.83e+04;35.4;50.8;0;13.8;0;0;0;0;0;325;105;0.321;0.995;0.323;0.667;232;261;0.11;0.566;0.00844;0.00948; 54240;5593;16882;15.7;8.45;42;0.317;1.02;0.31;0.667;228;257;0.111;0.565;0.00841;0.00946; 52160;5488;16648;15.5;8.58;44;0.314;1.01;0.311;0.667;228;258;0.115;0.575;0.00848;0.00959; 53680;5421;16390;15.7;8.37;44;0.00105;0.968;0.00109;0.667;0.14;2.09;0.933;0.046;0.00156;0.0233; 34160;0;8;15.7;9.89;47;9.17e+03;9.04e+03;3.49e+03; 46%; 46%; 17%;8.98e+03;3.49e+03;9.17e+03; 45%; 17%; 46%;9.08e+03;9.17e+03;3.45e+03; 46%; 46%; 17%;7.67e+03;7.76e+03;7.83e+03; 39%; 39%; 39%;48.4;49.6;0;2.01;0;0;0;0;0;46.4;48.3;0;5.29;0;0;0;0;0;46.7;48.1;0;5.18;0;0;0;0;0;0.163;57.3;0;42.6;0;0;0;0;0;86.6;84.3;90.6;63;25.9 ;26.3 ;27.3 ;25.9 ;
2017-09-04;23:51:46.799;0.267;1.14;0.234;0.667;749;812;0.0774;0.475;0.00821;0.0089;71.8;34.9;9.12e+04;7.99e+04;2.14e+03;2.28;57.1;0.534;13.4;1.11e+05;35.1;51.8;0;13.1;0;0;0;0;0;344;111;0.356;1.16;0.306;0.667;250;270;0.0733;0.467;0.00821;0.00886; 52960;6894;20563;17.9;8.62;42;0.355;1.1;0.322;0.667;249;269;0.0776;0.482;0.0082;0.00889; 52160;6857;20487;17.9;8.92;43;0.356;1.16;0.306;0.667;251;271;0.0742;0.478;0.00825;0.00891; 53440;6809;20516;18.1;8.45;43;0.00113;1.02;0.0011;0.667;0.128;2.25;0.943;0.0455;0.00133;0.0234; 34240;1;3;17.8;8.96;47;1.12e+04;1.12e+04;5.2e+03; 57%; 57%; 26%;1.12e+04;5.19e+03;1.13e+04; 57%; 26%; 57%;1.12e+04;1.12e+04;5.18e+03; 57%; 57%; 26%;9.37e+03;9.38e+03;9.38e+03; 48%; 48%; 48%;45.9;46.7;0;7.35;0;0;0;0;0;48.4;49.2;0;2.44;0;0;0;0;0;45.9;47.9;0;6.23;0;0;0;0;0;0.166;63.3;0;36.5;0;0;0;0;0;90.7;90.8;96.5;66.3;27.5 ;28.2 ;28.8 ;26.8 ;
2017-09-04;23:51:47.813;0.246;1.07;0.231;0.667;754;835;0.0972;0.527;0.00899;0.00995;72.6;29.7;8.39e+04;7.88e+04;2.13e+03;2.13;53.3;0.492;12.3;1.04e+05;34.6;52.2;0.00634;13.1;0;0;0;0;0;340;109;0.327;1.07;0.305;0.667;251;278;0.0982;0.535;0.00898;0.00995; 55920;6539;19271;18.1;7.04;42;0.33;1.09;0.303;0.667;254;279;0.0898;0.516;0.009;0.00988; 53200;6505;19543;18.1;7.12;44;0.324;1.03;0.314;0.667;249;276;0.0966;0.533;0.00901;0.00997; 52800;6380;19164;18.3;7.1;43;0.00112;1.04;0.00108;0.667;0.121;2.25;0.946;0.0454;0.00127;0.0235; 34080;1;4;18.1;8.49;47;1.04e+04;1.04e+04;4.36e+03; 53%; 53%; 22%;1.04e+04;4.35e+03;1.05e+04; 53%; 22%; 53%;1.05e+04;1.05e+04;4.34e+03; 53%; 53%; 22%;9.24e+03;9.33e+03;9.34e+03; 47%; 47%; 47%;45.7;47.1;0.0254;7.09;0;0;0;0;0;45.5;49;0;5.56;0;0;0;0;0;47.1;48.5;0;4.41;0;0;0;0;0;0.162;64.3;0;35.5;0;0;0;0;0;89.6;88.9;95.9;65.8;26.7 ;27.2 ;28.1 ;26.6 ;
2017-09-04;23:51:48.826;0.258;1.1;0.235;0.667;728;831;0.124;0.558;0.0083;0.00947;68.9;37.3;8.77e+04;8e+04;2.13e+03;2.19;54.8;0.515;12.9;1.1e+05;35.2;56.4;0;8.35;0;0;0;0;0;346;111;0.347;1.06;0.326;0.667;246;281;0.127;0.566;0.00833;0.00954; 51200;6899;20631;17.2;9.23;43;0.343;1.13;0.304;0.667;241;269;0.106;0.533;0.00826;0.00924; 50400;6764;20358;17.2;9.53;44;0.341;1.1;0.309;0.667;242;278;0.132;0.574;0.00834;0.00961; 49280;6699;20204;17.3;9.12;45;0.00107;1.01;0.00106;0.667;0.141;2.11;0.933;0.0463;0.00155;0.0232; 34080;1;6;17.2;9.42;48;1.12e+04;1.11e+04;5.29e+03; 57%; 57%; 27%;1.11e+04;5.31e+03;1.12e+04; 57%; 27%; 57%;1.12e+04;1.12e+04;5.28e+03; 57%; 57%; 27%;9.02e+03;9.07e+03;9.03e+03; 46%; 46%; 46%;48.9;49.5;0;1.55;0;0;0;0;0;45.6;52.2;0;2.24;0;0;0;0;0;46.3;51.2;0;2.45;0;0;0;0;0;0.159;72.7;0;27.2;0;0;0;0;0;91.6;90.1;96.9;67.1;27.6 ;28.1 ;28.8 ;26.5 ;
