System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;23:09:51.483;0.0779;0.299;0.261;1.24;158;168;0.058;0.0548;0.00532;0.00565;35.7;49.7;2.97e+04;9.95e+04;2.13e+03;0.597;14.9;0.156;3.89;6.49e+04;21.1;31.7;0.0617;47.2;0;13.7;0;0;0;398;104;0.101;0.273;0.371;1.24;48.2;50.7;0.0505;0.03;0.00508;0.00535; 42720;4465;15501;9.15;14.9;42;0.0148;0.488;0.0304;1.27;7.92;10.4;0.242;0.0956;0.00564;0.00744; 50560;519;1532;8.69;10.8;50;0.0928;0.249;0.373;1.24;47.4;49.4;0.0394;0.0364;0.00538;0.0056; 64800;4073;14010;9.43;13.4;48;0.102;0.378;0.27;1.24;54.6;57.3;0.0471;0.0831;0.00546;0.00573; 47840;3452;10542;8.47;10.7;48;4.7e+03;9.37e+03;6.33e+03; 21%; 43%; 29%;3.4e+03;3.36e+03;3.25e+03; 15%; 15%; 14%;4.58e+03;9.1e+03;6e+03; 21%; 41%; 27%;5.35e+03;3.94e+03;5.47e+03; 24%; 18%; 25%;30;36.8;0.101;33;0;12.6;0;0;0;2.39;21.5;0.076;76;0;28.1;0;0;0;30.1;36.2;0.0582;33.6;0;14.5;0;0;0;21.8;32.3;0.014;45.9;0;0;0;0;0;111;75.2;115;96.7;27.2 ;25 ;27.5 ;24 ;
2017-09-04;23:09:52.501;0.285;0.478;0.597;1.24;686;807;0.15;0.506;0.00679;0.00799;72.9;53.3;1.01e+05;2.11e+05;2.45e+03;0.956;23.9;0.571;14.3;1.1e+05;48.2;46.4;0;5.39;0;0.818;0;0;0;465;122;0.295;0.489;0.603;1.24;182;217;0.164;0.516;0.00684;0.00819; 52320;6213;18678;18.3;14.7;42;0.262;0.464;0.564;1.24;158;190;0.172;0.541;0.00675;0.00815; 49920;5422;16667;18.3;12.9;47;0.302;0.486;0.621;1.24;183;208;0.122;0.462;0.00682;0.00777; 52480;6086;18283;18.3;13;47;0.282;0.471;0.599;1.24;164;191;0.141;0.502;0.00675;0.00785; 50640;5562;17286;18;12.7;47;9.02e+03;9.23e+03;9.25e+03; 44%; 45%; 45%;9.33e+03;9.19e+03;9.1e+03; 46%; 45%; 44%;9.11e+03;9.12e+03;9.29e+03; 45%; 45%; 45%;9.27e+03;9e+03;9.12e+03; 45%; 44%; 45%;48.7;42.2;0;9.1;0;1.06;0;0;0;45.6;47.8;0;6.63;0;1.44;0;0;0;50.2;47;0;2.79;0;0.205;0;0;0;48.4;48.7;0;2.9;0;0.552;0;0;0;114;114;123;115;30.8 ;30.4 ;31.4 ;29 ;
2017-09-04;23:09:53.507;0.291;0.491;0.592;1.24;689;860;0.199;0.572;0.00704;0.00879;78.1;45.9;9.79e+04;1.99e+05;2.1e+03;0.982;24.6;0.581;14.5;1.2e+05;47.8;48.4;0;3.73;0;0.209;0;0;0;475;120;0.297;0.491;0.605;1.24;176;219;0.197;0.563;0.00702;0.00874; 51040;5645;17246;19.4;11.9;40;0.29;0.493;0.587;1.24;171;219;0.219;0.59;0.00702;0.009; 52400;5563;16595;19.7;11.3;46;0.293;0.493;0.595;1.24;175;217;0.196;0.571;0.00709;0.00881; 52960;5653;17100;19.5;11.3;46;0.283;0.487;0.581;1.24;168;205;0.183;0.561;0.00704;0.00861; 52880;5409;16491;19.4;11.4;46;1e+04;1.01e+04;9.87e+03; 52%; 52%; 51%;1.01e+04;9.91e+03;1.01e+04; 52%; 51%; 52%;1e+04;1.01e+04;9.87e+03; 52%; 52%; 51%;1.01e+04;9.95e+03;1.01e+04; 52%; 51%; 52%;48.9;47.4;0;3.71;0;0;0;0;0;47.4;47.9;0;4.61;0;0.838;0;0;0;48;49;0;2.93;0;0;0;0;0;46.9;49.4;0;3.68;0;0;0;0;0;118;117;124;115;30.1 ;30.3 ;31.1 ;28.9 ;
2017-09-04;23:09:54.522;0.332;0.552;0.602;1.24;778;897;0.133;0.533;0.00684;0.00789;88.9;35.5;1.14e+05;2.06e+05;2.15e+03;1.1;27.6;0.664;16.6;1.32e+05;48.6;48.4;0;3.03;0;0;0;0;0;497;121;0.33;0.537;0.615;1.24;194;225;0.137;0.533;0.00684;0.00792; 52480;6105;18282;22.2;8.99;40;0.328;0.56;0.586;1.24;192;226;0.151;0.554;0.00681;0.00802; 51920;6018;18014;22.4;8.81;45;0.339;0.564;0.601;1.24;199;227;0.126;0.525;0.00685;0.00784; 50720;6247;18822;22.1;8.82;45;0.33;0.545;0.605;1.24;194;219;0.117;0.516;0.00686;0.00777; 51680;6080;18113;22.1;8.86;45;1.09e+04;1.11e+04;1.1e+04; 55%; 56%; 56%;1.11e+04;1.1e+04;1.1e+04; 56%; 56%; 56%;1.08e+04;1.1e+04;1.1e+04; 55%; 56%; 56%;1.11e+04;1.08e+04;1.1e+04; 56%; 55%; 55%;49.7;47.3;0;3.07;0;0;0;0;0;47.3;47.5;0;5.17;0;0;0;0;0;48.5;49;0;2.48;0;0;0;0;0;48.9;49.7;0;1.4;0;0;0;0;0;124;121;130;122;30.2 ;30.6 ;31.2 ;29.1 ;
2017-09-04;23:09:55.544;0.206;0.342;0.601;1.24;593;679;0.127;0.424;0.00842;0.00964;62.6;61.5;7.04e+04;2.06e+05;2.13e+03;0.684;17.1;0.412;10.3;1.14e+05;48.6;48.4;0;3.03;0;0.163;0;0;0;475;121;0.208;0.333;0.625;1.24;149;173;0.135;0.433;0.00842;0.00973; 51200;5639;17045;15.6;15.4;40;0.197;0.342;0.576;1.24;142;165;0.142;0.449;0.00841;0.0098; 51120;5420;16175;15.7;15.3;45;0.205;0.343;0.599;1.24;148;170;0.128;0.428;0.00845;0.00968; 54800;5653;16890;15.6;15.4;45;0.213;0.352;0.606;1.24;154;171;0.102;0.381;0.00842;0.00937; 52960;5791;17325;15.6;15.4;45;9.35e+03;9.48e+03;9.54e+03; 47%; 48%; 48%;9.37e+03;9.52e+03;9.39e+03; 47%; 48%; 48%;9.37e+03;9.54e+03;9.6e+03; 47%; 48%; 49%;9.53e+03;9.34e+03;9.52e+03; 48%; 47%; 48%;50.5;47.1;0;2.43;0;0.0696;0;0;0;46.5;47.8;0;5.68;0;0.147;0;0;0;48.4;49.3;0;2.34;0;0.102;0;0;0;49;49.3;0;1.68;0;0.333;0;0;0;118;116;124;117;30.2 ;30.6 ;31.3 ;29.3 ;
2017-09-04;23:09:56.566;0.281;0.473;0.595;1.24;696;877;0.206;0.581;0.0072;0.00908;72.7;45.3;9.66e+04;2.04e+05;2.15e+03;0.945;23.6;0.562;14.1;1.08e+05;48;48.1;0.000904;3.83;0;0;0;0;0;472;117;0.283;0.469;0.603;1.24;175;220;0.204;0.574;0.00719;0.00904; 48880;5126;15405;18.1;11.6;40;0.272;0.47;0.579;1.24;168;213;0.212;0.587;0.00718;0.00911; 52880;4866;14724;18.2;11.1;44;0.286;0.473;0.603;1.24;178;223;0.202;0.58;0.00724;0.00908; 52320;5199;15585;18.1;11.2;44;0.284;0.477;0.594;1.24;175;221;0.207;0.582;0.0072;0.00908; 53760;5135;15421;18.2;11.4;44;8.81e+03;9.04e+03;9.12e+03; 44%; 46%; 46%;8.99e+03;8.96e+03;8.94e+03; 45%; 45%; 45%;8.78e+03;9.01e+03;9e+03; 44%; 45%; 45%;9.07e+03;8.81e+03;9.12e+03; 46%; 44%; 46%;48.7;47.3;0.00362;4.03;0;0;0;0;0;46.7;47.3;0;5.98;0;0;0;0;0;48.7;49.3;0;2;0;0;0;0;0;48;48.7;0;3.29;0;0;0;0;0;118;115;124;116;29.3 ;29.3 ;30.3 ;28.2 ;
2017-09-04;23:09:57.589;0.32;0.543;0.589;1.24;752;898;0.163;0.57;0.00684;0.00818;86.1;38.6;1.1e+05;2.02e+05;2.15e+03;1.09;27.2;0.64;16;1.28e+05;47.6;48.2;0.035;4.2;0;0.711;0;0;0;495;122;0.323;0.535;0.603;1.24;189;227;0.169;0.569;0.00683;0.00822; 52640;5979;17955;21.5;9.85;39;0.314;0.547;0.574;1.24;183;221;0.171;0.58;0.00682;0.00822; 51440;5784;17328;21.7;9.45;44;0.325;0.545;0.596;1.24;192;226;0.15;0.559;0.00687;0.00809; 52080;6014;18181;21.4;9.59;44;0.319;0.546;0.584;1.24;188;224;0.162;0.572;0.00685;0.00818; 50640;5910;17571;21.5;9.7;43;1.06e+04;1.08e+04;1.07e+04; 54%; 55%; 54%;1.07e+04;1.07e+04;1.08e+04; 54%; 54%; 54%;1.06e+04;1.08e+04;1.07e+04; 54%; 54%; 54%;1.07e+04;1.05e+04;1.07e+04; 54%; 53%; 54%;48.7;46.5;0.14;4.57;0;0.00855;0;0;0;46.3;47.8;0;5.82;0;2.84;0;0;0;48.1;49;0;2.89;0;0;0;0;0;47.1;49.3;0;3.51;0;0;0;0;0;123;121;130;121;30.5 ;30.7 ;31.4 ;29.2 ;
2017-09-04;23:09:58.613;0.289;0.49;0.588;1.24;724;900;0.196;0.583;0.0073;0.00907;83.4;45;9.92e+04;2.02e+05;2.15e+03;0.981;24.5;0.577;14.4;1.28e+05;47.5;48.6;0;3.92;0;0.381;0;0;0;493;123;0.291;0.481;0.605;1.24;184;239;0.23;0.606;0.00734;0.00954; 50960;6019;18131;20.8;11.4;39;0.283;0.493;0.575;1.24;176;218;0.191;0.581;0.00724;0.00895; 53600;5805;17530;20.9;11.1;44;0.294;0.497;0.592;1.24;185;228;0.188;0.577;0.00733;0.00902; 54000;6094;18379;20.8;11.2;43;0.286;0.491;0.583;1.24;179;216;0.171;0.561;0.00727;0.00877; 49600;5911;17769;20.8;11.4;43;1.06e+04;1.08e+04;1.07e+04; 53%; 54%; 54%;1.07e+04;1.06e+04;1.07e+04; 54%; 54%; 54%;1.06e+04;1.07e+04;1.06e+04; 53%; 54%; 53%;1.07e+04;1.05e+04;1.07e+04; 54%; 53%; 54%;48.8;46.4;0;4.76;0;1.53;0;0;0;46.4;48;0;5.54;0;0;0;0;0;47.8;49.5;0;2.73;0;0;0;0;0;47.1;50.3;0;2.63;0;0;0;0;0;122;120;130;121;30.7 ;30.8 ;31.6 ;29.7 ;
2017-09-04;23:09:59.635;0.328;0.551;0.596;1.24;767;930;0.176;0.593;0.00679;0.00825;88.7;37.1;1.13e+05;2.05e+05;2.15e+03;1.1;27.5;0.656;16.4;1.31e+05;48.1;47.8;0;4.07;0;1.86;0;0;0;499;122;0.33;0.542;0.609;1.24;193;239;0.194;0.603;0.0068;0.00843; 48880;6097;18329;22.1;9.41;39;0.322;0.564;0.572;1.24;187;229;0.184;0.6;0.00676;0.00828; 53200;5936;17728;22.3;9.13;43;0.332;0.551;0.602;1.24;195;236;0.174;0.591;0.00683;0.00827; 51280;6124;18420;22.1;9.22;43;0.329;0.547;0.601;1.24;192;226;0.152;0.575;0.00679;0.00801; 52080;6127;18087;22.1;9.32;42;1.09e+04;1.1e+04;1.1e+04; 55%; 55%; 55%;1.1e+04;1.09e+04;1.1e+04; 55%; 55%; 55%;1.08e+04;1.1e+04;1.09e+04; 55%; 55%; 55%;1.1e+04;1.08e+04;1.1e+04; 55%; 55%; 55%;49.2;46.6;0;4.15;0;2.76;0;0;0;46.2;46.8;0;7.03;0;3.11;0;0;0;48.6;48.8;0;2.6;0;0;0;0;0;48.5;49;0;2.48;0;1.57;0;0;0;124;121;131;123;30.4 ;30.8 ;31.5 ;29.2 ;
2017-09-04;23:10:00.657;0.288;0.487;0.593;1.24;726;914;0.206;0.593;0.00733;0.00923;83.2;45.5;9.91e+04;2.03e+05;2.15e+03;0.974;24.3;0.577;14.4;1.28e+05;47.9;48.7;0;3.45;0;0.0136;0;0;0;494;123;0.291;0.48;0.605;1.24;184;245;0.246;0.621;0.00739;0.0098; 50880;6005;18111;20.8;11.5;38;0.283;0.486;0.581;1.24;175;214;0.18;0.575;0.00723;0.00882; 51760;5786;17476;20.9;11.2;43;0.292;0.495;0.59;1.24;183;223;0.179;0.573;0.00731;0.00891; 52240;6064;18213;20.8;11.3;43;0.288;0.486;0.594;1.24;183;232;0.213;0.596;0.00737;0.00937; 49600;5926;17891;20.7;11.5;43;1.05e+04;1.07e+04;1.07e+04; 53%; 54%; 54%;1.07e+04;1.06e+04;1.06e+04; 54%; 54%; 54%;1.06e+04;1.07e+04;1.06e+04; 53%; 54%; 54%;1.07e+04;1.05e+04;1.07e+04; 54%; 53%; 54%;48.9;46.8;0;4.28;0;0.0544;0;0;0;46.9;48.7;0;4.32;0;0;0;0;0;47.6;49.5;0;2.8;0;0;0;0;0;48;49.6;0;2.39;0;0;0;0;0;122;121;130;121;30.9 ;30.9 ;31.8 ;29.7 ;
