System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-04;22:03:27.033;0.0313;0.253;0.124;0.992;59.5;68.1;0.127;0.0998;0.00558;0.00639;15;22.3;1.07e+04;4.22e+04;2.12e+03;0.506;12.6;0.0625;1.56;3.03e+04;12.5;10.4;0.0931;77;0;28.9;0;0;0;257;64.4;0.0674;0.245;0.276;0.996;33;35.7;0.0749;0.066;0.00576;0.00623; 48800;3364;11986;3.34;5.94;42;0.0507;0.246;0.207;0.994;24.3;26.3;0.0773;0.0465;0.00561;0.00608; 49920;2689;9248;4.1;6.82;42;0.00307;0.42;0.00731;0.815;1.07;3.22;0.667;0.311;0.00409;0.0123; 40160;33;96;3.81;4.83;48;0.00406;0.669;0.00607;1;1.11;2.92;0.62;0.44;0.0032;0.00841; 39920;74;70;3.79;4.73;48;5.7e+03;3.29e+03;3.24e+03; 29%; 16%; 16%;2.65e+03;2.59e+03;5.34e+03; 13%; 13%; 27%;1.37e+03;1.7e+03;730;  7%;  8%;  3%;701;1.34e+03;1.67e+03;  3%;  6%;  8%;27.7;11.2;0.154;61;0;17.2;0;0;0;20.8;8.71;0.162;70.4;0;34.1;0;0;0;0.896;5.12;0.035;93.9;0;64.5;0;0;0;0.607;16.7;0.0216;82.7;0;0;0;0;0;72.5;68.1;59.3;57.4;16.2 ;16.7 ;16 ;15.5 ;
2017-09-04;22:03:28.047;0.191;0.406;0.472;1;399;411;0.0288;0.0944;0.0061;0.00628;48.8;55.5;6.54e+04;1.61e+05;2.14e+03;0.811;20.3;0.383;9.57;8.32e+04;47.2;20.4;0.00314;32.4;0;10.3;0;0;0;349;110;0.384;0.399;0.963;1;201;206;0.0255;0.0928;0.00611;0.00627; 49920;8607;27919;11.4;11.4;40;0.38;0.412;0.921;1;198;203;0.0251;0.0964;0.00609;0.00625; 48400;8565;27229;11.7;11.7;41;0.000702;0.832;0.000844;0.995;0.0521;1.43;0.964;0.0406;0.000869;0.0239; 39280;1;2;13.4;17.2;48;8.9e-05;0.372;0.000239;0.966;0.036;0.132;0.727;0.0798;0.00474;0.0173; 38880;0;2;12.4;15.2;48;1.23e+04;6.63e+03;5.95e+03; 62%; 33%; 30%;6.46e+03;5.78e+03;1.23e+04; 33%; 29%; 62%;8.17e+03;8.36e+03;1.09e+03; 41%; 42%;  5%;1.1e+03;7.48e+03;7.65e+03;  5%; 38%; 39%;96.3;1.05;0.0125;2.65;0;0;0;0;0;92.2;1.86;0;5.97;0;2.37;0;0;0;0.0848;35.7;0;64.2;0;0.381;0;0;0;0.0248;43.2;0;56.8;0;38.3;0;0;0;107;107;70.7;64.5;25.8 ;26.3 ;30.7 ;27.2 ;
2017-09-04;22:03:29.042;0.235;0.492;0.477;1;555;676;0.18;0.49;0.00706;0.0086;69.9;39.5;7.86e+04;1.6e+05;2.1e+03;0.985;24.6;0.47;11.7;1e+05;47.7;40.2;0;12.1;0;0.346;0;0;0;369;112;0.473;0.497;0.952;1;279;340;0.18;0.492;0.00704;0.00858; 44000;10416;31010;17.2;9.03;40;0.464;0.488;0.951;1;276;334;0.175;0.489;0.0071;0.00861; 46080;10114;30319;17.2;9.12;40;0.00181;0.408;0.00444;1;0.0587;1.58;0.963;0.0498;0.000387;0.0104; 38160;0;11;17.8;10.7;48;9.29e-05;0.413;0.000225;1;0.0488;0.143;0.659;0.0896;0.00628;0.0184; 38960;0;2;17.8;10.6;47;1.4e+04;5.47e+03;5.46e+03; 72%; 28%; 28%;5.43e+03;5.41e+03;1.41e+04; 28%; 28%; 73%;1.1e+04;1.12e+04;2.91e+03; 57%; 58%; 15%;2.91e+03;1.1e+04;1.12e+04; 15%; 57%; 58%;95.2;1.06;0;3.77;0;1.38;0;0;0;95.1;1.84;0;3.1;0;0;0;0;0;0.444;73.1;0;26.4;0;0;0;0;0;0.0225;84.8;0;15.2;0;0;0;0;0;109;110;77.1;72.9;27.3 ;27.7 ;29.4 ;27.4 ;
2017-09-04;22:03:30.055;0.229;0.477;0.48;1;484;572;0.154;0.48;0.00621;0.00735;60.6;38;7.78e+04;1.63e+05;2.12e+03;0.953;23.8;0.458;11.4;9.74e+04;48;42.4;0;9.59;0;0.125;0;0;0;381;107;0.47;0.487;0.966;1;250;295;0.152;0.475;0.00627;0.00739; 50640;9599;28930;15.1;9.29;39;0.446;0.466;0.956;1;234;276;0.152;0.486;0.00617;0.00728; 52640;8982;27162;15.1;9.52;39;0.00075;1.06;0.000706;1;0.065;1.42;0.954;0.0512;0.00102;0.0223; 38000;1;5;15.3;9.86;47;8e-05;0.479;0.000167;1;0.0312;0.108;0.712;0.119;0.00458;0.0159; 38000;1;1;15.1;9.35;47;1.35e+04;6e+03;5.83e+03; 69%; 30%; 29%;5.84e+03;5.67e+03;1.38e+04; 30%; 29%; 71%;1.01e+04;1.05e+04;2.79e+03; 51%; 54%; 14%;2.79e+03;1e+04;1.05e+04; 14%; 51%; 54%;96.6;1.84;0;1.6;0;0.124;0;0;0;95.6;1.51;0;2.85;0;0.376;0;0;0;0.0706;80.6;0;19.3;0;0;0;0;0;0.0167;85.4;0;14.5;0;0;0;0;0;114;114;79.4;74.2;26.4 ;27 ;28 ;25.6 ;
2017-09-04;22:03:31.068;0.258;0.567;0.456;1;579;694;0.166;0.488;0.00658;0.00789;66.9;28.5;8.8e+04;1.55e+05;2.13e+03;1.13;28.3;0.517;12.9;9.94e+04;45.6;44.4;0;10;0;1.01;0;0;0;384;105;0.521;0.573;0.909;1;291;349;0.166;0.489;0.00658;0.00788; 48640;9337;28198;16.7;6.55;38;0.512;0.562;0.912;1;287;344;0.165;0.488;0.00659;0.00789; 55280;9209;27738;16.7;6.55;38;0.00108;0.386;0.00281;1;0.0322;0.866;0.963;0.052;0.000349;0.00939; 38080;0;3;16.7;7.69;47;0.000102;0.572;0.000179;1;0.0225;0.169;0.867;0.0886;0.00258;0.0194; 38080;1;0;16.7;7.71;46;1.34e+04;5.04e+03;5.08e+03; 68%; 25%; 26%;5.03e+03;5.03e+03;1.35e+04; 25%; 25%; 69%;1.14e+04;1.15e+04;3.21e+03; 58%; 59%; 16%;3.21e+03;1.14e+04;1.16e+04; 16%; 58%; 59%;90.9;1.49;0;7.64;0;3.13;0;0;0;91.2;2.05;0;6.76;0;0.928;0;0;0;0.281;88.7;0;11;0;0;0;0;0;0.0179;85.2;0;14.7;0;0;0;0;0;113;115;81.5;74.7;25.7 ;26.2 ;27.7 ;25.4 ;
2017-09-04;22:03:32.080;0.172;0.375;0.46;1;452;496;0.0877;0.289;0.00771;0.00845;51.7;43.6;5.86e+04;1.56e+05;2.13e+03;0.75;18.7;0.345;8.61;9.46e+04;46;45.8;0.00434;8.23;0;1.58;0;0;0;373;105;0.338;0.375;0.901;1;222;243;0.0857;0.287;0.00772;0.00845; 46080;9270;27703;13;10.3;39;0.351;0.374;0.937;1;230;251;0.0855;0.292;0.00771;0.00843; 49120;9471;28210;13;10.3;39;0.000596;1.12;0.000532;1;0.0337;1.12;0.97;0.0517;0.000664;0.022; 38000;0;4;12.9;11.5;46;7.7e-05;0.468;0.000165;1;0.0189;0.0942;0.799;0.136;0.00289;0.0144; 38080;0;2;12.8;11.5;46;1.37e+04;6.65e+03;6.63e+03; 70%; 34%; 34%;6.69e+03;6.67e+03;1.36e+04; 34%; 34%; 69%;9.17e+03;8.96e+03;2.22e+03; 47%; 46%; 11%;2.22e+03;9.13e+03;8.93e+03; 11%; 46%; 45%;90.1;2.42;0.0173;7.43;0;4.56;0;0;0;93.7;1.43;0;4.87;0;1.76;0;0;0;0.0532;89.7;0;10.2;0;0;0;0;0;0.0165;89.6;0;10.4;0;0;0;0;0;108;110;80.4;74.4;25.9 ;26.3 ;27.6 ;25.5 ;
2017-09-04;22:03:33.094;0.189;0.387;0.489;1;454;537;0.153;0.409;0.00706;0.00834;53.2;39.4;6.44e+04;1.66e+05;2.13e+03;0.774;19.3;0.378;9.45;7.85e+04;48.9;32.9;0;18.2;0;0.229;0;0;0;361;103;0.383;0.392;0.978;1;231;271;0.149;0.408;0.00708;0.00832; 46960;8082;23958;13.5;8.27;39;0.372;0.381;0.976;1;224;264;0.154;0.41;0.00705;0.00833; 49120;7762;23449;13.3;8.29;39;0.000784;1.12;0.000702;1;0.0427;1.49;0.971;0.0504;0.000639;0.0223; 38000;0;2;13.1;11.4;47;7.98e-05;0.469;0.00017;1;0.0188;0.103;0.818;0.112;0.00277;0.0152; 38080;0;0;13.2;11.4;47;1.17e+04;4.2e+03;4.19e+03; 60%; 21%; 21%;4.1e+03;4.14e+03;1.18e+04; 21%; 21%; 60%;8.68e+03;8.97e+03;1.48e+03; 44%; 46%;  7%;1.48e+03;8.8e+03;8.98e+03;  7%; 45%; 46%;97.8;1.69;0;0.501;0;0.191;0;0;0;97.6;0.762;0;1.65;0;0.727;0;0;0;0.0702;69.1;0;30.9;0;0;0;0;0;0.017;60.2;0;39.8;0;0;0;0;0;108;108;76;68.4;24.9 ;25.1 ;27.7 ;25.6 ;
2017-09-04;22:03:34.105;0.24;0.549;0.436;1;464;534;0.132;0.495;0.0057;0.00656;52.1;32.9;8.14e+04;1.48e+05;2.13e+03;1.1;27.5;0.479;12;8.05e+04;43.6;38.7;0.189;17.5;0;0.809;0;0;0;360;96.5;0.471;0.539;0.874;1;227;262;0.132;0.495;0.00567;0.00653; 42080;7465;22483;13;8.3;39;0.486;0.559;0.869;1;237;272;0.13;0.495;0.00573;0.00658; 49920;7878;23589;13.1;8.34;39;0.000207;0.751;0.000275;1;0.0306;0.369;0.917;0.0587;0.00174;0.021; 37840;1;0;13.1;8.13;47;0.000354;1.15;0.000307;1;0.0254;0.2;0.873;0.166;0.000846;0.00667; 38160;1;1;13;8.12;47;1.16e+04;4.3e+03;4.23e+03; 59%; 22%; 21%;4.45e+03;4.45e+03;1.15e+04; 22%; 22%; 59%;9.05e+03;8.82e+03;2.2e+03; 46%; 45%; 11%;2.2e+03;9.04e+03;8.73e+03; 11%; 46%; 44%;87.4;4.1;0.753;7.77;0;0.0119;0;0;0;86.9;4.13;0.0035;8.93;0;3.22;0;0;0;0.0275;76.7;0;23.3;0;0;0;0;0;0.0307;70.1;0;29.9;0;0;0;0;0;106;107;77.1;69.8;24.1 ;24.5 ;25 ;22.9 ;
2017-09-04;22:03:35.118;0.251;0.536;0.468;1;561;688;0.184;0.485;0.00657;0.00805;67.5;30.9;8.54e+04;1.59e+05;2.12e+03;1.07;26.8;0.503;12.6;9.99e+04;46.8;38.2;0.00372;14.9;0;1.58;0;0;0;382;107;0.505;0.553;0.913;1;282;344;0.181;0.484;0.00657;0.00802; 49120;9409;28149;17;7.68;38;0.5;0.52;0.961;1;279;342;0.184;0.486;0.00657;0.00805; 49600;9280;27694;16.9;7.61;38;0.000828;1.15;0.00072;1;0.0427;1.58;0.973;0.049;0.000607;0.0225; 37920;1;0;16.8;7.76;46;9.97e-05;0.438;0.000228;1;0.03;0.149;0.799;0.0959;0.00354;0.0176; 38160;1;0;16.8;7.82;46;1.37e+04;5e+03;5.07e+03; 70%; 25%; 26%;4.95e+03;4.96e+03;1.37e+04; 25%; 25%; 70%;1.15e+04;1.15e+04;3.19e+03; 59%; 59%; 16%;3.19e+03;1.15e+04;1.16e+04; 16%; 59%; 59%;91.3;1.42;0.0149;7.3;0;4.63;0;0;0;96.1;0.465;0;3.46;0;1.68;0;0;0;0.072;82.7;0;17.2;0;0;0;0;0;0.0228;68.4;0;31.6;0;0;0;0;0;114;117;80.4;71.5;26.4 ;26.9 ;27.9 ;25.6 ;
2017-09-04;22:03:36.131;0.23;0.498;0.461;1;579;721;0.198;0.508;0.0074;0.00922;68.2;28.2;7.82e+04;1.57e+05;2.13e+03;0.997;24.9;0.459;11.5;9.74e+04;46.1;40.2;0.00711;13.7;0;1.51;0;0;0;381;106;0.462;0.517;0.893;1;289;360;0.199;0.51;0.00735;0.00917; 48800;9215;27777;17.2;6.2;38;0.456;0.48;0.95;1;290;359;0.193;0.507;0.00747;0.00926; 49440;9182;27414;17.1;6.17;37;0.000805;1.18;0.000681;1;0.0374;1.53;0.976;0.0499;0.000545;0.0223; 38080;0;2;17;7.87;46;7.92e-05;0.467;0.000169;1;0.0236;0.105;0.774;0.114;0.0035;0.0155; 37920;0;1;17;7.91;45;1.33e+04;4.61e+03;4.62e+03; 68%; 23%; 23%;4.57e+03;4.58e+03;1.33e+04; 23%; 23%; 68%;1.15e+04;1.16e+04;3.07e+03; 59%; 59%; 15%;3.07e+03;1.15e+04;1.17e+04; 15%; 59%; 59%;89.3;1.64;0.0284;9;0;5.46;0;0;0;95;1.36;0;3.65;0;0.595;0;0;0;0.0681;77.8;0;22.1;0;0;0;0;0;0.0169;80.1;0;19.9;0;0;0;0;0;112;115;79.4;73.7;25.8 ;26.2 ;27.8 ;25.8 ;
