System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;03:03:16.575;0.0163;0.879;0.0186;0.616;9.37;17.1;0.45;0.492;0.0016;0.00291;1.13;1.49;5.86e+03;6.67e+03;2.13e+03;1.76;44;0.0327;0.817;2.09e+03;3.02;17.8;0.0429;79.2;0;25.8;0;0;0;132;37.8;0.056;1.11;0.0504;0.617;6.98;9.68;0.278;0.56;0.00141;0.00195; 47760;331;1001;0.259;0.271;47;0.00333;0.411;0.00809;0.602;0.963;3.39;0.716;0.345;0.00322;0.0113; 36720;19;86;0.241;0.351;52;0.00483;0.372;0.013;0.617;0.743;2.18;0.659;0.407;0.00171;0.00501; 40400;9;76;0.327;0.456;54;0.00179;0.532;0.00337;0.619;0.682;1.8;0.622;0.346;0.00422;0.0111; 39040;48;43;0.305;0.415;51;311;411;296;  1%;  2%;  1%;64;44.9;240;  0%;  0%;  1%;45.2;270;59.5;  0%;  1%;  0%;45.7;43.2;257;  0%;  0%;  1%;8.16;17.2;0.0473;74.6;0;20.8;0;0;0;1.34;5.56;0.0606;93;0;59.9;0;0;0;2.1;18.9;0.0428;78.9;0;22.2;0;0;0;0.545;29.4;0.021;70;0;0;0;0;0;35.8;30.1;33.4;32.7;9.27 ;9.55 ;9.96 ;8.97 ;
2017-09-05;03:03:17.661;0.0879;0.604;0.146;0.619;238;252;0.0573;0.202;0.00727;0.00772;24.5;25.1;3.27e+04;5.41e+04;2.29e+03;1.21;30.2;0.176;4.39;4.52e+04;23.5;25.9;0.000755;50.6;0;19.9;0;0;0;260;78.4;0.35;0.604;0.58;0.619;237;250;0.0484;0.203;0.0073;0.00767; 50800;6647;27673;4.68;2.61;45;0.00132;0.698;0.00189;0.617;0.106;2.34;0.955;0.0428;0.000865;0.0191; 36640;4;11;4.73;5.13;52;5.34e-05;0.384;0.000139;0.618;0.0145;0.0803;0.82;0.07;0.00292;0.0162; 40160;0;5;10.3;12.2;50;7.14e-05;0.398;0.00018;0.616;0.025;0.107;0.766;0.0812;0.00376;0.0161; 38640;0;2;4.74;5.15;50;3.8e+03;8.91e+03;3.81e+03; 17%; 41%; 17%;787;536;5.77e+03;  3%;  2%; 27%;788;1.29e+04;787;  3%; 60%;  3%;787;538;5.77e+03;  3%;  2%; 27%;93.8;2.66;0.00208;3.59;0;0;0;0;0;0.306;30.3;0;69.4;0;26.5;0;0;0;0.0225;36.9;0;63.1;0;26.4;0;0;0;0.0291;33.6;0.000947;66.4;0;26.5;0;0;0;85.7;55.5;64.3;54.9;16 ;18.5 ;26.7 ;17.1 ;
2017-09-05;03:03:18.586;0.0683;0.444;0.154;0.619;250;264;0.0543;0.199;0.0117;0.0124;24.7;23.5;2.13e+04;4.81e+04;2.1e+03;0.887;22.2;0.137;3.41;4.53e+04;24.9;71.1;0.0078;4.05;0;0;0;0;0;256;71.6;0.268;0.442;0.606;0.619;250;262;0.0465;0.2;0.0118;0.0123; 53680;6531;28196;4.78;2.37;44;0.00117;1.3;0.000896;0.619;0.0892;2.09;0.957;0.0442;0.000985;0.0231; 37040;3;1;4.61;4.49;51;8.09e-05;0.539;0.00015;0.619;0.0187;0.0949;0.802;0.0997;0.00298;0.0151; 40160;0;4;10.6;12.1;49;9.46e-05;0.52;0.000182;0.619;0.0309;0.115;0.73;0.104;0.00421;0.0156; 38640;0;3;4.62;4.51;49;3.37e+03;8.93e+03;3.39e+03; 18%; 50%; 18%;866;589;5.73e+03;  4%;  3%; 32%;867;1.35e+04;866;  4%; 75%;  4%;866;590;5.74e+03;  4%;  3%; 32%;97.8;1.18;0.0308;0.961;0;0;0;0;0;0.145;92;0;7.85;0;0;0;0;0;0.0242;97;0;3.01;0;0;0;0;0;0.0294;95.5;0;4.44;0;0;0;0;0;78.3;56.2;65.6;55.6;14.5 ;16.5 ;25.4 ;15.2 ;
2017-09-05;03:03:19.596;0.0673;0.437;0.154;0.619;276;291;0.0536;0.208;0.0121;0.0127;27.4;27.2;2.28e+04;5.22e+04;2.12e+03;0.875;21.9;0.135;3.36;5.11e+04;24.9;75.1;0.00238;0.0478;0;0;0;0;0;283;79.7;0.268;0.436;0.614;0.619;276;289;0.0454;0.21;0.0121;0.0127; 49200;6930;31508;5.13;2.62;45;0.00128;1.48;0.000866;0.619;0.0679;2.46;0.972;0.0466;0.000623;0.0226; 36800;2;4;5.02;5.16;51;5.97e-05;0.573;0.000104;0.619;0.014;0.0775;0.82;0.128;0.00276;0.0153; 40080;0;2;12.2;14.3;49;7.15e-05;0.614;0.000116;0.619;0.0173;0.0793;0.781;0.15;0.00286;0.0131; 38640;2;3;5.01;5.16;50;3.84e+03;1.04e+04;3.84e+03; 19%; 53%; 19%;936;606;6.27e+03;  4%;  3%; 32%;937;1.55e+04;936;  4%; 80%;  4%;936;607;6.26e+03;  4%;  3%; 32%;99.2;0.607;0.00953;0.191;0;0;0;0;0;0.14;99.9;0;0;0;0;0;0;0;0.0169;100;0;0;0;0;0;0;0;0.0188;100;0;0;0;0;0;0;0;86.3;62.2;72.7;61.3;16 ;18.2 ;28.8 ;16.8 ;
2017-09-05;03:03:20.607;0.0673;0.442;0.152;0.619;267;282;0.053;0.207;0.0117;0.0123;26.7;26.4;2.29e+04;5.17e+04;2.12e+03;0.885;22.1;0.135;3.36;4.97e+04;24.6;73.8;0.004;1.59;0;0;0;0;0;281;78.3;0.268;0.441;0.608;0.619;267;280;0.0457;0.209;0.0117;0.0123; 46160;6715;30135;5.03;2.58;44;0.00108;1.39;0.000777;0.619;0.0773;2.06;0.962;0.0477;0.000846;0.0225; 36560;4;3;4.91;5.01;51;7.38e-05;0.492;0.00015;0.619;0.0182;0.107;0.83;0.118;0.0029;0.0171; 40080;0;3;11.8;13.7;49;8.75e-05;0.566;0.000155;0.619;0.0238;0.122;0.804;0.121;0.0032;0.0164; 38800;1;1;4.93;5.02;49;3.73e+03;1.01e+04;3.74e+03; 19%; 51%; 19%;917;601;6.13e+03;  4%;  3%; 31%;918;1.5e+04;918;  4%; 77%;  4%;918;602;6.15e+03;  4%;  3%; 31%;98.1;1.37;0.016;0.476;0;0;0;0;0;0.125;97;0;2.91;0;0;0;0;0;0.0242;100;0;0;0;0;0;0;0;0.025;97;0;2.96;0;0;0;0;0;85.8;61.9;72.4;61;15.8 ;18 ;28 ;16.6 ;
2017-09-05;03:03:21.619;0.0667;0.434;0.154;0.619;272;287;0.0552;0.213;0.012;0.0127;27.2;26.8;2.27e+04;5.22e+04;2.12e+03;0.869;21.7;0.133;3.33;5.06e+04;24.8;75.1;0.00212;0.0834;0;0;0;0;0;283;79.1;0.265;0.433;0.613;0.619;271;285;0.0465;0.214;0.012;0.0126; 49280;6817;30651;5.1;2.6;44;0.00127;1.49;0.000855;0.619;0.0677;2.47;0.973;0.0461;0.000626;0.0228; 36880;2;1;4.96;5.05;50;7.09e-05;0.654;0.000108;0.619;0.0142;0.119;0.88;0.095;0.00236;0.0197; 40160;1;0;12.1;14.1;48;8.77e-05;0.698;0.000126;0.619;0.0212;0.14;0.848;0.101;0.00285;0.0187; 38800;1;2;4.97;5.06;49;3.76e+03;1.03e+04;3.77e+03; 19%; 53%; 19%;940;608;6.19e+03;  4%;  3%; 31%;940;1.54e+04;940;  4%; 79%;  4%;940;609;6.2e+03;  4%;  3%; 31%;99;0.628;0.00848;0.334;0;0;0;0;0;0.138;99.9;0;0;0;0;0;0;0;0.0175;100;0;0;0;0;0;0;0;0.0203;100;0;0;0;0;0;0;0;86.3;62.3;72.7;61.3;15.9 ;18.1 ;28.4 ;16.8 ;
2017-09-05;03:03:22.629;0.0686;0.443;0.155;0.619;284;300;0.0552;0.202;0.0122;0.0129;29.1;28;2.33e+04;5.25e+04;2.12e+03;0.887;22.2;0.137;3.43;5.35e+04;25;73.8;0.000631;1.26;0;0;0;0;0;284;81.5;0.273;0.442;0.617;0.619;284;298;0.047;0.203;0.0123;0.0129; 51840;7481;32218;5.61;2.83;43;0.00133;1.51;0.000877;0.619;0.0603;2.54;0.976;0.0465;0.000534;0.0225; 36960;3;2;5.48;5.43;50;5.73e-05;0.612;9.37e-05;0.619;0.0122;0.0715;0.83;0.146;0.0025;0.0147; 40000;0;1;12.5;14.3;49;6.99e-05;0.638;0.00011;0.619;0.0159;0.0784;0.797;0.155;0.00268;0.0132; 39040;0;4;5.49;5.46;48;4.08e+03;1.05e+04;4.09e+03; 21%; 53%; 21%;1.01e+03;690;6.82e+03;  5%;  3%; 35%;1.01e+03;1.58e+04;1.01e+03;  5%; 81%;  5%;1.01e+03;691;6.84e+03;  5%;  3%; 35%;99.7;0.241;0.00252;0.0703;0;0;0;0;0;0.142;98.6;0;1.23;0;0;0;0;0;0.0151;100;0;0;0;0;0;0;0;0.0177;96.2;0;3.74;0;0;0;0;0;87.5;62.6;72.8;61.3;16.4 ;18.7 ;29 ;17.3 ;
2017-09-05;03:03:23.639;0.0715;0.463;0.154;0.619;296;312;0.0527;0.195;0.0122;0.0129;29.2;26.9;2.43e+04;5.24e+04;2.12e+03;0.926;23.2;0.143;3.57;5.3e+04;24.9;72.6;0.00176;2.47;0;0;0;0;0;284;80.8;0.284;0.462;0.616;0.619;296;310;0.0449;0.196;0.0123;0.0128; 44880;7524;31980;5.75;2.69;43;0.00132;1.52;0.000867;0.619;0.0533;2.52;0.979;0.0467;0.000477;0.0225; 36640;2;2;5.6;5.27;50;5.76e-05;0.603;9.56e-05;0.619;0.0126;0.0716;0.824;0.149;0.00258;0.0146; 40160;0;2;12.3;13.6;49;7.02e-05;0.637;0.00011;0.619;0.0172;0.0776;0.778;0.158;0.00288;0.013; 39040;1;1;5.62;5.28;49;3.98e+03;1e+04;3.99e+03; 20%; 51%; 20%;1.05e+03;740;6.94e+03;  5%;  3%; 35%;1.05e+03;1.55e+04;1.05e+03;  5%; 79%;  5%;1.05e+03;741;6.96e+03;  5%;  3%; 35%;99.5;0.369;0.00704;0.0898;0;0;0;0;0;0.14;90.1;0;9.79;0;0;0;0;0;0.0154;100;0;0;0;0;0;0;0;0.0178;100;0;0;0;0;0;0;0;87.7;62;72.6;61.8;16.4 ;18.8 ;28.4 ;17.2 ;
2017-09-05;03:03:24.651;0.068;0.442;0.154;0.619;277;293;0.055;0.194;0.012;0.0127;27.9;27.5;2.31e+04;5.23e+04;2.12e+03;0.885;22.1;0.136;3.4;5.17e+04;24.8;72.6;0.00383;2.59;0;0;0;0;0;283;80.2;0.27;0.44;0.614;0.619;277;290;0.046;0.195;0.012;0.0126; 48480;7243;31584;5.29;2.74;43;0.0013;1.47;0.000885;0.619;0.0711;2.5;0.972;0.0469;0.000645;0.0227; 37040;4;1;5.1;5.2;50;8.08e-05;0.609;0.000133;0.619;0.0164;0.132;0.876;0.109;0.00239;0.0192; 40080;0;0;12.4;14.4;48;0.000368;1.35;0.000274;0.619;0.0366;0.241;0.848;0.155;0.00117;0.0077; 40000;1;9;5.11;5.22;49;3.87e+03;1.05e+04;3.88e+03; 19%; 54%; 19%;956;621;6.36e+03;  4%;  3%; 32%;957;1.57e+04;956;  4%; 80%;  4%;955;622;6.37e+03;  4%;  3%; 32%;99.2;0.583;0.0153;0.23;0;0;0;0;0;0.143;89.7;0;10.1;0;0;0;0;0;0.0214;100;0;0;0;0;0;0;0;0.0442;100;0;0;0;0;0;0;0;87.1;61.6;72.8;61.6;16.1 ;18.4 ;28.8 ;16.9 ;
2017-09-05;03:03:25.663;0.0669;0.449;0.149;0.619;265;280;0.0526;0.206;0.0116;0.0123;26.2;25.7;2.28e+04;5.07e+04;2.12e+03;0.897;22.4;0.134;3.35;4.87e+04;24.1;73.4;0.0216;2.43;0;0;0;0;0;280;77.6;0.267;0.448;0.596;0.619;265;278;0.0464;0.206;0.0117;0.0122; 52560;6608;29601;4.96;2.51;43;0.000927;1.37;0.000676;0.619;0.0645;1.76;0.963;0.0483;0.000818;0.0223; 37120;2;3;4.86;4.89;50;5.67e-05;0.506;0.000112;0.619;0.0116;0.0715;0.838;0.143;0.0024;0.0148; 40080;0;2;11.6;13.4;48;6.94e-05;0.514;0.000135;0.619;0.0154;0.0794;0.806;0.152;0.00261;0.0135; 40160;0;2;4.84;4.87;48;3.65e+03;9.86e+03;3.64e+03; 18%; 50%; 18%;905;598;6.06e+03;  4%;  3%; 31%;906;1.47e+04;903;  4%; 75%;  4%;903;599;6.03e+03;  4%;  3%; 31%;96.2;2.42;0.0864;1.24;0;0;0;0;0;0.109;96.4;0;3.52;0;0;0;0;0;0.0181;100;0;0;0;0;0;0;0;0.0218;95;0;4.96;0;0;0;0;0;85.7;61.8;71.7;60.7;15.7 ;17.8 ;27.6 ;16.5 ;
