System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;02:06:53.112;0.063;0.546;0.115;1.23;72.8;91.1;0.2;0.339;0.00329;0.00411;9.16;9.76;2.21e+04;4.06e+04;2.12e+03;1.09;27.3;0.126;3.15;1.49e+04;9.34;10.3;0.214;80.1;0;34.6;0;0;0;258;54.4;0.187;0.59;0.317;1.24;48.2;55.6;0.133;0.309;0.00295;0.0034; 54320;2291;6042;2.65;2.49;45;0.0596;0.451;0.132;1.24;22.6;29.7;0.241;0.384;0.0043;0.00567; 52960;1273;3059;2.43;2.77;47;0.00233;0.348;0.0067;0.968;0.959;2.81;0.659;0.275;0.00467;0.0137; 32640;34;97;2.03;2.28;50;0.00391;0.548;0.00713;1.29;1.12;2.95;0.619;0.43;0.00326;0.00857; 35440;62;72;2.04;2.22;50;2.61e+03;1.3e+03;1.3e+03; 12%;  6%;  6%;690;632;3e+03;  3%;  3%; 14%;804;1.61e+03;280;  4%;  8%;  1%;250;815;1.64e+03;  1%;  4%;  8%;25.6;7.17;0.591;66.6;0;17.4;0;0;0;10.6;14;0.163;75.2;0;16.8;0;0;0;0.692;4.33;0.0775;94.9;0;69.7;0;0;0;0.555;15.7;0.0268;83.8;0;34.3;0;0;0;76.2;67.4;57.2;57.2;14.1 ;14.4 ;13.1 ;12.8 ;
2017-09-05;02:06:54.125;0.142;0.262;0.54;1.24;342;378;0.0945;0.24;0.00708;0.00782;39.1;38;4.83e+04;1.84e+05;2.2e+03;0.525;13.1;0.283;7.09;6.18e+04;43.7;24.9;0.00215;31.4;0;9.65;0;0;0;371;94.4;0.285;0.274;1.04;1.24;173;191;0.0949;0.23;0.00709;0.00783; 59760;9876;18196;13.7;12.4;43;0.28;0.251;1.12;1.24;169;186;0.0906;0.25;0.00709;0.0078; 51200;7868;18805;11.4;11.2;44;0.000542;0.361;0.0015;1.27;0.0828;0.617;0.866;0.0424;0.00179;0.0134; 33440;1;6;7;7.22;48;0.000369;0.783;0.000471;1.16;0.0635;0.257;0.753;0.129;0.00202;0.00819; 35680;1;8;7.01;7.22;50;1.44e+04;3.03e+03;3.58e+03; 73%; 15%; 18%;3.46e+03;2.92e+03;1.35e+04; 17%; 14%; 69%;4.92e+03;4.7e+03;844; 25%; 24%;  4%;845;4.41e+03;5.24e+03;  4%; 22%; 26%;84.1;6.06;0.00791;9.83;0;2.41;0;0;0;90.2;5.69;0.00068;4.13;0;0.128;0;0;0;0.118;54.9;0;45;0;0.25;0;0;0;0.0405;33.2;0;66.8;0;35.9;0;0;0;117;119;73.5;61.8;27.2 ;25.7 ;21.8 ;19.6 ;
2017-09-05;02:06:55.124;0.126;0.234;0.537;1.24;346;381;0.092;0.244;0.00818;0.00901;39.6;38.5;4.22e+04;1.8e+05;2.1e+03;0.468;11.7;0.252;6.29;6.28e+04;43.4;48.5;0.0438;8.02;0;0.771;0;0;0;387;94.8;0.253;0.248;1.02;1.24;172;189;0.0935;0.24;0.00809;0.00892; 42400;9614;18182;13.9;12.7;42;0.25;0.222;1.13;1.24;174;191;0.0885;0.249;0.00829;0.00909; 50000;8163;19455;11.6;11.3;43;0.000478;0.371;0.00129;1.24;0.0625;0.438;0.857;0.0584;0.00156;0.0109; 33920;0;9;7.09;7.22;48;8.26e-05;0.472;0.000175;1.24;0.0297;0.106;0.72;0.113;0.00428;0.0153; 35840;2;3;7.07;7.2;49;1.48e+04;3.16e+03;3.63e+03; 76%; 16%; 18%;3.34e+03;2.86e+03;1.39e+04; 17%; 14%; 72%;4.84e+03;4.91e+03;861; 25%; 25%;  4%;861;4.48e+03;5.23e+03;  4%; 23%; 27%;82.5;6.32;0.0837;11;0;2.89;0;0;0;91;5.43;0.0914;3.45;0;0.191;0;0;0;0.104;87.2;0;12.7;0;0;0;0;0;0.0142;95.1;0;4.86;0;0;0;0;0;114;118;79.6;75.3;27.4 ;25.9 ;21.8 ;19.7 ;
2017-09-05;02:06:56.132;0.132;0.242;0.546;1.24;353;391;0.0962;0.223;0.00787;0.0087;41.7;39;4.49e+04;1.85e+05;2.13e+03;0.485;12.1;0.265;6.61;6.61e+04;44.1;48.3;0.0339;7.6;0;0.841;0;0;0;394;96.2;0.265;0.255;1.04;1.24;175;194;0.0995;0.227;0.00777;0.00863; 54240;9918;18586;14.1;12.4;42;0.263;0.23;1.14;1.24;178;196;0.0901;0.22;0.00797;0.00876; 53040;8138;20735;12;11.4;42;0.000309;0.482;0.000642;1.24;0.0742;0.593;0.875;0.058;0.00283;0.0226; 33120;2;7;7.78;7.61;46;0.000105;0.381;0.000276;1.24;0.0291;0.145;0.799;0.11;0.00327;0.0162; 35840;0;4;7.77;7.6;48;1.49e+04;3.39e+03;3.37e+03; 76%; 17%; 17%;3.56e+03;3.58e+03;1.4e+04; 18%; 18%; 72%;5.48e+03;5.2e+03;989; 28%; 26%;  5%;991;5.39e+03;5.29e+03;  5%; 27%; 27%;83.9;6.31;0.0266;9.79;0;2.96;0;0;0;92.4;4.38;0.109;3.11;0;0.398;0;0;0;0.0518;86;0;14;0;0;0;0;0;0.0223;96.4;0;3.54;0;0;0;0;0;117;120;80.3;76.7;27.3 ;26 ;22.4 ;20.5 ;
2017-09-05;02:06:57.150;0.129;0.236;0.545;1.24;348;387;0.101;0.222;0.00792;0.00881;40.4;38.6;4.39e+04;1.86e+05;2.12e+03;0.473;11.8;0.258;6.45;6.38e+04;44.1;49;0.0364;6.87;0;0.601;0;0;0;398;96.2;0.261;0.247;1.05;1.24;174;194;0.1;0.214;0.00785;0.00873; 49920;10131;18336;14.1;12.5;41;0.255;0.226;1.13;1.24;174;193;0.0994;0.229;0.008;0.00888; 51600;7954;19787;11.7;11.5;43;0.000221;0.574;0.000385;1.24;0.0644;0.415;0.845;0.06;0.00342;0.022; 33280;1;4;7.24;7.28;47;7.51e-05;0.53;0.000142;1.24;0.02;0.0853;0.765;0.15;0.00313;0.0133; 36000;0;5;7.34;7.33;49;1.47e+04;3.26e+03;3.22e+03; 75%; 16%; 16%;3.32e+03;3.41e+03;1.41e+04; 17%; 17%; 72%;5.01e+03;4.93e+03;900; 25%; 25%;  4%;901;5.08e+03;4.94e+03;  4%; 26%; 25%;85.3;6.07;0.0836;8.59;0;2.15;0;0;0;91.2;5.03;0.0621;3.76;0;0.256;0;0;0;0.0311;86.6;0;13.4;0;0;0;0;0;0.0114;98.2;0;1.76;0;0;0;0;0;118;121;81;77.7;27.7 ;26.3 ;22 ;20.1 ;
2017-09-05;02:06:58.160;0.127;0.236;0.537;1.24;351;387;0.0935;0.235;0.00813;0.00897;40.2;39.1;4.31e+04;1.83e+05;2.14e+03;0.472;11.8;0.253;6.34;6.3e+04;43.4;48.6;0.00849;7.97;0;1.23;0;0;0;393;95.7;0.253;0.252;1;1.24;174;193;0.0991;0.241;0.00806;0.00894; 54400;10047;18387;14.2;12.9;41;0.253;0.221;1.14;1.24;177;194;0.0854;0.23;0.00821;0.00898; 49760;8453;19993;11.8;11.5;42;0.000297;0.655;0.000454;1.24;0.0741;0.553;0.866;0.0592;0.00293;0.0218; 33600;1;6;7.06;7.36;47;7.31e-05;0.492;0.000149;1.24;0.0188;0.0843;0.777;0.148;0.00303;0.0136; 36000;0;1;7.11;7.4;48;1.47e+04;3.28e+03;3.35e+03; 75%; 16%; 17%;3.3e+03;3.26e+03;1.38e+04; 16%; 16%; 71%;4.87e+03;4.87e+03;844; 25%; 25%;  4%;846;4.82e+03;4.97e+03;  4%; 24%; 25%;81;6.11;0.0333;12.8;0;4.41;0;0;0;92.5;4.16;0.00054;3.32;0;0.517;0;0;0;0.0367;90.9;0;9.06;0;0;0;0;0;0.012;93.3;0;6.64;0;0;0;0;0;116;120;81.4;76;27.9 ;26 ;22 ;19.8 ;
2017-09-05;02:06:59.174;0.129;0.236;0.544;1.24;351;390;0.0984;0.236;0.00803;0.00891;41.6;39.7;4.38e+04;1.85e+05;2.12e+03;0.473;11.8;0.257;6.43;6.55e+04;43.9;49.3;0.00909;6.74;0;0.742;0;0;0;398;96.9;0.259;0.25;1.04;1.24;174;194;0.102;0.241;0.00793;0.00883; 50560;10027;18651;14.3;12.7;41;0.256;0.224;1.14;1.24;177;195;0.0924;0.232;0.00815;0.00898; 50640;8280;20696;12.1;11.7;42;0.000299;0.848;0.000352;1.24;0.0467;0.545;0.914;0.0596;0.00184;0.0214; 33440;1;0;7.52;7.64;46;7.41e-05;0.499;0.000148;1.24;0.0194;0.0894;0.783;0.136;0.00308;0.0142; 36080;1;0;7.57;7.66;48;1.48e+04;3.45e+03;3.34e+03; 76%; 17%; 17%;3.43e+03;3.56e+03;1.42e+04; 17%; 18%; 72%;5.28e+03;5.11e+03;922; 27%; 26%;  4%;923;5.34e+03;5.12e+03;  4%; 27%; 26%;83.7;6.23;0.0297;10.1;0;2.68;0;0;0;92.1;4.72;0.00671;3.17;0;0.286;0;0;0;0.0284;96;0;3.95;0;0;0;0;0;0.012;90.2;0;9.79;0;0;0;0;0;118;121;83;75.8;27.6 ;26.4 ;22.5 ;20.5 ;
2017-09-05;02:07:00.191;0.131;0.239;0.546;1.24;357;396;0.0987;0.214;0.008;0.00888;41.4;38.7;4.46e+04;1.86e+05;2.13e+03;0.479;12;0.262;6.54;6.49e+04;44.2;43.5;0.0591;12.3;0;0.936;0;0;0;393;96.4;0.266;0.255;1.04;1.24;179;199;0.0991;0.215;0.0079;0.00877; 52080;10331;18668;14.2;12.2;41;0.257;0.225;1.14;1.24;178;197;0.0964;0.214;0.00811;0.00898; 50400;7918;20519;12.1;11.6;41;0.000185;0.645;0.000287;1.24;0.0327;0.331;0.901;0.0699;0.00207;0.021; 33440;0;3;7.61;7.5;46;0.000103;0.422;0.000244;1.24;0.0309;0.165;0.813;0.0904;0.00351;0.0187; 35920;0;1;7.59;7.51;48;1.45e+04;3.25e+03;3.11e+03; 74%; 16%; 15%;3.56e+03;3.7e+03;1.41e+04; 18%; 18%; 72%;5.59e+03;4.82e+03;952; 28%; 24%;  4%;953;5.43e+03;4.96e+03;  4%; 27%; 25%;84.4;5.29;0.0365;10.2;0;3.07;0;0;0;92.2;4.15;0.2;3.42;0;0.674;0;0;0;0.0232;94.9;0;5.05;0;0;0;0;0;0.0197;69.4;0;30.6;0;0;0;0;0;118;121;83.2;71.4;27.4 ;26.2 ;22.4 ;20.4 ;
2017-09-05;02:07:01.206;0.128;0.231;0.551;1.24;362;398;0.0908;0.233;0.0083;0.00913;41.6;40.5;4.35e+04;1.88e+05;2.13e+03;0.463;11.6;0.255;6.38;6.47e+04;44.5;46.4;0.00781;9.05;0;1.04;0;0;0;397;98.1;0.257;0.248;1.04;1.24;181;199;0.0916;0.237;0.00824;0.00907; 50640;10997;18335;14.8;13.1;40;0.253;0.217;1.17;1.24;181;198;0.0875;0.229;0.00838;0.00918; 51360;8533;20758;12.3;12.1;41;0.0003;0.79;0.00038;1.24;0.0519;0.552;0.906;0.0599;0.00203;0.0215; 33360;1;1;7.24;7.67;46;7.42e-05;0.454;0.000163;1.24;0.0204;0.0931;0.781;0.119;0.00323;0.0147; 36000;2;0;7.27;7.68;48;1.5e+04;3.33e+03;3.06e+03; 77%; 17%; 15%;3.45e+03;3.74e+03;1.44e+04; 17%; 19%; 73%;5.23e+03;4.76e+03;848; 26%; 24%;  4%;849;5.29e+03;4.73e+03;  4%; 27%; 24%;83.7;5.82;0.0312;10.4;0;4.03;0;0;0;94.4;3.47;0;2.13;0;0.145;0;0;0;0.0307;96.1;0;3.92;0;0;0;0;0;0.0132;80.3;0;19.7;0;0;0;0;0;118;122;83.2;73.6;28.6 ;26.9 ;22.4 ;20.2 ;
2017-09-05;02:07:02.217;0.133;0.245;0.544;1.24;350;388;0.0989;0.235;0.00772;0.00857;41.2;39;4.53e+04;1.85e+05;2.13e+03;0.489;12.2;0.266;6.66;6.55e+04;44;47.6;0.0403;8.39;0;0.602;0;0;0;396;96.6;0.268;0.259;1.04;1.24;174;194;0.103;0.239;0.00761;0.00849; 48800;9523;18950;14;12.5;40;0.264;0.231;1.14;1.24;176;194;0.0924;0.232;0.00784;0.00864; 52960;8422;20249;12;11.3;41;0.000224;0.691;0.000324;1.24;0.0492;0.41;0.88;0.0622;0.00258;0.0215; 33280;0;4;7.58;7.6;45;7.36e-05;0.463;0.000159;1.24;0.0201;0.0888;0.774;0.124;0.00321;0.0142; 35840;0;0;7.63;7.59;48;1.47e+04;3.63e+03;3.48e+03; 75%; 18%; 17%;3.27e+03;3.42e+03;1.4e+04; 16%; 17%; 71%;5.08e+03;5.42e+03;946; 26%; 27%;  4%;947;5.23e+03;5.3e+03;  4%; 26%; 27%;83.7;6.71;0.151;9.39;0;2.29;0;0;0;92;4.92;0.0101;3.04;0;0.121;0;0;0;0.0262;97.5;0;2.43;0;0;0;0;0;0.0128;81.3;0;18.7;0;0;0;0;0;118;121;83.3;73.7;27.6 ;26.1 ;22.4 ;20.4 ;
