System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;06:13:01.567;0.0666;0.479;0.139;0.998;1.98;6.68;0.703;0.268;8.63e-05;0.000291;0.464;0.588;2.3e+04;4.8e+04;2.12e+03;0.957;23.9;0.133;3.33;646;13.9;31.7;0.024;54.4;0;23.6;0;0;0;264;36.1;0.154;0.478;0.323;0.999;0.959;3.45;0.722;0.265;7.23e-05;0.00026; 50000;167;287;0.121;0.186;45;0.111;0.479;0.231;0.999;0.481;1.52;0.683;0.222;5.04e-05;0.000159; 48000;64;98;0.163;0.205;45;0.000859;0.437;0.00197;0.808;0.282;1;0.719;0.31;0.0038;0.0135; 34160;5;17;0.0996;0.1;51;0.000708;0.526;0.00134;1;0.26;0.717;0.637;0.312;0.00426;0.0117; 24720;13;8;0.0798;0.0963;49;156;69.1;68.8;  0%;  0%;  0%;45;34.7;108;  0%;  0%;  0%;25.1;38;24.9;  0%;  0%;  0%;17.8;19.5;38.8;  0%;  0%;  0%;32.3;49.3;0.0245;18.4;0;5.43;0;0;0;23.1;46.3;0.0603;30.5;0;11.2;0;0;0;0.243;13.9;0.00424;85.8;0;77.7;0;0;0;0.134;17.2;0.00698;82.6;0;0;0;0;0;79.5;73.3;56.6;54.8;9.99 ;9.72 ;6.99 ;9.35 ;
2017-09-05;06:13:02.739;0.106;0.606;0.174;1;61.4;67.9;0.0955;0.135;0.0015;0.00166;11;8.01;4.09e+04;6.76e+04;2.16e+03;1.21;30.3;0.211;5.28;1.68e+04;17.4;41;0.0208;41.5;0;4.56;0;0;0;339;56.8;0.253;0.556;0.454;1;21;24.1;0.129;0.185;0.000885;0.00102; 46800;836;2630;2.82;1.81;43;0.177;0.69;0.257;1;40.3;42.8;0.0584;0.105;0.00234;0.00249; 47360;1210;4233;2.47;1.54;44;0.000291;0.861;0.000338;1;0.0524;0.706;0.926;0.0398;0.00183;0.0247; 34880;0;3;2.87;2.4;48;0.000114;0.608;0.000188;0.982;0.0245;0.238;0.897;0.0616;0.00218;0.0211; 24400;1;0;2.85;2.26;48;2.42e+03;1.14e+03;1.22e+03; 10%;  5%;  5%;1.18e+03;990;2.42e+03;  5%;  4%; 10%;1.82e+03;1.48e+03;425;  8%;  6%;  1%;426;1.48e+03;1.82e+03;  1%;  6%;  8%;45.4;54.3;0.0763;0.168;0;0;0;0;0;25.7;34.2;0.00821;40;0;0;0;0;0;0.0338;43.2;0;56.8;0;0;0;0;0;0.0191;32.8;0.00101;67.2;0;18;0;0;0;106;89.7;75.9;67;14.5 ;14.1 ;15.1 ;13.1 ;
2017-09-05;06:13:03.649;0.311;1.19;0.261;1;410;478;0.14;0.27;0.00425;0.00494;34.9;18.6;9.66e+04;8.1e+04;2.09e+03;2.38;59.6;0.621;15.5;5.28e+04;26.1;68.8;0.0239;5.09;0;0;0;0;0;326;74.5;0.612;1.2;0.512;1;215;253;0.148;0.289;0.0044;0.00516; 53920;6675;16121;9.23;4.28;43;0.606;1.22;0.498;1;195;222;0.123;0.249;0.00413;0.00471; 50720;4910;15419;8.16;3.6;43;0.00135;1.13;0.0012;1;0.122;2.36;0.948;0.0451;0.00119;0.0228; 34560;1;11;8.73;5.4;48;0.0042;0.269;0.0156;1;0.0249;0.103;0.757;0.0974;7.73e-05;0.000319; 24240;0;1;8.78;5.31;48;7.25e+03;2.83e+03;3.19e+03; 40%; 15%; 17%;3.16e+03;2.75e+03;7.11e+03; 17%; 15%; 40%;6.51e+03;5.2e+03;1.51e+03; 36%; 29%;  8%;1.52e+03;5.31e+03;6.46e+03;  8%; 29%; 36%;51.2;47.1;0.0792;1.64;0;0;0;0;0;49.8;48.9;0.0141;1.29;0;0;0;0;0;0.12;96.6;0;3.28;0;0;0;0;0;1.56;84.1;0;14.4;0;0;0;0;0;95.5;95.5;70.9;64.5;18.5 ;17.6 ;20.2 ;18.2 ;
2017-09-05;06:13:04.657;0.299;1.2;0.249;1;439;479;0.0851;0.171;0.00431;0.00471;41.3;22.3;1.02e+05;8.46e+04;2.27e+03;2.41;60.1;0.598;15;6.23e+04;24.9;74.8;0;0.314;0;0;0;0;0;368;85.4;0.601;1.2;0.499;1;222;245;0.0928;0.195;0.0043;0.00473; 52080;7135;16989;11;5.12;42;0.588;1.2;0.49;1;216;232;0.0667;0.144;0.00434;0.00465; 50880;5625;17341;9.72;4.37;42;0.00137;1.18;0.00116;1;0.144;2.63;0.945;0.0466;0.00124;0.0226; 35120;0;12;10.3;6.43;47;0.00036;1.23;0.000294;1;0.036;0.19;0.81;0.17;0.00118;0.00623; 24640;4;12;10.4;6.33;48;8.55e+03;3.28e+03;3.77e+03; 43%; 16%; 19%;3.8e+03;3.29e+03;8.46e+03; 19%; 16%; 43%;7.77e+03;5.99e+03;1.77e+03; 39%; 30%;  9%;1.78e+03;6.32e+03;7.55e+03;  9%; 32%; 38%;49.9;49.3;0;0.801;0;0;0;0;0;49;50.6;0;0.447;0;0;0;0;0;0.116;99.9;0;0;0;0;0;0;0;0.0294;100;0;0;0;0;0;0;0;107;107;79.6;73.9;21.1 ;20.5 ;23 ;20.9 ;
2017-09-05;06:13:05.666;0.297;1.21;0.245;1;424;472;0.103;0.207;0.00421;0.0047;40.1;21.7;1.01e+05;8.3e+04;2.12e+03;2.42;60.6;0.593;14.8;6.06e+04;24.5;74.2;0.000437;1.3;0;0;0;0;0;367;84;0.593;1.21;0.491;1;213;242;0.119;0.243;0.00424;0.00481; 51440;6605;16042;10.6;4.98;41;0.593;1.22;0.487;1;210;228;0.0772;0.167;0.00419;0.00454; 54960;5486;17167;9.42;4.25;41;0.00134;1.22;0.00109;1;0.129;2.56;0.95;0.047;0.00114;0.0226; 35280;1;4;9.98;6.27;47;8.22e-05;0.622;0.000132;1;0.0184;0.0845;0.782;0.146;0.00264;0.0121; 24880;1;2;10.1;6.18;48;8.32e+03;3.19e+03;3.66e+03; 42%; 16%; 18%;3.7e+03;3.21e+03;8.21e+03; 19%; 16%; 42%;7.55e+03;5.82e+03;1.72e+03; 39%; 30%;  8%;1.72e+03;6.15e+03;7.34e+03;  8%; 31%; 37%;49.1;49.7;0.00175;1.18;0;0;0;0;0;48.7;50.6;0;0.652;0;0;0;0;0;0.109;99.9;0;0.0352;0;0;0;0;0;0.0132;96.7;0;3.32;0;0;0;0;0;107;107;79.6;73.3;20.8 ;20.1 ;22.5 ;20.6 ;
2017-09-05;06:13:06.674;0.294;1.19;0.246;1;435;481;0.0956;0.188;0.00436;0.00483;41.1;22.2;9.96e+04;8.35e+04;2.12e+03;2.38;59.6;0.588;14.7;6.24e+04;24.6;73.1;7.39e-05;2.24;0;0;0;0;0;367;85;0.585;1.19;0.491;1;219;246;0.11;0.223;0.00441;0.00496; 51520;6590;16733;10.8;5.07;41;0.589;1.19;0.493;1;216;232;0.0702;0.149;0.00433;0.00465; 50480;5600;17666;9.67;4.34;41;0.0014;1.25;0.00112;1;0.122;2.68;0.955;0.047;0.00103;0.0226; 35280;0;5;10.3;6.42;47;7.09e-05;0.572;0.000124;1;0.015;0.0803;0.814;0.152;0.00249;0.0134; 24720;0;1;10.3;6.33;47;8.65e+03;3.34e+03;3.79e+03; 44%; 17%; 19%;3.73e+03;3.25e+03;8.42e+03; 19%; 16%; 43%;7.62e+03;6.16e+03;1.77e+03; 39%; 31%;  9%;1.77e+03;6.24e+03;7.61e+03;  9%; 32%; 39%;49.1;49.9;0.000296;0.993;0;0;0;0;0;49.3;50.4;0;0.325;0;0;0;0;0;0.112;99.9;0;0;0;0;0;0;0;0.0124;92.3;0;7.65;0;0;0;0;0;107;108;79.7;72.6;21 ;20.4 ;22.8 ;20.8 ;
2017-09-05;06:13:07.683;0.295;1.21;0.245;1;420;472;0.111;0.222;0.0042;0.00472;39.5;21.4;1e+05;8.3e+04;2.12e+03;2.41;60.3;0.591;14.8;6.03e+04;24.5;74.3;0.0131;1.2;0;0;0;0;0;367;83.4;0.589;1.21;0.489;1;211;244;0.133;0.266;0.00424;0.00488; 55120;6192;16067;10.3;4.87;41;0.59;1.2;0.49;1;208;226;0.0774;0.17;0.00416;0.00451; 50560;5332;16904;9.34;4.18;41;0.00136;1.24;0.0011;1;0.122;2.6;0.953;0.0472;0.00106;0.0225; 35280;1;4;9.91;6.2;47;7.49e-05;0.56;0.000134;1;0.0164;0.081;0.798;0.153;0.00258;0.0128; 24640;0;1;9.97;6.13;47;8.4e+03;3.27e+03;3.7e+03; 43%; 16%; 19%;3.58e+03;3.12e+03;8.12e+03; 18%; 16%; 41%;7.29e+03;6.03e+03;1.71e+03; 37%; 31%;  8%;1.71e+03;5.98e+03;7.4e+03;  8%; 30%; 38%;48.9;49.7;0.0506;1.42;0;0;0;0;0;49;50.1;0.0019;0.854;0;0;0;0;0;0.11;99.9;0;0;0;0;0;0;0;0.0134;97.5;0;2.51;0;0;0;0;0;107;107;79.6;73.5;20.4 ;20 ;22.5 ;20.4 ;
2017-09-05;06:13:08.691;0.295;1.2;0.246;1;429;481;0.107;0.21;0.0043;0.00481;40.2;21.8;9.99e+04;8.35e+04;2.12e+03;2.39;59.8;0.59;14.7;6.14e+04;24.6;74.6;0.00027;0.744;0;0;0;0;0;368;84.5;0.587;1.19;0.493;1;216;246;0.122;0.246;0.00434;0.00494; 50720;6272;16795;10.4;4.97;41;0.591;1.2;0.492;1;213;232;0.0804;0.17;0.00427;0.00464; 51600;5467;17378;9.5;4.23;41;0.0014;1.25;0.00112;1;0.121;2.67;0.955;0.0464;0.00102;0.0226; 35280;0;2;10.1;6.32;47;6.92e-05;0.595;0.000116;1;0.0147;0.0765;0.808;0.152;0.00251;0.0131; 24720;0;0;10.2;6.26;47;8.54e+03;3.34e+03;3.8e+03; 44%; 17%; 19%;3.62e+03;3.14e+03;8.23e+03; 18%; 16%; 42%;7.35e+03;6.23e+03;1.74e+03; 37%; 32%;  8%;1.74e+03;6.08e+03;7.58e+03;  8%; 31%; 39%;49.3;49.6;0.00108;1.12;0;0;0;0;0;49.2;50.2;0;0.587;0;0;0;0;0;0.112;99.9;0;0;0;0;0;0;0;0.0116;98.7;0;1.27;0;0;0;0;0;107;107;79.6;73.8;20.8 ;20.4 ;22.7 ;20.6 ;
2017-09-05;06:13:09.699;0.296;1.21;0.245;1;426;474;0.102;0.207;0.00425;0.00473;40.4;21.8;1e+05;8.3e+04;2.12e+03;2.41;60.3;0.591;14.8;6.16e+04;24.5;75;0;0.461;0;0;0;0;0;368;84.1;0.589;1.2;0.49;1;214;241;0.113;0.237;0.00429;0.00484; 50960;6270;16712;10.5;5.01;41;0.592;1.21;0.49;1;212;230;0.0799;0.174;0.00422;0.00459; 49440;5383;17099;9.51;4.26;41;0.00134;1.26;0.00106;1;0.118;2.56;0.954;0.0466;0.00104;0.0226; 35280;1;3;10.1;6.31;46;6.82e-05;0.615;0.000111;1;0.0144;0.075;0.809;0.16;0.00248;0.013; 24720;1;1;10.2;6.26;47;8.55e+03;3.33e+03;3.81e+03; 44%; 17%; 19%;3.64e+03;3.17e+03;8.29e+03; 18%; 16%; 42%;7.39e+03;6.19e+03;1.75e+03; 38%; 31%;  9%;1.75e+03;6.11e+03;7.59e+03;  9%; 31%; 39%;49;49.8;0;1.24;0;0;0;0;0;49;50.4;0;0.605;0;0;0;0;0;0.106;99.9;0;0;0;0;0;0;0;0.0111;100;0;0;0;0;0;0;0;107;107;79.7;74;20.7 ;20.2 ;22.5 ;20.7 ;
2017-09-05;06:13:10.707;0.294;1.2;0.245;1;422;483;0.127;0.248;0.00423;0.00485;39.3;21.3;9.97e+04;8.29e+04;2.12e+03;2.4;60.1;0.588;14.7;5.94e+04;24.5;75;0;0.502;0;0;0;0;0;367;83.1;0.586;1.2;0.488;1;215;255;0.158;0.304;0.00432;0.00514; 52240;6629;16017;10.4;4.9;41;0.589;1.2;0.49;1;207;226;0.0815;0.174;0.00415;0.00452; 51040;5479;16744;9.23;4.16;40;0.00134;1.26;0.00107;1;0.118;2.56;0.954;0.0469;0.00104;0.0226; 34720;0;3;9.78;6.16;47;6.99e-05;0.597;0.000117;1;0.0157;0.0779;0.798;0.16;0.00265;0.0132; 24800;0;2;9.88;6.08;47;8.17e+03;3.14e+03;3.6e+03; 42%; 16%; 18%;3.61e+03;3.14e+03;8.03e+03; 18%; 16%; 41%;7.39e+03;5.73e+03;1.69e+03; 38%; 29%;  8%;1.69e+03;6.01e+03;7.22e+03;  8%; 31%; 37%;48.8;49.4;0;1.73;0;0;0;0;0;49;50.8;0;0.272;0;0;0;0;0;0.107;99.9;0;0;0;0;0;0;0;0.0117;100;0;0;0;0;0;0;0;107;107;79.5;73.9;20.6 ;20 ;22 ;20.5 ;
