System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;06:01:04.422;0.101;0.475;0.213;1.24;3.8;14.2;0.733;0.218;0.000108;0.000404;0.711;0.855;3.52e+04;7.4e+04;2.11e+03;0.951;23.8;0.202;5.06;1.08e+03;17.2;32.2;0.123;50.5;0;11.5;0;0;0;301;38.7;0.0191;0.483;0.0396;1.22;0.707;3.34;0.788;0.203;0.000429;0.00202; 44960;29;43;0.226;0.323;48;0.185;0.475;0.388;1.24;1.18;4.74;0.752;0.161;7.36e-05;0.000297; 52080;151;218;0.236;0.269;48;0.199;0.473;0.421;1.24;1.44;4.74;0.697;0.189;8.27e-05;0.000273; 51440;103;419;0.134;0.157;49;0.00207;0.649;0.0032;1.36;0.482;1.4;0.656;0.439;0.00265;0.00772; 27680;25;18;0.114;0.106;49;79.5;69.6;32.4;  0%;  0%;  0%;144;51.4;156;  0%;  0%;  0%;190;162;75.5;  0%;  0%;  0%;38.8;42.5;40.4;  0%;  0%;  0%;3.24;29.3;0.22;67.2;0;23.8;0;0;0;31.4;38.9;0.195;29.5;0;11.8;0;0;0;34.1;42.1;0.0684;23.8;0;10.5;0;0;0;0.234;18.5;0.0105;81.3;0;0;0;0;0;62.8;87.9;95;55.3;9.98 ;10.6 ;10.4 ;7.71 ;
2017-09-05;06:01:05.470;0.137;0.477;0.287;1.24;4.87;11.3;0.568;0.14;0.000101;0.000233;1.12;1.63;4.83e+04;1.01e+05;2.19e+03;0.954;23.9;0.274;6.85;1.78e+03;23.2;46;0.267;30.5;0;8.53;0;0;0;339;41.1;0.205;0.479;0.427;1.24;1.29;4.27;0.697;0.134;7.2e-05;0.000238;  9840;110;277;0.276;0.407;47;0.133;0.474;0.281;1.24;2.49;4.19;0.406;0.13;0.000212;0.000357; 49600;158;655;0.182;0.258;47;0.21;0.477;0.44;1.24;1.05;2.55;0.587;0.176;5.66e-05;0.000137;  7040;113;241;0.295;0.462;48;0.000119;0.498;0.000238;1.18;0.0308;0.265;0.883;0.0417;0.00295;0.0253; 26240;0;3;0.364;0.507;48;184;137;157;  0%;  0%;  0%;245;190;217;  1%;  0%;  1%;183;143;110;  0%;  0%;  0%;49.1;99.4;64.3;  0%;  0%;  0%;34.5;52.1;0.0703;13.3;0;0;0;0;0;22.7;47.1;0.0141;30.2;0;0;0;0;0;35.6;60;0.978;3.42;0;0;0;0;0;0.0202;24.9;0;75.1;0;34.2;0;0;0;94.6;83.9;102;58.6;10.7 ;10.8 ;10.8 ;8.85 ;
2017-09-05;06:01:06.542;0.274;0.736;0.372;1.24;224;255;0.121;0.213;0.00228;0.0026;22.5;14.2;9.83e+04;1.33e+05;2.1e+03;1.47;36.8;0.547;13.7;3.57e+04;30;67.1;0.442;2.4;0;0;0;0;0;426;68.2;0.35;0.726;0.482;1.24;69.4;81.3;0.147;0.26;0.00224;0.00262; 49360;1988;5643;5.83;3.49;44;0.39;0.735;0.531;1.24;80.2;89.5;0.104;0.192;0.00227;0.00253; 55040;2392;6202;5.29;2.97;45;0.347;0.777;0.447;1.24;74.7;83;0.1;0.186;0.00239;0.00266; 53280;1688;6481;5.64;3.73;46;0.00789;0.28;0.0281;1.24;0.0765;1.4;0.945;0.0317;0.000108;0.00197; 22400;0;5;5.75;3.97;47;3.63e+03;4.16e+03;1.65e+03; 17%; 20%;  8%;3.22e+03;1.49e+03;3.72e+03; 15%;  7%; 18%;3.61e+03;4.14e+03;2.04e+03; 17%; 20%;  9%;3.27e+03;2.35e+03;2.41e+03; 15%; 11%; 11%;38.9;53.9;0.819;6.35;0;0;0;0;0;42.9;54.7;0.952;1.44;0;0;0;0;0;36.1;63.5;0;0.396;0;0;0;0;0;2.27;96.3;0;1.47;0;0;0;0;0;113;115;117;81.6;17 ;17 ;17.7 ;16.6 ;
2017-09-05;06:01:07.549;0.47;1.01;0.465;1.24;552;635;0.131;0.276;0.00343;0.00395;47.9;27.2;1.61e+05;1.59e+05;2.35e+03;2.02;50.5;0.941;23.5;7.59e+04;37.6;61.7;0.0203;0.66;0;0;0;0;0;458;92;0.64;1.01;0.635;1.24;194;226;0.143;0.302;0.00345;0.00403; 51120;4877;14497;12.6;6.9;42;0.624;1.03;0.608;1.24;182;211;0.14;0.294;0.00342;0.00398; 51600;5169;12714;11.3;5.59;43;0.61;0.997;0.612;1.24;176;196;0.0982;0.224;0.00341;0.00379; 51520;3661;14284;12;7.17;45;0.00109;0.934;0.00116;1.24;0.163;2.04;0.92;0.0493;0.00177;0.0222; 23040;2;3;12;7.52;47;7.45e+03;9.17e+03;3.33e+03; 38%; 46%; 17%;6.7e+03;2.81e+03;7.72e+03; 34%; 14%; 39%;7.63e+03;9e+03;4.29e+03; 39%; 46%; 21%;7.46e+03;4.95e+03;5.37e+03; 38%; 25%; 27%;51.3;47.8;0.018;0.899;0;0;0;0;0;49.1;49.7;0;1.23;0;0;0;0;0;49.4;50;0.0636;0.497;0;0;0;0;0;0.0939;99.9;0;0;0;0;0;0;0;124;123;131;79.4;23.2 ;22.4 ;24.3 ;22.1 ;
2017-09-05;06:01:08.559;0.455;0.997;0.457;1.24;536;611;0.124;0.265;0.00347;0.00396;48.3;27.6;1.54e+05;1.55e+05;2.12e+03;1.99;49.8;0.911;22.8;7.66e+04;36.9;62.6;0;0.545;0;0;0;0;0;459;90.9;0.606;0.994;0.61;1.24;182;218;0.166;0.337;0.00354;0.00424; 51440;4409;13398;12.7;6.99;43;0.613;1.01;0.605;1.24;178;200;0.11;0.242;0.00343;0.00385; 51120;5255;12282;11.4;5.69;43;0.601;0.984;0.611;1.24;176;191;0.0817;0.191;0.00344;0.00375; 52000;3721;14754;12;7.26;44;0.00112;1.01;0.0011;1.24;0.149;2.09;0.929;0.0501;0.00158;0.0221; 23360;1;3;12.1;7.62;47;7.52e+03;9.24e+03;3.36e+03; 38%; 47%; 17%;6.82e+03;2.88e+03;7.79e+03; 35%; 14%; 40%;7.75e+03;9.04e+03;4.34e+03; 39%; 46%; 22%;7.51e+03;5.01e+03;5.39e+03; 38%; 25%; 27%;49.3;49.5;0;1.22;0;0;0;0;0;48.9;50.4;0;0.674;0;0;0;0;0;49.4;50.3;0;0.283;0;0;0;0;0;0.089;99.9;0;0;0;0;0;0;0;124;124;132;79.7;23.1 ;22 ;23.9 ;22 ;
2017-09-05;06:01:09.568;0.463;1.01;0.458;1.24;531;606;0.124;0.261;0.00338;0.00386;47.5;27;1.57e+05;1.55e+05;2.12e+03;2.02;50.6;0.926;23.2;7.53e+04;37;62.5;0;0.483;0;0;0;0;0;460;92.5;0.616;1;0.614;1.24;182;219;0.17;0.341;0.00347;0.00419; 51840;4498;12977;12.3;6.69;42;0.621;1.03;0.606;1.24;176;198;0.108;0.234;0.00335;0.00375; 51600;5313;12375;11.3;5.57;42;0.613;1;0.611;1.24;173;187;0.0776;0.179;0.00332;0.0036; 52880;3677;13979;11.9;7.13;43;0.00113;0.981;0.00115;1.24;0.154;2.11;0.927;0.0507;0.00162;0.0221; 23440;1;5;12;7.59;46;7.42e+03;8.81e+03;3.22e+03; 38%; 45%; 16%;6.77e+03;3e+03;7.59e+03; 34%; 15%; 39%;7.63e+03;8.85e+03;4.21e+03; 39%; 45%; 21%;7.49e+03;5.1e+03;5.2e+03; 38%; 26%; 26%;49.6;49.6;0;0.887;0;0;0;0;0;49;50.2;0;0.795;0;0;0;0;0;49.4;50.4;0;0.251;0;0;0;0;0;0.0926;99.9;0;0;0;0;0;0;0;124;124;132;79.7;23.3 ;22.4 ;24.2 ;22.6 ;
2017-09-05;06:01:10.578;0.463;1.01;0.458;1.24;527;598;0.119;0.253;0.00336;0.00381;47.1;26.8;1.57e+05;1.55e+05;2.12e+03;2.02;50.6;0.926;23.1;7.45e+04;37;62.6;0;0.438;0;0;0;0;0;460;90.4;0.618;1.01;0.613;1.24;181;218;0.17;0.345;0.00345;0.00416; 52640;4506;13118;12.1;6.55;42;0.622;1.03;0.606;1.24;174;193;0.0965;0.209;0.0033;0.00365; 51760;5047;12280;11.2;5.57;43;0.611;1;0.61;1.24;172;186;0.0715;0.165;0.00332;0.00358; 52640;3767;14123;11.9;7.11;43;0.00112;0.984;0.00114;1.24;0.151;2.1;0.928;0.0506;0.00159;0.0221; 23360;1;5;11.9;7.55;47;7.31e+03;8.64e+03;3.16e+03; 37%; 44%; 16%;6.76e+03;3.03e+03;7.39e+03; 34%; 15%; 38%;7.59e+03;8.81e+03;4.17e+03; 39%; 45%; 21%;7.46e+03;5.04e+03;5.11e+03; 38%; 26%; 26%;49.5;49.6;0;0.907;0;0;0;0;0;49;50.4;0;0.685;0;0;0;0;0;49.3;50.6;0;0.128;0;0;0;0;0;0.092;99.9;0;0.0312;0;0;0;0;0;124;125;132;79.7;22.6 ;21.9 ;23.7 ;22.2 ;
2017-09-05;06:01:11.588;0.459;1;0.457;1.24;527;604;0.128;0.271;0.00338;0.00388;47.4;27.2;1.56e+05;1.55e+05;2.12e+03;2.01;50.2;0.919;23;7.52e+04;36.9;62.4;0.0205;0.625;0;0;0;0;0;460;90.8;0.612;1;0.611;1.24;178;210;0.152;0.315;0.00343;0.00404; 52320;4297;13645;12.5;6.88;42;0.618;1.02;0.607;1.24;174;197;0.115;0.249;0.00333;0.00376; 52640;4953;12124;11.2;5.59;42;0.606;0.994;0.61;1.24;174;195;0.107;0.243;0.00339;0.0038; 50000;3621;14868;11.8;7.16;42;0.00111;1;0.00111;1.24;0.153;2.08;0.927;0.0506;0.00162;0.0221; 23520;0;4;11.9;7.52;46;7.33e+03;9.08e+03;3.32e+03; 37%; 46%; 17%;6.7e+03;2.79e+03;7.61e+03; 34%; 14%; 39%;7.6e+03;8.91e+03;4.26e+03; 39%; 45%; 22%;7.38e+03;4.9e+03;5.33e+03; 38%; 25%; 27%;49.4;49.3;0.0703;1.22;0;0;0;0;0;49.1;50.1;0.00767;0.875;0;0;0;0;0;49.3;50.3;0.00384;0.41;0;0;0;0;0;0.09;99.9;0;0;0;0;0;0;0;124;124;132;79.6;22.8 ;22.2 ;23.8 ;22 ;
2017-09-05;06:01:12.597;0.462;1.01;0.458;1.24;537;613;0.125;0.264;0.00342;0.00391;48;27.2;1.57e+05;1.55e+05;2.12e+03;2.02;50.5;0.925;23.1;7.57e+04;37;61.8;0;1.24;0;0;0;0;0;460;91.9;0.616;1.01;0.612;1.24;181;213;0.15;0.309;0.00347;0.00408; 54320;4565;13885;12.7;6.89;41;0.622;1.02;0.608;1.24;178;204;0.125;0.267;0.00338;0.00386; 52400;5634;12566;11.4;5.58;41;0.61;1;0.609;1.24;177;194;0.0885;0.204;0.00341;0.00374; 52560;3655;14113;12;7.2;42;0.00113;0.991;0.00114;1.24;0.151;2.12;0.929;0.05;0.00158;0.0221; 23440;1;5;11.9;7.49;46;7.41e+03;9.31e+03;3.4e+03; 38%; 48%; 17%;6.59e+03;2.68e+03;7.7e+03; 33%; 13%; 39%;7.55e+03;9.04e+03;4.32e+03; 38%; 46%; 22%;7.47e+03;4.75e+03;5.49e+03; 38%; 24%; 28%;49.4;49.5;0;1.06;0;0;0;0;0;49.1;49.9;0;0.961;0;0;0;0;0;49.2;50.3;0;0.5;0;0;0;0;0;0.0921;97.5;0;2.44;0;0;0;0;0;124;124;132;79.3;23.4 ;22 ;24 ;22.4 ;
2017-09-05;06:01:13.606;0.458;1;0.458;1.24;518;587;0.118;0.251;0.00334;0.00378;46.5;26.6;1.55e+05;1.55e+05;2.12e+03;2;50;0.915;22.9;7.38e+04;37;61.3;0.000109;1.76;0;0;0;0;0;459;91.2;0.611;0.999;0.612;1.24;176;207;0.152;0.315;0.00339;0.004; 48160;4349;13072;12.2;6.68;41;0.614;1.01;0.609;1.24;173;198;0.128;0.27;0.00332;0.0038; 52240;5167;11971;11;5.49;41;0.604;0.992;0.609;1.24;169;180;0.0598;0.136;0.0033;0.00351; 53040;3607;14140;11.6;7.05;42;0.00111;0.975;0.00114;1.24;0.15;2.08;0.928;0.0502;0.00159;0.0221; 23600;0;4;11.7;7.41;45;7.22e+03;8.78e+03;3.23e+03; 37%; 45%; 16%;6.64e+03;2.81e+03;7.4e+03; 34%; 14%; 38%;7.45e+03;8.75e+03;4.17e+03; 38%; 45%; 21%;7.3e+03;4.86e+03;5.18e+03; 37%; 25%; 26%;49.4;49.6;0.000436;1.02;0;0;0;0;0;49.1;50.2;0;0.682;0;0;0;0;0;49.2;50.8;0;0.00335;0;0;0;0;0;0.0919;94.6;0;5.33;0;0;0;0;0;124;124;132;78.4;22.9 ;22.1 ;24 ;22.2 ;
2017-09-05;06:01:14.615;0.464;1.01;0.458;1.24;529;593;0.108;0.232;0.00337;0.00377;47.6;27;1.57e+05;1.55e+05;2.12e+03;2.03;50.6;0.927;23.2;7.52e+04;37;61.5;0.00193;1.5;0;0;0;0;0;461;91.4;0.618;1.01;0.612;1.24;179;209;0.143;0.301;0.00342;0.00399; 51680;4496;13327;12.2;6.58;41;0.622;1.02;0.607;1.24;176;196;0.103;0.225;0.00334;0.00372; 52800;5385;12251;11.4;5.63;40;0.614;1.01;0.61;1.24;174;186;0.0631;0.146;0.00334;0.00357; 51280;3764;14157;12;7.19;41;0.0014;1.07;0.00131;1.24;0.159;2.21;0.928;0.0584;0.00134;0.0186; 23440;1;7;12;7.6;46;7.32e+03;8.72e+03;3.18e+03; 37%; 45%; 16%;6.84e+03;3.05e+03;7.46e+03; 35%; 15%; 38%;7.75e+03;8.87e+03;4.21e+03; 39%; 45%; 21%;7.59e+03;5.04e+03;5.17e+03; 39%; 25%; 26%;49.5;49.4;0.00773;1.09;0;0;0;0;0;49;50.4;0;0.584;0;0;0;0;0;49.3;50.7;0;0.0374;0;0;0;0;0;0.106;95.6;0;4.3;0;0;0;0;0;125;124;133;78.9;22.9 ;22 ;24.1 ;22.4 ;
