System;;;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;Socket0;;;;;;;;;;;;;;;;Socket1;;;;;;;;;;;;;;;;Socket2;;;;;;;;;;;;;;;;Socket3;;;;;;;;;;;;;;;;SKT0trafficOut;;;SKT0trafficOut (percent);;;SKT1trafficOut;;;SKT1trafficOut (percent);;;SKT2trafficOut;;;SKT2trafficOut (percent);;;SKT3trafficOut;;;SKT3trafficOut (percent);;;SKT0 Core C-State;;;;;SKT0 Package C-State;;;;SKT1 Core C-State;;;;;SKT1 Package C-State;;;;SKT2 Core C-State;;;;;SKT2 Package C-State;;;;SKT3 Core C-State;;;;;SKT3 Package C-State;;;;Proc Energy (Joules);;;;DRAM Energy (Joules);;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;TotalQPIout;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;Proc Energy (Joules);DRAM Energy (Joules);EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L2HIT;L3MPI;L2MPI;L3OCC;LMB;RMB;READ;WRITE;TEMP;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;QPI0;QPI1;QPI2;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;SKT0;SKT1;SKT2;SKT3;SKT0;SKT1;SKT2;SKT3;
2017-09-05;05:56:22.127;0.0258;0.464;0.0556;0.756;3.52;11.9;0.704;0.272;0.000393;0.00133;0.637;0.75;8.96e+03;1.93e+04;2.12e+03;0.928;23.2;0.0516;1.29;924;7.35;16.3;0.0541;76.3;0;28.2;0;0;0;136;31.8;0.00686;0.462;0.0148;0.746;0.744;3.71;0.799;0.166;0.00126;0.00629; 46560;39;60;0.204;0.271;50;0.0593;0.461;0.129;0.758;1.17;3.42;0.657;0.229;0.000227;0.000664; 50800;180;338;0.215;0.221;51;0.00482;0.423;0.0114;0.72;0.779;2.38;0.673;0.339;0.00186;0.00568; 40880;13;83;0.078;0.102;53;0.0321;0.476;0.0674;0.762;0.827;2.4;0.656;0.379;0.000296;0.00086; 49360;41;119;0.14;0.157;50;105;39.1;49.4;  0%;  0%;  0%;93;118;192;  0%;  0%;  0%;48.4;34;43.4;  0%;  0%;  0%;39.9;89.3;72.1;  0%;  0%;  0%;1.99;23.2;0.0654;74.7;0;20.4;0;0;0;17;20.7;0.0289;62.3;0;34.5;0;0;0;1.58;4.78;0.083;93.6;0;57.8;0;0;0;8.84;16.5;0.0391;74.7;0;0;0;0;0;33.7;37;30.9;34.3;8.27 ;8.18 ;7.81 ;7.56 ;
2017-09-05;05:56:23.139;0.128;0.481;0.266;0.762;2.34;13.5;0.827;0.11;5.36e-05;0.00031;0.265;0.193;4.37e+04;9.09e+04;2.18e+03;0.961;24;0.256;6.4;293;35;47.7;7.48;9.89;0;0.283;0;0;0;188;25.4;0.153;0.481;0.318;0.762;0.748;5.56;0.865;0.0924;5.68e-05;0.000422; 48720;28;23;0.0675;0.045;49;0.102;0.48;0.212;0.762;0.469;2.07;0.773;0.129;5.41e-05;0.000239; 49920;3;19;0.0646;0.0479;50;0.113;0.481;0.234;0.761;0.491;2.74;0.821;0.112;5.12e-05;0.000286; 45440;11;15;0.0807;0.0644;53;0.144;0.48;0.3;0.762;0.632;3.16;0.8;0.127;5.15e-05;0.000258; 49360;2;39;0.0524;0.0357;49;23.6;29.1;29.2;  0%;  0%;  0%;16.7;22.8;23.5;  0%;  0%;  0%;14;29.1;20.3;  0%;  0%;  0%;22.2;35.5;27.4;  0%;  0%;  0%;41.8;47.7;3.84;6.68;0;0;0;0;0;27.8;54.3;13;4.86;0;0;0;0;0;30.8;43.5;0.196;25.6;0;1.14;0;0;0;39.4;45.2;12.9;2.5;0;0;0;0;0;49.3;44.5;45.3;48.5;6.83 ;6.34 ;6.4 ;5.87 ;
2017-09-05;05:56:24.139;0.123;0.476;0.259;0.762;3.58;12.6;0.715;0.125;8.64e-05;0.000303;0.773;0.961;4.15e+04;8.71e+04;2.1e+03;0.953;23.8;0.247;6.17;1.08e+03;34;54.7;3.22;8.11;0;0;0;0;0;188;26.7;0.147;0.476;0.309;0.762;1.01;4.82;0.791;0.101;8.16e-05;0.000391; 38480;68;165;0.199;0.2;49;0.114;0.478;0.238;0.762;0.831;2.44;0.659;0.145;8.68e-05;0.000254; 49360;79;140;0.159;0.227;50;0.116;0.477;0.243;0.762;0.966;2.75;0.648;0.131;9.94e-05;0.000283; 49520;89;171;0.204;0.297;52;0.117;0.475;0.246;0.762;0.776;2.55;0.695;0.143;7.9e-05;0.000259; 33840;59;173;0.211;0.236;49;88.1;122;91.7;  0%;  0%;  0%;69.5;74;77.2;  0%;  0%;  0%;60.4;108;91.6;  0%;  0%;  0%;127;104;70;  0%;  0%;  0%;40.6;47.1;4.31;7.99;0;0;0;0;0;31.3;61.3;0.216;7.22;0;0;0;0;0;31.8;46.8;5.71;15.7;0;0;0;0;0;32.3;63.5;2.66;1.56;0;0;0;0;0;48.6;45.8;46.2;47.4;7.07 ;6.61 ;6.83 ;6.21 ;
2017-09-05;05:56:25.152;0.128;0.471;0.273;0.762;7.71;18.5;0.583;0.128;0.000176;0.000423;1.43;1.92;4.37e+04;9.27e+04;2.13e+03;0.943;23.6;0.257;6.42;2.21e+03;35.8;51.8;2.17;10.3;0;0;0;0;0;195;28.6;0.098;0.469;0.209;0.762;1.92;5.23;0.632;0.112;0.000231;0.000628; 38240;108;324;0.369;0.486;49;0.155;0.47;0.33;0.762;2.16;5.02;0.569;0.141;0.000164;0.000381; 52160;95;468;0.289;0.353;50;0.153;0.473;0.323;0.762;2.18;5.28;0.588;0.125;0.000167;0.000406; 49680;197;391;0.43;0.614;52;0.108;0.474;0.229;0.762;1.44;2.94;0.509;0.136;0.000157;0.000319; 48160;61;286;0.345;0.471;49;158;233;134;  0%;  1%;  0%;227;178;199;  1%;  0%;  1%;197;218;197;  1%;  1%;  1%;177;130;159;  0%;  0%;  0%;27.4;40.5;3.53;28.6;0;0;0;0;0;43.3;51.5;1.73;3.55;0;0;0;0;0;42.4;52;3.28;2.35;0;0;0;0;0;30;63.2;0.128;6.65;0;0;0;0;0;45.2;50;51.6;47.7;7.63 ;6.99 ;7.34 ;6.66 ;
2017-09-05;05:56:26.166;0.349;1.01;0.345;0.762;322;371;0.133;0.344;0.00271;0.00312;28.2;17.6;1.19e+05;1.17e+05;2.13e+03;2.02;50.6;0.698;17.5;4.81e+04;45.3;49.8;0.178;4.76;0;0;0;0;0;287;67.3;0.32;1.05;0.304;0.762;77.5;94.3;0.178;0.424;0.00285;0.00346; 48880;1529;6009;7.38;4.53;47;0.356;0.99;0.36;0.762;83.1;101;0.177;0.435;0.00274;0.00333; 50560;1105;6430;6.82;4.05;47;0.362;1.01;0.36;0.762;81.4;89.4;0.0904;0.24;0.00264;0.0029; 51520;1756;6664;7.05;4.58;49;0.358;1.01;0.356;0.762;80;86.4;0.0745;0.18;0.00262;0.00284; 49600;1545;5669;6.99;4.44;47;4.29e+03;3.35e+03;4.21e+03; 22%; 17%; 21%;4.36e+03;3.69e+03;4.3e+03; 22%; 18%; 22%;4.56e+03;3.51e+03;3.96e+03; 23%; 18%; 20%;4.31e+03;3.59e+03;3.95e+03; 22%; 18%; 20%;39.9;44.8;0.304;15;0;0;0;0;0;47.3;50.3;0.125;2.37;0;0;0;0;0;47.3;51.8;0.0941;0.817;0;0;0;0;0;46.8;52.2;0.189;0.871;0;0;0;0;0;69.5;72;74.2;71.7;17.1 ;16.6 ;17.6 ;15.9 ;
2017-09-05;05:56:27.181;0.445;1.19;0.375;0.762;458;509;0.101;0.293;0.00302;0.00335;38.2;22.4;1.52e+05;1.28e+05;2.13e+03;2.37;59.3;0.89;22.3;6.58e+04;49.2;50;0.0251;0.751;0;0;0;0;0;319;81;0.446;1.17;0.38;0.762;116;133;0.128;0.339;0.00304;0.00348; 50400;2360;8714;9.97;5.75;47;0.443;1.18;0.375;0.762;114;125;0.085;0.249;0.00302;0.0033; 53040;1228;8754;9.27;5.24;48;0.445;1.2;0.373;0.762;113;126;0.0998;0.3;0.00298;0.00331; 51840;2055;8264;9.51;5.87;49;0.445;1.2;0.372;0.762;115;126;0.0895;0.275;0.00302;0.00332; 50240;2089;7637;9.4;5.57;47;6.03e+03;4.72e+03;5.9e+03; 30%; 24%; 30%;5.77e+03;5.04e+03;6.07e+03; 29%; 25%; 31%;6.12e+03;4.91e+03;5.14e+03; 31%; 25%; 26%;5.66e+03;4.93e+03;5.55e+03; 29%; 25%; 28%;49.9;49.2;0.035;0.915;0;0;0;0;0;49.3;50.3;0.0344;0.389;0;0;0;0;0;48.9;50;0.0181;1.01;0;0;0;0;0;48.8;50.5;0.0129;0.689;0;0;0;0;0;80;79.9;80.6;78.3;20.4 ;20.2 ;21.4 ;19.1 ;
2017-09-05;05:56:28.196;0.453;1.21;0.375;0.762;465;522;0.108;0.315;0.00301;0.00338;38.9;22.5;1.54e+05;1.28e+05;2.13e+03;2.41;60.3;0.906;22.6;6.68e+04;49.3;49.9;0.000578;0.879;0;0;0;0;0;319;80.8;0.453;1.19;0.379;0.762;119;138;0.141;0.37;0.00308;0.00359; 51440;2229;8751;10.1;5.74;47;0.451;1.2;0.376;0.762;116;128;0.0925;0.275;0.00302;0.00332; 53360;1215;8951;9.43;5.27;47;0.454;1.22;0.372;0.762;117;130;0.103;0.313;0.00302;0.00336; 53840;2199;8444;9.74;5.94;49;0.454;1.21;0.374;0.762;114;125;0.0933;0.286;0.00294;0.00324; 50640;2100;7951;9.63;5.58;47;6.17e+03;4.74e+03;5.89e+03; 31%; 24%; 30%;5.98e+03;5.03e+03;6.15e+03; 30%; 25%; 31%;6.32e+03;5.02e+03;5.26e+03; 32%; 25%; 27%;5.86e+03;4.9e+03;5.53e+03; 30%; 25%; 28%;49.7;49.1;0.00231;1.2;0;0;0;0;0;49.4;50.1;0;0.487;0;0;0;0;0;48.8;50.1;0;1.11;0;0;0;0;0;49.1;50.2;0;0.723;0;0;0;0;0;79.7;79.9;80.9;78.1;20.2 ;20 ;21.3 ;19.2 ;
2017-09-05;05:56:29.210;0.454;1.21;0.375;0.762;460;506;0.0907;0.266;0.00298;0.00327;38.6;22.2;1.55e+05;1.28e+05;2.13e+03;2.42;60.4;0.908;22.7;6.6e+04;49.3;50.1;0;0.595;0;0;0;0;0;311;80.2;0.455;1.2;0.379;0.762;116;132;0.117;0.317;0.00299;0.00339; 48800;2089;8399;9.99;5.58;46;0.451;1.2;0.376;0.762;116;127;0.0928;0.281;0.00301;0.00332; 49520;1207;9288;9.34;5.24;47;0.454;1.22;0.373;0.762;115;123;0.0659;0.194;0.00297;0.00318; 54960;2273;8759;9.66;5.88;49;0.455;1.22;0.374;0.762;114;124;0.0855;0.258;0.00293;0.00321; 51200;2349;8289;9.59;5.47;47;6.12e+03;4.47e+03;5.73e+03; 31%; 22%; 29%;6.08e+03;4.87e+03;6.06e+03; 31%; 25%; 31%;6.37e+03;4.79e+03;5.37e+03; 32%; 24%; 27%;5.92e+03;4.77e+03;5.41e+03; 30%; 24%; 27%;49.7;49.2;0;1.03;0;0;0;0;0;49.3;50.2;0;0.511;0;0;0;0;0;48.9;50.8;0;0.245;0;0;0;0;0;49.1;50.3;0;0.593;0;0;0;0;0;77.7;77.6;79.2;76.1;20.1 ;19.7 ;21.3 ;19.1 ;
2017-09-05;05:56:30.224;0.444;1.18;0.376;0.762;448;493;0.0908;0.263;0.00296;0.00326;37.7;22;1.51e+05;1.28e+05;2.13e+03;2.36;59.1;0.888;22.2;6.42e+04;49.3;50.2;0.00685;0.526;0;0;0;0;0;309;79.3;0.446;1.17;0.382;0.762;112;127;0.115;0.307;0.00296;0.00334; 52080;2267;7530;9.76;5.51;46;0.441;1.18;0.375;0.762;113;122;0.0714;0.21;0.003;0.00324; 53520;1293;8814;9.13;5.24;47;0.445;1.19;0.374;0.762;112;123;0.0902;0.268;0.00296;0.00325; 51200;2050;8791;9.43;5.81;48;0.445;1.2;0.372;0.762;111;121;0.0854;0.257;0.00293;0.0032; 50320;2108;7715;9.36;5.45;46;5.93e+03;4.36e+03;5.57e+03; 30%; 22%; 28%;5.91e+03;4.81e+03;5.84e+03; 30%; 24%; 29%;6.17e+03;4.67e+03;5.2e+03; 31%; 24%; 26%;5.74e+03;4.74e+03;5.25e+03; 29%; 24%; 26%;50.1;49.3;0;0.583;0;0;0;0;0;49.2;50.4;0.0274;0.368;0;0;0;0;0;49.1;50.5;0;0.403;0;0;0;0;0;48.9;50.4;0;0.752;0;0;0;0;0;77.2;76.9;78.6;75.9;19.7 ;19.5 ;21 ;19 ;
2017-09-05;05:56:31.239;0.446;1.19;0.375;0.762;455;500;0.0898;0.262;0.003;0.00329;38.1;22.1;1.52e+05;1.28e+05;2.13e+03;2.38;59.4;0.891;22.3;6.56e+04;49.2;50;0.0352;0.713;0;0;0;0;0;315;80.3;0.448;1.18;0.381;0.762;115;128;0.106;0.28;0.00301;0.00336; 51040;2216;8573;9.94;5.66;46;0.444;1.18;0.375;0.762;113;122;0.0704;0.205;0.00299;0.00321; 54320;1314;8577;9.28;5.16;47;0.444;1.2;0.371;0.762;114;127;0.0982;0.296;0.00302;0.00335; 52480;2173;8396;9.49;5.79;48;0.446;1.19;0.374;0.762;113;123;0.0838;0.26;0.00297;0.00324; 48560;1958;7661;9.39;5.46;46;6e+03;4.73e+03;5.88e+03; 30%; 24%; 30%;5.79e+03;4.96e+03;6.05e+03; 29%; 25%; 31%;6.14e+03;4.93e+03;5.07e+03; 31%; 25%; 26%;5.62e+03;4.85e+03;5.54e+03; 28%; 24%; 28%;50;49.2;0.0589;0.742;0;0;0;0;0;49.2;50.6;0.00529;0.143;0;0;0;0;0;48.6;50.1;0.0406;1.2;0;0;0;0;0;49.1;50.1;0.0361;0.764;0;0;0;0;0;78.9;79.1;79.8;77.5;20.2 ;20 ;21.1 ;19 ;
